measured_on,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2004-08-01,,,,,,,-5.5,32.0,32.0,-0.8330000000000001,2.0,2.0
2004-09-01,,,,,,,-5.5,32.0,32.0,-0.8330000000000001,2.0,2.0
2004-10-01,,,,,,,-5.5,32.0,32.0,-0.8330000000000001,2.0,2.0
2004-11-01,,,,,,,-5.5,32.0,32.0,-0.8330000000000001,2.0,2.0
2004-12-01,,,,,,,-5.5,32.0,32.0,-0.8330000000000001,2.0,2.0
2005-01-01,,,,,,,0.0,12.85,12.85,0.132,5.1,5.1
2005-02-01,,,,,,,0.0,6.52,6.52,0.11,4.23,4.23
2005-03-01,,,,,,,0.0,7.89,7.89,0.136,5.24,5.24
2005-04-01,,,,,,,0.0,8.22,8.22,0.134,5.17,5.17
2005-05-01,,,,,,,0.0,9.69,9.69,0.158,6.09,6.09
2005-06-01,,,,,,,0.0,8.77,8.77,0.2,7.68,7.68
2005-07-01,,,,,,,0.0,14.05,14.05,0.25,9.63,9.63
2005-08-01,,,,,,,0.0,15.55,15.55,0.259,9.98,9.98
2005-09-01,,,,,,,0.0,15.44,15.44,0.197,7.59,7.59
2005-10-01,,,,,,,0.0,9.22,9.22,0.158,6.07,6.07
2005-11-01,,,,,,,0.0,7.34,7.34,0.134,5.17,5.17
2005-12-01,,,,,,,0.0,16.0,16.0,0.131,5.05,5.05
2006-01-01,,,,,,,0.153,2.0,2.0,18.919,220.0,220.0
2006-02-01,,,,,,,0.152,2.0,2.0,22.445,261.0,261.0
2006-03-01,,,,,,,0.133,2.0,2.0,25.601000000000003,298.0,298.0
2006-04-01,,,,,,,0.17600000000000002,3.0,3.0,28.635,333.0,333.0
2006-05-01,,,,,,,0.159,2.0,2.0,33.167,386.0,386.0
2006-06-01,,,,,,,0.19,3.0,3.0,42.263000000000005,491.0,491.0
2006-07-01,,,,,,,0.184,3.0,3.0,53.134,618.0,618.0
2006-08-01,,,,,,,0.198,3.0,3.0,53.804,626.0,626.0
2006-09-01,,,,,,,0.14100000000000001,2.0,2.0,36.609,426.0,426.0
2006-10-01,,,,,,,0.18100000000000002,3.0,3.0,33.146,385.0,385.0
2006-11-01,,,,,,,0.158,2.0,2.0,24.616,286.0,286.0
2006-12-01,,,,,,,0.17600000000000002,3.0,3.0,25.661,298.0,298.0
2007-01-01,,,,,,,0.665,6.0,6.0,0.047,0.0,0.0
2007-02-01,,,,,,,0.541,6.0,6.0,0.037000000000000005,0.0,0.0
2007-03-01,,,,,,,0.277,0.0,0.0,0.033,0.0,0.0
2007-04-01,,,,,,,2.5380000000000003,29.0,29.0,0.037000000000000005,0.0,0.0
2007-05-01,,,,,,,5.389,58.0,58.0,0.043000000000000003,0.0,0.0
2007-06-01,,,,,,,0.9590000000000001,12.0,12.0,0.054,1.0,1.0
2007-07-01,,,,,,,0.5720000000000001,6.0,6.0,0.059000000000000004,1.0,1.0
2007-08-01,,,,,,,0.912,12.0,12.0,0.055,1.0,1.0
2007-09-01,,,,,,,0.7230000000000001,6.0,6.0,0.06,1.0,1.0
2007-10-01,,,,,,,0.625,6.0,6.0,0.054,1.0,1.0
2007-11-01,,,,,,,0.49200000000000005,6.0,6.0,0.045,0.0,0.0
2007-12-01,,,,,,,0.733,6.0,6.0,0.049,1.0,1.0
2008-01-01,,,,,,,-0.749,84.0,84.0,-6.5920000000000005,770.0,770.0
2008-02-01,,,,,,,-0.464,54.0,54.0,-6.072,710.0,710.0
2008-03-01,,,,,,,-0.332,36.0,36.0,-6.571000000000001,769.0,769.0
2008-04-01,,,,,,,-0.553,66.0,66.0,-5.679,664.0,664.0
2008-05-01,,,,,,,-1.2770000000000001,150.0,150.0,-5.019,587.0,587.0
2008-06-01,,,,,,,-0.14400000000000002,18.0,18.0,-5.486000000000001,642.0,642.0
2008-07-01,,,,,,,-0.11800000000000001,12.0,12.0,-8.345,976.0,976.0
2008-08-01,,,,,,,-0.24300000000000002,30.0,30.0,-7.672000000000001,897.0,897.0
2008-09-01,,,,,,,-0.605,72.0,72.0,-6.6610000000000005,779.0,779.0
2008-10-01,,,,,,,-0.189,24.0,24.0,-7.121,833.0,833.0
2008-11-01,,,,,,,-0.523,60.0,60.0,-6.191000000000001,724.0,724.0
2008-12-01,,,,,,,-0.498,60.0,60.0,-6.896,807.0,807.0
2009-01-01,,,,,,,3.19,24.0,24.0,0.278,2.0,2.0
2009-02-01,,,,,,,0.495,6.0,6.0,0.28900000000000003,3.0,3.0
2009-03-01,,,,,,,1.599,18.0,18.0,0.332,4.0,4.0
2009-04-01,,,,,,,2.233,24.0,24.0,0.316,3.0,3.0
2009-05-01,,,,,,,3.834,41.0,41.0,0.25,3.0,3.0
2009-06-01,,,,,,,2.649,29.0,29.0,0.266,3.0,3.0
2009-07-01,,,,,,,2.5940000000000003,29.0,29.0,0.34,4.0,4.0
2009-08-01,,,,,,,3.5210000000000004,35.0,35.0,0.32,3.0,3.0
2009-09-01,,,,,,,2.007,24.0,24.0,0.253,3.0,3.0
2009-10-01,,,,,,,7.255,76.0,76.0,0.165,2.0,2.0
2009-11-01,,,,,,,2.035,24.0,24.0,0.21400000000000002,2.0,2.0
2009-12-01,,,,,,,3.235,35.0,35.0,0.33,4.0,4.0
2010-01-01,,,,,,,7.304,89.0,89.0,1.304,16.0,16.0
2010-02-01,,,,,,,2.116,30.0,30.0,1.1860000000000002,15.0,15.0
2010-03-01,,,,,,,3.874,47.0,47.0,1.24,16.0,16.0
2010-04-01,,,,,,,3.548,47.0,47.0,0.9780000000000001,12.0,12.0
2010-05-01,,,,,,,3.863,47.0,47.0,0.8420000000000001,11.0,11.0
2010-06-01,,,,,,,4.015000000000001,53.0,53.0,1.2890000000000001,16.0,16.0
2010-07-01,,,,,,,0.7000000000000001,12.0,12.0,1.477,19.0,19.0
2010-08-01,,,,,,,1.9420000000000002,24.0,24.0,1.363,17.0,17.0
2010-09-01,,,,,,,1.359,18.0,18.0,1.026,13.0,13.0
2010-10-01,,,,,,,2.5540000000000003,30.0,30.0,0.918,12.0,12.0
2010-11-01,,,,,,,1.238,18.0,18.0,0.9580000000000001,12.0,12.0
2010-12-01,,,,,,,9.9,124.0,124.0,1.006,13.0,13.0
2011-01-01,,,,,,,0.46,6.0,6.0,0.0,0.0,0.0
2011-02-01,,,,,,,0.374,0.0,0.0,0.0,0.0,0.0
2011-03-01,,,,,,,0.502,6.0,6.0,0.0,0.0,0.0
2011-04-01,,,,,,,3.116,12.0,12.0,0.0,0.0,0.0
2011-05-01,,,,,,,0.225,0.0,0.0,0.0,0.0,0.0
2011-06-01,,,,,,,1.452,12.0,12.0,0.0,0.0,0.0
2011-07-01,,,,,,,0.528,6.0,6.0,0.0,0.0,0.0
2011-08-01,,,,,,,0.968,6.0,6.0,0.0,0.0,0.0
2011-09-01,,,,,,,0.41,6.0,6.0,0.0,0.0,0.0
2011-10-01,,,,,,,0.663,6.0,6.0,0.0,0.0,0.0
2011-11-01,,,,,,,0.466,6.0,6.0,0.0,0.0,0.0
2011-12-01,,,,,,,1.331,12.0,12.0,1.505,11.0,11.0
2012-01-01,,,,,,,1.478,17.0,17.0,0.128,1.0,1.0
2012-02-01,,,,,,,1.488,17.0,17.0,0.118,1.0,1.0
2012-03-01,,,,,,,2.37,23.0,23.0,0.116,1.0,1.0
2012-04-01,,,,,,,3.063,29.0,29.0,0.109,1.0,1.0
2012-05-01,,,,,,,1.659,17.0,17.0,0.156,1.0,1.0
2012-06-01,,,,,,,1.447,17.0,17.0,0.156,1.0,1.0
2012-07-01,,,,,,,0.249,0.0,0.0,0.2,3.0,3.0
2012-08-01,,,,,,,0.142,0.0,0.0,0.188,2.0,2.0
2012-09-01,,,,,,,1.451,17.0,17.0,0.14,1.0,1.0
2012-10-01,,,,,,,3.289,35.0,35.0,0.071,1.0,1.0
2012-11-01,,,,,,,2.468,23.0,23.0,0.108,1.0,1.0
2012-12-01,,,,,,,3.302,35.0,35.0,0.104,1.0,1.0
2013-01-01,,,,,,,2.65,33.0,33.0,0.0,0.0,0.0
2013-02-01,,,,,,,0.809,11.0,11.0,0.0,0.0,0.0
2013-03-01,,,,,,,2.139,28.0,28.0,0.0,0.0,0.0
2013-04-01,,,,,,,0.985,11.0,11.0,0.0,0.0,0.0
2013-05-01,,,,,,,0.139,0.0,0.0,0.0,0.0,0.0
2013-06-01,,,,,,,1.509,17.0,17.0,0.0,0.0,0.0
2013-07-01,,,,,,,1.729,22.0,22.0,0.0,0.0,0.0
2013-08-01,,,,,,,0.969,11.0,11.0,0.0,0.0,0.0
2013-09-01,,,,,,,0.923,11.0,11.0,0.0,0.0,0.0
2013-10-01,,,,,,,1.599,22.0,22.0,0.0,0.0,0.0
2013-11-01,,,,,,,2.917,39.0,39.0,0.0,0.0,0.0
2013-12-01,,,,,,,2.12,28.0,28.0,0.512,6.0,6.0
2014-01-01,,,,,,,1.327,19.0,19.0,0.0,0.0,0.0
2014-02-01,,,,,,,1.115,12.0,12.0,0.0,0.0,0.0
2014-03-01,,,,,,,1.26,12.0,12.0,0.0,0.0,0.0
2014-04-01,,,,,,,1.207,12.0,12.0,0.0,0.0,0.0
2014-05-01,,,,,,,3.005,31.0,31.0,0.0,0.0,0.0
2014-06-01,,,,,,,1.51,19.0,19.0,0.0,0.0,0.0
2014-07-01,,,,,,,0.215,0.0,0.0,0.0,0.0,0.0
2014-08-01,,,,,,,1.231,12.0,12.0,0.0,0.0,0.0
2014-09-01,,,,,,,1.351,12.0,12.0,0.0,0.0,0.0
2014-10-01,,,,,,,5.882,62.0,62.0,0.0,0.0,0.0
2014-11-01,,,,,,,0.599,6.0,6.0,0.0,0.0,0.0
2014-12-01,,,,,,,4.575,50.0,50.0,0.723,8.0,8.0
2015-01-01,,,,,,,2.657,33.0,33.0,0.0,0.0,0.0
2015-02-01,,,,,,,4.274,39.0,39.0,0.0,0.0,0.0
2015-03-01,,,,,,,1.821,17.0,17.0,0.0,0.0,0.0
2015-04-01,,,,,,,1.212,11.0,11.0,0.0,0.0,0.0
2015-05-01,,,,,,,2.665,22.0,22.0,0.0,0.0,0.0
2015-06-01,,,,,,,3.886,39.0,39.0,0.0,0.0,0.0
2015-07-01,,,,,,,2.628,22.0,22.0,0.0,0.0,0.0
2015-08-01,,,,,,,1.181,11.0,11.0,0.0,0.0,0.0
2015-09-01,,,,,,,1.86,17.0,17.0,0.0,0.0,0.0
2015-10-01,,,,,,,0.81,6.0,6.0,0.0,0.0,0.0
2015-11-01,,,,,,,2.942,28.0,28.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,,,,4.288,39.0,39.0,0.776,7.0,7.0
2016-01-01,0.0,0.0,0.0,,,,1.162,11.0,11.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,,,,9.41,88.0,88.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,,,,1.885,17.0,17.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,,,,0.197,0.0,0.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,,,,3.46,33.0,33.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,,,,1.976,17.0,17.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,,,,2.418,22.0,22.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,,,,1.411,11.0,11.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,,,,2.251,22.0,22.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,,,,2.848,28.0,28.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,,,,6.809,61.0,61.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,,,,3.473,33.0,33.0,0.7,6.0,6.0
2017-01-01,0.0,0.0,0.0,,,,14.662,138.0,138.0,0.0,0.0,0.0
2017-02-01,,,,,,,12.58,116.0,116.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,,,,9.122,83.0,83.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,,,,11.082,99.0,99.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,,,,12.666,116.0,116.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,,,,10.879,99.0,99.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,,,,8.815,83.0,83.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,,,,7.356,66.0,66.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,,,,7.462,66.0,66.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,,,,8.893,83.0,83.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,,,,9.289,83.0,83.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,,,,12.194,110.0,110.0,0.0,0.0,0.0
2018-01-01,,,,0.0,0.0,0.0,2.734,28.0,28.0,0.0,0.0,0.0
2018-02-01,,,,0.0,0.0,0.0,2.494,22.0,22.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,,,,2.285,22.0,22.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,,,,2.798,28.0,28.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,,,,2.3,22.0,22.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,,,,3.033,28.0,28.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,,,,2.003,17.0,17.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,,,,2.221,22.0,22.0,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,,,,1.958,17.0,17.0,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,,,,4.329,39.0,39.0,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,,,,2.639,22.0,22.0,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,,,,1.684,17.0,17.0,0.522,5.0,5.0
2019-01-01,0.0,0.0,0.0,,,,4.006,39.0,39.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,,,,3.879,33.0,33.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,,,,3.508,33.0,33.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,,,,3.316,33.0,33.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,,,,4.894,44.0,44.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,,,,3.459,33.0,33.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,,,,3.793,33.0,33.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,,,,3.136,28.0,28.0,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,,,,3.793,33.0,33.0,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,,,,2.941,28.0,28.0,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,,,,3.589,33.0,33.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,,,,6.686,61.0,61.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,,,,1.002,17.0,17.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,,,,0.8,6.0,6.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,,,,0.738,6.0,6.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,,,,0.988,11.0,11.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,,,,0.674,6.0,6.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,,,,0.853,6.0,6.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,,,,0.804,6.0,6.0,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,,,,0.892,6.0,6.0,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0,,,,1.071,11.0,11.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,,,,0.911,6.0,6.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,,,,1.184,11.0,11.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,,,,1.083,11.0,11.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,,,,1.464,6.0,6.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,,,,1.684,17.0,17.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,,,,1.55,17.0,17.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,,,,1.959,17.0,17.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,,,,2.056,17.0,17.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,,,,1.226,11.0,11.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,,,,1.655,17.0,17.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,,,,1.167,11.0,11.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,,,,1.623,17.0,17.0,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,,,,1.562,17.0,17.0,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0,,,,1.436,11.0,11.0,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0,,,,1.618,17.0,17.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,,,,1.082,11.0,11.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,,,,1.419,17.0,17.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,,,,1.365,11.0,11.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,,,,1.221,11.0,11.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,,,,0.807,6.0,6.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,,,,1.518,17.0,17.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,,,,2.284,22.0,22.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,,,,0.91,11.0,11.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,,,,1.111,11.0,11.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,,,,1.135,11.0,11.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,,,,1.554,17.0,17.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,,,,1.594,17.0,17.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,,,,1.81,22.0,22.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,,,,1.861,17.0,17.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,,,,1.889,17.0,17.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,,,,2.411,22.0,22.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,,,,3.129,33.0,33.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,,,,2.836,28.0,28.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,,,,2.004,22.0,22.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,,,,1.899,17.0,17.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,,,,2.186,22.0,22.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,,,,2.087,22.0,22.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,,,,1.713,17.0,17.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,,,,2.175,22.0,22.0,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0,,,,0.482,6.0,6.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,,,,0.258,6.0,6.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,,,,0.279,6.0,6.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,,,,0.426,6.0,6.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,,,,0.368,6.0,6.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,,,,0.56,6.0,6.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,,,,0.539,6.0,6.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0,,,,0.315,6.0,6.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,,,,0.483,6.0,6.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,,,,0.52,6.0,6.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,,,,0.394,6.0,6.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,,,,0.376,6.0,6.0,0.0,0.0,0.0
