measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Sludge Waste Generation,Sludge Waste Quantity Consumed For Electricity,Sludge Waste Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-11-01,2209.66,18364.0,370015.0,,,,54.0,557.98,557.98,,,,1185.34,9949.0,200460.0,,,,,,,126.1,664.0,13376.0
2001-12-01,2943.95,14074.0,385293.0,,,,180.0,1859.94,1859.94,,,,1275.55,6162.0,168689.0,,,,,,,603.34,1832.0,50148.0
2002-01-01,3057.5950000000003,13156.0,355649.0,,,,229.68,2336.53,2336.53,,,,,,,,,,1267.596,13200.0,13200.0,748.0740000000001,2851.0,85408.0
2002-02-01,2805.036,29212.0,330522.0,,,,199.98,2034.4,2034.4,,,,,,,,,,940.134,9789.0,110754.0,777.8430000000001,8099.0,91648.0
2002-03-01,3087.3650000000002,33546.0,377690.0,,,,220.77,2245.89,2245.89,,,,,,,,,,1048.6480000000001,11397.0,128318.0,795.128,8636.0,97232.0
2002-04-01,2407.472,26308.0,337395.0,,,,200.97,2044.47,2044.47,,,,,,,,,,803.7710000000001,8787.0,112694.0,734.63,8026.0,102928.0
2002-05-01,2705.165,29614.0,366502.0,,,,217.8,2215.68,2215.68,,,,,,,,,,734.63,8044.0,99553.0,690.456,7563.0,93600.0
2002-06-01,2588.969,28360.0,347776.0,,,,213.84,2175.39,2175.39,,,,,,,,,,559.855,6130.0,75178.0,858.508,9399.0,115264.0
2002-07-01,3272.702,35661.0,393280.0,,,,230.67,2346.61,2346.61,,,,,,,,,,572.339,6241.0,68828.0,967.9820000000001,10548.0,116320.0
2002-08-01,3191.077,34717.0,341952.0,,,,217.8,2215.68,2215.68,,,,,,,,,,724.066,7874.0,77559.0,806.652,8779.0,86464.0
2002-09-01,3082.563,33049.0,374246.0,,,,142.56,1450.26,1450.26,,,,,,,,,,805.692,8642.0,97858.0,805.692,8640.0,97840.0
2002-10-01,2673.475,72633.0,306893.0,,,,133.65,1359.62,1359.62,,,,,,,,,,818.176,22223.0,93895.0,933.412,25356.0,107136.0
2002-11-01,2462.0,10594.0,286371.0,,,,133.65,1359.62,1359.62,,,,,,,,,,1850.0,19265.0,19265.0,378.358,1442.0,43198.0
2002-12-01,2897.2250000000004,55146.0,367706.0,,,,83.16,845.99,845.99,,,,,,,,,,934.3720000000001,17795.0,118654.0,1078.4170000000001,20531.0,136896.0
2003-01-01,,,,,,,153.482,1571.81,1571.81,,,,,,,,,,,,,,,
2003-02-01,,,,,,,142.793,1462.34,1462.34,,,,,,,,,,,,,,,
2003-03-01,,,,,,,166.05800000000002,1700.6,1700.6,,,,,,,,,,,,,,,
2003-04-01,,,,,,,172.62,1767.8,1767.8,,,,,,,,,,,,,,,
2003-05-01,,,,,,,168.84300000000002,1729.12,1729.12,,,,,,,,,,,,,,,
2003-06-01,,,,,,,171.561,1756.96,1756.96,,,,,,,,,,,,,,,
2003-07-01,,,,,,,163.86,1678.09,1678.09,,,,,,,,,,,,,,,
2003-08-01,,,,,,,156.047,1598.08,1598.08,,,,,,,,,,,,,,,
2003-09-01,,,,,,,129.073,1321.84,1321.84,,,,,,,,,,,,,,,
2003-10-01,,,,,,,149.143,1527.37,1527.37,,,,,,,,,,,,,,,
2003-11-01,,,,,,,157.28400000000002,1610.75,1610.75,,,,,,,,,,,,,,,
2003-12-01,,,,,,,176.23600000000002,1804.83,1804.83,,,,,,,,,,,,,,,
2004-01-01,206.69925,1005.28,14704.93,,,,211.33100000000002,2117.96,2117.96,,,,,,,105.46968,512.95,7503.29,7690.26539,37401.5,547098.4,1937.98768,9425.38,137871.7
2004-02-01,197.44974,960.29,14046.91,,,,181.685,1820.85,1820.85,,,,,,,89.09013999999999,433.29,6338.03,4453.0998,21657.59,316801.13,1727.17431,8400.09,122874.13
2004-03-01,165.38760000000002,804.36,11765.95,,,,174.829,1752.14,1752.14,,,,,,,62.95634,306.19,4478.82,4022.20994,19561.96,286146.78,1721.71712,8373.55,122485.85
2004-04-01,267.69328,1301.92,19044.17,,,,179.354,1797.49,1797.49,,,,,,,0.0,0.0,0.0,15.34925,74.65,1091.97,1459.39047,7097.73,103823.59
2004-05-01,258.96544,1259.47,18423.24,,,,233.27800000000002,2337.91,2337.91,,,,,,,4.98351,24.24,354.54,0.0,0.0,0.0,912.94805,4440.11,64948.67
2004-06-01,220.19557,1070.92,15665.1,,,,260.452,2610.25,2610.25,,,,,,,65.28254,317.5,4644.32,0.0,0.0,0.0,1383.17889,6727.07,98401.78
2004-07-01,265.47803,1291.15,18886.56,,,,196.725,1971.58,1971.58,,,,,,,121.13463999999999,589.14,8617.73,0.0,0.0,0.0,1944.61333,9457.6,138343.11
2004-08-01,235.28607,1144.31,16738.66,,,,188.597,1890.12,1890.12,,,,,,,84.60723999999999,411.49,6019.11,0.0,0.0,0.0,1803.45468,8771.08,128300.87
2004-09-01,227.98488,1108.8,16219.24,,,,166.553,1669.19,1669.19,,,,,,,72.2375,351.33,5139.1,0.0,0.0,0.0,1749.93261,8510.77,124493.21
2004-10-01,254.73133,1238.88,18122.02,,,,175.763,1761.5,1761.5,,,,,,,83.71238,407.13,5955.44,2132.91918,10373.42,151739.46,1844.6021,8971.2,131228.1
2004-11-01,240.45920999999998,1169.47,17106.67,,,,194.68900000000002,1951.17,1951.17,,,,,,,80.48523999999999,391.44,5725.86,3533.65589,17185.89,251390.22,1871.83167,9103.63,133165.25
2004-12-01,169.1857,822.83,12036.16,,,,238.482,2390.07,2390.07,,,,,,,90.29572,439.15,6423.79,1725.22481,8390.61,122735.4,2239.58577,10892.2,159327.91
2006-01-01,2425.495,11796.36,351355.42,,,,224.919,2231.0,2231.0,,,,,,,43.749109999999995,212.77,6337.46,755.36598,3673.71,109421.76,765.3759,3722.4,110871.79
2006-02-01,2201.95457,10709.18,318973.59,,,,178.174,1767.0,1767.0,,,,,,,39.18202,190.56,5675.88,946.87841,4605.13,137164.14,694.83701,3379.33,100653.6
2006-03-01,2384.90314,11598.94,345475.26,,,,136.166,1351.0,1351.0,,,,,,,35.17685,171.08,5095.69,1724.06632,8384.97,249746.94,752.56669,3660.1,109016.24
2006-04-01,2204.31945,10720.68,319316.14,,,,119.152,1182.0,1182.0,,,,,,,31.98174,155.54,4632.85,817.46738,3975.74,118417.74,695.58344,3382.96,100761.72
2006-05-01,2199.04182,10695.01,318551.61,,,,117.159,1162.0,1162.0,,,,,,,37.22032,181.02,5391.71,564.5996700000001,2745.92,81787.5,693.9182000000001,3374.86,100520.49
2006-06-01,2195.33167,10676.97,318014.19,,,,114.86200000000001,1139.0,1139.0,,,,,,,25.314359999999997,123.12,3667.02,543.58004,2643.69,78742.62,692.74693,3369.17,100350.83
2006-07-01,2359.00849,11473.0,341724.24,,,,136.445,1353.0,1353.0,,,,,,,33.5764,163.3,4863.85,673.83083,3277.17,97610.64,744.39628,3620.36,107832.7
2006-08-01,2498.00659,12149.02,361859.42,,,,112.131,1112.0,1112.0,,,,,,,33.002900000000004,160.51,4780.78,717.02472,3487.24,103867.68,788.25779,3833.68,114186.45
2006-09-01,2337.56051,11368.69,338617.37,,,,124.86,1238.0,1238.0,,,,,,,30.69036,149.26,4445.78,419.19187999999997,2038.73,60723.84,737.62826,3587.45,106852.31
2006-10-01,2427.54556,11806.34,351652.6,,,,171.916,1705.0,1705.0,,,,,,,35.16871,171.04,5094.52,417.37432,2029.89,60460.56,766.02341,3725.55,110965.63
2006-11-01,2373.88177,11545.34,343878.73,,,,224.589,2228.0,2228.0,,,,,,,38.62883,187.87,5595.74,678.23298,3298.58,98248.32,749.08942,3643.19,108512.53
2006-12-01,2460.74354,11967.79,356461.43,,,,168.156,1668.0,1668.0,,,,,,,39.61636,192.67,5738.8,755.60511,3674.87,109456.38,776.49898,3776.49,112483.05
2007-01-01,1619.2060000000001,7872.0,224988.0,,,,252.05200000000002,2491.0,2491.0,,,,,,,17.848000000000003,88.0,2480.0,1245.307,6059.0,173035.0,624.701,3043.0,86802.0
2007-02-01,2139.3720000000003,10404.0,347160.0,,,,178.091,1760.0,1760.0,,,,,,,13.804,68.0,2240.0,804.215,3910.0,130502.0,402.497,1955.0,65314.0
2007-03-01,4623.854,22488.0,353100.0,,,,264.213,2611.0,2611.0,,,,,,,32.476,156.0,2480.0,1722.132,8373.0,131510.0,946.784,4607.0,72301.0
2007-04-01,1994.2830000000001,9696.0,353808.0,,,,272.574,2694.0,2694.0,,,,,,,13.528,64.0,2400.0,744.359,3620.0,132058.0,394.406,1921.0,69972.0
2007-05-01,2252.907,10956.0,353100.0,,,,294.992,2916.0,2916.0,,,,,,,15.823,76.0,2480.0,947.061,4606.0,148434.0,472.913,2295.0,74120.0
2007-06-01,2319.503,11280.0,350784.0,,,,251.37900000000002,2485.0,2485.0,,,,,,,15.87,76.0,2400.0,673.3380000000001,3278.0,101831.0,565.421,2754.0,85510.0
2007-07-01,2428.155,11808.0,396852.0,,,,238.28,2355.0,2355.0,,,,,,,15.174000000000001,72.0,2480.0,759.662,3694.0,124157.0,540.671,2635.0,88366.0
2007-08-01,2305.317,11208.0,346848.0,,,,196.089,1938.0,1938.0,,,,,,,16.483,80.0,2480.0,724.625,3523.0,109024.0,587.322,2856.0,88366.0
2007-09-01,2513.632,12228.0,347760.0,,,,126.20700000000001,1247.0,1247.0,,,,,,,17.347,84.0,2400.0,583.433,2839.0,80718.0,618.072,3009.0,85510.0
2007-10-01,2014.863,9804.0,303108.0,,,,147.49200000000002,1458.0,1458.0,,,,,,,16.485,80.0,2480.0,681.525,3317.0,102526.0,587.399,2856.0,88366.0
2007-11-01,2730.8030000000003,13284.0,384348.0,,,,165.17700000000002,1633.0,1633.0,,,,,,,17.62,84.0,2480.0,816.777,3973.0,114958.0,497.03200000000004,2414.0,69955.0
2007-12-01,2731.8740000000003,13284.0,393720.0,,,,199.335,1970.0,1970.0,,,,,,,17.208000000000002,84.0,2480.0,904.6310000000001,4400.0,130376.0,501.66900000000004,2448.0,72301.0
2008-01-01,1270.0030000000002,15506.5,193349.0,,,,198.005,1951.0,1951.0,,,,,,,32.58,398.0,4960.0,800.9960000000001,9780.0,121946.0,813.47,9932.0,123845.0
2008-02-01,1196.0710000000001,14604.0,158549.0,,,,161.86100000000002,1595.0,1595.0,,,,,,,35.004000000000005,427.0,4640.0,873.288,10663.0,115761.0,524.269,6401.0,69496.0
2008-03-01,1220.76,14905.0,194427.5,,,,172.512,1700.0,1700.0,,,,,,,31.143,380.0,4960.0,614.923,7508.0,97937.0,739.912,9034.0,117844.0
2008-04-01,1002.9665,12246.0,173089.5,,,,165.571,1632.0,1632.0,,,,,,,27.814,340.0,4800.0,426.16900000000004,5203.0,73547.0,585.129,7144.0,100980.0
2008-05-01,1021.825,12476.5,164726.0,,,,272.81800000000004,2688.0,2688.0,,,,,,,30.768,376.0,4960.0,403.507,4927.0,65048.0,689.143,8414.0,111095.0
2008-06-01,822.0640000000001,10037.5,149970.5,,,,334.267,3294.0,3294.0,,,,,,,26.311,321.0,4800.0,420.708,5137.0,76751.0,605.519,7393.0,110466.0
2008-07-01,1052.3335,12849.0,169917.0,,,,251.729,2481.0,2481.0,,,,,,,30.718,375.0,4960.0,337.305,4118.0,54464.0,622.6550000000001,7602.0,100538.0
2008-08-01,1133.4565,13839.5,178524.0,,,,161.559,1592.0,1592.0,,,,,,,31.491000000000003,384.0,4960.0,249.63500000000002,3048.0,39319.0,770.863,9412.0,121414.0
2008-09-01,1009.4150000000001,12325.0,141955.0,,,,126.09500000000001,1243.0,1243.0,,,,,,,34.132000000000005,417.0,4800.0,228.031,2784.0,32068.0,854.4060000000001,10432.0,120156.0
2008-10-01,984.3860000000001,12019.0,126330.0,,,,136.828,1348.0,1348.0,,,,,,,38.649,472.0,4960.0,380.99600000000004,4652.0,48895.0,1098.154,13408.0,140930.0
2008-11-01,938.7040000000001,11461.5,122374.0,,,,152.042,1498.0,1498.0,,,,,,,36.82,450.0,4800.0,588.342,7184.0,76699.0,1030.575,12583.0,134351.0
2008-12-01,503.66,6149.5,80579.5,,,,189.25300000000001,1865.0,1865.0,,,,,,,31.002000000000002,379.0,4960.0,475.84400000000005,5810.0,76129.0,550.9490000000001,6727.0,88145.0
2009-01-01,1518.7640000000001,6880.0,222636.0,,,,182.538,1782.0,1782.0,,,,,,,25.377000000000002,115.0,3720.0,791.832,3587.0,116075.0,600.027,2718.0,87958.0
2009-02-01,1333.644,6042.0,232548.0,,,,124.021,1210.0,1210.0,,,,,,,19.269000000000002,87.0,3360.0,529.1370000000001,2397.0,92266.0,425.95,1930.0,74273.0
2009-03-01,1783.621,8080.0,303012.0,,,,131.073,1279.0,1279.0,,,,,,,21.897000000000002,99.0,3720.0,359.61,1629.0,61093.0,554.8720000000001,2514.0,94265.0
2009-04-01,1763.39,7989.0,284100.0,,,,179.418,1751.0,1751.0,,,,,,,22.345,101.0,3600.0,514.065,2329.0,82821.0,453.2,2053.0,73015.0
2009-05-01,1669.4060000000002,7563.0,273180.0,,,,211.702,2066.0,2066.0,,,,,,,22.733,103.0,3720.0,506.05100000000004,2293.0,82810.0,550.81,2495.0,90134.0
2009-06-01,2184.097,9895.0,314292.0,,,,234.812,2292.0,2292.0,,,,,,,25.017,113.0,3600.0,535.974,2428.0,77127.0,403.91200000000003,1830.0,58123.0
2009-07-01,2339.027,10596.0,316776.0,,,,159.72,1559.0,1559.0,,,,,,,27.468,124.0,3720.0,430.223,1949.0,58265.0,724.282,3281.0,98090.0
2009-08-01,2807.248,12718.0,305736.0,,,,112.76700000000001,1101.0,1101.0,,,,,,,34.157000000000004,155.0,3720.0,442.509,2005.0,48194.0,690.086,3126.0,75157.0
2009-09-01,2919.384,13226.0,301440.0,,,,90.498,883.0,883.0,,,,,,,34.865,158.0,3600.0,595.312,2697.0,61469.0,560.4390000000001,2539.0,57868.0
2009-10-01,1483.203,6719.0,239448.0,,,,107.247,1047.0,1047.0,,,,,,,23.043000000000003,104.0,3720.0,449.956,2038.0,72641.0,444.798,2015.0,71808.0
2009-11-01,1913.538,8669.0,333828.0,,,,129.892,1268.0,1268.0,,,,,,,20.636,93.0,3600.0,443.34,2008.0,77343.0,435.48600000000005,1973.0,75973.0
2009-12-01,1702.276,7712.0,310212.0,,,,153.312,1496.0,1496.0,,,,,,,20.413,92.0,3720.0,658.2560000000001,2982.0,119957.0,398.055,1803.0,72539.0
2010-01-01,1547.7530000000002,7012.0,304380.0,,,,226.32600000000002,2208.0,2208.0,,,,,,,9.458,43.0,1860.0,642.984,2913.0,126449.0,406.805,1843.0,80002.0
2010-02-01,1317.006,5966.0,285422.0,,,,198.18900000000002,1934.0,1934.0,,,,,,,7.752000000000001,35.0,1680.0,328.107,1486.0,71108.0,559.135,2533.0,121176.0
2010-03-01,2667.0530000000003,12083.0,300299.0,,,,200.37400000000002,1955.0,1955.0,,,,,,,16.519000000000002,75.0,1860.0,948.129,4295.0,106755.0,1006.2990000000001,4559.0,113305.0
2010-04-01,1091.181,4943.0,230519.0,,,,193.91400000000002,1892.0,1892.0,,,,,,,8.52,39.0,1800.0,383.16200000000003,1736.0,80946.0,502.137,2275.0,106080.0
2010-05-01,1787.4450000000002,8098.0,321594.0,,,,300.345,2930.0,2930.0,,,,,,,10.338000000000001,47.0,1860.0,475.05800000000005,2152.0,85472.0,777.159,3521.0,139825.0
2010-06-01,1602.786,7261.0,310912.0,,,,399.68600000000004,3899.0,3899.0,,,,,,,9.279,42.0,1800.0,320.228,1451.0,62119.0,740.707,3356.0,143684.0
2010-07-01,1621.843,7347.0,317764.0,,,,303.48400000000004,2961.0,2961.0,,,,,,,9.493,43.0,1860.0,286.298,1297.0,56094.0,687.366,3114.0,134674.0
2010-08-01,1639.286,7426.0,313717.0,,,,210.09400000000002,2050.0,2050.0,,,,,,,9.719000000000001,44.0,1860.0,236.132,1070.0,45190.0,794.863,3601.0,152116.0
2010-09-01,1683.7150000000001,7628.0,319724.0,,,,161.41,1575.0,1575.0,,,,,,,9.479000000000001,43.0,1800.0,242.387,1098.0,46028.0,719.419,3259.0,136612.0
2010-10-01,1478.769,6699.0,290563.0,,,,203.424,1985.0,1985.0,,,,,,,9.466000000000001,43.0,1860.0,386.982,1753.0,76038.0,729.783,3306.0,143395.0
2010-11-01,1460.661,6617.0,255554.0,,,,235.49800000000002,2298.0,2298.0,,,,,,,10.288,47.0,1800.0,514.688,2332.0,90049.0,625.363,2833.0,109412.0
2010-12-01,1716.4850000000001,7776.0,307982.0,,,,253.256,2471.0,2471.0,,,,,,,10.366,47.0,1860.0,557.813,2527.0,100086.0,513.336,2326.0,92106.0
2011-01-01,1469.171,6656.0,304141.0,,,,257.078,2498.0,2498.0,,,,,,,0.0,0.0,0.0,404.753,1834.0,83790.0,739.076,3348.0,153000.0
2011-02-01,1453.767,6586.0,269610.0,,,,257.329,2500.0,2500.0,,,,,,,0.0,0.0,0.0,540.937,2451.0,100320.0,443.296,2008.0,82212.0
2011-03-01,1518.806,6881.0,287987.0,,,,273.44,2657.0,2657.0,,,,,,,0.0,0.0,0.0,414.843,1879.0,78660.0,742.351,3363.0,140760.0
2011-04-01,1573.128,7127.0,285399.0,,,,282.666,2746.0,2746.0,,,,,,,0.0,0.0,0.0,339.321,1537.0,61560.0,926.551,4198.0,168096.0
2011-05-01,1741.686,7890.0,299421.0,,,,300.13,2916.0,2916.0,,,,,,,10.819,49.0,1860.0,384.61,1742.0,66120.0,844.885,3828.0,145248.0
2011-06-01,907.788,4113.0,177167.0,,,,306.271,2976.0,2976.0,,,,,,,9.223,42.0,1800.0,400.126,1813.0,78090.0,602.863,2731.0,117657.0
2011-07-01,1438.056,6515.0,273543.0,,,,316.849,3079.0,3079.0,,,,,,,9.778,44.0,1860.0,383.561,1738.0,72960.0,704.605,3192.0,134028.0
2011-08-01,1558.603,7061.0,289286.0,,,,251.016,2439.0,2439.0,,,,,,,10.021,45.0,1860.0,454.51,2059.0,84360.0,652.866,2958.0,121176.0
2011-09-01,1630.018,7384.0,298247.0,,,,160.575,1560.0,1560.0,,,,,,,9.838,45.0,1800.0,289.717,1313.0,53010.0,741.427,3359.0,135660.0
2011-10-01,1706.368,7730.0,306227.0,,,,170.092,1653.0,1653.0,,,,,,,10.364,47.0,1860.0,536.773,2432.0,96330.0,677.495,3069.0,121584.0
2011-11-01,1741.494,7889.0,295385.0,,,,184.932,1797.0,1797.0,,,,,,,0.0,0.0,0.0,557.848,2527.0,94620.0,822.658,3727.0,139536.0
2011-12-01,1749.855,7927.0,307618.0,,,,200.622,1949.0,1949.0,,,,,,,0.0,0.0,0.0,382.603,1733.0,67260.0,1016.542,4605.0,178704.0
2012-01-01,1911.832,8661.0,347544.0,,,,105.126,1000.0,1000.0,,,,,,,59.529,270.0,10821.0,448.824,2033.0,81590.0,925.815,4194.0,168300.0
2012-02-01,1559.342,7064.0,286416.0,,,,91.791,873.0,873.0,,,,,,,55.351,251.0,10167.0,395.325,1791.0,72612.0,832.982,3774.0,153000.0
2012-03-01,1779.607,8062.0,336516.0,,,,130.799,1245.0,1245.0,,,,,,,56.057,254.0,10600.0,480.035,2175.0,90773.0,784.301,3553.0,148308.0
2012-04-01,1844.162,8355.0,338280.0,,,,146.782,1397.0,1397.0,,,,,,,55.369,251.0,10157.0,410.736,1861.0,75343.0,805.733,3650.0,147798.0
2012-05-01,1569.475,7110.0,316128.0,,,,163.594,1557.0,1557.0,,,,,,,52.723,239.0,10620.0,352.234,1596.0,70948.0,770.568,3491.0,155210.0
2012-06-01,1771.087,8024.0,325788.0,,,,158.208,1506.0,1506.0,,,,,,,51.412,233.0,9457.0,226.36,1025.0,41639.0,844.141,3824.0,155278.0
2012-07-01,1723.645,7809.0,328956.0,,,,160.242,1525.0,1525.0,,,,,,,55.781,253.0,10646.0,241.919,1096.0,46170.0,842.655,3817.0,160820.0
2012-08-01,1015.194,4599.0,206496.0,,,,135.528,1290.0,1290.0,,,,,,,50.166,227.0,10204.0,231.441,1048.0,47076.0,754.199,3417.0,153408.0
2012-09-01,1796.407,8138.0,337488.0,,,,81.101,772.0,772.0,,,,,,,54.982,249.0,10329.0,117.842,534.0,22139.0,930.769,4217.0,174862.0
2012-10-01,1946.675,8819.0,350700.0,,,,72.571,691.0,691.0,,,,,,,55.241,250.0,9952.0,130.545,591.0,23518.0,990.539,4487.0,178449.0
2012-11-01,1778.3,8056.0,327324.0,,,,95.654,910.0,910.0,,,,,,,56.553,256.0,10409.0,255.696,1158.0,47065.0,822.451,3726.0,151385.0
2012-12-01,1915.33,8677.0,360228.0,,,,133.604,1271.0,1271.0,,,,,,,56.974,258.0,10715.0,301.159,1364.0,56641.0,933.537,4229.0,175576.0
2013-01-01,2015.259,9130.0,295080.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,727.22,3295.0,106482.0,314.521,1425.0,46053.0
2013-02-01,1510.822,6844.0,296748.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,296.267,1342.0,58191.0,817.911,3705.0,160650.0
2013-03-01,1634.857,7406.0,330312.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,304.094,1378.0,61440.0,1013.049,4589.0,204680.0
2013-04-01,1679.88,7610.0,344952.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,298.597,1353.0,61315.0,882.523,3998.0,181220.0
2013-05-01,1651.372,7481.0,319656.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,260.898,1182.0,50502.0,910.73,4126.0,176290.0
2013-06-01,1389.682,6296.0,289140.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,479.836,2174.0,99836.0,578.482,2621.0,120360.0
2013-07-01,1433.498,6494.0,271008.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,262.186,1188.0,49567.0,1014.316,4595.0,191760.0
2013-08-01,1649.818,7474.0,341664.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,115.216,522.0,23860.0,980.966,4444.0,203150.0
2013-09-01,1034.213,4685.0,201540.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,230.577,1045.0,44933.0,675.21,3059.0,131580.0
2013-10-01,1878.581,8511.0,367140.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,118.763,538.0,23210.0,1051.656,4764.0,205530.0
2013-11-01,1835.845,8317.0,334752.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,192.624,873.0,35123.0,915.531,4148.0,166940.0
2013-12-01,1414.972,6410.0,249444.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,326.631,1480.0,57581.0,962.397,4360.0,169660.0
2014-01-01,1781.491,8071.0,293556.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.513,52.0,1897.0,262.894,1191.0,43320.0,1013.102,4590.0,166940.0
2014-02-01,1715.963,7774.0,290652.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,10.117,46.0,1714.0,253.567,1149.0,42950.0,866.353,3925.0,146744.0
2014-03-01,1994.967,9038.0,344280.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,10.994,50.0,1897.0,234.541,1063.0,40476.0,977.498,4428.0,168691.0
2014-04-01,1867.968,8462.0,354060.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,13.319,60.0,2525.0,158.662,719.0,30073.0,765.051,3466.0,145010.0
2014-05-01,1977.171,8957.0,359172.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.703,39.0,1581.0,95.701,434.0,17385.0,788.425,3572.0,143225.0
2014-06-01,2146.744,9725.0,335964.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.799,40.0,1377.0,33.945,154.0,5312.0,803.512,3640.0,125749.0
2014-07-01,2039.126,9238.0,322344.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,15.502,70.0,2451.0,153.318,695.0,24236.0,748.054,3389.0,118252.0
2014-08-01,1913.809,8670.0,319464.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,10.418,47.0,1739.0,84.821,384.0,14159.0,754.952,3420.0,126021.0
2014-09-01,2098.893,9509.0,323616.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12.404,56.0,1913.0,67.616,306.0,10425.0,807.087,3656.0,124440.0
2014-10-01,2210.706,10015.0,317844.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,13.196,60.0,1897.0,273.236,1238.0,39284.0,710.862,3220.0,102204.0
