measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-12-01,0.0,0.0,0.0,477684.0,5111301.0,5111301.0,1781.0,17922.0,17922.0,,,
2005-01-01,,,,479717.0,5068399.23,5068399.23,338.0,3573.15,3573.15,,,
2005-02-01,,,,374938.0,3982422.24,3982422.24,547.0,6107.85,6107.85,,,
2005-03-01,,,,464854.0,5043549.98,5043549.98,179.0,1944.6,1944.6,,,
2005-04-01,,,,117443.0,1286336.45,1286336.45,96.0,1103.55,1103.55,,,
2005-05-01,,,,406380.0,4321610.8,4321610.8,1167.0,12407.85,12407.85,,,
2005-06-01,,,,443423.0,4803962.9,4803962.9,499.0,5410.65,5410.65,,,
2005-07-01,,,,476891.0,5171564.97,5171564.97,570.0,6933.15,6933.15,,,
2005-08-01,,,,477423.0,5203935.7,5203935.7,176.0,1914.15,1914.15,,,
2005-09-01,,,,455255.0,4640196.32,4640196.32,76.0,849.45,849.45,,,
2005-10-01,,,,345357.0,3766863.8,3766863.8,947.0,10326.75,10326.75,,,
2005-11-01,,,,465386.0,4940686.4,4940686.4,25.0,266.7,266.7,,,
2005-12-01,,,,481456.0,5111869.94,5111869.94,1.0,8.4,8.4,,,
2006-01-01,,,,478164.0,5121202.0,5121202.0,93.0,992.0,992.0,,,
2006-02-01,,,,46736.0,502264.0,502264.0,115.0,1233.0,1233.0,,,
2006-03-01,,,,1870.0,46864.0,46864.0,1046.0,26275.0,26275.0,,,
2006-04-01,,,,454825.0,4867704.0,4867704.0,430.0,4605.0,4605.0,,,
2006-05-01,,,,463708.0,4942870.0,4942870.0,441.0,4704.0,4704.0,,,
2006-06-01,,,,459070.0,4905310.0,4905310.0,94.0,1033.0,1033.0,,,
2006-07-01,,,,477373.0,5116924.0,5116924.0,2.0,25.0,25.0,,,
2006-08-01,,,,477894.0,5143840.0,5143840.0,41.0,444.0,444.0,,,
2006-09-01,,,,375188.0,4108118.0,4108118.0,773.0,8467.0,8467.0,,,
2006-10-01,,,,324480.0,3560125.0,3560125.0,949.0,10419.0,10419.0,,,
2006-11-01,,,,460063.0,4883346.0,4883346.0,229.0,2434.0,2434.0,,,
2006-12-01,,,,477181.0,5056449.0,5056449.0,695.0,7367.0,7367.0,,,
2007-01-01,,,,474613.034,5348174.0,5348174.0,628.966,7088.0,7088.0,,,
2007-02-01,,,,228227.947,2578886.0,2578886.0,384.053,4340.0,4340.0,,,
2007-03-01,,,,198213.545,2233485.0,2233485.0,1102.455,12423.0,12423.0,,,
2007-04-01,,,,449999.562,4916598.0,4916598.0,588.438,6429.0,6429.0,,,
2007-05-01,,,,379315.512,4173352.0,4173352.0,746.488,8213.0,8213.0,,,
2007-06-01,,,,459565.975,5127983.0,5127983.0,309.025,3448.0,3448.0,,,
2007-07-01,,,,480086.498,5332370.0,5332370.0,60.502,672.0,672.0,,,
2007-08-01,,,,479655.942,5328105.0,5328105.0,49.058,545.0,545.0,,,
2007-09-01,,,,257734.178,2968568.0,2968568.0,4095.822,47175.0,47175.0,,,
2007-10-01,,,,465421.13,5192253.0,5192253.0,587.87,6558.0,6558.0,,,
2007-11-01,,,,463831.479,5113758.0,5113758.0,761.5210000000001,8396.0,8396.0,,,
2007-12-01,,,,478145.36,5282407.0,5282407.0,660.64,7299.0,7299.0,,,
2008-01-01,,,,421177.375,4570885.0,4570885.0,3801.625,41258.0,41258.0,,,
2008-02-01,,,,446891.397,4734632.0,4734632.0,210.603,2231.0,2231.0,,,
2008-03-01,,,,109214.539,1152532.0,1152532.0,166.461,1757.0,1757.0,,,
2008-04-01,,,,347437.2,3711605.0,3711605.0,2693.8,28777.0,28777.0,,,
2008-05-01,,,,391359.907,4283748.0,4283748.0,2744.0930000000003,30036.0,30036.0,,,
2008-06-01,,,,411728.292,4503077.0,4503077.0,1705.708,18655.0,18655.0,,,
2008-07-01,,,,384991.679,4257156.0,4257156.0,1285.3210000000001,14213.0,14213.0,,,
2008-08-01,,,,455670.635,5050539.0,5050539.0,923.365,10234.0,10234.0,,,
2008-09-01,,,,443528.778,4917451.0,4917451.0,738.222,8185.0,8185.0,,,
2008-10-01,,,,344068.973,3858132.0,3858132.0,849.027,9520.0,9520.0,,,
2008-11-01,,,,451468.252,4950265.0,4950265.0,520.748,5710.0,5710.0,,,
2008-12-01,,,,469879.813,5206286.0,5206286.0,630.187,6983.0,6983.0,,,
2009-01-01,,,,471218.708,5216334.0,5216334.0,466.29200000000003,5162.0,5162.0,,,
2009-02-01,,,,266565.391,2937474.0,2937474.0,1666.6090000000002,18366.0,18366.0,,,
2009-03-01,,,,104414.815,1155839.0,1155839.0,1176.185,13020.0,13020.0,,,
2009-04-01,,,,419620.254,4618731.0,4618731.0,1268.746,13965.0,13965.0,,,
2009-05-01,,,,382280.651,4259069.0,4259069.0,965.349,10755.0,10755.0,,,
2009-06-01,,,,349204.019,3780551.0,3780551.0,1358.981,14713.0,14713.0,,,
2009-07-01,,,,373725.148,4054072.0,4054072.0,1918.852,20815.0,20815.0,,,
2009-08-01,,,,464191.561,4954428.0,4954428.0,773.4390000000001,8255.0,8255.0,,,
2009-09-01,,,,354085.561,3955326.0,3955326.0,2091.4390000000003,23363.0,23363.0,,,
2009-10-01,,,,72496.084,1017354.0,1017354.0,2741.916,38478.0,38478.0,,,
2009-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-12-01,,,,185718.75,2098611.0,2098611.0,4082.25,46129.0,46129.0,,,
2010-01-01,,,,358904.688,3826721.0,3826721.0,1896.3120000000001,20219.0,20219.0,,,
2010-02-01,,,,367222.061,3892592.0,3892592.0,1474.939,15635.0,15635.0,,,
2010-03-01,,,,458450.396,4894187.0,4894187.0,831.604,8878.0,8878.0,,,
2010-04-01,,,,440747.11,4729327.0,4729327.0,594.89,6383.0,6383.0,,,
2010-05-01,,,,465391.35000000003,4988696.0,4988696.0,661.65,7092.0,7092.0,,,
2010-06-01,,,,451370.306,4873607.0,4873607.0,483.694,5223.0,5223.0,,,
2010-07-01,,,,404373.047,4369587.0,4369587.0,1119.953,12102.0,12102.0,,,
2010-08-01,,,,472590.15,5110284.0,5110284.0,414.85,4486.0,4486.0,,,
2010-09-01,,,,365197.777,3937360.0,3937360.0,384.223,4142.0,4142.0,,,
2010-10-01,,,,134073.644,1477543.0,1477543.0,616.356,6792.0,6792.0,,,
2010-11-01,,,,458404.648,4949186.0,4949186.0,493.35200000000003,5327.0,5327.0,,,
2010-12-01,,,,461156.142,4873405.0,4873405.0,416.858,4405.0,4405.0,,,
2011-01-01,,,,455803.34,4845942.0,4845942.0,900.66,9576.0,9576.0,,,
2011-02-01,,,,420510.79,4468573.0,4468573.0,729.212,7749.0,7749.0,,,
2011-03-01,,,,439073.71,4927418.0,4927418.0,1258.287,14121.0,14121.0,,,
2011-04-01,,,,411161.49,4372297.0,4372297.0,1.506,16.0,16.0,,,
2011-05-01,,,,428938.81,4613654.0,4613654.0,2814.194,30269.0,30269.0,,,
2011-06-01,,,,433959.07,4665142.0,4665142.0,883.929,9502.0,9502.0,,,
2011-07-01,,,,429588.7,4653332.0,4653332.0,781.297,8463.0,8463.0,,,
2011-08-01,,,,467685.14,5024898.0,5024898.0,1333.856,14331.0,14331.0,,,
2011-09-01,,,,458471.49,4911732.0,4911732.0,245.51,2630.0,2630.0,,,
2011-10-01,,,,214713.79,2308111.0,2308111.0,17.207,185.0,185.0,,,
2011-11-01,,,,119070.6,1299286.0,1299286.0,2554.396,27873.0,27873.0,,,
2011-12-01,,,,430410.65,4561660.0,4561660.0,1006.346,10666.0,10666.0,,,
2012-01-01,,,,462960.83,4916687.0,4916687.0,207.169,2200.0,2200.0,,,
2012-02-01,,,,378585.69,4031664.0,4031664.0,747.311,7958.0,7958.0,,,
2012-03-01,,,,472386.6,5031888.0,5031888.0,254.396,2710.0,2710.0,,,
2012-04-01,,,,449696.16,4829324.0,4829324.0,227.845,2447.0,2447.0,,,
2012-05-01,,,,460880.68,4974407.0,4974407.0,378.319,4083.0,4083.0,,,
2012-06-01,,,,404682.9,4387727.0,4387727.0,689.097,7471.0,7471.0,,,
2012-07-01,,,,442915.06,4817105.0,4817105.0,735.938,8004.0,8004.0,,,
2012-08-01,,,,315259.69,3401890.0,3401890.0,1056.315,11398.0,11398.0,,,
2012-09-01,,,,452199.26,4856635.0,4856635.0,213.743,2296.0,2296.0,,,
2012-10-01,,,,288785.89,3065555.0,3065555.0,138.11,1466.0,1466.0,,,
2012-11-01,,,,0.0,0.0,0.0,0.0,314.0,314.0,,,
2012-12-01,,,,187751.52,2117144.0,2117144.0,2702.484,30474.0,30474.0,,,
2013-01-01,,,,469833.25,5043691.0,5043691.0,427.75,4592.0,4592.0,,,
2013-02-01,,,,390178.9,4165096.0,4165096.0,676.096,7217.0,7217.0,,,
2013-03-01,,,,481635.3,5139669.0,5139669.0,49.701,530.0,530.0,,,
2013-04-01,,,,403526.45,4338654.0,4338654.0,1129.553,12145.0,12145.0,,,
2013-05-01,,,,443010.61,4733328.0,4733328.0,1327.395,14182.0,14182.0,,,
2013-06-01,,,,458840.66,4942727.0,4942727.0,282.336,3041.0,3041.0,,,
2013-07-01,,,,477699.14,5141265.0,5141265.0,409.863,4411.0,4411.0,,,
2013-08-01,,,,479457.48,5171558.0,5171558.0,356.522,3846.0,3846.0,,,
2013-09-01,,,,456349.06,4934989.0,4934989.0,647.941,7007.0,7007.0,,,
2013-10-01,,,,458236.67,4952766.0,4952766.0,129.331,1398.0,1398.0,,,
2013-11-01,,,,227069.79,2451389.0,2451389.0,185.212,2000.0,2000.0,,,
2013-12-01,,,,180984.55,1974761.0,1974761.0,3701.451,40387.0,40387.0,,,
2014-01-01,,,,478844.43,5057002.0,5057002.0,236.574,2498.0,2498.0,,,
2014-02-01,,,,434395.89,4582099.0,4582099.0,136.114,1436.0,1436.0,,,
2014-03-01,,,,408648.53,4331021.0,4331021.0,1820.475,19294.0,19294.0,,,
2014-04-01,,,,444639.39,4711612.0,4711612.0,1201.612,12733.0,12733.0,,,
2014-05-01,,,,424159.73,4468452.0,4468452.0,1084.272,11423.0,11423.0,0.0,0.0,0.0
2014-06-01,,,,468057.43,4932917.0,4932917.0,91.567,965.0,965.0,0.0,0.0,0.0
2014-07-01,,,,472646.95,5032414.0,5032414.0,642.055,6836.0,6836.0,0.0,0.0,0.0
2014-08-01,,,,481646.49,5108230.0,5108230.0,405.508,4301.0,4301.0,0.0,0.0,0.0
2014-09-01,,,,465155.68,4928339.0,4928339.0,165.325,1752.0,1752.0,0.0,0.0,0.0
2014-10-01,,,,155586.75,1648351.0,1648351.0,89.252,946.0,946.0,0.0,0.0,0.0
2014-11-01,,,,358056.27,3823657.0,3823657.0,4129.73,44101.0,44101.0,0.0,0.0,0.0
2014-12-01,,,,482730.52,5073111.0,5073111.0,81.482,856.0,856.0,,,
2015-01-01,,,,434101.16,4654062.0,4654062.0,1260.837,13518.0,13518.0,0.0,0.0,0.0
2015-02-01,,,,352146.63,3750610.0,3750610.0,1039.37,11070.0,11070.0,0.0,0.0,0.0
2015-03-01,,,,480212.6,5090213.0,5090213.0,30.4,322.0,322.0,0.0,0.0,0.0
2015-04-01,,,,379921.91,4030766.0,4030766.0,926.089,9825.0,9825.0,0.0,0.0,0.0
2015-05-01,,,,422128.15,4488979.0,4488979.0,996.852,10601.0,10601.0,0.0,0.0,0.0
2015-06-01,,,,401654.51,4309294.0,4309294.0,764.489,8202.0,8202.0,0.0,0.0,0.0
2015-07-01,,,,478780.77,5110706.0,5110706.0,32.233,344.0,344.0,0.0,0.0,0.0
2015-08-01,,,,475421.31,5091500.0,5091500.0,142.686,1528.0,1528.0,0.0,0.0,0.0
2015-09-01,,,,448953.39,4800807.0,4800807.0,557.614,5963.0,5963.0,0.0,0.0,0.0
2015-10-01,,,,28662.553,308309.0,308309.0,134.447,1446.0,1446.0,0.0,0.0,0.0
2015-11-01,,,,275448.36,2953312.0,2953312.0,2891.64,31004.0,31004.0,0.0,0.0,0.0
2015-12-01,,,,395937.86,4152930.0,4152930.0,1060.137,11120.0,11120.0,,,
2016-01-01,,,,475335.22,4943721.0,4943721.0,59.785,622.0,622.0,0.0,0.0,0.0
2016-02-01,,,,430222.04,4507399.0,4507399.0,296.959,3111.0,3111.0,0.0,0.0,0.0
2016-03-01,,,,431915.61,4566511.0,4566511.0,1272.395,13453.0,13453.0,0.0,0.0,0.0
2016-04-01,,,,450788.66,4734999.0,4734999.0,158.343,1663.0,1663.0,0.0,0.0,0.0
2016-05-01,,,,414419.18,4365371.0,4365371.0,972.825,10247.0,10247.0,0.0,0.0,0.0
2016-06-01,,,,465143.5,4828888.0,4828888.0,2.504,26.0,26.0,0.0,0.0,0.0
2016-07-01,,,,454954.14,4772954.0,4772954.0,611.865,6419.0,6419.0,0.0,0.0,0.0
2016-08-01,,,,422470.03,4430414.0,4430414.0,761.972,7991.0,7991.0,0.0,0.0,0.0
2016-09-01,,,,464407.58,4846483.0,4846483.0,71.416,745.0,745.0,0.0,0.0,0.0
2016-10-01,,,,435797.66,4536955.0,4536955.0,105.344,1097.0,1097.0,0.0,0.0,0.0
2016-11-01,,,,149932.45,1601650.0,1601650.0,2233.547,23860.0,23860.0,0.0,0.0,0.0
2016-12-01,,,,485769.69,5021117.0,5021117.0,32.311,334.0,334.0,0.0,0.0,0.0
2017-01-01,,,,474291.69,4900968.0,4900968.0,597.315,6172.0,6172.0,0.0,0.0,0.0
2017-02-01,,,,402887.91,4211903.0,4211903.0,657.095,6869.0,6869.0,0.0,0.0,0.0
2017-03-01,,,,357957.16,3755859.0,3755859.0,96.836,1016.0,1016.0,0.0,0.0,0.0
2017-04-01,,,,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
2017-05-01,,,,194725.42,2162039.0,2162039.0,3940.576,43752.0,43752.0,0.0,0.0,0.0
2017-06-01,,,,308472.41,3243245.0,3243245.0,1110.589,11677.0,11677.0,0.0,0.0,0.0
2017-07-01,,,,402116.05,4240463.0,4240463.0,1642.952,17326.0,17326.0,,,
2017-08-01,,,,475326.45,4967567.0,4967567.0,5.55,58.0,58.0,0.0,0.0,0.0
2017-09-01,,,,427534.36,4473747.0,4473747.0,278.642,2916.0,2916.0,,,
2017-10-01,,,,335677.8,3512673.0,3512673.0,1720.197,18001.0,18001.0,,,
2017-11-01,,,,449717.24,4975264.0,4975264.0,634.76,7022.0,7022.0,,,
2017-12-01,,,,456212.96,4728469.0,4728469.0,182.045,1887.0,1887.0,,,
2018-01-01,,,,464099.12,4826275.0,4826275.0,632.879,6581.0,6581.0,,,
2018-02-01,,,,391537.67,4079729.0,4079729.0,1082.328,11278.0,11278.0,,,
2018-03-01,,,,448833.81,4667161.0,4667161.0,152.192,1583.0,1583.0,,,
2018-04-01,,,,119365.58,1272873.0,1272873.0,1736.424,18517.0,18517.0,,,
2018-05-01,,,,464249.65,4834010.0,4834010.0,396.347,4127.0,4127.0,,,
2018-06-01,,,,447574.6,4683205.0,4683205.0,256.4,2683.0,2683.0,,,
2018-07-01,,,,390796.68,4084522.0,4084522.0,1313.318,13727.0,13727.0,,,
2018-08-01,,,,475656.45,4926782.0,4926782.0,37.555,389.0,389.0,,,
2018-09-01,,,,455825.66,4727574.0,4727574.0,55.337,574.0,574.0,,,
2018-10-01,,,,341303.92,3592754.0,3592754.0,769.078,8096.0,8096.0,,,
2018-11-01,,,,301149.6,3125539.0,3125539.0,671.396,6968.0,6968.0,,,
2018-12-01,,,,276796.2,2888840.0,2888840.0,955.802,9975.0,9975.0,,,
2019-01-01,,,,479366.84,5000445.0,5000445.0,134.157,1399.0,1399.0,,,
2019-02-01,,,,349722.77,3670133.0,3670133.0,873.231,9164.0,9164.0,,,
2019-03-01,,,,337041.2,3536138.0,3536138.0,1127.805,11833.0,11833.0,,,
2019-04-01,,,,372266.51,4007082.0,4007082.0,659.489,7099.0,7099.0,,,
2019-05-01,,,,330939.54,3524133.0,3524133.0,897.459,9557.0,9557.0,,,
2019-06-01,,,,299626.93,3279612.0,3279612.0,978.075,10706.0,10706.0,,,
2019-07-01,,,,303672.68,3359215.0,3359215.0,1125.32,12448.0,12448.0,,,
2019-08-01,,,,351624.0,3885810.0,3885810.0,0.0,0.0,0.0,,,
2019-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-11-01,,,,81118.681,886779.0,886779.0,4086.319,44671.0,44671.0,,,
2019-12-01,,,,154850.51,1738171.0,1738171.0,1041.493,11691.0,11691.0,,,
2020-01-01,,,,249203.0,2735270.0,2735270.0,0.0,0.0,0.0,,,
2020-02-01,,,,244935.0,2752621.0,2752621.0,0.0,0.0,0.0,,,
2020-03-01,,,,230082.0,2581157.0,2581157.0,0.0,0.0,0.0,,,
2020-04-01,,,,153181.0,1748449.0,1748449.0,0.0,0.0,0.0,,,
2020-05-01,,,,31046.0,367866.0,367866.0,0.0,0.0,0.0,,,
2020-06-01,,,,59325.726,694705.0,694705.0,705.274,8259.0,8259.0,,,
2020-07-01,,,,257783.36,3012796.0,3012796.0,846.644,9895.0,9895.0,,,
2020-08-01,,,,271967.34,3176746.0,3176746.0,378.662,4423.0,4423.0,,,
2020-09-01,,,,16200.533,195300.0,195300.0,43.467,524.0,524.0,,,
2020-10-01,,,,59298.554,697718.0,697718.0,1699.446,19996.0,19996.0,,,
2020-11-01,,,,274685.75,3097203.0,3097203.0,1591.246,17942.0,17942.0,,,
2020-12-01,,,,331508.7,3651768.0,3651768.0,1070.3,11790.0,11790.0,,,
2021-01-01,,,,371526.45,4075419.0,4075419.0,988.554,10844.0,10844.0,,,
2021-02-01,,,,180551.73,2060042.0,2060042.0,3050.269,34803.0,34803.0,,,
2021-03-01,,,,267519.28,2900328.0,2900328.0,1141.717,12378.0,12378.0,,,
2021-04-01,,,,182973.47,1946189.0,1946189.0,849.531,9036.0,9036.0,,,
2021-05-01,,,,54911.788,654471.0,654471.0,682.212,8131.0,8131.0,,,
2021-06-01,,,,194207.06,2240345.0,2240345.0,1969.945,22725.0,22725.0,,,
2021-07-01,,,,247437.04,2872826.0,2872826.0,755.965,8777.0,8777.0,,,
2021-08-01,,,,289698.19,3237790.0,3237790.0,918.809,10269.0,10269.0,,,
2021-09-01,,,,391264.9,4341973.0,4341973.0,256.099,2842.0,2842.0,,,
2021-10-01,,,,110343.64,1248165.0,1248165.0,157.36,1780.0,1780.0,,,
2021-11-01,,,,273560.43,2978825.0,2978825.0,1363.566,14848.0,14848.0,,,
2021-12-01,,,,113066.28,1251466.0,1251466.0,541.721,5996.0,5996.0,,,
2022-01-01,,,,239178.16,2795065.0,2795065.0,251.837,2943.0,2943.0,,,
2022-02-01,,,,170816.47,1990836.0,1990836.0,916.53,10682.0,10682.0,,,
2022-03-01,,,,43094.593,523824.0,523824.0,825.407,10033.0,10033.0,,,
2022-04-01,,,,232378.84,2476981.0,2476981.0,1487.161,15852.0,15852.0,,,
2022-05-01,,,,271167.19,2951012.0,2951012.0,1438.807,15658.0,15658.0,,,
2022-06-01,,,,359360.06,3766297.0,3766297.0,94.938,995.0,995.0,,,
2022-07-01,,,,368634.51,4000817.0,4000817.0,1023.489,11108.0,11108.0,,,
2022-08-01,,,,359941.72,3933325.0,3933325.0,526.279,5751.0,5751.0,,,
2022-09-01,,,,323831.62,3446179.0,3446179.0,246.385,2622.0,2622.0,,,
2022-10-01,,,,211289.93,2390369.0,2390369.0,572.074,6472.0,6472.0,,,
2022-11-01,,,,11925.014,144148.0,144148.0,638.986,7724.0,7724.0,,,
2022-12-01,,,,357856.49,3854005.0,3854005.0,280.509,3021.0,3021.0,,,
2023-01-01,,,,276307.24,3092380.0,3092380.0,383.763,4295.0,4295.0,,,
2023-02-01,,,,275518.35,3017023.0,3017023.0,849.653,9304.0,9304.0,,,
2023-03-01,,,,318340.54,3460655.0,3460655.0,341.461,3712.0,3712.0,,,
