measured_on,Municiapl Landfill Gas-Fuel Cell Generation,Municiapl Landfill Gas-Fuel Cell Quantity Consumed For Electricity,Municiapl Landfill Gas-Fuel Cell Total Fuel Consumed,Other Biomass Gas-Fuel Cell Generation,Other Biomass Gas-Fuel Cell Quantity Consumed For Electricity,Other Biomass Gas-Fuel Cell Total Fuel Consumed
2022-07-01,1910.495,16320.0,16320.0,0.0,0.0,0.0
2022-08-01,2009.791,17168.0,17168.0,0.0,0.0,0.0
2022-09-01,1948.137,16642.0,16642.0,0.0,0.0,0.0
2022-10-01,1961.054,16752.0,16752.0,0.0,0.0,0.0
2022-11-01,1665.312,14225.0,14225.0,0.0,0.0,0.0
2022-12-01,1898.613,16219.0,16219.0,0.0,0.0,0.0
2023-01-01,1989.354,15128.0,15128.0,0.0,0.0,0.0
2023-02-01,1931.964,14690.0,14690.0,0.0,0.0,0.0
2023-03-01,2041.228,15521.0,15521.0,0.0,0.0,0.0
2023-04-01,1945.783,14796.0,14796.0,0.0,0.0,0.0
2023-05-01,2387.994,18158.0,18158.0,0.0,0.0,0.0
2023-06-01,2134.875,16234.0,16234.0,0.0,0.0,0.0
2023-07-01,2228.471,16945.0,16945.0,0.0,0.0,0.0
2023-08-01,2393.061,18197.0,18197.0,0.0,0.0,0.0
2023-09-01,2230.022,16957.0,16957.0,0.0,0.0,0.0
2023-10-01,2102.052,15984.0,15984.0,0.0,0.0,0.0
2023-11-01,2137.113,16250.0,16250.0,0.0,0.0,0.0
2023-12-01,2411.083,18334.0,18334.0,0.0,0.0,0.0
2024-01-01,2403.0,17233.0,17233.0,0.0,0.0,0.0
2024-02-01,2363.0,17078.0,17078.0,0.0,0.0,0.0
2024-03-01,2670.0,19254.0,19254.0,0.0,0.0,0.0
2024-04-01,2421.0,17483.0,17483.0,0.0,0.0,0.0
2024-05-01,2485.0,17941.0,17941.0,0.0,0.0,0.0
2024-06-01,2417.0,17470.0,17470.0,0.0,0.0,0.0
2024-07-01,2501.0,18009.0,18009.0,0.0,0.0,0.0
2024-08-01,2561.0,18346.0,18346.0,0.0,0.0,0.0
2024-09-01,2462.0,17790.0,17790.0,0.0,0.0,0.0
2024-10-01,2571.0,18591.0,18591.0,0.0,0.0,0.0
2024-11-01,2299.0,16539.0,16539.0,0.0,0.0,0.0
2024-12-01,2461.0,17761.0,17761.0,0.0,0.0,0.0
