measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2002-01-01,52717.0,652848.0,652848.0,909.0,13222.0,13222.0,,,,0.0,0.0,0.0
2002-02-01,102165.0,1126048.0,1126048.0,1051.5,13210.0,13210.0,,,,-30.0,106.0,106.0
2002-03-01,177685.0,2066596.0,2066596.0,1873.5,23833.0,23833.0,,,,53.0,708.0,708.0
2002-04-01,156847.0,1851528.0,1851528.0,333.5,3977.0,3977.0,,,,3860.0,45423.0,45423.0
2002-05-01,134872.0,1581048.0,1581048.0,837.5,9893.5,9893.5,,,,2631.0,30400.0,30400.0
2002-06-01,160149.0,1839488.0,1839488.0,4789.5,58478.0,58478.0,,,,213.0,2610.0,2610.0
2002-07-01,197400.0,2213904.0,2213904.0,13250.0,162854.0,162854.0,,,,1947.0,23931.0,23931.0
2002-08-01,162402.0,1813140.0,1813140.0,7111.0,86413.0,86413.0,,,,590.0,7212.0,7212.0
2002-09-01,163894.0,1667850.0,1667850.0,4359.0,52844.0,52844.0,,,,430.0,5346.0,5346.0
2002-10-01,159532.0,1649785.0,1649785.0,2466.0,29252.0,29252.0,,,,15.0,190.0,190.0
2002-11-01,144036.0,1506152.0,1506152.0,2666.5,32304.0,32304.0,,,,13.0,165.0,165.0
2002-12-01,197241.0,2011686.0,2011686.0,8090.0,94456.0,94456.0,,,,11.0,129.0,129.0
2003-01-01,247697.0,2402849.0,2402849.0,3310.6666666666665,38719.333333333336,38719.333333333336,,,,0.0,0.0,0.0
2003-02-01,209936.0,2379965.0,2379965.0,3367.3333333333335,39413.666666666664,39413.666666666664,,,,8.0,93.0,93.0
2003-03-01,114063.0,1113202.0,1113202.0,5555.0,64463.0,64463.0,,,,27.0,310.0,310.0
2003-04-01,53642.0,545196.0,545196.0,1090.6666666666667,13548.666666666666,13548.666666666666,,,,17.0,220.0,220.0
2003-05-01,65815.0,707097.0,707097.0,1572.0,18429.666666666668,18429.666666666668,,,,0.0,0.0,0.0
2003-06-01,126297.0,1318339.0,1318339.0,1564.3333333333333,18495.666666666668,18495.666666666668,,,,57.0,697.0,697.0
2003-07-01,179264.0,2045342.0,2045342.0,3161.6666666666665,37553.0,37553.0,,,,0.0,0.0,0.0
2003-08-01,178910.0,2080934.0,2080934.0,3873.6666666666665,46665.333333333336,46665.333333333336,,,,53.0,645.0,645.0
2003-09-01,185884.0,1896546.0,1896546.0,751.6666666666666,9280.0,9280.0,,,,53.0,672.0,672.0
2003-10-01,138125.0,1401288.0,1401288.0,1849.3333333333333,21674.0,21674.0,,,,0.0,0.0,0.0
2003-11-01,129443.0,1315510.0,1315510.0,460.6666666666667,5325.333333333333,5325.333333333333,,,,0.0,0.0,0.0
2003-12-01,171468.0,1709577.0,1709577.0,844.0,9248.666666666666,9248.666666666666,,,,0.0,0.0,0.0
2004-01-01,209257.0,2016079.0,2016079.0,4625.866666666667,52936.666666666664,52936.666666666664,,,,0.0,0.0,0.0
2004-02-01,186888.0,1630525.0,1630525.0,2409.695666666667,29088.333333333332,29088.333333333332,,,,0.0,0.0,0.0
2004-03-01,244089.0,2077781.0,2077781.0,656.4186666666666,7560.666666666667,7560.666666666667,,,,0.0,0.0,0.0
2004-04-01,157734.0,1555594.0,1555594.0,1627.0256666666667,19003.333333333332,19003.333333333332,,,,0.0,0.0,0.0
2004-05-01,188526.0,1852838.0,1852838.0,2461.077333333333,29487.666666666668,29487.666666666668,,,,463.0,5754.0,5754.0
2004-06-01,187134.0,1859862.0,1859862.0,967.6046666666666,10861.0,10861.0,,,,0.0,0.0,0.0
2004-07-01,157624.0,1599326.0,1599326.0,307.32233333333335,3171.3333333333335,3171.3333333333335,,,,-180.0,1809.0,1809.0
2004-08-01,180320.0,2005828.0,2005828.0,428.60833333333335,5091.0,5091.0,,,,32.0,400.0,400.0
2004-09-01,212759.0,1299029.0,1299029.0,1596.9696666666666,10930.333333333334,10930.333333333334,,,,0.0,0.0,0.0
2004-10-01,69053.0,736682.0,736682.0,554.7826666666666,6528.666666666667,6528.666666666667,,,,0.0,0.0,0.0
2004-11-01,149220.0,1491459.0,1491459.0,631.02,7356.0,7356.0,,,,0.0,0.0,0.0
2004-12-01,182515.0,1812550.0,1812550.0,2133.275,25724.0,25724.0,,,,47.0,548.0,548.0
2005-01-01,191849.0,1909055.12,1909055.12,3912.5826666666667,44632.76666666666,44632.76666666666,,,,122.0,1425.52,1425.52
2005-02-01,163011.0,1616129.48,1616129.48,515.609,6442.55,6442.55,,,,19.0,264.71,264.71
2005-03-01,126142.0,1233231.34,1233231.34,1040.72,12023.496666666666,12023.496666666666,,,,42.0,521.18,521.18
2005-04-01,122472.0,1210496.22,1210496.22,-23.33366666666667,288.88000000000005,288.88000000000005,,,,-9.0,117.42,117.42
2005-05-01,150488.0,1518512.42,1518512.42,604.7616666666667,6848.866666666666,6848.866666666666,,,,6.0,89.61,89.61
2005-06-01,187842.0,1886046.98,1886046.98,900.5770000000001,21610.98,21610.98,,,,3262.0,9783.97,9783.97
2005-07-01,223822.0,2175224.8,2175224.8,1112.0546666666667,13793.316666666668,13793.316666666666,,,,350.0,4416.64,4416.64
2005-08-01,244528.0,2369689.5,2369689.5,2980.8116666666665,39668.09666666667,39668.09666666667,,,,1290.0,1727.31,1727.31
2005-09-01,185581.0,1782820.6,1782820.6,2874.829333333333,34332.74,34332.74,,,,157.0,1892.11,1892.11
2005-10-01,188913.0,1904984.64,1904984.64,6487.172666666666,73467.97,73467.96999999999,,,,278.0,3322.19,3322.19
2005-11-01,152713.0,1511761.38,1511761.38,939.4756666666667,11162.746666666666,11162.746666666668,,,,49.0,601.24,601.24
2005-12-01,218354.0,2133700.94,2133700.94,488.73900000000003,8008.55,8008.549999999999,,,,27.0,437.33,437.33
2006-01-01,148839.0,1586306.0,1586306.0,263.1843333333333,3498.0,3498.0,,,,0.0,0.0,0.0
2006-02-01,199559.0,2012352.0,2012352.0,143.19966666666667,2192.0,2192.0,,,,0.0,1399.0,1399.0
2006-03-01,230836.0,2320164.0,2320164.0,82.047,4353.333333333333,4353.333333333333,,,,4.0,82.0,82.0
2006-04-01,173972.0,1802058.0,1802058.0,97.63633333333333,1593.6666666666667,1593.6666666666667,,,,0.0,0.0,0.0
2006-05-01,177052.0,1858371.0,1858371.0,466.4663333333333,5376.333333333333,5376.333333333333,,,,475.0,5802.0,5802.0
2006-06-01,177493.0,1879321.0,1879321.0,212.16600000000003,2384.0,2384.0,,,,256.0,4620.0,4620.0
2006-07-01,223108.0,2306797.0,2306797.0,344.5543333333333,4118.0,4118.0,,,,1065.0,14187.0,14187.0
2006-08-01,180182.0,1854422.0,1854422.0,951.752,12145.666666666666,12145.666666666666,,,,1717.0,22908.0,22908.0
2006-09-01,84818.0,931120.0,931120.0,105.30633333333333,1687.6666666666667,1687.6666666666667,,,,0.0,0.0,0.0
2006-10-01,176129.0,1865795.0,1865795.0,146.58266666666668,2077.6666666666665,2077.6666666666665,,,,0.0,0.0,0.0
2006-11-01,187173.0,1910286.0,1910286.0,107.80533333333334,1828.0,1828.0,,,,0.0,24.0,24.0
2006-12-01,196576.0,2018163.0,2018163.0,-2.55,3.0,3.0,,,,246.0,4148.0,4148.0
2007-01-01,172594.896,1774709.0,1774709.0,665.1815,8370.0,8370.0,,,,27.741,722.0,722.0
2007-02-01,212971.663,2084374.0,2084374.0,740.4465,11997.5,11997.5,,,,576.4440000000001,11670.0,11670.0
2007-03-01,151625.992,1555935.0,1555935.0,1159.3465,13840.0,13840.0,,,,26.315,341.0,341.0
2007-04-01,75622.26699999999,840556.0,840556.0,933.9255,11600.0,11600.0,,,,26.882,340.0,340.0
2007-05-01,158500.012,1745014.0,1745014.0,746.494,8653.5,8653.5,,,,-79.0,0.0,0.0
2007-06-01,211346.153,2241658.0,2241658.0,1250.5480000000002,16603.0,16603.0,,,,110.751,1532.0,1532.0
2007-07-01,227691.007,2356479.0,2356479.0,900.3305,10709.5,10709.5,,,,695.332,8833.0,8833.0
2007-08-01,231795.166,2383420.0,2383420.0,396.79,4237.5,4237.5,,,,349.254,6109.0,6109.0
2007-09-01,191564.561,1942161.0,1942161.0,938.4035000000001,11609.0,11609.0,,,,41.632000000000005,553.0,553.0
2007-10-01,204625.301,2150404.0,2150404.0,729.453,10230.5,10230.5,,,,444.793,7198.0,7198.0
2007-11-01,177390.223,1899749.0,1899749.0,907.813,10455.5,10455.5,,,,18.151,283.0,283.0
2007-12-01,223002.02,2289693.0,2289693.0,695.9895,7628.5,7628.5,,,,418.00100000000003,4681.0,4681.0
2008-01-01,224243.838,2276088.0,2276088.0,1608.6730000000002,19657.5,19657.5,,,,54.816,696.0,696.0
2008-02-01,215094.071,2199888.0,2199888.0,1073.602,12462.5,12462.5,,,,14.725000000000001,180.0,180.0
2008-03-01,189818.344,1936850.0,1936850.0,811.828,9548.5,9548.5,,,,0.0,0.0,0.0
2008-04-01,134881.0,1355526.0,1355526.0,424.6675,5513.0,5513.0,,,,6.665,87.0,87.0
2008-05-01,75807.47,795216.0,795216.0,285.765,3270.5,3270.5,,,,-52.0,0.0,0.0
2008-06-01,144638.262,1545288.0,1545288.0,2756.6320000000005,32090.5,32090.5,,,,6.474,81.0,81.0
2008-07-01,235919.812,2397171.0,2397171.0,206.59400000000002,5262.0,5262.0,,,,0.0,0.0,0.0
2008-08-01,171266.29,1771195.0,1771195.0,383.355,4590.0,4590.0,,,,0.0,0.0,0.0
2008-09-01,135443.633,1408774.0,1408774.0,864.6835,10100.5,10100.5,,,,0.0,0.0,0.0
2008-10-01,210074.124,2118598.0,2118598.0,71.438,771.0,771.0,,,,0.0,0.0,0.0
2008-11-01,169090.759,1738389.0,1738389.0,693.6205,7691.5,7691.5,,,,0.0,0.0,0.0
2008-12-01,238087.728,2439881.0,2439881.0,680.636,8196.5,8196.5,,,,0.0,0.0,0.0
2009-01-01,206890.67,2065968.0,2065968.0,911.165,10576.5,10576.5,,,,0.0,0.0,0.0
2009-02-01,210881.527,2160872.0,2160872.0,364.73650000000004,4394.5,4394.5,,,,0.0,0.0,0.0
2009-03-01,173915.504,1755224.0,1755224.0,689.248,8301.5,8301.5,,,,0.0,0.0,0.0
2009-04-01,203625.709,2108732.0,2108732.0,513.6155,5545.0,5545.0,,,,-60.94,469.0,469.0
2009-05-01,202805.315,2090502.0,2090502.0,429.5925,4724.5,4724.5,,,,-57.5,0.0,0.0
2009-06-01,189544.065,1955911.0,1955911.0,257.9675,3273.5,3273.5,,,,0.0,0.0,0.0
2009-07-01,153624.597,1598581.0,1598581.0,683.521,8243.0,8243.0,,,,23.361,370.0,370.0
2009-08-01,203976.413,2025532.0,2025532.0,459.6525,5621.0,5621.0,,,,11.282,299.0,299.0
2009-09-01,141377.917,1454257.0,1454257.0,265.29150000000004,3019.5,3019.5,,,,-56.5,0.0,0.0
2009-10-01,186112.247,1798368.0,1798368.0,449.6265,4637.0,4637.0,,,,-60.5,0.0,0.0
2009-11-01,167239.622,1703945.0,1703945.0,163.18900000000002,1953.0,1953.0,,,,-57.0,0.0,0.0
2009-12-01,232533.153,2385961.0,2385961.0,498.9235,5401.5,5401.5,,,,-55.0,0.0,0.0
2010-01-01,191741.963,1938523.0,1938523.0,149.58100000000002,2093.0,2093.0,,,,-3.125,0.0,0.0
2010-02-01,172698.928,1786410.0,1786410.0,492.41300000000007,5617.0,5617.0,,,,-2.754,0.0,0.0
2010-03-01,66083.364,701316.0,701316.0,563.346,6561.5,6561.5,,,,-35.056000000000004,18.0,18.0
2010-04-01,60276.004,609900.0,609900.0,163.73250000000002,1670.5,1670.5,,,,-85.46900000000001,651.0,651.0
2010-05-01,66738.9,685721.0,685721.0,109.546,1690.5,1690.5,,,,-2.992,0.0,0.0
2010-06-01,142677.954,1454279.0,1454279.0,1035.0230000000001,11406.5,11406.5,,,,0.0,0.0,0.0
2010-07-01,205234.506,2041673.0,2041673.0,1393.747,17294.5,17294.5,,,,0.0,0.0,0.0
2010-08-01,210711.518,2087781.0,2087781.0,843.241,10010.0,10010.0,,,,0.0,0.0,0.0
2010-09-01,181651.946,1789687.0,1789687.0,509.52700000000004,6486.0,6486.0,,,,0.0,0.0,0.0
2010-10-01,76169.225,809313.0,809313.0,431.88750000000005,5882.5,5882.5,,,,0.0,0.0,0.0
2010-11-01,97942.3,1010233.0,1010233.0,439.1875,5037.0,5037.0,,,,-2.6750000000000003,0.0,0.0
2010-12-01,223241.785,2187896.0,2187896.0,155.524,2034.5,2034.5,,,,-2.833,0.0,0.0
2011-01-01,188822.99,1870506.0,1870506.0,477.37649999999996,5260.0,5260.0,,,,-0.741,0.0,0.0
2011-02-01,157542.31,1587489.0,1587489.0,428.844,4808.5,4808.5,,,,0.0,0.0,0.0
2011-03-01,82278.749,828799.0,828799.0,614.1255,7235.5,7235.5,,,,0.0,0.0,0.0
2011-04-01,91481.824,949332.0,949332.0,546.9655,6243.0,6243.0,,,,-0.755,0.0,0.0
2011-05-01,107478.18,1104021.0,1104021.0,2052.9085,24782.0,24782.0,,,,0.0,0.0,0.0
2011-06-01,187269.0,1915983.0,1915983.0,364.0,5503.5,5503.5,,,,0.0,0.0,0.0
2011-07-01,191130.37,1871486.0,1871486.0,780.816,10698.0,10698.0,,,,0.0,0.0,0.0
2011-08-01,144167.1,1508752.0,1508752.0,320.949,4393.5,4393.5,,,,0.0,0.0,0.0
2011-09-01,2460.498,47555.0,47555.0,524.751,7927.0,7927.0,,,,0.0,0.0,0.0
2011-10-01,-1137.503,0.0,0.0,-55.2485,32.0,32.0,,,,0.0,0.0,0.0
2011-11-01,-1244.889,0.0,0.0,93.9445,2031.0,2031.0,,,,0.0,0.0,0.0
2011-12-01,2866.073,62637.0,62637.0,217.9635,5385.5,5385.5,,,,0.0,0.0,0.0
