measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2022-12-01,0.0,0.0,0.0,120.687,535.0,2380.0,30338.313,134434.0,598367.0
2023-01-01,0.0,0.0,0.0,86.618,384.0,1621.0,32472.382,143891.0,607731.0
2023-02-01,0.0,0.0,0.0,96.88,429.0,1893.0,28529.12,126417.0,557437.0
2023-03-01,0.0,0.0,0.0,116.195,515.0,2498.0,26230.805,116233.0,563987.0
2023-04-01,0.0,0.0,0.0,2591.738,11484.0,61965.0,22078.262,97833.0,527864.0
2023-05-01,0.0,0.0,0.0,2272.928,10072.0,53952.0,23054.072,102156.0,547232.0
2023-06-01,0.0,0.0,0.0,2919.808,12938.0,61324.0,26633.192,118016.0,559371.0
2023-07-01,0.0,0.0,0.0,857.97,3802.0,17170.0,27291.03,120931.0,546161.0
2023-08-01,0.0,0.0,0.0,1698.886,7528.0,34566.0,26556.114,117675.0,540317.0
2023-09-01,0.0,0.0,0.0,1784.029,7905.0,34535.0,28571.971,126607.0,553095.0
2023-10-01,0.0,0.0,0.0,493.082,2185.0,10429.0,27090.918,120044.0,573006.0
2023-11-01,0.0,0.0,0.0,730.228,3236.0,18094.0,22193.772,98344.0,549915.0
2023-12-01,0.0,0.0,0.0,160.638,712.0,3309.0,28527.362,126410.0,587612.0
2024-01-01,0.0,0.0,0.0,190.423,844.0,3570.0,32010.577,141844.0,600208.0
2024-02-01,0.0,0.0,0.0,105.941,469.0,1949.0,29406.059,130303.0,541096.0
2024-03-01,0.0,0.0,0.0,931.309,4127.0,19489.0,25682.691,113804.0,537444.0
2024-04-01,0.0,0.0,0.0,2540.011,11255.0,60683.0,22027.989,97610.0,526265.0
2024-05-01,0.0,0.0,0.0,3154.943,13980.0,63940.0,27158.057,120342.0,550405.0
2024-06-01,0.0,0.0,0.0,2283.51,10119.0,46827.0,23658.49,104835.0,485151.0
2024-07-01,0.0,0.0,0.0,207.067,918.0,3801.0,27612.933,122358.0,506918.0
2024-08-01,0.0,0.0,0.0,2392.325,10601.0,44349.0,30331.675,134405.0,562288.0
2024-09-01,0.0,0.0,0.0,213.231,945.0,3612.0,33280.769,147473.0,563680.0
2024-10-01,0.0,0.0,0.0,288.177,1277.0,5756.0,27728.823,122871.0,553838.0
2024-11-01,0.0,0.0,0.0,146.123,647.0,2662.0,29484.877,130652.0,537236.0
2024-12-01,0.0,0.0,0.0,139.882,620.0,2837.0,28548.118,126502.0,578972.0
