measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed
2014-04-01,1085.0,33202.0,163503.0,,,,,,
2014-05-01,4265.0,66872.0,176947.0,,,,,,
2014-06-01,5548.0,82725.0,197808.0,,,,,,
2014-07-01,4514.0,90845.0,225891.0,,,,,,
2014-08-01,4932.0,85004.0,232088.0,,,,,,
2014-09-01,2608.0,52301.0,189904.0,,,,,,
2014-10-01,1192.0,36712.0,165346.0,,,,,,
2014-11-01,5438.0,88973.0,267004.0,,,,,,
2014-12-01,1291.0,42706.0,209626.0,,,,,,
2015-01-01,5690.0,87049.0,246423.0,0.0,0.0,0.0,,,
2015-02-01,28792.0,326107.0,464426.0,0.0,0.0,0.0,,,
2015-03-01,9116.0,124963.0,284065.0,0.0,0.0,0.0,,,
2015-04-01,1673.0,39582.0,172686.0,0.0,0.0,0.0,,,
2015-05-01,9644.0,132930.0,291963.0,0.0,0.0,0.0,,,
2015-06-01,4702.0,79042.0,214253.0,0.0,0.0,0.0,,,
2015-07-01,8044.0,118328.0,241513.0,0.0,0.0,0.0,,,
2015-08-01,3582.0,65804.0,170940.0,0.0,0.0,0.0,,,
2015-09-01,5439.0,80303.0,195618.0,0.0,0.0,0.0,,,
2015-10-01,1331.0,36305.0,157776.0,0.0,0.0,0.0,,,
2015-11-01,230.0,21653.0,127809.0,0.0,0.0,0.0,,,
2015-12-01,235.0,21063.0,125970.0,0.0,0.0,0.0,,,
2016-01-01,284.0,31543.0,173550.0,0.0,0.0,0.0,,,
2016-02-01,257.0,26461.0,156742.0,0.0,0.0,0.0,,,
2016-03-01,576.0,30673.0,152572.0,0.0,0.0,0.0,,,
2016-04-01,280.0,26731.0,146040.0,0.0,0.0,0.0,,,
2016-05-01,275.0,28202.0,139895.0,0.0,0.0,0.0,,,
2016-06-01,976.0,34885.0,138432.0,0.0,0.0,0.0,,,
2016-07-01,4786.0,93795.0,193726.0,0.0,0.0,0.0,,,
2016-08-01,1972.0,48545.0,146226.0,0.0,0.0,0.0,,,
2016-09-01,1452.0,40438.0,141355.0,0.0,0.0,0.0,,,
2016-10-01,171.0,24708.0,128910.0,0.0,0.0,0.0,,,
2016-11-01,58.0,21954.0,119970.0,0.0,0.0,0.0,,,
2016-12-01,1931.0,48462.0,155597.0,0.0,0.0,0.0,,,
2017-01-01,59.0,31402.0,140179.0,0.0,0.0,0.0,,,
2017-02-01,54.0,21166.0,116213.0,0.0,0.0,0.0,,,
2017-03-01,908.0,38085.0,152143.0,0.0,0.0,0.0,,,
2017-04-01,61.0,22013.0,107395.0,0.0,0.0,0.0,,,
2017-05-01,781.0,33673.0,120357.0,0.0,0.0,0.0,,,
2017-06-01,120.0,23790.0,99885.0,0.0,0.0,0.0,,,
2017-07-01,226.0,27955.0,100642.0,0.0,0.0,0.0,,,
2017-08-01,696.0,32520.0,84719.0,0.0,0.0,0.0,,,
2017-09-01,688.0,31543.0,111078.0,0.0,0.0,0.0,,,
2017-10-01,1515.0,40073.0,122189.0,0.0,0.0,0.0,,,
2017-11-01,1436.0,41226.0,103885.0,0.0,0.0,0.0,,,
2017-12-01,1356.0,38897.0,145018.0,0.0,0.0,0.0,,,
2018-01-01,3732.0,64722.0,172105.0,0.0,0.0,0.0,,,
2018-02-01,558.0,24119.0,124710.0,0.0,0.0,0.0,,,
2018-03-01,422.0,23402.0,135577.0,0.0,0.0,0.0,,,
2018-04-01,434.0,22190.0,118160.0,0.0,0.0,0.0,,,
2018-05-01,494.0,25155.0,121956.0,0.0,0.0,0.0,,,
2018-06-01,535.0,25084.0,119058.0,0.0,0.0,0.0,,,
2018-07-01,774.0,31720.0,145446.0,0.0,0.0,0.0,,,
2018-08-01,410.0,24049.0,191540.0,0.0,0.0,0.0,,,
2018-09-01,396.0,34249.0,105561.0,0.0,0.0,0.0,,,
2018-10-01,502.0,25508.0,93735.0,0.0,0.0,0.0,,,
2018-11-01,407.0,22002.0,125377.0,0.0,0.0,0.0,,,
2018-12-01,418.0,23143.0,115830.0,0.0,0.0,0.0,,,
2019-01-01,0.0,0.0,102520.0,0.0,0.0,0.0,,,
2019-02-01,0.0,0.0,104800.0,0.0,0.0,0.0,,,
2019-03-01,0.0,0.0,104800.0,0.0,0.0,0.0,,,
2019-04-01,0.0,0.0,104800.0,0.0,0.0,0.0,,,
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
