measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed"
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1869.4830000000002,19101.0,19101.0
2007-07-01,0.0,0.0,0.0,83.0,1258.0,1258.0,531.287,5322.0,5322.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,394.283,3890.0,3890.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,140.06900000000002,1391.0,1391.0
2007-10-01,1052.1390000000001,10516.0,10516.0,0.0,0.0,0.0,1191.935,11913.0,11913.0
2007-11-01,337389.793,3326611.0,3326611.0,0.0,0.0,0.0,59.382000000000005,585.0,585.0
2007-12-01,360929.721,3601886.0,3601886.0,0.0,0.0,0.0,363.639,3629.0,3629.0
2008-01-01,316096.421,3211416.0,3211416.0,0.0,0.0,0.0,1750.5790000000002,17785.0,17785.0
2008-02-01,401357.652,3980511.0,3980511.0,70.0,1038.0,1038.0,213.348,2116.0,2116.0
2008-03-01,294914.322,2947892.0,2947892.0,0.0,0.0,0.0,1524.678,15240.0,15240.0
2008-04-01,365460.43,3668919.0,3668919.0,0.0,0.0,0.0,466.57,4684.0,4684.0
2008-05-01,301128.854,3092908.0,3092908.0,0.0,6.0,6.0,1675.1460000000002,17205.0,17205.0
2008-06-01,296727.723,3095094.0,3095094.0,41.0,1356.0,1356.0,1956.277,20405.0,20405.0
2008-07-01,330949.544,3406564.0,3406564.0,0.0,0.0,0.0,583.456,6006.0,6006.0
2008-08-01,272018.271,2839080.0,2839080.0,0.0,0.0,0.0,1134.729,11843.0,11843.0
2008-09-01,261263.762,2744278.0,2744278.0,0.0,0.0,0.0,1119.238,11756.0,11756.0
2008-10-01,160327.015,1708561.0,1708561.0,0.0,0.0,0.0,506.985,5403.0,5403.0
2008-11-01,228649.82,2324307.0,2324307.0,0.0,0.0,0.0,3568.1800000000003,36272.0,36272.0
2008-12-01,268855.957,2735110.0,2735110.0,0.0,0.0,0.0,3660.043,37234.0,37234.0
2009-01-01,403024.537,3916799.0,3916799.0,20.0,307.0,307.0,1259.463,12240.0,12240.0
2009-02-01,375672.539,3653936.0,3653936.0,70.0,1040.0,1040.0,371.461,3613.0,3613.0
2009-03-01,360258.606,3537853.0,3537853.0,0.0,0.0,0.0,950.394,9333.0,9333.0
2009-04-01,385944.744,3725837.0,3725837.0,0.0,0.0,0.0,560.256,5409.0,5409.0
2009-05-01,276852.985,2709735.0,2709735.0,0.0,0.0,0.0,1088.015,10649.0,10649.0
2009-06-01,372822.549,3627536.0,3627536.0,56.0,968.0,968.0,332.451,3235.0,3235.0
2009-07-01,386996.247,3779048.0,3779048.0,30.0,466.0,466.0,273.753,2673.0,2673.0
2009-08-01,304826.859,2993664.0,2993664.0,0.0,0.0,0.0,1727.141,16962.0,16962.0
2009-09-01,336117.061,3307887.0,3307887.0,0.0,0.0,0.0,1077.939,10609.0,10609.0
2009-10-01,325059.428,3197773.0,3197773.0,0.0,0.0,0.0,1023.572,10069.0,10069.0
2009-11-01,390213.065,3854419.0,3854419.0,0.0,180.0,180.0,154.935,1530.0,1530.0
2009-12-01,339699.096,3363734.0,3363734.0,0.0,0.0,0.0,2345.904,23229.0,23229.0
2010-01-01,422761.098,4174933.0,4174933.0,0.0,0.0,0.0,286.902,2833.0,2833.0
2010-02-01,266395.069,3332029.0,3332029.0,0.0,0.0,0.0,442.93100000000004,5540.0,5540.0
2010-03-01,404125.29000000004,4004360.0,4004360.0,260.0,3471.0,3471.0,1121.71,11115.0,11115.0
2010-04-01,115270.577,1170454.0,1170454.0,0.0,0.0,0.0,119.423,1213.0,1213.0
2010-05-01,352670.739,3595000.0,3595000.0,0.0,0.0,0.0,1708.2610000000002,17413.0,17413.0
2010-06-01,404674.387,4073978.0,4073978.0,0.0,0.0,0.0,101.613,1023.0,1023.0
2010-07-01,332703.421,3394042.0,3394042.0,200.0,2897.0,2897.0,564.5790000000001,5759.0,5759.0
2010-08-01,358611.801,3707344.0,3707344.0,313.0,4287.0,4287.0,1157.199,11963.0,11963.0
2010-09-01,371358.516,3799393.0,3799393.0,0.0,0.0,0.0,203.484,2082.0,2082.0
2010-10-01,387003.579,3945411.0,3945411.0,0.0,0.0,0.0,20.421,208.0,208.0
2010-11-01,292549.331,3024341.0,3024341.0,0.0,0.0,0.0,1116.669,11544.0,11544.0
2010-12-01,336262.362,3420114.0,3420114.0,0.0,0.0,0.0,1494.6380000000001,15202.0,15202.0
2011-01-01,299623.26,3097785.0,3097785.0,0.0,0.0,0.0,1441.738,14906.0,14906.0
2011-02-01,325613.05,3340596.0,3340596.0,0.0,0.0,0.0,524.946,5386.0,5386.0
2011-03-01,283895.7,2948874.0,2948874.0,0.0,0.0,0.0,1352.297,14047.0,14047.0
2011-04-01,119805.04,1265389.0,1265389.0,0.0,0.0,0.0,2251.957,23785.0,23785.0
2011-05-01,402699.05,4081042.0,4081042.0,0.0,0.0,0.0,295.95,2999.0,2999.0
2011-06-01,387062.57,3921827.0,3921827.0,0.0,0.0,0.0,95.431,967.0,967.0
2011-07-01,391391.66,3992386.0,3992386.0,7.0,139.0,139.0,1077.342,10989.0,10989.0
2011-08-01,374425.94,3797961.0,3797961.0,252.0,3937.0,3937.0,1008.056,10225.0,10225.0
2011-09-01,272214.57,2843205.0,2843205.0,0.0,0.0,0.0,769.434,8037.0,8037.0
2011-10-01,375101.08,3857880.0,3857880.0,0.0,0.0,0.0,365.924,3764.0,3764.0
2011-11-01,280497.42,2962748.0,2962748.0,0.0,0.0,0.0,814.576,8604.0,8604.0
2011-12-01,350026.14,3656083.0,3656083.0,0.0,0.0,0.0,513.858,5367.0,5367.0
2012-01-01,294048.82,3087968.0,3087968.0,0.0,0.0,0.0,1097.179,11522.0,11522.0
2012-02-01,279440.61,2907739.0,2907739.0,0.0,0.0,0.0,1603.391,16684.0,16684.0
2012-03-01,298670.92,3138704.0,3138704.0,0.0,0.0,0.0,1669.077,17540.0,17540.0
2012-04-01,270139.55,2822194.0,2822194.0,0.0,0.0,0.0,992.45,10368.0,10368.0
2012-05-01,28044.324,368265.0,368265.0,0.0,0.0,0.0,1366.676,17947.0,17947.0
2012-06-01,288407.19,3080237.0,3080237.0,0.0,0.0,0.0,1116.81,11928.0,11928.0
2012-07-01,341211.23,3574082.0,3574082.0,0.0,0.0,0.0,1019.772,10682.0,10682.0
2012-08-01,364335.79,3836191.0,3836191.0,156.0,2447.0,2447.0,431.215,4540.0,4540.0
2012-09-01,376104.15,3887275.0,3887275.0,0.0,0.0,0.0,310.851,3213.0,3213.0
2012-10-01,399370.35,4113891.0,4113891.0,0.0,0.0,0.0,229.655,2366.0,2366.0
2012-11-01,380334.25,3944370.0,3944370.0,0.0,0.0,0.0,165.754,1719.0,1719.0
2012-12-01,273653.9,2929109.0,2929109.0,0.0,0.0,0.0,1600.099,17127.0,17127.0
2013-01-01,250345.15,2680047.0,2680047.0,0.0,0.0,0.0,2161.848,23143.0,23143.0
2013-02-01,265630.76,2853616.0,2853616.0,0.0,0.0,0.0,435.239,4676.0,4676.0
2013-03-01,0.0,0.0,0.0,-2829.0,1157.0,1157.0,-2.0,4422.0,4422.0
2013-04-01,-1496.208,10628.0,10628.0,0.0,0.0,0.0,-3351.792,23808.0,23808.0
2013-05-01,359768.71,3684498.0,3684498.0,0.0,0.0,0.0,1333.287,13655.0,13655.0
2013-06-01,329468.09,3350893.0,3350893.0,0.0,0.0,0.0,976.914,9936.0,9936.0
2013-07-01,304823.58,3120466.0,3120466.0,0.0,0.0,0.0,1395.423,14285.0,14285.0
2013-08-01,381270.32,3909078.0,3909078.0,128.0,2062.0,2062.0,473.676,4856.0,4856.0
2013-09-01,392203.51,4005871.0,4005871.0,0.0,0.0,0.0,835.489,8533.0,8533.0
2013-10-01,370097.35,3779221.0,3779221.0,0.0,0.0,0.0,886.65,9054.0,9054.0
2013-11-01,357962.95,3365211.0,3365211.0,0.0,0.0,0.0,1531.049,14393.0,14393.0
2013-12-01,421019.75,4273779.0,4273779.0,170.0,2506.0,2506.0,346.251,3515.0,3515.0
2014-01-01,413656.8,4209537.0,4209537.0,345.0,4883.0,4883.0,407.201,4144.0,4144.0
2014-02-01,353197.35,3633260.0,3633260.0,32.0,483.0,483.0,263.651,2712.0,2712.0
2014-03-01,185117.33,1950830.0,1950830.0,286.0,4097.0,4097.0,1269.666,13380.0,13380.0
2014-04-01,335220.18,3419792.0,3419792.0,0.0,0.0,0.0,1685.819,17198.0,17198.0
2014-05-01,154855.02,1653603.0,1653603.0,0.0,0.0,0.0,1990.979,21260.0,21260.0
2014-06-01,366279.36,3786566.0,3786566.0,27.0,465.0,465.0,248.638,2570.0,2570.0
2014-07-01,335268.38,3535104.0,3535104.0,0.0,0.0,0.0,160.622,1694.0,1694.0
2014-08-01,228194.83,2406991.0,2406991.0,86.0,1356.0,1356.0,2404.175,25359.0,25359.0
2014-09-01,379065.05,3872120.0,3872120.0,0.0,0.0,0.0,226.948,2318.0,2318.0
2014-10-01,353390.0,3635679.0,3635679.0,43.0,657.0,657.0,1024.003,10535.0,10535.0
2014-11-01,400453.27,4046694.0,4046694.0,0.0,0.0,0.0,36.728,371.0,371.0
2014-12-01,304771.31,3171292.0,3171292.0,25.0,440.0,440.0,1431.687,14897.0,14897.0
2015-01-01,382947.36,3937106.0,3937106.0,51.0,749.0,749.0,60.644,623.0,623.0
2015-02-01,336405.66,3478220.0,3478220.0,0.0,0.0,0.0,58.34,603.0,603.0
2015-03-01,49853.003,551991.0,551991.0,0.0,0.0,0.0,311.997,3455.0,3455.0
2015-04-01,-778.072,2976.0,2976.0,0.0,0.0,0.0,-2420.928,9260.0,9260.0
2015-05-01,357764.27,3756035.0,3756035.0,0.0,0.0,0.0,1413.727,14842.0,14842.0
2015-06-01,373014.11,3938469.0,3938469.0,20.0,383.0,383.0,410.892,4338.0,4338.0
2015-07-01,288396.89,3086543.0,3086543.0,0.0,0.0,0.0,2250.109,24082.0,24082.0
2015-08-01,361086.66,3866672.0,3866672.0,0.0,75.0,75.0,440.345,4715.0,4715.0
2015-09-01,313733.48,3364437.0,3364437.0,20.0,462.0,462.0,728.523,7813.0,7813.0
2015-10-01,371815.5,3921594.0,3921594.0,0.0,0.0,0.0,232.504,2452.0,2452.0
2015-11-01,253613.46,2707837.0,2707837.0,30.0,658.0,658.0,2066.539,22064.0,22064.0
2015-12-01,346444.58,3655560.0,3655560.0,0.0,0.0,0.0,1102.418,11632.0,11632.0
2016-01-01,256310.6,2778107.0,2778107.0,0.0,0.0,0.0,1578.404,17108.0,17108.0
2016-02-01,285041.38,3043646.0,3043646.0,32.0,545.0,545.0,1353.622,14454.0,14454.0
2016-03-01,378954.21,4033229.0,4033229.0,0.0,0.0,0.0,241.793,2573.0,2573.0
2016-04-01,268389.08,2922352.0,2922352.0,0.0,0.0,0.0,1087.92,11846.0,11846.0
2016-05-01,248584.13,2726394.0,2726394.0,37.0,589.0,589.0,1166.869,12798.0,12798.0
2016-06-01,355524.93,3761073.0,3761073.0,37.0,841.0,841.0,387.071,4095.0,4095.0
2016-07-01,305556.75,3218502.0,3218502.0,0.0,0.0,0.0,891.254,9388.0,9388.0
2016-08-01,343597.75,3658024.0,3658024.0,50.0,819.0,819.0,1023.25,10894.0,10894.0
2016-09-01,265865.94,2885877.0,2885877.0,18.0,323.0,323.0,767.056,8326.0,8326.0
2016-10-01,-2263.937,0.0,0.0,0.0,0.0,0.0,-6.063,0.0,0.0
2016-11-01,235680.7,2515444.0,2515444.0,0.0,0.0,0.0,2919.302,31158.0,31158.0
2016-12-01,412168.0,4265189.0,4265189.0,0.0,0.0,0.0,581.004,6012.0,6012.0
2017-01-01,343725.08,3600180.0,3600180.0,0.0,0.0,0.0,1353.923,14181.0,14181.0
2017-02-01,382346.1,3941708.0,3941708.0,0.0,0.0,0.0,124.897,1288.0,1288.0
2017-03-01,339352.68,3544679.0,3544679.0,0.0,0.0,0.0,1314.319,13729.0,13729.0
2017-04-01,373841.6,3880672.0,3880672.0,65.0,1073.0,1073.0,479.398,4976.0,4976.0
2017-05-01,276348.12,2900079.0,2900079.0,0.0,0.0,0.0,984.878,10336.0,10336.0
2017-06-01,342988.37,3636151.0,3636151.0,49.0,772.0,772.0,628.627,6664.0,6664.0
2017-07-01,320494.15,3444823.0,3444823.0,0.0,0.0,0.0,869.854,9350.0,9350.0
2017-08-01,359608.72,3799575.0,3799575.0,0.0,0.0,0.0,806.28,8519.0,8519.0
2017-09-01,367838.32,3859334.0,3859334.0,62.0,737.0,737.0,242.682,2546.0,2546.0
2017-10-01,209037.48,2241321.0,2241321.0,0.0,0.0,0.0,1453.518,15585.0,15585.0
2017-11-01,395869.58,4054398.0,4054398.0,0.0,0.0,0.0,127.42,1305.0,1305.0
2017-12-01,296707.14,3092048.0,3092048.0,0.0,0.0,0.0,1612.865,16808.0,16808.0
2018-01-01,87776.417,996893.0,996893.0,0.0,0.0,0.0,2214.583,25151.0,25151.0
2018-02-01,256290.94,2675851.0,2675851.0,0.0,0.0,0.0,826.057,8625.0,8625.0
2018-03-01,403761.42,4189506.0,4189506.0,0.0,0.0,0.0,144.581,1500.0,1500.0
2018-04-01,388054.96,4088653.0,4088653.0,0.0,0.0,0.0,164.043,1728.0,1728.0
2018-05-01,322356.53,3374949.0,3374949.0,0.0,0.0,0.0,579.467,6067.0,6067.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
