measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-07-01,30201.439,199033.0,645317.0,16.983,113.0,363.0,6.807,44.0,145.0,270.91900000000004,1785.0,5789.0,676.198,4461.0,14448.0
2007-08-01,29213.8,192531.0,632424.0,47.669000000000004,312.0,1032.0,44.416000000000004,293.0,962.0,209.922,1384.0,4544.0,659.845,4346.0,14284.0
2007-09-01,21696.608,142991.0,540955.0,18.193,119.0,454.0,1.215,8.0,30.0,217.394,1433.0,5420.0,1084.664,7150.0,27044.0
2007-10-01,15342.145,101101.0,479912.0,64.711,425.0,2024.0,18.437,121.0,577.0,102.78200000000001,677.0,3215.0,374.34,2460.0,11710.0
2007-11-01,18306.008,120654.0,516203.0,52.279,346.0,1474.0,5.301,35.0,149.0,0.0,0.0,0.0,57.577000000000005,377.0,1624.0
2007-12-01,24514.971,161570.0,526127.0,75.295,499.0,1616.0,0.0,0.0,0.0,111.012,731.0,2382.0,0.0,0.0,0.0
2008-01-01,26810.715,176698.0,643786.0,56.28,371.0,1351.0,0.0,0.0,0.0,,,,,,
2008-02-01,24768.418,163238.0,602253.0,55.817,368.0,1357.0,0.0,0.0,0.0,,,,,,
2008-03-01,20201.236,133138.0,574560.0,47.515,313.0,1351.0,0.0,0.0,0.0,,,,,,
2008-04-01,15535.189,102386.0,477169.0,43.998000000000005,290.0,1351.0,0.0,0.0,0.0,,,,,,
2008-05-01,12853.331,84711.0,451126.0,38.504000000000005,254.0,1351.0,0.0,0.0,0.0,,,,,,
2008-06-01,23610.067,155604.0,548343.0,58.187000000000005,383.0,1351.0,0.0,0.0,0.0,,,,,,
2008-07-01,26770.963,176436.0,625477.0,57.841,381.0,1351.0,0.0,0.0,0.0,,,,,,
2008-08-01,28399.775999999998,187171.0,672977.0,57.274,377.0,1357.0,0.0,0.0,0.0,,,,,,
2008-09-01,14152.041000000001,93270.0,465476.0,41.087,271.0,1351.0,0.0,0.0,0.0,,,,,,
2008-10-01,6849.978,45145.0,394016.0,23.494,155.0,1351.0,0.0,0.0,0.0,,,,,,
2008-11-01,15376.36,101339.0,534393.0,38.885000000000005,256.0,1351.0,0.0,0.0,0.0,,,,,,
2008-12-01,17128.429,112886.0,542403.0,42.676,281.0,1351.0,0.0,0.0,0.0,,,,,,
2009-01-01,21477.702,141550.0,563088.0,36.945,243.0,969.0,,,,,,,,,
2009-02-01,9409.724,62015.0,343243.0,28.143,185.0,1027.0,,,,,,,,,
2009-03-01,4943.104,32578.0,267428.0,15.223,100.0,824.0,,,,,,,,,
2009-04-01,5462.454000000001,36001.0,266591.0,19.371000000000002,128.0,945.0,,,,,,,,,
2009-05-01,6242.653,41143.0,292077.0,26.281000000000002,173.0,1230.0,,,,,,,,,
2009-06-01,5638.4710000000005,37161.0,266899.0,29.652,195.0,1404.0,,,,,,,,,
2009-07-01,8997.632,59299.0,378305.0,42.488,280.0,1786.0,,,,,,,,,
2009-08-01,5317.478,35045.0,330627.0,21.828,144.0,1357.0,,,,,,,,,
2009-09-01,5635.027,37138.0,309526.0,14.466000000000001,95.0,795.0,,,,,,,,,
2009-10-01,6492.544,42790.0,334445.0,18.578,122.0,957.0,,,,,,,,,
2009-11-01,6053.086,39893.0,347956.0,9.989,66.0,574.0,,,,,,,,,
2009-12-01,5578.043000000001,36762.0,398091.0,14.629000000000001,96.0,1044.0,,,,,,,,,
2010-01-01,11724.489,77271.0,485992.0,33.722,222.0,1398.0,,,,,,,,,
2010-02-01,6550.058,43169.0,382177.0,28.132,185.0,1641.0,,,,,,,,,
2010-03-01,6457.689,42560.0,410894.0,44.118,291.0,2807.0,,,,,,,,,
2010-04-01,6433.996,42404.0,375662.0,4.47,29.0,261.0,,,,,,,,,
2010-05-01,8259.67,54436.0,377327.0,27.805,183.0,1270.0,,,,,,,,,
2010-06-01,6351.791,41862.0,336597.0,6.567,43.0,348.0,,,,,,,,,
2010-07-01,17902.03,117985.0,534724.0,39.418,260.0,1177.0,,,,,,,,,
2010-08-01,6866.441000000001,45254.0,336587.0,24.729000000000003,163.0,1212.0,,,,,,,,,
2010-09-01,6309.939,41586.0,332336.0,18.611,123.0,980.0,,,,,,,,,
2010-10-01,6762.142000000001,44566.0,366227.0,5.14,34.0,278.0,,,,,,,,,
2010-11-01,6528.555,43027.0,364352.0,14.238000000000001,94.0,795.0,,,,,,,,,
2010-12-01,11115.433,73257.0,456215.0,16.816000000000003,111.0,690.0,,,,,,,,,
2011-01-01,10692.541,65642.0,438641.0,24.459,150.0,1003.0,,,,,,,,,
2011-02-01,7179.423,44075.0,371060.0,69.577,427.0,3596.0,,,,,,,,,
2011-03-01,7593.818,46619.0,368775.0,12.182,75.0,592.0,,,,,,,,,
2011-04-01,6764.024,41525.0,358344.0,23.976,147.0,1270.0,,,,,,,,,
2011-05-01,505.181,3101.0,336442.0,0.819,5.0,545.0,,,,,,,,,
2011-06-01,6130.106,37633.0,330896.0,12.894,79.0,696.0,,,,,,,,,
2011-07-01,11505.429,70632.0,429507.0,42.571,261.0,1589.0,,,,,,,,,
2011-08-01,7141.022,43839.0,358600.0,16.978,104.0,853.0,,,,,,,,,
2011-09-01,7090.213,43527.0,328373.0,19.787,121.0,916.0,,,,,,,,,
2011-10-01,6456.182,39635.0,303237.0,14.818,91.0,696.0,,,,,,,,,
2011-11-01,7049.577,43278.0,313830.0,10.423,64.0,464.0,,,,,,,,,
2011-12-01,7323.928,44962.0,316494.0,21.072,129.0,911.0,,,,,,,,,
2012-01-01,5742.006,37843.0,376169.0,14.608,96.0,957.0,,,,,,,,,
2012-02-01,6433.434,42400.0,333589.0,2.237,15.0,116.0,,,,,,,,,
2012-03-01,7048.814,46456.0,346472.0,18.408,121.0,905.0,,,,,,,,,
2012-04-01,7125.125,46959.0,337861.0,13.822,91.0,655.0,,,,,,,,,
2012-05-01,6912.138,45555.0,333435.0,18.155,120.0,876.0,,,,,,,,,
2012-06-01,6829.734,45012.0,357640.0,16.725,110.0,876.0,,,,,,,,,
2012-07-01,6247.227,41173.0,337791.0,19.844,131.0,1073.0,,,,,,,,,
2012-08-01,6820.487,44951.0,341670.0,19.451,128.0,974.0,,,,,,,,,
2012-09-01,5971.634,39356.0,329153.0,9.47,62.0,522.0,,,,,,,,,
2012-10-01,6478.363,42696.0,351761.0,15.061,99.0,818.0,,,,,,,,,
2012-11-01,6667.025,43939.0,355868.0,14.56,96.0,777.0,,,,,,,,,
2012-12-01,6500.02,42839.0,359554.0,10.171,67.0,563.0,,,,,,,,,
2013-01-01,0.0,0.0,0.0,8957.217,957.0,957.0,,,,,,,,,
2013-02-01,0.0,0.0,0.0,6349.974,116.0,116.0,,,,,,,,,
2013-03-01,0.0,0.0,0.0,6510.191,905.0,905.0,,,,,,,,,
2013-04-01,0.0,0.0,0.0,6425.425,655.0,655.0,,,,,,,,,
2013-05-01,0.0,0.0,0.0,6285.701,876.0,876.0,,,,,,,,,
2013-06-01,0.0,0.0,0.0,6285.701,876.0,876.0,,,,,,,,,
2013-07-01,0.0,0.0,0.0,6135.731,1073.0,1073.0,,,,,,,,,
2013-08-01,0.0,0.0,0.0,5315.088,974.0,974.0,,,,,,,,,
2013-09-01,0.0,0.0,0.0,2916.498,522.0,522.0,,,,,,,,,
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
