measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-10-01,9052.17887,57137.77,563717.81,,,,3438.21637,21702.18,214112.4,2695.42875,17013.67,167855.85
2004-11-01,8692.53524,54867.68,507304.11,,,,2344.4241,14798.11,136822.68,2863.21466,18072.74,167099.76
2004-12-01,8808.62117,55600.42,514912.46,,,,2437.74839,15387.18,142499.83,3046.71544,19231.01,178097.31
2005-01-01,8056.54649,50853.29,386828.88,,,,2297.56967,14502.36,110316.04,3064.50085,19343.27,147139.65
2005-02-01,7249.27891,45757.78,348133.92,,,,2073.40675,13087.44,99571.73,2757.43635,17405.06,132421.05
2005-03-01,7733.2682,48812.75,371637.84,,,,2236.05347,14114.07,107458.07,2941.53433,18567.1,141361.38
2005-04-01,7606.23215,48010.89,366011.28,,,,2243.85579,14163.32,107974.16,2893.21306,18262.09,139221.18
2005-05-01,7570.31006,47784.14,366571.8,,,,2449.05066,15458.52,118588.66,2879.54929,18175.85,139434.39
2005-06-01,7712.28991,48680.32,379567.68,,,,3094.93628,19535.38,152320.23,2933.55382,18516.72,144377.64
2005-07-01,7896.49604,49843.04,395589.36,,,,3893.43832,24575.56,195048.89,3003.62164,18959.0,150471.9
2005-08-01,7763.58574,49004.11,390672.12,,,,4016.85903,25354.6,202132.74,2953.06622,18639.89,148601.52
2005-09-01,7655.07923,48319.21,376986.72,,,,3095.66937,19540.01,152451.23,2911.79439,18379.38,143396.01
2005-10-01,7973.89448,50331.59,384769.92,,,,2452.28045,15478.91,118331.61,3033.06207,19144.83,146356.47
2005-11-01,7768.27835,49033.73,372821.04,,,,2199.91659,13885.97,105580.05,2954.85006,18651.15,141811.38
2005-12-01,7850.88064,49555.12,379645.56,,,,2491.12967,15724.12,120463.72,2986.27169,18849.48,144407.34
2006-01-01,8808.72371,55601.07,538987.5,,,,1454.82567,9182.93,89017.76,2920.74262,18435.86,178714.17
2006-02-01,7675.70748,48449.41,466916.88,,,,1290.22023,8143.93,78484.7,2545.06329,16064.56,154817.39
2006-03-01,8271.02166,52207.07,496136.25,,,,1449.23902,9147.66,86932.43,2742.45432,17310.5,164505.8
2006-04-01,8135.61728,51352.39,495962.63,,,,1358.70749,8576.22,82829.38,2697.55722,17027.1,164448.19
2006-05-01,8539.00034,53898.56,492630.63,,,,1673.4511,10562.9,96544.47,2831.30956,17871.36,163343.45
2006-06-01,8864.83348,55955.24,505532.63,,,,1794.46459,11326.74,102332.48,2939.34793,18553.3,167621.45
2006-07-01,9768.65332,61660.18,550285.63,,,,2045.41488,12910.75,115221.86,3239.0308,20444.91,182460.37
2006-08-01,9764.34277,61632.98,539568.5,,,,2154.05725,13596.51,119031.2,3237.60098,20435.89,178906.82
2006-09-01,8849.79166,55860.29,519499.63,,,,1651.04609,10421.48,96919.55,2934.36025,18521.82,172252.54
2006-10-01,8727.76137,55090.03,495357.75,,,,1790.09302,11299.15,101599.53,2893.89661,18266.41,164247.63
2006-11-01,8196.95765,51739.57,492668.75,,,,1427.90809,9013.02,85822.78,2717.89727,17155.49,163356.1
2006-12-01,8923.75916,56327.17,528140.63,,,,1626.13936,10264.27,96240.86,2958.88448,18676.61,175117.58
2007-01-01,8496.933,53628.0,450384.0,,,,2580.186,16286.0,136764.0,4079.295,25749.0,216225.0
2007-02-01,7737.179,48840.0,408612.0,,,,2078.411,13119.0,109764.0,3966.636,25038.0,209484.0
2007-03-01,8786.02,55452.0,466140.0,,,,1376.145,8686.0,73011.0,3645.989,23013.0,193437.0
2007-04-01,7547.643,47640.0,429072.0,,,,1552.794,9801.0,88274.0,3418.034,21573.0,194310.0
2007-05-01,4785.232,30204.0,295200.0,,,,1142.49,7211.0,70480.0,3040.5190000000002,19188.0,187569.0
2007-06-01,8318.502,52512.0,435216.0,,,,1463.578,9238.0,76573.0,3374.03,21294.0,176526.0
2007-07-01,8603.643,54312.0,437688.0,,,,1482.71,9359.0,75429.0,3741.007,23616.0,190314.0
2007-08-01,8059.803000000001,50868.0,442692.0,,,,1415.689,8936.0,77758.0,4096.428,25857.0,225000.0
2007-09-01,8435.732,53244.0,443592.0,,,,1213.5240000000001,7660.0,63813.0,4046.543,25542.0,212787.0
2007-10-01,8957.886,56544.0,453072.0,,,,1814.84,11455.0,91791.0,3852.643,24318.0,194859.0
2007-11-01,8055.107,50844.0,421944.0,,,,1787.421,11282.0,93629.0,4311.3330000000005,27216.0,225837.0
2007-12-01,8802.027,55560.0,462144.0,,,,1899.845,11992.0,99750.0,4478.55,28269.0,235143.0
2008-01-01,9208.919,58127.0,443352.0,0.0,0.0,0.0,2354.781,14863.0,113368.0,3911.5350000000003,24690.0,188316.0
2008-02-01,8401.164,53029.0,413040.0,0.0,0.0,0.0,2351.996,14846.0,115635.0,3490.01,22029.0,171585.0
2008-03-01,8884.769,56081.0,433296.0,0.0,0.0,0.0,2732.261,17246.0,133248.0,3723.7630000000004,23505.0,181602.0
2008-04-01,8227.012,51929.0,424968.0,0.0,0.0,0.0,2206.438,13927.0,113974.0,3374.704,21301.0,174321.0
2008-05-01,7766.638,49023.0,282876.0,0.0,0.0,0.0,1823.159,11508.0,66403.0,3367.531,21256.0,122652.0
2008-06-01,8240.284,52013.0,451704.0,0.0,0.0,0.0,955.1310000000001,6029.0,52357.0,3169.407,20005.0,173736.0
2008-07-01,8281.8,52275.0,468756.0,0.0,0.0,0.0,1097.459,6927.0,62117.0,3153.616,19906.0,178497.0
2008-08-01,8425.468,53182.0,468828.0,0.0,0.0,0.0,1020.5740000000001,6442.0,56789.0,3223.1960000000004,20345.0,179352.0
2008-09-01,7309.863,46140.0,341832.0,0.0,0.0,0.0,1578.766,9965.0,73828.0,2917.299,18414.0,136422.0
2008-10-01,7847.808,49536.0,430368.0,0.0,0.0,0.0,1346.481,8499.0,73840.0,3195.502,20170.0,175239.0
2008-11-01,7821.425,49369.0,293124.0,0.0,0.0,0.0,1914.558,12085.0,71752.0,3268.4,20630.0,122490.0
2008-12-01,8361.85,52780.0,302004.0,44.771,283.0,1617.0,1856.057,11716.0,67035.0,3610.7760000000003,22791.0,130410.0
2009-01-01,2833.3050000000003,17884.0,209160.0,18.16,115.0,1341.0,792.7180000000001,5004.0,58520.0,1319.6080000000002,8329.0,97416.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,5893.106000000001,37198.0,219204.0,34.303000000000004,217.0,1276.0,1560.838,9852.0,58058.0,3108.664,19622.0,115632.0
2009-04-01,7440.586,46965.0,380844.0,47.1,297.0,2411.0,1168.5140000000001,7376.0,59810.0,3226.552,20366.0,165150.0
2009-05-01,7873.465,49698.0,411408.0,47.6,300.0,2487.0,1186.891,7492.0,62018.0,3195.4080000000004,20170.0,166968.0
2009-06-01,6188.143,39060.0,191460.0,35.539,224.0,1100.0,1491.896,9417.0,46159.0,3540.098,22345.0,109530.0
2009-07-01,8797.179,55528.0,439704.0,53.409000000000006,337.0,2670.0,916.8430000000001,5787.0,45826.0,3523.121,22238.0,176094.0
2009-08-01,7802.116,49247.0,420960.0,46.317,292.0,2499.0,918.4580000000001,5797.0,49555.0,3192.685,20152.0,172260.0
2009-09-01,8025.051,50654.0,411564.0,47.581,300.0,2440.0,1260.1370000000002,7954.0,64626.0,2933.143,18514.0,150426.0
2009-10-01,8693.311,54873.0,439332.0,48.053000000000004,303.0,2428.0,1626.2810000000002,10265.0,82187.0,2661.705,16801.0,134514.0
2009-11-01,7862.809,49630.0,384600.0,47.844,302.0,2340.0,2148.8,13563.0,105106.0,2457.097,15509.0,120186.0
2009-12-01,5703.503000000001,36001.0,173520.0,36.528,231.0,1111.0,2670.7070000000003,16858.0,81252.0,1581.184,9981.0,48105.0
