measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-10-01,0.0,0.0,0.0,737.849,4226.0,459431.0
2008-11-01,0.0,0.0,0.0,707.35,4051.0,440440.0
2008-12-01,0.0,0.0,0.0,778.0830000000001,4456.0,484484.0
2009-01-01,0.0,0.0,4409.0,0.0,0.0,458518.0
2009-02-01,0.0,0.0,4025.0,0.0,0.0,467150.0
2009-03-01,0.0,0.0,4486.0,0.0,0.0,532044.0
2009-04-01,0.0,0.0,3507.0,0.0,0.0,527540.0
2009-05-01,0.0,0.0,4019.0,0.0,0.0,553574.0
2009-06-01,0.0,0.0,5836.0,0.0,0.0,519240.0
2009-07-01,0.0,0.0,6350.0,0.0,0.0,560017.0
2009-08-01,0.0,0.0,6327.0,0.0,0.0,590505.0
2009-09-01,0.0,0.0,4693.0,0.0,0.0,587885.0
2009-10-01,0.0,0.0,2766.0,0.0,0.0,601388.0
2009-11-01,0.0,0.0,2674.0,0.0,0.0,560529.0
2009-12-01,0.0,0.0,4186.0,0.0,0.0,542096.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0
