measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2005-03-01,2.9131299999999998,20.68,62.4,4.23006,30.03,90.61,4761.63782,33804.84,101992.94
2005-04-01,2.91586,20.7,62.46,4.2327,30.05,90.66,4881.84544,34658.25,104567.79
2005-05-01,2.94048,20.88,62.98,4.26711,30.29,91.4,3960.34441,28116.14,84829.51
2005-06-01,3.5614000000000003,25.28,76.28,5.16977,36.7,110.74,6737.71683,47833.86,144320.06
2005-07-01,6.7453199999999995,47.89,144.48,9.78895,69.5,209.68,8682.49673,61640.66,185976.7
2005-08-01,5.97396,42.41,127.96,8.67187,61.57,185.75,9282.88717,65903.07,198836.92
2005-09-01,3.32342,23.59,71.19,4.8256499999999996,34.26,103.36,6140.71592,43595.5,131532.45
2005-10-01,4.6610000000000005,33.09,99.84,6.763319999999999,48.02,144.87,4246.62468,30148.56,90961.54
2005-11-01,3.1374199999999997,22.27,67.2,4.55565,32.34,97.58,3811.82493,27061.73,81648.24
2005-12-01,8.59441,61.02,184.09,12.47575,88.57,267.23,4118.42984,29238.44,88215.59
2006-01-01,0.09876,0.7,1.46,0.13430999999999998,0.95,1.99,4770.79394,33869.85,70760.43
2006-02-01,0.12641,0.9,1.87,0.16591,1.18,2.46,4756.88868,33771.13,70554.19
2006-03-01,0.22516,1.6,3.34,0.30417,2.16,4.51,5189.51067,36842.49,76970.81
2006-04-01,0.10665999999999999,0.76,1.58,0.14221,1.01,2.11,4363.15413,30975.85,64714.27
2006-05-01,0.07504999999999999,0.53,1.11,0.09876,0.7,1.46,4232.56019,30048.71,62777.34
2006-06-01,0.0711,0.5,1.05,0.09480999999999999,0.67,1.41,5414.26209,38438.1,80304.32
2006-07-01,0.08691,0.62,1.29,0.11850999999999999,0.84,1.76,8108.20059,57563.48,120260.78
2006-08-01,0.09480999999999999,0.67,1.41,0.12641,0.9,1.87,7633.65079,54194.45,113222.3
2006-09-01,0.0553,0.39,0.82,0.07504999999999999,0.53,1.11,5414.54664,38440.12,80308.57
2006-10-01,0.0553,0.39,0.82,0.07504999999999999,0.53,1.11,6038.55364,42870.2,89563.84
2006-11-01,0.09086,0.65,1.35,0.11850999999999999,0.84,1.76,5193.96364,36874.1,77036.87
2006-12-01,0.09876,0.7,1.46,0.13430999999999998,0.95,1.99,5075.23794,36031.22,75275.94
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,3260.7340000000004,24003.0,50564.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,2811.45,20696.0,43597.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,4089.228,30102.0,63411.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4137.8240000000005,30459.0,64165.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,4411.9890000000005,32477.0,68417.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,6073.252,44706.0,94178.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,8013.158,58986.0,124260.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,8748.123,64397.0,135656.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,6336.183,46641.0,98255.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,5019.321,36948.0,77834.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,4547.136,33472.0,70512.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,5485.602,40381.0,85065.0
2008-01-01,0.0,0.0,0.0,0.647,5.0,12.0,4654.3330000000005,34132.0,67464.0
2008-02-01,0.0,0.0,0.0,0.40700000000000003,3.0,6.0,4539.8550000000005,33293.0,65804.0
2008-03-01,0.0,0.0,0.0,0.325,2.0,6.0,4702.878000000001,34488.0,68168.0
2008-04-01,0.0,0.0,0.0,0.163,0.0,0.0,5294.39,38826.0,76741.0
2008-05-01,0.0,0.0,0.0,0.24300000000000002,2.0,6.0,4247.386,31148.0,61565.0
2008-06-01,0.0,0.0,0.0,0.34800000000000003,3.0,6.0,7212.568,52893.0,104545.0
2008-07-01,0.0,0.0,0.0,0.043000000000000003,0.0,0.0,7804.436000000001,57234.0,113124.0
2008-08-01,0.0,0.0,0.0,0.048,0.0,0.0,6018.896000000001,44139.0,87243.0
2008-09-01,0.0,0.0,0.0,0.10700000000000001,0.0,0.0,6211.725,45553.0,90039.0
2008-10-01,0.0,0.0,0.0,0.098,0.0,0.0,3910.6910000000003,28679.0,56685.0
2008-11-01,0.0,0.0,0.0,0.12100000000000001,0.0,0.0,4434.202,32518.0,64274.0
2008-12-01,1.242,9.0,18.0,0.299,2.0,6.0,3223.549,23640.0,46725.0
2009-01-01,6.319,46.0,114.0,3.1060000000000003,23.0,59.0,4597.348,33595.0,72993.0
2009-02-01,2.443,18.0,36.0,1.201,9.0,18.0,4005.766,29272.0,63601.0
2009-03-01,1.8760000000000001,14.0,30.0,0.922,7.0,12.0,3459.7940000000003,25282.0,54932.0
2009-04-01,0.631,5.0,12.0,0.31,2.0,6.0,4204.6320000000005,30725.0,66758.0
2009-05-01,1.5410000000000001,11.0,24.0,0.758,6.0,12.0,5118.734,37405.0,81271.0
2009-06-01,0.134,0.0,0.0,0.066,0.0,0.0,5326.941,38926.0,84578.0
2009-07-01,0.127,0.0,0.0,0.063,0.0,0.0,6517.865000000001,47629.0,103486.0
2009-08-01,0.759,6.0,12.0,0.373,3.0,6.0,7681.22,56130.0,121957.0
2009-09-01,0.17600000000000002,0.0,0.0,0.08700000000000001,0.0,0.0,6309.746,46108.0,100182.0
2009-10-01,0.07300000000000001,0.0,0.0,0.036000000000000004,0.0,0.0,5762.982,42112.0,91501.0
2009-11-01,0.10200000000000001,0.0,0.0,0.05,0.0,0.0,4894.223,35764.0,77707.0
2009-12-01,0.17900000000000002,0.0,0.0,0.08800000000000001,0.0,0.0,4784.329000000001,34961.0,75963.0
2010-01-01,23.478,167.0,330.0,0.0,0.0,0.0,4027.913,28632.0,58252.0
2010-02-01,35.53,253.0,516.0,0.0,0.0,0.0,3508.6110000000003,24940.0,50743.0
2010-03-01,4.041,29.0,60.0,0.0,0.0,0.0,3107.105,22086.0,44936.0
2010-04-01,0.867,6.0,12.0,0.0,0.0,0.0,3691.452,26240.0,53386.0
2010-05-01,3.8930000000000002,28.0,54.0,0.0,0.0,0.0,4337.14,30830.0,62725.0
2010-06-01,9.086,65.0,132.0,0.0,0.0,0.0,5574.943,39628.0,80626.0
2010-07-01,27.708000000000002,197.0,402.0,0.0,0.0,0.0,7103.444,50494.0,102731.0
2010-08-01,11.956000000000001,85.0,174.0,0.0,0.0,0.0,6114.128000000001,43461.0,88424.0
2010-09-01,2.045,15.0,30.0,0.0,0.0,0.0,5018.751,35675.0,72582.0
2010-10-01,14.059000000000001,100.0,204.0,0.0,0.0,0.0,4178.679,29703.0,60433.0
2010-11-01,64.163,456.0,930.0,0.0,0.0,0.0,4016.217,28549.0,58083.0
2010-12-01,29.696,211.0,432.0,0.0,0.0,0.0,4518.095,32116.0,65342.0
2011-01-01,3.664,26.0,60.0,0.0,0.0,0.0,3227.244,22940.0,54066.0
2011-02-01,0.268,2.0,6.0,0.0,0.0,0.0,2988.698,21245.0,50070.0
2011-03-01,0.126,0.0,0.0,0.0,0.0,0.0,3029.728,21536.0,50757.0
2011-04-01,0.235,2.0,6.0,0.0,0.0,0.0,3608.981,25654.0,60462.0
2011-05-01,0.6,4.0,12.0,0.0,0.0,0.0,3455.187,24561.0,57885.0
2011-06-01,1.107,8.0,18.0,0.0,0.0,0.0,4048.957,28782.0,67832.0
2011-07-01,2.167,15.0,36.0,0.0,0.0,0.0,5165.029,36715.0,86530.0
2011-08-01,2.013,14.0,36.0,0.0,0.0,0.0,4328.424,30768.0,72515.0
2011-09-01,0.439,3.0,6.0,0.0,0.0,0.0,3688.209,26217.0,61789.0
2011-10-01,0.079,0.0,0.0,0.0,0.0,0.0,3669.265,26083.0,61471.0
2011-11-01,0.257,2.0,6.0,0.0,0.0,0.0,3846.833,27345.0,64446.0
2011-12-01,0.147,0.0,0.0,0.0,0.0,0.0,3686.343,26204.0,61758.0
2012-01-01,0.294,2.0,6.0,0.0,0.0,0.0,2928.243,20789.0,51085.0
2012-02-01,0.458,3.0,6.0,0.0,0.0,0.0,2939.181,20866.0,51276.0
2012-03-01,0.637,5.0,18.0,0.0,0.0,0.0,3379.838,23995.0,58964.0
2012-04-01,0.126,0.0,0.0,0.0,0.0,0.0,3450.895,24499.0,60203.0
2012-05-01,0.499,4.0,6.0,0.0,0.0,0.0,4396.881,31215.0,76707.0
2012-06-01,0.72,5.0,12.0,0.0,0.0,0.0,4385.614,31135.0,76510.0
2012-07-01,2.924,21.0,54.0,0.0,0.0,0.0,5598.013,39743.0,97661.0
2012-08-01,4.905,35.0,84.0,0.0,0.0,0.0,5026.861,35688.0,87697.0
2012-09-01,1.416,10.0,24.0,0.0,0.0,0.0,4403.367,31261.0,76820.0
2012-10-01,1.33,9.0,24.0,0.0,0.0,0.0,3446.998,24472.0,60136.0
2012-11-01,0.485,3.0,6.0,0.0,0.0,0.0,2222.647,15779.0,38776.0
2012-12-01,0.307,2.0,6.0,0.0,0.0,0.0,2246.441,15948.0,39190.0
2013-01-01,35.588,253.0,624.0,0.0,0.0,0.0,2008.487,14259.0,35194.0
2013-02-01,5.788,41.0,102.0,0.0,0.0,0.0,2052.325,14570.0,35962.0
2013-03-01,1.92,14.0,36.0,0.0,0.0,0.0,2537.193,18013.0,44458.0
2013-04-01,1.065,8.0,18.0,0.0,0.0,0.0,2554.262,18134.0,44757.0
2013-05-01,0.737,5.0,12.0,0.0,0.0,0.0,2644.211,18772.0,46333.0
2013-06-01,1.224,9.0,24.0,0.0,0.0,0.0,3013.199,21392.0,52799.0
2013-07-01,11.059,79.0,192.0,0.0,0.0,0.0,4266.144,30287.0,74754.0
2013-08-01,2.364,17.0,42.0,0.0,0.0,0.0,3367.73,23909.0,59012.0
2013-09-01,2.722,19.0,48.0,0.0,0.0,0.0,2875.179,20412.0,50381.0
2013-10-01,0.834,6.0,12.0,0.0,0.0,0.0,2501.258,17757.0,43829.0
2013-11-01,1.073,8.0,18.0,0.0,0.0,0.0,2376.078,16869.0,41635.0
