measured_on,Bituminous Coal - Combined Cycle Combustion Turbine Part - Coal - Generation,Bituminous Coal - Combined Cycle Combustion Turbine Part - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combined Cycle Combustion Turbine Part - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Petroleum Coke - Combined Cycle Combustion Turbine Part - Petroleum Coke - Generation,Petroleum Coke - Combined Cycle Combustion Turbine Part - Petroleum Coke - Quantity Consumed For Electricity,Petroleum Coke - Combined Cycle Combustion Turbine Part - Petroleum Coke - Total Fuel Consumed,"Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Generation","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Quantity Consumed For Electricity","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Total Fuel Consumed"
2004-07-01,,,,14470.853,218573.0,218573.0,,,,,,,55.345,836.0,836.0,,,,,,,10093.415,101145.0,101145.0,,,,2242.075,33866.0,33866.0,6000.463000000001,88639.0,88639.0
2004-08-01,,,,15008.594000000001,226696.0,226696.0,,,,,,,38.054,575.0,575.0,,,,,,,8734.877,87531.0,87531.0,,,,2249.077,33972.0,33972.0,5222.347000000001,77145.0,77145.0
2004-09-01,,,,13708.716,207062.0,207062.0,,,,,,,70.427,1064.0,1064.0,,,,,,,3788.603,37965.0,37965.0,,,,1262.781,19074.0,19074.0,5533.782,81745.0,81745.0
2004-10-01,,,,11039.182,166740.0,166740.0,,,,,,,62.185,939.0,939.0,,,,,,,666.5930000000001,6680.0,6680.0,,,,509.26700000000005,7692.0,7692.0,5873.483,86763.0,86763.0
2004-11-01,,,,12695.079,191751.0,191751.0,,,,,,,48.48,732.0,732.0,,,,,,,576.784,5780.0,5780.0,,,,1911.113,28867.0,28867.0,11037.852,163051.0,163051.0
2004-12-01,,,,16519.436,249516.0,249516.0,,,,,,,84.224,1272.0,1272.0,,,,,,,1216.207,12188.0,12188.0,,,,1505.481,22740.0,22740.0,13877.858,205004.0,205004.0
2005-01-01,,,,10453.574,171948.33,171948.33,,,,,,,404.737,6658.88,6658.88,,,,,,,4463.11,43483.05,43483.05,,,,3624.145,59612.82,59612.82,6876.822,113115.24,113115.24
2005-02-01,,,,9491.369,156121.26,156121.26,,,,,,,93.162,1532.74,1532.74,,,,,,,3956.663,38548.85,38548.85,,,,3033.235,49893.06,49893.06,6243.841,102703.49,102703.49
2005-03-01,,,,10174.138,167351.95,167351.95,,,,,,,79.945,1315.28,1315.28,,,,,,,4721.584,46001.29,46001.29,,,,3233.353,53184.76,53184.76,6692.997,110091.54,110091.54
2005-04-01,,,,8370.093,137677.63,137677.63,,,,,,,79.99,1316.03,1316.03,,,,,,,4840.782,47162.61,47162.61,,,,2937.943,48325.62,48325.62,5506.216,90570.46,90570.46
2005-05-01,,,,7951.807000000001,130797.37,130797.37,,,,,,,80.649,1326.87,1326.87,,,,,,,3927.0330000000004,38260.17,38260.17,,,,2597.71,42729.22,42729.22,5231.049,86044.32,86044.32
2005-06-01,,,,10192.533,167654.53,167654.53,,,,,,,97.696,1607.33,1607.33,,,,,,,6681.043000000001,65091.85,65091.85,,,,3148.6670000000004,51791.77,51791.77,6705.098,110290.59,110290.59
2005-07-01,,,,11371.892,187053.51,187053.51,,,,,,,185.025,3044.1,3044.1,,,,,,,8609.464,83880.01,83880.01,,,,3170.744,52154.91,52154.91,7480.932000000001,123052.1,123052.1
2005-08-01,,,,11263.684,185273.64,185273.64,,,,,,,163.87800000000001,2696.18,2696.18,,,,,,,9204.805,89680.28,89680.28,,,,2992.788,49227.76,49227.76,7409.7480000000005,121881.23,121881.23
2005-09-01,,,,10146.842,166902.97,166902.97,,,,,,,91.185,1500.22,1500.22,,,,,,,6089.063,59324.33,59324.33,,,,3066.202,50435.33,50435.33,6675.04,109796.18,109796.18
2005-10-01,,,,9502.077000000001,156297.39,156297.39,,,,,,,127.843,2103.33,2103.33,,,,,,,4210.904,41025.86,41025.86,,,,3487.8740000000003,57371.31,57371.31,6250.885,102819.35,102819.35
2005-11-01,,,,9331.395,153489.88,153489.88,,,,,,,86.085,1416.3,1416.3,,,,,,,3779.762,36825.34,36825.34,,,,2847.59,46839.44,46839.44,6138.603,100972.46,100972.46
2005-12-01,,,,10763.595,177047.79,177047.79,,,,,,,235.805,3879.55,3879.55,,,,,,,4083.7850000000003,39787.37,39787.37,,,,2871.7470000000003,47236.79,47236.79,7080.767000000001,116469.89,116469.89
2006-01-01,,,,9997.321,144446.0,144446.0,,,,,,,143.37900000000002,2071.0,2071.0,,,,,,,,,,,,,2202.1510000000003,31818.0,31818.0,8107.599,117143.0,117143.0
2006-02-01,,,,9521.351,137569.0,137569.0,,,,,,,75.02600000000001,1084.0,1084.0,,,,,,,,,,,,,1908.554,27576.0,27576.0,7721.599,111566.0,111566.0
2006-03-01,,,,9729.059000000001,140571.0,140571.0,,,,,,,63.023,910.0,910.0,,,,,,,,,,,,,1798.048,25979.0,25979.0,7890.045,113999.0,113999.0
2006-04-01,,,,8277.263,119594.0,119594.0,,,,,,,120.72200000000001,1744.0,1744.0,,,,,,,,,,,,,1934.5410000000002,27951.0,27951.0,6712.6720000000005,96988.0,96988.0
2006-05-01,,,,8845.744,127808.0,127808.0,,,,,,,112.845,1630.0,1630.0,,,,,,,,,,,,,1740.356,25145.0,25145.0,7173.697,103649.0,103649.0
2006-06-01,,,,9583.036,138461.0,138461.0,,,,,,,102.568,1482.0,1482.0,,,,,,,,,,,,,1961.355,28339.0,28339.0,7771.624000000001,112288.0,112288.0
2006-07-01,,,,10900.686,157499.0,157499.0,,,,,,,148.573,2146.0,2146.0,,,,,,,,,,,,,2216.928,32031.0,32031.0,8840.208,127728.0,127728.0
2006-08-01,,,,10979.341,158635.0,158635.0,,,,,,,144.115,2082.0,2082.0,,,,,,,,,,,,,2068.601,29888.0,29888.0,8903.995,128649.0,128649.0
2006-09-01,,,,9122.507,131807.0,131807.0,,,,,,,66.209,956.0,956.0,,,,,,,,,,,,,1859.101,26861.0,26861.0,7398.145,106892.0,106892.0
2006-10-01,,,,9435.797,136333.0,136333.0,,,,,,,69.938,1010.0,1010.0,,,,,,,,,,,,,1825.185,26371.0,26371.0,7652.216,110563.0,110563.0
2006-11-01,,,,9329.707,134800.0,134800.0,,,,,,,82.354,1190.0,1190.0,,,,,,,,,,,,,1540.309,22255.0,22255.0,7566.18,109320.0,109320.0
2006-12-01,,,,10100.186,145933.0,145933.0,,,,,,,91.24900000000001,1318.0,1318.0,,,,,,,,,,,,,1607.871,23231.0,23231.0,8191.02,118348.0,118348.0
2007-01-01,,,,17643.182,265793.0,265793.0,,,,,,,53.921,812.0,812.0,,,,,,,,,,,,,0.0,0.0,0.0,3254.897,49035.0,49035.0
2007-02-01,,,,21522.38,338755.0,338755.0,,,,,,,90.857,1430.0,1430.0,,,,,,,,,,,,,0.0,0.0,0.0,1070.762,16853.0,16853.0
2007-03-01,,,,23221.118,355941.0,355941.0,,,,,,,45.966,705.0,705.0,,,,,,,,,,,,,0.0,0.0,0.0,613.916,9410.0,9410.0
2007-04-01,,,,17815.141,255478.0,255478.0,,,,,,,188.732,2707.0,2707.0,,,,,,,,,,,,,0.0,0.0,0.0,674.1270000000001,9667.0,9667.0
2007-05-01,,,,19032.201,265314.0,265314.0,,,,,,,18.929000000000002,264.0,264.0,,,,,,,,,,,,,0.0,0.0,0.0,4346.87,60597.0,60597.0
2007-06-01,,,,15811.429,198412.0,198412.0,,,,,,,125.483,1575.0,1575.0,,,,,,,,,,,,,0.0,0.0,0.0,3040.088,38149.0,38149.0
2007-07-01,,,,14321.326000000001,191924.0,191924.0,,,,,,,195.196,2616.0,2616.0,,,,,,,,,,,,,0.0,0.0,0.0,3697.478,49551.0,49551.0
2007-08-01,,,,15537.538,238826.0,238826.0,,,,,,,103.308,1588.0,1588.0,,,,,,,,,,,,,0.0,0.0,0.0,7735.154,118896.0,118896.0
2007-09-01,,,,11805.651,177094.0,177094.0,,,,,,,28.858,433.0,433.0,,,,,,,,,,,,,0.0,0.0,0.0,11714.491,175727.0,175727.0
2007-10-01,,,,13316.126,213503.0,213503.0,,,,,,,18.365,294.0,294.0,,,,,,,,,,,,,0.0,0.0,0.0,12147.509,194766.0,194766.0
2007-11-01,,,,11784.976,183227.0,183227.0,,,,,,,138.08700000000002,2147.0,2147.0,,,,,,,,,,,,,0.0,0.0,0.0,8189.937000000001,127333.0,127333.0
2007-12-01,,,,15585.826000000001,246956.0,246956.0,,,,,,,242.193,3838.0,3838.0,,,,,,,,,,,,,0.0,0.0,0.0,5416.981000000001,85832.0,85832.0
2008-01-01,,,,16918.761,259551.0,259551.0,,,,,,,203.28300000000002,3119.0,3119.0,,,,,,,,,,,,,0.0,0.0,0.0,6000.956,92061.0,92061.0
2008-02-01,,,,16075.211,250072.0,250072.0,,,,,,,4.566,71.0,71.0,,,,,,,,,,,,,0.0,0.0,0.0,6125.223,95286.0,95286.0
2008-03-01,,,,10750.119,176263.0,176263.0,,,,,,,126.248,2070.0,2070.0,,,,,,,,,,,,,0.0,0.0,0.0,7086.633000000001,116195.0,116195.0
2008-04-01,,,,6810.634,105437.0,105437.0,,,,,,,0.377,6.0,6.0,,,,,,,,,,,,,4217.665,65295.0,65295.0,12520.324,193830.0,193830.0
2008-05-01,,,,3546.0040000000004,56934.0,56934.0,,,,,,,390.35200000000003,6267.0,6267.0,,,,,,,,,,,,,4738.703,76083.0,76083.0,11722.941,188221.0,188221.0
2008-06-01,,,,7151.036,111651.0,111651.0,,,,,,,25.326,395.0,395.0,,,,,,,,,,,,,5390.944,84170.0,84170.0,11993.694,187261.0,187261.0
2008-07-01,,,,7749.905000000001,121057.0,121057.0,,,,,,,162.465,2538.0,2538.0,,,,,,,,,,,,,4706.68,73521.0,73521.0,9721.95,151862.0,151862.0
2008-08-01,,,,5868.368,92033.0,92033.0,,,,,,,140.13400000000001,2198.0,2198.0,,,,,,,,,,,,,5126.991,80406.0,80406.0,12374.507,194069.0,194069.0
2008-09-01,,,,3982.228,63451.0,63451.0,,,,,,,2.94,47.0,47.0,,,,,,,,,,,,,5173.692,82435.0,82435.0,14090.14,224505.0,224505.0
2008-10-01,,,,2397.226,41307.0,41307.0,,,,,,,104.96000000000001,1809.0,1809.0,,,,,,,,,,,,,2933.567,50548.0,50548.0,10147.247,174848.0,174848.0
2008-11-01,,,,6114.099,94341.0,94341.0,,,,,,,64.79,1000.0,1000.0,,,,,,,,,,,,,3796.275,58577.0,58577.0,13106.836,202240.0,202240.0
2008-12-01,,,,4306.6050000000005,72794.0,72794.0,,,,,,,248.63600000000002,4203.0,4203.0,,,,,,,,,,,,,2670.0150000000003,45131.0,45131.0,6458.744000000001,109171.0,109171.0
2009-01-01,,,,6182.544,79760.0,79760.0,,,,,,,459.024,5922.0,5922.0,,,,,,,,,,,,,2029.255,26179.0,26179.0,11100.177,143201.0,143201.0
2009-02-01,,,,5506.911,79767.0,79767.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,1807.497,26181.0,26181.0,13109.592,189891.0,189891.0
2009-03-01,,,,5086.973,80191.0,80191.0,,,,,,,14.963000000000001,236.0,236.0,,,,,,,,,,,,,1669.663,26320.0,26320.0,14327.401,225856.0,225856.0
2009-04-01,,,,4626.436000000001,80622.0,80622.0,,,,,,,187.877,3274.0,3274.0,,,,,,,,,,,,,1518.5040000000001,26462.0,26462.0,9399.183,163793.0,163793.0
2009-05-01,,,,4672.64,81330.0,81330.0,,,,,,,324.899,5655.0,5655.0,,,,,,,,,,,,,1533.67,26695.0,26695.0,11908.791000000001,207280.0,207280.0
2009-06-01,,,,5079.26,81455.0,81455.0,,,,,,,459.576,7370.0,7370.0,,,,,,,,,,,,,1667.132,26735.0,26735.0,9762.032000000001,156551.0,156551.0
2009-07-01,,,,4970.296,82112.0,82112.0,,,,,,,222.704,3679.0,3679.0,,,,,,,,,,,,,1631.3670000000002,26951.0,26951.0,12894.633,213027.0,213027.0
2009-08-01,,,,5042.251,83098.0,83098.0,,,,,,,110.149,1815.0,1815.0,,,,,,,,,,,,,1654.985,27275.0,27275.0,14004.615,230802.0,230802.0
2009-09-01,,,,4004.164,75997.0,75997.0,,,,,,,454.47400000000005,8626.0,8626.0,,,,,,,,,,,,,1440.607,27342.0,27342.0,8843.755000000001,167850.0,167850.0
2009-10-01,,,,4935.309,83303.0,83303.0,,,,,,,421.00100000000003,7106.0,7106.0,,,,,,,,,,,,,1619.884,27342.0,27342.0,12570.806,212183.0,212183.0
2009-11-01,,,,4772.7,83303.0,83303.0,,,,,,,202.924,3542.0,3542.0,,,,,,,,,,,,,1566.5120000000002,27342.0,27342.0,14041.864,245088.0,245088.0
2009-12-01,,,,7332.101000000001,83303.0,83303.0,,,,,,,822.2280000000001,9342.0,9342.0,,,,,,,,,,,,,2406.567,27342.0,27342.0,9785.104000000001,111173.0,111173.0
2010-01-01,,,,8741.657000000001,108740.0,108740.0,,,,,,,228.00300000000001,2836.0,2836.0,,,,,,,,,,,,,0.0,0.0,0.0,13576.34,168880.0,168880.0
2010-02-01,,,,8353.585000000001,106440.0,106440.0,,,,,,,156.971,2000.0,2000.0,,,,,,,,,,,,,0.0,0.0,0.0,12971.444,165280.0,165280.0
2010-03-01,,,,9026.191,118760.0,118760.0,,,,,,,97.307,1280.0,1280.0,,,,,,,,,,,,,0.0,0.0,0.0,14017.502,184432.0,184432.0
2010-04-01,,,,8440.756000000001,105120.0,105120.0,,,,,,,153.02100000000002,1906.0,1906.0,,,,,,,,,,,,,0.0,0.0,0.0,13108.223,163248.0,163248.0
2010-05-01,,,,5773.856000000001,70440.0,70440.0,,,,,,,139.764,1705.0,1705.0,,,,,,,,,,,,,0.0,0.0,0.0,8965.380000000001,109376.0,109376.0
2010-06-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2011-02-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2011-03-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2011-04-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2011-05-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2011-06-01,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2011-07-01,,,,,,,,,,,,,,,,34653.613,371010.0,371010.0,6230.0,0.0,0.0,,,,,,,,,,,,
2011-08-01,,,,,,,,,,,,,,,,160.225,1715.0,1715.0,28.0,0.0,0.0,,,,,,,,,,,,
2011-09-01,,,,,,,,,,,,,,,,1942.725,20799.0,20799.0,350.0,0.0,0.0,,,,,,,,,,,,
2011-10-01,,,,,,,,,,,,,,,,2248.154,24070.0,24070.0,408.0,0.0,0.0,,,,,,,,,,,,
2011-11-01,,,,,,,,,,,,,,,,5642.916,60415.0,60415.0,1020.0,0.0,0.0,,,,,,,,,,,,
2011-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,9528.367,102013.0,102013.0,1764.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2012-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,8482.283,82215.0,82215.0,1880.0,807.0,807.0,,,,0.0,0.0,0.0,,,,,,
2012-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,5979.383,57955.0,57955.0,1328.0,131.0,131.0,,,,0.0,0.0,0.0,,,,,,
2012-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,17085.741,165604.0,165604.0,3796.0,1033.0,1033.0,,,,0.0,0.0,0.0,,,,,,
2012-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,11925.337,115587.0,115587.0,2659.0,3138.0,3138.0,,,,0.0,0.0,0.0,,,,,,
2012-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,21669.517,210033.0,210033.0,4662.0,2751.0,2751.0,,,,0.0,0.0,0.0,,,,,,
2012-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,25438.491,246564.0,246564.0,5466.0,4996.0,4996.0,,,,0.0,0.0,0.0,,,,,,
2012-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,44676.142,433026.0,433026.0,9540.0,13724.0,13724.0,,,,0.0,0.0,0.0,,,,,,
2012-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,37911.208,367457.0,367457.0,8135.0,11657.0,11657.0,,,,0.0,0.0,0.0,,,,,,
2012-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,36206.394,350933.0,350933.0,8036.0,13977.0,13977.0,,,,0.0,0.0,0.0,,,,,,
2012-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,39081.178,378796.0,378796.0,8871.0,9739.0,9739.0,,,,0.0,0.0,0.0,,,,,,
2012-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,15481.211,150053.0,150053.0,3562.0,5433.0,5433.0,,,,0.0,0.0,0.0,,,,,,
2012-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,28965.115,280746.0,280746.0,6663.0,10162.0,10162.0,,,,0.0,0.0,0.0,,,,,,
2013-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,39338.0,393446.0,393446.0,10213.0,4106.0,4106.0,,,,0.0,0.0,0.0,,,,,,
