measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2009-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-01-01,0.0,0.0,0.0,,,,,,,0.0,0.0,2577.0,,,
2010-02-01,0.0,0.0,0.0,,,,,,,0.0,0.0,2077.0,,,
2010-03-01,0.0,0.0,0.0,,,,,,,0.0,0.0,1313.0,,,
2010-04-01,0.0,0.0,0.0,,,,,,,0.0,0.0,8.0,,,
2010-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,4.0,,,
2010-06-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2010-07-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2010-08-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,,,,,,,0.0,0.0,1.0,,,
2010-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,663.0,,,
2010-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,1959.0,,,
2010-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,8604.0,,,
2013-01-01,,,,,,,966.1,9218.0,9218.0,,,,,,
2013-02-01,,,,,,,923.02,8807.0,8807.0,,,,,,
2013-03-01,,,,,,,890.904,8500.0,8500.0,,,,,,
2013-04-01,,,,,,,982.668,9376.0,9376.0,,,,,,
2013-05-01,,,,,,,1322.332,12616.0,12616.0,,,,,,
2013-06-01,,,,,,,1282.103,12233.0,12233.0,,,,,,
2013-07-01,,,,,,,904.421,8629.0,8629.0,,,,,,
2013-08-01,,,,,,,1468.037,14007.0,14007.0,,,,,,
2013-09-01,,,,,,,1282.174,12233.0,12233.0,,,,,,
2013-10-01,,,,,,,1350.578,12886.0,12886.0,,,,,,
2013-11-01,,,,,,,1226.699,11704.0,11704.0,,,,,,
2013-12-01,,,,,,,392.964,3749.0,3749.0,,,,,,
2014-01-01,,,,,,,794.56,7556.0,7556.0,,,,,,
2014-02-01,,,,,,,596.002,5668.0,5668.0,,,,,,
2014-03-01,,,,,,,1140.791,10849.0,10849.0,,,,,,
2014-04-01,,,,,,,1005.375,9561.0,9561.0,,,,,,
2014-05-01,,,,,,,1038.768,9879.0,9879.0,,,,,,
2014-06-01,,,,,,,1306.382,12424.0,12424.0,,,,,,
2014-07-01,,,,,,,1628.096,15483.0,15483.0,,,,,,
2014-08-01,,,,,,,1277.06,12145.0,12145.0,,,,,,
2014-09-01,,,,,,,1464.02,13923.0,13923.0,,,,,,
2014-10-01,,,,,,,1310.216,12460.0,12460.0,,,,,,
2014-11-01,,,,,,,1337.384,12719.0,12719.0,,,,,,
2014-12-01,,,,,,,1053.346,10017.0,10017.0,,,,,,
2015-01-01,,,,,,,864.41,8055.0,8055.0,,,,,,
2015-02-01,,,,,,,932.373,8689.0,8689.0,,,,,,
2015-03-01,,,,,,,376.024,3504.0,3504.0,,,,,,
2015-04-01,,,,,,,411.423,3834.0,3834.0,,,,,,
2015-05-01,,,,,,,1340.01,12488.0,12488.0,,,,,,
2015-06-01,,,,,,,1098.817,10240.0,10240.0,,,,,,
2015-07-01,,,,,,,928.525,8653.0,8653.0,,,,,,
2015-08-01,,,,,,,1301.611,12130.0,12130.0,,,,,,
2015-09-01,,,,,,,935.415,8717.0,8717.0,,,,,,
2015-10-01,,,,,,,1319.135,12293.0,12293.0,,,,,,
2015-11-01,,,,,,,1801.893,16792.0,16792.0,,,,,,
2015-12-01,,,,,,,1271.364,11848.0,11848.0,,,,,,
2016-01-01,,,,,,,1362.461,12578.0,12578.0,,,,,,
2016-02-01,,,,,,,636.185,5873.0,5873.0,,,,,,
2016-03-01,,,,,,,1014.212,9363.0,9363.0,,,,,,
2016-04-01,,,,,,,1332.023,12297.0,12297.0,,,,,,
2016-05-01,,,,,,,961.402,8876.0,8876.0,,,,,,
2016-06-01,,,,,,,1333.536,12311.0,12311.0,,,,,,
2016-07-01,,,,,,,1395.245,12881.0,12881.0,,,,,,
2016-08-01,,,,,,,1473.161,13600.0,13600.0,,,,,,
2016-09-01,,,,,,,874.994,8078.0,8078.0,,,,,,
2016-10-01,,,,,,,1291.078,11919.0,11919.0,,,,,,
2016-11-01,,,,,,,1479.694,13661.0,13661.0,,,,,,
2016-12-01,,,,,,,1051.009,9703.0,9703.0,,,,,,
2017-01-01,,,,,,,1309.767,12067.0,12067.0,,,,,,
2017-02-01,,,,,,,1224.364,11280.0,11280.0,,,,,,
2017-03-01,,,,,,,1306.908,12041.0,12041.0,,,,,,
2017-04-01,,,,,,,1043.239,9611.0,9611.0,,,,,,
2017-05-01,,,,,,,1027.265,9464.0,9464.0,,,,,,
2017-06-01,,,,,,,1048.584,9661.0,9661.0,,,,,,
2017-07-01,,,,,,,1126.591,10379.0,10379.0,,,,,,
2017-08-01,,,,,,,1104.836,10179.0,10179.0,,,,,,
2017-09-01,,,,,,,1007.747,9284.0,9284.0,,,,,,
2017-10-01,,,,,,,1040.317,9584.0,9584.0,,,,,,
2017-11-01,,,,,,,1129.885,10410.0,10410.0,,,,,,
2017-12-01,,,,,,,1030.497,9494.0,9494.0,,,,,,
2018-01-01,,,,,,,1110.365,10109.0,10109.0,,,,,,
2018-02-01,,,,,,,978.953,8912.0,8912.0,,,,,,
2018-03-01,,,,,,,1009.879,9194.0,9194.0,,,,,,
2018-04-01,,,,,,,1030.304,9380.0,9380.0,,,,,,
2018-05-01,,,,,,,1117.496,10174.0,10174.0,,,,,,
2018-06-01,,,,,,,1097.649,9993.0,9993.0,,,,,,
2018-07-01,,,,,,,993.693,9047.0,9047.0,,,,,,
2018-08-01,,,,,,,928.276,8451.0,8451.0,,,,,,
2018-09-01,,,,,,,1105.645,10066.0,10066.0,,,,,,
2018-10-01,,,,,,,1181.372,10755.0,10755.0,,,,,,
2018-11-01,,,,,,,1277.234,11628.0,11628.0,,,,,,
2018-12-01,,,,,,,1343.134,12228.0,12228.0,,,,,,
2019-01-01,,,,,,,1121.487,9987.0,9987.0,,,,,,
2019-02-01,,,,,,,918.016,8175.0,8175.0,,,,,,
2019-03-01,,,,,,,1131.773,10078.0,10078.0,,,,,,
2019-04-01,,,,,,,973.383,8668.0,8668.0,,,,,,
2019-05-01,,,,,,,1013.968,9029.0,9029.0,,,,,,
2019-06-01,,,,,,,896.071,7980.0,7980.0,,,,,,
2019-07-01,,,,,,,991.013,8825.0,8825.0,,,,,,
2019-08-01,,,,,,,999.093,8897.0,8897.0,,,,,,
2019-09-01,,,,,,,1006.897,8966.0,8966.0,,,,,,
2019-10-01,,,,,,,1129.385,10057.0,10057.0,,,,,,
2019-11-01,,,,,,,1140.863,10159.0,10159.0,,,,,,
2019-12-01,,,,,,,1114.051,9921.0,9921.0,,,,,,
2020-01-01,,,,,,,1148.29,10067.0,10067.0,,,,,,
2020-02-01,,,,,,,1018.122,8926.0,8926.0,,,,,,
2020-03-01,,,,,,,1126.269,9874.0,9874.0,,,,,,
2020-04-01,,,,,,,1091.032,9565.0,9565.0,,,,,,
2020-05-01,,,,,,,1148.761,10071.0,10071.0,,,,,,
2020-06-01,,,,,,,1121.115,9829.0,9829.0,,,,,,
2020-07-01,,,,,,,1113.336,9761.0,9761.0,,,,,,
2020-08-01,,,,,,,1050.36,9209.0,9209.0,,,,,,
2020-09-01,,,,,,,1109.869,9730.0,9730.0,,,,,,
2020-10-01,,,,,,,1106.964,9705.0,9705.0,,,,,,
2020-11-01,,,,,,,1167.972,10240.0,10240.0,,,,,,
2020-12-01,,,,,,,1250.91,10967.0,10967.0,,,,,,
2021-01-01,,,,,,,1374.7,12158.0,12158.0,,,,,,
2021-02-01,,,,,,,1090.801,9647.0,9647.0,,,,,,
2021-03-01,,,,,,,1206.118,10667.0,10667.0,,,,,,
2021-04-01,,,,,,,1244.792,11009.0,11009.0,,,,,,
2021-05-01,,,,,,,1167.757,10328.0,10328.0,,,,,,
2021-06-01,,,,,,,1136.614,10052.0,10052.0,,,,,,
2021-07-01,,,,,,,1114.649,9858.0,9858.0,,,,,,
2021-08-01,,,,,,,1200.234,10615.0,10615.0,,,,,,
2021-09-01,,,,,,,1028.515,9096.0,9096.0,,,,,,
2021-10-01,,,,,,,1108.138,9800.0,9800.0,,,,,,
2021-11-01,,,,,,,1085.467,9600.0,9600.0,,,,,,
2021-12-01,,,,,,,1199.215,10606.0,10606.0,,,,,,
2022-01-01,,,,,,,1068.254,3645.0,3645.0,,,,,,
2022-02-01,,,,,,,909.498,3103.0,3103.0,,,,,,
2022-03-01,,,,,,,1184.489,4041.0,4041.0,,,,,,
2022-04-01,,,,,,,1244.646,4247.0,4247.0,,,,,,
2022-05-01,,,,,,,1319.588,4502.0,4502.0,,,,,,
2022-06-01,,,,,,,1226.497,4185.0,4185.0,,,,,,
2022-07-01,,,,,,,888.29,3031.0,3031.0,,,,,,
2022-08-01,,,,,,,1029.711,3513.0,3513.0,,,,,,
2022-09-01,,,,,,,1074.065,3665.0,3665.0,,,,,,
2022-10-01,,,,,,,853.827,2913.0,2913.0,,,,,,
2022-11-01,,,,,,,1201.415,4099.0,4099.0,,,,,,
2022-12-01,,,,,,,1149.72,3923.0,3923.0,,,,,,
2023-01-01,,,,,,,1404.0,4790.0,4790.0,,,,,,
2023-02-01,,,,,,,1259.0,4296.0,4296.0,,,,,,
2023-03-01,,,,,,,1265.0,4316.0,4316.0,,,,,,
2023-04-01,,,,,,,1013.0,3456.0,3456.0,,,,,,
2023-05-01,,,,,,,1097.0,3743.0,3743.0,,,,,,
2023-06-01,,,,,,,810.0,2764.0,2764.0,,,,,,
2023-07-01,,,,,,,709.0,2419.0,2419.0,,,,,,
2023-08-01,,,,,,,736.0,2511.0,2511.0,,,,,,
2023-09-01,,,,,,,564.0,1924.0,1924.0,,,,,,
2023-10-01,,,,,,,1005.0,3429.0,3429.0,,,,,,
2023-11-01,,,,,,,1203.0,4105.0,4105.0,,,,,,
2023-12-01,,,,,,,1208.0,4122.0,4122.0,,,,,,
2024-01-01,,,,,,,1342.0,4579.0,4579.0,,,,,,
2024-02-01,,,,,,,1309.0,4466.0,4466.0,,,,,,
2024-03-01,,,,,,,700.0,2388.0,2388.0,,,,,,
2024-04-01,,,,,,,1242.0,4238.0,4238.0,,,,,,
2024-05-01,,,,,,,1289.0,4398.0,4398.0,,,,,,
2024-06-01,,,,,,,1114.0,3801.0,3801.0,,,,,,
2024-07-01,,,,,,,1034.0,3528.0,3528.0,,,,,,
2024-08-01,,,,,,,1351.0,4610.0,4610.0,,,,,,
2024-09-01,,,,,,,1000.0,3412.0,3412.0,,,,,,
2024-10-01,,,,,,,768.0,2620.0,2620.0,,,,,,
2024-11-01,,,,,,,1194.0,4074.0,4074.0,,,,,,
2024-12-01,,,,,,,1356.0,4627.0,4627.0,,,,,,
