measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-08-01,0.0,0.0,0.0,19.656000000000002,228.0,228.0,138.854,1368.0,1368.0,67912.395,779521.0,779521.0
2008-09-01,0.0,0.0,0.0,28.591,330.0,330.0,131.37,1295.0,1295.0,60425.41,693585.0,693585.0
2008-10-01,0.0,0.0,0.0,22.087,252.0,252.0,302.22900000000004,2978.0,2978.0,53565.164,614846.0,614846.0
2008-11-01,0.0,0.0,0.0,73.894,846.0,846.0,229.06,2257.0,2257.0,56491.031,648420.0,648420.0
2008-12-01,0.0,0.0,0.0,187.565,2154.0,2154.0,337.189,3323.0,3323.0,66853.158,767370.0,767370.0
2009-01-01,0.0,0.0,0.0,10.941,126.0,126.0,1319.5890000000002,12879.0,12879.0,88559.05900000001,1019910.0,1019910.0
2009-02-01,0.0,0.0,0.0,4.5760000000000005,54.0,54.0,1361.1560000000002,13285.0,13285.0,74574.424,880114.0,880114.0
2009-03-01,0.0,0.0,0.0,35.487,396.0,396.0,2717.3810000000003,26522.0,26522.0,68777.513,767487.0,767487.0
2009-04-01,0.0,0.0,0.0,28.437,324.0,324.0,2503.907,24438.0,24438.0,41397.563,471662.0,471662.0
2009-05-01,0.0,0.0,0.0,88.27,1008.0,1008.0,3577.614,34918.0,34918.0,52166.73,595717.0,595717.0
2009-06-01,0.0,0.0,0.0,174.66,2010.0,2010.0,2649.041,25855.0,25855.0,43431.34,499811.0,499811.0
2009-07-01,0.0,0.0,0.0,183.144,2112.0,2112.0,1506.29,14701.0,14701.0,42713.856,492573.0,492573.0
2009-08-01,0.0,0.0,0.0,98.53200000000001,1158.0,1158.0,1157.546,11298.0,11298.0,46865.468,550789.0,550789.0
2009-09-01,0.0,0.0,0.0,68.866,822.0,822.0,1113.865,10871.0,10871.0,26334.134,314332.0,314332.0
2009-10-01,0.0,0.0,0.0,38.545,444.0,444.0,1115.979,10892.0,10892.0,25255.455,290914.0,290914.0
2009-11-01,0.0,0.0,0.0,0.538,6.0,6.0,3087.26,30132.0,30132.0,26029.462,290112.0,290112.0
2009-12-01,0.0,0.0,0.0,204.09,2352.0,2352.0,1985.372,19377.0,19377.0,62369.91,718773.0,718773.0
2010-01-01,0.0,0.0,0.0,19.343,216.0,216.0,1545.94,15082.0,15082.0,79049.657,882720.0,882720.0
2010-02-01,0.0,0.0,0.0,28.999000000000002,324.0,324.0,1541.163,15036.0,15036.0,72655.001,811764.0,811764.0
2010-03-01,0.0,0.0,0.0,4.913,54.0,54.0,2709.724,26436.0,26436.0,70738.087,777502.0,777502.0
2010-04-01,0.0,0.0,0.0,35.317,402.0,402.0,2003.93,19550.0,19550.0,64591.683,735233.0,735233.0
2010-05-01,0.0,0.0,0.0,22.325000000000003,252.0,252.0,1755.529,17127.0,17127.0,72519.675,818590.0,818590.0
2010-06-01,0.0,0.0,0.0,95.69200000000001,1098.0,1098.0,2108.426,20570.0,20570.0,62596.308,718249.0,718249.0
2010-07-01,0.0,0.0,0.0,35.615,408.0,408.0,2255.317,22003.0,22003.0,70405.385,806543.0,806543.0
2010-08-01,0.0,0.0,0.0,97.549,1128.0,1128.0,2042.7430000000002,19929.0,19929.0,67545.451,781053.0,781053.0
2010-09-01,0.0,0.0,0.0,131.622,1476.0,1476.0,2169.929,21170.0,21170.0,48252.378,541098.0,541098.0
2010-10-01,0.0,0.0,0.0,146.091,1668.0,1668.0,2325.18,22684.0,22684.0,66029.909,753900.0,753900.0
2010-11-01,0.0,0.0,0.0,61.917,696.0,696.0,2745.551,26786.0,26786.0,64580.083,725939.0,725939.0
2010-12-01,0.0,0.0,0.0,65.63900000000001,744.0,744.0,2327.568,22708.0,22708.0,70771.361,802169.0,802169.0
2011-01-01,0.0,0.0,0.0,99.878,1146.0,1146.0,376.721,3660.0,3660.0,72823.122,835574.0,835574.0
2011-02-01,0.0,0.0,0.0,13.201,150.0,150.0,344.363,3346.0,3346.0,64402.799,731805.0,731805.0
2011-03-01,0.0,0.0,0.0,11.09,126.0,126.0,489.037,4751.0,4751.0,70361.91,799457.0,799457.0
2011-04-01,0.0,0.0,0.0,171.587,1968.0,1968.0,474.548,4611.0,4611.0,52529.413,602481.0,602481.0
2011-05-01,0.0,0.0,0.0,125.107,1410.0,1410.0,547.212,5317.0,5317.0,56110.893,632390.0,632390.0
2011-06-01,0.0,0.0,0.0,42.702,486.0,486.0,565.187,5491.0,5491.0,59463.298,676771.0,676771.0
2011-07-01,0.0,0.0,0.0,38.393,444.0,444.0,448.402,4357.0,4357.0,77245.607,893324.0,893324.0
2011-08-01,0.0,0.0,0.0,8.266,96.0,96.0,475.965,4624.0,4624.0,75536.734,877220.0,877220.0
2011-09-01,0.0,0.0,0.0,62.63,720.0,720.0,197.075,1915.0,1915.0,62702.37,720830.0,720830.0
2011-10-01,0.0,0.0,0.0,19.957,228.0,228.0,160.579,1560.0,1560.0,65481.043,748104.0,748104.0
2011-11-01,0.0,0.0,0.0,7.917,90.0,90.0,157.529,1531.0,1531.0,63593.083,722951.0,722951.0
2011-12-01,0.0,0.0,0.0,3.655,42.0,42.0,198.382,1927.0,1927.0,67376.345,774269.0,774269.0
2012-01-01,0.0,0.0,0.0,8.366,96.0,96.0,170.524,1623.0,1623.0,64825.634,743899.0,743899.0
2012-02-01,0.0,0.0,0.0,92.502,1062.0,1062.0,173.327,1649.0,1649.0,49883.498,572702.0,572702.0
2012-03-01,0.0,0.0,0.0,6.246,72.0,72.0,360.333,3429.0,3429.0,48007.754,553421.0,553421.0
2012-04-01,0.0,0.0,0.0,34.434,396.0,396.0,402.487,3830.0,3830.0,22640.566,260372.0,260372.0
2012-05-01,0.0,0.0,0.0,114.546,1314.0,1314.0,544.535,5182.0,5182.0,32285.454,370359.0,370359.0
2012-06-01,0.0,0.0,0.0,6.197,72.0,72.0,471.998,4492.0,4492.0,62624.803,727554.0,727554.0
2012-07-01,0.0,0.0,0.0,43.6,504.0,504.0,130.164,1239.0,1239.0,69309.4,801196.0,801196.0
2012-08-01,0.0,0.0,0.0,78.108,912.0,912.0,70.744,673.0,673.0,62114.892,725260.0,725260.0
2012-09-01,0.0,0.0,0.0,41.732,480.0,480.0,55.833,531.0,531.0,47968.268,551728.0,551728.0
2012-10-01,0.0,0.0,0.0,72.295,840.0,840.0,68.501,652.0,652.0,57270.705,665432.0,665432.0
2012-11-01,0.0,0.0,0.0,19.454,228.0,228.0,61.662,587.0,587.0,65949.546,772921.0,772921.0
2012-12-01,0.0,0.0,0.0,10.005,114.0,114.0,74.892,713.0,713.0,72813.995,829680.0,829680.0
2013-01-01,0.0,0.0,0.0,9.854,114.0,114.0,73.592,702.0,702.0,72096.146,834100.0,834100.0
2013-02-01,0.0,0.0,0.0,15.206,174.0,174.0,69.605,664.0,664.0,66951.794,766132.0,766132.0
2013-03-01,0.0,0.0,0.0,84.447,978.0,978.0,124.143,1184.0,1184.0,68941.553,798425.0,798425.0
2013-04-01,0.0,0.0,0.0,18.596,204.0,204.0,237.883,2270.0,2270.0,58126.404,637637.0,637637.0
2013-05-01,0.0,0.0,0.0,228.067,2652.0,2652.0,269.284,2569.0,2569.0,55916.933,650210.0,650210.0
2013-06-01,0.0,0.0,0.0,53.547,618.0,618.0,1486.212,14180.0,14180.0,64763.453,747455.0,747455.0
2013-07-01,0.0,0.0,0.0,28.612,330.0,330.0,387.593,3698.0,3698.0,71308.388,822453.0,822453.0
2013-08-01,0.0,0.0,0.0,94.987,1086.0,1086.0,136.1,1299.0,1299.0,67844.013,775673.0,775673.0
2013-09-01,0.0,0.0,0.0,8.99,102.0,102.0,194.623,1857.0,1857.0,68084.01,772457.0,772457.0
2013-10-01,0.0,0.0,0.0,99.591,1134.0,1134.0,159.431,1521.0,1521.0,70348.409,801025.0,801025.0
2013-11-01,0.0,0.0,0.0,10.543,120.0,120.0,177.61,1695.0,1695.0,67686.457,770433.0,770433.0
2013-12-01,0.0,0.0,0.0,105.556,1200.0,1200.0,253.924,2423.0,2423.0,76849.444,873651.0,873651.0
2014-01-01,0.0,0.0,0.0,130.827,1506.0,1506.0,299.743,2851.0,2851.0,77769.173,895229.0,895229.0
2014-02-01,0.0,0.0,0.0,51.759,594.0,594.0,262.274,2494.0,2494.0,73532.241,843872.0,843872.0
2014-03-01,0.0,0.0,0.0,27.552,336.0,336.0,400.919,3813.0,3813.0,68599.448,836564.0,836564.0
2014-04-01,0.0,0.0,0.0,5.76,66.0,66.0,640.063,6087.0,6087.0,17722.24,203078.0,203078.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,670.633,6378.0,6378.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,0.0,1512.0,1512.0,611.252,5813.0,5813.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,301.011,3462.0,3462.0,467.333,4444.0,4444.0,32048.989,368603.0,368603.0
2014-08-01,0.0,0.0,0.0,252.628,2886.0,2886.0,267.55,2544.0,2544.0,44218.372,505147.0,505147.0
2014-09-01,0.0,0.0,0.0,73.638,834.0,834.0,284.052,2701.0,2701.0,60568.362,685978.0,685978.0
2014-10-01,0.0,0.0,0.0,34.811,402.0,402.0,263.627,2507.0,2507.0,66087.189,763187.0,763187.0
2014-11-01,0.0,0.0,0.0,34.271,390.0,390.0,236.71,2251.0,2251.0,69061.729,785924.0,785924.0
2014-12-01,0.0,0.0,0.0,11.692,132.0,132.0,264.844,2519.0,2519.0,71034.308,801990.0,801990.0
2015-01-01,0.0,0.0,0.0,16.914,192.0,192.0,181.039,1687.0,1687.0,53876.086,611577.0,611577.0
2015-02-01,0.0,0.0,0.0,104.931,1200.0,1200.0,132.377,1234.0,1234.0,40862.069,467303.0,467303.0
2015-03-01,0.0,0.0,0.0,33.995,384.0,384.0,270.374,2520.0,2520.0,67528.005,762785.0,762785.0
2015-04-01,0.0,0.0,0.0,58.287,678.0,678.0,341.369,3181.0,3181.0,24304.713,282716.0,282716.0
2015-05-01,0.0,0.0,0.0,6.321,120.0,120.0,427.155,3981.0,3981.0,219.679,4171.0,4171.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,550.362,5129.0,5129.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,102.599,1128.0,1128.0,449.489,4189.0,4189.0,40061.401,440444.0,440444.0
2015-08-01,0.0,0.0,0.0,72.244,828.0,828.0,286.348,2668.0,2668.0,21125.756,242127.0,242127.0
2015-09-01,0.0,0.0,0.0,62.013,744.0,744.0,589.261,5491.0,5491.0,3402.987,40827.0,40827.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,470.936,4389.0,4389.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,86.374,984.0,984.0,532.465,4962.0,4962.0,21465.626,244544.0,244544.0
2015-12-01,0.0,0.0,0.0,29.572,336.0,336.0,670.315,6247.0,6247.0,22782.428,258853.0,258853.0
2016-01-01,0.0,0.0,0.0,27.298,312.0,312.0,403.813,3728.0,3728.0,24177.702,276332.0,276332.0
2016-02-01,0.0,0.0,0.0,93.997,1062.0,1062.0,266.948,2464.0,2464.0,28010.003,316462.0,316462.0
2016-03-01,0.0,0.0,0.0,4.757,54.0,54.0,613.009,5659.0,5659.0,65170.243,739731.0,739731.0
2016-04-01,0.0,0.0,0.0,96.14,1116.0,1116.0,457.836,4227.0,4227.0,22435.86,260437.0,260437.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,369.456,3411.0,3411.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,36.574,858.0,858.0,383.47,3540.0,3540.0,703.426,16502.0,16502.0
2016-07-01,0.0,0.0,0.0,218.292,2544.0,2544.0,552.206,5098.0,5098.0,9188.708,107086.0,107086.0
2016-08-01,0.0,0.0,0.0,291.535,3648.0,3648.0,533.219,4923.0,4923.0,9619.465,120369.0,120369.0
2016-09-01,0.0,0.0,0.0,57.549,702.0,702.0,568.141,5245.0,5245.0,1392.451,16986.0,16986.0
2016-10-01,0.0,0.0,0.0,139.048,1734.0,1734.0,638.099,5891.0,5891.0,8080.952,100774.0,100774.0
2016-11-01,0.0,0.0,0.0,109.85,1362.0,1362.0,440.205,4064.0,4064.0,12917.15,160156.0,160156.0
2016-12-01,0.0,0.0,0.0,140.867,1554.0,1554.0,588.598,5434.0,5434.0,33368.133,368107.0,368107.0
2017-01-01,0.0,0.0,0.0,150.924,1686.0,1686.0,430.569,3967.0,3967.0,39680.076,443274.0,443274.0
2017-02-01,0.0,0.0,0.0,39.821,462.0,462.0,396.648,3654.0,3654.0,29387.179,340952.0,340952.0
2017-03-01,0.0,0.0,0.0,109.756,1272.0,1272.0,405.941,3740.0,3740.0,31935.244,370108.0,370108.0
2017-04-01,0.0,0.0,0.0,86.379,930.0,930.0,447.756,4125.0,4125.0,2114.621,22767.0,22767.0
2017-05-01,0.0,0.0,0.0,45.058,528.0,528.0,838.199,7722.0,7722.0,2353.942,27584.0,27584.0
2017-06-01,0.0,0.0,0.0,309.628,3612.0,3612.0,482.717,4447.0,4447.0,14626.372,170626.0,170626.0
2017-07-01,0.0,0.0,0.0,484.917,5712.0,5712.0,569.337,5245.0,5245.0,31444.083,370390.0,370390.0
2017-08-01,0.0,0.0,0.0,200.932,2376.0,2376.0,414.973,3823.0,3823.0,9798.068,115861.0,115861.0
2017-09-01,0.0,0.0,0.0,282.428,3246.0,3246.0,316.103,2912.0,2912.0,16565.572,190391.0,190391.0
2017-10-01,0.0,0.0,0.0,283.835,3348.0,3348.0,459.063,4229.0,4229.0,8543.165,100772.0,100772.0
2017-11-01,0.0,0.0,0.0,187.997,2172.0,2172.0,394.017,3630.0,3630.0,29592.003,341887.0,341887.0
2017-12-01,0.0,0.0,0.0,189.777,2244.0,2244.0,436.677,4023.0,4023.0,29942.223,354048.0,354048.0
2018-01-01,0.0,0.0,0.0,92.635,1050.0,1050.0,299.678,2728.0,2728.0,50732.365,575041.0,575041.0
2018-02-01,0.0,0.0,0.0,73.896,864.0,864.0,270.309,2461.0,2461.0,33331.104,389710.0,389710.0
2018-03-01,0.0,0.0,0.0,176.391,2016.0,2016.0,308.308,2807.0,2807.0,31925.609,364882.0,364882.0
2018-04-01,0.0,0.0,0.0,155.145,1740.0,1740.0,368.034,3351.0,3351.0,33501.855,375734.0,375734.0
2018-05-01,0.0,0.0,0.0,300.288,3558.0,3558.0,312.438,2844.0,2844.0,41369.712,490175.0,490175.0
2018-06-01,0.0,0.0,0.0,285.361,3354.0,3354.0,334.596,3046.0,3046.0,32292.639,379553.0,379553.0
2018-07-01,0.0,0.0,0.0,188.498,2160.0,2160.0,552.082,5026.0,5026.0,46899.502,537423.0,537423.0
2018-08-01,0.0,0.0,0.0,158.67,1932.0,1932.0,259.707,2364.0,2364.0,53477.33,651150.0,651150.0
2018-09-01,0.0,0.0,0.0,196.33,2310.0,2310.0,310.681,2828.0,2828.0,31057.67,365422.0,365422.0
2018-10-01,0.0,0.0,0.0,118.494,1392.0,1392.0,532.759,4850.0,4850.0,59188.506,695313.0,695313.0
2018-11-01,0.0,0.0,0.0,68.101,744.0,744.0,520.524,4739.0,4739.0,55831.899,609963.0,609963.0
2018-12-01,0.0,0.0,0.0,101.665,1152.0,1152.0,485.884,4423.0,4423.0,52614.335,596193.0,596193.0
2019-01-01,0.0,0.0,0.0,176.054,2034.0,2034.0,572.428,5097.0,5097.0,51215.946,591712.0,591712.0
2019-02-01,0.0,0.0,0.0,126.585,1476.0,1476.0,332.694,2963.0,2963.0,51079.415,595593.0,595593.0
2019-03-01,0.0,0.0,0.0,108.509,1224.0,1224.0,576.89,5137.0,5137.0,43180.491,487082.0,487082.0
2019-04-01,0.0,0.0,0.0,255.1,3006.0,3006.0,579.353,5159.0,5159.0,43717.9,515155.0,515155.0
2019-05-01,0.0,0.0,0.0,43.984,528.0,528.0,671.821,5983.0,5983.0,14754.016,177112.0,177112.0
2019-06-01,0.0,0.0,0.0,101.575,1092.0,1092.0,559.387,4981.0,4981.0,2342.425,25183.0,25183.0
2019-07-01,0.0,0.0,0.0,143.854,1716.0,1716.0,388.129,3456.0,3456.0,25392.146,302896.0,302896.0
2019-08-01,0.0,0.0,0.0,188.525,2280.0,2280.0,289.546,2578.0,2578.0,13728.475,166031.0,166031.0
2019-09-01,0.0,0.0,0.0,90.111,1050.0,1050.0,327.42,2916.0,2916.0,1478.889,17233.0,17233.0
2019-10-01,0.0,0.0,0.0,120.652,1572.0,1572.0,352.341,3138.0,3138.0,6633.348,86427.0,86427.0
2019-11-01,0.0,0.0,0.0,66.39,780.0,780.0,351.037,3126.0,3126.0,29001.61,340734.0,340734.0
2019-12-01,0.0,0.0,0.0,144.151,1710.0,1710.0,389.954,3473.0,3473.0,29577.849,350870.0,350870.0
2020-01-01,0.0,0.0,0.0,88.646,1050.0,1050.0,639.161,5604.0,5604.0,38687.354,458245.0,458245.0
2020-02-01,0.0,0.0,0.0,116.617,1362.0,1362.0,579.421,5080.0,5080.0,33546.383,391796.0,391796.0
2020-03-01,0.0,0.0,0.0,100.68,1182.0,1182.0,471.353,4132.0,4132.0,22056.32,258946.0,258946.0
2020-04-01,0.0,0.0,0.0,35.137,378.0,378.0,626.087,5489.0,5489.0,3561.863,38318.0,38318.0
2020-05-01,0.0,0.0,0.0,21.978,324.0,324.0,475.796,4171.0,4171.0,1882.022,27744.0,27744.0
2020-06-01,0.0,0.0,0.0,72.402,840.0,840.0,504.005,4419.0,4419.0,5320.598,61729.0,61729.0
2020-07-01,0.0,0.0,0.0,205.486,2514.0,2514.0,422.376,3703.0,3703.0,18130.514,221816.0,221816.0
2020-08-01,0.0,0.0,0.0,231.196,2832.0,2832.0,332.837,2918.0,2918.0,9885.804,121095.0,121095.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,208.335,1826.0,1826.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,197.267,2388.0,2388.0,233.221,2045.0,2045.0,20101.733,243340.0,243340.0
2020-11-01,0.0,0.0,0.0,87.087,1068.0,1068.0,311.96,2735.0,2735.0,12786.913,156813.0,156813.0
2020-12-01,0.0,0.0,0.0,76.802,906.0,906.0,320.448,2809.0,2809.0,31322.198,369495.0,369495.0
