measured_on,"Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-12-01,,,,,,,0.0,0.0,0.0,2540.0,25885.96,25885.96,723831.0,7377864.0,7377864.0
2006-01-01,,,,,,,0.0,0.0,0.0,1288.0,13080.0,13080.0,736935.0,7485664.0,7485664.0
2006-02-01,,,,,,,0.0,0.0,0.0,1933.0,20012.0,20012.0,652846.0,6760236.0,6760236.0
2006-03-01,,,,,,,0.0,0.0,0.0,1460.0,14919.0,14919.0,634008.0,6477024.0,6477024.0
2006-04-01,,,,,,,0.0,0.0,0.0,901.0,9338.0,9338.0,571149.0,5918874.0,5918874.0
2006-05-01,,,,,,,0.0,0.0,0.0,1908.0,20025.0,20025.0,669104.0,7023791.0,7023791.0
2006-06-01,,,,,,,0.0,0.0,0.0,36.0,372.0,372.0,715570.0,7463387.0,7463387.0
2006-07-01,,,,,,,0.0,0.0,0.0,415.0,4393.0,4393.0,726601.0,7693989.0,7693989.0
2006-08-01,,,,,,,0.0,0.0,0.0,39.0,409.0,409.0,743013.0,7754777.0,7754777.0
2006-09-01,,,,,,,0.0,0.0,0.0,385.0,4037.0,4037.0,718374.0,7522394.0,7522394.0
2006-10-01,,,,,,,0.0,0.0,0.0,1064.0,11026.0,11026.0,720576.0,7470423.0,7470423.0
2006-11-01,,,,,,,0.0,0.0,0.0,972.0,10066.0,10066.0,712210.0,7374663.0,7374663.0
2006-12-01,,,,,,,0.0,0.0,0.0,620.0,6329.0,6329.0,738517.0,7533519.0,7533519.0
2007-01-01,,,,,,,0.0,0.0,0.0,1453.2640000000001,14978.0,14978.0,742537.736,7653065.0,7653065.0
2007-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,2101.899,21273.0,21273.0,669019.1,6770910.0,6770910.0
2007-03-01,,,,,,,0.0,0.0,0.0,1115.256,11477.0,11477.0,604777.744,6223873.0,6223873.0
2007-04-01,,,,,,,0.0,0.0,0.0,1052.924,10863.0,10863.0,588758.077,6074439.0,6074439.0
2007-05-01,,,,,,,0.0,0.0,0.0,1477.2330000000002,15499.0,15499.0,667778.768,7006476.0,7006476.0
2007-06-01,,,,,,,0.0,0.0,0.0,229.945,2406.0,2406.0,707303.054,7401031.0,7401031.0
2007-07-01,,,,,,,0.0,0.0,0.0,328.341,3487.0,3487.0,604009.659,6413796.0,6413796.0
2007-08-01,,,,,,,0.0,0.0,0.0,243.08200000000002,2570.0,2570.0,678191.919,7169819.0,7169819.0
2007-09-01,,,,,,,0.0,0.0,0.0,736.1370000000001,7662.0,7662.0,660847.863,6878512.0,6878512.0
2007-10-01,,,,,,,0.0,0.0,0.0,1366.7820000000002,14102.0,14102.0,711317.217,7338990.0,7338990.0
2007-11-01,,,,,,,0.0,0.0,0.0,1177.486,12123.0,12123.0,720640.514,7419533.0,7419533.0
2007-12-01,,,,,,,0.0,0.0,0.0,2042.517,21100.0,21100.0,732504.483,7566896.0,7566896.0
2008-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.197,23.0,23.0,748609.803,7736313.0,7736313.0
2008-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.682,28.0,28.0,648797.318,6721122.0,6721122.0
2008-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.5010000000000003,26.0,26.0,567411.499,5835844.0,5835844.0
2008-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.885,20.0,20.0,552341.115,5734471.0,5734471.0
2008-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0820000000000003,22.0,22.0,595050.918,6182753.0,6182753.0
2008-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.173,12.0,12.0,642603.827,6768872.0,6768872.0
2008-07-01,,,,0.0,0.0,0.0,10.827,115.0,115.0,0.097,1.0,1.0,725778.076,7722414.0,7722414.0
2008-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.099,1.0,1.0,739485.901,7688033.0,7688033.0
2008-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.55,6.0,6.0,662659.4500000001,7448454.0,7448454.0
2008-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.091,11.0,11.0,732295.909,7607948.0,7607948.0
2008-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.59,16.0,16.0,712673.41,7385830.0,7385830.0
2008-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.7030000000000003,28.0,28.0,721661.297,7424479.0,7424479.0
2009-01-01,,,,,,,0.0,0.0,0.0,2.419,25.0,25.0,737050.581,7531121.0,7531121.0
2009-02-01,,,,,,,0.0,0.0,0.0,2.474,26.0,26.0,603345.526,6279167.0,6279167.0
2009-03-01,,,,,,,0.0,0.0,0.0,2.267,23.0,23.0,541262.733,5411200.0,5411200.0
2009-04-01,,,,,,,0.0,0.0,0.0,1.3920000000000001,14.0,14.0,484105.608,5016315.0,5016315.0
2009-05-01,,,,,,,0.0,0.0,0.0,2.525,27.0,27.0,520542.475,5520959.0,5520959.0
2009-06-01,,,,,,,0.0,0.0,0.0,1.608,18.0,18.0,497391.392,5415652.0,5415652.0
2009-07-01,,,,,,,0.0,0.0,0.0,1.171,12.0,12.0,533568.829,5632555.0,5632555.0
2009-08-01,,,,,,,0.0,0.0,0.0,0.48800000000000004,5.0,5.0,602560.512,6358247.0,6358247.0
2009-09-01,,,,,,,0.0,0.0,0.0,1.078,11.0,11.0,505406.922,5285086.0,5285086.0
2009-10-01,,,,,,,0.0,0.0,0.0,1.383,14.0,14.0,701075.617,7272876.0,7272876.0
2009-11-01,,,,,,,0.0,0.0,0.0,2.365,25.0,25.0,623226.635,6456206.0,6456206.0
2009-12-01,,,,,,,0.0,0.0,0.0,2.588,27.0,27.0,738754.412,7593642.0,7593642.0
2010-01-01,,,,,,,0.0,0.0,0.0,3.092,32.0,32.0,735664.908,7544543.0,7544543.0
2010-02-01,,,,,,,0.0,0.0,0.0,2.86,30.0,30.0,642172.14,6641700.0,6641700.0
2010-03-01,,,,,,,0.0,0.0,0.0,1.97,20.0,20.0,700914.03,7235129.0,7235129.0
2010-04-01,,,,,,,0.0,0.0,0.0,1.367,14.0,14.0,590709.633,6127789.0,6127789.0
2010-05-01,,,,,,,0.0,0.0,0.0,1.959,20.0,20.0,562809.041,5833470.0,5833470.0
2010-06-01,,,,,,,0.0,0.0,0.0,0.385,4.0,4.0,662682.615,6967467.0,6967467.0
2010-07-01,,,,,,,0.0,0.0,0.0,0.384,4.0,4.0,690379.616,7297611.0,7297611.0
2010-08-01,,,,,,,0.0,0.0,0.0,0.28800000000000003,3.0,3.0,678025.712,7148458.0,7148458.0
2010-09-01,,,,,,,0.0,0.0,0.0,1.641,17.0,17.0,564922.359,5915918.0,5915918.0
2010-10-01,,,,,,,0.0,0.0,0.0,1.069,11.0,11.0,653258.931,6790405.0,6790405.0
2010-11-01,,,,,,,0.0,0.0,0.0,2.149,22.0,22.0,643704.851,6655974.0,6655974.0
2010-12-01,,,,,,,0.0,0.0,0.0,3.1540000000000004,32.0,32.0,729164.846,7471828.0,7471828.0
2011-01-01,,,,,,,0.0,0.0,0.0,2.969,30.0,30.0,730945.03,7460376.0,7460376.0
2011-02-01,,,,,,,0.0,0.0,0.0,2.047,21.0,21.0,653471.95,6770275.0,6770275.0
2011-03-01,,,,,,,0.0,0.0,0.0,2.06,21.0,21.0,561595.94,5781502.0,5781502.0
2011-04-01,,,,,,,0.0,0.0,0.0,1.84,19.0,19.0,532287.16,5496708.0,5496708.0
2011-05-01,,,,,,,0.0,0.0,0.0,2.603,27.0,27.0,547852.4,5683188.0,5683188.0
2011-06-01,,,,,,,0.0,0.0,0.0,0.567,6.0,6.0,656706.43,6951752.0,6951752.0
2011-07-01,,,,,,,0.0,0.0,0.0,0.286,3.0,3.0,707108.71,7413731.0,7413731.0
2011-08-01,,,,,,,0.0,0.0,0.0,0.287,3.0,3.0,684341.71,7143542.0,7143542.0
2011-09-01,,,,,,,0.0,0.0,0.0,0.858,9.0,9.0,620636.14,6508986.0,6508986.0
2011-10-01,,,,,,,0.0,0.0,0.0,1.448,15.0,15.0,682019.55,7066084.0,7066084.0
2011-11-01,,,,,,,0.0,0.0,0.0,2.43,25.0,25.0,638862.57,6571623.0,6571623.0
2011-12-01,,,,,,,0.0,0.0,0.0,2.446,25.0,25.0,693382.55,7088063.0,7088063.0
2012-01-01,,,,,,,0.0,0.0,0.0,2.033,21.0,21.0,639943.97,6609250.0,6609250.0
2012-02-01,,,,,,,0.0,0.0,0.0,1.747,18.0,18.0,603245.25,6214046.0,6214046.0
2012-03-01,,,,,,,0.0,0.0,0.0,4.21,44.0,44.0,477833.79,4993589.0,4993589.0
2012-04-01,,,,,,,0.0,0.0,0.0,4.792,50.0,50.0,468750.21,4890630.0,4890630.0
2012-05-01,,,,,,,0.0,0.0,0.0,1.034,11.0,11.0,601390.97,6395023.0,6395023.0
2012-06-01,,,,,,,0.0,0.0,0.0,1.37,15.0,15.0,453964.63,4969281.0,4969281.0
2012-07-01,,,,,,,0.0,0.0,0.0,0.731,8.0,8.0,593307.27,6491302.0,6491302.0
2012-08-01,,,,,,,0.0,0.0,0.0,0.184,2.0,2.0,557807.82,6061683.0,6061683.0
2012-09-01,,,,,,,0.0,0.0,0.0,1.95,21.0,21.0,318418.05,3429148.0,3429148.0
2012-10-01,,,,,,,0.0,0.0,0.0,1.804,19.0,19.0,602732.2,6347843.0,6347843.0
2012-11-01,,,,,,,0.0,0.0,0.0,2.782,29.0,29.0,567195.22,5913516.0,5913516.0
2012-12-01,,,,,,,0.0,0.0,0.0,2.804,29.0,29.0,604449.2,6252231.0,6252231.0
2013-01-01,,,,,,,0.0,0.0,0.0,3.083,31.0,31.0,706895.92,7108073.0,7108073.0
2013-02-01,,,,,,,0.0,0.0,0.0,2.743,28.0,28.0,652696.26,6662536.0,6662536.0
2013-03-01,,,,,,,0.0,0.0,0.0,2.478,25.0,25.0,686331.52,6923873.0,6923873.0
2013-04-01,,,,,,,0.0,0.0,0.0,2.243,23.0,23.0,615629.76,6312107.0,6312107.0
2013-05-01,,,,,,,0.0,0.0,0.0,1.261,13.0,13.0,635307.74,6551696.0,6551696.0
2013-06-01,,,,,,,0.0,0.0,0.0,1.549,17.0,17.0,423483.45,4647773.0,4647773.0
2013-07-01,,,,,,,0.0,0.0,0.0,0.759,8.0,8.0,541552.24,5711145.0,5711145.0
2013-08-01,,,,,,,0.0,0.0,0.0,0.752,8.0,8.0,528330.25,5624245.0,5624245.0
2013-09-01,,,,,,,0.0,0.0,0.0,1.218,13.0,13.0,465118.78,4963280.0,4963280.0
2013-10-01,,,,,,,0.0,0.0,0.0,1.448,15.0,15.0,580408.55,6013943.0,6013943.0
2013-11-01,,,,,,,0.0,0.0,0.0,2.376,25.0,25.0,490399.62,5159549.0,5159549.0
2013-12-01,,,,,,,0.0,0.0,0.0,3.385,35.0,35.0,591780.62,6119691.0,6119691.0
2014-01-01,,,,,,,0.0,0.0,0.0,2.973,31.0,31.0,549784.03,5731814.0,5731814.0
2014-02-01,,,,,,,0.0,0.0,0.0,3.003,30.0,30.0,599341.0,5988188.0,5988188.0
2014-03-01,,,,,,,0.0,0.0,0.0,1.857,19.0,19.0,705985.14,7223245.0,7223245.0
2014-04-01,,,,,,,0.0,0.0,0.0,1.95,20.0,20.0,556697.05,5708390.0,5708390.0
2014-05-01,,,,,,,0.0,0.0,0.0,0.581,6.0,6.0,662860.42,6845561.0,6845561.0
2014-06-01,,,,,,,0.0,0.0,0.0,0.652,7.0,7.0,521245.35,5594004.0,5594004.0
2014-07-01,,,,,,,0.0,0.0,0.0,0.28,3.0,3.0,539877.72,5783352.0,5783352.0
2014-08-01,,,,,,,0.0,0.0,0.0,0.561,6.0,6.0,623354.44,6666587.0,6666587.0
2014-09-01,,,,,,,0.0,0.0,0.0,0.556,6.0,6.0,552324.44,5959684.0,5959684.0
2014-10-01,,,,,,,0.0,0.0,0.0,1.253,13.0,13.0,610932.75,6337007.0,6337007.0
2014-11-01,,,,,,,0.0,0.0,0.0,2.257,24.0,24.0,641540.74,6820421.0,6820421.0
2014-12-01,,,,,,,0.0,0.0,0.0,2.758,29.0,29.0,607360.24,6385374.0,6385374.0
2015-01-01,,,,,,,0.0,0.0,0.0,3.078,32.0,32.0,542885.92,5644950.0,5644950.0
2015-02-01,,,,,,,0.0,0.0,0.0,3.109,33.0,33.0,500116.89,5308542.0,5308542.0
2015-03-01,,,,,,,0.0,0.0,0.0,3.937,41.0,41.0,533169.06,5551930.0,5551930.0
2015-04-01,,,,,,,0.0,0.0,0.0,2.194,24.0,24.0,359573.81,3932725.0,3932725.0
2015-05-01,,,,,,,0.0,0.0,0.0,2.39,27.0,27.0,388194.61,4384760.0,4384760.0
2015-06-01,,,,,,,0.0,0.0,0.0,1.309,15.0,15.0,390123.69,4469678.0,4469678.0
2015-07-01,,,,,,,0.0,0.0,0.0,1.528,17.0,17.0,427397.47,4755095.0,4755095.0
2015-08-01,,,,,,,0.0,0.0,0.0,1.601,18.0,18.0,403396.4,4536225.0,4536225.0
2015-09-01,,,,,,,0.0,0.0,0.0,1.458,17.0,17.0,390254.54,4549865.0,4549865.0
2015-10-01,,,,,,,0.0,0.0,0.0,1.665,18.0,18.0,394507.34,4265975.0,4265975.0
2015-11-01,,,,,,,0.0,0.0,0.0,2.616,29.0,29.0,304070.38,3370634.0,3370634.0
2015-12-01,,,,,,,0.0,0.0,0.0,2.236,25.0,25.0,247327.76,2765229.0,2765229.0
2016-01-01,,,,,,,0.0,0.0,0.0,2.829,32.0,32.0,0.0,0.0,0.0
2016-02-01,,,,,,,0.0,0.0,0.0,2.361,27.0,27.0,0.0,0.0,0.0
2016-03-01,,,,,,,0.0,0.0,0.0,1.354,16.0,16.0,0.0,0.0,0.0
2016-04-01,,,,,,,0.0,0.0,0.0,2.169,25.0,25.0,0.0,0.0,0.0
2016-05-01,,,,,,,0.0,0.0,0.0,17475.123,220570.0,220570.0,0.0,0.0,0.0
2016-06-01,,,,,,,0.0,0.0,0.0,64479.806,766191.0,766191.0,0.0,0.0,0.0
2016-07-01,,,,,,,0.0,0.0,0.0,76784.937,841596.0,841596.0,0.0,0.0,0.0
2016-08-01,,,,,,,0.0,0.0,0.0,75754.69,859978.0,859978.0,0.0,0.0,0.0
2016-09-01,,,,,,,0.0,0.0,0.0,77268.731,854842.0,854842.0,0.0,0.0,0.0
2016-10-01,,,,,,,0.0,0.0,0.0,61934.479,683885.0,683885.0,0.0,0.0,0.0
2016-11-01,,,,,,,0.0,0.0,0.0,45053.394,510881.0,510881.0,0.0,0.0,0.0
2016-12-01,,,,,,,0.0,0.0,0.0,5612.361,60800.0,60800.0,0.0,0.0,0.0
2017-01-01,,,,,,,0.0,0.0,0.0,4272.013,46109.0,46109.0,0.0,0.0,0.0
2017-02-01,,,,,,,0.0,0.0,0.0,954.999,10098.0,10098.0,0.0,0.0,0.0
2017-03-01,,,,,,,0.0,0.0,0.0,3067.798,33272.0,33272.0,0.0,0.0,0.0
2017-04-01,,,,,,,0.0,0.0,0.0,3217.59,36320.0,36320.0,0.0,0.0,0.0
2017-05-01,,,,,,,0.0,0.0,0.0,3696.275,39430.0,39430.0,0.0,0.0,0.0
2017-06-01,,,,,,,0.0,0.0,0.0,2153.797,23110.0,23110.0,0.0,0.0,0.0
2017-07-01,,,,,,,0.0,0.0,0.0,2050.742,22351.0,22351.0,0.0,0.0,0.0
2017-08-01,,,,,,,0.0,0.0,0.0,1739.703,18904.0,18904.0,0.0,0.0,0.0
2017-09-01,,,,,,,0.0,0.0,0.0,2655.859,30089.0,30089.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,2903.488,30677.0,30677.0,0.0,0.0,0.0
2017-11-01,,,,,,,0.0,0.0,0.0,3110.742,35460.0,35460.0,0.0,0.0,0.0
2017-12-01,,,,,,,0.0,0.0,0.0,3403.639,38321.0,38321.0,0.0,0.0,0.0
2018-01-01,,,,,,,0.0,0.0,0.0,4899.961,59036.0,59036.0,0.0,0.0,0.0
2018-02-01,,,,,,,,,,3230.582,35320.0,35320.0,0.0,0.0,0.0
2018-03-01,,,,,,,,,,3642.569,41213.0,41213.0,0.0,0.0,0.0
2018-04-01,,,,,,,,,,3083.763,35930.0,35930.0,0.0,0.0,0.0
2018-05-01,,,,,,,,,,1554.835,18110.0,18110.0,0.0,0.0,0.0
2018-06-01,,,,,,,,,,1334.955,14977.0,14977.0,0.0,0.0,0.0
2018-07-01,,,,,,,,,,1617.638,18160.0,18160.0,0.0,0.0,0.0
2018-08-01,,,,,,,,,,1619.259,18178.0,18178.0,0.0,0.0,0.0
2018-09-01,,,,,,,,,,1861.552,20939.0,20939.0,0.0,0.0,0.0
2018-10-01,,,,,,,,,,3162.213,32736.0,32736.0,0.0,0.0,0.0
2018-11-01,,,,,,,,,,2562.445,30194.0,30194.0,0.0,0.0,0.0
2018-12-01,,,,,,,,,,2336.057,31032.0,31032.0,0.0,0.0,0.0
2019-01-01,,,,,,,,,,4014.422,46070.0,46070.0,0.0,0.0,0.0
2019-02-01,,,,,,,,,,3325.614,36771.0,36771.0,0.0,0.0,0.0
2019-03-01,,,,,,,,,,2908.633,31523.0,31523.0,0.0,0.0,0.0
2019-04-01,,,,,,,,,,2108.328,23166.0,23166.0,0.0,0.0,0.0
2019-05-01,,,,,,,,,,2146.484,23645.0,23645.0,0.0,0.0,0.0
2019-06-01,,,,,,,,,,1817.131,20834.0,20834.0,0.0,0.0,0.0
2019-07-01,,,,,,,,,,1916.595,21315.0,21315.0,0.0,0.0,0.0
2019-08-01,,,,,,,,,,1880.773,20728.0,20728.0,0.0,0.0,0.0
2019-09-01,,,,,,,,,,1541.255,18020.0,18020.0,0.0,0.0,0.0
2019-10-01,,,,,,,,,,20289.674,232682.0,232682.0,0.0,0.0,0.0
2019-11-01,,,,,,,,,,3394.428,36939.0,36939.0,0.0,0.0,0.0
2019-12-01,,,,,,,,,,3057.782,33071.0,33071.0,0.0,0.0,0.0
2020-01-01,,,,,,,,,,32773.569,370888.0,370888.0,0.0,0.0,0.0
2020-02-01,,,,,,,,,,55134.099,637913.0,637913.0,0.0,0.0,0.0
2020-03-01,,,,,,,,,,73177.2,832330.0,832330.0,0.0,0.0,0.0
2020-04-01,,,,,,,,,,46679.172,537793.0,537793.0,0.0,0.0,0.0
2020-05-01,,,,,,,,,,56692.202,676004.0,676004.0,0.0,0.0,0.0
2020-06-01,,,,,,,,,,98469.554,1149967.0,1149967.0,0.0,0.0,0.0
2020-07-01,,,,,,,,,,118200.59,1397534.0,1397534.0,0.0,0.0,0.0
2020-08-01,,,,,,,,,,31280.157,370503.0,370503.0,0.0,0.0,0.0
2020-09-01,,,,,,,,,,21012.51,246086.0,246086.0,0.0,0.0,0.0
2020-10-01,,,,,,,,,,23440.66,259763.0,259763.0,0.0,0.0,0.0
2020-11-01,,,,,,,,,,3209.412,35139.0,35139.0,0.0,0.0,0.0
2020-12-01,,,,,,,,,,3475.654,35900.0,35900.0,0.0,0.0,0.0
2021-01-01,,,,,,,,,,3756.747,41142.0,41142.0,0.0,0.0,0.0
2021-02-01,,,,,,,,,,3841.227,42186.0,42186.0,0.0,0.0,0.0
2021-03-01,,,,,,,,,,37216.082,433111.0,433111.0,0.0,0.0,0.0
2021-04-01,,,,,,,,,,2891.586,30090.0,30090.0,0.0,0.0,0.0
2021-05-01,,,,,,,,,,2896.004,33768.0,33768.0,0.0,0.0,0.0
2021-06-01,,,,,,,,,,1821.508,20900.0,20900.0,0.0,0.0,0.0
2021-07-01,,,,,,,,,,1730.326,20150.0,20150.0,0.0,0.0,0.0
2021-08-01,,,,,,,,,,1404.312,16224.0,16224.0,0.0,0.0,0.0
2021-09-01,,,,,,,,,,2118.088,24700.0,24700.0,0.0,0.0,0.0
2021-10-01,,,,,,,,,,2077.902,25178.0,25178.0,0.0,0.0,0.0
2021-11-01,,,,,,,,,,2671.943,32886.0,32886.0,0.0,0.0,0.0
2021-12-01,,,,,,,,,,3064.039,35208.0,35208.0,0.0,0.0,0.0
2022-01-01,,,,,,,,,,3722.485,42055.0,42055.0,411947.88,4654006.0,4654006.0
2022-02-01,,,,,,,,,,3620.905,38923.0,38923.0,499001.1,5364023.0,5364023.0
2022-03-01,,,,,,,,,,3162.843,34282.0,34282.0,539271.16,5845150.0,5845150.0
2022-04-01,,,,,,,,,,3318.483,37224.0,37224.0,489963.52,5496006.0,5496006.0
2022-05-01,,,,,,,,,,2108.393,26524.0,26524.0,290200.61,3650781.0,3650781.0
2022-06-01,,,,,,,,,,1603.977,17915.0,17915.0,429607.02,4798330.0,4798330.0
2022-07-01,,,,,,,,,,1827.913,21117.0,21117.0,404793.09,4676379.0,4676379.0
