measured_on,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2006-04-01,,,,204.041,2836.0,2836.0
2006-05-01,,,,190.727,2651.0,2651.0
2006-06-01,,,,173.357,2410.0,2410.0
2006-07-01,,,,251.11200000000002,3491.0,3491.0
2006-08-01,,,,243.577,3386.0,3386.0
2006-09-01,,,,111.903,1556.0,1556.0
2006-10-01,,,,118.206,1643.0,1643.0
2006-11-01,,,,139.191,1935.0,1935.0
2006-12-01,,,,154.226,2144.0,2144.0
2007-01-01,0.0,0.0,0.0,218.93200000000002,3410.0,3410.0
2007-02-01,0.0,0.0,0.0,257.774,4015.0,4015.0
2007-03-01,0.0,0.0,0.0,240.573,3746.0,3746.0
2007-04-01,0.0,0.0,0.0,78.686,1226.0,1226.0
2007-05-01,0.0,0.0,0.0,79.679,1243.0,1243.0
2007-06-01,0.0,0.0,0.0,108.755,1691.0,1691.0
2007-07-01,0.0,0.0,0.0,109.456,1702.0,1702.0
2007-08-01,0.0,0.0,0.0,129.678,2022.0,2022.0
2007-09-01,0.0,0.0,0.0,91.08,1417.0,1417.0
2007-10-01,0.0,0.0,0.0,114.641,1786.0,1786.0
2007-11-01,0.0,0.0,0.0,21.287000000000003,330.0,330.0
2007-12-01,0.0,0.0,0.0,223.458,3483.0,3483.0
2008-01-01,0.0,0.0,0.0,103.055,1531.0,1531.0
2008-02-01,0.0,0.0,0.0,123.04,1837.0,1837.0
2008-03-01,0.0,0.0,0.0,274.535,4094.0,4094.0
2008-04-01,0.0,0.0,0.0,118.464,1769.0,1769.0
2008-05-01,0.0,0.0,0.0,106.629,1593.0,1593.0
2008-06-01,0.0,0.0,0.0,244.393,3646.0,3646.0
2008-07-01,0.0,0.0,0.0,203.50400000000002,3033.0,3033.0
2008-08-01,0.0,0.0,0.0,52.078,777.0,777.0
2008-09-01,0.0,0.0,0.0,35.988,539.0,539.0
2008-10-01,0.0,0.0,0.0,40.97,612.0,612.0
2008-11-01,0.0,0.0,0.0,36.562000000000005,544.0,544.0
2008-12-01,0.0,0.0,0.0,285.78200000000004,4264.0,4264.0
2009-01-01,0.0,0.0,0.0,1685.909,25600.0,25600.0
2009-02-01,0.0,0.0,0.0,33.433,507.0,507.0
2009-03-01,0.0,0.0,0.0,138.996,2112.0,2112.0
2009-04-01,0.0,0.0,0.0,124.09100000000001,1888.0,1888.0
2009-05-01,0.0,0.0,0.0,32.455,496.0,496.0
2009-06-01,0.0,0.0,0.0,77.111,1174.0,1174.0
2009-07-01,0.0,0.0,0.0,239.056,3634.0,3634.0
2009-08-01,0.0,0.0,0.0,593.894,9027.0,9027.0
2009-09-01,0.0,0.0,0.0,61.189,932.0,932.0
2009-10-01,0.0,0.0,0.0,36.704,561.0,561.0
2009-11-01,0.0,0.0,0.0,58.58,891.0,891.0
2009-12-01,0.0,0.0,0.0,195.58200000000002,2974.0,2974.0
2010-01-01,0.0,0.0,0.0,120.70500000000001,1847.0,1847.0
2010-02-01,0.0,0.0,0.0,110.63,1693.0,1693.0
2010-03-01,0.0,0.0,0.0,173.49200000000002,2649.0,2649.0
2010-04-01,0.0,0.0,0.0,95.00200000000001,1451.0,1451.0
2010-05-01,0.0,0.0,0.0,423.119,6466.0,6466.0
2010-06-01,0.0,0.0,0.0,375.144,5735.0,5735.0
2010-07-01,0.0,0.0,0.0,1273.127,19458.0,19458.0
2010-08-01,0.0,0.0,0.0,850.162,12992.0,12992.0
2010-09-01,0.0,0.0,0.0,672.135,10272.0,10272.0
2010-10-01,0.0,0.0,0.0,29.284000000000002,448.0,448.0
2010-11-01,0.0,0.0,0.0,81.757,1251.0,1251.0
2010-12-01,0.0,0.0,0.0,273.44300000000004,4177.0,4177.0
2011-01-01,0.0,0.0,0.0,440.071,7450.0,7450.0
2011-02-01,0.0,0.0,0.0,83.43,1412.0,1412.0
2011-03-01,0.0,0.0,0.0,48.31,816.0,816.0
2011-04-01,0.0,0.0,0.0,19.682,335.0,335.0
2011-05-01,0.0,0.0,0.0,5.42,91.0,91.0
2011-06-01,0.0,0.0,0.0,171.39,2903.0,2903.0
2011-07-01,0.0,0.0,0.0,289.116,4899.0,4899.0
2011-08-01,0.0,0.0,0.0,174.768,2960.0,2960.0
2011-09-01,0.0,0.0,0.0,96.983,1644.0,1644.0
2011-10-01,0.0,0.0,0.0,14.751,249.0,249.0
2011-11-01,0.0,0.0,0.0,56.23,953.0,953.0
2011-12-01,0.0,0.0,0.0,34.849,590.0,590.0
2012-01-01,0.0,0.0,0.0,48.254,720.0,720.0
2012-02-01,0.0,0.0,0.0,45.142,675.0,675.0
2012-03-01,0.0,0.0,0.0,103.847,1548.0,1548.0
2012-04-01,0.0,0.0,0.0,47.73,709.0,709.0
2012-05-01,0.0,0.0,0.0,125.974,1877.0,1877.0
2012-06-01,0.0,0.0,0.0,527.985,7870.0,7870.0
2012-07-01,0.0,0.0,0.0,423.859,6316.0,6316.0
2012-08-01,0.0,0.0,0.0,210.199,3130.0,3130.0
2012-09-01,0.0,0.0,0.0,38.91,578.0,578.0
2012-10-01,0.0,0.0,0.0,134.616,2007.0,2007.0
2012-11-01,0.0,0.0,0.0,78.155,1162.0,1162.0
2012-12-01,0.0,0.0,0.0,68.329,1021.0,1021.0
2013-01-01,0.0,0.0,0.0,176.899,6005.0,6005.0
2013-02-01,0.0,0.0,0.0,126.466,4287.0,4287.0
2013-03-01,0.0,0.0,0.0,5.394,181.0,181.0
2013-04-01,0.0,0.0,0.0,2.574,85.0,85.0
2013-05-01,0.0,0.0,0.0,2.386,79.0,79.0
2013-06-01,0.0,0.0,0.0,9.914,335.0,335.0
2013-07-01,0.0,0.0,0.0,73.286,2483.0,2483.0
2013-08-01,0.0,0.0,0.0,13.561,459.0,459.0
2013-09-01,0.0,0.0,0.0,8.573,289.0,289.0
2013-10-01,0.0,0.0,0.0,1.283,45.0,45.0
2013-11-01,0.0,0.0,0.0,8.632,295.0,295.0
2013-12-01,0.0,0.0,0.0,166.032,5630.0,5630.0
2014-01-01,0.0,0.0,0.0,2672.835,37762.0,37762.0
2014-02-01,0.0,0.0,0.0,799.13,11289.0,11289.0
2014-03-01,0.0,0.0,0.0,896.095,12661.0,12661.0
2014-04-01,0.0,0.0,0.0,8.433,119.0,119.0
2014-05-01,0.0,0.0,0.0,2.633,40.0,40.0
2014-06-01,0.0,0.0,0.0,23.623,335.0,335.0
2014-07-01,0.0,0.0,0.0,37.801,533.0,533.0
2014-08-01,0.0,0.0,0.0,91.939,1298.0,1298.0
2014-09-01,0.0,0.0,0.0,35.654,505.0,505.0
2014-10-01,0.0,0.0,0.0,13.002,181.0,181.0
2014-11-01,0.0,0.0,0.0,43.076,607.0,607.0
2014-12-01,0.0,0.0,0.0,118.779,1678.0,1678.0
2015-01-01,0.0,0.0,0.0,62.566,936.0,936.0
2015-02-01,0.0,0.0,0.0,1390.74,20661.0,20661.0
2015-03-01,0.0,0.0,0.0,21.4,318.0,318.0
2015-04-01,0.0,0.0,0.0,29.412,437.0,437.0
2015-05-01,0.0,0.0,0.0,16.945,249.0,249.0
2015-06-01,0.0,0.0,0.0,4.634,68.0,68.0
2015-07-01,0.0,0.0,0.0,84.062,1247.0,1247.0
2015-08-01,0.0,0.0,0.0,28.977,431.0,431.0
2015-09-01,0.0,0.0,0.0,62.211,924.0,924.0
2015-10-01,0.0,0.0,0.0,7.454,113.0,113.0
2015-11-01,0.0,0.0,0.0,4.883,74.0,74.0
2015-12-01,0.0,0.0,0.0,9.716,142.0,142.0
2016-01-01,0.0,0.0,0.0,96.352,1463.0,1463.0
2016-02-01,0.0,0.0,0.0,54.072,816.0,816.0
2016-03-01,0.0,0.0,0.0,15.049,227.0,227.0
2016-04-01,0.0,0.0,0.0,34.126,516.0,516.0
2016-05-01,0.0,0.0,0.0,191.454,2897.0,2897.0
2016-06-01,0.0,0.0,0.0,35.385,533.0,533.0
2016-07-01,0.0,0.0,0.0,198.244,2999.0,2999.0
2016-08-01,0.0,0.0,0.0,364.992,5523.0,5523.0
2016-09-01,0.0,0.0,0.0,58.152,879.0,879.0
2016-10-01,0.0,0.0,0.0,8.102,125.0,125.0
2016-11-01,0.0,0.0,0.0,54.833,828.0,828.0
2016-12-01,0.0,0.0,0.0,213.239,3226.0,3226.0
2017-01-01,0.0,0.0,0.0,46.657,607.0,607.0
2017-02-01,0.0,0.0,0.0,84.579,1094.0,1094.0
2017-03-01,0.0,0.0,0.0,544.711,7031.0,7031.0
2017-04-01,0.0,0.0,0.0,95.9,1236.0,1236.0
2017-05-01,0.0,0.0,0.0,112.353,1452.0,1452.0
2017-06-01,0.0,0.0,0.0,99.705,1287.0,1287.0
2017-07-01,0.0,0.0,0.0,123.918,1599.0,1599.0
2017-08-01,0.0,0.0,0.0,109.363,1412.0,1412.0
2017-09-01,0.0,0.0,0.0,128.309,1656.0,1656.0
2017-10-01,0.0,0.0,0.0,97.29,1259.0,1259.0
2017-11-01,0.0,0.0,0.0,197.75,2552.0,2552.0
2017-12-01,0.0,0.0,0.0,966.465,12480.0,12480.0
2018-01-01,0.0,0.0,0.0,2081.62,21801.0,21801.0
2018-02-01,0.0,0.0,0.0,80.117,839.0,839.0
2018-03-01,0.0,0.0,0.0,88.949,930.0,930.0
2018-04-01,0.0,0.0,0.0,68.188,714.0,714.0
2018-05-01,0.0,0.0,0.0,75.619,794.0,794.0
2018-06-01,0.0,0.0,0.0,65.085,680.0,680.0
2018-07-01,0.0,0.0,0.0,89.688,941.0,941.0
2018-08-01,0.0,0.0,0.0,161.564,1690.0,1690.0
2018-09-01,0.0,0.0,0.0,79.455,833.0,833.0
2018-10-01,0.0,0.0,0.0,71.94,754.0,754.0
2018-11-01,0.0,0.0,0.0,154.698,1622.0,1622.0
2018-12-01,0.0,0.0,0.0,85.077,890.0,890.0
2019-01-01,0.0,0.0,0.0,98.84,1491.0,1491.0
2019-02-01,0.0,0.0,0.0,61.827,930.0,930.0
2019-03-01,0.0,0.0,0.0,64.443,970.0,970.0
2019-04-01,0.0,0.0,0.0,50.055,754.0,754.0
2019-05-01,0.0,0.0,0.0,25.595,386.0,386.0
2019-06-01,0.0,0.0,0.0,31.174,471.0,471.0
2019-07-01,0.0,0.0,0.0,42.388,641.0,641.0
2019-08-01,0.0,0.0,0.0,80.842,1219.0,1219.0
2019-09-01,0.0,0.0,0.0,38.943,584.0,584.0
2019-10-01,0.0,0.0,0.0,61.255,924.0,924.0
2019-11-01,0.0,0.0,0.0,84.662,1276.0,1276.0
2019-12-01,0.0,0.0,0.0,95.976,1446.0,1446.0
2020-01-01,0.0,0.0,0.0,55.075,782.0,782.0
2020-02-01,0.0,0.0,0.0,58.781,828.0,828.0
2020-03-01,0.0,0.0,0.0,45.681,646.0,646.0
2020-04-01,0.0,0.0,0.0,50.752,714.0,714.0
2020-05-01,0.0,0.0,0.0,35.508,499.0,499.0
2020-06-01,0.0,0.0,0.0,34.491,488.0,488.0
2020-07-01,0.0,0.0,0.0,40.977,578.0,578.0
2020-08-01,0.0,0.0,0.0,38.661,544.0,544.0
2020-09-01,0.0,0.0,0.0,43.836,618.0,618.0
2020-10-01,0.0,0.0,0.0,68.818,970.0,970.0
2020-11-01,0.0,0.0,0.0,69.3,975.0,975.0
2020-12-01,0.0,0.0,0.0,388.12,5472.0,5472.0
2021-01-01,0.0,0.0,0.0,80.718,1461.0,1461.0
2021-02-01,0.0,0.0,0.0,109.871,1979.0,1979.0
2021-03-01,0.0,0.0,0.0,63.251,1137.0,1137.0
2021-04-01,0.0,0.0,0.0,88.763,1596.0,1596.0
2021-05-01,0.0,0.0,0.0,46.919,842.0,842.0
2021-06-01,0.0,0.0,0.0,65.925,1184.0,1184.0
2021-07-01,0.0,0.0,0.0,27.082,489.0,489.0
2021-08-01,0.0,0.0,0.0,40.934,736.0,736.0
2021-09-01,0.0,0.0,0.0,108.452,1950.0,1950.0
2021-10-01,0.0,0.0,0.0,159.675,2874.0,2874.0
2021-11-01,0.0,0.0,0.0,57.747,1043.0,1043.0
2021-12-01,0.0,0.0,0.0,53.663,966.0,966.0
2022-01-01,0.0,0.0,0.0,851.608,12275.0,12275.0
2022-02-01,0.0,0.0,0.0,122.18,1758.0,1758.0
2022-03-01,0.0,0.0,0.0,16.491,235.0,235.0
2022-04-01,0.0,0.0,0.0,8.281,118.0,118.0
2022-05-01,0.0,0.0,0.0,5.769,84.0,84.0
2022-06-01,0.0,0.0,0.0,43.271,622.0,622.0
2022-07-01,0.0,0.0,0.0,26.626,381.0,381.0
2022-08-01,0.0,0.0,0.0,7.937,112.0,112.0
2022-09-01,0.0,0.0,0.0,15.912,230.0,230.0
2022-10-01,0.0,0.0,0.0,12.363,179.0,179.0
2022-11-01,0.0,0.0,0.0,14.0,202.0,202.0
2022-12-01,0.0,0.0,0.0,293.562,4228.0,4228.0
2023-01-01,0.0,0.0,0.0,132.308,1982.0,1982.0
2023-02-01,0.0,0.0,0.0,163.932,2464.0,2464.0
2023-03-01,0.0,0.0,0.0,84.363,1266.0,1266.0
2023-04-01,0.0,0.0,0.0,87.967,1322.0,1322.0
2023-05-01,0.0,0.0,0.0,36.112,543.0,543.0
2023-06-01,0.0,0.0,0.0,131.373,1971.0,1971.0
2023-07-01,0.0,0.0,0.0,210.217,3158.0,3158.0
2023-08-01,0.0,0.0,0.0,66.178,991.0,991.0
2023-09-01,0.0,0.0,0.0,115.44,1736.0,1736.0
2023-10-01,0.0,0.0,0.0,113.179,1702.0,1702.0
2023-11-01,0.0,0.0,0.0,69.05,1036.0,1036.0
2023-12-01,0.0,0.0,0.0,87.881,1322.0,1322.0
2024-01-01,0.0,0.0,0.0,154.321,2285.0,2285.0
2024-02-01,0.0,0.0,0.0,63.603,941.0,941.0
2024-03-01,0.0,0.0,0.0,52.298,773.0,773.0
2024-04-01,0.0,0.0,0.0,33.805,498.0,498.0
2024-05-01,0.0,0.0,0.0,47.209,700.0,700.0
2024-06-01,0.0,0.0,0.0,33.889,504.0,504.0
2024-07-01,0.0,0.0,0.0,31.148,459.0,459.0
2024-08-01,0.0,0.0,0.0,33.357,493.0,493.0
2024-09-01,0.0,0.0,0.0,37.727,560.0,560.0
2024-10-01,0.0,0.0,0.0,55.926,829.0,829.0
2024-11-01,0.0,0.0,0.0,30.679,454.0,454.0
2024-12-01,0.0,0.0,0.0,102.038,1512.0,1512.0
