measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2020-06-01,0.0,0.0,0.0,3120.26,37330.0,47279.0,217.953,2809.0,2876.0
2020-07-01,0.0,0.0,0.0,3973.665,47540.0,60210.0,277.564,3578.0,3662.0
2020-08-01,0.0,0.0,0.0,3656.388,43744.0,55402.0,255.402,3292.0,3370.0
2020-09-01,0.0,0.0,0.0,2800.503,33504.0,42434.0,195.618,2521.0,2581.0
2020-10-01,0.0,0.0,0.0,2600.795,31115.0,39408.0,181.668,2342.0,2397.0
2020-11-01,0.0,0.0,0.0,2776.222,33214.0,42066.0,193.922,2500.0,2559.0
2020-12-01,1.914,23.0,29.0,3698.332,44246.0,56038.0,258.332,3330.0,3409.0
2021-01-01,0.0,0.0,0.0,3804.03,45253.0,48724.0,261.088,3325.0,4754.0
2021-02-01,0.0,0.0,0.0,2838.742,33770.0,36360.0,194.835,2481.0,3549.0
2021-03-01,0.0,0.0,0.0,2887.088,34345.0,36979.0,198.153,2523.0,3609.0
2021-04-01,0.0,0.0,0.0,2085.771,24813.0,26716.0,143.156,1823.0,2608.0
2021-05-01,0.0,0.0,0.0,2698.727,32104.0,34566.0,185.225,2359.0,3373.0
2021-06-01,0.0,0.0,0.0,3409.24,40557.0,43667.0,233.991,2980.0,4261.0
2021-07-01,0.0,0.0,0.0,4606.372,54798.0,59001.0,316.155,4026.0,5757.0
2021-08-01,0.0,0.0,0.0,4537.852,53983.0,58123.0,311.452,3966.0,5672.0
2021-09-01,0.0,0.0,0.0,3656.56,43499.0,46835.0,250.966,3196.0,4570.0
2021-10-01,0.0,0.0,0.0,3607.047,42910.0,46201.0,247.567,3153.0,4509.0
2021-11-01,0.0,0.0,0.0,4452.529,52968.0,57030.0,305.596,3892.0,5566.0
2021-12-01,2.295,27.0,29.0,4251.747,50579.0,54458.0,291.816,3716.0,5315.0
2022-01-01,75.473,902.0,1006.0,3653.255,43663.0,48517.0,188.436,2488.0,9645.0
2022-02-01,8.903,106.0,118.0,3494.849,41769.0,46413.0,180.264,2380.0,9227.0
2022-03-01,31.863,381.0,420.0,3127.708,37381.0,41537.0,161.327,2130.0,8258.0
2022-04-01,29.166,349.0,385.0,2006.297,23979.0,26644.0,103.485,1366.0,5297.0
2022-05-01,40.961,490.0,545.0,2564.259,30647.0,34054.0,132.264,1746.0,6770.0
2022-06-01,26.992,323.0,361.0,3639.665,43500.0,48336.0,187.734,2478.0,9609.0
2022-07-01,26.122,312.0,349.0,4320.078,51632.0,57372.0,222.829,2942.0,11406.0
2022-08-01,8.578,103.0,112.0,4253.242,50833.0,56484.0,219.382,2896.0,11229.0
2022-09-01,10.857,130.0,142.0,3321.431,39697.0,44110.0,171.319,2262.0,8769.0
2022-10-01,23.157,277.0,308.0,3083.916,36858.0,40956.0,159.068,2100.0,8142.0
2022-11-01,30.285,362.0,403.0,3481.729,41613.0,46239.0,179.587,2371.0,9193.0
2022-12-01,291.664,3486.0,3872.0,3941.55,47108.0,52345.0,203.305,2684.0,10406.0
2023-01-01,44.897,536.0,616.0,4017.836,48002.0,54998.0,201.965,2692.0,4937.0
2023-02-01,35.528,424.0,485.0,3488.76,41681.0,47756.0,175.37,2337.0,4286.0
2023-03-01,56.762,678.0,776.0,3247.959,38804.0,44460.0,163.265,2176.0,3990.0
2023-04-01,59.42,710.0,811.0,2708.934,32364.0,37081.0,136.17,1815.0,3328.0
2023-05-01,13.834,165.0,189.0,2978.875,35589.0,40777.0,149.739,1996.0,3660.0
2023-06-01,40.298,481.0,551.0,3279.173,39177.0,44887.0,164.834,2197.0,4028.0
2023-07-01,52.618,629.0,722.0,4200.912,50189.0,57505.0,211.167,2814.0,5161.0
2023-08-01,37.444,447.0,515.0,4244.211,50707.0,58097.0,213.344,2843.0,5214.0
2023-09-01,28.744,343.0,391.0,3629.833,43366.0,49687.0,182.461,2432.0,4460.0
2023-10-01,30.319,362.0,414.0,2781.536,33232.0,38075.0,139.82,1863.0,3418.0
2023-11-01,56.55,676.0,776.0,3237.402,38678.0,44316.0,162.734,2169.0,3978.0
2023-12-01,40.071,479.0,551.0,3285.084,39248.0,44968.0,165.131,2201.0,4036.0
2024-01-01,320.567,3834.0,4524.0,2190.668,26202.0,30959.0,123.541,1495.0,11783.0
2024-02-01,40.24,481.0,569.0,2143.093,25633.0,30286.0,120.859,1463.0,11527.0
2024-03-01,40.53,485.0,574.0,1580.967,18910.0,22342.0,89.158,1079.0,8504.0
2024-04-01,56.381,674.0,799.0,1640.311,19619.0,23181.0,92.505,1120.0,8823.0
2024-05-01,46.297,554.0,651.0,1922.666,22997.0,27171.0,108.428,1312.0,10342.0
2024-06-01,28.993,347.0,409.0,2573.584,30782.0,36370.0,145.136,1757.0,13843.0
2024-07-01,28.804,345.0,409.0,2945.575,35232.0,41627.0,166.114,2011.0,15844.0
2024-08-01,32.285,386.0,456.0,2963.202,35442.0,41876.0,167.108,2023.0,15939.0
2024-09-01,27.228,326.0,385.0,2578.717,30844.0,36443.0,145.426,1760.0,13870.0
2024-10-01,32.904,394.0,468.0,2250.878,26922.0,31809.0,126.937,1537.0,12108.0
2024-11-01,55.765,667.0,788.0,2068.12,24736.0,29227.0,116.631,1412.0,11125.0
2024-12-01,33.4,399.0,474.0,2449.825,29302.0,34621.0,138.157,1672.0,13178.0
