measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,25719.0,479957.0,479957.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,26110.0,472010.0,472010.0
2012-05-01,0.0,0.0,0.0,35.78,696.0,696.0,,,,7711.22,150002.0,150002.0
2012-06-01,0.0,0.0,0.0,20.765,348.0,348.0,,,,28213.235,472835.0,472835.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,28590.0,501659.0,501659.0
2012-08-01,0.0,0.0,0.0,14.59,249.0,249.0,,,,23392.41,399869.0,399869.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,26071.0,426666.0,426666.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,21440.0,321469.0,321469.0
2012-11-01,0.0,0.0,0.0,20.027,307.0,307.0,,,,18378.973,282098.0,282098.0
2012-12-01,0.0,0.0,0.0,8.344,139.0,139.0,,,,25812.656,430609.0,430609.0
2013-01-01,0.0,0.0,0.0,114.36,1482.0,1482.0,,,,20851.64,270182.0,270182.0
2013-02-01,0.0,0.0,0.0,0.942,12.0,12.0,,,,27463.058,361318.0,361318.0
2013-03-01,0.0,0.0,0.0,20.766,273.0,273.0,,,,29811.234,391629.0,391629.0
2013-04-01,0.0,0.0,0.0,8.336,118.0,118.0,,,,24163.664,341478.0,341478.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,27872.0,399642.0,399642.0
2013-06-01,0.0,0.0,0.0,8.893,143.0,143.0,,,,26469.107,424448.0,424448.0
2013-07-01,0.0,0.0,0.0,19.067,322.0,322.0,,,,23282.933,393677.0,393677.0
2013-08-01,0.0,0.0,0.0,11.41,180.0,180.0,,,,28259.59,445312.0,445312.0
2013-09-01,0.0,0.0,0.0,35.714,521.0,521.0,,,,12801.286,186675.0,186675.0
2013-10-01,0.0,0.0,0.0,75.109,1066.0,1066.0,,,,27275.891,387264.0,387264.0
2013-11-01,0.0,0.0,0.0,24.93,353.0,353.0,,,,23746.07,336614.0,336614.0
2013-12-01,0.0,0.0,0.0,41.552,589.0,589.0,,,,23698.448,335923.0,335923.0
2014-01-01,0.0,0.0,0.0,28.241,391.0,391.0,,,,24411.759,337638.0,337638.0
2014-02-01,0.0,0.0,0.0,17.519,217.0,217.0,,,,25191.481,312035.0,312035.0
2014-03-01,0.0,0.0,0.0,29.559,409.0,409.0,,,,25004.441,346145.0,346145.0
2014-04-01,0.0,0.0,0.0,96.94,1383.0,1383.0,,,,17732.06,252902.0,252902.0
2014-05-01,0.0,0.0,0.0,59.246,1011.0,1011.0,,,,23970.754,408883.0,408883.0
2014-06-01,0.0,0.0,0.0,49.758,763.0,763.0,,,,20128.242,308490.0,308490.0
2014-07-01,0.0,0.0,0.0,30.407,521.0,521.0,,,,22008.593,376951.0,376951.0
2014-08-01,0.0,0.0,0.0,27.707,477.0,477.0,,,,21223.293,365686.0,365686.0
2014-09-01,0.0,0.0,0.0,34.724,570.0,570.0,,,,23878.276,392246.0,392246.0
2014-10-01,0.0,0.0,0.0,18.618,298.0,298.0,,,,11484.382,183569.0,183569.0
2014-11-01,0.0,0.0,0.0,47.91,676.0,676.0,,,,23306.09,328745.0,328745.0
2014-12-01,0.0,0.0,0.0,1.309,19.0,19.0,,,,25109.691,356890.0,356890.0
2015-01-01,0.0,0.0,0.0,59.513,800.0,800.0,,,,19929.487,267834.0,267834.0
2015-02-01,0.0,0.0,0.0,14.977,223.0,223.0,,,,24128.023,359576.0,359576.0
2015-03-01,0.0,0.0,0.0,16.044,229.0,229.0,,,,23382.956,334335.0,334335.0
2015-04-01,0.0,0.0,0.0,17.991,267.0,267.0,,,,25898.009,383764.0,383764.0
2015-05-01,0.0,0.0,0.0,21.492,291.0,291.0,,,,20471.508,277562.0,277562.0
2015-06-01,0.0,0.0,0.0,55.6,744.0,744.0,,,,13150.4,175970.0,175970.0
2015-07-01,0.0,0.0,0.0,8.707,130.0,130.0,,,,14132.293,211339.0,211339.0
2015-08-01,0.0,0.0,0.0,0.768,12.0,12.0,,,,12902.232,208229.0,208229.0
2015-09-01,0.0,0.0,0.0,2.168,37.0,37.0,,,,11824.832,202917.0,202917.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1596.0,27407.0,27407.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
