measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Other Gases-Combustion (Gas) Turbine (including jet engine design) Generation,Other Gases-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Other Gases-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Waste Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Waste Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Waste Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2009-02-01,26774.955,118672.0,358119.0,1848.038,0.0,0.0,10748.439,47639.0,143762.0,,,,,,,,,,,,,,,
2009-03-01,28756.949,127456.0,384628.0,1984.8380000000002,0.0,0.0,12864.698,57019.0,172067.0,,,,,,,,,,,,,,,
2009-04-01,27830.753,123351.0,372241.0,1920.911,0.0,0.0,16072.476999999999,71236.0,214972.0,,,,,,,,,,,,,,,
2009-05-01,32607.084,144521.0,436125.0,2250.579,0.0,0.0,13908.622,61646.0,186030.0,,,,,,,,,,,,,,,
2009-06-01,39740.209,176136.0,531532.0,2742.915,0.0,0.0,11936.332,52904.0,159650.0,,,,,,,,,,,,,,,
2009-07-01,43868.585,194434.0,586749.0,3027.8610000000003,0.0,0.0,10970.529,48623.0,146732.0,,,,,,,,,,,,,,,
2009-08-01,43599.25,193240.0,583147.0,3009.271,0.0,0.0,15314.528,67877.0,204834.0,,,,,,,,,,,,,,,
2009-09-01,38303.529,169769.0,512315.0,2643.754,0.0,0.0,14536.812,64430.0,194432.0,,,,,,,,,,,,,,,
2009-10-01,34162.456,151415.0,456928.0,2357.9320000000002,0.0,0.0,13986.487000000001,61991.0,187071.0,,,,,,,,,,,,,,,
2009-11-01,29618.184,131273.0,396147.0,2044.2810000000002,0.0,0.0,13123.147,58164.0,175524.0,,,,,,,,,,,,,,,
2009-12-01,33689.856,149320.0,450607.0,2325.313,0.0,0.0,15773.777,69912.0,210977.0,,,,,,,,,,,,,,,
2010-01-01,28117.82,124624.0,384282.0,2425.1020000000003,0.0,0.0,13550.861,60060.0,185198.0,,,,,,,,,,,,,,,
2010-02-01,21078.18,93423.0,288072.0,1817.948,0.0,0.0,12342.072,54702.0,168677.0,,,,,,,,,,,,,,,
2010-03-01,22696.779,100596.0,310194.0,1957.548,0.0,0.0,18308.241,81146.0,250216.0,,,,,,,,,,,,,,,
2010-04-01,25061.25,111076.0,342508.0,2161.4790000000003,0.0,0.0,15626.243,69258.0,213561.0,,,,,,,,,,,,,,,
2010-05-01,30704.493,136088.0,419634.0,2648.196,0.0,0.0,15466.221000000001,68549.0,211374.0,,,,,,,,,,,,,,,
2010-06-01,35571.892,157661.0,486155.0,3067.9990000000003,0.0,0.0,15128.905,67054.0,206764.0,,,,,,,,,,,,,,,
2010-07-01,39029.728,172987.0,533413.0,3366.23,0.0,0.0,15391.005000000001,68216.0,210347.0,,,,,,,,,,,,,,,
2010-08-01,44285.413,196281.0,605242.0,3819.521,0.0,0.0,18914.511,83833.0,258502.0,,,,,,,,,,,,,,,
2010-09-01,34893.51,154655.0,476884.0,3009.4900000000002,0.0,0.0,16275.841,72138.0,222439.0,,,,,,,,,,,,,,,
2010-10-01,26382.849000000002,116934.0,360570.0,2275.464,0.0,0.0,16572.752,73454.0,226497.0,,,,,,,,,,,,,,,
2010-11-01,22292.222,98803.0,304664.0,1922.6560000000002,0.0,0.0,17011.419,75398.0,232492.0,,,,,,,,,,,,,,,
2010-12-01,28811.7,127699.0,393765.0,2484.947,0.0,0.0,17770.393,78762.0,242865.0,,,,,,,,,,,,,,,
2011-01-01,27561.712,122159.0,371672.0,2563.006,0.0,0.0,19337.667,85708.0,260770.0,,,,,,,,,,,,,,,
2011-02-01,26613.193,117955.0,358881.0,2474.802,0.0,0.0,16608.775,73613.0,223971.0,,,,,,,,,,,,,,,
2011-03-01,24576.347,108927.0,331415.0,2285.393,0.0,0.0,19156.745,84906.0,258331.0,,,,,,,,,,,,,,,
2011-04-01,29923.886,132628.0,403526.0,2782.669,0.0,0.0,19285.497,85477.0,260067.0,,,,,,,,,,,,,,,
2011-05-01,30942.633,137144.0,417265.0,2877.403,0.0,0.0,8712.798,38617.0,117493.0,,,,,,,,,,,,,,,
2011-06-01,31058.255,137656.0,418824.0,2888.155,0.0,0.0,16765.379,74307.0,226083.0,,,,,,,,,,,,,,,
2011-07-01,34012.967,150752.0,458668.0,3162.919,0.0,0.0,23318.871,103354.0,314457.0,,,,,,,,,,,,,,,
2011-08-01,36612.74,162275.0,493726.0,3404.676,0.0,0.0,17331.769,76818.0,233721.0,,,,,,,,,,,,,,,
2011-09-01,26562.868,117732.0,358203.0,2470.122,0.0,0.0,12782.054,56653.0,172367.0,,,,,,,,,,,,,,,
2011-10-01,24232.241,107402.0,326774.0,2253.394,0.0,0.0,13691.688,60684.0,184634.0,,,,,,,,,,,,,,,
2011-11-01,24973.246,110686.0,336767.0,2322.301,0.0,0.0,13354.511,59190.0,180087.0,,,,,,,,,,,,,,,
2011-12-01,24619.979,109120.0,332003.0,2289.45,0.0,0.0,14325.039,63491.0,193175.0,,,,,,,,,,,,,,,
2012-01-01,22574.698,100055.0,302357.0,1515.745,0.0,0.0,11558.791,51231.0,154813.0,,,,,,,,,,,,,,,
2012-02-01,22285.696,98774.0,298485.0,1496.34,0.0,0.0,15312.315,67867.0,205087.0,,,,,,,,,,,,,,,
2012-03-01,25774.392,114237.0,345211.0,1730.583,0.0,0.0,12352.315,54748.0,165442.0,,,,,,,,,,,,,,,
2012-04-01,27452.289,121674.0,367684.0,1843.243,0.0,0.0,16842.291,74648.0,225578.0,,,,,,,,,,,,,,,
2012-05-01,33885.428,150187.0,453847.0,2275.187,0.0,0.0,11101.523,49204.0,148689.0,,,,,,,,,,,,,,,
2012-06-01,35617.067,157862.0,477040.0,2391.455,0.0,0.0,9205.657,40801.0,123297.0,,,,,,,,,,,,,,,
2012-07-01,36571.874,162094.0,489828.0,2455.564,0.0,0.0,12451.857,55189.0,166775.0,,,,,,,,,,,,,,,
2012-08-01,35369.769,156766.0,473727.0,2374.851,0.0,0.0,11461.086,50798.0,153505.0,,,,,,,,,,,,,,,
2012-09-01,30710.443,136115.0,411322.0,2062.007,0.0,0.0,13773.661,61047.0,184478.0,,,,,,,,,,,,,,,
2012-10-01,27286.654,120940.0,365465.0,1832.122,0.0,0.0,18432.309,81696.0,246875.0,,,,,,,,,,,,,,,
2012-11-01,22058.747,97769.0,295445.0,1481.102,0.0,0.0,17257.0,76486.0,231133.0,,,,,,,,,,,,,,,
2012-12-01,27320.744,121091.0,365922.0,1834.411,0.0,0.0,21936.854,97228.0,293813.0,,,,,,,,,,,,,,,
2013-01-01,32339.325,143334.0,418817.0,2078.962,0.0,0.0,18895.406,83748.0,244709.0,,,,0.0,0.0,0.0,,,,,,,,,
2013-02-01,25213.405,111751.0,326532.0,1620.868,0.0,0.0,15800.602,70031.0,204629.0,,,,0.0,0.0,0.0,,,,,,,,,
2013-03-01,28149.676,124765.0,364558.0,1809.629,0.0,0.0,18874.925,83657.0,244444.0,,,,0.0,0.0,0.0,,,,,,,,,
2013-04-01,31107.733,137875.0,402868.0,1999.79,0.0,0.0,15922.561,70572.0,206209.0,,,,0.0,0.0,0.0,,,,,,,,,
2013-05-01,30141.154,133591.0,390349.0,1937.653,0.0,0.0,22458.912,99542.0,290859.0,,,,0.0,0.0,0.0,,,,,,,,,
2013-06-01,36654.314,162459.0,474700.0,2356.357,0.0,0.0,19978.609,88549.0,258737.0,,,,0.0,0.0,0.0,,,,,,,,,
2013-07-01,39782.733,176325.0,515215.0,2557.471,0.0,0.0,17158.683,76051.0,222218.0,,,,0.0,0.0,0.0,,,,,,,,,
2013-08-01,39950.161,177067.0,517383.0,2568.234,0.0,0.0,19554.705,86670.0,253248.0,,,,0.0,0.0,0.0,,,,,,,,,
2013-09-01,33964.655,150538.0,439867.0,2183.45,0.0,0.0,16646.043,73778.0,215578.0,,,,0.0,0.0,0.0,,,,,,,,,
2013-10-01,30204.432,133872.0,391169.0,1941.721,0.0,0.0,17884.812,79269.0,231621.0,,,,0.0,0.0,0.0,,,,,,,,,
2013-11-01,32146.023,142477.0,416315.0,2066.538,0.0,0.0,18537.438,82161.0,240073.0,,,,0.0,0.0,0.0,,,,,,,,,
2013-12-01,36322.666,160989.0,470405.0,2335.037,0.0,0.0,17701.047,78454.0,229241.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2014-01-01,34148.202,151351.0,433562.0,3072.336,0.0,0.0,18060.854,80049.0,229309.0,,,,0.0,0.0,0.0,,,,,,,,,
2014-02-01,28213.433,125047.0,358210.0,2538.381,0.0,0.0,15390.779,68215.0,195408.0,,,,0.0,0.0,0.0,,,,,,,,,
2014-03-01,26361.233,116838.0,334694.0,2371.738,0.0,0.0,18407.369,81585.0,233708.0,,,,0.0,0.0,0.0,,,,,,,,,
2014-04-01,29458.058,130564.0,374013.0,2650.361,0.0,0.0,11783.246,52226.0,149606.0,,,,0.0,0.0,0.0,,,,,,,,,
2014-05-01,34904.262,154702.0,443161.0,3140.36,0.0,0.0,14319.677,63468.0,181809.0,,,,0.0,0.0,0.0,,,,,,,,,
2014-06-01,33924.69,150361.0,430723.0,3052.227,0.0,0.0,21561.847,95566.0,273759.0,,,,0.0,0.0,0.0,,,,,,,,,
2014-07-01,35087.236,155513.0,445483.0,3156.822,0.0,0.0,22755.569,100857.0,288915.0,,,,0.0,0.0,0.0,,,,,,,,,
2014-08-01,39300.676,174188.0,498979.0,3535.908,0.0,0.0,20133.292,89235.0,255621.0,,,,0.0,0.0,0.0,,,,,,,,,
2014-09-01,31938.25,141556.0,405503.0,2873.506,0.0,0.0,22763.815,100894.0,289020.0,,,,0.0,0.0,0.0,,,,,,,,,
2014-10-01,31450.344,139394.0,399308.0,2829.609,0.0,0.0,23549.201,104375.0,298992.0,,,,0.0,0.0,0.0,,,,,,,,,
2014-11-01,30587.195,135568.0,388349.0,2751.951,0.0,0.0,19280.116,85453.0,244789.0,,,,0.0,0.0,0.0,,,,,,,,,
2014-12-01,29788.046,132026.0,378203.0,2680.051,0.0,0.0,20627.19,91424.0,261892.0,,,,0.0,0.0,0.0,,,,,,,,,
2015-01-01,28801.126,127652.0,369793.0,,,,18222.17,80764.0,233964.0,,,,,,,,,,,,,3280.119,30567.0,30567.0
2015-02-01,26957.824,119482.0,346124.0,,,,18198.988,80661.0,233666.0,,,,,,,,,,,,,3066.107,28573.0,28573.0
2015-03-01,26281.431,116484.0,337440.0,,,,20457.612,90672.0,262665.0,,,,,,,,,,,,,2402.301,22387.0,22387.0
2015-04-01,27292.381,120965.0,350420.0,,,,16391.93,72652.0,210464.0,,,,,,,,,,,,,2432.893,22672.0,22672.0
2015-05-01,30400.594,134741.0,390328.0,,,,16695.271,73997.0,214359.0,,,,,,,,,,,,,2722.096,25367.0,25367.0
2015-06-01,35882.3,159037.0,460711.0,,,,16954.585,75146.0,217688.0,,,,,,,,,,,,,2747.08,25600.0,25600.0
2015-07-01,38886.227,172351.0,499279.0,,,,19660.321,87138.0,252429.0,,,,,,,,,,,,,3796.281,35378.0,35378.0
2015-08-01,36087.491,159947.0,463346.0,,,,17134.21,75942.0,219995.0,,,,,,,,,,,,,3400.575,31690.0,31690.0
2015-09-01,30058.713,133226.0,385939.0,,,,17697.627,78439.0,227229.0,,,,,,,,,,,,,2456.856,22895.0,22895.0
2015-10-01,33214.596,147213.0,426458.0,,,,15597.498,69131.0,200264.0,,,,,,,,,,,,,2465.134,22973.0,22973.0
2015-11-01,33738.74,149537.0,433188.0,,,,14020.016,62139.0,180010.0,,,,,,,,,,,,,3794.072,35357.0,35357.0
2015-12-01,34993.668,155099.0,449300.0,,,,19202.161,85108.0,246546.0,,,,,,,,,,,,,3594.206,33494.0,33494.0
2016-01-01,37139.341,192993.0,470417.0,1789.055,144.0,144.0,19323.738,100415.0,244760.0,,,,,,,,,,,,,,,
2016-02-01,33645.946,174840.0,426168.0,1620.773,130.0,130.0,15089.219,78411.0,191124.0,,,,,,,,,,,,,,,
2016-03-01,34391.587,178715.0,435612.0,1656.692,132.0,132.0,21553.253,112001.0,272999.0,,,,,,,,,,,,,,,
2016-04-01,32819.67,170546.0,415702.0,1580.97,125.0,125.0,19750.211,102631.0,250161.0,,,,,,,,,,,,,,,
2016-05-01,37261.843,193630.0,471968.0,1794.956,143.0,143.0,11365.551,59061.0,143959.0,,,,,,,,,,,,,,,
2016-06-01,39256.269,203994.0,497230.0,1891.03,151.0,151.0,10604.605,55106.0,134321.0,,,,,,,,,,,,,,,
2016-07-01,40208.824,208944.0,509295.0,1936.916,154.0,154.0,13071.783,67927.0,165570.0,,,,,,,,,,,,,,,
2016-08-01,38825.974,201758.0,491780.0,1870.302,149.0,149.0,13053.152,67830.0,165335.0,,,,,,,,,,,,,,,
2016-09-01,35847.418,186280.0,454053.0,1726.821,138.0,138.0,11150.673,57944.0,141237.0,,,,,,,,,,,,,,,
2016-10-01,30638.045,159210.0,388069.0,1475.878,117.0,117.0,13358.17,69415.0,169198.0,,,,,,,,,,,,,,,
2016-11-01,30043.327,156119.0,380537.0,1447.23,115.0,115.0,12049.114,62613.0,152617.0,,,,,,,,,,,,,,,
2016-12-01,29021.097,150807.0,367589.0,1397.987,111.0,111.0,13897.67,72219.0,176031.0,,,,,,,,,,,,,,,
2017-01-01,31217.59,162221.0,381230.0,1802.294,9462.0,138406.0,15795.174,82079.0,192891.0,,,,,,,,,,,,,,,
2017-02-01,29682.333,154243.0,362483.0,1713.66,8997.0,131597.0,14450.736,75093.0,176473.0,,,,,,,,,,,,,,,
2017-03-01,33426.384,173699.0,408205.0,1929.816,10132.0,148197.0,13014.27,67628.0,158931.0,,,,,,,,,,,,,,,
2017-04-01,35428.508,184103.0,432654.0,2045.406,10738.0,157074.0,15248.396,79238.0,186214.0,,,,,,,,,,,,,,,
2017-05-01,37424.695,194476.0,457032.0,2160.652,11344.0,165923.0,16267.939,84536.0,198665.0,,,,,,,,,,,,,,,
2017-06-01,38493.947,200033.0,470089.0,2222.384,11668.0,170664.0,17724.975,92107.0,216458.0,,,,,,,,,,,,,,,
2017-07-01,41772.166,217068.0,510123.0,2411.646,12661.0,185198.0,15128.908,78617.0,184755.0,,,,,,,,,,,,,,,
