measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2014-05-01,18004.682,103243.0,651573.0,9550.493,54765.0,345624.0,73.812,423.0,2671.0,5570.013,31940.0,201574.0
2014-06-01,17017.516,97582.0,659880.0,9033.085,51798.0,350272.0,0.0,0.0,0.0,5125.399,29390.0,198745.0
2014-07-01,20216.595,115926.0,742880.0,8688.804,49823.0,319279.0,0.0,0.0,0.0,4906.601,28136.0,180298.0
2014-08-01,16780.267,96222.0,631133.0,10665.217,61157.0,401136.0,0.0,0.0,0.0,4600.516,26380.0,173033.0
2014-09-01,23220.17,133149.0,843019.0,9341.83,53568.0,339159.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,14964.866,85812.0,602258.0,10007.759,57387.0,402760.0,0.0,0.0,0.0,3487.375,19997.0,140349.0
2014-11-01,17445.326,100035.0,700756.0,8725.24,50032.0,350482.0,0.0,0.0,0.0,4063.434,23301.0,163223.0
2014-12-01,18829.464,107972.0,714004.0,9271.755,53166.0,351580.0,0.0,0.0,0.0,5100.781,29249.0,193419.0
2015-01-01,19957.107,114438.0,737732.0,9064.452,51978.0,335075.0,0.0,0.0,0.0,5170.441,29648.0,191130.0
2015-02-01,16703.013,95779.0,613595.0,10773.001,61775.0,395752.0,0.0,0.0,0.0,3065.986,17581.0,112631.0
2015-03-01,18498.853,106076.0,678670.0,10250.831,58780.0,376074.0,0.0,0.0,0.0,5910.316,33891.0,216833.0
2015-04-01,9468.161,56537.0,391763.0,7119.464,42512.0,294581.0,0.0,0.0,0.0,4918.293,29368.0,203504.0
2015-05-01,14288.384,81933.0,613176.0,7157.2,41041.0,307146.0,0.0,0.0,0.0,5045.416,28932.0,216520.0
2015-06-01,15814.025,90681.0,546882.0,11027.965,63237.0,381370.0,0.0,0.0,0.0,5491.01,31487.0,189891.0
2015-07-01,19707.792,113009.0,704539.0,8824.514,50602.0,315470.0,0.0,0.0,0.0,5713.694,32764.0,204260.0
2015-08-01,18829.928,107975.0,674238.0,9525.165,54619.0,341065.0,0.0,0.0,0.0,5092.907,29204.0,182360.0
2015-09-01,18683.877,107137.0,676338.0,9067.697,51996.0,328242.0,0.0,0.0,0.0,5584.426,32022.0,202151.0
2015-10-01,17411.342,99840.0,638824.0,10742.859,61602.0,394156.0,0.0,0.0,0.0,5052.799,28974.0,185388.0
2015-11-01,17717.943,105799.0,651143.0,8501.334,50764.0,312428.0,0.0,0.0,0.0,5714.539,34123.0,210012.0
2015-12-01,15848.321,90878.0,629010.0,8814.849,50546.0,349856.0,0.0,0.0,0.0,5123.83,29381.0,203362.0
2016-01-01,18016.054,90398.0,644206.0,10597.732,53176.0,378947.0,0.0,0.0,0.0,5200.214,26093.0,185946.0
2016-02-01,17300.276,86807.0,609731.0,10757.224,53976.0,379128.0,0.0,0.0,0.0,4755.5,23861.0,167603.0
2016-03-01,18886.355,94765.0,647814.0,12138.888,60909.0,416371.0,0.0,0.0,0.0,2485.757,12473.0,85263.0
2016-04-01,19926.483,99984.0,690258.0,10198.864,51174.0,353291.0,0.0,0.0,0.0,3543.653,17781.0,122753.0
2016-05-01,15908.128,79821.0,643788.0,9154.185,45932.0,370462.0,0.0,0.0,0.0,3861.687,19377.0,156279.0
2016-06-01,9264.006,46484.0,393611.0,6660.093,33418.0,282976.0,0.0,0.0,0.0,2666.901,13382.0,113312.0
2016-07-01,12916.404,64810.0,543715.0,9773.841,49042.0,411429.0,0.0,0.0,0.0,2347.755,11780.0,98829.0
2016-08-01,15192.128,76229.0,607991.0,8247.614,41384.0,330071.0,0.0,0.0,0.0,2755.258,13825.0,110266.0
2016-09-01,15126.229,75898.0,551731.0,9806.744,49207.0,357702.0,0.0,0.0,0.0,2281.027,11445.0,83201.0
2016-10-01,15545.187,78000.0,615206.0,7654.539,38408.0,302931.0,0.0,0.0,0.0,3161.274,15862.0,125109.0
2016-11-01,16634.438,83466.0,554782.0,10398.003,52174.0,346788.0,0.0,0.0,0.0,3979.559,19968.0,132724.0
2016-12-01,20138.452,101048.0,658752.0,9227.364,46300.0,301838.0,0.0,0.0,0.0,5518.184,27688.0,180506.0
2017-01-01,16992.997,92343.0,635014.0,10732.343,58321.0,327564.0,0.0,0.0,0.0,,,
2017-02-01,12765.726,70042.0,496861.0,9493.314,52087.0,298032.0,0.0,0.0,0.0,,,
2017-03-01,17250.289,94017.0,670417.0,9471.109,51619.0,303447.0,0.0,0.0,0.0,,,
2017-04-01,18193.775,98784.0,628852.0,9081.461,49308.0,260242.0,0.0,0.0,0.0,,,
2017-05-01,15921.787,87186.0,601161.0,9500.288,52023.0,294124.0,0.0,0.0,0.0,,,
2017-06-01,16395.961,89447.0,630854.0,9377.757,51160.0,296686.0,0.0,0.0,0.0,,,
2017-07-01,16405.114,89750.0,665958.0,9358.055,51197.0,312417.0,0.0,0.0,0.0,,,
2017-08-01,15764.779,86139.0,629579.0,10402.78,56841.0,338238.0,0.0,0.0,0.0,,,
2017-09-01,13433.932,73328.0,540953.0,8031.273,43838.0,265142.0,0.0,0.0,0.0,,,
2017-10-01,9250.504,52645.0,317263.0,8029.263,45695.0,356875.0,0.0,0.0,0.0,,,
2017-11-01,17142.646,93346.0,659486.0,9006.452,49043.0,286405.0,0.0,0.0,0.0,,,
2017-12-01,15869.153,86261.0,618565.0,11697.068,63583.0,368027.0,0.0,0.0,0.0,,,
2018-01-01,17290.53,94481.0,675805.0,9136.813,49926.0,357115.0,0.0,0.0,0.0,2970.657,16233.0,116109.0
2018-02-01,13857.394,76837.0,642503.0,5450.951,30225.0,252735.0,0.0,0.0,0.0,3200.655,17747.0,148400.0
2018-03-01,17408.035,95241.0,685076.0,7018.675,38400.0,276213.0,0.0,0.0,0.0,4489.29,24561.0,176672.0
2018-04-01,14758.901,82057.0,663478.0,5389.768,29966.0,242294.0,0.0,0.0,0.0,3331.331,18522.0,149758.0
2018-05-01,10557.888,61548.0,686250.0,3557.748,20740.0,231249.0,0.0,0.0,0.0,2161.364,12600.0,140486.0
2018-06-01,8653.766,51300.0,560599.0,4867.461,28855.0,315318.0,0.0,0.0,0.0,637.773,3781.0,41316.0
2018-07-01,18423.128,100882.0,707004.0,8372.215,45845.0,321291.0,0.0,0.0,0.0,2258.657,12368.0,86678.0
2018-08-01,19192.664,104658.0,719919.0,7010.303,38227.0,262957.0,0.0,0.0,0.0,4327.033,23595.0,162308.0
2018-09-01,18402.311,100556.0,701611.0,6042.13,33016.0,230364.0,0.0,0.0,0.0,4347.559,23756.0,165756.0
2018-10-01,10392.117,58406.0,403688.0,7160.393,40243.0,278150.0,0.0,0.0,0.0,4404.49,24754.0,171095.0
2018-11-01,11724.398,65571.0,523933.0,6855.654,38342.0,306362.0,0.0,0.0,0.0,3538.948,19792.0,158147.0
2018-12-01,15910.809,87221.0,592385.0,9691.487,53128.0,360829.0,0.0,0.0,0.0,2618.704,14355.0,97499.0
2019-01-01,16436.074,89480.0,574908.0,11693.865,63663.0,409033.0,0.0,0.0,0.0,2648.061,14416.0,92625.0
2019-02-01,11646.779,64400.0,427127.0,11489.382,63530.0,421354.0,0.0,0.0,0.0,59.839,331.0,2195.0
2019-03-01,12782.944,71809.0,528176.0,9105.056,51148.0,376210.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,11672.135,65316.0,460456.0,10350.865,57922.0,408333.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,13166.804,73687.0,522722.0,9678.196,54163.0,384224.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,13540.951,75226.0,515899.0,10315.049,57305.0,392995.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,17814.238,97733.0,649925.0,10454.762,57357.0,381426.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,14500.844,80800.0,580704.0,9401.156,52384.0,376481.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,10826.907,61077.0,417787.0,9677.093,54590.0,373418.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,16304.925,90006.0,613879.0,9995.075,55175.0,376314.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,11695.985,65220.0,457575.0,11020.015,61451.0,431129.0,0.0,0.0,0.0,0.0,0.0,0.0
