measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2004-08-01,,,,3623.212,19148.43,105123.2,3514.28,16312.96,50447.34,,,
2004-09-01,,,,4626.725,24451.93,91167.7,3292.8,15284.87,55925.91,,,
2004-10-01,,,,2053.121,10850.61,58267.3,2154.04,9998.85,133789.79,,,
2004-11-01,,,,2474.693,13078.59,74223.5,1788.5,8302.05,54892.82,,,
2004-12-01,,,,6443.613,34054.06,75927.8,3012.52,13983.84,77301.5,,,
2005-01-01,,,,3416.7470000000003,18057.28,100504.3,1932.56,8970.76,56299.8,,,
2005-02-01,,,,3624.172,19153.51,83472.0,3490.76,16203.78,58710.0,,,
2005-03-01,,,,3530.063,18656.15,95160.0,4048.38,18792.2,89610.47,,,
2005-04-01,,,,2045.439,10810.01,72336.0,3258.5,15125.65,89523.38,,,
2005-05-01,,,,3968.92,20975.48,85368.0,2988.02,13870.11,44394.21,,,
2005-06-01,,,,5071.344,26801.71,125376.0,2556.82,11868.52,38969.39,,,
2005-07-01,,,,4966.6720000000005,26248.53,130080.0,6600.3,30637.98,31274.36,,,
2005-08-01,,,,3046.072,16098.28,130080.0,3229.1,14989.18,61006.0,,,
2005-09-01,,,,2884.741,15245.66,67944.0,3050.74,14161.25,43871.59,,,
2005-10-01,,,,2259.5860000000002,11941.76,38448.0,1958.04,9089.04,27663.64,,,
2005-12-01,,,,2130.906,11261.69,65088.0,0.0,0.0,69941.4,,,
2006-01-01,,,,3100.809,16387.57,93000.0,0.0,0.0,9180.33,,,
2006-02-01,,,,2439.1620000000003,12890.81,91128.0,0.0,0.0,21528.76,,,
2006-03-01,,,,1430.847,7561.93,75840.0,2718.52,12619.12,52454.81,,,
2006-04-01,,,,2946.2,15570.47,91464.0,406.7,1887.86,7024.88,,,
2006-05-01,,,,3530.063,18656.15,98640.0,125.44,582.28,2688.94,,,
2006-06-01,,,,2893.384,15291.34,68808.0,6234.76,28941.17,88863.18,,,
2006-07-01,,,,2608.175,13784.03,70896.0,6306.3,29273.26,91016.74,,,
2006-08-01,,,,3468.6040000000003,18331.34,81096.0,6000.54,27853.95,87264.86,,,
2006-09-01,,,,2620.659,13850.01,71184.0,4985.26,23141.11,77614.71,,,
2006-10-01,,,,3409.065,18016.68,88560.0,2695.0,12509.94,44690.13,,,
2006-11-01,,,,2508.304,13256.22,69600.0,2422.56,11245.3,73005.33,,,
2006-12-01,,,,2644.666,13976.88,88200.0,2773.4,12873.86,62532.23,,,
2007-01-01,,,,2916.431,15408.0,94536.0,2765.56,12837.0,68705.0,,,
2007-02-01,,,,2772.386,14640.0,83448.0,1169.14,5427.0,62335.0,,,
2007-03-01,,,,1185.971,6264.0,70056.0,2647.96,12292.0,72213.0,,,
2007-04-01,,,,5614.874000000001,29664.0,91920.0,2935.1,13625.0,60914.0,,,
2007-05-01,,,,9679.824,51168.0,93792.0,3157.56,14657.0,50822.0,,,
2007-06-01,,,,2357.5370000000003,12456.0,61128.0,4151.28,19270.0,95840.0,,,
2007-07-01,,,,4616.162,24408.0,88200.0,3202.64,14867.0,48094.0,,,
2007-08-01,,,,4253.169,22488.0,139656.0,4073.86,18910.0,62170.0,,,
2007-09-01,,,,3327.44,17592.0,86640.0,3700.48,17177.0,60745.0,,,
2007-10-01,,,,3219.886,17016.0,88200.0,3068.38,14243.0,54836.0,,,
2007-11-01,,,,839.302,4440.0,82680.0,3519.18,16335.0,55365.0,,,
2007-12-01,,,,2492.9390000000003,13176.0,81144.0,4049.36,18797.0,74925.0,,,
2008-01-01,,,,1725.289,9118.0,102500.0,8463.784,39288.0,102054.0,482.44100000000003,2550.0,28662.0
2008-02-01,,,,0.0,8454.0,106125.0,1209.559,5615.0,14585.0,0.0,1560.0,19578.0
2008-03-01,,,,0.0,9465.0,99550.0,1226.5040000000001,5693.0,14789.0,0.0,1726.0,18156.0
2008-04-01,,,,0.0,10374.0,151700.0,481.077,2233.0,5800.0,0.0,0.0,0.0
2008-05-01,,,,0.0,15864.0,137025.0,620.0160000000001,2878.0,7476.0,0.0,463.0,3998.0
2008-06-01,,,,0.0,12146.0,122025.0,7426.5740000000005,34473.0,89547.0,0.0,724.0,7278.0
2008-07-01,,,,0.0,14738.0,148525.0,6310.792,29294.0,76093.0,0.0,122.0,1230.0
2008-08-01,,,,0.0,15573.0,146025.0,3657.851,16979.0,44105.0,0.0,175.0,1640.0
2008-09-01,,,,0.0,15218.0,135225.0,4749.3240000000005,22046.0,57266.0,0.0,58.0,513.0
2008-10-01,,,,0.0,8721.0,87150.0,615.3140000000001,2856.0,7419.0,0.0,4164.0,41615.0
2008-11-01,,,,0.0,9003.0,122575.0,2061.108,9567.0,24852.0,0.0,407.0,5535.0
2008-12-01,,,,0.0,11986.0,157300.0,2094.877,9724.0,25259.0,0.0,1960.0,25728.0
2009-01-01,,,,3235.355,17099.0,154350.0,2682.92,12454.0,50138.0,735.485,3887.0,35088.0
2009-02-01,,,,2893.759,15293.0,128125.0,2981.501,13840.0,55719.0,419.276,2216.0,18564.0
2009-03-01,,,,2327.5460000000003,12301.0,115925.0,2441.9610000000002,11335.0,45636.0,296.954,1569.0,14790.0
2009-04-01,,,,434.327,2295.0,123150.0,1124.188,5218.0,21009.0,29.498,156.0,8364.0
2009-05-01,,,,1261.477,6667.0,125575.0,977.4730000000001,4537.0,18267.0,112.712,596.0,11220.0
2009-06-01,,,,1720.485,9093.0,138325.0,7840.326,36394.0,146520.0,167.465,885.0,13464.0
2009-07-01,,,,1735.055,9170.0,135025.0,2239.3160000000003,10395.0,41849.0,36.699000000000005,194.0,2856.0
2009-08-01,,,,2703.155,14286.0,143050.0,4052.289,18810.0,75729.0,25.057000000000002,132.0,1326.0
2009-09-01,,,,2532.1310000000003,13382.0,105475.0,1560.566,7244.0,29164.0,499.536,2640.0,20808.0
2009-10-01,,,,3714.6890000000003,19632.0,143500.0,658.267,3056.0,12302.0,55.449000000000005,293.0,2142.0
2009-11-01,,,,3197.556,16899.0,140800.0,564.1460000000001,2619.0,10543.0,428.536,2265.0,18870.0
2009-12-01,,,,2306.284,12189.0,118475.0,4440.887000000001,20614.0,82991.0,1008.672,5331.0,51816.0
2010-01-01,,,,2369.203,12521.0,131373.0,2129.915,9887.0,36733.0,729.6850000000001,3856.0,40461.0
2010-02-01,,,,942.653,4982.0,123525.0,252.02800000000002,1170.0,4346.0,396.00600000000003,2093.0,51893.0
2010-03-01,,,,1074.3890000000001,5678.0,102725.0,82.869,385.0,1429.0,147.113,777.0,14066.0
2010-04-01,,,,1637.8770000000002,8656.0,93686.0,202.42100000000002,940.0,3490.0,156.924,829.0,8976.0
2010-05-01,,,,5675.3730000000005,29994.0,116835.0,1665.578,7731.0,28724.0,0.0,0.0,0.0
2010-06-01,,,,2204.849,11652.0,114736.0,3182.07,14771.0,54877.0,0.0,0.0,0.0
2010-07-01,,,,3503.924,18518.0,114714.0,6445.457,29919.0,111158.0,155.779,823.0,5100.0
2010-08-01,,,,3217.005,17002.0,139443.0,6089.084000000001,28265.0,105011.0,0.0,0.0,0.0
2010-09-01,,,,1574.401,8321.0,141107.0,2518.214,11689.0,43429.0,113.80600000000001,601.0,10200.0
2010-10-01,,,,1815.9470000000001,9597.0,96150.0,3652.2140000000004,16953.0,62985.0,310.15700000000004,1639.0,16422.0
2010-11-01,,,,1142.306,6037.0,103714.0,3825.145,17756.0,65967.0,280.858,1484.0,25500.0
2010-12-01,,,,1916.7510000000002,10130.0,156414.0,8280.845000000001,38439.0,142810.0,314.987,1665.0,25704.0
2011-01-01,,,,2279.635,12048.0,138458.0,4197.884,19486.0,70805.0,527.322,2787.0,32028.0
2011-02-01,,,,2368.68,12518.0,122537.0,543.972,2525.0,9175.0,274.066,1448.0,14178.0
2011-03-01,,,,1976.485,10446.0,101903.0,1268.82,5890.0,21402.0,322.473,1704.0,16626.0
2011-04-01,,,,1551.272,8198.0,110675.0,2729.498,12670.0,46039.0,51.468,272.0,3672.0
2011-05-01,,,,1645.085,8694.0,101625.0,6575.598,30523.0,110912.0,153.557,812.0,9486.0
2011-06-01,,,,1884.109,9957.0,122575.0,5325.503,24720.0,89826.0,0.0,0.0,0.0
2011-07-01,,,,1544.899,8165.0,81100.0,6371.715,29577.0,107472.0,19.43,103.0,1020.0
2011-08-01,,,,2187.579,11561.0,101100.0,3168.58,14708.0,53445.0,22.071,117.0,1020.0
2011-09-01,,,,1540.117,8139.0,82000.0,1961.873,9107.0,33091.0,298.858,1579.0,15912.0
2011-10-01,,,,2270.077,11997.0,111228.0,3459.946,16061.0,58359.0,137.395,726.0,6732.0
2011-11-01,,,,1864.47,9854.0,100970.0,2735.209,12697.0,46136.0,124.311,657.0,6732.0
2011-12-01,,,,1941.468,10261.0,111677.0,4107.162,19065.0,69276.0,170.232,900.0,9792.0
2012-01-01,,,,1836.555,9706.0,111850.0,2476.225,11494.0,36488.0,206.003,1089.0,12546.0
2012-02-01,,,,1247.063,6591.0,94975.0,1441.872,6693.0,21247.0,255.807,1352.0,19482.0
2012-03-01,,,,1530.214,8087.0,89650.0,3107.785,14426.0,45796.0,311.641,1647.0,18258.0
2012-04-01,,,,1290.859,6822.0,91494.0,3420.505,15878.0,50403.0,227.375,1202.0,16116.0
2012-05-01,,,,2259.698,11942.0,138465.0,4529.45,21025.0,66745.0,337.914,1786.0,20706.0
2012-06-01,,,,1586.096,8382.0,92667.0,5047.804,23431.0,74384.0,322.98,1707.0,18870.0
2012-07-01,,,,1966.736,10394.0,124690.0,6038.971,28032.0,88989.0,361.992,1913.0,22950.0
2012-08-01,,,,1871.155,9889.0,126076.0,4976.734,23102.0,73336.0,148.356,784.0,9996.0
2012-09-01,,,,1863.981,9851.0,113702.0,5045.198,23419.0,74345.0,342.788,1812.0,20910.0
2012-10-01,,,,1690.323,8933.0,105613.0,3365.051,15620.0,49586.0,316.704,1674.0,19788.0
2012-11-01,,,,1636.306,8648.0,98406.0,3518.941,16335.0,51854.0,188.264,995.0,11322.0
2012-12-01,,,,1454.724,7688.0,98532.0,4114.584,19100.0,60632.0,201.794,1066.0,13668.0
2013-01-01,,,,1684.366,8902.0,88750.0,7650.833,35514.0,108307.0,,,
2013-02-01,,,,1891.791,9998.0,103225.0,5843.206,27124.0,82718.0,,,
2013-03-01,,,,2360.417,12475.0,131100.0,7737.976,35919.0,109541.0,,,
2013-04-01,,,,1443.331,7628.0,95300.0,1054.171,4893.0,14924.0,,,
2013-05-01,,,,674.131,3563.0,91500.0,2118.468,9834.0,29990.0,,,
2013-06-01,,,,2441.083,12901.0,108350.0,4816.004,22355.0,68177.0,,,
2013-07-01,,,,3365.852,17788.0,104225.0,5877.021,27281.0,83197.0,,,
2013-08-01,,,,2461.249,13008.0,122275.0,6254.194,29031.0,88536.0,,,
2013-09-01,,,,895.96,4735.0,126025.0,5088.913,23622.0,72041.0,,,
2013-10-01,,,,3059.516,16169.0,115500.0,4754.933,22072.0,67312.0,,,
2013-11-01,,,,3059.516,16169.0,114925.0,5613.682,26058.0,79469.0,,,
2013-12-01,,,,2460.289,13002.0,116875.0,3629.159,16846.0,51375.0,,,
2014-01-01,,,,2544.02,14590.0,142950.0,1899.456,10422.0,36273.0,0.98,6.0,55.0
2014-02-01,,,,1940.947,11398.0,120375.0,615.733,3378.0,11759.0,1.053,6.0,65.0
2014-03-01,,,,636.719,3825.0,113250.0,498.375,2735.0,9518.0,0.281,2.0,50.0
2014-04-01,,,,62.987,1532.0,89675.0,870.63,4777.0,16626.0,0.013,0.0,18.0
2014-05-01,,,,2221.466,12670.0,135775.0,1949.847,10699.0,37236.0,0.534,3.0,33.0
2014-06-01,,,,728.822,5328.0,125150.0,2234.469,12260.0,42672.0,0.178,1.0,31.0
2014-07-01,,,,718.636,5326.0,88700.0,1996.646,10955.0,38130.0,0.364,3.0,45.0
2014-08-01,,,,230.737,3300.0,56450.0,2252.712,12361.0,43020.0,0.263,4.0,64.0
2014-09-01,,,,-49.0,1578.0,84975.0,1494.83,8202.0,28547.0,0.0,0.0,0.0
2014-10-01,,,,839.605,5869.0,82475.0,1108.055,6080.0,21160.0,0.395,3.0,39.0
2014-11-01,,,,985.437,6628.0,34725.0,1654.569,9079.0,31598.0,1.563,11.0,55.0
2014-12-01,,,,0.0,0.0,0.0,1317.678,7230.0,25163.0,-351.0,0.0,80.0
2015-01-01,0.0,0.0,0.0,,,,3286.834,16064.0,49764.0,,,
2015-02-01,0.0,0.0,0.0,,,,4265.837,20849.0,64587.0,,,
2015-03-01,0.0,0.0,0.0,,,,2943.238,14385.0,44563.0,,,
2015-04-01,0.0,0.0,0.0,,,,3183.573,15559.0,48201.0,,,
2015-05-01,0.0,0.0,0.0,,,,4480.9,21900.0,67844.0,,,
2015-06-01,0.0,0.0,0.0,,,,4622.683,22593.0,69991.0,,,
2015-07-01,0.0,0.0,0.0,,,,4903.061,23963.0,74235.0,,,
2015-08-01,0.0,0.0,0.0,,,,4245.37,20749.0,64277.0,,,
2015-09-01,0.0,0.0,0.0,,,,4410.24,21555.0,66774.0,,,
2015-10-01,0.0,0.0,0.0,,,,3296.718,16112.0,49915.0,,,
2015-11-01,0.0,0.0,0.0,,,,3678.978,17981.0,55702.0,,,
2015-12-01,0.0,0.0,0.0,,,,4343.568,21229.0,65764.0,,,
2016-01-01,0.0,0.0,0.0,,,,6449.345,28238.0,81092.0,,,
2016-02-01,0.0,0.0,0.0,,,,6267.376,27442.0,78803.0,,,
2016-03-01,0.0,0.0,0.0,,,,6818.043,29853.0,85727.0,,,
2016-04-01,0.0,0.0,0.0,,,,5449.641,23861.0,68522.0,,,
2016-05-01,0.0,0.0,0.0,,,,6296.115,27567.0,79165.0,,,
2016-06-01,0.0,0.0,0.0,,,,8996.209,39390.0,113115.0,,,
2016-07-01,0.0,0.0,0.0,,,,9369.457,41024.0,117807.0,,,
2016-08-01,0.0,0.0,0.0,,,,9709.694,42514.0,122086.0,,,
2016-09-01,0.0,0.0,0.0,,,,8579.644,37566.0,107877.0,,,
2016-10-01,0.0,0.0,0.0,,,,6412.355,28076.0,80626.0,,,
2016-11-01,0.0,0.0,0.0,,,,4081.354,17870.0,51318.0,,,
2016-12-01,0.0,0.0,0.0,,,,7944.767,34786.0,99895.0,,,
2017-01-01,0.0,0.0,0.0,,,,6400.907,27945.0,82058.0,,,
2017-02-01,0.0,0.0,0.0,,,,7196.654,31419.0,92259.0,,,
2017-03-01,0.0,0.0,0.0,,,,10501.01,45845.0,134619.0,,,
2017-04-01,0.0,0.0,0.0,,,,8310.528,36282.0,106539.0,,,
2017-05-01,0.0,0.0,0.0,,,,3502.472,15291.0,44900.0,,,
2017-06-01,0.0,0.0,0.0,,,,8645.353,37743.0,110831.0,,,
2017-07-01,0.0,0.0,0.0,,,,9772.305,42663.0,125278.0,,,
2017-08-01,0.0,0.0,0.0,,,,9010.269,39336.0,115509.0,,,
2017-09-01,0.0,0.0,0.0,,,,7594.774,33157.0,97362.0,,,
2017-10-01,0.0,0.0,0.0,,,,7070.316,30867.0,90639.0,,,
2017-11-01,0.0,0.0,0.0,,,,6321.277,27597.0,81037.0,,,
2017-12-01,0.0,0.0,0.0,,,,8400.135,36673.0,107687.0,,,
2018-01-01,0.0,0.0,0.0,,,,9558.511,41413.0,121217.0,,,
2018-02-01,0.0,0.0,0.0,,,,6547.014,28366.0,83025.0,,,
2018-03-01,0.0,0.0,0.0,,,,8943.582,38749.0,113417.0,,,
2018-04-01,0.0,0.0,0.0,,,,6646.99,28799.0,84293.0,,,
2018-05-01,0.0,0.0,0.0,,,,5485.089,23765.0,69559.0,,,
2018-06-01,0.0,0.0,0.0,,,,10907.433,47257.0,138322.0,,,
2018-07-01,0.0,0.0,0.0,,,,14226.9,61639.0,180418.0,,,
2018-08-01,0.0,0.0,0.0,,,,14167.55,61382.0,179665.0,,,
2018-09-01,0.0,0.0,0.0,,,,14514.74,62886.0,184068.0,,,
2018-10-01,0.0,0.0,0.0,,,,10168.149,44054.0,128947.0,,,
2018-11-01,0.0,0.0,0.0,,,,10050.979,43547.0,127460.0,,,
2018-12-01,0.0,0.0,0.0,,,,9121.063,39518.0,115669.0,,,
2019-01-01,0.0,0.0,0.0,,,,8912.313,38694.0,110233.0,,,
2019-02-01,0.0,0.0,0.0,,,,8823.34,38307.0,109131.0,,,
2019-03-01,0.0,0.0,0.0,,,,10098.758,43845.0,124906.0,,,
2019-04-01,0.0,0.0,0.0,,,,3857.019,16746.0,47705.0,,,
2019-05-01,0.0,0.0,0.0,,,,10137.824,44014.0,125389.0,,,
2019-06-01,0.0,0.0,0.0,,,,10242.781,44470.0,126687.0,,,
2019-07-01,0.0,0.0,0.0,,,,11194.897,48604.0,138463.0,,,
2019-08-01,0.0,0.0,0.0,,,,11521.753,50023.0,142506.0,,,
2019-09-01,0.0,0.0,0.0,,,,11345.862,49259.0,140330.0,,,
2019-10-01,0.0,0.0,0.0,,,,5828.71,25306.0,72092.0,,,
2019-11-01,0.0,0.0,0.0,,,,9546.81,41449.0,118079.0,,,
2019-12-01,0.0,0.0,0.0,,,,9054.933,39313.0,111995.0,,,
2020-01-01,0.0,0.0,0.0,,,,10832.231,47142.0,128564.0,,,
2020-02-01,0.0,0.0,0.0,,,,11232.487,48884.0,133315.0,,,
2020-03-01,0.0,0.0,0.0,,,,8253.882,35921.0,97963.0,,,
2020-04-01,0.0,0.0,0.0,,,,6266.242,27271.0,74372.0,,,
2020-05-01,0.0,0.0,0.0,,,,6815.453,29661.0,80890.0,,,
2020-06-01,0.0,0.0,0.0,,,,9418.698,40991.0,111788.0,,,
2020-07-01,0.0,0.0,0.0,,,,11968.739,52088.0,142053.0,,,
2020-08-01,0.0,0.0,0.0,,,,9327.406,40593.0,110704.0,,,
2020-09-01,0.0,0.0,0.0,,,,9091.668,39567.0,107906.0,,,
2020-10-01,0.0,0.0,0.0,,,,7271.348,31645.0,86301.0,,,
2020-11-01,0.0,0.0,0.0,,,,7596.422,33060.0,90160.0,,,
2020-12-01,0.0,0.0,0.0,,,,10856.344,47247.0,128851.0,,,
2021-01-01,0.0,0.0,0.0,,,,12016.68,52297.0,132759.0,,,
2021-02-01,0.0,0.0,0.0,,,,8488.535,36942.0,93780.0,,,
2021-03-01,0.0,0.0,0.0,,,,7286.59,31712.0,80502.0,,,
2021-04-01,0.0,0.0,0.0,,,,4247.431,18485.0,46926.0,,,
2021-05-01,0.0,0.0,0.0,,,,6100.79,26551.0,67400.0,,,
2021-06-01,0.0,0.0,0.0,,,,11053.617,48106.0,122119.0,,,
2021-07-01,0.0,0.0,0.0,,,,12632.942,54979.0,139567.0,,,
2021-08-01,0.0,0.0,0.0,,,,13411.495,58367.0,148168.0,,,
2021-09-01,0.0,0.0,0.0,,,,10379.078,45170.0,114667.0,,,
2021-10-01,0.0,0.0,0.0,,,,4939.504,21497.0,54571.0,,,
2021-11-01,0.0,0.0,0.0,,,,6197.058,26970.0,68465.0,,,
2021-12-01,0.0,0.0,0.0,,,,6629.42,28852.0,73241.0,,,
2022-01-01,0.0,0.0,0.0,,,,9793.19,42620.0,116178.0,,,
2022-02-01,0.0,0.0,0.0,,,,7972.23,34695.0,94576.0,,,
2022-03-01,0.0,0.0,0.0,,,,9970.217,43391.0,118278.0,,,
2022-04-01,0.0,0.0,0.0,,,,6760.736,29423.0,80204.0,,,
2022-05-01,0.0,0.0,0.0,,,,6157.074,26796.0,73042.0,,,
2022-06-01,0.0,0.0,0.0,,,,10631.611,46269.0,126124.0,,,
2022-07-01,0.0,0.0,0.0,,,,11150.18,48526.0,132277.0,,,
2022-08-01,0.0,0.0,0.0,,,,10529.406,45824.0,124912.0,,,
2022-09-01,0.0,0.0,0.0,,,,8302.446,36133.0,98494.0,,,
2022-10-01,0.0,0.0,0.0,,,,5076.819,22095.0,60227.0,,,
2022-11-01,0.0,0.0,0.0,,,,6008.457,26149.0,71279.0,,,
2022-12-01,0.0,0.0,0.0,,,,8702.294,37873.0,103237.0,,,
2023-01-01,0.0,0.0,0.0,,,,7608.72,32451.0,84447.0,,,
2023-02-01,0.0,0.0,0.0,,,,6466.705,27580.0,71772.0,,,
2023-03-01,0.0,0.0,0.0,,,,6201.856,26451.0,68833.0,,,
2023-04-01,0.0,0.0,0.0,,,,8385.934,35766.0,93073.0,,,
2023-05-01,0.0,0.0,0.0,,,,9387.949,40040.0,104195.0,,,
2023-06-01,0.0,0.0,0.0,,,,9032.786,38525.0,100253.0,,,
2023-07-01,0.0,0.0,0.0,,,,7985.458,34058.0,88628.0,,,
2023-08-01,0.0,0.0,0.0,,,,9216.224,39307.0,102288.0,,,
2023-09-01,0.0,0.0,0.0,,,,8776.938,37434.0,97413.0,,,
2023-10-01,0.0,0.0,0.0,,,,5943.912,25351.0,65970.0,,,
2023-11-01,0.0,0.0,0.0,,,,7518.666,32067.0,83448.0,,,
2023-12-01,0.0,0.0,0.0,,,,7768.852,33134.0,86224.0,,,
2024-01-01,0.0,0.0,0.0,,,,10028.226,42770.0,1107973.0,,,
2024-02-01,0.0,0.0,0.0,,,,8165.219,34825.0,902138.0,,,
2024-03-01,0.0,0.0,0.0,,,,8276.884,35301.0,914475.0,,,
2024-04-01,0.0,0.0,0.0,,,,5467.303,23318.0,604058.0,,,
2024-05-01,0.0,0.0,0.0,,,,5207.318,22209.0,575333.0,,,
2024-06-01,0.0,0.0,0.0,,,,8918.018,38035.0,985311.0,,,
2024-07-01,0.0,0.0,0.0,,,,11048.406,47121.0,1220689.0,,,
2024-08-01,0.0,0.0,0.0,,,,11431.33,48755.0,1262996.0,,,
2024-09-01,0.0,0.0,0.0,,,,10592.808,45178.0,1170352.0,,,
2024-10-01,0.0,0.0,0.0,,,,6305.856,26894.0,696705.0,,,
2024-11-01,0.0,0.0,0.0,,,,8536.81,36409.0,943194.0,,,
2024-12-01,0.0,0.0,0.0,,,,9843.822,41984.0,1087600.0,,,
