measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-01-01,933.1080000000001,4314.0,54810.0,15698.02,72584.0,922089.0,139.244,644.0,8179.0,314.683,1455.0,18484.0,,,,,,,,,,345.945,1600.0,20321.0
2008-02-01,867.547,4011.0,50895.0,12289.18,56823.0,720950.0,164.577,761.0,9655.0,292.562,1353.0,17163.0,,,,,,,,,,2571.134,11888.0,150837.0
2008-03-01,916.243,4236.0,53568.0,12977.246,60004.0,758713.0,173.69,803.0,10155.0,264.813,1224.0,15482.0,,,,,,,,,,2701.0080000000003,12489.0,157914.0
2008-04-01,895.301,4140.0,53136.0,10957.901,50671.0,650350.0,146.728,678.0,8708.0,306.579,1418.0,18195.0,,,,,,,,,,2292.4900000000002,10601.0,136059.0
2008-05-01,920.0160000000001,4254.0,53973.0,13028.567,60241.0,764325.0,174.399,806.0,10231.0,310.15700000000004,1434.0,18195.0,,,,,,,,,,2725.8610000000003,12604.0,159914.0
2008-06-01,938.894,4341.0,55080.0,13295.879,61477.0,780000.0,178.00900000000001,823.0,10443.0,316.531,1464.0,18569.0,,,,,,,,,,2781.6870000000004,12862.0,163187.0
2008-07-01,937.519,4335.0,54999.0,13278.491,61396.0,778975.0,177.81,822.0,10431.0,316.122,1462.0,18545.0,,,,,,,,,,2778.059,12845.0,162973.0
2008-08-01,898.414,4154.0,52704.0,12727.486,58849.0,746638.0,170.39600000000002,788.0,9996.0,303.00800000000004,1401.0,17775.0,,,,,,,,,,2662.696,12312.0,156203.0
2008-09-01,866.1690000000001,4005.0,50814.0,12265.575,56714.0,719563.0,164.17600000000002,759.0,9631.0,292.009,1350.0,17131.0,,,,,,,,,,2566.071,11865.0,150539.0
2008-10-01,875.3910000000001,4048.0,51354.0,12400.908,57339.0,727488.0,165.984,767.0,9737.0,295.218,1365.0,17319.0,,,,,,,,,,2594.4990000000003,11996.0,152204.0
2008-11-01,884.571,4090.0,51894.0,12526.69,57921.0,734888.0,167.78300000000002,776.0,9843.0,298.21700000000004,1379.0,17495.0,,,,,,,,,,2620.739,12118.0,153748.0
2008-12-01,887.798,4105.0,52083.0,12571.515,58128.0,737513.0,168.285,778.0,9873.0,299.29200000000003,1384.0,17558.0,,,,,,,,,,2630.109,12161.0,154296.0
2009-01-01,787.303,3640.0,63342.0,,,,4880.02,22564.0,392619.0,56.654,262.0,4558.0,,,,10286.023,47561.0,827556.0,,,,,,
2009-02-01,726.198,3358.0,57996.0,,,,4444.6140000000005,20551.0,354958.0,0.0,0.0,0.0,,,,9487.188,43867.0,757671.0,,,,,,
2009-03-01,802.302,3710.0,64260.0,,,,4911.496,22710.0,393384.0,47.43,219.0,3799.0,,,,10483.772,48475.0,839692.0,,,,,,
2009-04-01,644.577,2980.0,51867.0,,,,3944.5930000000003,18240.0,317408.0,97.997,453.0,7886.0,,,,8419.833,38933.0,677516.0,,,,,,
2009-05-01,850.62,3933.0,67932.0,,,,5205.963000000001,24071.0,415757.0,0.0,0.0,0.0,,,,11112.417,51381.0,887457.0,,,,,,
2009-06-01,873.505,4039.0,69876.0,,,,5347.17,24724.0,427746.0,29.743000000000002,138.0,2379.0,,,,11413.582,52774.0,913029.0,,,,,,
2009-07-01,893.582,4132.0,71361.0,,,,5470.215,25293.0,436849.0,0.0,0.0,0.0,,,,11676.203,53988.0,932456.0,,,,,,
2009-08-01,927.033,4286.0,74034.0,,,,5673.312,26232.0,453078.0,0.0,0.0,0.0,,,,12109.655,55992.0,967091.0,,,,,,
2009-09-01,875.653,4049.0,69930.0,,,,5361.036,24788.0,428135.0,0.0,0.0,0.0,,,,11443.311,52911.0,913868.0,,,,,,
2009-10-01,852.79,3943.0,68607.0,,,,5218.76,24130.0,419850.0,126.9,587.0,10209.0,,,,11139.55,51507.0,896178.0,,,,,,
2009-11-01,841.154,3889.0,67203.0,,,,5147.571,23801.0,411259.0,6.716,31.0,537.0,,,,10987.559,50804.0,877838.0,,,,,,
2009-12-01,831.359,3844.0,66393.0,,,,5089.689,23534.0,406467.0,0.0,0.0,0.0,,,,10863.952,50232.0,867604.0,,,,,,
2010-01-01,1651.585,7637.0,131841.0,9749.526,45080.0,778275.0,4344.796,20089.0,346832.0,67.556,312.0,5393.0,,,,1070.537,4950.0,85458.0,,,,,,
2010-02-01,1186.344,5485.0,87372.0,,,,3452.8830000000003,15966.0,254298.0,0.0,0.0,0.0,,,,10555.773,48808.0,777413.0,,,,,,
2010-03-01,1327.1090000000002,6257.0,107028.0,,,,2712.3940000000002,12788.0,218748.0,34.554,163.0,2787.0,,,,11225.943,52924.0,905344.0,,,,,,
2010-04-01,1210.979,5599.0,113589.0,,,,5238.004,24220.0,491321.0,96.91900000000001,448.0,9091.0,,,,9010.098,41661.0,845141.0,,,,,,
2010-05-01,1587.2250000000001,7339.0,100656.0,,,,1214.083,5614.0,76993.0,46.509,215.0,2949.0,,,,14941.183,69084.0,947515.0,,,,,,
2010-06-01,1233.328,5703.0,86157.0,,,,2064.645,9546.0,144231.0,31.594,146.0,2207.0,,,,13664.433,63181.0,954560.0,,,,,,
2010-07-01,1100.3010000000002,5088.0,88695.0,,,,5580.217000000001,25802.0,449820.0,70.925,328.0,5717.0,,,,10781.557,49851.0,869099.0,,,,,,
2010-08-01,1038.4740000000002,4802.0,75870.0,,,,4647.636,21489.0,339552.0,50.675000000000004,234.0,3702.0,,,,12199.215,56406.0,891264.0,,,,,,
2010-09-01,1018.6020000000001,4710.0,65313.0,,,,2663.782,12317.0,170802.0,79.61800000000001,368.0,5105.0,,,,13588.998,62832.0,871329.0,,,,,,
2010-10-01,816.398,3775.0,57240.0,,,,4005.967,18523.0,280870.0,188.995,874.0,13251.0,,,,12847.64,59404.0,900785.0,,,,,,
2010-11-01,965.344,4464.0,78030.0,,,,5400.0160000000005,24968.0,436490.0,0.0,0.0,0.0,,,,10452.64,48331.0,844900.0,,,,,,
2010-12-01,955.183,4417.0,83187.0,,,,6345.1140000000005,29338.0,552597.0,144.208,667.0,12559.0,,,,11154.495,51575.0,971446.0,,,,,,
2011-01-01,4569.54,21128.0,317034.0,11360.285,52527.0,788175.0,141.619,655.0,9825.0,255.736,1182.0,17743.0,,,,1410.82,6523.0,97883.0,,,,,,
2011-02-01,2769.693,12807.0,175311.0,,,,32.235,149.0,2040.0,325.901,1507.0,20628.0,,,,12646.171,58473.0,800454.0,,,,,,
2011-03-01,1374.339,6355.0,81918.0,,,,969.619,4483.0,57795.0,340.638,1575.0,20304.0,,,,14366.404,66427.0,856315.0,,,,,,
2011-04-01,935.917,4328.0,80244.0,,,,56.305,260.0,4827.0,346.149,1601.0,29678.0,,,,8374.629,38726.0,718027.0,,,,,,
2011-05-01,2230.989,10316.0,139725.0,,,,357.987,1655.0,22420.0,342.784,1585.0,21468.0,,,,14363.24,66412.0,899558.0,,,,,,
2011-06-01,1572.453,7271.0,93501.0,,,,38.071,176.0,2264.0,195.708,905.0,11637.0,,,,15621.768,72231.0,928900.0,,,,,,
2011-07-01,1339.953,6196.0,77193.0,,,,40.827,189.0,2352.0,93.52,432.0,5388.0,,,,17080.7,78976.0,983997.0,,,,,,
2011-08-01,1324.389,6124.0,85914.0,,,,16.95,78.0,1100.0,80.412,372.0,5216.0,,,,16025.249,74097.0,1039569.0,,,,,,
2011-09-01,1505.215,6960.0,95148.0,,,,7.07,33.0,447.0,37.74,174.0,2386.0,,,,15852.975,73300.0,1002102.0,,,,,,
2011-10-01,1214.81,5617.0,76221.0,,,,15.557,72.0,976.0,254.253,1176.0,15953.0,,,,16613.38,76816.0,1042376.0,,,,,,
2011-11-01,1294.828,5987.0,76950.0,,,,18.205,84.0,1082.0,0.0,0.0,0.0,,,,15624.967,72246.0,928572.0,,,,,,
2011-12-01,1734.366,8066.0,109836.0,,,,18.57,86.0,1176.0,0.0,0.0,0.0,,,,15402.064,71631.0,975400.0,,,,,,
2012-01-01,4983.51,23043.0,197478.0,2470.14,11421.0,97883.0,9901.672,45783.0,392367.0,0.0,0.0,0.0,,,,,,,,,,5.678,26.0,225.0
2012-02-01,2859.964,13224.0,187542.0,1119.405,5176.0,73405.0,85.454,395.0,5604.0,387.448,1792.0,25407.0,,,,,,,,,,9009.729,41660.0,590813.0
2012-03-01,2817.987,13030.0,175689.0,1078.34,4986.0,67230.0,28.954,134.0,1805.0,17.246,80.0,1075.0,,,,,,,,,,13546.473,62636.0,844563.0
2012-04-01,2592.032,11985.0,147555.0,727.155,3362.0,41394.0,35.636,165.0,2029.0,84.883,392.0,4832.0,,,,,,,,,,13993.294,64702.0,796588.0
2012-05-01,3280.09,15167.0,238194.0,1325.751,6130.0,96274.0,44.777,207.0,3252.0,62.044,287.0,4506.0,,,,,,,,,,11157.338,51589.0,810225.0
2012-06-01,1005.48,4649.0,143019.0,957.463,4427.0,136189.0,310.33,1435.0,44141.0,212.186,981.0,30181.0,,,,,,,,,,5269.541,24365.0,749538.0
2012-07-01,1163.24,5379.0,168264.0,869.493,4020.0,125773.0,13.74,64.0,1987.0,0.0,0.0,0.0,,,,,,,,,,5644.527,26099.0,816488.0
2012-08-01,1166.731,5395.0,159111.0,1032.884,4776.0,140858.0,4.225,20.0,576.0,0.0,0.0,0.0,,,,,,,,,,6088.16,28150.0,830263.0
2012-09-01,1211.78,5603.0,154548.0,906.753,4193.0,115646.0,2.121,10.0,270.0,0.123,1.0,16.0,,,,,,,,,,5894.223,27254.0,751738.0
2012-10-01,1155.682,5344.0,140616.0,1020.776,4720.0,124202.0,5.944,27.0,723.0,145.815,674.0,17742.0,,,,,,,,,,6511.783,30109.0,792313.0
2012-11-01,1371.712,6342.0,150498.0,663.623,3068.0,72810.0,10.719,50.0,1176.0,67.279,311.0,7382.0,,,,,,,,,,6513.667,30118.0,714650.0
2012-12-01,738.195,3413.0,87075.0,655.26,3030.0,77292.0,414.294,1916.0,48869.0,48.416,224.0,5711.0,,,,,,,,,,6797.835,31432.0,801850.0
2013-01-01,1156.383,5347.0,143208.0,6727.863,31108.0,833188.0,4.368,20.0,541.0,0.0,0.0,0.0,,,,,,,,,,790.386,3655.0,97883.0
2013-02-01,739.282,3418.0,69066.0,6324.056,29241.0,590813.0,59.981,277.0,5604.0,271.955,1257.0,25407.0,,,,,,,,,,785.726,3633.0,73405.0
2013-03-01,329.395,1523.0,81918.0,3396.013,15704.0,844563.0,7.259,34.0,1805.0,0.0,0.0,0.0,,,,,,,,,,270.333,1250.0,67230.0
2013-04-01,765.673,3540.0,80244.0,7600.886,35145.0,796588.0,19.357,90.0,2029.0,46.107,213.0,4832.0,,,,,,,,,,394.977,1826.0,41394.0
2013-05-01,1180.393,5458.0,139725.0,6844.757,31648.0,810225.0,27.47,127.0,3252.0,38.063,176.0,4506.0,,,,,,,,,,813.317,3761.0,96274.0
2013-06-01,793.621,3670.0,93501.0,6361.951,29416.0,749538.0,25.304,117.0,2981.0,256.173,1184.0,30181.0,,,,,,,,,,1155.951,5345.0,136189.0
2013-07-01,654.43,3026.0,77193.0,6922.052,32006.0,816488.0,16.849,78.0,1987.0,0.0,0.0,0.0,,,,,,,,,,1094.669,5061.0,129121.0
2013-08-01,719.653,3327.0,85914.0,6954.635,32156.0,830263.0,4.827,22.0,576.0,0.0,0.0,0.0,,,,,,,,,,1179.885,5455.0,140858.0
2013-09-01,840.413,3886.0,95148.0,6659.737,30793.0,753988.0,2.389,11.0,270.0,0.0,0.0,0.0,,,,,,,,,,1021.461,4723.0,115646.0
2013-10-01,682.323,3155.0,76221.0,7092.709,32795.0,792313.0,6.474,30.0,723.0,158.654,734.0,17723.0,,,,,,,,,,1111.84,5141.0,124202.0
2013-11-01,772.619,3572.0,76950.0,7175.47,33178.0,714650.0,11.749,54.0,1170.0,74.114,343.0,7382.0,,,,,,,,,,731.048,3380.0,72810.0
2013-12-01,988.343,4570.0,109836.0,7215.331,33362.0,801850.0,4.868,23.0,541.0,12.954,60.0,1440.0,,,,,,,0.0,0.0,0.0,695.504,3216.0,77292.0
