measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2005-02-01,18.995,190.45,190.45,,,,110.287,1122.17,1122.17,89.738,1676.21,1676.21,0.0,0.0,0.0
2005-03-01,21.054000000000002,211.1,211.1,,,,153.044,1557.21,1557.21,124.52900000000001,2326.06,2326.06,0.0,0.0,0.0
2005-04-01,25.502000000000002,255.69,255.69,,,,145.27800000000002,1478.19,1478.19,118.21,2208.02,2208.02,0.0,0.0,0.0
2005-05-01,23.685,237.47,237.47,,,,138.92,1413.5,1413.5,113.036,2111.39,2111.39,0.0,0.0,0.0
2005-06-01,30.741000000000003,308.22,308.22,,,,262.242,2668.29,2668.29,213.38,3985.71,3985.71,0.0,0.0,0.0
2005-07-01,31.29,313.73,313.73,,,,345.22900000000004,3512.68,3512.68,280.905,5247.0,5247.0,0.0,0.0,0.0
2005-08-01,36.758,368.56,368.56,,,,342.951,3489.5,3489.5,279.051,5212.37,5212.37,0.0,0.0,0.0
2005-09-01,24.062,241.26,241.26,,,,207.635,2112.67,2112.67,168.948,3155.75,3155.75,0.0,0.0,0.0
2005-10-01,26.722,267.92,267.92,,,,147.225,1498.01,1498.01,119.79400000000001,2237.62,2237.62,0.0,0.0,0.0
2005-11-01,21.482,215.39,215.39,,,,129.031,1312.88,1312.88,104.99,1961.09,1961.09,0.0,0.0,0.0
2005-12-01,45.423,455.43,455.43,,,,161.3,1641.22,1641.22,131.247,2451.54,2451.54,0.0,0.0,0.0
2006-01-01,58.527,586.0,586.0,,,,129.565,1337.0,1337.0,63.897000000000006,1270.0,1270.0,,,
2006-02-01,30.625,307.0,307.0,,,,146.46200000000002,1511.0,1511.0,72.23,1435.0,1435.0,,,
2006-03-01,25.726000000000003,258.0,258.0,,,,193.001,1991.0,1991.0,95.18100000000001,1892.0,1892.0,,,
2006-04-01,49.278000000000006,493.0,493.0,,,,159.715,1648.0,1648.0,78.766,1565.0,1565.0,,,
2006-05-01,46.063,461.0,461.0,,,,210.38600000000002,2171.0,2171.0,103.755,2062.0,2062.0,,,
2006-06-01,41.868,419.0,419.0,,,,271.00100000000003,2796.0,2796.0,133.648,2656.0,2656.0,,,
2006-07-01,60.647000000000006,607.0,607.0,,,,484.947,5003.0,5003.0,239.15900000000002,4753.0,4753.0,,,
2006-08-01,58.827000000000005,589.0,589.0,,,,430.918,4446.0,4446.0,212.514,4223.0,4223.0,,,
2006-09-01,27.026,271.0,271.0,,,,253.475,2615.0,2615.0,125.005,2484.0,2484.0,,,
2006-10-01,28.548000000000002,286.0,286.0,,,,274.564,2833.0,2833.0,135.405,2691.0,2691.0,,,
2006-11-01,33.617000000000004,337.0,337.0,,,,184.58700000000002,1904.0,1904.0,91.03200000000001,1809.0,1809.0,,,
2006-12-01,37.248000000000005,373.0,373.0,,,,187.37900000000002,1933.0,1933.0,92.409,1836.0,1836.0,,,
2007-01-01,52.609,586.0,586.0,,,,161.145,1786.0,1786.0,0.0,0.0,0.0,,,
2007-02-01,112.86200000000001,1253.0,1253.0,189.075,2946.0,2946.0,295.833,3279.0,3279.0,1.925,30.0,30.0,,,
2007-03-01,18.382,203.0,203.0,,,,169.26600000000002,1876.0,1876.0,0.0,0.0,0.0,,,
2007-04-01,13.038,145.0,145.0,,,,215.876,2393.0,2393.0,0.0,0.0,0.0,,,
2007-05-01,16.081,180.0,180.0,,,,110.581,1226.0,1226.0,0.0,0.0,0.0,,,
2007-06-01,17.158,191.0,191.0,,,,210.639,2335.0,2335.0,392.0,6814.0,6814.0,,,
2007-07-01,13.587000000000002,151.0,151.0,,,,212.81900000000002,2359.0,2359.0,452.0,6726.0,6726.0,,,
2007-08-01,1.204,12.0,12.0,,,,240.42200000000003,2665.0,2665.0,16.0,681.0,681.0,,,
2007-09-01,4.367,46.0,46.0,,,,133.19,1476.0,1476.0,67.0,1206.0,1206.0,,,
2007-10-01,3.833,41.0,41.0,,,,139.686,1548.0,1548.0,0.0,0.0,0.0,,,
2007-11-01,14.895,162.0,162.0,,,,141.69400000000002,1571.0,1571.0,0.0,0.0,0.0,,,
2007-12-01,23.952,267.0,267.0,,,,239.881,2659.0,2659.0,0.0,0.0,0.0,,,
2008-01-01,17.777,168.0,168.0,,,,43.063,421.0,421.0,1.615,14.0,14.0,,,
2008-02-01,22.723000000000003,222.0,222.0,,,,42.604,416.0,416.0,1.599,14.0,14.0,,,
2008-03-01,8.986,90.0,90.0,,,,68.991,674.0,674.0,2.59,22.0,22.0,,,
2008-04-01,10.06,96.0,96.0,,,,22.608,221.0,221.0,0.8490000000000001,7.0,7.0,,,
2008-05-01,4.156000000000001,42.0,42.0,,,,49.847,487.0,487.0,1.871,16.0,16.0,,,
2008-06-01,4.121,42.0,42.0,,,,32.172000000000004,314.0,314.0,1.208,10.0,10.0,,,
2008-07-01,1.9540000000000002,18.0,18.0,,,,71.058,694.0,694.0,2.668,23.0,23.0,,,
2008-08-01,2.38,24.0,24.0,,,,58.730000000000004,574.0,574.0,2.205,19.0,19.0,,,
2008-09-01,3.463,36.0,36.0,,,,34.314,335.0,335.0,1.288,11.0,11.0,,,
2008-10-01,2.6750000000000003,24.0,24.0,,,,25.435000000000002,248.0,248.0,0.9550000000000001,8.0,8.0,,,
2008-11-01,8.949,90.0,90.0,,,,43.836000000000006,428.0,428.0,1.6460000000000001,14.0,14.0,,,
2008-12-01,22.715,222.0,222.0,,,,93.38300000000001,912.0,912.0,3.5060000000000002,30.0,30.0,,,
2009-01-01,77.13900000000001,642.0,642.0,,,,63.817,525.0,525.0,0.0,0.0,0.0,,,
2009-02-01,13.188,108.0,108.0,,,,40.282000000000004,333.0,333.0,0.0,0.0,0.0,,,
2009-03-01,7.793,66.0,66.0,,,,36.504000000000005,302.0,302.0,0.0,0.0,0.0,,,
2009-04-01,11.078000000000001,90.0,90.0,,,,36.615,303.0,303.0,0.0,0.0,0.0,,,
2009-05-01,7.755,66.0,66.0,,,,28.885,239.0,239.0,0.0,0.0,0.0,,,
2009-06-01,7.561,60.0,60.0,,,,64.801,536.0,536.0,0.0,0.0,0.0,,,
2009-07-01,5.882000000000001,48.0,48.0,,,,28.619,237.0,237.0,0.0,0.0,0.0,,,
2009-08-01,7.414000000000001,60.0,60.0,,,,58.847,486.0,486.0,0.0,0.0,0.0,,,
2009-09-01,5.917000000000001,48.0,48.0,,,,77.8,643.0,643.0,0.0,0.0,0.0,,,
2009-10-01,8.695,72.0,72.0,,,,47.341,391.0,391.0,0.0,0.0,0.0,,,
2009-11-01,4.2780000000000005,36.0,36.0,,,,32.735,271.0,271.0,0.0,0.0,0.0,,,
2009-12-01,11.741000000000001,96.0,96.0,,,,65.313,540.0,540.0,0.0,0.0,0.0,,,
2010-01-01,34.746,228.0,228.0,,,,169.394,1178.0,1178.0,0.0,0.0,0.0,,,
2010-02-01,22.045,156.0,156.0,,,,121.61500000000001,844.0,844.0,0.0,0.0,0.0,,,
2010-03-01,5.8340000000000005,42.0,42.0,,,,65.455,454.0,454.0,0.0,0.0,0.0,,,
2010-04-01,15.5,108.0,108.0,,,,84.256,585.0,585.0,0.0,0.0,0.0,,,
2010-05-01,23.049,162.0,162.0,,,,243.26600000000002,1688.0,1688.0,0.0,0.0,0.0,,,
2010-06-01,12.86,90.0,90.0,,,,174.538,1211.0,1211.0,0.0,0.0,0.0,,,
2010-07-01,13.5,96.0,96.0,,,,388.908,2699.0,2699.0,0.0,0.0,0.0,,,
2010-08-01,17.02,120.0,120.0,,,,408.237,2833.0,2833.0,0.0,0.0,0.0,,,
2010-09-01,17.352,120.0,120.0,,,,90.405,627.0,627.0,0.0,0.0,0.0,,,
2010-10-01,25.842000000000002,180.0,180.0,,,,159.794,1109.0,1109.0,0.0,0.0,0.0,,,
2010-11-01,11.807,84.0,84.0,,,,125.92,874.0,874.0,0.0,0.0,0.0,,,
2010-12-01,13.103,90.0,90.0,,,,117.554,816.0,816.0,0.0,0.0,0.0,,,
2011-01-01,2.847,29.0,29.0,,,,14.31,150.0,150.0,0.0,0.0,0.0,,,
2011-02-01,3.135,35.0,35.0,,,,9.545,100.0,100.0,0.0,0.0,0.0,,,
2011-03-01,5.046,52.0,52.0,,,,11.878,124.0,124.0,0.0,0.0,0.0,,,
2011-04-01,5.022,52.0,52.0,,,,8.764,92.0,92.0,0.0,0.0,0.0,,,
2011-05-01,2.371,23.0,23.0,,,,4.891,51.0,51.0,0.0,0.0,0.0,,,
2011-06-01,1.592,17.0,17.0,,,,10.738,113.0,113.0,0.0,0.0,0.0,,,
2011-07-01,3.838,41.0,41.0,,,,42.805,449.0,449.0,0.0,0.0,0.0,,,
2011-08-01,2.014,23.0,23.0,,,,24.043,252.0,252.0,0.0,0.0,0.0,,,
2011-09-01,2.573,29.0,29.0,,,,7.898,83.0,83.0,0.0,0.0,0.0,,,
2011-10-01,0.801,6.0,6.0,,,,8.311,87.0,87.0,0.0,0.0,0.0,,,
2011-11-01,4.406,46.0,46.0,,,,4.993,52.0,52.0,0.0,0.0,0.0,,,
2011-12-01,27.78,290.0,290.0,,,,12.399,130.0,130.0,0.0,0.0,0.0,,,
2012-01-01,0.247,0.0,0.0,,,,3.964,40.0,40.0,,,,,,
2012-02-01,2.465,17.0,17.0,,,,7.755,78.0,78.0,,,,,,
2012-03-01,0.585,6.0,6.0,,,,8.284,83.0,83.0,,,,,,
2012-04-01,0.615,6.0,6.0,,,,9.993,100.0,100.0,,,,,,
2012-05-01,7.791,81.0,81.0,,,,12.452,125.0,125.0,,,,,,
2012-06-01,4.003,40.0,40.0,,,,13.915,140.0,140.0,,,,,,
2012-07-01,9.736,98.0,98.0,,,,23.576,237.0,237.0,,,,,,
2012-08-01,0.943,12.0,12.0,,,,11.296,113.0,113.0,,,,,,
2012-09-01,0.66,6.0,6.0,,,,4.982,50.0,50.0,,,,,,
2012-10-01,2.082,23.0,23.0,,,,3.886,39.0,39.0,,,,,,
2012-11-01,0.865,12.0,12.0,,,,6.38,64.0,64.0,,,,,,
2012-12-01,0.51,6.0,6.0,,,,10.015,101.0,101.0,,,,,,
2013-01-01,5.247,52.0,52.0,,,,23.065,249.0,249.0,,,,,,
2013-02-01,0.527,6.0,6.0,,,,16.849,182.0,182.0,,,,,,
2013-03-01,1.403,17.0,17.0,,,,24.972,270.0,270.0,,,,,,
2013-04-01,1.512,17.0,17.0,,,,25.242,273.0,273.0,,,,,,
2013-05-01,5.251,58.0,58.0,,,,19.151,207.0,207.0,,,,,,
2013-06-01,3.988,40.0,40.0,,,,15.808,171.0,171.0,,,,,,
2013-07-01,4.577,52.0,52.0,,,,31.73,343.0,343.0,,,,,,
2013-08-01,1.425,17.0,17.0,,,,29.775,322.0,322.0,,,,,,
2013-09-01,11.431,121.0,121.0,,,,24.829,268.0,268.0,,,,,,
2013-10-01,7.051,75.0,75.0,,,,14.818,160.0,160.0,,,,,,
2013-11-01,5.3,58.0,58.0,,,,20.391,220.0,220.0,,,,,,
2013-12-01,14.327,156.0,156.0,,,,26.331,285.0,285.0,,,,,,
2014-01-01,43.812,370.0,370.0,,,,1474.491,12376.0,12376.0,,,,,,
2014-02-01,24.628,208.0,208.0,,,,723.739,6075.0,6075.0,,,,,,
2014-03-01,47.026,393.0,393.0,,,,694.599,5830.0,5830.0,,,,,,
2014-04-01,6.652,58.0,58.0,,,,603.98,5069.0,5069.0,,,,,,
2014-05-01,6.372,52.0,52.0,,,,1819.365,15271.0,15271.0,,,,,,
2014-06-01,7.528,64.0,64.0,,,,1331.299,11174.0,11174.0,,,,,,
2014-07-01,6.007,52.0,52.0,,,,902.541,7575.0,7575.0,,,,,,
2014-08-01,3.006,23.0,23.0,,,,1632.761,13704.0,13704.0,,,,,,
2014-09-01,1.846,17.0,17.0,,,,777.404,6525.0,6525.0,,,,,,
2014-10-01,5.095,40.0,40.0,,,,2309.522,19385.0,19385.0,,,,,,
2014-11-01,3.497,29.0,29.0,,,,1070.371,8984.0,8984.0,,,,,,
2014-12-01,6.361,52.0,52.0,,,,1769.098,14849.0,14849.0,,,,,,
2015-01-01,1.639,17.0,17.0,,,,721.22,6675.0,6675.0,,,,,,
2015-02-01,5.475,52.0,52.0,,,,993.511,9194.0,9194.0,,,,,,
2015-03-01,8.431,75.0,75.0,,,,1363.193,12616.0,12616.0,,,,,,
2015-04-01,1.148,12.0,12.0,,,,1295.573,11990.0,11990.0,,,,,,
2015-05-01,5.259,46.0,46.0,,,,601.099,5563.0,5563.0,,,,,,
2015-06-01,2.195,23.0,23.0,,,,1307.31,12098.0,12098.0,,,,,,
2015-07-01,2.307,23.0,23.0,,,,2039.682,18876.0,18876.0,,,,,,
2015-08-01,2.651,23.0,23.0,,,,1732.59,16034.0,16034.0,,,,,,
2015-09-01,3.928,35.0,35.0,,,,1757.568,16265.0,16265.0,,,,,,
2015-10-01,1.947,17.0,17.0,,,,960.47,8889.0,8889.0,,,,,,
2015-11-01,2.556,23.0,23.0,,,,875.598,8103.0,8103.0,,,,,,
2015-12-01,2.436,23.0,23.0,,,,1771.214,16392.0,16392.0,,,,,,
2016-01-01,4.139,46.0,46.0,,,,1407.473,12836.0,12836.0,,,,,,
2016-02-01,3.397,29.0,29.0,,,,1377.997,12566.0,12566.0,,,,,,
2016-03-01,1.505,12.0,12.0,,,,1349.945,12310.0,12310.0,,,,,,
2016-04-01,2.733,23.0,23.0,,,,1506.996,13742.0,13742.0,,,,,,
2016-05-01,3.257,29.0,29.0,,,,1526.447,13919.0,13919.0,,,,,,
2016-06-01,7.082,64.0,64.0,,,,1515.71,13822.0,13822.0,,,,,,
2016-07-01,10.731,98.0,98.0,,,,1984.366,18095.0,18095.0,,,,,,
2016-08-01,5.722,52.0,52.0,,,,2405.596,21936.0,21936.0,,,,,,
2016-09-01,2.045,17.0,17.0,,,,801.307,7307.0,7307.0,,,,,,
2016-10-01,9.478,87.0,87.0,,,,798.929,7285.0,7285.0,,,,,,
2016-11-01,3.039,29.0,29.0,,,,861.104,7852.0,7852.0,,,,,,
2016-12-01,8.989,81.0,81.0,,,,707.013,6447.0,6447.0,,,,,,
2017-01-01,4.385,40.0,40.0,,,,1551.37,14149.0,14149.0,,,,,,
2017-02-01,1.632,17.0,17.0,,,,693.826,6327.0,6327.0,,,,,,
2017-03-01,0.572,6.0,6.0,,,,2006.515,18298.0,18298.0,,,,,,
2017-04-01,4.049,35.0,35.0,,,,1772.892,16168.0,16168.0,,,,,,
2017-05-01,2.841,23.0,23.0,,,,1383.311,12615.0,12615.0,,,,,,
2017-06-01,10.834,98.0,98.0,,,,1844.849,16824.0,16824.0,,,,,,
2017-07-01,7.367,69.0,69.0,,,,2421.213,22080.0,22080.0,,,,,,
2017-08-01,3.742,35.0,35.0,,,,1513.935,13806.0,13806.0,,,,,,
2017-09-01,3.19,29.0,29.0,,,,1125.866,10267.0,10267.0,,,,,,
2017-10-01,7.03,64.0,64.0,,,,965.683,8806.0,8806.0,,,,,,
2017-11-01,3.401,29.0,29.0,,,,1058.954,9657.0,9657.0,,,,,,
2017-12-01,1.662,17.0,17.0,,,,1552.881,14161.0,14161.0,,,,,,
2018-01-01,4.218,40.0,40.0,,,,1089.891,9796.0,9796.0,,,,,,
2018-02-01,2.714,23.0,23.0,,,,1475.956,13266.0,13266.0,,,,,,
2018-03-01,3.004,29.0,29.0,,,,1919.01,17249.0,17249.0,,,,,,
2018-04-01,4.014,35.0,35.0,,,,1741.252,15651.0,15651.0,,,,,,
2018-05-01,10.585,92.0,92.0,,,,2069.658,18603.0,18603.0,,,,,,
2018-06-01,16.215,145.0,145.0,,,,2356.502,21181.0,21181.0,,,,,,
2018-07-01,3.531,29.0,29.0,,,,3240.717,29129.0,29129.0,,,,,,
2018-08-01,9.48,87.0,87.0,,,,2989.684,26873.0,26873.0,,,,,,
2018-09-01,7.632,69.0,69.0,,,,2134.374,19185.0,19185.0,,,,,,
2018-10-01,10.755,98.0,98.0,,,,942.275,8470.0,8470.0,,,,,,
2018-11-01,4.56,40.0,40.0,,,,1158.741,10415.0,10415.0,,,,,,
2018-12-01,2.387,23.0,23.0,,,,986.845,8870.0,8870.0,,,,,,
2019-01-01,9.575,81.0,81.0,,,,554.885,4955.0,4955.0,,,,,,
2019-02-01,30.566,270.0,270.0,,,,907.836,8107.0,8107.0,,,,,,
2019-03-01,7.207,63.0,63.0,,,,840.691,7508.0,7508.0,,,,,,
2019-04-01,23.503,213.0,213.0,,,,937.775,8375.0,8375.0,,,,,,
2019-05-01,39.759,357.0,357.0,,,,770.663,6882.0,6882.0,,,,,,
2019-06-01,18.548,167.0,167.0,,,,1029.864,9197.0,9197.0,,,,,,
2019-07-01,10.693,98.0,98.0,,,,1325.132,11834.0,11834.0,,,,,,
2019-08-01,13.144,115.0,115.0,,,,1359.549,12141.0,12141.0,,,,,,
2019-09-01,24.669,219.0,219.0,,,,1043.504,9319.0,9319.0,,,,,,
2019-10-01,42.829,385.0,385.0,,,,1007.419,8996.0,8996.0,,,,,,
2019-11-01,30.828,276.0,276.0,,,,853.222,7619.0,7619.0,,,,,,
2019-12-01,19.753,178.0,178.0,,,,1122.386,10023.0,10023.0,,,,,,
2020-01-01,2.487,17.0,17.0,,,,1790.947,15375.0,15375.0,,,,,,
2020-02-01,3.268,29.0,29.0,,,,1259.493,10812.0,10812.0,,,,,,
2020-03-01,0.294,0.0,0.0,,,,1221.897,10490.0,10490.0,,,,,,
2020-04-01,1.35,12.0,12.0,,,,1104.374,9481.0,9481.0,,,,,,
2020-05-01,8.593,75.0,75.0,,,,876.474,7524.0,7524.0,,,,,,
2020-06-01,5.693,46.0,46.0,,,,1299.941,11160.0,11160.0,,,,,,
2020-07-01,2.38,23.0,23.0,,,,1717.507,14744.0,14744.0,,,,,,
2020-08-01,10.046,86.0,86.0,,,,1280.234,10990.0,10990.0,,,,,,
2020-09-01,2.478,23.0,23.0,,,,785.862,6746.0,6746.0,,,,,,
2020-10-01,3.051,29.0,29.0,,,,1098.135,9427.0,9427.0,,,,,,
2020-11-01,1.742,17.0,17.0,,,,853.535,7327.0,7327.0,,,,,,
2020-12-01,6.174,52.0,52.0,,,,1348.045,11573.0,11573.0,,,,,,
2021-01-01,25.355,276.0,276.0,,,,1331.008,14765.0,14765.0,,,,,,
2021-02-01,22.074,247.0,247.0,,,,920.591,10211.0,10211.0,,,,,,
2021-03-01,7.299,81.0,81.0,,,,903.387,10020.0,10020.0,,,,,,
2021-04-01,51.642,575.0,575.0,,,,862.117,9563.0,9563.0,,,,,,
2021-05-01,11.531,127.0,127.0,,,,1125.512,12485.0,12485.0,,,,,,
2021-06-01,48.767,541.0,541.0,,,,1338.132,14842.0,14842.0,,,,,,
2021-07-01,15.282,167.0,167.0,,,,1705.111,18913.0,18913.0,,,,,,
2021-08-01,13.927,155.0,155.0,,,,1546.56,17154.0,17154.0,,,,,,
2021-09-01,12.321,138.0,138.0,,,,1013.467,11241.0,11241.0,,,,,,
2021-10-01,27.377,305.0,305.0,,,,1444.489,16023.0,16023.0,,,,,,
2021-11-01,23.265,259.0,259.0,,,,1470.481,16311.0,16311.0,,,,,,
2021-12-01,34.769,386.0,386.0,,,,1598.536,17731.0,17731.0,,,,,,
2022-01-01,5.064,52.0,52.0,,,,1141.585,12027.0,12027.0,,,,,,
2022-02-01,8.09,86.0,86.0,,,,866.948,9134.0,9134.0,,,,,,
2022-03-01,7.334,75.0,75.0,,,,600.546,6327.0,6327.0,,,,,,
2022-04-01,3.98,40.0,40.0,,,,659.44,6947.0,6947.0,,,,,,
2022-05-01,6.366,69.0,69.0,,,,616.421,6494.0,6494.0,,,,,,
2022-06-01,13.133,138.0,138.0,,,,954.745,10059.0,10059.0,,,,,,
2022-07-01,5.016,52.0,52.0,,,,1317.37,13879.0,13879.0,,,,,,
2022-08-01,14.021,150.0,150.0,,,,1361.829,14348.0,14348.0,,,,,,
2022-09-01,21.053,224.0,224.0,,,,1096.182,11548.0,11548.0,,,,,,
2022-10-01,18.154,190.0,190.0,,,,775.059,8166.0,8166.0,,,,,,
2022-11-01,11.606,121.0,121.0,,,,457.881,4824.0,4824.0,,,,,,
2022-12-01,11.802,127.0,127.0,,,,743.375,7831.0,7831.0,,,,,,
2023-01-01,6.011,69.0,69.0,,,,806.862,9461.0,9461.0,,,,,,
2023-02-01,4.185,52.0,52.0,,,,458.557,5376.0,5376.0,,,,,,
2023-03-01,4.186,52.0,52.0,,,,1138.61,13349.0,13349.0,,,,,,
2023-04-01,4.863,58.0,58.0,,,,754.822,8849.0,8849.0,,,,,,
2023-05-01,3.06,35.0,35.0,,,,651.392,7637.0,7637.0,,,,,,
2023-06-01,7.748,92.0,92.0,,,,1581.482,18541.0,18541.0,,,,,,
2023-07-01,4.581,52.0,52.0,,,,1714.883,20106.0,20106.0,,,,,,
2023-08-01,7.121,86.0,86.0,,,,1514.051,17751.0,17751.0,,,,,,
2023-09-01,3.149,35.0,35.0,,,,1074.067,12592.0,12592.0,,,,,,
2023-10-01,3.305,40.0,40.0,,,,732.2,8584.0,8584.0,,,,,,
2023-11-01,6.571,75.0,75.0,,,,1058.557,12410.0,12410.0,,,,,,
2023-12-01,2.151,23.0,23.0,,,,1411.586,16549.0,16549.0,,,,,,
2024-01-01,15.508,150.0,150.0,,,,532.429,5145.0,5145.0,,,,,,
2024-02-01,6.629,63.0,63.0,,,,479.748,4633.0,4633.0,,,,,,
2024-03-01,7.306,69.0,69.0,,,,489.977,4732.0,4732.0,,,,,,
2024-04-01,12.487,121.0,121.0,,,,315.244,3045.0,3045.0,,,,,,
2024-05-01,16.942,162.0,162.0,,,,371.364,3587.0,3587.0,,,,,,
2024-06-01,5.954,58.0,58.0,,,,443.181,4281.0,4281.0,,,,,,
2024-07-01,15.926,156.0,156.0,,,,742.721,7173.0,7173.0,,,,,,
2024-08-01,18.924,185.0,185.0,,,,694.327,6706.0,6706.0,,,,,,
2024-09-01,10.901,104.0,104.0,,,,447.702,4324.0,4324.0,,,,,,
2024-10-01,5.313,52.0,52.0,,,,318.164,3073.0,3073.0,,,,,,
