measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-12-01,16244.64,271251.0,271251.0,0.0,0.0,0.0,784.461,13099.0,13099.0,,,,4216.898,70413.0,70413.0,,,
2008-01-01,28177.918,372922.0,372922.0,0.0,0.0,0.0,1075.9360000000001,14240.0,14240.0,433.146,5732.0,5732.0,,,,,,
2008-02-01,32164.779,417396.0,417396.0,0.0,0.0,0.0,839.469,10894.0,10894.0,782.7520000000001,10158.0,10158.0,,,,,,
2008-03-01,23488.843,297657.0,297657.0,0.0,0.0,0.0,1499.803,19006.0,19006.0,476.355,6036.0,6036.0,,,,,,
2008-04-01,14526.509,195808.0,195808.0,0.0,0.0,0.0,1101.7920000000001,14851.0,14851.0,314.699,4242.0,4242.0,,,,,,
2008-05-01,7228.108,106778.0,106778.0,0.0,0.0,0.0,1161.808,17163.0,17163.0,121.084,1789.0,1789.0,,,,,,
2008-06-01,13030.824,196442.0,196442.0,0.0,0.0,0.0,1411.848,21284.0,21284.0,71.328,1075.0,1075.0,,,,,,
2008-07-01,22875.145,318983.0,318983.0,0.0,0.0,0.0,2330.717,32501.0,32501.0,219.138,3056.0,3056.0,,,,,,
2008-08-01,17527.386,256168.0,256168.0,0.0,0.0,0.0,1716.488,25087.0,25087.0,151.126,2209.0,2209.0,,,,,,
2008-09-01,8515.826000000001,131910.0,131910.0,0.0,0.0,0.0,1759.96,27262.0,27262.0,106.214,1645.0,1645.0,,,,,,
2008-10-01,5156.437,84350.0,84350.0,0.0,0.0,0.0,907.152,14839.0,14839.0,43.410000000000004,710.0,710.0,,,,,,
2008-11-01,2685.722,49957.0,49957.0,0.0,0.0,0.0,886.278,16486.0,16486.0,0.0,0.0,0.0,,,,,,
2008-12-01,4514.992,69218.0,69218.0,0.0,0.0,0.0,402.00800000000004,6163.0,6163.0,0.0,0.0,0.0,,,,,,
2009-01-01,8384.504,123593.0,123593.0,0.0,0.0,0.0,833.4960000000001,12286.0,12286.0,0.0,0.0,0.0,,,,,,
2009-02-01,1313.391,24700.0,24700.0,0.0,0.0,0.0,129.609,2437.0,2437.0,0.0,0.0,0.0,,,,,,
2009-03-01,235.287,11218.0,11218.0,0.0,0.0,0.0,45.713,2180.0,2180.0,0.0,0.0,0.0,,,,,,
2009-04-01,-161.334,0.0,0.0,0.0,0.0,0.0,-161.333,0.0,0.0,-161.333,0.0,0.0,,,,,,
2009-05-01,2051.6440000000002,34498.0,34498.0,0.0,0.0,0.0,273.356,4596.0,4596.0,0.0,0.0,0.0,,,,,,
2009-06-01,479.38300000000004,11686.0,11686.0,0.0,0.0,0.0,554.6170000000001,13520.0,13520.0,0.0,0.0,0.0,,,,,,
2009-07-01,45.441,4128.0,4128.0,0.0,0.0,0.0,110.55900000000001,10044.0,10044.0,0.0,0.0,0.0,,,,,,
2009-08-01,47.994,5026.0,5026.0,0.0,0.0,0.0,101.006,10578.0,10578.0,0.0,0.0,0.0,,,,,,
2009-09-01,4724.341,69104.0,69104.0,0.0,0.0,0.0,1718.659,25139.0,25139.0,0.0,0.0,0.0,,,,,,
2009-10-01,-235.27800000000002,1996.0,1996.0,0.0,0.0,0.0,-109.72200000000001,931.0,931.0,0.0,0.0,0.0,,,,,,
2009-11-01,-150.886,2066.0,2066.0,0.0,0.0,0.0,-92.114,1261.0,1261.0,0.0,0.0,0.0,,,,,,
2009-12-01,2304.476,38679.0,38679.0,0.0,0.0,0.0,382.524,6420.0,6420.0,0.0,0.0,0.0,,,,,,
2010-01-01,3563.5750000000003,59230.0,59230.0,0.0,0.0,0.0,454.425,7553.0,7553.0,,,,,,,,,
2010-02-01,1011.148,21230.0,21230.0,0.0,0.0,0.0,137.852,2894.0,2894.0,,,,,,,,,
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-448.0,1338.0,1338.0,,,,,,,,,
2010-04-01,-411.523,0.0,0.0,0.0,0.0,0.0,-103.477,0.0,0.0,,,,,,,,,
2010-05-01,365.69800000000004,6853.0,6853.0,0.0,0.0,0.0,1363.3020000000001,25548.0,25548.0,,,,,,,,,
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1488.0,32302.0,32302.0,,,,,,,,,
2010-07-01,2423.001,41394.0,41394.0,0.0,0.0,0.0,4673.999,79849.0,79849.0,,,,,,,,,
2010-08-01,4851.561000000001,78579.0,78579.0,0.0,0.0,0.0,5788.439,93753.0,93753.0,,,,,,,,,
2010-09-01,2208.6,39451.0,39451.0,0.0,0.0,0.0,610.4,10903.0,10903.0,,,,,,,,,
2010-10-01,-456.271,0.0,0.0,0.0,0.0,0.0,-114.729,0.0,0.0,,,,,,,,,
2010-11-01,-396.341,0.0,0.0,0.0,0.0,0.0,-99.659,0.0,0.0,,,,,,,,,
2010-12-01,-463.463,0.0,0.0,0.0,0.0,0.0,-116.537,0.0,0.0,,,,,,,,,
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-519.0,7894.0,7894.0,,,,,,,,,
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-479.0,6858.0,6858.0,,,,,,,,,
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-482.0,6659.0,6659.0,,,,,,,,,
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-224.0,11842.0,11842.0,,,,,,,,,
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,795.0,25595.0,25595.0,,,,,,,,,
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,2621.0,52523.0,52523.0,,,,,,,,,
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,15026.0,248760.0,248760.0,,,,,,,,,
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4193.0,83230.0,83230.0,,,,,,,,,
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,524.0,15606.0,15606.0,,,,,,,,,
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-232.0,4155.0,4155.0,,,,,,,,,
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-103.0,6490.0,6490.0,,,,,,,,,
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-203.0,5800.0,5800.0,,,,,,,,,
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-432.0,1713.0,1713.0,,,,,,,,,
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-254.0,2092.0,2092.0,,,,,,,,,
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,5848.0,5848.0,,,,,,,,,
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1515.0,33214.0,33214.0,,,,,,,,,
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,14149.0,200458.0,200458.0,,,,,,,,,
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,6447.0,89479.0,89479.0,,,,,,,,,
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,21935.0,293473.0,293473.0,,,,,,,,,
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,3645.0,62952.0,62952.0,,,,,,,,,
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1577.0,25348.0,25348.0,,,,,,,,,
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-206.0,2921.0,2921.0,,,,,,,,,
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-133.0,4332.0,4332.0,,,,,,,,,
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-395.0,0.0,0.0,,,,,,,,,
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-390.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-352.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6862.0,6862.0,0.0,0.0,0.0,,,,,,
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,995.0,25692.0,25692.0,0.0,0.0,0.0,,,,,,
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,582.0,15232.0,15232.0,0.0,0.0,0.0,,,,,,
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,6036.0,6036.0,0.0,0.0,0.0,,,,,,
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,3859.0,60753.0,60753.0,0.0,0.0,0.0,,,,,,
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2293.0,41720.0,41720.0,0.0,0.0,0.0,,,,,,
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,28994.0,28994.0,0.0,0.0,0.0,,,,,,
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1052.0,22060.0,22060.0,0.0,0.0,0.0,,,,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5471.0,5471.0,0.0,0.0,0.0,,,,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,688.0,18123.0,18123.0,0.0,0.0,0.0,,,,,,
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1262.0,25826.0,25826.0,0.0,0.0,0.0,,,,,,
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,36704.0,36704.0,0.0,0.0,0.0,,,,,,
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,269.0,10743.0,10743.0,0.0,0.0,0.0,,,,,,
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-380.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-341.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-187.0,3140.0,3140.0,0.0,0.0,0.0,,,,,,
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,5393.0,5393.0,0.0,0.0,0.0,,,,,,
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,-363.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-328.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-329.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-294.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-263.0,1726.0,1726.0,0.0,0.0,0.0,,,,,,
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,175.0,9299.0,9299.0,,,,,,,,,
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,2162.0,34648.0,34648.0,,,,,,,,,
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-355.0,8.0,8.0,,,,,,,,,
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-326.0,0.0,0.0,,,,,,,,,
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,12803.0,165598.0,165598.0,,,,,,,,,
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,5205.0,81999.0,81999.0,,,,,,,,,
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,13089.0,181463.0,181463.0,,,,,,,,,
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,5127.0,77546.0,77546.0,,,,,,,,,
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,9732.0,136555.0,136555.0,,,,,,,,,
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,4576.0,68352.0,68352.0,,,,,,,,,
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-328.0,3.0,3.0,,,,,,,,,
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-339.0,0.0,0.0,,,,,,,,,
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-370.0,0.0,0.0,,,,,,,,,
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-335.0,0.0,0.0,,,,,,,,,
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5837.0,5837.0,,,,,,,,,
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,14231.0,185074.0,185074.0,,,,,,,,,
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,20479.0,264402.0,264402.0,,,,,,,,,
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,28043.0,362098.0,362098.0,,,,,,,,,
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,14009.0,198608.0,198608.0,,,,,,,,,
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,15328.0,213530.0,213530.0,,,,,,,,,
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4044.0,66187.0,66187.0,,,,,,,,,
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,806.0,18091.0,18091.0,,,,,,,,,
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-296.0,1279.0,1279.0,,,,,,,,,
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,870.0,18147.0,18147.0,,,,,,,,,
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-320.0,0.0,0.0,,,,,,,,,
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-307.0,0.0,0.0,,,,,,,,,
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,2075.0,39799.0,39799.0,,,,,,,,,
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,310.0,12392.0,12392.0,,,,,,,,,
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1270.0,27796.0,27796.0,,,,,,,,,
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,595.0,15948.0,15948.0,,,,,,,,,
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,5265.0,89982.0,89982.0,,,,,,,,,
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,1676.0,36220.0,36220.0,,,,,,,,,
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4555.0,67122.0,67122.0,,,,,,,,,
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1337.0,28953.0,28953.0,,,,,,,,,
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-233.0,2858.0,2858.0,,,,,,,,,
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,3500.0,3500.0,,,,,,,,,
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4631.0,69647.0,69647.0,,,,,,,,,
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-334.0,1975.0,1975.0,,,,,,,,,
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-322.0,53.0,53.0,,,,,,,,,
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2978.0,51195.0,51195.0,,,,,,,,,
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,6327.0,97339.0,97339.0,,,,,,,,,
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,4741.0,74942.0,74942.0,,,,,,,,,
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,7869.0,119412.0,119412.0,,,,,,,,,
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,-283.0,0.0,0.0,,,,,,,,,
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,0.0,0.0,,,,,,,,,
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6355.0,6355.0,,,,,,,,,
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-286.0,0.0,0.0,,,,,,,,,
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1213.0,21477.0,21477.0,,,,,,,,,
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,4222.0,4222.0,,,,,,,,,
