measured_on,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2009-09-01,2345.482,29905.0,29905.0,2153.7090000000003,67163.0,67163.0,,,
2009-10-01,2408.217,30705.0,30705.0,2211.3140000000003,68959.0,68959.0,,,
2009-11-01,2309.589,29447.0,29447.0,2120.75,66135.0,66135.0,,,
2009-12-01,2413.447,30772.0,30772.0,2216.117,69109.0,69109.0,,,
2010-01-01,2300.665,29255.0,29255.0,1870.286,69149.0,69149.0,,,
2010-02-01,2034.804,25874.0,25874.0,1654.159,61158.0,61158.0,,,
2010-03-01,1978.582,25159.0,25159.0,1608.4540000000002,59469.0,59469.0,,,
2010-04-01,2047.7040000000002,26038.0,26038.0,1664.6460000000002,61546.0,61546.0,,,
2010-05-01,2090.746,26585.0,26585.0,1699.6360000000002,62840.0,62840.0,,,
2010-06-01,2355.806,29956.0,29956.0,1915.112,70806.0,70806.0,,,
2010-07-01,2461.8340000000003,31304.0,31304.0,2001.305,73993.0,73993.0,,,
2010-08-01,2476.618,31492.0,31492.0,2013.324,74438.0,74438.0,,,
2010-09-01,2335.9700000000003,29704.0,29704.0,1898.987,70210.0,70210.0,,,
2010-10-01,2230.52,28363.0,28363.0,1813.2630000000001,67041.0,67041.0,,,
2010-11-01,2358.322,29988.0,29988.0,1917.1570000000002,70882.0,70882.0,,,
2010-12-01,2190.429,27853.0,27853.0,1780.671,65836.0,65836.0,,,
2011-01-01,81.364,978.0,978.0,3631.537,65895.0,65895.0,,,
2011-02-01,81.057,975.0,975.0,3617.869,65648.0,65648.0,,,
2011-03-01,85.981,1034.0,1034.0,3837.617,69635.0,69635.0,,,
2011-04-01,81.557,981.0,981.0,3640.196,66053.0,66053.0,,,
2011-05-01,85.898,1033.0,1033.0,3833.954,69569.0,69569.0,,,
2011-06-01,83.418,1004.0,1004.0,3723.263,67560.0,67560.0,,,
2011-07-01,88.082,1060.0,1060.0,3931.41,71337.0,71337.0,,,
2011-08-01,89.903,1081.0,1081.0,4012.68,72812.0,72812.0,,,
2011-09-01,85.781,1032.0,1032.0,3828.73,69474.0,69474.0,,,
2011-10-01,81.729,983.0,983.0,3647.835,66191.0,66191.0,,,
2011-11-01,80.828,972.0,972.0,3607.642,65462.0,65462.0,,,
2011-12-01,81.402,979.0,979.0,3633.267,65927.0,65927.0,,,
2012-01-01,0.0,0.0,0.0,3624.338,64905.0,64905.0,,,
2012-02-01,0.0,0.0,0.0,3568.436,63904.0,63904.0,,,
2012-03-01,0.0,0.0,0.0,3421.983,61282.0,61282.0,,,
2012-04-01,0.0,0.0,0.0,3215.02,57575.0,57575.0,,,
2012-05-01,0.0,0.0,0.0,3334.513,59715.0,59715.0,,,
2012-06-01,0.0,0.0,0.0,2893.383,51815.0,51815.0,,,
2012-07-01,0.0,0.0,0.0,3117.006,55820.0,55820.0,,,
2012-08-01,0.0,0.0,0.0,3604.395,64548.0,64548.0,,,
2012-09-01,0.0,0.0,0.0,3546.401,63510.0,63510.0,,,
2012-10-01,0.0,0.0,0.0,3559.663,63747.0,63747.0,,,
2012-11-01,0.0,0.0,0.0,3892.809,69713.0,69713.0,,,
2012-12-01,0.0,0.0,0.0,3901.053,69861.0,69861.0,,,
2013-01-01,,,,3595.93,62871.0,62871.0,,,
2013-02-01,,,,3239.543,56640.0,56640.0,,,
2013-03-01,,,,3480.298,60850.0,60850.0,,,
2013-04-01,,,,3158.674,55226.0,55226.0,,,
2013-05-01,,,,3503.657,61258.0,61258.0,,,
2013-06-01,,,,3411.927,59654.0,59654.0,,,
2013-07-01,,,,3508.792,61348.0,61348.0,,,
2013-08-01,,,,3876.955,67785.0,67785.0,,,
2013-09-01,,,,3536.572,61834.0,61834.0,,,
2013-10-01,,,,3860.975,67505.0,67505.0,,,
2013-11-01,,,,3839.261,67126.0,67126.0,,,
2013-12-01,,,,4008.416,70083.0,70083.0,,,
2014-01-01,,,,4181.196,72383.0,72383.0,,,
2014-02-01,,,,3649.274,63174.0,63174.0,,,
2014-03-01,,,,3813.751,66021.0,66021.0,,,
2014-04-01,,,,3349.214,57980.0,57980.0,,,
2014-05-01,,,,3450.903,59740.0,59740.0,,,
2014-06-01,,,,3660.192,63363.0,63363.0,,,
2014-07-01,,,,3661.192,63381.0,63381.0,,,
2014-08-01,,,,3588.425,62121.0,62121.0,,,
2014-09-01,,,,3616.939,62614.0,62614.0,,,
2014-10-01,,,,3635.094,62929.0,62929.0,,,
2014-11-01,,,,3121.236,54033.0,54033.0,,,
2014-12-01,,,,3327.584,57605.0,57605.0,,,
2015-01-01,,,,3759.147,62392.0,62392.0,,,
2015-02-01,,,,3496.861,58039.0,58039.0,,,
2015-03-01,,,,3644.5,60489.0,60489.0,,,
2015-04-01,,,,3218.191,53414.0,53414.0,,,
2015-05-01,,,,3514.955,58339.0,58339.0,,,
2015-06-01,,,,3950.464,65567.0,65567.0,,,
2015-07-01,,,,4026.211,66824.0,66824.0,,,
2015-08-01,,,,3878.352,64370.0,64370.0,,,
2015-09-01,,,,3795.907,63002.0,63002.0,,,
2015-10-01,,,,3654.659,60658.0,60658.0,,,
2015-11-01,,,,3386.667,56210.0,56210.0,,,
2015-12-01,,,,3858.086,64034.0,64034.0,,,
2016-01-01,,,,4172.493,73315.0,73315.0,,,
2016-02-01,,,,3946.691,69347.0,69347.0,,,
2016-03-01,,,,3632.974,63835.0,63835.0,,,
2016-04-01,,,,3590.49,63088.0,63088.0,,,
2016-05-01,,,,4209.628,73967.0,73967.0,,,
2016-06-01,,,,4152.513,72963.0,72963.0,,,
2016-07-01,,,,4010.111,70461.0,70461.0,,,
2016-08-01,,,,3879.397,68165.0,68165.0,,,
2016-09-01,,,,4098.048,72006.0,72006.0,,,
2016-10-01,,,,3989.857,70105.0,70105.0,,,
2016-11-01,,,,4070.524,71523.0,71523.0,,,
2016-12-01,,,,4038.274,70956.0,70956.0,,,
2017-01-01,,,,4016.878,67675.0,67675.0,,,
2017-02-01,,,,3633.868,61223.0,61223.0,,,
2017-03-01,,,,4069.324,68559.0,68559.0,,,
2017-04-01,,,,3657.915,61628.0,61628.0,,,
2017-05-01,,,,3986.803,67169.0,67169.0,,,
2017-06-01,,,,4080.208,68743.0,68743.0,,,
2017-07-01,,,,4045.658,68161.0,68161.0,,,
2017-08-01,,,,4058.165,68372.0,68372.0,,,
2017-09-01,,,,3805.505,64115.0,64115.0,,,
2017-10-01,,,,3210.734,54094.0,54094.0,,,
2017-11-01,,,,3832.889,64576.0,64576.0,,,
2017-12-01,,,,4221.053,71116.0,71116.0,,,
2018-01-01,,,,3845.843,64774.0,64774.0,,,
2018-02-01,,,,3594.037,60533.0,60533.0,,,
2018-03-01,,,,3569.06,60112.0,60112.0,,,
2018-04-01,,,,3390.32,57101.0,57101.0,,,
2018-05-01,,,,3468.137,58412.0,58412.0,,,
2018-06-01,,,,3472.115,58479.0,58479.0,,,
2018-07-01,,,,3727.056,62773.0,62773.0,,,
2018-08-01,,,,3883.882,65414.0,65414.0,,,
2018-09-01,,,,3754.185,63230.0,63230.0,,,
2018-10-01,,,,3783.347,63721.0,63721.0,,,
2018-11-01,,,,3709.58,62479.0,62479.0,,,
2018-12-01,,,,3945.438,66451.0,66451.0,,,
2019-01-01,,,,3790.917,60634.0,60634.0,0.0,0.0,0.0
2019-02-01,,,,3468.725,55481.0,55481.0,0.0,0.0,0.0
2019-03-01,,,,3843.169,61470.0,61470.0,0.0,0.0,0.0
2019-04-01,,,,3565.449,57028.0,57028.0,0.0,0.0,0.0
2019-05-01,,,,3317.244,53058.0,53058.0,0.0,0.0,0.0
2019-06-01,,,,3370.052,53902.0,53902.0,0.0,0.0,0.0
2019-07-01,,,,3718.65,59478.0,59478.0,0.0,0.0,0.0
2019-08-01,,,,3879.535,62051.0,62051.0,0.0,0.0,0.0
2019-09-01,,,,3571.669,57127.0,57127.0,0.0,0.0,0.0
2019-10-01,,,,3180.014,50863.0,50863.0,0.0,0.0,0.0
2019-11-01,,,,3458.554,55318.0,55318.0,0.0,0.0,0.0
2019-12-01,,,,3732.022,59692.0,59692.0,0.0,0.0,0.0
2020-01-01,,,,3894.356,66861.0,66861.0,7.676,132.0,132.0
2020-02-01,,,,3503.035,60142.0,60142.0,6.78,116.0,116.0
2020-03-01,,,,3691.173,63372.0,63372.0,7.526,130.0,130.0
2020-04-01,,,,3454.601,59310.0,59310.0,5.322,91.0,91.0
2020-05-01,,,,3669.752,63004.0,63004.0,5.004,86.0,86.0
2020-06-01,,,,3382.326,58070.0,58070.0,7.04,121.0,121.0
2020-07-01,,,,3798.753,65219.0,65219.0,9.848,169.0,169.0
2020-08-01,,,,3626.878,62268.0,62268.0,12.246,211.0,211.0
2020-09-01,,,,3597.447,61763.0,61763.0,10.665,184.0,184.0
2020-10-01,,,,3462.209,59441.0,59441.0,11.076,190.0,190.0
2020-11-01,,,,3485.546,59842.0,59842.0,8.847,151.0,151.0
2020-12-01,,,,3113.088,53447.0,53447.0,9.806,168.0,168.0
2021-01-01,,,,3721.495,63693.0,63693.0,1.413,24.0,24.0
2021-02-01,,,,3456.541,59159.0,59159.0,1.198,21.0,21.0
2021-03-01,,,,3860.186,66068.0,66068.0,1.288,22.0,22.0
2021-04-01,,,,3202.972,54819.0,54819.0,1.143,20.0,20.0
2021-05-01,,,,3466.953,59337.0,59337.0,1.195,21.0,21.0
2021-06-01,,,,3562.223,60968.0,60968.0,1.634,28.0,28.0
2021-07-01,,,,3461.733,59248.0,59248.0,2.254,38.0,38.0
2021-08-01,,,,3439.549,58868.0,58868.0,2.058,35.0,35.0
2021-09-01,,,,3490.653,59743.0,59743.0,1.751,30.0,30.0
2021-10-01,,,,3419.626,58527.0,58527.0,1.67,29.0,29.0
2021-11-01,,,,3369.198,57664.0,57664.0,1.534,26.0,26.0
2021-12-01,,,,3376.149,57783.0,57783.0,1.584,27.0,27.0
2022-01-01,,,,3651.16,64252.0,64252.0,4.088,72.0,72.0
2022-02-01,,,,3233.43,56901.0,56901.0,3.395,60.0,60.0
2022-03-01,,,,3488.799,61395.0,61395.0,3.141,55.0,55.0
2022-04-01,,,,2715.215,47782.0,47782.0,3.218,57.0,57.0
2022-05-01,,,,2802.729,49322.0,49322.0,2.953,52.0,52.0
2022-06-01,,,,3112.701,54777.0,54777.0,4.016,71.0,71.0
2022-07-01,,,,3346.711,58894.0,58894.0,5.365,94.0,94.0
2022-08-01,,,,3520.652,61955.0,61955.0,6.474,114.0,114.0
2022-09-01,,,,3412.65,60055.0,60055.0,5.933,105.0,105.0
2022-10-01,,,,3435.278,60453.0,60453.0,5.449,95.0,95.0
2022-11-01,,,,2917.212,51336.0,51336.0,5.004,88.0,88.0
2022-12-01,,,,3325.896,58528.0,58528.0,5.531,97.0,97.0
2023-01-01,,,,3044.864,53633.0,53633.0,22.492,398.0,398.0
2023-02-01,,,,2957.026,52085.0,52085.0,19.16,337.0,337.0
2023-03-01,,,,3124.262,55031.0,55031.0,18.415,324.0,324.0
2023-04-01,,,,2978.177,52458.0,52458.0,14.386,253.0,253.0
2023-05-01,,,,3655.015,64380.0,64380.0,9.318,164.0,164.0
2023-06-01,,,,3267.597,57556.0,57556.0,12.258,216.0,216.0
2023-07-01,,,,3410.853,60079.0,60079.0,28.375,500.0,500.0
2023-08-01,,,,3662.772,64517.0,64517.0,28.631,504.0,504.0
2023-09-01,,,,3413.227,60121.0,60121.0,20.266,357.0,357.0
2023-10-01,,,,3217.359,56671.0,56671.0,24.748,436.0,436.0
2023-11-01,,,,3271.022,57616.0,57616.0,23.248,409.0,409.0
2023-12-01,,,,3690.355,65003.0,65003.0,26.174,461.0,461.0
2024-01-01,,,,2676.794,48293.0,48293.0,5.734,104.0,104.0
2024-02-01,,,,2329.841,42034.0,42034.0,3.89,70.0,70.0
2024-03-01,,,,2794.183,50411.0,50411.0,2.785,50.0,50.0
2024-04-01,,,,2289.605,41308.0,41308.0,2.37,43.0,43.0
2024-05-01,,,,2702.663,48760.0,48760.0,2.133,38.0,38.0
2024-06-01,,,,2521.747,45496.0,45496.0,3.281,59.0,59.0
2024-07-01,,,,2613.827,47157.0,47157.0,6.304,114.0,114.0
2024-08-01,,,,2641.521,47657.0,47657.0,5.476,99.0,99.0
2024-09-01,,,,2532.803,45696.0,45696.0,4.823,87.0,87.0
2024-10-01,,,,2451.045,44221.0,44221.0,5.053,91.0,91.0
2024-11-01,,,,2614.092,47162.0,47162.0,4.069,73.0,73.0
2024-12-01,,,,2734.495,49335.0,49335.0,4.466,81.0,81.0
