measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,"Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2004-07-01,,,,,,,20.021,199.0,199.0,,,,,,,,,,1112.904,11039.0,11039.0,242.251,3048.0,3048.0,,,,6770.97,85197.0,85197.0
2004-08-01,,,,,,,310.644,3081.0,3081.0,,,,,,,,,,981.9620000000001,9741.0,9741.0,46.884,590.0,590.0,,,,5388.1720000000005,67797.0,67797.0
2004-09-01,,,,,,,97.548,968.0,968.0,,,,,,,,,,968.4910000000001,9607.0,9607.0,15.459000000000001,195.0,195.0,,,,3927.4440000000004,49418.0,49418.0
2004-10-01,,,,,,,127.27600000000001,1263.0,1263.0,,,,,,,,,,746.7030000000001,7407.0,7407.0,215.12900000000002,2707.0,2707.0,,,,2821.022,35496.0,35496.0
2004-11-01,,,,,,,121.456,1205.0,1205.0,,,,,,,,,,317.601,3150.0,3150.0,129.703,1632.0,1632.0,,,,5692.462,71626.0,71626.0
2004-12-01,,,,,,,562.2080000000001,5577.0,5577.0,,,,,,,,,,1124.277,11152.0,11152.0,211.33100000000002,2659.0,2659.0,,,,8199.735,103174.0,103174.0
2005-01-01,,,,,,,544.2610000000001,6131.33,6131.33,,,,0.0,0.0,0.0,,,,2235.495,25703.74,25703.74,766.155,9258.73,9258.73,,,,12301.738000000001,148529.59,148529.59
2005-02-01,,,,,,,125.278,1411.31,1411.31,,,,0.0,0.0,0.0,,,,1981.825,22787.04,22787.04,679.217,8208.1,8208.1,,,,5022.441,60640.3,60640.3
2005-03-01,,,,,,,107.504,1211.07,1211.07,,,,0.0,0.0,0.0,,,,2364.96,27192.33,27192.33,810.5260000000001,9794.93,9794.93,,,,6911.644,83450.29,83450.29
2005-04-01,,,,,,,107.565,1211.76,1211.76,,,,0.0,0.0,0.0,,,,2424.664,27878.81,27878.81,830.988,10042.21,10042.21,,,,3990.599,48181.98,48181.98
2005-05-01,,,,,,,108.452,1221.75,1221.75,,,,0.0,0.0,0.0,,,,1966.9830000000002,22616.39,22616.39,674.13,8146.64,8146.64,,,,1638.912,19788.0,19788.0
2005-06-01,,,,,,,131.374,1479.99,1479.99,,,,0.0,0.0,0.0,,,,3346.42,38477.16,38477.16,1146.894,13859.83,13859.83,,,,9188.34,110938.83,110938.83
2005-07-01,,,,,,,248.80800000000002,2802.92,2802.92,,,,0.0,0.0,0.0,,,,4312.332,49583.24,49583.24,1477.935,17860.35,17860.35,,,,11199.755000000001,135224.39,135224.39
2005-08-01,,,,,,,220.371,2482.58,2482.58,,,,0.0,0.0,0.0,,,,4610.529,53011.9,53011.9,1580.134,19095.38,19095.38,,,,13180.927,159144.8,159144.8
2005-09-01,,,,,,,122.62,1381.36,1381.36,,,,0.0,0.0,0.0,,,,3049.907,35067.86,35067.86,1045.2730000000001,12631.77,12631.77,,,,10293.001,124276.36,124276.36
2005-10-01,,,,,,,171.915,1936.69,1936.69,,,,0.0,0.0,0.0,,,,2109.17,24251.25,24251.25,722.861,8735.53,8735.53,,,,9429.87,113855.03,113855.03
2005-11-01,,,,,,,115.76,1304.09,1304.09,,,,0.0,0.0,0.0,,,,1893.218,21768.23,21768.23,648.849,7841.12,7841.12,,,,4357.204000000001,52608.31,52608.31
2005-12-01,,,,,,,317.093,3572.19,3572.19,,,,0.0,0.0,0.0,,,,2045.498,23519.15,23519.15,701.039,8471.82,8471.82,,,,12941.57,156254.84,156254.84
2006-01-01,,,,,,,33.0,327.0,327.0,,,,1082.0,10816.0,10816.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,3312.0,49295.0,49295.0
2006-02-01,,,,,,,10.0,147.0,147.0,,,,303.0,3035.0,3035.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,3117.0,39746.0,39746.0
2006-03-01,,,,,,,21.0,248.0,248.0,,,,548.0,5645.0,5645.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,3794.0,45220.0,45220.0
2006-04-01,,,,,,,58.0,605.0,605.0,,,,0.0,0.0,0.0,,,,9104.0,95138.0,95138.0,0.0,0.0,0.0,,,,586.0,7987.0,7987.0
2006-05-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,12858.0,127754.0,127754.0,1082.0,14004.0,14004.0,,,,0.0,0.0,0.0
2006-06-01,,,,,,,70.0,846.0,846.0,,,,0.0,0.0,0.0,,,,12446.0,128706.0,128706.0,1401.0,17323.0,17323.0,,,,0.0,0.0,0.0
2006-07-01,,,,,,,62.0,969.0,969.0,,,,0.0,0.0,0.0,,,,17621.0,181036.0,181036.0,2818.0,36374.0,36374.0,,,,0.0,0.0,0.0
2006-08-01,,,,,,,24.0,368.0,368.0,,,,0.0,0.0,0.0,,,,15315.0,158585.0,158585.0,8753.0,104493.0,104493.0,,,,32.0,380.0,380.0
2006-09-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,11231.0,114541.0,114541.0,3327.0,48296.0,48296.0,,,,2118.0,30739.0,30739.0
2006-10-01,,,,,,,16.0,162.0,162.0,,,,0.0,0.0,0.0,,,,7926.0,80940.0,80940.0,2622.0,34236.0,34236.0,,,,330.0,4310.0,4310.0
2006-11-01,,,,,,,0.0,0.0,0.0,,,,473.0,4629.0,4629.0,,,,0.0,0.0,0.0,133.0,1714.0,1714.0,,,,3684.0,47474.0,47474.0
2006-12-01,,,,,,,0.0,0.0,0.0,,,,1006.0,10749.0,10749.0,,,,188.0,2014.0,2014.0,159.0,2055.0,2055.0,,,,10247.0,132403.0,132403.0
2007-01-01,,,,,,,82.09700000000001,881.0,881.0,,,,1066.421,11448.0,11448.0,,,,44.482,478.0,478.0,0.0,0.0,0.0,,,,13475.0,153436.0,153436.0
2007-02-01,,,,,,,83.64200000000001,838.0,838.0,,,,1279.054,12818.0,12818.0,,,,44.305,444.0,444.0,0.0,0.0,0.0,,,,22353.0,243816.0,243816.0
2007-03-01,,,,,,,50.521,598.0,598.0,,,,543.479,6432.0,6432.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,22353.0,243816.0,243816.0
2007-04-01,,,,,,,120.229,1280.0,1280.0,,,,0.0,0.0,0.0,,,,9474.771,100844.0,100844.0,2076.935,28694.0,28694.0,,,,1539.065,21263.0,21263.0
2007-05-01,,,,,,,2.6870000000000003,28.0,28.0,,,,796.307,8281.0,8281.0,,,,4534.006,47152.0,47152.0,626.924,7925.0,7925.0,,,,480.076,6069.0,6069.0
2007-06-01,,,,,,,139.596,1548.0,1548.0,,,,0.0,0.0,0.0,,,,10248.404,113637.0,113637.0,1201.0,14323.0,14323.0,,,,0.0,0.0,0.0
2007-07-01,,,,,,,192.90800000000002,2017.0,2017.0,,,,3.922,41.0,41.0,,,,14072.17,147155.0,147155.0,2192.0,28748.0,28748.0,,,,0.0,0.0,0.0
2007-08-01,,,,,,,154.543,1626.0,1626.0,,,,0.0,0.0,0.0,,,,16645.457000000002,175144.0,175144.0,6145.0,75161.0,75161.0,,,,0.0,0.0,0.0
2007-09-01,,,,,,,99.97200000000001,1129.0,1129.0,,,,0.0,0.0,0.0,,,,18050.028,203802.0,203802.0,5523.902,52705.0,52705.0,,,,268.098,2558.0,2558.0
2007-10-01,,,,,,,9.15,95.0,95.0,,,,0.0,0.0,0.0,,,,11726.85,121753.0,121753.0,533.0,6865.0,6865.0,,,,0.0,0.0,0.0
2007-11-01,,,,,,,33.219,358.0,358.0,,,,0.0,0.0,0.0,,,,909.7810000000001,9795.0,9795.0,1366.0,22427.0,22427.0,,,,0.0,0.0,0.0
2007-12-01,,,,,,,110.263,1127.0,1127.0,,,,2070.2180000000003,21163.0,21163.0,,,,151.519,1549.0,1549.0,22.839000000000002,284.0,284.0,,,,6012.161,74812.0,74812.0
2008-01-01,,,,,,,47.781,492.0,492.0,0.0,0.0,0.0,1682.219,17319.0,17319.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3433.0,48344.0,48344.0
2008-02-01,,,,,,,226.714,2377.0,2377.0,0.0,0.0,0.0,2256.286,23658.0,23658.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3179.0,47401.0,47401.0
2008-03-01,,,,,,,0.0,0.0,0.0,51.111000000000004,730.0,730.0,0.0,0.0,0.0,1195.693,17081.0,17081.0,,,,743.451,10621.0,10621.0,0.0,0.0,0.0,1277.7450000000001,18253.0,18253.0
2008-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,95.676,1014.0,1014.0,0.0,0.0,0.0,1120.324,11877.0,11877.0,2404.326,33186.0,33186.0,0.0,0.0,0.0,242.674,3350.0,3350.0
2008-05-01,,,,,,,59.388000000000005,616.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16393.612,170043.0,170043.0,5444.0,67343.0,67343.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,,,,,,,4.788,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12653.212,134615.0,134615.0,3460.0,42304.0,42304.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,,,,,,,118.0,1203.0,1203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21256.0,226844.0,226844.0,,,,0.0,0.0,0.0
2008-08-01,,,,,,,262.29900000000004,2802.0,2802.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,10976.701000000001,117246.0,117246.0,2245.885,29081.0,29081.0,,,,200.115,2591.0,2591.0
2008-09-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,6505.0,68583.0,68583.0,903.7230000000001,14667.0,14667.0,,,,768.277,12469.0,12469.0
2008-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,3696.0,43433.0,43433.0,651.249,8973.0,8973.0,,,,296.75100000000003,4089.0,4089.0
2008-11-01,,,,,,,139.109,1485.0,1485.0,0.0,0.0,0.0,741.861,7918.0,7918.0,0.0,0.0,0.0,135.03,1441.0,1441.0,76.066,1136.0,1136.0,,,,530.934,7931.0,7931.0
2008-12-01,,,,,,,132.84,1307.0,1307.0,0.0,0.0,0.0,2545.16,25046.0,25046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10937.0,121234.0,121234.0
2009-01-01,,,,,,,794.3580000000001,8364.0,8364.0,0.0,0.0,0.0,123.64200000000001,1302.0,1302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11944.0,140392.0,140392.0
2009-02-01,,,,,,,904.085,9651.0,9651.0,0.0,0.0,0.0,296.915,3170.0,3170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2730.0,35267.0,35267.0
2009-03-01,,,,,,,968.183,10440.0,10440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.817,3826.0,3826.0,0.0,0.0,0.0,,,,1658.0,21793.0,21793.0
2009-04-01,,,,,,,323.737,3593.0,3593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2318.263,25733.0,25733.0,0.0,0.0,0.0,,,,1969.0,26678.0,26678.0
2009-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,363.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,4514.783,53811.0,53811.0,,,,2428.217,28942.0,28942.0
2009-06-01,,,,,,,3.826,40.0,40.0,0.0,0.0,0.0,21.982,232.0,232.0,0.0,0.0,0.0,4815.192,50833.0,50833.0,0.0,0.0,0.0,,,,1031.0,11259.0,11259.0
2009-07-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.605,79.0,79.0,0.0,0.0,0.0,9667.395,100726.0,100726.0,7177.0,86588.0,86588.0,,,,0.0,0.0,0.0
2009-08-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.869,2222.0,2222.0,12845.0,114238.0,114238.0,10099.241,133689.0,133689.0,,,,502.89,6657.0,6657.0
2009-09-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10660.0,111294.0,111294.0,2137.0,30078.0,30078.0,,,,0.0,0.0,0.0
2009-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,218.073,2267.0,2267.0,0.0,0.0,0.0,11966.927,124419.0,124419.0,1603.286,21509.0,21509.0,,,,70.714,949.0,949.0
2009-11-01,,,,,,,827.219,8672.0,8672.0,0.0,0.0,0.0,232.945,2442.0,2442.0,0.0,0.0,0.0,5977.836,62670.0,62670.0,199.657,5080.0,5080.0,0.0,0.0,0.0,123.343,3138.0,3138.0
2009-12-01,,,,,,,4996.014,52515.0,52515.0,0.0,0.0,0.0,378.007,3973.0,3973.0,0.0,0.0,0.0,134.979,1419.0,1419.0,383.209,5040.0,5040.0,0.0,0.0,0.0,3016.791,39676.0,39676.0
2010-01-01,,,,,,,1744.8020000000001,18371.0,18371.0,0.0,0.0,0.0,153.198,1613.0,1613.0,0.0,0.0,0.0,0.0,0.0,0.0,119.432,1468.0,1468.0,0.0,0.0,0.0,701.568,8622.0,8622.0
2010-02-01,,,,,,,1511.2530000000002,16750.0,16750.0,0.0,0.0,0.0,192.86200000000002,2138.0,2138.0,0.0,0.0,0.0,27.885,309.0,309.0,51.433,910.0,910.0,0.0,0.0,0.0,305.567,5405.0,5405.0
2010-03-01,,,,,,,270.668,2899.0,2899.0,0.0,0.0,0.0,68.99,739.0,739.0,0.0,0.0,0.0,3627.342,38847.0,38847.0,162.741,2435.0,2435.0,0.0,0.0,0.0,1163.259,17403.0,17403.0
2010-04-01,,,,,,,127.56200000000001,1366.0,1366.0,0.0,0.0,0.0,55.297000000000004,592.0,592.0,0.0,0.0,0.0,3455.141,37003.0,37003.0,1126.8410000000001,15679.0,15679.0,0.0,0.0,0.0,558.159,7767.0,7767.0
2010-05-01,,,,,,,23.599,247.0,247.0,0.0,0.0,0.0,170.407,1782.0,1782.0,0.0,0.0,0.0,21730.994,227278.0,227278.0,13919.0,161435.0,161435.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,,,,,,,0.0,0.0,0.0,29.763,385.0,385.0,391.84900000000005,4233.0,4233.0,0.0,0.0,0.0,7363.151000000001,79535.0,79535.0,5707.237,73887.0,73887.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,525.6510000000001,5715.0,5715.0,0.0,0.0,0.0,13980.349,151995.0,151995.0,12814.0,162576.0,162576.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,568.202,6217.0,6217.0,0.0,0.0,0.0,9245.798,101155.0,101155.0,6808.281,80369.0,80369.0,0.0,0.0,0.0,360.719,4258.0,4258.0
2010-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.607,3844.0,3844.0,0.0,0.0,0.0,4538.393,47325.0,47325.0,6277.976000000001,77989.0,77989.0,0.0,0.0,0.0,352.024,4373.0,4373.0
2010-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0,7143.0,7143.0,2926.0,43167.0,43167.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2347.0,25728.0,25728.0,4213.28,40757.0,40757.0,0.0,0.0,0.0,256.72,2483.0,2483.0
2010-12-01,,,,0.0,0.0,0.0,1146.924,11519.0,11519.0,97.113,1357.0,1357.0,0.0,0.0,0.0,0.0,0.0,0.0,244.07600000000002,2451.0,2451.0,139.806,1954.0,1954.0,0.0,0.0,0.0,2277.081,31824.0,31824.0
2011-01-01,,,,0.0,0.0,0.0,1182.0,11703.0,11703.0,95.2,1087.0,1087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.675,750.0,750.0,0.0,0.0,0.0,1594.125,18201.0,18201.0
2011-02-01,0.0,0.0,0.0,,,,594.365,6608.0,6608.0,31.365,500.0,500.0,52.215,581.0,581.0,0.0,0.0,0.0,662.42,7365.0,7365.0,0.0,0.0,0.0,0.0,0.0,0.0,460.635,7348.0,7348.0
2011-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.622,2435.0,2435.0,0.0,0.0,0.0,2841.378,51389.0,51389.0,1285.857,14561.0,14561.0,0.0,0.0,0.0,4356.143,49329.0,49329.0
2011-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.47,113.0,113.0,0.0,0.0,0.0,1026.53,11052.0,11052.0,447.274,6510.0,6510.0,0.0,0.0,0.0,1045.726,15219.0,15219.0
2011-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,211.279,2435.0,2435.0,0.0,0.0,0.0,1960.721,22595.0,22595.0,1096.0,11917.0,11917.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,,,,0.0,0.0,0.0,626.309,6660.0,6660.0,0.0,0.0,0.0,36.573,389.0,389.0,0.0,0.0,0.0,5160.118,54869.0,54869.0,5179.928,68277.0,68277.0,0.0,0.0,0.0,415.072,5471.0,5471.0
2011-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,357.006,3951.0,3951.0,0.0,0.0,0.0,6390.994,70726.0,70726.0,4889.0,61121.0,61121.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,227.113,2277.0,2277.0,0.0,0.0,0.0,5498.887,55130.0,55130.0,89.102,1018.0,1018.0,0.0,0.0,0.0,292.898,3345.0,3345.0
