measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2005-01-01,121.477,1363.39,1363.39,1891.539,18913.5,18913.5,0.0,0.0,0.0
2005-02-01,110.295,1237.89,1237.89,1650.913,16507.48,16507.48,0.0,0.0,0.0
2005-03-01,118.229,1326.94,1326.94,1601.315,16011.55,16011.55,0.0,0.0,0.0
2005-04-01,97.265,1091.66,1091.66,1729.336,17291.63,17291.63,0.0,0.0,0.0
2005-05-01,92.405,1037.09,1037.09,2023.481,20232.79,20232.79,0.0,0.0,0.0
2005-06-01,118.44300000000001,1329.33,1329.33,1863.245,18630.58,18630.58,0.0,0.0,0.0
2005-07-01,132.148,1483.14,1483.14,1736.429,17362.56,17362.56,0.0,0.0,0.0
2005-08-01,130.89100000000002,1469.05,1469.05,1219.9160000000002,12197.95,12197.95,0.0,0.0,0.0
2005-09-01,117.912,1323.37,1323.37,1039.3310000000001,10392.27,10392.27,0.0,0.0,0.0
2005-10-01,110.42,1239.29,1239.29,1207.425,12073.04,12073.04,0.0,0.0,0.0
2005-11-01,108.436,1217.03,1217.03,1266.915,12667.88,12667.88,0.0,0.0,0.0
2005-12-01,125.07900000000001,1403.82,1403.82,1489.154,14890.05,14890.05,0.0,0.0,0.0
2006-01-01,152.257,1008.0,1008.0,1457.4930000000002,14457.0,14457.0,0.0,0.0,0.0
2006-02-01,143.155,947.0,947.0,1154.58,11452.0,11452.0,0.0,0.0,0.0
2006-03-01,139.794,925.0,925.0,882.364,8752.0,8752.0,0.0,0.0,0.0
2006-04-01,139.927,926.0,926.0,772.113,7659.0,7659.0,0.0,0.0,0.0
2006-05-01,147.161,974.0,974.0,759.2,7531.0,7531.0,0.0,0.0,0.0
2006-06-01,150.542,996.0,996.0,744.311,7383.0,7383.0,0.0,0.0,0.0
2006-07-01,158.089,1046.0,1046.0,884.176,8770.0,8770.0,0.0,0.0,0.0
2006-08-01,158.019,1046.0,1046.0,726.618,7207.0,7207.0,0.0,0.0,0.0
2006-09-01,142.708,944.0,944.0,809.1030000000001,8025.0,8025.0,0.0,0.0,0.0
2006-10-01,139.719,925.0,925.0,1114.025,11050.0,11050.0,0.0,0.0,0.0
2006-11-01,141.651,937.0,937.0,1455.351,14436.0,14436.0,0.0,0.0,0.0
2006-12-01,150.98,999.0,999.0,1089.665,10808.0,10808.0,0.0,0.0,0.0
2007-01-01,126.902,845.0,845.0,541.102,5348.0,5348.0,0.0,0.0,0.0
2007-02-01,109.89800000000001,739.0,739.0,322.817,3191.0,3191.0,0.0,0.0,0.0
2007-03-01,117.238,792.0,792.0,695.029,6870.0,6870.0,0.0,0.0,0.0
2007-04-01,94.57600000000001,634.0,634.0,1168.904,11553.0,11553.0,0.0,0.0,0.0
2007-05-01,101.936,686.0,686.0,1271.795,12570.0,12570.0,0.0,0.0,0.0
2007-06-01,112.709,766.0,766.0,1190.015,11762.0,11762.0,0.0,0.0,0.0
2007-07-01,125.07300000000001,845.0,845.0,352.331,3482.0,3482.0,0.0,0.0,0.0
2007-08-01,125.313,845.0,845.0,339.829,3359.0,3359.0,0.0,0.0,0.0
2007-09-01,106.616,713.0,713.0,648.7080000000001,6412.0,6412.0,0.0,0.0,0.0
2007-10-01,92.241,607.0,607.0,1151.6870000000001,11383.0,11383.0,0.0,0.0,0.0
2007-11-01,95.57300000000001,634.0,634.0,1840.567,18192.0,18192.0,0.0,0.0,0.0
2007-12-01,121.925,818.0,818.0,1256.218,12416.0,12416.0,0.0,0.0,0.0
2008-01-01,271.03700000000003,1891.0,1891.0,1347.423,13278.0,13278.0,0.0,0.0,0.0
2008-02-01,272.564,1865.0,1865.0,754.79,7438.0,7438.0,0.0,0.0,0.0
2008-03-01,224.405,1528.0,1528.0,1235.805,12178.0,12178.0,0.0,0.0,0.0
2008-04-01,198.232,1347.0,1347.0,1364.875,13449.0,13449.0,0.0,0.0,0.0
2008-05-01,202.936,1399.0,1399.0,1472.4950000000001,14510.0,14510.0,0.0,0.0,0.0
2008-06-01,225.372,1554.0,1554.0,2214.559,21822.0,21822.0,0.0,0.0,0.0
2008-07-01,252.419,1735.0,1735.0,1213.99,11963.0,11963.0,0.0,0.0,0.0
2008-08-01,242.73700000000002,1658.0,1658.0,512.6460000000001,5052.0,5052.0,0.0,0.0,0.0
2008-09-01,215.977,1476.0,1476.0,485.014,4779.0,4779.0,0.0,0.0,0.0
2008-10-01,191.45600000000002,1321.0,1321.0,1115.824,10995.0,10995.0,0.0,0.0,0.0
2008-11-01,201.91400000000002,1373.0,1373.0,845.6850000000001,8333.0,8333.0,0.0,0.0,0.0
2008-12-01,238.95100000000002,1632.0,1632.0,1244.894,12267.0,12267.0,0.0,0.0,0.0
2009-01-01,112.69200000000001,780.0,780.0,909.8380000000001,8880.0,8880.0,0.0,0.0,0.0
2009-02-01,102.421,728.0,728.0,938.5,9160.0,9160.0,0.0,0.0,0.0
2009-03-01,100.895,728.0,728.0,1873.5990000000002,18286.0,18286.0,0.0,0.0,0.0
2009-04-01,86.99300000000001,624.0,624.0,1726.412,16850.0,16850.0,0.0,0.0,0.0
2009-05-01,80.631,572.0,572.0,2466.719,24075.0,24075.0,0.0,0.0,0.0
2009-06-01,84.44200000000001,598.0,598.0,1826.479,17826.0,17826.0,0.0,0.0,0.0
2009-07-01,98.693,702.0,702.0,1038.567,10136.0,10136.0,0.0,0.0,0.0
2009-08-01,94.79100000000001,676.0,676.0,798.113,7790.0,7790.0,0.0,0.0,0.0
2009-09-01,89.95700000000001,650.0,650.0,767.996,7496.0,7496.0,0.0,0.0,0.0
2009-10-01,88.845,624.0,624.0,769.4530000000001,7510.0,7510.0,0.0,0.0,0.0
2009-11-01,88.424,624.0,624.0,2128.626,20775.0,20775.0,0.0,0.0,0.0
2009-12-01,108.05600000000001,754.0,754.0,1368.8880000000001,13360.0,13360.0,0.0,0.0,0.0
2010-01-01,137.387,976.0,976.0,1116.9740000000002,10897.0,10897.0,0.0,0.0,0.0
2010-02-01,126.34200000000001,894.0,894.0,1113.5220000000002,10864.0,10864.0,0.0,0.0,0.0
2010-03-01,110.706,786.0,786.0,1957.8310000000001,19101.0,19101.0,0.0,0.0,0.0
2010-04-01,106.94300000000001,759.0,759.0,1447.88,14126.0,14126.0,0.0,0.0,0.0
2010-05-01,125.982,894.0,894.0,1268.405,12375.0,12375.0,0.0,0.0,0.0
2010-06-01,129.372,921.0,921.0,1523.381,14862.0,14862.0,0.0,0.0,0.0
2010-07-01,139.51600000000002,976.0,976.0,1629.5130000000001,15898.0,15898.0,0.0,0.0,0.0
2010-08-01,132.42000000000002,949.0,949.0,1475.923,14399.0,14399.0,0.0,0.0,0.0
2010-09-01,89.212,623.0,623.0,1567.818,15296.0,15296.0,0.0,0.0,0.0
2010-10-01,69.4,488.0,488.0,1679.99,16390.0,16390.0,0.0,0.0,0.0
2010-11-01,97.682,705.0,705.0,1983.717,19353.0,19353.0,0.0,0.0,0.0
2010-12-01,142.508,1003.0,1003.0,1681.7160000000001,16407.0,16407.0,0.0,0.0,0.0
2011-01-01,125.949,904.0,904.0,1524.351,14811.0,14811.0,0.0,0.0,0.0
2011-02-01,99.491,718.0,718.0,1393.428,13539.0,13539.0,0.0,0.0,0.0
2011-03-01,119.03,851.0,851.0,1978.835,19226.0,19226.0,0.0,0.0,0.0
2011-04-01,84.509,612.0,612.0,1920.206,18657.0,18657.0,0.0,0.0,0.0
2011-05-01,104.793,771.0,771.0,2214.232,21513.0,21513.0,0.0,0.0,0.0
2011-06-01,102.063,745.0,745.0,2286.968,22220.0,22220.0,0.0,0.0,0.0
2011-07-01,121.642,878.0,878.0,1814.41,17629.0,17629.0,0.0,0.0,0.0
2011-08-01,120.18,878.0,878.0,1925.937,18712.0,18712.0,0.0,0.0,0.0
2011-09-01,88.078,638.0,638.0,797.441,7748.0,7748.0,0.0,0.0,0.0
2011-10-01,84.827,612.0,612.0,649.767,6313.0,6313.0,0.0,0.0,0.0
2011-11-01,87.527,638.0,638.0,637.424,6193.0,6193.0,0.0,0.0,0.0
2011-12-01,91.871,665.0,665.0,802.731,7799.0,7799.0,0.0,0.0,0.0
2012-01-01,80.012,581.0,581.0,905.265,8615.0,8615.0,46.438,346.0,346.0
2012-02-01,71.841,528.0,528.0,920.144,8756.0,8756.0,90.898,674.0,674.0
2012-03-01,57.606,422.0,422.0,1912.899,18203.0,18203.0,97.099,720.0,720.0
2012-04-01,52.873,396.0,396.0,2136.686,20333.0,20333.0,117.128,869.0,869.0
2012-05-01,45.424,343.0,343.0,2890.776,27509.0,27509.0,145.951,1082.0,1082.0
2012-06-01,61.727,449.0,449.0,2505.696,23844.0,23844.0,163.098,1210.0,1210.0
2012-07-01,84.544,634.0,634.0,691.001,6576.0,6576.0,276.338,2050.0,2050.0
2012-08-01,83.196,607.0,607.0,375.557,3574.0,3574.0,132.406,982.0,982.0
2012-09-01,71.584,528.0,528.0,296.398,2821.0,2821.0,58.391,433.0,433.0
2012-10-01,73.027,554.0,554.0,363.653,3461.0,3461.0,45.551,338.0,338.0
2012-11-01,74.371,554.0,554.0,327.347,3115.0,3115.0,74.784,555.0,555.0
2012-12-01,94.322,713.0,713.0,397.578,3783.0,3783.0,117.391,871.0,871.0
2013-01-01,0.0,0.0,0.0,336.563,3211.0,3211.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,318.334,3037.0,3037.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,567.755,5417.0,5417.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,1087.938,10380.0,10380.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,1231.545,11750.0,11750.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,6797.059,64851.0,64851.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,1772.624,16913.0,16913.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,622.441,5939.0,5939.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,890.091,8492.0,8492.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,729.146,6957.0,6957.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,812.286,7750.0,7750.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,1161.298,11080.0,11080.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,1215.21,11557.0,11557.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,1063.31,10112.0,10112.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,1625.4,15458.0,15458.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,2594.937,24678.0,24678.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,2718.871,25856.0,25856.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,2478.132,23567.0,23567.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,1894.655,18018.0,18018.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,1084.697,10315.0,10315.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,1151.599,10952.0,10952.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,1068.794,10164.0,10164.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,959.666,9126.0,9126.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,1073.729,10211.0,10211.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,685.298,6386.0,6386.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,501.096,4670.0,4670.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,1023.468,9538.0,9538.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,1292.213,12042.0,12042.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,1616.945,15068.0,15068.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,2083.329,19415.0,19415.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,1701.488,15856.0,15856.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,1083.936,10101.0,10101.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,2230.578,20787.0,20787.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,1782.671,16613.0,16613.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,2015.583,18783.0,18783.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,2537.395,23646.0,23646.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,1396.922,12896.0,12896.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,923.462,8525.0,8525.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,2120.601,19577.0,19577.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,1583.805,14622.0,14622.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,1278.069,11799.0,11799.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,1326.549,12247.0,12247.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,1910.262,17636.0,17636.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,1844.579,17029.0,17029.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,1965.388,18144.0,18144.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,2207.396,20379.0,20379.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,1522.814,14059.0,14059.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,2036.153,18798.0,18798.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,1493.824,13763.0,13763.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,1376.14,12678.0,12678.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,1408.379,12975.0,12975.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,1553.455,14312.0,14312.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,2908.065,26792.0,26792.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,1674.747,15429.0,15429.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,1975.27,18198.0,18198.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,1439.716,13264.0,13264.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,1096.696,10104.0,10104.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,1592.683,14673.0,14673.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,1367.009,12594.0,12594.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,1515.016,13958.0,13958.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,1255.361,11429.0,11429.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,1132.33,10309.0,10309.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,1291.509,11758.0,11758.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,1541.703,14036.0,14036.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,1308.808,11915.0,11915.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,1401.631,12760.0,12760.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,2312.684,21055.0,21055.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,1087.919,9904.0,9904.0,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,1301.45,11848.0,11848.0,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,2231.739,20318.0,20318.0,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,2180.487,19851.0,19851.0,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,2035.379,18530.0,18530.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,1884.096,16778.0,16778.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,1095.033,9751.0,9751.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,1898.782,16909.0,16909.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,1906.889,16981.0,16981.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,2211.24,19691.0,19691.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,1841.174,16396.0,16396.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,1277.491,11376.0,11376.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,953.015,8487.0,8487.0,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,1077.674,9597.0,9597.0,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,1159.699,10327.0,10327.0,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,1155.407,10289.0,10289.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,1283.5,11430.0,11430.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,2335.53,20476.0,20476.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,2117.234,18562.0,18562.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,1722.348,15100.0,15100.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,2287.753,20057.0,20057.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,1738.581,15242.0,15242.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,1841.658,16146.0,16146.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,1543.382,13531.0,13531.0,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,1216.202,10662.0,10662.0,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0,761.264,6674.0,6674.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,852.199,7471.0,7471.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,1139.917,9994.0,9994.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,1170.932,10266.0,10266.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,1316.878,11646.0,11646.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,1095.74,9691.0,9691.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,1050.871,9294.0,9294.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,926.947,8198.0,8198.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,1148.397,10156.0,10156.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,1236.473,10935.0,10935.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,1100.926,9737.0,9737.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,1038.82,9187.0,9187.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,852.062,7536.0,7536.0,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,874.358,7733.0,7733.0,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0,1024.765,9063.0,9063.0,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0,1316.763,11645.0,11645.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,1656.035,5650.0,5650.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,1424.769,4861.0,4861.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,1552.099,5296.0,5296.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,1163.38,3969.0,3969.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,1464.577,4997.0,4997.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,1747.663,5963.0,5963.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,1669.421,5696.0,5696.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,1401.588,4782.0,4782.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,1075.736,3670.0,3670.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,934.999,3190.0,3190.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,1179.51,4024.0,4024.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,1314.223,4484.0,4484.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,1803.0,6152.0,6152.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,1693.0,5777.0,5777.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,1902.0,6490.0,6490.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,820.0,2798.0,2798.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,282.0,962.0,962.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,786.0,2682.0,2682.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,268.0,914.0,914.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,426.0,1454.0,1454.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,83.0,283.0,283.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,1004.0,3426.0,3426.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,911.0,3108.0,3108.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,889.0,3033.0,3033.0,0.0,0.0,0.0
