measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-10-01,147023.0,1507099.0,1507099.0,,,,,,
2008-11-01,10534.0,121206.0,121206.0,,,,,,
2008-12-01,12047.0,140297.0,140297.0,,,,,,
2009-01-01,4698.0,70485.0,70485.0,,,,,,
2009-02-01,2611.0,37651.0,37651.0,,,,,,
2009-03-01,0.0,0.0,0.0,,,,,,
2009-04-01,17470.0,254399.0,254399.0,,,,,,
2009-05-01,16274.0,202641.0,202641.0,,,,,,
2009-06-01,17555.0,240100.0,240100.0,,,,,,
2009-07-01,100049.0,1134333.0,1134333.0,,,,,,
2009-08-01,80467.0,949555.0,949555.0,,,,,,
2009-09-01,100147.0,1194688.0,1194688.0,,,,,,
2009-10-01,38506.0,488477.0,488477.0,,,,,,
2009-11-01,37616.0,452628.0,452628.0,,,,,,
2009-12-01,90893.0,1068124.0,1068124.0,,,,,,
2010-01-01,40621.0,512363.0,512363.0,,,,,,
2010-02-01,8991.0,144920.0,144920.0,,,,,,
2010-03-01,1297.0,20338.0,20338.0,,,,,,
2010-04-01,2070.0,31118.0,31118.0,,,,,,
2010-05-01,1882.0,29238.0,29238.0,,,,,,
2010-06-01,2700.0,51119.0,51119.0,,,,,,
2010-07-01,12563.0,148673.0,148673.0,,,,,,
2010-08-01,34028.57,405536.0,405536.0,,,,,,
2010-09-01,23961.0,302050.0,302050.0,,,,,,
2010-10-01,24612.0,318974.0,318974.0,,,,,,
2010-11-01,14299.0,192752.0,192752.0,,,,,,
2010-12-01,1901.0,27149.0,27149.0,,,,,,
2011-01-01,1397.0,19833.0,19833.0,,,,,,
2011-02-01,4265.0,82897.0,82897.0,,,,,,
2011-03-01,9403.0,182967.0,182967.0,,,,,,
2011-04-01,3385.0,51211.0,51211.0,,,,,,
2011-05-01,7398.0,103525.0,103525.0,,,,,,
2011-06-01,13363.0,222317.0,222317.0,,,,,,
2011-07-01,31352.0,424935.0,424935.0,,,,,,
2011-08-01,53392.0,764535.0,764535.0,,,,,,
2011-09-01,36678.0,534377.0,534377.0,,,,,,
2011-10-01,10027.0,117452.0,117452.0,,,,,,
2011-11-01,800.0,17308.0,17308.0,,,,,,
2011-12-01,5691.0,78419.0,78419.0,,,,,,
2012-01-01,1494.0,25078.0,25078.0,,,,,,
2012-02-01,7456.0,117492.0,117492.0,,,,,,
2012-03-01,6282.0,101738.0,101738.0,,,,,,
2012-04-01,9720.0,108833.0,108833.0,,,,,,
2012-05-01,44485.0,551919.0,551919.0,,,,,,
2012-06-01,31736.0,364397.0,364397.0,,,,,,
2012-07-01,46646.0,542647.0,542647.0,,,,,,
2012-08-01,139952.0,1531242.0,1531242.0,,,,,,
2012-09-01,122856.0,1388469.0,1388469.0,,,,,,
2012-10-01,95222.0,1100026.0,1100026.0,,,,,,
2012-11-01,42962.0,528710.0,528710.0,,,,,,
2012-12-01,53813.0,513519.0,513519.0,,,,,,
2013-01-01,75785.0,861950.0,861950.0,,,,,,
2013-02-01,59530.0,695320.0,695320.0,,,,,,
2013-03-01,53540.0,645453.0,645453.0,,,,,,
2013-04-01,41627.0,490868.0,490868.0,,,,,,
2013-05-01,26254.0,371937.0,371937.0,,,,,,
2013-06-01,23392.0,493861.0,493861.0,,,,,,
2013-07-01,46612.0,558726.0,558726.0,,,,,,
2013-08-01,24474.0,285116.0,285116.0,,,,,,
2013-09-01,46973.0,488358.0,488358.0,,,,,,
2013-10-01,22268.0,270034.0,270034.0,,,,,,
2013-11-01,47324.0,531867.0,531867.0,,,,,,
2013-12-01,30919.0,355202.0,355202.0,,,,,,
2014-01-01,7379.0,85883.0,85883.0,,,,,,
2014-02-01,0.0,0.0,0.0,,,,,,
2014-03-01,9168.0,98291.0,98291.0,,,,,,
2014-04-01,17251.0,198572.0,198572.0,,,,,,
2014-05-01,11089.0,118548.0,118548.0,,,,,,
2014-06-01,0.0,0.0,0.0,,,,,,
2014-07-01,22841.0,245619.0,245619.0,,,,,,
2014-08-01,30973.0,357629.0,357629.0,,,,,,
2014-09-01,30767.0,328613.0,328613.0,,,,,,
2014-10-01,26645.0,295161.0,295161.0,,,,,,
2014-11-01,10551.0,131096.0,131096.0,,,,,,
2014-12-01,14049.0,174206.0,174206.0,,,,,,
2015-01-01,0.0,0.0,0.0,,,,,,
2015-02-01,0.0,0.0,0.0,,,,,,
2015-03-01,12373.0,149180.0,149180.0,,,,,,
2015-04-01,7130.0,78492.0,78492.0,,,,,,
2015-05-01,3501.0,53220.0,53220.0,,,,,,
2015-06-01,22065.0,262938.0,262938.0,,,,,,
2015-07-01,19551.0,265502.0,265502.0,,,,,,
2015-08-01,39212.0,431896.0,431896.0,,,,,,
2015-09-01,20127.0,220995.0,220995.0,,,,,,
2015-10-01,16949.0,197780.0,197780.0,,,,,,
2015-11-01,345.0,8421.0,8421.0,,,,,,
2015-12-01,3026.0,40797.0,40797.0,,,,,,
