measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2023-01-01,0.0,0.0,0.0,485.642,3570.0,3570.0
2023-02-01,0.0,0.0,0.0,413.672,3041.0,3041.0
2023-03-01,0.0,0.0,0.0,397.592,2922.0,2922.0
2023-04-01,0.0,0.0,0.0,310.602,2283.0,2283.0
2023-05-01,0.0,0.0,0.0,201.175,1479.0,1479.0
2023-06-01,0.0,0.0,0.0,264.653,1945.0,1945.0
2023-07-01,0.0,0.0,0.0,612.621,4502.0,4502.0
2023-08-01,0.0,0.0,0.0,618.147,4543.0,4543.0
2023-09-01,0.0,0.0,0.0,437.541,3216.0,3216.0
2023-10-01,0.0,0.0,0.0,534.319,3927.0,3927.0
2023-11-01,0.0,0.0,0.0,501.933,3689.0,3689.0
2023-12-01,0.0,0.0,0.0,565.103,4153.0,4153.0
2024-01-01,0.0,0.0,0.0,752.0,4845.0,4845.0
2024-02-01,0.0,0.0,0.0,695.0,4487.0,4487.0
2024-03-01,0.0,0.0,0.0,742.0,4809.0,4809.0
2024-04-01,0.0,0.0,0.0,717.0,4674.0,4674.0
2024-05-01,0.0,0.0,0.0,747.0,4898.0,4898.0
2024-06-01,0.0,0.0,0.0,715.0,4681.0,4681.0
2024-07-01,0.0,0.0,0.0,744.0,4884.0,4884.0
2024-08-01,0.0,0.0,0.0,736.0,4854.0,4854.0
2024-09-01,0.0,0.0,0.0,702.0,4638.0,4638.0
2024-10-01,0.0,0.0,0.0,730.0,4863.0,4863.0
2024-11-01,0.0,0.0,0.0,702.0,4689.0,4689.0
2024-12-01,0.0,0.0,0.0,722.0,4855.0,4855.0
