measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2008-06-01,0.0,0.0,0.0,169.27200000000002,2947.0,2947.0
2008-07-01,0.0,0.0,0.0,205.845,3585.0,3585.0
2008-08-01,0.0,0.0,0.0,77.831,1355.0,1355.0
2008-09-01,0.0,0.0,0.0,53.449000000000005,932.0,932.0
2008-10-01,0.0,0.0,0.0,19.73,344.0,344.0
2008-11-01,0.0,0.0,0.0,140.292,2445.0,2445.0
2008-12-01,0.0,0.0,0.0,394.58,6877.0,6877.0
2009-01-01,0.0,0.0,0.0,196.579,3348.0,3348.0
2009-02-01,0.0,0.0,0.0,31.598000000000003,540.0,540.0
2009-03-01,0.0,0.0,0.0,20.161,343.0,343.0
2009-04-01,0.0,0.0,0.0,5.862,101.0,101.0
2009-05-01,0.0,0.0,0.0,4.828,84.0,84.0
2009-06-01,0.0,0.0,0.0,14.852,253.0,253.0
2009-07-01,0.0,0.0,0.0,20.949,360.0,360.0
2009-08-01,0.0,0.0,0.0,34.672000000000004,591.0,591.0
2009-09-01,0.0,0.0,0.0,6.852,118.0,118.0
2009-10-01,0.0,0.0,0.0,3.2230000000000003,56.0,56.0
2009-11-01,0.0,0.0,0.0,2.826,51.0,51.0
2009-12-01,0.0,0.0,0.0,22.598000000000003,388.0,388.0
2010-01-01,0.0,0.0,0.0,143.79500000000002,2391.0,2391.0
2010-02-01,0.0,0.0,0.0,39.986000000000004,661.0,661.0
2010-03-01,0.0,0.0,0.0,25.879,428.0,428.0
2010-04-01,0.0,0.0,0.0,24.333000000000002,402.0,402.0
2010-05-01,0.0,0.0,0.0,33.372,555.0,555.0
2010-06-01,0.0,0.0,0.0,123.65100000000001,2053.0,2053.0
2010-07-01,0.0,0.0,0.0,244.799,4063.0,4063.0
2010-08-01,0.0,0.0,0.0,133.411,2217.0,2217.0
2010-09-01,0.0,0.0,0.0,60.951,1010.0,1010.0
2010-10-01,0.0,0.0,0.0,14.293000000000001,238.0,238.0
2010-11-01,0.0,0.0,0.0,14.372,238.0,238.0
2010-12-01,0.0,0.0,0.0,86.158,1428.0,1428.0
2011-01-01,0.0,0.0,0.0,210.032,3908.0,3908.0
2011-02-01,0.0,0.0,0.0,52.376,974.0,974.0
2011-03-01,0.0,0.0,0.0,37.957,704.0,704.0
2011-04-01,0.0,0.0,0.0,21.97,411.0,411.0
2011-05-01,0.0,0.0,0.0,35.249,659.0,659.0
2011-06-01,0.0,0.0,0.0,112.252,2089.0,2089.0
2011-07-01,0.0,0.0,0.0,202.572,3773.0,3773.0
2011-08-01,0.0,0.0,0.0,72.845,1357.0,1357.0
2011-09-01,0.0,0.0,0.0,37.858,704.0,704.0
2011-10-01,0.0,0.0,0.0,27.35,507.0,507.0
2011-11-01,0.0,0.0,0.0,19.318,360.0,360.0
2011-12-01,0.0,0.0,0.0,27.221,507.0,507.0
2012-01-01,0.0,0.0,0.0,99.634,1792.0,1792.0
2012-02-01,0.0,0.0,0.0,71.595,1296.0,1296.0
2012-03-01,0.0,0.0,0.0,63.841,1155.0,1155.0
2012-04-01,0.0,0.0,0.0,32.555,592.0,592.0
2012-05-01,0.0,0.0,0.0,81.299,1470.0,1470.0
2012-06-01,0.0,0.0,0.0,261.181,4727.0,4727.0
2012-07-01,0.0,0.0,0.0,592.854,10727.0,10727.0
2012-08-01,0.0,0.0,0.0,269.241,4873.0,4873.0
2012-09-01,0.0,0.0,0.0,84.059,1521.0,1521.0
2012-10-01,0.0,0.0,0.0,77.0,1392.0,1392.0
2012-11-01,0.0,0.0,0.0,124.845,2259.0,2259.0
2012-12-01,0.0,0.0,0.0,60.896,1104.0,1104.0
2013-01-01,0.0,0.0,0.0,238.858,4061.0,4061.0
2013-02-01,0.0,0.0,0.0,76.244,1296.0,1296.0
2013-03-01,0.0,0.0,0.0,22.747,389.0,389.0
2013-04-01,0.0,0.0,0.0,17.567,299.0,299.0
2013-05-01,0.0,0.0,0.0,40.224,682.0,682.0
2013-06-01,0.0,0.0,0.0,68.678,1166.0,1166.0
2013-07-01,0.0,0.0,0.0,199.395,3391.0,3391.0
2013-08-01,0.0,0.0,0.0,33.339,569.0,569.0
2013-09-01,0.0,0.0,0.0,43.861,744.0,744.0
2013-10-01,0.0,0.0,0.0,14.617,248.0,248.0
2013-11-01,0.0,0.0,0.0,15.784,270.0,270.0
2013-12-01,0.0,0.0,0.0,37.686,642.0,642.0
2014-01-01,0.0,0.0,0.0,626.052,12031.0,12031.0
2014-02-01,0.0,0.0,0.0,222.99,4284.0,4284.0
2014-03-01,0.0,0.0,0.0,176.135,3384.0,3384.0
2014-04-01,0.0,0.0,0.0,4.603,90.0,90.0
2014-05-01,0.0,0.0,0.0,4.034,79.0,79.0
2014-06-01,0.0,0.0,0.0,9.623,186.0,186.0
2014-07-01,0.0,0.0,0.0,15.844,304.0,304.0
2014-08-01,0.0,0.0,0.0,11.84,225.0,225.0
2014-09-01,0.0,0.0,0.0,8.568,163.0,163.0
2014-10-01,0.0,0.0,0.0,7.682,146.0,146.0
2014-11-01,0.0,0.0,0.0,11.393,220.0,220.0
2014-12-01,0.0,0.0,0.0,13.236,253.0,253.0
2015-01-01,0.0,0.0,0.0,48.488,923.0,923.0
2015-02-01,0.0,0.0,0.0,175.156,3366.0,3366.0
2015-03-01,0.0,0.0,0.0,13.484,259.0,259.0
2015-04-01,0.0,0.0,0.0,1.658,34.0,34.0
2015-05-01,0.0,0.0,0.0,2.356,45.0,45.0
2015-06-01,0.0,0.0,0.0,2.02,39.0,39.0
2015-07-01,0.0,0.0,0.0,5.174,101.0,101.0
2015-08-01,0.0,0.0,0.0,5.761,113.0,113.0
2015-09-01,0.0,0.0,0.0,4.896,96.0,96.0
2015-10-01,0.0,0.0,0.0,1.88,34.0,34.0
2015-11-01,0.0,0.0,0.0,0.859,17.0,17.0
2015-12-01,0.0,0.0,0.0,2.268,45.0,45.0
2016-01-01,0.0,0.0,0.0,91.466,1889.0,1889.0
2016-02-01,0.0,0.0,0.0,223.032,4616.0,4616.0
2016-03-01,0.0,0.0,0.0,15.749,328.0,328.0
2016-04-01,0.0,0.0,0.0,15.733,328.0,328.0
2016-05-01,0.0,0.0,0.0,7.794,164.0,164.0
2016-06-01,0.0,0.0,0.0,9.709,204.0,204.0
2016-07-01,0.0,0.0,0.0,59.39,1228.0,1228.0
2016-08-01,0.0,0.0,0.0,92.993,1923.0,1923.0
2016-09-01,0.0,0.0,0.0,26.026,537.0,537.0
2016-10-01,0.0,0.0,0.0,9.365,192.0,192.0
2016-11-01,0.0,0.0,0.0,10.639,221.0,221.0
2016-12-01,0.0,0.0,0.0,61.104,1267.0,1267.0
2017-01-01,0.0,0.0,0.0,104.974,1947.0,1947.0
2017-02-01,0.0,0.0,0.0,87.438,1613.0,1613.0
2017-03-01,0.0,0.0,0.0,133.302,2463.0,2463.0
2017-04-01,0.0,0.0,0.0,126.106,2327.0,2327.0
2017-05-01,0.0,0.0,0.0,64.871,1194.0,1194.0
2017-06-01,0.0,0.0,0.0,50.029,923.0,923.0
2017-07-01,0.0,0.0,0.0,47.289,872.0,872.0
2017-08-01,0.0,0.0,0.0,36.279,668.0,668.0
2017-09-01,0.0,0.0,0.0,39.405,725.0,725.0
2017-10-01,0.0,0.0,0.0,70.961,1308.0,1308.0
2017-11-01,0.0,0.0,0.0,82.352,1517.0,1517.0
2017-12-01,0.0,0.0,0.0,1260.994,23272.0,23272.0
2018-01-01,0.0,0.0,0.0,438.869,13065.0,13065.0
2018-02-01,0.0,0.0,0.0,9.208,273.0,273.0
2018-03-01,0.0,0.0,0.0,9.176,273.0,273.0
2018-04-01,0.0,0.0,0.0,7.297,217.0,217.0
2018-05-01,0.0,0.0,0.0,1.733,50.0,50.0
2018-06-01,0.0,0.0,0.0,4.462,134.0,134.0
2018-07-01,0.0,0.0,0.0,4.108,123.0,123.0
2018-08-01,0.0,0.0,0.0,3.538,106.0,106.0
2018-09-01,0.0,0.0,0.0,4.063,123.0,123.0
2018-10-01,0.0,0.0,0.0,4.398,128.0,128.0
2018-11-01,0.0,0.0,0.0,4.618,139.0,139.0
2018-12-01,0.0,0.0,0.0,8.53,256.0,256.0
2019-01-01,0.0,0.0,0.0,471.791,7926.0,7926.0
2019-02-01,0.0,0.0,0.0,97.608,1639.0,1639.0
2019-03-01,0.0,0.0,0.0,1.61,28.0,28.0
2019-04-01,0.0,0.0,0.0,0.808,11.0,11.0
2019-05-01,0.0,0.0,0.0,1.283,22.0,22.0
2019-06-01,0.0,0.0,0.0,0.849,17.0,17.0
2019-07-01,0.0,0.0,0.0,0.408,6.0,6.0
2019-08-01,0.0,0.0,0.0,0.776,11.0,11.0
2019-09-01,0.0,0.0,0.0,3.407,56.0,56.0
2019-10-01,0.0,0.0,0.0,0.9,17.0,17.0
2019-11-01,0.0,0.0,0.0,1.774,28.0,28.0
2019-12-01,0.0,0.0,0.0,66.786,1120.0,1120.0
2020-01-01,0.0,0.0,0.0,42.538,1002.0,1002.0
2020-02-01,0.0,0.0,0.0,31.896,741.0,741.0
2020-03-01,0.0,0.0,0.0,27.011,628.0,628.0
2020-04-01,0.0,0.0,0.0,19.192,447.0,447.0
2020-05-01,0.0,0.0,0.0,40.577,945.0,945.0
2020-06-01,0.0,0.0,0.0,16.822,391.0,391.0
2020-07-01,0.0,0.0,0.0,27.976,651.0,651.0
2020-08-01,0.0,0.0,0.0,11.322,266.0,266.0
2020-09-01,0.0,0.0,0.0,29.424,685.0,685.0
2020-10-01,0.0,0.0,0.0,16.822,391.0,391.0
2020-11-01,0.0,0.0,0.0,40.712,951.0,951.0
2020-12-01,0.0,0.0,0.0,47.708,1115.0,1115.0
2021-01-01,0.0,0.0,0.0,10.08,220.0,220.0
2021-02-01,0.0,0.0,0.0,82.704,1771.0,1771.0
2021-03-01,0.0,0.0,0.0,12.39,266.0,266.0
2021-04-01,0.0,0.0,0.0,98.506,2112.0,2112.0
2021-05-01,0.0,0.0,0.0,3.845,81.0,81.0
2021-06-01,0.0,0.0,0.0,3.506,75.0,75.0
2021-07-01,0.0,0.0,0.0,3.155,69.0,69.0
2021-08-01,0.0,0.0,0.0,0.539,12.0,12.0
2021-09-01,0.0,0.0,0.0,7.107,150.0,150.0
2021-10-01,0.0,0.0,0.0,9.009,191.0,191.0
2021-11-01,0.0,0.0,0.0,13.232,284.0,284.0
2021-12-01,0.0,0.0,0.0,37.927,816.0,816.0
2022-01-01,0.0,0.0,0.0,398.839,6469.0,6469.0
2022-02-01,0.0,0.0,0.0,45.01,730.0,730.0
2022-03-01,0.0,0.0,0.0,3.2,51.0,51.0
2022-04-01,0.0,0.0,0.0,1.99,34.0,34.0
2022-05-01,0.0,0.0,0.0,5.825,96.0,96.0
2022-06-01,0.0,0.0,0.0,0.703,11.0,11.0
2022-07-01,0.0,0.0,0.0,0.95,17.0,17.0
2022-08-01,0.0,0.0,0.0,0.644,11.0,11.0
2022-09-01,0.0,0.0,0.0,1.027,17.0,17.0
2022-10-01,0.0,0.0,0.0,2.422,40.0,40.0
2022-11-01,0.0,0.0,0.0,7.39,119.0,119.0
