measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed
2004-12-01,43119.6001,417918.53,522150.0,1060.82392,10281.59,12845.88,15995.81499,155032.69,193698.8
2005-01-01,45673.3897,442670.05,558789.0,653.4884000000001,6333.66,7995.07,19503.607900000003,189030.49,238616.0
2005-02-01,40990.58042,397283.9,453919.2,318.47936,3086.73,3526.76,24521.42621,237663.57,271544.0
2005-03-01,46100.23772,446807.1,546988.8,288.47549,2795.93,3422.82,23258.9648,225427.7,275972.4
2005-04-01,21381.87249,207234.78,302031.6,7.5745499999999995,73.41,107.0,10245.71596,99302.28,144726.8
2005-05-01,36914.53862,357778.59,495733.8,504.78415,4892.41,6778.86,15085.08023,146205.77,202581.0
2005-06-01,48725.16171,472248.07,604112.6,38.91899,377.21,482.53,21323.41531,206668.2,264375.6
2005-07-01,53595.93053,519455.94,641154.4,76.47209,741.17,914.82,19612.89138,190089.68,234624.0
2005-08-01,52878.46565,512502.22,624456.8,219.51221,2127.53,2592.28,18109.22714,175516.04,213857.0
2005-09-01,53470.50225,518240.28,626256.0,89.96021999999999,871.9,1053.63,16455.01053,159483.25,192724.0
2005-10-01,43737.9534,423911.66,609341.2,94.70016,917.84,1319.33,11341.38245,109921.56,158004.0
2005-11-01,51089.49168,495163.34,604726.4,606.41669,5877.44,7177.92,978.46763,9483.38,11581.74
2005-12-01,61402.68939,595119.65,763519.2,0.0,0.0,0.0,1076.34961,10432.06,13384.0
2006-01-01,66080.01372,640452.65,901257.0,68.89233999999999,667.71,939.61,646.68094,6267.68,8820.0
2006-02-01,60936.58267,590602.12,777552.3,0.0,0.0,0.0,353.60433,3427.16,4512.0
2006-03-01,32642.84908,316377.04,403046.87,427.5068,4143.43,5278.5,835.91612,8101.76,10321.2
2006-04-01,57613.79608,558397.41,755557.25,145.36792,1408.92,1906.38,0.0,0.0,0.0
2006-05-01,61800.68756,598977.08,713302.9,298.07244000000003,2888.94,3440.35,0.0,0.0,0.0
2006-06-01,64349.99921,623685.21,777448.39,204.24779,1979.59,2467.63,0.0,0.0,0.0
2006-07-01,71071.72651,688832.72,814282.72,292.96749,2839.46,3356.59,0.0,0.0,0.0
2006-08-01,78246.77805,758373.87,846397.1,115.62295,1120.63,1250.7,0.0,0.0,0.0
2006-09-01,78667.776,762454.22,853495.5,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,62540.22899,606144.78,694266.0,634.06701,6145.43,7038.85,0.0,0.0,0.0
2006-11-01,78205.88151,757977.51,855215.4,40.322489999999995,390.81,440.94,0.0,0.0,0.0
2006-12-01,79114.66888,766785.54,889182.0,135.04912,1308.91,1517.84,0.0,0.0,0.0
2007-01-01,79405.188,769590.0,867459.0,110.533,1071.0,1208.0,0.0,0.0,0.0
2007-02-01,72996.244,707482.0,829466.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,22570.496,218747.0,316511.0,546.806,5300.0,7668.0,0.0,0.0,0.0
2007-04-01,78490.121,760730.0,865657.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,76033.103,736929.0,820380.0,135.012,1308.0,1457.0,0.0,0.0,0.0
2007-06-01,76146.028,738005.0,850870.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,69363.091,672272.0,848689.0,246.175,2386.0,3012.0,0.0,0.0,0.0
2007-08-01,78507.406,760908.0,1028014.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,79090.308,766539.0,885121.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,73874.919,716001.0,887914.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,63090.793,611476.0,829328.0,50.853,493.0,668.0,0.0,0.0,0.0
2007-12-01,59765.804000000004,579261.0,654428.0,177.28,1718.0,1941.0,8336.167000000001,80808.0,91280.0
2008-01-01,70313.495,722484.0,905810.0,201.505,2071.0,2596.0,0.0,0.0,0.0
2008-02-01,24456.0,249929.0,292318.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,23521.025,246162.0,290432.0,359.975,3767.0,4445.0,0.0,0.0,0.0
2008-04-01,69949.0,731861.0,872293.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,75324.0,757731.0,757731.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,71357.0,747832.0,811345.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,66423.586,699707.0,752019.0,275.414,2901.0,3118.0,0.0,0.0,0.0
2008-08-01,76617.0,804951.0,878065.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,72638.0,766028.0,816719.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,58796.498999999996,622054.0,694079.0,310.50100000000003,3285.0,3665.0,0.0,0.0,0.0
2008-11-01,68125.121,715969.0,820595.0,58.879000000000005,619.0,709.0,0.0,0.0,0.0
2008-12-01,73737.88,780592.0,871528.0,1.12,12.0,13.0,0.0,0.0,0.0
2009-01-01,67409.103,720040.0,871946.0,14.897,159.0,193.0,,,
2009-02-01,64791.973,684839.0,772826.0,156.02700000000002,1649.0,1861.0,,,
2009-03-01,32955.859,346654.0,383960.0,211.14100000000002,2221.0,2460.0,,,
2009-04-01,62151.347,664339.0,825034.0,175.65300000000002,1878.0,2332.0,,,
2009-05-01,57400.07,614154.0,802527.0,245.93,2631.0,3438.0,,,
2009-06-01,64114.0,672090.0,877704.0,0.0,0.0,0.0,,,
2009-07-01,64098.0,672481.0,720137.0,0.0,0.0,0.0,,,
2009-08-01,77371.0,809261.0,873075.0,0.0,0.0,0.0,,,
2009-09-01,71256.488,748494.0,802357.0,314.512,3304.0,3541.0,,,
2009-10-01,70008.564,739492.0,837736.0,101.436,1071.0,1214.0,,,
2009-11-01,73345.098,770109.0,823232.0,106.902,1122.0,1200.0,,,
2009-12-01,77072.0,810247.0,870679.0,0.0,0.0,0.0,,,
2010-01-01,70755.35,744854.0,796782.0,239.65,2523.0,2699.0,,,
2010-02-01,64000.984,673016.0,758659.0,88.016,926.0,1043.0,,,
2010-03-01,14020.0,147651.0,165151.0,0.0,0.0,0.0,,,
2010-04-01,72516.561,764380.0,870180.0,321.439,3388.0,3857.0,,,
2010-05-01,76648.231,807502.0,908868.0,54.769000000000005,577.0,649.0,,,
2010-06-01,74509.0,783116.0,829066.0,0.0,0.0,0.0,,,
2010-07-01,76082.469,796869.0,868068.0,38.531,404.0,440.0,,,
2010-08-01,76347.911,797473.0,860199.0,44.089,461.0,497.0,,,
2010-09-01,71436.0,750252.0,834335.0,0.0,0.0,0.0,,,
2010-10-01,60022.0,644428.0,866519.0,0.0,0.0,0.0,,,
2010-11-01,55645.43,600830.0,794064.0,85.57000000000001,924.0,1221.0,,,
2010-12-01,70745.341,747074.0,835224.0,28.659000000000002,303.0,338.0,,,
2011-01-01,70799.99,739324.0,828846.0,477.01,4981.0,5584.0,,,
2011-02-01,66754.819,705639.0,799302.0,1.181,12.0,14.0,,,
2011-03-01,33313.418,351922.0,391347.0,303.582,3207.0,3566.0,,,
2011-04-01,49623.519,523903.0,558998.0,350.481,3700.0,3948.0,,,
2011-05-01,66496.054,707121.0,801907.0,155.946,1658.0,1881.0,,,
2011-06-01,71458.033,758592.0,865922.0,291.967,3099.0,3538.0,,,
2011-07-01,74979.0,792936.0,892839.0,0.0,0.0,0.0,,,
2011-08-01,71834.286,757879.0,877673.0,148.714,1569.0,1817.0,,,
2011-09-01,71983.0,762547.0,816435.0,0.0,0.0,0.0,,,
2011-10-01,74474.0,788859.0,883406.0,0.0,0.0,0.0,,,
2011-11-01,56352.447,593657.0,666486.0,412.553,4346.0,4879.0,,,
2011-12-01,69448.0,744305.0,833100.0,0.0,0.0,0.0,,,
2012-01-01,65946.594,693988.0,814792.0,189.406,1993.0,2340.0,,,
2012-02-01,69398.0,735649.0,803928.0,0.0,0.0,0.0,,,
2012-03-01,74973.0,782837.0,904648.0,0.0,0.0,0.0,,,
2012-04-01,67519.0,710184.0,866755.0,0.0,0.0,0.0,,,
2012-05-01,10040.203,117273.0,205943.0,333.797,3899.0,6847.0,,,
2012-06-01,46063.554,492352.0,599799.0,276.446,2955.0,3600.0,,,
2012-07-01,39070.52,432284.0,570294.0,168.48,1864.0,2459.0,,,
2012-08-01,49576.257,536728.0,655862.0,84.743,917.0,1121.0,,,
2012-09-01,46501.0,506475.0,626949.0,0.0,0.0,0.0,,,
2012-10-01,33987.0,374433.0,497747.0,0.0,0.0,0.0,,,
2012-11-01,13062.573,152102.0,250854.0,208.427,2427.0,4003.0,,,
2012-12-01,37878.163,426913.0,652861.0,158.837,1790.0,2738.0,,,
2013-01-01,32477.761,346186.0,420288.0,342.239,3648.0,4429.0,,,
2013-02-01,30685.525,330052.0,396883.0,757.475,8147.0,9797.0,,,
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-04-01,32630.207,350026.0,433934.0,547.793,5876.0,7285.0,,,
2013-05-01,6822.214,74778.0,90378.0,100.786,1105.0,1335.0,,,
2013-06-01,61103.0,646522.0,760132.0,0.0,0.0,0.0,,,
2013-07-01,57820.0,618005.0,778267.0,0.0,0.0,0.0,,,
2013-08-01,55197.0,591721.0,785053.0,0.0,0.0,0.0,,,
2013-09-01,41717.0,448109.0,599752.0,0.0,0.0,0.0,,,
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,53738.0,574940.0,714237.0,0.0,0.0,0.0,,,
2014-04-01,38472.0,434055.0,868358.0,0.0,0.0,0.0,,,
2014-05-01,14181.0,153208.0,223171.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,57966.0,616581.0,752075.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,56796.693,607950.0,754333.0,0.307,3.0,4.0,0.0,0.0,0.0
2014-08-01,59347.0,630979.0,733739.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,49458.0,529995.0,661331.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,502.007,1395.0,1395.0,753.993,2095.0,2095.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
