measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-08-01,5768.3150000000005,31347.0,31347.0,12.478,148.0,148.0,-5.908,5558.0,5558.0,,,,53.263000000000005,636.0,636.0,-0.84,790.0,790.0,508.685,2764.0,2764.0
2008-09-01,1052.0,160191.0,160191.0,61.356,732.0,732.0,-29.049000000000003,27335.0,27335.0,,,,36.784,439.0,439.0,-0.58,545.0,545.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,84.24,1009.0,1009.0,-39.884,37536.0,37536.0,,,,39.748000000000005,475.0,475.0,-0.627,590.0,590.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,2.0460000000000003,24.0,24.0,-0.9690000000000001,915.0,915.0,,,,35.411,423.0,423.0,-0.558,525.0,525.0,0.0,0.0,0.0
2008-12-01,0.0,216.0,216.0,6.5440000000000005,77.0,77.0,-3.0980000000000003,2915.0,2915.0,,,,31.73,379.0,379.0,-0.5,471.0,471.0,0.0,0.0,0.0
2009-01-01,204.0,3537.0,3537.0,3.547,71.0,71.0,-21.717000000000002,614.0,614.0,,,,30.739,567.0,567.0,-1.78,48.0,48.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,1.496,30.0,30.0,-9.154,254.0,254.0,,,,26.968,498.0,498.0,-1.56,44.0,44.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0.36,6.0,6.0,-2.201,59.0,59.0,,,,28.977,536.0,536.0,-1.6760000000000002,47.0,47.0,0.0,0.0,0.0
2009-04-01,361.80600000000004,5643.0,5643.0,0.53,12.0,12.0,-3.246,89.0,89.0,,,,28.14,521.0,521.0,-1.6280000000000001,46.0,46.0,41.194,642.0,642.0
2009-05-01,352.0,6372.0,6372.0,0.533,12.0,12.0,-3.26,89.0,89.0,,,,27.234,503.0,503.0,-1.576,44.0,44.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,0.664,12.0,12.0,-4.063000000000001,112.0,112.0,,,,44.047000000000004,814.0,814.0,-2.548,71.0,71.0,0.0,0.0,0.0
2009-07-01,531.013,8586.0,8586.0,0.447,6.0,6.0,-2.734,77.0,77.0,,,,36.975,684.0,684.0,-2.1390000000000002,59.0,59.0,182.987,2959.0,2959.0
2009-08-01,20.0,0.0,0.0,0.14700000000000002,0.0,0.0,-0.902,24.0,24.0,,,,41.904,774.0,774.0,-2.424,67.0,67.0,20.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,0.19,6.0,6.0,-1.165,30.0,30.0,,,,41.475,767.0,767.0,-2.4,67.0,67.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,0.438,6.0,6.0,-2.682,77.0,77.0,,,,24.062,445.0,445.0,-1.3920000000000001,39.0,39.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,0.776,12.0,12.0,-4.7490000000000006,130.0,130.0,,,,24.411,452.0,452.0,-1.4120000000000001,40.0,40.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,1.084,18.0,18.0,-6.633,183.0,183.0,,,,33.856,626.0,626.0,-1.959,55.0,55.0,0.0,0.0,0.0
2010-01-01,1836.068,29079.0,29079.0,0.057,0.0,0.0,41.28,383.0,383.0,,,,71.98100000000001,1155.0,1155.0,4.429,41.0,41.0,14.932,236.0,236.0
2010-02-01,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,13.14,116.0,116.0,,,,65.22500000000001,1045.0,1045.0,4.013,36.0,36.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.017,0.0,0.0,12.687000000000001,110.0,110.0,,,,58.388000000000005,936.0,936.0,3.593,31.0,31.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.031,0.0,0.0,22.524,197.0,197.0,,,,50.738,813.0,813.0,3.1220000000000003,27.0,27.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,1.204,23.0,23.0,881.936,7830.0,7830.0,,,,69.516,1114.0,1114.0,4.277,38.0,38.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.015000000000000001,0.0,0.0,10.737,93.0,93.0,,,,88.095,1412.0,1412.0,5.421,48.0,48.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,0.016,0.0,0.0,12.053,104.0,104.0,,,,105.572,1692.0,1692.0,6.496,58.0,58.0,0.0,0.0,0.0
2010-08-01,1360.1470000000002,22572.0,22572.0,0.008,0.0,0.0,6.1850000000000005,52.0,52.0,,,,114.48100000000001,1835.0,1835.0,7.0440000000000005,63.0,63.0,23.853,396.0,396.0
2010-09-01,0.0,0.0,0.0,0.008,0.0,0.0,5.598,52.0,52.0,,,,72.647,1164.0,1164.0,4.47,40.0,40.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.033,0.0,0.0,24.289,215.0,215.0,,,,51.654,828.0,828.0,3.178,28.0,28.0,0.0,0.0,0.0
2010-11-01,257.762,3915.0,3915.0,0.008,0.0,0.0,6.135000000000001,52.0,52.0,,,,53.756,862.0,862.0,3.3080000000000003,29.0,29.0,265.238,4029.0,4029.0
2010-12-01,0.0,0.0,0.0,0.032,0.0,0.0,23.378,209.0,209.0,,,,76.5,1226.0,1226.0,4.707,42.0,42.0,0.0,0.0,0.0
2011-01-01,150.024,2475.0,2475.0,0.084,0.0,0.0,22.532,273.0,273.0,,,,288.015,5651.0,5651.0,77.056,921.0,921.0,428.976,7077.0,7077.0
2011-02-01,876.8,14750.0,14750.0,1.429,35.0,35.0,381.574,4559.0,4559.0,,,,206.558,4052.0,4052.0,55.264,660.0,660.0,19.2,323.0,323.0
2011-03-01,0.0,0.0,0.0,0.237,6.0,6.0,63.261,754.0,754.0,,,,176.865,3469.0,3469.0,47.319,565.0,565.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.205,6.0,6.0,54.676,655.0,655.0,,,,176.525,3462.0,3462.0,47.228,564.0,564.0,0.0,0.0,0.0
2011-05-01,307.752,5175.0,5175.0,0.117,0.0,0.0,31.304,371.0,371.0,,,,265.55,5209.0,5209.0,71.047,849.0,849.0,1280.248,21528.0,21528.0
2011-06-01,0.0,0.0,0.0,0.049,0.0,0.0,13.064,157.0,157.0,,,,346.547,6797.0,6797.0,92.717,1107.0,1107.0,1588.0,23508.0,23508.0
2011-07-01,446.663,0.0,0.0,0.042,0.0,0.0,11.314,133.0,133.0,,,,399.093,7828.0,7828.0,106.775,1275.0,1275.0,39.337,0.0,0.0
2011-08-01,0.0,0.0,0.0,0.07,0.0,0.0,18.657,220.0,220.0,,,,418.083,8200.0,8200.0,111.856,1336.0,1336.0,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0,0.084,0.0,0.0,22.322,267.0,267.0,,,,255.347,5008.0,5008.0,68.317,816.0,816.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,0.089,0.0,0.0,23.663,284.0,284.0,,,,244.54,4796.0,4796.0,65.425,781.0,781.0,0.0,0.0,0.0
2011-11-01,1200.837,19875.0,19875.0,0.076,0.0,0.0,20.412,244.0,244.0,,,,244.437,4794.0,4794.0,65.398,781.0,781.0,55.163,913.0,913.0
2011-12-01,1091.507,16800.0,16800.0,0.179,6.0,6.0,47.711,568.0,568.0,,,,265.779,5213.0,5213.0,71.108,849.0,849.0,70.493,1085.0,1085.0
2012-01-01,0.0,0.0,0.0,,,,100.857,951.0,951.0,,,,233.367,4016.0,4016.0,12.866,121.0,121.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,,,,31.444,296.0,296.0,,,,237.347,4086.0,4086.0,13.085,123.0,123.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,,,,73.906,696.0,696.0,,,,238.24,4102.0,4102.0,13.134,124.0,124.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,,,,30.339,284.0,284.0,,,,236.63,4074.0,4074.0,13.045,123.0,123.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,,,,165.039,1554.0,1554.0,,,,294.064,5063.0,5063.0,16.212,153.0,153.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,,,,94.499,893.0,893.0,,,,314.932,5422.0,5422.0,17.362,164.0,164.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,,,,81.435,766.0,766.0,,,,323.065,5562.0,5562.0,17.81,168.0,168.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,,,,217.964,2053.0,2053.0,,,,287.315,4946.0,4946.0,15.839,149.0,149.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,,,,32.619,307.0,307.0,,,,211.522,3642.0,3642.0,11.661,110.0,110.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,,,,60.72,574.0,574.0,,,,193.136,3325.0,3325.0,10.647,100.0,100.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,,,,28.632,273.0,273.0,,,,172.631,2972.0,2972.0,9.517,90.0,90.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,1.011,17.0,17.0,38.577,365.0,365.0,,,,195.74,3370.0,3370.0,10.791,102.0,102.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,,,,6.614,81.0,81.0,,,,,,,48.733,557.0,557.0,479.0,7972.0,7972.0
2013-02-01,0.0,0.0,0.0,,,,8.167,93.0,93.0,,,,,,,39.557,452.0,452.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,,,,17.505,197.0,197.0,,,,,,,36.084,412.0,412.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,,,,16.422,186.0,186.0,,,,,,,28.371,324.0,324.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,,,,11.113,128.0,128.0,,,,,,,35.572,406.0,406.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,,,,13.289,151.0,151.0,,,,,,,50.478,576.0,576.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,,,,7.307,81.0,81.0,,,,,,,49.975,571.0,571.0,1557.0,20845.0,20845.0
2013-08-01,0.0,0.0,0.0,,,,5.704,64.0,64.0,,,,,,,53.034,605.0,605.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,,,,8.079,93.0,93.0,,,,,,,37.117,424.0,424.0,21.0,3051.0,3051.0
2013-10-01,0.0,0.0,0.0,,,,10.053,116.0,116.0,,,,,,,37.175,424.0,424.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,,,,8.022,93.0,93.0,,,,,,,36.303,414.0,414.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,,,,12.705,145.0,145.0,,,,,,,39.621,452.0,452.0,126.0,8009.0,8009.0
2014-01-01,0.0,0.0,0.0,,,,47.332,622.0,622.0,,,,,,,378.515,5014.0,5014.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,,,,79.656,1054.0,1054.0,,,,,,,270.745,3587.0,3587.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,,,,22.41,297.0,297.0,,,,,,,261.935,3470.0,3470.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,,,,94.671,1256.0,1256.0,,,,,,,188.247,2494.0,2494.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,,,,89.268,1183.0,1183.0,,,,,,,332.549,4406.0,4406.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,,,,60.018,796.0,796.0,,,,,,,340.07,4506.0,4506.0,155.0,19465.0,19465.0
2014-07-01,0.0,0.0,0.0,,,,23.705,314.0,314.0,,,,,,,334.565,4433.0,4433.0,580.0,7673.0,7673.0
2014-08-01,0.0,0.0,0.0,,,,32.009,426.0,426.0,,,,,,,395.871,5245.0,5245.0,2968.0,30702.0,30702.0
2014-09-01,0.0,0.0,0.0,,,,90.036,1194.0,1194.0,,,,,,,325.693,4315.0,4315.0,542.0,8586.0,8586.0
2014-10-01,0.0,0.0,0.0,,,,52.898,701.0,701.0,,,,,,,324.923,4305.0,4305.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,,,,104.431,1385.0,1385.0,,,,,,,272.752,3614.0,3614.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,,,,26.398,348.0,348.0,,,,,,,349.303,4628.0,4628.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,,,,54.293,1460.0,1460.0,,,,,,,479.774,12883.0,12883.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,,,,69.614,1867.0,1867.0,,,,,,,545.214,14640.0,14640.0,662.0,8039.0,8039.0
2015-03-01,0.0,0.0,0.0,,,,29.914,803.0,803.0,,,,,,,475.343,12764.0,12764.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,,,,105.319,2827.0,2827.0,,,,,,,361.016,9694.0,9694.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,,,,86.327,2321.0,2321.0,,,,,,,461.035,12380.0,12380.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,,,,43.338,1163.0,1163.0,,,,,,,558.674,15002.0,15002.0,1307.0,14923.0,14923.0
