measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2016-03-01,34.852,905.0,905.0,0.0,0.0,0.0,,,,6040.148,156800.0,156800.0
2016-04-01,85.586,1633.0,1633.0,0.0,0.0,0.0,,,,15899.414,303368.0,303368.0
2016-05-01,0.455,8.0,8.0,0.0,0.0,0.0,,,,16349.545,293105.0,293105.0
2016-06-01,40.192,769.0,769.0,0.0,0.0,0.0,,,,14139.808,270570.0,270570.0
2016-07-01,10.527,201.0,201.0,0.0,0.0,0.0,,,,17028.473,325037.0,325037.0
2016-08-01,26.152,538.0,538.0,0.0,0.0,0.0,,,,15797.848,324713.0,324713.0
2016-09-01,26.79,516.0,516.0,0.0,0.0,0.0,,,,15601.21,300559.0,300559.0
2016-10-01,39.25,756.0,756.0,0.0,0.0,0.0,,,,13638.75,262634.0,262634.0
2016-11-01,12.541,241.0,241.0,0.0,0.0,0.0,,,,15716.459,301660.0,301660.0
2016-12-01,71.126,1401.0,1401.0,0.0,0.0,0.0,,,,16077.874,316800.0,316800.0
2017-01-01,15.921,315.0,315.0,,,,,,,15171.079,300333.0,300333.0
2017-02-01,5.841,117.0,117.0,,,,,,,14992.159,301073.0,301073.0
2017-03-01,44.18,894.0,894.0,,,,,,,15047.82,304332.0,304332.0
2017-04-01,7.106,160.0,160.0,,,,,,,2446.894,55142.0,55142.0
2017-05-01,20.475,381.0,381.0,,,,,,,16287.525,303463.0,303463.0
2017-06-01,1.41,26.0,26.0,,,,,,,16439.59,297335.0,297335.0
2017-07-01,22.539,448.0,448.0,,,,,,,15098.461,299954.0,299954.0
2017-08-01,17.597,342.0,342.0,,,,,,,15975.403,310210.0,310210.0
2017-09-01,0.0,0.0,0.0,,,,,,,16635.0,320229.0,320229.0
2017-10-01,22.197,441.0,441.0,,,,,,,5457.803,108346.0,108346.0
2017-11-01,-1.195,0.0,0.0,,,,,,,-476.805,0.0,0.0
2017-12-01,-1.388,0.0,0.0,,,,,,,-553.612,0.0,0.0
2018-01-01,-586.0,896.0,896.0,,,,,,,0.0,0.0,0.0
2018-02-01,23.834,419.0,419.0,,,,,,,13481.166,237124.0,237124.0
2018-03-01,32.526,556.0,556.0,,,,,,,16179.474,276523.0,276523.0
2018-04-01,4.025,62.0,62.0,,,,,,,18800.975,290659.0,290659.0
2018-05-01,19.022,295.0,295.0,,,,,,,18303.978,283656.0,283656.0
2018-06-01,0.396,6.0,6.0,,,,,,,19873.604,307099.0,307099.0
2018-07-01,3.333,55.0,55.0,,,,,,,16004.667,264460.0,264460.0
2018-08-01,7.046,116.0,116.0,,,,,,,15905.954,262493.0,262493.0
2018-09-01,4.063,68.0,68.0,,,,,,,14567.937,245031.0,245031.0
2018-10-01,11.063,194.0,194.0,,,,,,,15071.937,264032.0,264032.0
2018-11-01,1.447,26.0,26.0,,,,,,,16327.553,287785.0,287785.0
2018-12-01,0.733,13.0,13.0,,,,,,,17602.267,318397.0,318397.0
2019-01-01,2.244,38.0,38.0,,,,,,,17792.756,302116.0,302116.0
2019-02-01,3.211,55.0,55.0,,,,,,,15833.789,269173.0,269173.0
2019-03-01,10.423,178.0,178.0,,,,,,,13597.577,232464.0,232464.0
2019-04-01,0.486,8.0,8.0,,,,,,,17840.514,302339.0,302339.0
2019-05-01,5.713,97.0,97.0,,,,,,,18381.287,311506.0,311506.0
2019-06-01,37.422,637.0,637.0,,,,,,,17121.578,291237.0,291237.0
2019-07-01,20.947,363.0,363.0,,,,,,,15867.053,274636.0,274636.0
2019-08-01,14.574,251.0,251.0,,,,,,,17024.426,293583.0,293583.0
2019-09-01,0.124,2.0,2.0,,,,,,,18259.876,303900.0,303900.0
2019-10-01,43.762,768.0,768.0,,,,,,,13408.238,235426.0,235426.0
2019-11-01,0.0,0.0,0.0,,,,,,,16140.0,277800.0,277800.0
2019-12-01,10.67,176.0,176.0,,,,,,,18734.33,309257.0,309257.0
2020-01-01,2.314,37.0,37.0,,,,,,,18498.686,298400.0,298400.0
2020-02-01,0.0,0.0,0.0,,,,,,,17106.0,283202.0,283202.0
2020-03-01,49.364,830.0,830.0,,,,,,,13783.636,231644.0,231644.0
2020-04-01,3.201,53.0,53.0,,,,,,,17265.799,285222.0,285222.0
2020-05-01,3.077,51.0,51.0,,,,,,,17828.923,294393.0,294393.0
2020-06-01,2.012,33.0,33.0,,,,,,,17449.988,287763.0,287763.0
2020-07-01,12.501,207.0,207.0,,,,,,,16463.499,273151.0,273151.0
2020-08-01,7.982,132.0,132.0,,,,,,,18046.018,297765.0,297765.0
2020-09-01,0.189,3.0,3.0,,,,,,,17851.811,293823.0,293823.0
2020-10-01,21.624,360.0,360.0,,,,,,,14253.376,237182.0,237182.0
2020-11-01,31.138,517.0,517.0,,,,,,,16032.862,266439.0,266439.0
2020-12-01,9.369,156.0,156.0,,,,,,,16624.631,276018.0,276018.0
2021-01-01,4.668,72.0,72.0,,,,,,,16572.332,254756.0,254756.0
2021-02-01,0.0,0.0,0.0,,,,,,,15572.0,241530.0,241530.0
2021-03-01,11.971,190.0,190.0,,,,,,,16135.029,256522.0,256522.0
2021-04-01,24.435,376.0,376.0,,,,,,,12348.565,190259.0,190259.0
2021-05-01,20.036,277.0,277.0,,,,,,,15694.964,216707.0,216707.0
2021-06-01,0.071,1.0,1.0,,,,,,,16893.929,248391.0,248391.0
2021-07-01,11.296,168.0,168.0,,,,,,,15613.704,232878.0,232878.0
2021-08-01,3.899,58.0,58.0,,,,,,,17167.101,256443.0,256443.0
2021-09-01,0.501,7.0,7.0,,,,,,,16793.499,244220.0,244220.0
2021-10-01,14.119,216.0,216.0,,,,,,,13430.881,205784.0,205784.0
2021-11-01,0.0,0.0,0.0,,,,,,,17117.0,262773.0,262773.0
2021-12-01,3.539,56.0,56.0,,,,,,,17307.461,274650.0,274650.0
2022-01-01,0.371,6.0,6.0,,,,,,,17213.629,286634.0,286634.0
2022-02-01,8.987,146.0,146.0,,,,,,,14000.013,227849.0,227849.0
2022-03-01,3.14,49.0,49.0,,,,,,,15485.86,243853.0,243853.0
2022-04-01,14.192,213.0,213.0,,,,,,,13905.808,208914.0,208914.0
2022-05-01,0.0,0.0,0.0,,,,,,,17494.0,256539.0,256539.0
2022-06-01,0.069,1.0,1.0,,,,,,,16731.931,248060.0,248060.0
2022-07-01,5.109,74.0,74.0,,,,,,,15055.891,218549.0,218549.0
2022-08-01,12.167,173.0,173.0,,,,,,,16720.833,237811.0,237811.0
2022-09-01,0.0,0.0,0.0,,,,,,,16161.0,240519.0,240519.0
2022-10-01,19.862,304.0,304.0,,,,,,,11951.138,182826.0,182826.0
2022-11-01,0.0,0.0,0.0,,,,,,,16011.0,250432.0,250432.0
2022-12-01,1.458,22.0,22.0,,,,,,,14929.542,221520.0,221520.0
2023-01-01,0.0,0.0,0.0,,,,,,,12720.0,240638.0,240638.0
2023-02-01,9.386,179.0,179.0,,,,,,,10677.614,203892.0,203892.0
2023-03-01,11.879,225.0,225.0,,,,,,,11665.121,220495.0,220495.0
2023-04-01,25.112,450.0,450.0,,,,,,,13573.888,243304.0,243304.0
2023-05-01,14.126,266.0,266.0,,,,,,,15511.874,291810.0,291810.0
2023-06-01,9.096,214.0,214.0,,,,,,,14303.904,336919.0,336919.0
2023-07-01,0.0,0.0,0.0,,,,,,,17309.0,312976.0,312976.0
2023-08-01,9.815,178.0,178.0,,,,,,,16174.185,293625.0,293625.0
2023-09-01,0.754,13.0,13.0,,,,,,,16502.246,293148.0,293148.0
2023-10-01,11.733,218.0,218.0,,,,,,,15235.267,283533.0,283533.0
2023-11-01,24.774,464.0,464.0,,,,,,,14696.226,274949.0,274949.0
2023-12-01,0.0,0.0,0.0,,,,,,,17094.0,316181.0,316181.0
2024-01-01,10.93,205.0,205.0,,,,,,,15933.07,298792.0,298792.0
2024-02-01,28.199,527.0,527.0,,,,,,,14609.801,273226.0,273226.0
2024-03-01,17.17,307.0,307.0,,,,,,,16429.83,293711.0,293711.0
2024-04-01,47.137,860.0,860.0,,,,,,,13928.863,254144.0,254144.0
2024-05-01,17.299,312.0,312.0,,,,,,,16448.701,296744.0,296744.0
2024-06-01,18.848,343.0,343.0,,,,,,,15878.152,288953.0,288953.0
2024-07-01,3.843,70.0,70.0,,,,,,,17161.157,312777.0,312777.0
2024-08-01,39.319,717.0,717.0,,,,,,,14971.681,272968.0,272968.0
2024-09-01,2.407,42.0,42.0,,,,,,,16728.593,293437.0,293437.0
2024-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2024-11-01,66.883,1173.0,1173.0,,,,,,,11375.117,199528.0,199528.0
2024-12-01,36.872,656.0,656.0,,,,,,,14351.128,255370.0,255370.0
