measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed,"Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Generation","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Quantity Consumed For Electricity","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Total Fuel Consumed"
2010-04-01,0.0,0.0,0.0,,,,2083.0,20322.0,20322.0
2010-05-01,12.0,491.0,491.0,,,,3259.0,31795.0,31795.0
2010-06-01,2863.0,44183.0,44183.0,,,,4105.0,40048.0,40048.0
2010-07-01,2552.0,40040.0,40040.0,,,,3562.0,34751.0,34751.0
2010-08-01,2961.0,45698.0,45698.0,,,,3786.0,36936.0,36936.0
2010-09-01,3401.0,51558.0,51558.0,,,,2956.0,28839.0,28839.0
2010-10-01,0.0,0.0,0.0,,,,868.0,8468.0,8468.0
2010-11-01,0.0,0.0,0.0,,,,372.0,3629.0,3629.0
2010-12-01,0.0,241.0,241.0,,,,39.0,380.0,380.0
2011-01-01,64.0,1591.0,1591.0,,,,65.0,632.0,632.0
2011-02-01,0.0,0.0,0.0,,,,577.0,5606.0,5606.0
2011-03-01,0.0,0.0,0.0,,,,1493.0,14506.0,14506.0
2011-04-01,0.0,86.0,86.0,,,,2825.0,27448.0,27448.0
2011-05-01,0.0,146.0,146.0,,,,3491.0,33919.0,33919.0
2011-06-01,2578.0,39741.0,39741.0,,,,5174.0,50271.0,50271.0
2011-07-01,2721.0,41428.0,41428.0,,,,3793.0,36853.0,36853.0
2011-08-01,3150.0,47143.0,47143.0,,,,3969.0,38563.0,38563.0
2011-09-01,3324.0,49139.0,49139.0,,,,2625.0,25505.0,25505.0
2011-10-01,0.0,0.0,0.0,,,,1534.0,14904.0,14904.0
2011-11-01,0.0,0.0,0.0,,,,397.0,3857.0,3857.0
2011-12-01,0.0,0.0,0.0,,,,255.0,2478.0,2478.0
2012-01-01,0.0,0.0,0.0,,,,16.0,152.0,152.0
2012-02-01,0.0,174.0,174.0,,,,7.0,67.0,67.0
2012-03-01,0.0,659.0,659.0,,,,1349.0,12837.0,12837.0
2012-04-01,0.0,56.0,56.0,,,,2352.0,22382.0,22382.0
2012-05-01,44.0,669.0,669.0,,,,3992.0,37988.0,37988.0
2012-06-01,2584.0,38607.0,38607.0,,,,5208.0,49559.0,49559.0
2012-07-01,2855.0,43261.0,43261.0,,,,3956.0,37645.0,37645.0
2012-08-01,3528.0,52099.0,52099.0,,,,3086.0,29366.0,29366.0
2012-09-01,3068.0,39754.0,39754.0,,,,2790.0,26550.0,26550.0
2012-10-01,0.0,0.0,0.0,,,,1630.0,15511.0,15511.0
2012-11-01,0.0,0.0,0.0,,,,563.0,5358.0,5358.0
2012-12-01,0.0,201.0,201.0,,,,177.0,1684.0,1684.0
2013-01-01,83.0,1469.0,1469.0,,,,0.0,0.0,0.0
2013-02-01,0.0,21.0,21.0,,,,1076.0,10266.0,10266.0
2013-03-01,0.0,0.0,0.0,,,,2167.0,20675.0,20675.0
2013-04-01,0.0,0.0,0.0,,,,2654.0,25322.0,25322.0
2013-05-01,0.0,319.0,319.0,,,,3134.0,29901.0,29901.0
2013-06-01,2872.0,41179.0,41179.0,,,,3958.0,37763.0,37763.0
2013-07-01,3519.0,46546.0,46546.0,,,,2614.0,24940.0,24940.0
2013-08-01,3451.0,49511.0,49511.0,,,,3047.0,29071.0,29071.0
2013-09-01,3326.0,50379.0,50379.0,,,,2468.0,23547.0,23547.0
2013-10-01,0.0,0.0,0.0,,,,1428.0,13625.0,13625.0
2013-11-01,0.0,0.0,0.0,,,,387.0,3692.0,3692.0
2013-12-01,0.0,0.0,0.0,,,,240.0,2290.0,2290.0
2014-01-01,74.0,1566.0,1566.0,,,,14.0,133.0,133.0
2014-02-01,0.0,0.0,0.0,,,,357.0,3395.0,3395.0
2014-03-01,0.0,0.0,0.0,,,,1501.0,14275.0,14275.0
2014-04-01,0.0,0.0,0.0,,,,1524.0,14493.0,14493.0
2014-05-01,10.0,416.0,416.0,,,,2008.0,19096.0,19096.0
2014-06-01,1496.0,22253.0,22253.0,,,,2207.0,20989.0,20989.0
2014-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-06-01,,,,4014.52,36986.0,36986.0,,,
2017-07-01,,,,3659.279,33713.0,33713.0,,,
2017-08-01,,,,3381.743,31156.0,31156.0,,,
2017-09-01,,,,3157.826,29093.0,29093.0,,,
2017-10-01,,,,2909.093,26801.0,26801.0,,,
2017-11-01,,,,1787.648,16470.0,16470.0,,,
2017-12-01,,,,1704.891,15707.0,15707.0,,,
2018-01-01,,,,1731.326,15762.0,15762.0,,,
2018-02-01,,,,2437.097,22187.0,22187.0,,,
2018-03-01,,,,2786.667,25370.0,25370.0,,,
2018-04-01,,,,3483.682,31715.0,31715.0,,,
2018-05-01,,,,4199.162,38229.0,38229.0,,,
2018-06-01,,,,4524.322,41189.0,41189.0,,,
2018-07-01,,,,3910.687,35603.0,35603.0,,,
2018-08-01,,,,3937.908,35851.0,35851.0,,,
2018-09-01,,,,3727.784,33938.0,33938.0,,,
2018-10-01,,,,2937.005,26738.0,26738.0,,,
2018-11-01,,,,2020.198,18392.0,18392.0,,,
2018-12-01,,,,1607.162,14632.0,14632.0,,,
2019-01-01,,,,1800.698,16035.0,16035.0,,,
2019-02-01,,,,2101.099,18710.0,18710.0,,,
2019-03-01,,,,3191.597,28421.0,28421.0,,,
2019-04-01,,,,3712.045,33056.0,33056.0,,,
2019-05-01,,,,3864.839,34416.0,34416.0,,,
2019-06-01,,,,4672.36,41607.0,41607.0,,,
2019-07-01,,,,4611.034,41061.0,41061.0,,,
2019-08-01,,,,4515.953,40215.0,40215.0,,,
2019-09-01,,,,3693.101,32887.0,32887.0,,,
2019-10-01,,,,3393.349,30218.0,30218.0,,,
2019-11-01,,,,2170.162,19325.0,19325.0,,,
2019-12-01,,,,1398.763,12456.0,12456.0,,,
2020-01-01,,,,1742.005,15272.0,15272.0,,,
2020-02-01,,,,2361.373,20702.0,20702.0,,,
2020-03-01,,,,2310.747,20258.0,20258.0,,,
2020-04-01,,,,2912.191,25531.0,25531.0,,,
2020-05-01,,,,3811.328,33414.0,33414.0,,,
2020-06-01,,,,3795.323,33274.0,33274.0,,,
2020-07-01,,,,4286.88,37583.0,37583.0,,,
2020-08-01,,,,3551.562,31137.0,31137.0,,,
2020-09-01,,,,2788.677,24448.0,24448.0,,,
2020-10-01,,,,2577.649,22598.0,22598.0,,,
2020-11-01,,,,2037.821,17866.0,17866.0,,,
2020-12-01,,,,1613.444,14145.0,14145.0,,,
2021-01-01,,,,1662.44,14703.0,14703.0,,,
2021-02-01,,,,2177.751,19260.0,19260.0,,,
2021-03-01,,,,2811.854,24868.0,24868.0,,,
2021-04-01,,,,3519.706,31128.0,31128.0,,,
2021-05-01,,,,3836.415,33929.0,33929.0,,,
2021-06-01,,,,3726.664,32959.0,32959.0,,,
2021-07-01,,,,3569.433,31568.0,31568.0,,,
2021-08-01,,,,3510.902,31050.0,31050.0,,,
2021-09-01,,,,3027.306,26773.0,26773.0,,,
2021-10-01,,,,2519.702,22284.0,22284.0,,,
2021-11-01,,,,2004.905,17731.0,17731.0,,,
2021-12-01,,,,1369.922,12116.0,12116.0,,,
2022-01-01,,,,1658.886,5660.0,5660.0,,,
2022-02-01,,,,1978.715,6751.0,6751.0,,,
2022-03-01,,,,2623.356,8951.0,8951.0,,,
2022-04-01,,,,2959.234,10097.0,10097.0,,,
2022-05-01,,,,3468.311,11834.0,11834.0,,,
2022-06-01,,,,3611.378,12322.0,12322.0,,,
2022-07-01,,,,3483.125,11884.0,11884.0,,,
2022-08-01,,,,3234.054,11035.0,11035.0,,,
2022-09-01,,,,2729.272,9312.0,9312.0,,,
2022-10-01,,,,2514.452,8579.0,8579.0,,,
2022-11-01,,,,1864.042,6360.0,6360.0,,,
2022-12-01,,,,1303.175,4446.0,4446.0,,,
2023-01-01,,,,1646.0,5616.0,5616.0,,,
2023-02-01,,,,2128.0,7261.0,7261.0,,,
2023-03-01,,,,2650.0,9042.0,9042.0,,,
2023-04-01,,,,3451.0,11775.0,11775.0,,,
2023-05-01,,,,3414.0,11649.0,11649.0,,,
2023-06-01,,,,3958.0,13505.0,13505.0,,,
2023-07-01,,,,3726.0,12713.0,12713.0,,,
2023-08-01,,,,3223.0,10997.0,10997.0,,,
2023-09-01,,,,2694.0,9192.0,9192.0,,,
2023-10-01,,,,2407.0,8213.0,8213.0,,,
2023-11-01,,,,1987.0,6780.0,6780.0,,,
2023-12-01,,,,1294.0,4415.0,4415.0,,,
2024-01-01,,,,1721.0,5872.0,5872.0,,,
2024-02-01,,,,2113.0,7210.0,7210.0,,,
2024-03-01,,,,2608.0,8898.0,8898.0,,,
2024-04-01,,,,3920.0,13375.0,13375.0,,,
2024-05-01,,,,4340.0,14808.0,14808.0,,,
2024-06-01,,,,4218.0,14392.0,14392.0,,,
2024-07-01,,,,3815.0,13017.0,13017.0,,,
2024-08-01,,,,3968.0,13539.0,13539.0,,,
2024-09-01,,,,3371.0,11502.0,11502.0,,,
2024-10-01,,,,2932.0,10004.0,10004.0,,,
2024-11-01,,,,2232.0,7616.0,7616.0,,,
2024-12-01,,,,1823.0,6220.0,6220.0,,,
