measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2008-06-01,-10.555,443.0,443.0,5694.309,56112.0,56112.0
2008-07-01,-7.8740000000000006,330.0,330.0,5408.006,53290.0,53290.0
2008-08-01,-10.305,431.0,431.0,8623.048,84972.0,84972.0
2008-09-01,-10.302000000000001,431.0,431.0,6195.978,61055.0,61055.0
2008-10-01,-12.802000000000001,531.0,531.0,5712.791,56294.0,56294.0
2008-11-01,-19.876,826.0,826.0,2801.971,27611.0,27611.0
2008-12-01,-21.721,909.0,909.0,11449.247,112821.0,112821.0
2009-01-01,-17.496000000000002,1475.0,1475.0,11690.531,114100.0,114100.0
2009-02-01,-12.821,1086.0,1086.0,4722.349,46090.0,46090.0
2009-03-01,-12.054,1021.0,1021.0,8120.869000000001,79260.0,79260.0
2009-04-01,-6.839,578.0,578.0,6620.876,64620.0,64620.0
2009-05-01,-8.483,720.0,720.0,11002.775,107387.0,107387.0
2009-06-01,-7.248,614.0,614.0,13012.081,126998.0,126998.0
2009-07-01,-6.283,531.0,531.0,5948.822,58061.0,58061.0
2009-08-01,-6.417000000000001,543.0,543.0,6548.264,63911.0,63911.0
2009-09-01,-6.305,531.0,531.0,9638.806,94075.0,94075.0
2009-10-01,-5.493,466.0,466.0,11335.164,110631.0,110631.0
2009-11-01,-7.894,667.0,667.0,16471.657,160763.0,160763.0
2009-12-01,-8.667,732.0,732.0,16217.806,158286.0,158286.0
2010-01-01,-14.825000000000001,2934.0,2934.0,17623.067,171931.0,171931.0
2010-02-01,-7.579000000000001,1505.0,1505.0,18712.241,182557.0,182557.0
2010-03-01,-3.436,682.0,682.0,13220.482,128979.0,128979.0
2010-04-01,-3.0460000000000003,606.0,606.0,8537.548,83292.0,83292.0
2010-05-01,-4.8420000000000005,958.0,958.0,8362.882,81588.0,81588.0
2010-06-01,-4.359,864.0,864.0,8251.965,80506.0,80506.0
2010-07-01,-3.104,617.0,617.0,5398.975,52672.0,52672.0
2010-08-01,-3.52,700.0,700.0,7314.825000000001,71363.0,71363.0
2010-09-01,-2.74,541.0,541.0,7061.459000000001,68892.0,68892.0
2010-10-01,-2.9090000000000003,576.0,576.0,6944.638,67752.0,67752.0
2010-11-01,-3.822,759.0,759.0,7481.522,72990.0,72990.0
2010-12-01,-10.818000000000001,2146.0,2146.0,10602.396,103437.0,103437.0
2011-01-01,-96.184,1853.0,1853.0,7810.95,75891.0,75891.0
2011-02-01,-24.97,484.0,484.0,6618.75,64308.0,64308.0
2011-03-01,-32.778,637.0,637.0,12640.186,122812.0,122812.0
2011-04-01,-27.304,531.0,531.0,11023.707,107106.0,107106.0
2011-05-01,-48.341,938.0,938.0,6981.014,67828.0,67828.0
2011-06-01,-45.337,879.0,879.0,7274.852,70682.0,70682.0
2011-07-01,-24.609,478.0,478.0,6244.554,60672.0,60672.0
2011-08-01,-27.971,543.0,543.0,6416.353,62341.0,62341.0
2011-09-01,-28.021,543.0,543.0,5960.509,57912.0,57912.0
2011-10-01,-18.283,354.0,354.0,6024.508,58534.0,58534.0
2011-11-01,-28.808,561.0,561.0,6992.131,67936.0,67936.0
2011-12-01,-29.394,566.0,566.0,13828.486,134358.0,134358.0
2012-01-01,-46.95,1198.0,1198.0,14469.189,137689.0,137689.0
2012-02-01,-28.533,738.0,738.0,8921.702,84899.0,84899.0
2012-03-01,-17.51,454.0,454.0,8188.68,77923.0,77923.0
2012-04-01,-23.706,614.0,614.0,6877.579,65447.0,65447.0
2012-05-01,-36.706,944.0,944.0,8501.044,80896.0,80896.0
2012-06-01,-19.108,496.0,496.0,6930.384,65950.0,65950.0
2012-07-01,-18.509,478.0,478.0,5877.96,55935.0,55935.0
2012-08-01,-11.424,295.0,295.0,7461.513,71004.0,71004.0
2012-09-01,-16.676,431.0,431.0,7458.227,70972.0,70972.0
2012-10-01,-23.683,614.0,614.0,9249.171,88015.0,88015.0
2012-11-01,-24.15,625.0,625.0,8284.447,78835.0,78835.0
2012-12-01,-16.045,413.0,413.0,5879.104,55946.0,55946.0
2013-01-01,-57.083,419.0,419.0,14404.937,137438.0,137438.0
2013-02-01,-40.066,295.0,295.0,16911.096,161349.0,161349.0
2013-03-01,-51.834,384.0,384.0,11436.363,109114.0,109114.0
2013-04-01,-29.526,218.0,218.0,9531.91,90944.0,90944.0
2013-05-01,-38.99,289.0,289.0,15354.698,146499.0,146499.0
2013-06-01,-23.682,177.0,177.0,12979.295,123835.0,123835.0
2013-07-01,-46.418,342.0,342.0,18688.207,178304.0,178304.0
2013-08-01,-27.365,201.0,201.0,10666.145,101766.0,101766.0
2013-09-01,-26.089,195.0,195.0,8583.9,81899.0,81899.0
2013-10-01,-36.27,271.0,271.0,8814.601,84100.0,84100.0
2013-11-01,-57.006,425.0,425.0,7379.572,70408.0,70408.0
2013-12-01,-39.671,295.0,295.0,14767.276,140895.0,140895.0
2014-01-01,451.535,15765.0,15765.0,20177.216,191885.0,191885.0
2014-02-01,37.034,1292.0,1292.0,12984.113,123479.0,123479.0
2014-03-01,45.296,1581.0,1581.0,10275.913,97724.0,97724.0
2014-04-01,16.168,566.0,566.0,8846.798,84133.0,84133.0
2014-05-01,37.092,1292.0,1292.0,8494.081,80779.0,80779.0
2014-06-01,33.044,1151.0,1151.0,9124.299,86772.0,86772.0
2014-07-01,19.694,684.0,684.0,6923.67,65844.0,65844.0
2014-08-01,25.908,903.0,903.0,9262.421,88086.0,88086.0
2014-09-01,13.835,484.0,484.0,8539.645,81212.0,81212.0
2014-10-01,14.322,502.0,502.0,9091.112,86456.0,86456.0
2014-11-01,26.788,932.0,932.0,7390.316,70282.0,70282.0
2014-12-01,32.284,1127.0,1127.0,7819.416,74363.0,74363.0
2015-01-01,14.682,3581.0,3581.0,8940.77,83319.0,83319.0
2015-02-01,33.805,8231.0,8231.0,6462.664,60226.0,60226.0
2015-03-01,3.557,867.0,867.0,7387.43,68843.0,68843.0
2015-04-01,1.416,342.0,342.0,8362.12,77927.0,77927.0
2015-05-01,4.738,1156.0,1156.0,5002.474,46618.0,46618.0
2015-06-01,3.646,885.0,885.0,5406.518,50383.0,50383.0
2015-07-01,2.577,625.0,625.0,6039.912,56286.0,56286.0
2015-08-01,2.367,578.0,578.0,5295.66,49350.0,49350.0
2015-09-01,2.303,561.0,561.0,5207.721,48531.0,48531.0
2015-10-01,1.806,443.0,443.0,11020.234,102698.0,102698.0
2015-11-01,4.998,1215.0,1215.0,13959.186,130086.0,130086.0
2015-12-01,3.105,755.0,755.0,16290.311,151809.0,151809.0
2016-01-01,-15.812,2095.0,2095.0,16342.338,150872.0,150872.0
2016-02-01,-10.849,1434.0,1434.0,12536.305,115735.0,115735.0
2016-03-01,-3.454,454.0,454.0,8587.879,79283.0,79283.0
2016-04-01,-3.493,460.0,460.0,3606.848,33298.0,33298.0
2016-05-01,-5.824,773.0,773.0,5273.983,48689.0,48689.0
2016-06-01,-5.354,708.0,708.0,3759.637,34709.0,34709.0
2016-07-01,-4.365,578.0,578.0,4135.138,38176.0,38176.0
2016-08-01,-4.2,555.0,555.0,5113.631,47209.0,47209.0
2016-09-01,-3.682,490.0,490.0,3370.571,31117.0,31117.0
2016-10-01,-3.976,525.0,525.0,4884.483,45094.0,45094.0
2016-11-01,-3.868,513.0,513.0,2172.108,20053.0,20053.0
2016-12-01,-8.123,1074.0,1074.0,2632.079,24299.0,24299.0
2017-01-01,-20.123,614.0,614.0,7121.02,65606.0,65606.0
2017-02-01,-10.202,307.0,307.0,4785.624,44090.0,44090.0
2017-03-01,-13.384,401.0,401.0,2560.217,23587.0,23587.0
2017-04-01,-13.469,407.0,407.0,6845.483,63067.0,63067.0
2017-05-01,-15.023,454.0,454.0,14985.226,138059.0,138059.0
2017-06-01,-9.77,295.0,295.0,11612.405,106985.0,106985.0
2017-07-01,-8.495,254.0,254.0,6332.102,58338.0,58338.0
2017-08-01,-6.631,201.0,201.0,6370.806,58694.0,58694.0
2017-09-01,-11.737,354.0,354.0,5644.542,52003.0,52003.0
2017-10-01,-16.228,490.0,490.0,6907.947,63643.0,63643.0
2017-11-01,-24.625,743.0,743.0,5602.626,51617.0,51617.0
2017-12-01,-24.313,732.0,732.0,5255.002,48414.0,48414.0
2018-01-01,116.902,7281.0,7281.0,5573.638,50742.0,50742.0
2018-02-01,4.451,277.0,277.0,6683.086,60843.0,60843.0
2018-03-01,9.712,602.0,602.0,5821.679,53001.0,53001.0
2018-04-01,6.42,401.0,401.0,7793.087,70948.0,70948.0
2018-05-01,9.087,566.0,566.0,7722.074,70302.0,70302.0
2018-06-01,8.385,519.0,519.0,5217.351,47499.0,47499.0
2018-07-01,6.086,378.0,378.0,5360.348,48801.0,48801.0
2018-08-01,8.076,502.0,502.0,7917.752,72083.0,72083.0
2018-09-01,4.745,295.0,295.0,7645.384,69604.0,69604.0
2018-10-01,4.152,260.0,260.0,8501.534,77398.0,77398.0
2018-11-01,8.754,543.0,543.0,9266.878,84366.0,84366.0
2018-12-01,12.23,761.0,761.0,10864.189,98908.0,98908.0
2019-01-01,-115.558,1062.0,1062.0,-86.088,0.0,0.0
2019-02-01,-31.845,295.0,295.0,-37.21,0.0,0.0
2019-03-01,-58.896,549.0,549.0,-26.552,0.0,0.0
2019-04-01,-44.849,419.0,419.0,-46.54,0.0,0.0
2019-05-01,-48.905,454.0,454.0,-38.729,0.0,0.0
2019-06-01,-53.329,496.0,496.0,-40.815,0.0,0.0
2019-07-01,-29.807,277.0,277.0,-21.394,0.0,0.0
2019-08-01,-31.812,295.0,295.0,-23.82,0.0,0.0
2019-09-01,-17.056,159.0,159.0,-19.909,0.0,0.0
2019-10-01,-27.241,254.0,254.0,-12.921,0.0,0.0
2019-11-01,-31.514,295.0,295.0,-29.43,0.0,0.0
2019-12-01,-44.188,413.0,413.0,-37.592,0.0,0.0
2020-01-01,-59.424,1192.0,1192.0,2874.548,25201.0,25201.0
2020-02-01,-21.008,419.0,419.0,3735.444,32749.0,32749.0
2020-03-01,-18.635,372.0,372.0,3864.182,33877.0,33877.0
2020-04-01,-22.167,443.0,443.0,2553.451,22386.0,22386.0
2020-05-01,-44.834,897.0,897.0,1642.154,14397.0,14397.0
2020-06-01,-21.301,425.0,425.0,2072.899,18173.0,18173.0
2020-07-01,-19.511,389.0,389.0,1739.629,15251.0,15251.0
2020-08-01,-28.023,561.0,561.0,2016.819,17681.0,17681.0
2020-09-01,-19.947,401.0,401.0,1950.773,17102.0,17102.0
2020-10-01,-24.072,484.0,484.0,2005.126,17579.0,17579.0
2020-11-01,-22.07,443.0,443.0,2605.539,22843.0,22843.0
2020-12-01,-41.008,820.0,820.0,2075.436,18195.0,18195.0
2021-01-01,-18.451,513.0,513.0,9285.046,82117.0,82117.0
2021-02-01,-36.431,1033.0,1033.0,6217.58,54988.0,54988.0
2021-03-01,-20.375,578.0,578.0,13594.382,120229.0,120229.0
2021-04-01,-7.7,218.0,218.0,9680.269,85612.0,85612.0
2021-05-01,-8.265,236.0,236.0,9462.778,83689.0,83689.0
2021-06-01,-12.74,360.0,360.0,6241.725,55202.0,55202.0
2021-07-01,-8.893,254.0,254.0,8711.294,77043.0,77043.0
2021-08-01,-7.392,212.0,212.0,7709.487,68183.0,68183.0
2021-09-01,-7.496,212.0,212.0,9415.923,83274.0,83274.0
2021-10-01,-4.279,124.0,124.0,9053.134,80066.0,80066.0
2021-11-01,-6.199,177.0,177.0,9570.345,84640.0,84640.0
2021-12-01,-8.779,248.0,248.0,6537.037,57814.0,57814.0
2022-01-01,3.875,1247.0,1247.0,11608.486,39608.0,39608.0
2022-02-01,0.457,147.0,147.0,9859.104,33639.0,33639.0
2022-03-01,1.635,529.0,529.0,12732.824,43444.0,43444.0
2022-04-01,1.497,482.0,482.0,6272.828,21403.0,21403.0
2022-05-01,2.102,676.0,676.0,7565.242,25813.0,25813.0
2022-06-01,1.385,447.0,447.0,9076.546,30969.0,30969.0
2022-07-01,1.341,429.0,429.0,6169.156,21049.0,21049.0
2022-08-01,0.44,141.0,141.0,10180.312,34735.0,34735.0
2022-09-01,0.557,182.0,182.0,8247.626,28141.0,28141.0
2022-10-01,1.188,382.0,382.0,6407.131,21861.0,21861.0
2022-11-01,1.554,500.0,500.0,6160.619,21020.0,21020.0
2022-12-01,14.969,4816.0,4816.0,13523.126,46141.0,46141.0
2023-01-01,2.444,923.0,923.0,13387.0,45676.0,45676.0
2023-02-01,1.932,729.0,729.0,13827.0,47178.0,47178.0
2023-03-01,3.087,1170.0,1170.0,13874.0,47338.0,47338.0
2023-04-01,3.231,1223.0,1223.0,13097.0,44687.0,44687.0
2023-05-01,0.752,282.0,282.0,10007.0,34144.0,34144.0
2023-06-01,2.191,829.0,829.0,10487.0,35782.0,35782.0
2023-07-01,2.861,1082.0,1082.0,8805.0,30043.0,30043.0
2023-08-01,2.036,770.0,770.0,7401.0,25252.0,25252.0
2023-09-01,1.563,594.0,594.0,7460.0,25454.0,25454.0
2023-10-01,1.649,623.0,623.0,4914.0,16767.0,16767.0
2023-11-01,3.075,1164.0,1164.0,3126.0,10666.0,10666.0
2023-12-01,2.179,823.0,823.0,9697.0,33086.0,33086.0
2024-01-01,81.502,4868.0,4868.0,14503.0,49484.0,49484.0
2024-02-01,10.231,608.0,608.0,11230.0,38317.0,38317.0
2024-03-01,10.304,614.0,614.0,14304.0,48805.0,48805.0
2024-04-01,14.334,856.0,856.0,11311.0,38593.0,38593.0
2024-05-01,11.771,702.0,702.0,12724.0,43414.0,43414.0
2024-06-01,7.371,443.0,443.0,6347.0,21656.0,21656.0
2024-07-01,7.323,437.0,437.0,6868.0,23434.0,23434.0
2024-08-01,8.208,490.0,490.0,10391.0,35454.0,35454.0
2024-09-01,6.922,413.0,413.0,8376.0,28579.0,28579.0
2024-10-01,8.365,502.0,502.0,8616.0,29398.0,29398.0
2024-11-01,14.178,844.0,844.0,6255.0,21342.0,21342.0
2024-12-01,8.491,507.0,507.0,9464.0,32291.0,32291.0
