measured_on,"Anthracite Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Anthracite Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Anthracite Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2011-10-01,,,,,,,7.84,75.0,203.0,,,,5350.52,35942.0,107824.0,0.0,0.0,0.0
2011-11-01,,,,,,,6.86,64.0,64.0,,,,5368.95,36065.0,119401.0,0.0,0.0,0.0
2011-12-01,,,,,,,7.84,75.0,116.0,,,,5751.13,38633.0,136567.0,0.0,0.0,0.0
2012-01-01,,,,,,,63.7,546.0,546.0,,,,5806.261,39003.0,145252.0,103.949,698.0,2600.0
2012-02-01,,,,,,,91.14,877.0,895.0,,,,5396.11,36248.0,131285.0,0.0,0.0,0.0
2012-03-01,,,,,,,6.86,66.0,81.0,,,,5373.8,36098.0,128433.0,0.0,0.0,0.0
2012-04-01,,,,,,,16.66,151.0,151.0,,,,5147.79,34580.0,115368.0,0.0,0.0,0.0
2012-05-01,,,,,,,186.2,1772.0,1772.0,,,,4887.756,32833.0,98718.0,146.544,984.0,2960.0
2012-06-01,,,,,,,140.14,1349.0,1365.0,,,,5639.58,37883.0,115464.0,0.0,0.0,0.0
2012-07-01,,,,,,,382.2,3678.0,3759.0,,,,6003.33,40327.0,147533.0,0.0,0.0,0.0
2012-08-01,,,,,,,206.78,1990.0,2103.0,,,,6227.4,41832.0,149522.0,0.0,0.0,0.0
2012-09-01,,,,,,,347.9,3348.0,3445.0,,,,4992.59,33537.0,228547.0,0.0,0.0,0.0
2012-10-01,,,,,,,1.96,19.0,29.0,,,,5374.77,36105.0,106603.0,0.0,0.0,0.0
2012-11-01,,,,,,,441.98,4206.0,4206.0,,,,4821.87,32391.0,121359.0,0.0,0.0,0.0
2012-12-01,,,,,,,2.94,28.0,58.0,,,,5747.25,38607.0,137688.0,0.0,0.0,0.0
2013-01-01,,,,0.0,0.0,0.0,33.32,321.0,325.0,,,,5747.25,38607.0,145010.0,0.0,0.0,0.0
2013-02-01,,,,0.0,0.0,0.0,18.62,179.0,244.0,,,,5065.746,34029.0,129098.0,175.164,1177.0,4464.0
2013-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,5585.26,37519.0,138664.0,0.0,0.0,0.0
2013-04-01,,,,0.0,0.0,0.0,9.8,81.0,81.0,,,,5151.67,34606.0,118875.0,0.0,0.0,0.0
2013-05-01,,,,0.0,0.0,0.0,75.46,720.0,720.0,,,,5257.4,35316.0,105496.0,0.0,0.0,0.0
2013-06-01,,,,0.0,0.0,0.0,44.1,424.0,476.0,,,,5698.75,38281.0,111175.0,0.0,0.0,0.0
2013-07-01,,,,0.0,0.0,0.0,620.34,5969.0,6281.0,,,,5910.21,39701.0,134212.0,0.0,0.0,0.0
2013-08-01,,,,0.0,0.0,0.0,32.34,311.0,325.0,,,,6163.38,41402.0,133381.0,0.0,0.0,0.0
2013-09-01,,,,0.0,0.0,0.0,95.06,915.0,999.0,,,,5320.905,35743.0,103063.0,16.035,108.0,311.0
2013-10-01,,,,0.0,0.0,0.0,3.0,28.0,70.0,,,,5342.0,34808.0,102972.0,0.0,0.0,0.0
2013-11-01,,,,0.0,0.0,0.0,19.0,179.0,180.0,,,,5572.0,36307.0,126186.0,0.0,0.0,0.0
2013-12-01,,,,0.0,0.0,0.0,33.0,308.0,308.0,,,,5905.442,38479.0,141102.0,133.558,870.0,3191.0
2014-01-01,,,,0.0,0.0,0.0,454.0,4281.0,4346.0,,,,2777.038,18095.0,76952.0,2977.962,19404.0,82520.0
2014-02-01,,,,0.0,0.0,0.0,20.0,180.0,180.0,,,,5176.535,33730.0,131967.0,269.465,1756.0,6870.0
2014-03-01,,,,0.0,0.0,0.0,5.0,41.0,41.0,,,,5875.0,38281.0,144555.0,0.0,0.0,0.0
2014-04-01,,,,0.0,0.0,0.0,11.0,81.0,81.0,,,,5404.0,35212.0,121234.0,0.0,0.0,0.0
2014-05-01,,,,0.0,0.0,0.0,45.0,378.0,378.0,0.0,0.0,0.0,5454.0,35538.0,109936.0,0.0,0.0,0.0
2014-06-01,,,,0.0,0.0,0.0,147.0,1386.0,1435.0,0.0,0.0,0.0,5695.0,37108.0,111760.0,0.0,0.0,0.0
2014-07-01,,,,0.0,0.0,0.0,65.0,613.0,651.0,0.0,0.0,0.0,6516.328,42460.0,133499.0,35.672,232.0,731.0
2014-08-01,,,,0.0,0.0,0.0,26.0,245.0,418.0,0.0,0.0,0.0,6366.0,41480.0,131817.0,0.0,0.0,0.0
2014-09-01,,,,0.0,0.0,0.0,1573.0,14834.0,15205.0,0.0,0.0,0.0,3389.0,22082.0,63722.0,0.0,0.0,0.0
2014-10-01,,,,0.0,0.0,0.0,113.0,1066.0,1203.0,0.0,0.0,0.0,5391.0,35127.0,104151.0,0.0,0.0,0.0
2014-11-01,,,,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,5501.0,35844.0,128061.0,0.0,0.0,0.0
2014-12-01,,,,0.0,0.0,0.0,982.0,9260.0,9395.0,0.0,0.0,0.0,6346.0,41350.0,126878.0,0.0,0.0,0.0
2015-01-01,,,,0.0,0.0,0.0,879.0,8239.0,8239.0,0.0,0.0,0.0,4075.166,31630.0,119701.0,1154.834,8964.0,33921.0
2015-02-01,,,,0.0,0.0,0.0,625.0,5862.0,5862.0,0.0,0.0,0.0,4083.502,26608.0,118730.0,941.498,6135.0,27375.0
2015-03-01,,,,0.0,0.0,0.0,112.0,1056.0,1057.0,0.0,0.0,0.0,5801.0,37799.0,142993.0,0.0,0.0,0.0
2015-04-01,,,,0.0,0.0,0.0,610.0,5752.0,6403.0,0.0,0.0,0.0,4605.0,30006.0,106205.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,,,,2737.0,24663.0,24663.0,0.0,0.0,0.0,2270.0,14791.0,57647.0,0.0,0.0,0.0
2015-06-01,,,,0.0,0.0,0.0,2737.0,25518.0,25518.0,0.0,0.0,0.0,2911.0,18968.0,64807.0,0.0,0.0,0.0
2015-07-01,,,,0.0,0.0,0.0,3016.0,28442.0,29341.0,0.0,0.0,0.0,3110.748,20269.0,77853.0,91.252,595.0,2284.0
2015-08-01,,,,0.0,0.0,0.0,2938.0,27156.0,27156.0,0.0,0.0,0.0,3647.0,23763.0,94355.0,0.0,0.0,0.0
2015-09-01,,,,0.0,0.0,0.0,363.0,3423.0,3666.0,0.0,0.0,0.0,5397.0,35166.0,111827.0,0.0,0.0,0.0
2015-10-01,,,,0.0,0.0,0.0,33.0,311.0,581.0,0.0,0.0,0.0,5591.98,36437.0,108080.0,86.02,560.0,1663.0
2015-11-01,,,,0.0,0.0,0.0,27.0,255.0,285.0,0.0,0.0,0.0,5313.257,34621.0,108597.0,66.743,435.0,1364.0
2015-12-01,,,,0.0,0.0,0.0,29.0,273.0,302.0,0.0,0.0,0.0,5696.128,37115.0,126461.0,40.872,266.0,907.0
2016-01-01,,,,,,,84.0,562.0,1731.0,0.0,0.0,0.0,5374.917,35959.0,142734.0,465.083,3111.0,12351.0
2016-02-01,,,,,,,118.0,789.0,1116.0,0.0,0.0,0.0,5157.338,34504.0,128945.0,344.662,2306.0,8617.0
2016-03-01,,,,,,,4.0,27.0,58.0,0.0,0.0,0.0,5676.0,37974.0,128961.0,0.0,0.0,0.0
2016-04-01,,,,,,,204.0,1365.0,1848.0,0.0,0.0,0.0,5205.0,34822.0,117413.0,0.0,0.0,0.0
2016-05-01,,,,,,,54.0,361.0,924.0,0.0,0.0,0.0,5067.658,33904.0,96848.0,195.342,1307.0,3733.0
2016-06-01,,,,,,,434.0,2904.0,4230.0,0.0,0.0,0.0,4848.004,32434.0,100068.0,148.996,997.0,3075.0
2016-07-01,,,,,,,315.0,2107.0,2940.0,0.0,0.0,0.0,6289.0,42075.0,141571.0,0.0,0.0,0.0
2016-08-01,,,,,,,651.0,4355.0,6089.0,0.0,0.0,0.0,6120.639,40948.0,145319.0,4.361,29.0,104.0
2016-09-01,,,,,,,202.0,1351.0,2016.0,0.0,0.0,0.0,5579.0,37325.0,116163.0,0.0,0.0,0.0
2016-10-01,,,,,,,57.0,381.0,639.0,,,,5406.0,36167.0,113408.0,0.0,0.0,0.0
2016-11-01,,,,,,,23.0,154.0,320.0,0.0,0.0,0.0,5235.173,35024.0,118780.0,157.827,1056.0,3581.0
2016-12-01,,,,,,,161.0,1077.0,1528.0,0.0,0.0,0.0,5307.862,35511.0,140264.0,352.138,2356.0,9306.0
2017-01-01,,,,,,,79.894,545.0,880.0,,,,5307.825,36609.0,142272.0,467.555,3225.0,12532.0
2017-02-01,,,,,,,66.548,454.0,732.0,,,,4676.492,32254.0,125900.0,252.078,1739.0,6786.0
2017-03-01,,,,,,,101.454,693.0,1116.0,,,,5553.25,38301.0,123858.0,0.0,0.0,0.0
2017-04-01,,,,,,,95.977,655.0,1054.0,,,,5230.24,36074.0,117961.0,0.0,0.0,0.0
2017-05-01,,,,,,,49.372,337.0,539.0,,,,5113.84,35271.0,108836.0,0.0,0.0,0.0
2017-06-01,,,,,,,38.076,260.0,415.0,,,,6144.95,42382.0,97146.0,0.0,0.0,0.0
2017-07-01,,,,,,,35.991,246.0,397.0,,,,6427.22,44329.0,128764.0,0.0,0.0,0.0
2017-08-01,,,,,,,27.612,188.0,304.0,,,,6079.96,41934.0,132683.0,0.0,0.0,0.0
2017-09-01,,,,,,,29.99,205.0,329.0,,,,5131.3,35391.0,104948.0,0.0,0.0,0.0
2017-10-01,,,,,,,54.007,369.0,595.0,,,,5278.467,36406.0,100300.0,12.883,89.0,245.0
2017-11-01,,,,,,,62.677,428.0,688.0,,,,5159.933,35589.0,118757.0,210.957,1455.0,4855.0
2017-12-01,,,,,,,959.722,6552.0,10540.0,,,,4635.081,31969.0,127019.0,1058.819,7303.0,29016.0
2018-01-01,,,,,,,879.967,6007.0,7180.0,,,,4787.604,33021.0,125271.0,689.986,4759.0,18054.0
2018-02-01,,,,,,,18.462,126.0,149.0,,,,5163.31,35612.0,114577.0,0.0,0.0,0.0
2018-03-01,,,,,,,18.399,126.0,149.0,,,,5302.02,36569.0,129911.0,0.0,0.0,0.0
2018-04-01,,,,,,,14.632,100.0,118.0,,,,5278.74,36408.0,114081.0,0.0,0.0,0.0
2018-05-01,,,,,,,3.474,24.0,31.0,,,,5014.9,34588.0,88257.0,0.0,0.0,0.0
2018-06-01,,,,,,,8.946,61.0,74.0,,,,5203.198,35887.0,95926.0,114.342,789.0,2108.0
2018-07-01,,,,,,,8.237,56.0,68.0,,,,5680.32,39178.0,127104.0,0.0,0.0,0.0
2018-08-01,,,,,,,7.095,48.0,56.0,,,,5955.8,41078.0,129764.0,0.0,0.0,0.0
2018-09-01,,,,,,,8.147,56.0,68.0,,,,1187.28,8189.0,23552.0,0.0,0.0,0.0
2018-10-01,,,,,,,8.819,60.0,74.0,,,,2771.29,19114.0,79570.0,0.0,0.0,0.0
2018-11-01,,,,,,,9.26,63.0,74.0,,,,4511.568,31117.0,127234.0,525.642,3625.0,14824.0
2018-12-01,,,,,,,17.102,117.0,143.0,,,,5675.47,39144.0,143758.0,0.0,0.0,0.0
