measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2013-02-01,3.093,29.0,29.0,4.512,40.0,40.0,125.713,1129.0,1129.0
2013-03-01,3.067,29.0,29.0,4.174,37.0,37.0,109.42,982.0,982.0
2013-04-01,2.011,17.0,17.0,2.831,25.0,25.0,101.473,911.0,911.0
2013-05-01,4.248,41.0,41.0,4.04,36.0,36.0,131.47,1180.0,1180.0
2013-06-01,3.626,35.0,35.0,4.161,37.0,37.0,95.432,857.0,857.0
2013-07-01,5.208,46.0,46.0,5.097,46.0,46.0,136.251,1223.0,1223.0
2013-08-01,2.665,23.0,23.0,4.602,41.0,41.0,145.968,1310.0,1310.0
2013-09-01,3.568,35.0,35.0,2.226,20.0,20.0,193.484,1736.0,1736.0
2013-10-01,2.282,23.0,23.0,4.165,37.0,37.0,97.761,877.0,877.0
2013-11-01,3.091,29.0,29.0,4.035,36.0,36.0,155.583,1396.0,1396.0
2013-12-01,2.725,23.0,23.0,3.852,35.0,35.0,150.036,1346.0,1346.0
2014-01-01,1.431,29.0,29.0,7.183,146.0,146.0,15.286,311.0,311.0
2014-02-01,0.734,17.0,17.0,6.51,132.0,132.0,13.235,269.0,269.0
2014-03-01,0.701,12.0,12.0,7.842,160.0,160.0,14.623,298.0,298.0
2014-04-01,0.426,6.0,6.0,5.741,117.0,117.0,14.07,286.0,286.0
2014-05-01,0.407,6.0,6.0,6.915,141.0,141.0,14.694,299.0,299.0
2014-06-01,0.477,12.0,12.0,7.608,155.0,155.0,13.177,268.0,268.0
2014-07-01,0.316,6.0,6.0,8.157,166.0,166.0,10.634,217.0,217.0
2014-08-01,0.464,12.0,12.0,9.017,183.0,183.0,11.344,231.0,231.0
2014-09-01,0.199,6.0,6.0,7.871,160.0,160.0,10.607,216.0,216.0
2014-10-01,0.216,6.0,6.0,4.194,85.0,85.0,1.484,30.0,30.0
2014-11-01,0.283,6.0,6.0,5.437,111.0,111.0,2.242,46.0,46.0
2014-12-01,0.332,6.0,6.0,8.548,174.0,174.0,11.595,236.0,236.0
2015-01-01,0.891,11.0,11.0,25.062,270.0,270.0,354.327,3818.0,3818.0
2015-02-01,0.675,6.0,6.0,24.916,269.0,269.0,298.795,3220.0,3220.0
2015-03-01,0.76,6.0,6.0,24.865,268.0,268.0,363.738,3920.0,3920.0
2015-04-01,0.526,6.0,6.0,18.017,194.0,194.0,404.472,4359.0,4359.0
2015-05-01,0.826,11.0,11.0,19.755,213.0,213.0,434.919,4687.0,4687.0
2015-06-01,0.918,11.0,11.0,24.297,262.0,262.0,400.298,4314.0,4314.0
2015-07-01,0.988,11.0,11.0,26.245,283.0,283.0,456.447,4919.0,4919.0
2015-08-01,0.587,6.0,6.0,25.578,276.0,276.0,412.764,4448.0,4448.0
2015-09-01,0.459,6.0,6.0,23.627,255.0,255.0,449.031,4839.0,4839.0
2015-10-01,0.485,6.0,6.0,18.781,202.0,202.0,417.557,4500.0,4500.0
2015-11-01,0.718,6.0,6.0,21.67,234.0,234.0,395.914,4267.0,4267.0
2015-12-01,1.159,11.0,11.0,23.116,249.0,249.0,376.817,4061.0,4061.0
2016-01-01,9.513,120.0,120.0,75.853,969.0,969.0,298.209,3809.0,3809.0
2016-02-01,9.467,120.0,120.0,74.719,955.0,955.0,301.259,3847.0,3847.0
2016-03-01,9.821,125.0,125.0,69.724,890.0,890.0,323.251,4128.0,4128.0
2016-04-01,8.052,103.0,103.0,61.59,787.0,787.0,318.428,4067.0,4067.0
2016-05-01,12.874,165.0,165.0,39.48,504.0,504.0,337.372,4309.0,4309.0
2016-06-01,11.116,143.0,143.0,66.834,854.0,854.0,285.005,3640.0,3640.0
2016-07-01,10.082,131.0,131.0,79.283,1013.0,1013.0,320.051,4088.0,4088.0
2016-08-01,10.109,131.0,131.0,81.994,1047.0,1047.0,295.247,3771.0,3771.0
2016-09-01,7.087,91.0,91.0,67.867,866.0,866.0,274.922,3511.0,3511.0
2016-10-01,6.877,86.0,86.0,54.515,696.0,696.0,260.954,3333.0,3333.0
2016-11-01,12.827,165.0,165.0,61.242,782.0,782.0,301.094,3845.0,3845.0
2016-12-01,17.585,222.0,222.0,60.94,778.0,778.0,302.757,3867.0,3867.0
2017-01-01,1.318,6.0,6.0,17.309,153.0,153.0,267.337,2354.0,2354.0
2017-02-01,1.04,11.0,11.0,16.65,146.0,146.0,241.423,2126.0,2126.0
2017-03-01,1.368,11.0,11.0,17.328,153.0,153.0,263.25,2319.0,2319.0
2017-04-01,1.042,11.0,11.0,13.197,116.0,116.0,250.72,2208.0,2208.0
2017-05-01,1.522,11.0,11.0,15.975,141.0,141.0,270.402,2382.0,2382.0
2017-06-01,1.528,11.0,11.0,17.797,157.0,157.0,248.521,2189.0,2189.0
2017-07-01,1.423,11.0,11.0,21.64,191.0,191.0,238.905,2104.0,2104.0
2017-08-01,1.186,11.0,11.0,21.317,188.0,188.0,240.442,2118.0,2118.0
2017-09-01,1.136,11.0,11.0,18.486,162.0,162.0,229.269,2019.0,2019.0
2017-10-01,1.057,11.0,11.0,15.997,141.0,141.0,247.199,2177.0,2177.0
2017-11-01,2.266,23.0,23.0,22.322,197.0,197.0,237.388,2090.0,2090.0
2017-12-01,1.295,11.0,11.0,24.74,218.0,218.0,256.205,2256.0,2256.0
2018-01-01,19.381,160.0,160.0,81.358,703.0,703.0,0.0,0.0,0.0
2018-02-01,11.63,103.0,103.0,72.288,625.0,625.0,0.0,0.0,0.0
2018-03-01,11.593,103.0,103.0,76.525,662.0,662.0,0.0,0.0,0.0
2018-04-01,16.274,143.0,143.0,72.258,625.0,625.0,0.0,0.0,0.0
2018-05-01,25.076,217.0,217.0,69.366,600.0,600.0,0.0,0.0,0.0
2018-06-01,15.677,137.0,137.0,76.109,658.0,658.0,0.0,0.0,0.0
2018-07-01,11.834,103.0,103.0,86.884,751.0,751.0,0.0,0.0,0.0
2018-08-01,13.455,114.0,114.0,89.525,774.0,774.0,0.0,0.0,0.0
2018-09-01,17.551,154.0,154.0,79.097,684.0,684.0,0.0,0.0,0.0
2018-10-01,15.065,131.0,131.0,73.437,636.0,636.0,0.0,0.0,0.0
2018-11-01,19.064,165.0,165.0,77.643,672.0,672.0,0.0,0.0,0.0
2018-12-01,18.457,160.0,160.0,83.453,722.0,722.0,0.0,0.0,0.0
2019-01-01,5.088,46.0,46.0,48.534,419.0,419.0,0.0,0.0,0.0
2019-02-01,6.089,51.0,51.0,52.273,450.0,450.0,0.0,0.0,0.0
2019-03-01,6.247,51.0,51.0,52.386,451.0,451.0,0.0,0.0,0.0
2019-04-01,6.472,57.0,57.0,45.906,396.0,396.0,0.0,0.0,0.0
2019-05-01,3.75,34.0,34.0,42.964,371.0,371.0,0.0,0.0,0.0
2019-06-01,6.832,57.0,57.0,50.737,438.0,438.0,0.0,0.0,0.0
2019-07-01,5.897,51.0,51.0,55.366,478.0,478.0,0.0,0.0,0.0
2019-08-01,3.37,29.0,29.0,55.835,482.0,482.0,0.0,0.0,0.0
2019-09-01,3.178,29.0,29.0,49.282,425.0,425.0,0.0,0.0,0.0
2019-10-01,2.893,23.0,23.0,43.341,373.0,373.0,0.0,0.0,0.0
2019-11-01,9.048,80.0,80.0,41.222,355.0,355.0,0.0,0.0,0.0
2019-12-01,5.259,46.0,46.0,53.031,457.0,457.0,0.0,0.0,0.0
2020-01-01,9.426,65.0,65.0,55.414,474.0,474.0,0.0,0.0,0.0
2020-02-01,11.946,103.0,103.0,51.256,437.0,437.0,0.0,0.0,0.0
2020-03-01,7.306,65.0,65.0,52.801,449.0,449.0,0.0,0.0,0.0
2020-04-01,8.102,70.0,70.0,45.432,387.0,387.0,0.0,0.0,0.0
2020-05-01,10.713,92.0,92.0,42.97,366.0,366.0,0.0,0.0,0.0
2020-06-01,11.737,103.0,103.0,45.337,386.0,386.0,0.0,0.0,0.0
2020-07-01,16.994,146.0,146.0,55.245,470.0,470.0,0.0,0.0,0.0
2020-08-01,10.139,86.0,86.0,53.62,457.0,457.0,0.0,0.0,0.0
2020-09-01,6.256,54.0,54.0,47.274,403.0,403.0,0.0,0.0,0.0
2020-10-01,13.732,119.0,119.0,34.708,295.0,295.0,0.0,0.0,0.0
2020-11-01,9.941,86.0,86.0,44.77,381.0,381.0,0.0,0.0,0.0
2020-12-01,7.964,70.0,70.0,53.917,459.0,459.0,0.0,0.0,0.0
2021-01-01,42.969,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,53.44,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,40.642,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,46.232,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,114.94,155.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,101.806,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,34.203,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,50.8,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,47.737,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,63.869,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,113.025,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,65.864,86.0,86.0,4.473,6.0,6.0,0.0,0.0,0.0
2022-01-01,7.779,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,7.431,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,5.903,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,4.894,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,7.008,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,9.604,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,10.105,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,4.436,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,5.372,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,9.121,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,6.358,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,13.637,40.0,40.0,0.352,1.0,1.0,0.0,0.0,0.0
2023-01-01,2.874,29.0,29.0,33.668,299.0,299.0,0.0,0.0,0.0
2023-02-01,1.12,11.0,11.0,31.512,281.0,281.0,0.0,0.0,0.0
2023-03-01,2.361,23.0,23.0,33.99,303.0,303.0,0.0,0.0,0.0
2023-04-01,2.868,23.0,23.0,22.532,201.0,201.0,0.0,0.0,0.0
2023-05-01,5.201,46.0,46.0,30.38,271.0,271.0,0.0,0.0,0.0
2023-06-01,3.226,29.0,29.0,33.93,303.0,303.0,0.0,0.0,0.0
2023-07-01,3.158,29.0,29.0,36.764,328.0,328.0,0.0,0.0,0.0
2023-08-01,2.025,17.0,17.0,36.294,324.0,324.0,0.0,0.0,0.0
2023-09-01,2.484,23.0,23.0,34.422,307.0,307.0,0.0,0.0,0.0
2023-10-01,4.126,34.0,34.0,25.517,228.0,228.0,0.0,0.0,0.0
2023-11-01,2.666,23.0,23.0,33.286,297.0,297.0,0.0,0.0,0.0
2023-12-01,4.316,40.0,40.0,35.28,314.0,314.0,0.0,0.0,0.0
2024-01-01,45.662,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,27.713,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,43.755,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,73.494,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,48.555,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,50.855,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,39.496,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,57.324,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,57.379,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,39.104,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,61.763,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,78.314,68.0,68.0,5.586,5.0,5.0,0.0,0.0,0.0
