measured_on,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-09-01,,,,22052.95,172653.0,432941.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,,,,12243.34,95853.0,363768.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,,,,14024.26,109797.0,427526.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,,,,19406.79,151936.0,422512.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,20920.0,237930.0,266569.0,,,,0.0,0.0,0.0,,,
2008-02-01,16375.0,186238.0,304187.0,,,,0.0,0.0,0.0,,,
2008-03-01,9317.0,105965.0,322091.0,,,,0.0,0.0,0.0,,,
2008-04-01,19369.0,220290.0,260995.0,,,,0.0,0.0,0.0,,,
2008-05-01,17286.0,196599.0,260699.0,,,,0.0,0.0,0.0,,,
2008-06-01,14091.0,160262.0,273136.0,,,,0.0,0.0,0.0,,,
2008-07-01,18790.0,213705.0,263134.0,,,,0.0,0.0,0.0,,,
2008-08-01,13706.0,155883.0,354726.0,,,,0.0,0.0,0.0,,,
2008-09-01,5155.0,58630.0,254303.0,,,,0.0,0.0,0.0,,,
2008-10-01,12382.0,140825.0,413828.0,,,,0.0,0.0,0.0,,,
2008-11-01,4783.0,54399.0,440343.0,,,,0.0,0.0,0.0,,,
2008-12-01,3556.0,40444.0,416345.0,,,,0.0,0.0,0.0,,,
2009-01-01,,,,3879.0,29458.0,397991.0,,,,,,
2009-02-01,,,,3620.0,27491.0,323919.0,,,,,,
2009-03-01,,,,3691.0,28030.0,362879.0,,,,,,
2009-04-01,,,,3409.0,25888.0,198530.0,,,,,,
2009-05-01,,,,3565.0,27073.0,200944.0,,,,,,
2009-06-01,,,,7106.0,53964.0,348855.0,,,,,,
2009-07-01,,,,13697.0,104017.0,390022.0,,,,,,
2009-08-01,,,,13267.0,100752.0,343496.0,,,,,,
2009-09-01,,,,10156.0,77126.0,335640.0,,,,,,
2009-10-01,,,,3313.0,25159.0,291736.0,,,,,,
2009-11-01,,,,7171.0,54458.0,248148.0,,,,,,
2009-12-01,,,,10254.0,77870.0,237177.0,,,,,,
2010-01-01,,,,11119.0,84439.0,265647.0,,,,,,
2010-02-01,,,,15745.0,119570.0,243182.0,,,,,,
2010-03-01,,,,12420.0,94319.0,253826.0,,,,,,
2010-04-01,,,,11506.0,87378.0,252673.0,,,,,,
2010-05-01,,,,3217.0,24430.0,230781.0,,,,,,
2010-06-01,,,,12816.0,97327.0,298157.0,,,,,,
2010-07-01,,,,29765.0,226040.0,282660.0,,,,,,
2010-08-01,,,,21726.0,164990.0,232352.0,,,,,,
2010-09-01,,,,19827.0,150569.0,238100.0,,,,,,
2010-10-01,,,,30018.0,227961.0,261654.0,,,,,,
2010-11-01,,,,28718.0,218089.0,247733.0,,,,,,
2010-12-01,,,,22596.0,171597.0,313948.0,,,,,,
2011-01-01,,,,23034.0,174924.0,286193.0,,,,,,
2011-02-01,,,,17349.0,131751.0,306920.0,,,,,,
2011-03-01,,,,31790.0,241418.0,279185.0,,,,,,
2011-04-01,,,,25467.0,193400.0,276055.0,,,,,,
2011-05-01,,,,7249.0,55050.0,296013.0,,,,,,
2011-06-01,,,,13585.0,103166.0,287710.0,,,,,,
2011-07-01,,,,29011.0,220314.0,300807.0,,,,,,
2011-08-01,,,,28862.0,219182.0,294819.0,,,,,,
2011-09-01,,,,17411.0,132222.0,286785.0,,,,,,
2011-10-01,,,,12601.0,95694.0,327614.0,,,,,,
2011-11-01,,,,16629.0,126283.0,314317.0,,,,,,
2011-12-01,,,,17044.0,129435.0,226218.0,,,,,,
2012-01-01,,,,13841.9,108368.0,215997.0,,,,,,
2012-02-01,,,,16762.57,131234.0,222263.0,,,,,,
2012-03-01,,,,24602.11,192610.0,271968.0,,,,,,
2012-04-01,,,,26517.86,207609.0,295228.0,,,,,,
2012-05-01,,,,21911.33,171544.0,328841.0,,,,,,
2012-06-01,,,,9521.52,74544.0,395877.0,,,,,,
2012-07-01,,,,18115.72,141828.0,324397.0,,,,,,
2012-08-01,,,,21128.54,165416.0,394776.0,,,,,,
2012-09-01,,,,27779.83,217489.0,293019.0,,,,,,
2012-10-01,,,,20693.01,162006.0,259360.0,,,,,,
2012-11-01,,,,22077.2,172843.0,241965.0,,,,,,
2012-12-01,,,,17152.51,134287.0,245644.0,,,,,,
2013-01-01,,,,18911.12,148055.0,375117.0,0.0,0.0,0.0,,,
2013-02-01,,,,15755.71,123352.0,306603.0,0.0,0.0,0.0,,,
2013-03-01,,,,14448.15,113115.0,317049.0,0.0,0.0,0.0,,,
2013-04-01,,,,2888.66,22615.0,258745.0,0.0,0.0,0.0,,,
2013-05-01,,,,22363.35,175083.0,440205.0,0.0,0.0,0.0,,,
2013-06-01,,,,12577.02,98466.0,308260.0,0.0,0.0,0.0,,,
2013-07-01,,,,29653.87,232161.0,337412.0,0.0,0.0,0.0,,,
2013-08-01,,,,26604.19,208285.0,333529.0,0.0,0.0,0.0,,,
2013-09-01,,,,23099.58,180847.0,336212.0,0.0,0.0,0.0,,,
2013-10-01,,,,26370.42,206454.0,342777.0,0.0,0.0,0.0,,,
2013-11-01,,,,25207.39,197349.0,331683.0,0.0,0.0,0.0,,,
2013-12-01,,,,20320.53,159090.0,348042.0,0.0,0.0,0.0,,,
2014-01-01,,,,31151.55,243886.0,340355.0,0.0,0.0,0.0,,,
2014-02-01,,,,18898.51,147957.0,325516.0,0.0,0.0,0.0,,,
2014-03-01,,,,19593.03,153394.0,390187.0,0.0,0.0,0.0,,,
2014-04-01,,,,10454.66,81850.0,310160.0,0.0,0.0,0.0,,,
2014-05-01,,,,19895.67,155764.0,432648.0,0.0,0.0,0.0,,,
2014-06-01,,,,23187.85,181538.0,348468.0,0.0,0.0,0.0,,,
2014-07-01,,,,14505.38,113563.0,315891.0,0.0,0.0,0.0,,,
2014-08-01,,,,17354.27,135867.0,361691.0,0.0,0.0,0.0,,,
2014-09-01,,,,19545.5,153022.0,350142.0,0.0,0.0,0.0,,,
2014-10-01,,,,24047.27,188267.0,365627.0,0.0,0.0,0.0,,,
2014-11-01,,,,12189.02,95428.0,319614.0,0.0,0.0,0.0,,,
2014-12-01,,,,21153.76,165613.0,358119.0,0.0,0.0,0.0,,,
2015-01-01,,,,14358.91,112416.0,318726.0,0.0,0.0,0.0,,,
2015-02-01,,,,14379.28,112576.0,314074.0,0.0,0.0,0.0,,,
2015-03-01,,,,9745.59,76298.0,363520.0,0.0,0.0,0.0,,,
2015-04-01,,,,16590.88,129890.0,358950.0,0.0,0.0,0.0,,,
2015-05-01,,,,26212.31,205217.0,355543.0,0.0,0.0,0.0,,,
2015-06-01,,,,27119.26,212317.0,364388.0,0.0,0.0,0.0,,,
2015-07-01,,,,28447.19,222714.0,373684.0,0.0,0.0,0.0,,,
2015-08-01,,,,22067.5,172767.0,363888.0,0.0,0.0,0.0,,,
2015-09-01,,,,19805.46,155057.0,323020.0,0.0,0.0,0.0,,,
2015-10-01,,,,19656.08,153888.0,319400.0,0.0,0.0,0.0,,,
2015-11-01,,,,23441.99,183528.0,373181.0,0.0,0.0,0.0,,,
2015-12-01,,,,23307.16,182472.0,313898.0,0.0,0.0,0.0,,,
2016-01-01,,,,23183.0,98249.0,370089.0,0.0,0.0,0.0,,,
2016-02-01,,,,20631.9,87438.0,355794.0,0.0,0.0,0.0,,,
2016-03-01,,,,21597.05,91528.0,381716.0,0.0,0.0,0.0,,,
2016-04-01,,,,21475.8,91014.0,402236.0,0.0,0.0,0.0,,,
2016-05-01,,,,23127.71,98015.0,358086.0,0.0,0.0,0.0,,,
2016-06-01,,,,8578.68,36356.0,341035.0,0.0,0.0,0.0,,,
2016-07-01,,,,16107.82,68265.0,414115.0,0.0,0.0,0.0,,,
2016-08-01,,,,23701.95,100448.0,356253.0,0.0,0.0,0.0,,,
2016-09-01,,,,17095.28,72450.0,351654.0,0.0,0.0,0.0,,,
2016-10-01,,,,12703.12,53836.0,445076.0,0.0,0.0,0.0,,,
2016-11-01,,,,20987.89,88946.0,363289.0,0.0,0.0,0.0,,,
2016-12-01,,,,17589.01,74542.0,350164.0,0.0,0.0,0.0,,,
2017-01-01,,,,22681.51,96124.0,337590.0,0.0,0.0,0.0,,,
2017-02-01,,,,19779.27,83824.0,328270.0,0.0,0.0,0.0,,,
2017-03-01,,,,16615.13,70415.0,370713.0,0.0,0.0,0.0,,,
2017-04-01,,,,3091.39,13101.0,271791.0,0.0,0.0,0.0,,,
2017-05-01,,,,13525.68,57322.0,306023.0,0.0,0.0,0.0,,,
2017-06-01,,,,23693.22,100411.0,347358.0,0.0,0.0,0.0,,,
2017-07-01,,,,19784.12,83845.0,364282.0,0.0,0.0,0.0,,,
2017-08-01,,,,10232.53,43365.0,326755.0,0.0,0.0,0.0,,,
2017-09-01,,,,15169.83,64289.0,337957.0,0.0,0.0,0.0,,,
2017-10-01,,,,13007.7,55126.0,459629.0,0.0,0.0,0.0,,,
2017-11-01,,,,24186.95,102504.0,327552.0,0.0,0.0,0.0,,,
2017-12-01,,,,24312.08,103034.0,327654.0,0.0,0.0,0.0,,,
2018-01-01,,,,24796.0,101932.0,312451.0,0.0,0.0,0.0,,,
2018-02-01,,,,20649.0,84885.0,293479.0,0.0,0.0,0.0,,,
2018-03-01,,,,24119.0,99149.0,318666.0,0.0,0.0,0.0,,,
2018-04-01,,,,18895.0,77674.0,349625.0,0.0,0.0,0.0,,,
2018-05-01,,,,23059.0,94792.0,337666.0,0.0,0.0,0.0,,,
2018-06-01,,,,25417.0,104485.0,341516.0,0.0,0.0,0.0,,,
2018-07-01,,,,24524.0,100814.0,320114.0,0.0,0.0,0.0,,,
2018-08-01,,,,27706.0,113895.0,293869.0,0.0,0.0,0.0,,,
2018-09-01,,,,23652.0,97230.0,275132.0,0.0,0.0,0.0,,,
2018-10-01,,,,21621.0,88881.0,296437.0,0.0,0.0,0.0,,,
2018-11-01,,,,24876.0,102261.0,312795.0,0.0,0.0,0.0,,,
2018-12-01,,,,16915.0,69535.0,316018.0,0.0,0.0,0.0,,,
2019-01-01,,,,19247.0,79121.0,328888.0,0.0,0.0,0.0,,,
2019-02-01,,,,14597.0,60006.0,403930.0,0.0,0.0,0.0,,,
2019-03-01,,,,23795.0,97818.0,387458.0,0.0,0.0,0.0,,,
2019-04-01,,,,28191.0,115889.0,346227.0,0.0,0.0,0.0,,,
2019-05-01,,,,18044.0,74176.0,309053.0,0.0,0.0,0.0,,,
2019-06-01,,,,22019.0,90517.0,305940.0,0.0,0.0,0.0,,,
2019-07-01,,,,17738.0,72918.0,465057.0,0.0,0.0,0.0,,,
2019-08-01,,,,21978.0,90348.0,364824.0,0.0,0.0,0.0,,,
2019-09-01,,,,24484.0,100650.0,357102.0,0.0,0.0,0.0,,,
2019-10-01,,,,25988.0,106833.0,411991.0,0.0,0.0,0.0,,,
2019-11-01,,,,22086.0,90792.0,363511.0,0.0,0.0,0.0,,,
2019-12-01,,,,25972.0,106767.0,312649.0,0.0,0.0,0.0,,,
2020-01-01,,,,28269.68,119806.0,325061.0,0.0,0.0,0.0,,,
2020-02-01,,,,23252.84,98545.0,275426.0,0.0,0.0,0.0,,,
2020-03-01,,,,20056.69,85000.0,293407.0,0.0,0.0,0.0,,,
2020-04-01,,,,20979.16,88909.0,313965.0,0.0,0.0,0.0,,,
2020-05-01,,,,7567.94,32073.0,339039.0,0.0,0.0,0.0,,,
2020-06-01,,,,8116.96,34400.0,359018.0,0.0,0.0,0.0,,,
2020-07-01,,,,15862.41,67225.0,395965.0,0.0,0.0,0.0,,,
2020-08-01,,,,14021.35,59422.0,372513.0,0.0,0.0,0.0,,,
2020-09-01,,,,15699.45,66534.0,294999.0,0.0,0.0,0.0,,,
2020-10-01,,,,14963.22,63414.0,292038.0,0.0,0.0,0.0,,,
2020-11-01,,,,23377.97,99075.0,265279.0,0.0,0.0,0.0,,,
2020-12-01,,,,22987.06,97419.0,342715.0,0.0,0.0,0.0,,,
2021-01-01,,,,22803.73,96642.0,357343.0,0.0,0.0,0.0,,,
2021-02-01,,,,10119.04,42884.0,210336.0,0.0,0.0,0.0,,,
2021-03-01,,,,12332.58,52265.0,369659.0,0.0,0.0,0.0,,,
2021-04-01,,,,25693.36,108888.0,304676.0,0.0,0.0,0.0,,,
2021-05-01,,,,23546.75,99791.0,307692.0,0.0,0.0,0.0,,,
2021-06-01,,,,27018.38,114503.0,336487.0,0.0,0.0,0.0,,,
2021-07-01,,,,24707.84,104711.0,406688.0,0.0,0.0,0.0,,,
2021-08-01,,,,28182.38,119436.0,353193.0,0.0,0.0,0.0,,,
2021-09-01,,,,21080.04,89337.0,338412.0,0.0,0.0,0.0,,,
2021-10-01,,,,16891.58,71586.0,348448.0,0.0,0.0,0.0,,,
2021-11-01,,,,7996.68,33890.0,259197.0,0.0,0.0,0.0,,,
2021-12-01,,,,2171.83,9204.0,310913.0,0.0,0.0,0.0,,,
2022-01-01,,,,2063.19,8744.0,316814.0,0.0,0.0,0.0,,,
2022-02-01,,,,2019.54,8559.0,279387.0,0.0,0.0,0.0,,,
2022-03-01,,,,917.62,3889.0,238534.0,0.0,0.0,0.0,,,
2022-04-01,,,,12623.58,53499.0,283807.0,0.0,0.0,0.0,,,
2022-05-01,,,,7075.18,29984.0,284311.0,0.0,0.0,0.0,,,
2022-06-01,,,,22005.42,93259.0,332584.0,0.0,0.0,0.0,,,
2022-07-01,,,,18539.61,78571.0,335125.0,0.0,0.0,0.0,,,
2022-08-01,,,,13576.12,57535.0,356961.0,0.0,0.0,0.0,,,
2022-09-01,,,,15127.15,64109.0,410833.0,0.0,0.0,0.0,,,
2022-10-01,,,,4795.68,20324.0,319179.0,0.0,0.0,0.0,,,
2022-11-01,,,,10375.12,43970.0,272472.0,0.0,0.0,0.0,,,
2022-12-01,,,,6436.92,27280.0,316748.0,0.0,0.0,0.0,,,
2023-01-01,,,,4053.63,17179.0,373733.0,0.0,0.0,0.0,,,
2023-02-01,,,,9092.78,38535.0,307296.0,0.0,0.0,0.0,,,
2023-03-01,,,,24924.15,105628.0,301872.0,0.0,0.0,0.0,,,
2023-04-01,,,,18287.41,77502.0,303200.0,0.0,0.0,0.0,,,
2023-05-01,,,,14998.14,63562.0,327112.0,0.0,0.0,0.0,,,
2023-06-01,,,,17709.29,75052.0,340947.0,0.0,0.0,0.0,,,
2023-07-01,,,,11302.44,47900.0,352966.0,0.0,0.0,0.0,,,
2023-08-01,,,,15170.8,64294.0,368844.0,0.0,0.0,0.0,,,
2023-09-01,,,,14334.66,60750.0,401692.0,0.0,0.0,0.0,,,
2023-10-01,,,,16684.97,70711.0,347697.0,0.0,0.0,0.0,,,
2023-11-01,,,,22844.47,96814.0,347810.0,0.0,0.0,0.0,,,
2023-12-01,,,,23453.63,99396.0,374728.0,0.0,0.0,0.0,,,
2024-01-01,,,,15776.08,66859.0,431608.0,0.0,0.0,0.0,,,
2024-02-01,,,,5502.81,23321.0,355717.0,0.0,0.0,0.0,,,
2024-03-01,,,,19139.07,81111.0,387213.0,0.0,0.0,0.0,,,
2024-04-01,,,,12658.5,53647.0,392697.0,0.0,0.0,0.0,,,
2024-05-01,,,,10823.26,45869.0,418799.0,0.0,0.0,0.0,,,
2024-06-01,,,,15547.16,65889.0,526658.0,0.0,0.0,0.0,,,
2024-07-01,,,,18955.74,80334.0,510542.0,0.0,0.0,0.0,,,
2024-08-01,,,,8817.3,37368.0,429526.0,0.0,0.0,0.0,,,
2024-09-01,,,,10153.96,43032.0,432879.0,0.0,0.0,0.0,,,
2024-10-01,,,,13957.33,59151.0,387020.0,0.0,0.0,0.0,,,
2024-11-01,,,,8106.29,34354.0,318354.0,0.0,0.0,0.0,,,
2024-12-01,,,,8075.25,34223.0,442210.0,0.0,0.0,0.0,,,
