measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2009-07-01,50267.439,483909.0,483909.0,91.60900000000001,882.0,882.0,3.0,46.0,46.0,1253.182,12064.0,12064.0,129622.77,1247839.0,1247839.0
2009-08-01,42958.968,409222.0,409222.0,1.21,12.0,12.0,85.0,1249.0,1249.0,1229.4940000000001,11712.0,11712.0,137435.328,1309191.0,1309191.0
2009-09-01,40697.406,414233.0,414233.0,4.545,46.0,46.0,3.0,30.0,30.0,1103.517,11232.0,11232.0,132377.532,1347387.0,1347387.0
2009-10-01,38846.756,384404.0,384404.0,236.062,2336.0,2336.0,2.0,20.0,20.0,1075.854,10646.0,10646.0,126069.328,1247505.0,1247505.0
2009-11-01,32698.267,336588.0,336588.0,339.266,3492.0,3492.0,0.0,0.0,0.0,728.597,7500.0,7500.0,75345.87,775592.0,775592.0
2009-12-01,36003.866,366600.0,366600.0,106.188,1081.0,1081.0,36.0,510.0,510.0,620.001,6313.0,6313.0,72818.945,741460.0,741460.0
2010-01-01,30758.674,312298.0,312298.0,33.03,335.0,335.0,,,,554.703,5632.0,5632.0,73836.593,749676.0,749676.0
2010-02-01,22961.028,235813.0,235813.0,176.137,1809.0,1809.0,,,,475.35900000000004,4882.0,4882.0,67598.476,694246.0,694246.0
2010-03-01,50592.127,496858.0,496858.0,266.11400000000003,2613.0,2613.0,,,,1066.913,10478.0,10478.0,127146.846,1248691.0,1248691.0
2010-04-01,26685.282,264819.0,264819.0,367.06300000000005,3643.0,3643.0,,,,652.573,6476.0,6476.0,59739.082,592838.0,592838.0
2010-05-01,44292.819,461155.0,461155.0,1149.568,11969.0,11969.0,,,,716.803,7463.0,7463.0,74852.81,779331.0,779331.0
2010-06-01,60777.363,624292.0,624292.0,955.806,9818.0,9818.0,,,,855.7420000000001,8790.0,8790.0,100687.089,1034237.0,1034237.0
2010-07-01,49057.018,511195.0,511195.0,157.029,1636.0,1636.0,,,,861.961,8982.0,8982.0,106563.992,1110443.0,1110443.0
2010-08-01,63083.077,646904.0,646904.0,27.064,278.0,278.0,,,,970.082,9948.0,9948.0,132912.777,1362994.0,1362994.0
2010-09-01,44070.91,450486.0,450486.0,6.222,64.0,64.0,,,,831.1610000000001,8496.0,8496.0,112996.707,1155035.0,1155035.0
2010-10-01,44769.762,456166.0,456166.0,394.956,4024.0,4024.0,,,,764.44,7789.0,7789.0,93670.842,954427.0,954427.0
2010-11-01,50321.413,502732.0,502732.0,0.0,0.0,0.0,,,,944.505,9436.0,9436.0,124119.082,1240002.0,1240002.0
2010-12-01,48831.741,490203.0,490203.0,313.90700000000004,3151.0,3151.0,,,,897.8330000000001,9013.0,9013.0,114898.519,1153422.0,1153422.0
2011-01-01,55064.409,543092.0,543092.0,104.937,1035.0,1035.0,,,,1020.191,10062.0,10062.0,128939.46,1271712.0,1271712.0
2011-02-01,50334.777,491912.0,491912.0,10.65,104.0,104.0,,,,1008.002,9851.0,9851.0,121501.57,1187410.0,1187410.0
2011-03-01,47659.941,480071.0,480071.0,352.448,3550.0,3550.0,,,,869.567,8759.0,8759.0,112032.04,1128480.0,1128480.0
2011-04-01,41850.107,420531.0,420531.0,321.078,3226.0,3226.0,,,,844.704,8488.0,8488.0,99496.111,999786.0,999786.0
2011-05-01,41711.301,426042.0,426042.0,431.355,4406.0,4406.0,,,,877.32,8961.0,8961.0,102888.02,1050905.0,1050905.0
2011-06-01,44096.326,458790.0,458790.0,169.499,1764.0,1764.0,,,,907.032,9437.0,9437.0,99389.143,1034070.0,1034070.0
2011-07-01,56968.51,590242.0,590242.0,0.0,0.0,0.0,,,,969.227,10042.0,10042.0,124503.26,1289958.0,1289958.0
2011-08-01,44351.946,458300.0,458300.0,0.0,0.0,0.0,,,,989.813,10228.0,10228.0,128432.24,1327124.0,1327124.0
2011-09-01,19550.244,198779.0,198779.0,202.447,2058.0,2058.0,,,,537.395,5464.0,5464.0,81183.914,825444.0,825444.0
2011-10-01,15492.901,157242.0,157242.0,587.356,5961.0,5961.0,,,,613.443,6226.0,6226.0,94271.3,956785.0,956785.0
2011-11-01,4219.551,41452.0,41452.0,338.429,3325.0,3325.0,,,,890.594,8749.0,8749.0,137196.43,1347788.0,1347788.0
2011-12-01,681.228,6741.0,6741.0,23.958,237.0,237.0,,,,671.663,6646.0,6646.0,105117.15,1040118.0,1040118.0
2012-01-01,0.0,0.0,0.0,311.062,3099.0,3099.0,,,,765.823,7630.0,7630.0,124326.12,1238678.0,1238678.0
2012-02-01,11127.775,109445.0,109445.0,0.0,0.0,0.0,,,,882.13,8676.0,8676.0,132344.1,1301641.0,1301641.0
2012-03-01,1275.693,12901.0,12901.0,46.31,468.0,468.0,,,,736.359,7447.0,7447.0,113226.64,1145092.0,1145092.0
2012-04-01,3546.439,36285.0,36285.0,194.967,1995.0,1995.0,,,,531.304,5436.0,5436.0,85403.29,873798.0,873798.0
2012-05-01,17733.05,184502.0,184502.0,464.586,4834.0,4834.0,,,,581.483,6050.0,6050.0,78071.881,812294.0,812294.0
2012-06-01,47560.775,502197.0,502197.0,0.0,0.0,0.0,,,,804.144,8491.0,8491.0,105680.08,1115882.0,1115882.0
2012-07-01,57402.014,599882.0,599882.0,190.879,1995.0,1995.0,,,,626.379,6546.0,6546.0,128344.73,1341271.0,1341271.0
2012-08-01,225.487,2324.0,2324.0,443.14,4568.0,4568.0,,,,581.309,5992.0,5992.0,148612.06,1531858.0,1531858.0
2012-09-01,0.0,0.0,0.0,1.098,11.0,11.0,,,,413.598,4246.0,4246.0,118569.3,1217232.0,1217232.0
2012-10-01,722.242,7278.0,7278.0,194.07,1956.0,1956.0,,,,354.86,3576.0,3576.0,132160.83,1331814.0,1331814.0
2012-11-01,20.523,206.0,206.0,351.775,3527.0,3527.0,,,,148.926,1493.0,1493.0,88620.776,888435.0,888435.0
2012-12-01,0.0,0.0,0.0,86.381,863.0,863.0,,,,751.046,7503.0,7503.0,161304.57,1611443.0,1611443.0
2013-01-01,0.0,0.0,0.0,4.597,46.0,46.0,,,,977.714,9788.0,9788.0,157659.69,1578349.0,1578349.0
2013-02-01,8691.534,91178.0,91178.0,138.747,1456.0,1456.0,,,,827.328,8679.0,8679.0,126882.39,1331046.0,1331046.0
2013-03-01,132.659,1314.0,1314.0,508.277,5034.0,5034.0,,,,669.035,6626.0,6626.0,102477.03,1014913.0,1014913.0
2013-04-01,842.198,8814.0,8814.0,380.968,3987.0,3987.0,,,,256.569,2685.0,2685.0,47042.265,492298.0,492298.0
2013-05-01,693.151,6968.0,6968.0,560.825,5638.0,5638.0,,,,776.787,7809.0,7809.0,146452.24,1472277.0,1472277.0
2013-06-01,5711.954,58224.0,58224.0,370.802,3780.0,3780.0,,,,659.155,6719.0,6719.0,121191.09,1235344.0,1235344.0
2013-07-01,20632.116,213732.0,213732.0,206.591,2140.0,2140.0,,,,611.825,6338.0,6338.0,121791.47,1261659.0,1261659.0
2013-08-01,31672.251,331105.0,331105.0,194.81,2037.0,2037.0,,,,585.32,6119.0,6119.0,117055.62,1223713.0,1223713.0
2013-09-01,6070.701,62790.0,62790.0,19.467,201.0,201.0,,,,655.894,6784.0,6784.0,138867.94,1436330.0,1436330.0
2013-10-01,0.0,0.0,0.0,273.009,2819.0,2819.0,,,,837.435,8647.0,8647.0,154035.56,1590506.0,1590506.0
2013-11-01,0.0,0.0,0.0,5.082,52.0,52.0,,,,932.473,9500.0,9500.0,151403.45,1542492.0,1542492.0
2013-12-01,0.0,0.0,0.0,15.286,155.0,155.0,,,,1032.679,10494.0,10494.0,168286.04,1710109.0,1710109.0
2014-01-01,33084.398,341996.0,341996.0,0.557,6.0,6.0,,,,,,,134870.05,1394164.0,1394164.0
2014-02-01,20413.741,222015.0,222015.0,179.322,1950.0,1950.0,,,,,,,42069.937,457543.0,457543.0
2014-03-01,12512.566,130642.0,130642.0,346.583,3619.0,3619.0,,,,,,,136130.85,1421327.0,1421327.0
2014-04-01,2529.87,26205.0,26205.0,154.957,1605.0,1605.0,,,,,,,140388.17,1454182.0,1454182.0
2014-05-01,0.0,0.0,0.0,156.144,1617.0,1617.0,,,,,,,136035.86,1408408.0,1408408.0
2014-06-01,28704.79,303326.0,303326.0,654.401,6915.0,6915.0,,,,,,,133733.81,1413176.0,1413176.0
2014-07-01,66071.764,696100.0,696100.0,39.316,414.0,414.0,,,,,,,110847.92,1167840.0,1167840.0
2014-08-01,45778.745,488708.0,488708.0,151.97,1622.0,1622.0,,,,,,,127390.29,1359946.0,1359946.0
2014-09-01,50846.542,538421.0,538421.0,211.884,2244.0,2244.0,,,,,,,107427.57,1137566.0,1137566.0
2014-10-01,2278.395,23519.0,23519.0,170.536,1760.0,1760.0,,,,,,,132518.07,1367962.0,1367962.0
2014-11-01,9246.576,95469.0,95469.0,0.0,0.0,0.0,,,,,,,138645.42,1431481.0,1431481.0
2014-12-01,6319.07,65905.0,65905.0,168.241,1755.0,1755.0,,,,,,,90828.689,947297.0,947297.0
2015-01-01,0.0,0.0,0.0,169.405,1709.0,1709.0,,,,,,,167441.6,1688842.0,1688842.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,162238.0,1656897.0,1656897.0
2015-03-01,162.882,1687.0,1687.0,409.418,4240.0,4240.0,,,,,,,146168.7,1513734.0,1513734.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,159043.0,1626521.0,1626521.0
2015-05-01,0.0,0.0,0.0,34.79,357.0,357.0,0.0,0.0,0.0,,,,171713.21,1760482.0,1760482.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,163330.0,1739739.0,1739739.0
2015-07-01,0.0,0.0,0.0,179.873,1922.0,1922.0,,,,,,,167531.13,1789970.0,1789970.0
2015-08-01,92.337,974.0,974.0,169.089,1784.0,1784.0,,,,,,,153734.57,1621768.0,1621768.0
2015-09-01,0.0,0.0,0.0,178.894,1869.0,1869.0,,,,,,,138410.11,1446357.0,1446357.0
2015-10-01,0.0,0.0,0.0,167.002,1714.0,1714.0,,,,,,,157955.0,1620677.0,1620677.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,170652.0,1750969.0,1750969.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,173753.0,1792907.0,1792907.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,179506.0,1864350.0,1864350.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,158161.0,1679228.0,1679228.0
2016-03-01,0.0,0.0,0.0,23.211,253.0,253.0,,,,,,,80728.789,879934.0,879934.0
2016-04-01,-0.094,0.0,0.0,-0.484,0.0,0.0,,,,,,,-713.422,0.0,0.0
