measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed"
2011-04-01,5.41,84.0,84.0,,,,,,
2011-05-01,5.55,90.0,90.0,,,,,,
2011-06-01,9.365,150.0,150.0,,,,,,
2011-07-01,36.465,576.0,576.0,,,,,,
2011-08-01,11.697,186.0,186.0,,,,,,
2011-09-01,7.815,126.0,126.0,,,,,,
2011-10-01,6.705,108.0,108.0,,,,,,
2011-11-01,5.18,84.0,84.0,,,,,,
2011-12-01,9.013,144.0,144.0,,,,,,
2012-01-01,35.394,534.0,534.0,,,,,,
2012-02-01,3.767,60.0,60.0,,,,,,
2012-03-01,8.467,132.0,132.0,,,,,,
2012-04-01,7.609,114.0,114.0,,,,,,
2012-05-01,7.058,108.0,108.0,,,,,,
2012-06-01,48.47,738.0,738.0,,,,,,
2012-07-01,24.26,372.0,372.0,,,,,,
2012-08-01,15.27,234.0,234.0,,,,,,
2012-09-01,10.785,162.0,162.0,,,,,,
2012-10-01,10.024,150.0,150.0,,,,,,
2012-11-01,13.226,204.0,204.0,,,,,,
2012-12-01,6.67,102.0,102.0,,,,,,
2013-01-01,42.972,661.0,661.0,,,,,,
2013-02-01,23.303,360.0,360.0,,,,,,
2013-03-01,3.34,53.0,53.0,,,,,,
2013-04-01,1.751,30.0,30.0,,,,,,
2013-05-01,2.803,41.0,41.0,,,,,,
2013-06-01,5.365,83.0,83.0,,,,,,
2013-07-01,21.059,325.0,325.0,,,,,,
2013-08-01,1.112,18.0,18.0,,,,,,
2013-09-01,8.075,124.0,124.0,,,,,,
2013-10-01,3.502,53.0,53.0,,,,,,
2013-11-01,8.334,130.0,130.0,,,,,,
2013-12-01,58.384,897.0,897.0,,,,,,
2014-01-01,104.687,1595.0,1595.0,,,,,,
2014-02-01,22.469,342.0,342.0,,,,,,
2014-03-01,29.85,458.0,458.0,,,,,,
2014-04-01,0.616,12.0,12.0,,,,,,
2014-05-01,0.821,12.0,12.0,,,,,,
2014-06-01,0.258,6.0,6.0,,,,,,
2014-07-01,2.66,41.0,41.0,,,,,,
2014-08-01,2.005,29.0,29.0,,,,,,
2014-09-01,0.534,6.0,6.0,,,,,,
2014-10-01,0.691,12.0,12.0,,,,,,
2014-11-01,0.994,17.0,17.0,,,,,,
2014-12-01,2.415,35.0,35.0,,,,,,
2015-01-01,19.233,319.0,319.0,,,,,,
2015-02-01,123.386,2013.0,2013.0,,,,,,
2015-03-01,5.491,87.0,87.0,,,,,,
2015-04-01,0.847,12.0,12.0,,,,,,
2015-05-01,1.95,29.0,29.0,,,,,,
2015-06-01,1.074,17.0,17.0,,,,,,
2015-07-01,3.383,58.0,58.0,,,,,,
2015-08-01,1.933,29.0,29.0,,,,,,
2015-09-01,5.746,93.0,93.0,,,,,,
2015-10-01,0.872,12.0,12.0,,,,,,
2015-11-01,1.353,23.0,23.0,,,,,,
2015-12-01,1.732,29.0,29.0,,,,,,
2016-01-01,12.247,191.0,191.0,,,,,,
2016-02-01,25.752,406.0,406.0,,,,,,
2016-03-01,0.903,12.0,12.0,,,,,,
2016-04-01,1.915,29.0,29.0,,,,,,
2016-05-01,2.809,46.0,46.0,,,,,,
2016-06-01,4.679,75.0,75.0,,,,,,
2016-07-01,20.084,319.0,319.0,,,,,,
2016-08-01,13.959,220.0,220.0,,,,,,
2016-09-01,26.107,412.0,412.0,,,,,,
2016-10-01,40.165,632.0,632.0,,,,,,
2016-11-01,105.873,1665.0,1665.0,,,,,,
2016-12-01,36.507,574.0,574.0,,,,,,
2017-01-01,9.864,161.0,161.0,,,,,,
2017-02-01,5.343,81.0,81.0,,,,,,
2017-03-01,6.418,98.0,98.0,,,,,,
2017-04-01,4.442,69.0,69.0,,,,,,
2017-05-01,4.554,69.0,69.0,,,,,,
2017-06-01,4.532,69.0,69.0,,,,,,
2017-07-01,3.11,46.0,46.0,,,,,,
2017-08-01,3.044,46.0,46.0,,,,,,
2017-09-01,5.17,81.0,81.0,,,,,,
2017-10-01,5.023,75.0,75.0,,,,,,
2017-11-01,8.446,132.0,132.0,,,,,,
2017-12-01,117.054,1803.0,1803.0,,,,,,
2018-01-01,97.975,1579.0,1579.0,,,,,,
2018-02-01,3.771,63.0,63.0,,,,,,
2018-03-01,4.187,69.0,69.0,,,,,,
2018-04-01,3.209,52.0,52.0,,,,,,
2018-05-01,3.559,57.0,57.0,,,,,,
2018-06-01,3.063,52.0,52.0,,,,,,
2018-07-01,4.221,69.0,69.0,,,,,,
2018-08-01,7.604,121.0,121.0,,,,,,
2018-09-01,3.74,57.0,57.0,,,,,,
2018-10-01,3.386,52.0,52.0,,,,,,
2018-11-01,7.281,115.0,115.0,,,,,,
2018-12-01,4.004,63.0,63.0,,,,,,
2019-01-01,74.936,1589.0,1589.0,,,,,,
2019-02-01,46.874,998.0,998.0,,,,,,
2019-03-01,48.858,1038.0,1038.0,,,,,,
2019-04-01,37.949,806.0,806.0,,,,,,
2019-05-01,19.405,412.0,412.0,,,,,,
2019-06-01,23.635,505.0,505.0,,,,,,
2019-07-01,32.136,684.0,684.0,,,,0.0,0.0,0.0
2019-08-01,61.291,1299.0,1299.0,2.905,23.0,23.0,0.0,0.0,0.0
2019-09-01,29.525,626.0,626.0,1.4,12.0,12.0,0.0,0.0,0.0
2019-10-01,46.44,986.0,986.0,2.202,23.0,23.0,0.0,0.0,0.0
2019-11-01,64.187,1363.0,1363.0,3.043,29.0,29.0,0.0,0.0,0.0
2019-12-01,72.764,1543.0,1543.0,3.45,35.0,35.0,0.0,0.0,0.0
2020-01-01,12.438,209.0,209.0,0.0,0.0,0.0,-6.224,0.0,0.0
2020-02-01,13.273,227.0,227.0,0.0,0.0,0.0,-5.298,0.0,0.0
2020-03-01,10.315,174.0,174.0,0.0,0.0,0.0,-5.878,0.0,0.0
2020-04-01,11.46,192.0,192.0,0.0,0.0,0.0,-5.756,0.0,0.0
2020-05-01,8.018,134.0,134.0,0.0,0.0,0.0,-5.933,0.0,0.0
2020-06-01,7.788,134.0,134.0,0.0,0.0,0.0,-4.358,0.0,0.0
2020-07-01,9.253,157.0,157.0,0.0,0.0,0.0,-5.696,0.0,0.0
2020-08-01,8.73,145.0,145.0,0.0,0.0,0.0,-5.971,0.0,0.0
2020-09-01,9.898,168.0,168.0,0.0,0.0,0.0,-5.898,0.0,0.0
2020-10-01,15.539,261.0,261.0,0.0,0.0,0.0,-6.077,0.0,0.0
2020-11-01,15.648,261.0,261.0,0.0,0.0,0.0,-5.937,0.0,0.0
2020-12-01,87.64,1482.0,1482.0,4.0,35.0,35.0,-5.974,0.0,0.0
2021-01-01,0.434,144.0,144.0,0.0,0.0,0.0,-12.801,0.0,0.0
2021-02-01,0.959,312.0,312.0,0.0,0.0,0.0,-11.765,0.0,0.0
2021-03-01,0.242,81.0,81.0,0.0,0.0,0.0,-12.842,0.0,0.0
2021-04-01,0.124,40.0,40.0,0.0,0.0,0.0,-11.184,0.0,0.0
2021-05-01,0.108,35.0,35.0,0.0,0.0,0.0,-12.649,0.0,0.0
2021-06-01,0.105,35.0,35.0,0.0,0.0,0.0,-12.281,0.0,0.0
2021-07-01,0.159,52.0,52.0,0.0,0.0,0.0,-12.96,0.0,0.0
2021-08-01,0.189,64.0,64.0,0.0,0.0,0.0,-12.405,0.0,0.0
2021-09-01,0.121,40.0,40.0,0.0,0.0,0.0,-12.262,0.0,0.0
2021-10-01,0.21,69.0,69.0,0.0,0.0,0.0,-13.076,0.0,0.0
2021-11-01,0.254,81.0,81.0,0.0,0.0,0.0,-12.095,0.0,0.0
2021-12-01,1.095,358.0,358.0,1.0,12.0,12.0,-13.68,0.0,0.0
2022-01-01,-178.37,201.0,201.0,0.0,6.0,6.0,-36.18,0.0,0.0
2022-02-01,-25.591,29.0,29.0,0.0,0.0,0.0,-30.02,0.0,0.0
2022-03-01,-3.454,6.0,6.0,0.0,0.0,0.0,-31.047,0.0,0.0
2022-04-01,-1.734,0.0,0.0,0.0,0.0,0.0,-37.163,0.0,0.0
2022-05-01,-1.208,0.0,0.0,0.0,0.0,0.0,-37.171,0.0,0.0
2022-06-01,-9.063,12.0,12.0,0.0,0.0,0.0,-37.768,0.0,0.0
2022-07-01,-5.577,6.0,6.0,0.0,0.0,0.0,-36.173,0.0,0.0
2022-08-01,-1.662,0.0,0.0,0.0,0.0,0.0,-35.44,0.0,0.0
2022-09-01,-3.333,6.0,6.0,0.0,0.0,0.0,-36.123,0.0,0.0
2022-10-01,-2.589,6.0,6.0,0.0,0.0,0.0,-37.258,0.0,0.0
2022-11-01,-2.932,6.0,6.0,0.0,0.0,0.0,-35.933,0.0,0.0
2022-12-01,-61.487,69.0,69.0,0.0,0.0,0.0,-36.724,0.0,0.0
2023-01-01,-3.841,64.0,64.0,0.0,0.0,0.0,-19.0,0.0,0.0
2023-02-01,-25.678,464.0,464.0,0.0,0.0,0.0,-16.0,0.0,0.0
2023-03-01,-2.954,52.0,52.0,0.0,0.0,0.0,-11.0,0.0,0.0
2023-04-01,-2.45,46.0,46.0,0.0,0.0,0.0,-28.0,0.0,0.0
2023-05-01,-1.688,29.0,29.0,0.0,0.0,0.0,-24.0,0.0,0.0
2023-06-01,-1.914,35.0,35.0,0.0,0.0,0.0,-27.0,0.0,0.0
2023-07-01,-2.435,46.0,46.0,0.0,0.0,0.0,-46.0,0.0,0.0
2023-08-01,-1.685,29.0,29.0,0.0,0.0,0.0,-24.0,0.0,0.0
2023-09-01,-2.792,52.0,52.0,0.0,0.0,0.0,-21.0,0.0,0.0
2023-10-01,-3.413,64.0,64.0,0.0,0.0,0.0,-45.0,0.0,0.0
2023-11-01,-3.471,64.0,64.0,0.0,0.0,0.0,-24.0,0.0,0.0
2023-12-01,-4.679,87.0,87.0,0.0,6.0,6.0,-22.0,0.0,0.0
2024-01-01,14.36,378.0,378.0,0.0,0.0,0.0,-42.0,0.0,0.0
2024-02-01,7.349,192.0,192.0,0.0,0.0,0.0,-7.0,0.0,0.0
2024-03-01,4.651,122.0,122.0,0.0,0.0,0.0,-29.0,0.0,0.0
2024-04-01,4.97,128.0,128.0,0.0,0.0,0.0,-28.0,0.0,0.0
2024-05-01,5.588,145.0,145.0,0.0,0.0,0.0,-24.0,0.0,0.0
2024-06-01,14.291,372.0,372.0,0.0,0.0,0.0,-24.0,0.0,0.0
2024-07-01,16.891,436.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,11.218,290.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,3.874,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,4.606,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,8.142,209.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,60.06,1557.0,1557.0,0.0,6.0,6.0,-28.0,0.0,0.0
