measured_on,"Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2009-12-01,,,,24168.0,302924.0,302924.0
2010-01-01,,,,13900.0,190388.0,190388.0
2010-02-01,,,,21991.0,296733.0,296733.0
2010-03-01,,,,22547.0,298775.0,298775.0
2010-04-01,,,,16065.0,216103.0,216103.0
2010-05-01,,,,25534.0,331551.0,331551.0
2010-06-01,,,,24829.0,300341.0,300341.0
2010-07-01,,,,24999.0,295380.0,295380.0
2010-08-01,,,,25361.0,293052.0,293052.0
2010-09-01,,,,18652.0,217726.0,217726.0
2010-10-01,,,,11604.0,139941.0,139941.0
2010-11-01,,,,10082.0,130118.0,130118.0
2010-12-01,,,,23309.0,303252.0,303252.0
2011-01-01,,,,24174.0,319029.0,319029.0
2011-02-01,,,,20947.0,292920.0,292920.0
2011-03-01,,,,20169.0,295249.0,295249.0
2011-04-01,,,,728.0,10422.0,10422.0
2011-05-01,,,,13290.0,185468.0,185468.0
2011-06-01,,,,19283.0,230297.0,230297.0
2011-07-01,,,,21809.0,250543.0,250543.0
2011-08-01,,,,21428.0,251527.0,251527.0
2011-09-01,,,,19000.0,219350.0,219350.0
2011-10-01,,,,8742.0,101442.0,101442.0
2011-11-01,,,,19133.0,217415.0,217415.0
2011-12-01,,,,23398.0,264409.0,264409.0
2012-01-01,,,,23253.0,290337.0,290337.0
2012-02-01,,,,22804.0,291371.0,291371.0
2012-03-01,,,,18844.0,247345.0,247345.0
2012-04-01,,,,0.0,0.0,0.0
2012-05-01,,,,15076.0,183746.0,183746.0
2012-06-01,,,,25051.0,286311.0,286311.0
2012-07-01,,,,24622.0,286426.0,286426.0
2012-08-01,,,,26467.0,289944.0,289944.0
2012-09-01,,,,25435.0,284942.0,284942.0
2012-10-01,,,,22633.0,266615.0,266615.0
2012-11-01,,,,24577.0,282096.0,282096.0
2012-12-01,,,,25081.0,301973.0,301973.0
2013-01-01,,,,24050.0,322686.0,322686.0
2013-02-01,,,,23402.0,326360.0,326360.0
2013-03-01,,,,25622.0,352575.0,352575.0
2013-04-01,,,,11528.0,147649.0,147649.0
2013-05-01,,,,24031.0,285844.0,285844.0
2013-06-01,,,,26486.0,314191.0,314191.0
2013-07-01,,,,25454.0,319193.0,319193.0
2013-08-01,,,,26865.0,330501.0,330501.0
2013-09-01,,,,25791.0,313166.0,313166.0
2013-10-01,,,,18778.0,255323.0,255323.0
2013-11-01,,,,22771.0,308886.0,308886.0
2013-12-01,,,,26204.0,360734.0,360734.0
2014-01-01,,,,25127.0,397987.0,397987.0
2014-02-01,,,,23040.0,363104.0,363104.0
2014-03-01,,,,26901.0,426523.0,426523.0
2014-04-01,,,,16002.0,217792.0,217792.0
2014-05-01,2435.947,30898.0,30898.0,25291.053,320792.0,320792.0
2014-06-01,0.0,0.0,0.0,26967.0,333084.0,333084.0
2014-07-01,0.0,0.0,0.0,26423.0,351337.0,351337.0
2014-08-01,0.0,0.0,0.0,27392.0,332280.0,332280.0
2014-09-01,0.0,0.0,0.0,26324.0,303785.0,303785.0
2014-10-01,0.0,0.0,0.0,25389.0,281096.0,281096.0
2014-11-01,0.0,0.0,0.0,27248.0,326901.0,326901.0
2014-12-01,0.0,0.0,0.0,26294.0,328418.0,328418.0
2015-01-01,,,,25488.0,339874.0,339874.0
2015-02-01,,,,23357.0,382120.0,382120.0
2015-03-01,,,,23073.0,354880.0,354880.0
2015-04-01,,,,16446.0,244836.0,244836.0
2015-05-01,,,,27063.0,365671.0,365671.0
2015-06-01,,,,24915.0,328722.0,328722.0
2015-07-01,,,,23320.0,310378.0,310378.0
2015-08-01,,,,26294.0,354035.0,354035.0
2015-09-01,,,,21847.0,275135.0,275135.0
2015-10-01,,,,23632.0,305245.0,305245.0
2015-11-01,,,,25885.0,347737.0,347737.0
2015-12-01,,,,24156.0,324630.0,324630.0
2016-01-01,,,,25961.0,348746.0,348746.0
2016-02-01,,,,24371.0,327844.0,327844.0
2016-03-01,,,,26254.0,364326.0,364326.0
2016-04-01,,,,10763.0,150027.0,150027.0
2016-05-01,,,,21887.0,298267.0,298267.0
2016-06-01,,,,23308.0,325843.0,325843.0
2016-07-01,,,,26810.0,361382.0,361382.0
2016-08-01,,,,26922.0,348393.0,348393.0
2016-09-01,,,,21528.0,279956.0,279956.0
2016-10-01,,,,20726.0,270543.0,270543.0
2016-11-01,,,,13996.0,181425.0,181425.0
2016-12-01,,,,24736.0,335208.0,335208.0
2017-01-01,,,,20462.0,284515.0,284515.0
2017-02-01,,,,19269.0,278398.0,278398.0
2017-03-01,,,,24544.0,305876.0,305876.0
2017-04-01,,,,22098.0,306360.0,306360.0
2017-05-01,,,,7186.0,100360.0,100360.0
2017-06-01,,,,10188.0,143197.0,143197.0
2017-07-01,,,,22453.0,301555.0,301555.0
2017-08-01,,,,21648.0,290821.0,290821.0
2017-09-01,,,,16879.0,225697.0,225697.0
2017-10-01,,,,17501.0,236734.0,236734.0
2017-11-01,,,,12912.0,173635.0,173635.0
2017-12-01,,,,24233.0,315667.0,315667.0
2018-01-01,,,,26845.0,406449.0,406449.0
2018-02-01,,,,18260.0,279360.0,279360.0
2018-03-01,,,,19715.0,282510.0,282510.0
2018-04-01,,,,16207.0,246015.0,246015.0
2018-05-01,,,,8516.0,131472.0,131472.0
2018-06-01,,,,15860.0,238050.0,238050.0
2018-07-01,,,,19880.0,294687.0,294687.0
2018-08-01,,,,18566.0,275472.0,275472.0
2018-09-01,,,,17469.0,252441.0,252441.0
2018-10-01,,,,21363.0,307152.0,307152.0
2018-11-01,,,,22447.0,331119.0,331119.0
2018-12-01,,,,18140.0,269892.0,269892.0
2019-01-01,,,,20960.0,310680.0,310680.0
2019-02-01,,,,15769.0,235431.0,235431.0
2019-03-01,,,,17712.0,264042.0,264042.0
2019-04-01,,,,7325.0,107541.0,107541.0
2019-05-01,,,,20989.0,309312.0,309312.0
2019-06-01,,,,16823.0,264204.0,264204.0
2019-07-01,,,,23724.0,369261.0,369261.0
2019-08-01,,,,20147.0,303066.0,303066.0
2019-09-01,,,,16248.0,246114.0,246114.0
2019-10-01,,,,16494.0,249813.0,249813.0
2019-11-01,,,,23539.0,345420.0,345420.0
2019-12-01,,,,23223.0,342297.0,342297.0
2020-01-01,,,,19213.0,313790.0,313790.0
2020-02-01,,,,15590.0,261142.0,261142.0
2020-03-01,,,,16534.0,275745.0,275745.0
2020-04-01,,,,19847.0,322502.0,322502.0
2020-05-01,,,,14503.0,232977.0,232977.0
2020-06-01,,,,26285.0,424225.0,424225.0
2020-07-01,,,,28316.0,456628.0,456628.0
2020-08-01,,,,27886.0,450113.0,450113.0
2020-09-01,,,,22724.0,366963.0,366963.0
2020-10-01,,,,21858.0,353371.0,353371.0
2020-11-01,,,,26034.0,409187.0,409187.0
2020-12-01,,,,27955.0,439441.0,439441.0
2021-01-01,,,,27595.0,443718.0,443718.0
2021-02-01,,,,25125.0,421394.0,421394.0
2021-03-01,,,,26411.0,444272.0,444272.0
2021-04-01,,,,25234.0,424799.0,424799.0
2021-05-01,,,,12248.0,206128.0,206128.0
2021-06-01,,,,26366.0,441896.0,441896.0
2021-07-01,,,,27892.0,453123.0,453123.0
2021-08-01,,,,27438.0,446163.0,446163.0
2021-09-01,,,,24859.0,405098.0,405098.0
2021-10-01,,,,20159.0,327997.0,327997.0
2021-11-01,,,,26410.0,434452.0,434452.0
2021-12-01,,,,24066.0,397495.0,397495.0
2022-01-01,,,,27739.0,378438.0,378438.0
2022-02-01,,,,23964.0,327565.0,327565.0
2022-03-01,,,,25710.0,351739.0,351739.0
2022-04-01,,,,21309.0,292568.0,292568.0
2022-05-01,,,,3064.0,43239.0,43239.0
2022-06-01,,,,22776.0,312404.0,312404.0
2022-07-01,,,,26572.0,364687.0,364687.0
2022-08-01,,,,26602.0,352944.0,352944.0
2022-09-01,,,,24974.0,331526.0,331526.0
2022-10-01,,,,16291.0,216242.0,216242.0
2022-11-01,,,,24916.0,330378.0,330378.0
2022-12-01,,,,27049.0,273347.0,273347.0
2023-01-01,,,,24599.0,290182.0,290182.0
2023-02-01,,,,21975.0,303818.0,303818.0
2023-03-01,,,,23587.0,309927.0,309927.0
2023-04-01,,,,10309.0,137096.0,137096.0
2023-05-01,,,,11882.0,158358.0,158358.0
2023-06-01,,,,22123.0,303318.0,303318.0
2023-07-01,,,,23481.0,301522.0,301522.0
2023-08-01,,,,23633.0,303302.0,303302.0
2023-09-01,,,,15062.0,199006.0,199006.0
2023-10-01,,,,1122.0,14522.0,14522.0
2023-11-01,,,,21382.0,274405.0,274405.0
2023-12-01,,,,23541.0,304187.0,304187.0
2024-01-01,,,,24775.0,322924.0,322924.0
2024-02-01,,,,21684.0,286910.0,286910.0
2024-03-01,,,,21816.0,300735.0,300735.0
2024-04-01,,,,14553.0,204270.0,204270.0
2024-05-01,,,,22906.0,314929.0,314929.0
2024-06-01,,,,22813.0,313084.0,313084.0
2024-07-01,,,,23596.0,308984.0,308984.0
2024-08-01,,,,27198.0,348106.0,348106.0
2024-09-01,,,,22755.0,290477.0,290477.0
2024-10-01,,,,12741.0,162811.0,162811.0
2024-11-01,,,,23968.0,305138.0,305138.0
2024-12-01,,,,27995.0,365212.0,365212.0
