measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2009-04-01,0.0,0.0,0.0,25.844,336.0,336.0,,,,18706.156000000003,243493.0,243493.0,,,
2009-05-01,0.0,0.0,0.0,26.149,336.0,336.0,,,,19159.851000000002,246487.0,246487.0,,,
2009-06-01,0.0,0.0,0.0,26.248,336.0,336.0,,,,22626.752,289993.0,289993.0,,,
2009-07-01,0.0,0.0,0.0,26.076,336.0,336.0,,,,22837.924,294624.0,294624.0,,,
2009-08-01,0.0,0.0,0.0,26.514000000000003,336.0,336.0,,,,24370.486,309206.0,309206.0,,,
2009-09-01,0.0,0.0,0.0,26.448,336.0,336.0,,,,23925.552,304315.0,304315.0,,,
2009-10-01,3398.3160000000003,47900.0,47900.0,23.866,336.0,336.0,,,,6613.818,93223.0,93223.0,,,
2009-11-01,0.0,0.0,0.0,26.896,336.0,336.0,,,,22589.104,282534.0,282534.0,,,
2009-12-01,0.0,0.0,0.0,26.831,336.0,336.0,,,,27101.169,339785.0,339785.0,,,
2010-01-01,0.0,0.0,0.0,8.907,114.0,114.0,,,,27181.093,347876.0,347876.0,,,
2010-02-01,0.0,0.0,0.0,1.3960000000000001,18.0,18.0,,,,24644.604,317863.0,317863.0,,,
2010-03-01,0.0,0.0,0.0,3.6950000000000003,48.0,48.0,,,,25083.305,325848.0,325848.0,,,
2010-04-01,0.0,0.0,0.0,7.888000000000001,102.0,102.0,,,,18312.112,236798.0,236798.0,,,
2010-05-01,0.0,0.0,0.0,38.410000000000004,486.0,486.0,,,,19313.59,244372.0,244372.0,,,
2010-06-01,0.0,0.0,0.0,1.915,24.0,24.0,,,,24160.085,302734.0,302734.0,,,
2010-07-01,0.0,0.0,0.0,1.935,24.0,24.0,,,,26340.065000000002,326614.0,326614.0,,,
2010-08-01,0.0,0.0,0.0,2.898,36.0,36.0,,,,23879.102,296657.0,296657.0,,,
2010-09-01,0.0,0.0,0.0,100.18900000000001,1308.0,1308.0,,,,15877.811000000002,207290.0,207290.0,,,
2010-10-01,692.914,8985.0,8985.0,0.0,0.0,0.0,,,,25376.086,329064.0,329064.0,,,
2010-11-01,770.7990000000001,9670.0,9670.0,52.128,654.0,654.0,,,,23717.073,297554.0,297554.0,,,
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,28516.0,358853.0,358853.0,,,
2011-01-01,0.0,0.0,0.0,0.896,12.0,12.0,,,,28511.104,368950.0,368950.0,0.0,0.0,0.0
2011-02-01,550.115,7154.0,7154.0,33.448,435.0,435.0,,,,22628.437,294289.0,294289.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,0.451,6.0,6.0,,,,26124.549,335637.0,335637.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,17140.0,219703.0,219703.0,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,32.658,418.0,418.0,,,,23151.342,296038.0,296038.0,0.0,0.0,0.0
2011-06-01,555.941,7102.0,7102.0,34.962,447.0,447.0,,,,19159.097,244739.0,244739.0,0.0,0.0,0.0
2011-07-01,1913.405,23470.0,23470.0,39.72,487.0,487.0,,,,23780.208,291685.0,291685.0,1248.667,15316.0,15316.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,26912.649,330150.0,330150.0,455.351,5586.0,5586.0
2011-09-01,105.81,1320.0,1320.0,0.0,0.0,0.0,,,,24401.079,304408.0,304408.0,56.111,700.0,700.0
2011-10-01,1418.049,17846.0,17846.0,32.26,406.0,406.0,,,,20543.207,258540.0,258540.0,222.484,2800.0,2800.0
2011-11-01,286.671,3590.0,3590.0,2.315,29.0,29.0,,,,25959.405,325128.0,325128.0,138.609,1736.0,1736.0
2011-12-01,1017.227,12778.0,12778.0,27.243,342.0,342.0,,,,24260.596,304742.0,304742.0,86.934,1092.0,1092.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,28152.0,356818.0,356818.0,0.0,0.0,0.0
2012-02-01,869.361,11405.0,11405.0,55.265,725.0,725.0,,,,22320.374,292812.0,292812.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,25530.0,333543.0,333543.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,0.435,6.0,6.0,,,,22692.565,302253.0,302253.0,0.0,0.0,0.0
2012-05-01,2208.669,29066.0,29066.0,55.531,731.0,731.0,,,,12907.8,169869.0,169869.0,0.0,0.0,0.0
2012-06-01,441.599,5597.0,5597.0,19.221,244.0,244.0,,,,23047.18,292099.0,292099.0,0.0,0.0,0.0
2012-07-01,1135.118,14810.0,14810.0,27.116,354.0,354.0,,,,25389.766,331272.0,331272.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,1.419,17.0,17.0,,,,26117.581,320160.0,320160.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,0.462,6.0,6.0,,,,24051.538,301653.0,301653.0,0.0,0.0,0.0
2012-10-01,408.84,5201.0,5201.0,0.456,6.0,6.0,,,,24375.704,310080.0,310080.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,24541.0,304374.0,304374.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,25487.0,310850.0,310850.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,25726.0,309580.0,309580.0,0.0,0.0,0.0
2013-02-01,4396.474,61153.0,61153.0,296.887,4130.0,4130.0,,,,17646.639,245459.0,245459.0,0.0,0.0,0.0
2013-03-01,3146.932,39820.0,39820.0,6.417,81.0,81.0,,,,16030.651,202846.0,202846.0,0.0,0.0,0.0
2013-04-01,7362.0,113609.0,113609.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,3947.465,57669.0,57669.0,48.039,702.0,702.0,,,,12682.496,185279.0,185279.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,44.036,568.0,568.0,,,,21893.964,282598.0,282598.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,8.95,116.0,116.0,,,,26355.05,341578.0,341578.0,0.0,0.0,0.0
2013-08-01,455.152,5932.0,5932.0,0.0,0.0,0.0,,,,26528.848,345739.0,345739.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.494,6.0,6.0,,,,24348.506,285796.0,285796.0,0.0,0.0,0.0
2013-10-01,372.646,4549.0,4549.0,39.439,481.0,481.0,,,,22569.915,275494.0,275494.0,0.0,0.0,0.0
2013-11-01,996.844,12209.0,12209.0,37.884,464.0,464.0,,,,23712.272,290429.0,290429.0,0.0,0.0,0.0
2013-12-01,961.178,11571.0,11571.0,0.964,12.0,12.0,,,,27762.858,334219.0,334219.0,0.0,0.0,0.0
2014-01-01,1245.938,13166.0,13166.0,13.173,139.0,139.0,,,,27630.889,291986.0,291986.0,0.0,0.0,0.0
2014-02-01,4293.348,48119.0,48119.0,3.105,35.0,35.0,,,,23845.547,267254.0,267254.0,0.0,0.0,0.0
2014-03-01,1124.017,12273.0,12273.0,1.062,12.0,12.0,,,,27881.921,304433.0,304433.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,1.024,12.0,12.0,,,,24597.976,278767.0,278767.0,0.0,0.0,0.0
2014-05-01,2254.15,27147.0,27147.0,41.899,505.0,505.0,,,,17066.951,205541.0,205541.0,0.0,0.0,0.0
2014-06-01,418.426,4967.0,4967.0,36.157,429.0,429.0,,,,21193.417,251576.0,251576.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,0.481,6.0,6.0,,,,25391.519,306057.0,306057.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,2.41,29.0,29.0,,,,25943.59,312207.0,312207.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,6.119,75.0,75.0,,,,24409.881,300776.0,300776.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,7.143,87.0,87.0,,,,24192.857,294675.0,294675.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,16.901,209.0,209.0,,,,25627.099,316602.0,316602.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,3.752,46.0,46.0,,,,26565.248,328541.0,328541.0,0.0,0.0,0.0
2015-01-01,1733.683,23994.0,23994.0,0.0,0.0,0.0,0.0,0.0,0.0,27118.317,375309.0,375309.0,0.0,0.0,0.0
2015-02-01,3226.506,45562.0,45562.0,6.161,87.0,87.0,0.0,0.0,0.0,23517.333,332090.0,332090.0,0.0,0.0,0.0
2015-03-01,1317.741,18178.0,18178.0,1.682,23.0,23.0,0.0,0.0,0.0,24927.577,343867.0,343867.0,0.0,0.0,0.0
2015-04-01,4525.086,65643.0,65643.0,64.771,940.0,940.0,0.0,0.0,0.0,10316.143,149652.0,149652.0,0.0,0.0,0.0
2015-05-01,75.319,939.0,939.0,13.959,174.0,174.0,0.0,0.0,0.0,22394.722,279159.0,279159.0,0.0,0.0,0.0
2015-06-01,1225.189,15622.0,15622.0,35.481,452.0,452.0,0.0,0.0,0.0,19760.33,251957.0,251957.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,1.825,29.0,29.0,0.0,0.0,0.0,20383.175,323963.0,323963.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,1.056,17.0,17.0,0.0,0.0,0.0,20590.944,339204.0,339204.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19868.0,317678.0,317678.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18339.0,318526.0,318526.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,3.879,70.0,70.0,0.0,0.0,0.0,17406.121,312333.0,312333.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15657.0,337803.0,337803.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,0.461,6.0,6.0,0.0,0.0,0.0,27517.539,346164.0,346164.0,0.0,0.0,0.0
2016-02-01,611.801,7928.0,7928.0,37.598,487.0,487.0,0.0,0.0,0.0,22648.601,293480.0,293480.0,0.0,0.0,0.0
2016-03-01,3413.383,45376.0,45376.0,72.427,963.0,963.0,0.0,0.0,0.0,13866.19,184330.0,184330.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,0.915,12.0,12.0,0.0,0.0,0.0,23565.085,298798.0,298798.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,30.818,389.0,389.0,0.0,0.0,0.0,22228.182,280287.0,280287.0,0.0,0.0,0.0
2016-06-01,121.831,1486.0,1486.0,0.0,0.0,0.0,0.0,0.0,0.0,23633.169,288345.0,288345.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,7.544,93.0,93.0,0.0,0.0,0.0,26168.456,321897.0,321897.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26609.0,326282.0,326282.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24068.0,302033.0,302033.0,0.0,0.0,0.0
2016-10-01,2617.733,33693.0,33693.0,35.599,458.0,458.0,0.0,0.0,0.0,18333.668,235972.0,235972.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23142.0,284965.0,284965.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27027.0,333044.0,333044.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27255.0,334865.0,334865.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23551.0,298906.0,298906.0,0.0,0.0,0.0
2017-03-01,24.553,313.0,313.0,2.73,35.0,35.0,0.0,0.0,0.0,25601.717,326303.0,326303.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,0.46,6.0,6.0,0.0,0.0,0.0,22207.54,280217.0,280217.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21584.0,271564.0,271564.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21589.0,259651.0,259651.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,45.534,551.0,551.0,0.0,0.0,0.0,20993.466,254040.0,254040.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,30.144,365.0,365.0,0.0,0.0,0.0,16687.856,202289.0,202289.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,-73.184,29.0,29.0,0.0,0.0,0.0,-275.816,109.0,109.0,0.0,0.0,0.0
2017-10-01,-8.566,0.0,0.0,-0.234,0.0,0.0,0.0,0.0,0.0,-350.2,0.0,0.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,40.686,464.0,464.0,0.0,0.0,0.0,17990.314,205167.0,205167.0,0.0,0.0,0.0
2017-12-01,2776.511,35596.0,35596.0,3.619,46.0,46.0,0.0,0.0,0.0,23129.87,296538.0,296538.0,0.0,0.0,0.0
2018-01-01,5648.89,70385.0,70385.0,1.862,23.0,23.0,0.0,0.0,0.0,21596.248,269087.0,269087.0,0.0,0.0,0.0
2018-02-01,4487.362,57137.0,57137.0,0.456,6.0,6.0,0.0,0.0,0.0,19681.182,250598.0,250598.0,0.0,0.0,0.0
2018-03-01,5634.695,71975.0,71975.0,0.908,12.0,12.0,0.0,0.0,0.0,20438.397,261072.0,261072.0,0.0,0.0,0.0
2018-04-01,748.787,9727.0,9727.0,1.339,17.0,17.0,0.0,0.0,0.0,21406.874,278085.0,278085.0,0.0,0.0,0.0
2018-05-01,2220.582,27903.0,27903.0,2.308,29.0,29.0,0.0,0.0,0.0,19789.11,248667.0,248667.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,11.421,145.0,145.0,0.0,0.0,0.0,4677.579,59384.0,59384.0,0.0,0.0,0.0
2018-07-01,-1.75,0.0,0.0,-0.079,0.0,0.0,0.0,0.0,0.0,-138.171,0.0,0.0,0.0,0.0,0.0
2018-08-01,-2.612,0.0,0.0,-0.118,0.0,0.0,0.0,0.0,0.0,-206.27,0.0,0.0,0.0,0.0,0.0
2018-09-01,-1.862,0.0,0.0,-0.084,0.0,0.0,0.0,0.0,0.0,-147.054,0.0,0.0,0.0,0.0,0.0
2018-10-01,-1.962,0.0,0.0,-0.089,0.0,0.0,0.0,0.0,0.0,-154.949,0.0,0.0,0.0,0.0,0.0
2018-11-01,-3.949,0.0,0.0,-0.178,0.0,0.0,0.0,0.0,0.0,-311.873,0.0,0.0,0.0,0.0,0.0
2018-12-01,-1.275,0.0,0.0,-0.058,0.0,0.0,0.0,0.0,0.0,-100.667,0.0,0.0,0.0,0.0,0.0
2019-01-01,-30.909,0.0,0.0,-0.031,0.0,0.0,0.0,0.0,0.0,-178.06,0.0,0.0,0.0,0.0,0.0
2019-02-01,-26.472,0.0,0.0,-0.027,0.0,0.0,0.0,0.0,0.0,-152.501,0.0,0.0,0.0,0.0,0.0
2019-03-01,-26.029,0.0,0.0,-0.026,0.0,0.0,0.0,0.0,0.0,-149.945,0.0,0.0,0.0,0.0,0.0
2019-04-01,-21.0,0.0,0.0,-0.021,0.0,0.0,0.0,0.0,0.0,-120.979,0.0,0.0,0.0,0.0,0.0
2019-05-01,-21.0,0.0,0.0,-0.021,0.0,0.0,0.0,0.0,0.0,-120.979,0.0,0.0,0.0,0.0,0.0
2019-06-01,-13.754,0.0,0.0,-0.014,0.0,0.0,0.0,0.0,0.0,-79.232,0.0,0.0,0.0,0.0,0.0
2019-07-01,-13.754,0.0,0.0,-0.014,0.0,0.0,0.0,0.0,0.0,-79.232,0.0,0.0,0.0,0.0,0.0
2019-08-01,-13.606,0.0,0.0,-0.014,0.0,0.0,0.0,0.0,0.0,-78.38,0.0,0.0,0.0,0.0,0.0
2019-09-01,-13.31,0.0,0.0,-0.013,0.0,0.0,0.0,0.0,0.0,-76.677,0.0,0.0,0.0,0.0,0.0
2019-10-01,-16.859,0.0,0.0,-0.017,0.0,0.0,0.0,0.0,0.0,-97.124,0.0,0.0,0.0,0.0,0.0
2019-11-01,-22.923,0.0,0.0,-0.023,0.0,0.0,0.0,0.0,0.0,-132.054,0.0,0.0,0.0,0.0,0.0
