measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2013-08-01,11882.157,145307.0,351579.0,3338.444,40826.0,98781.0,450.748,5512.0,13337.0,6526.651,79814.0,193116.0
2013-09-01,20378.477,249215.0,534789.0,2223.749,27195.0,58357.0,802.802,9818.0,21068.0,11472.972,140307.0,301083.0
2013-10-01,18105.451,221421.0,516578.0,4555.325,55709.0,129971.0,638.618,7810.0,18221.0,10321.606,126228.0,294492.0
2013-11-01,16239.789,198598.0,416707.0,7949.203,97211.0,203974.0,643.524,7870.0,16513.0,10334.484,126381.0,265179.0
2013-12-01,20105.495,245883.0,504706.0,5949.723,72763.0,149355.0,876.482,10719.0,22002.0,10311.3,126103.0,258843.0
2014-01-01,18801.746,229932.0,517888.0,6469.278,79115.0,178194.0,731.731,8949.0,20155.0,11003.245,134562.0,303081.0
2014-02-01,18163.424,222129.0,480054.0,6018.801,73607.0,159075.0,631.126,7718.0,16681.0,9487.649,116029.0,250756.0
2014-03-01,19514.849,238655.0,517462.0,6594.284,80644.0,174856.0,711.656,8703.0,18871.0,10617.211,129842.0,281530.0
2014-04-01,19747.749,241499.0,542808.0,4177.966,51093.0,114840.0,666.073,8146.0,18308.0,11182.212,136749.0,307366.0
2014-05-01,21111.981,258189.0,615194.0,4088.125,49996.0,119126.0,589.47,7209.0,17177.0,10024.424,122594.0,292107.0
2014-06-01,17750.105,217190.0,528909.0,4940.472,60452.0,147214.0,602.913,7377.0,17965.0,10325.51,126343.0,307674.0
2014-07-01,17943.895,219441.0,522670.0,3835.791,46909.0,111729.0,643.586,7871.0,18746.0,9905.728,121140.0,288534.0
2014-08-01,20229.748,247401.0,520486.0,1887.545,23084.0,48564.0,730.603,8935.0,18798.0,10479.104,128155.0,269614.0
2014-09-01,20008.055,244684.0,539291.0,2506.5,30653.0,67559.0,687.379,8406.0,18527.0,11996.066,146703.0,323338.0
2014-10-01,17436.862,213238.0,489474.0,5053.778,61803.0,141866.0,596.302,7292.0,16739.0,10483.058,128199.0,294272.0
2014-11-01,10610.65,129759.0,327981.0,5141.967,62882.0,158941.0,399.12,4881.0,12337.0,6694.263,81865.0,206923.0
2014-12-01,19626.731,240024.0,541688.0,5606.654,68566.0,154741.0,664.682,8129.0,18345.0,9956.933,121768.0,274806.0
2015-01-01,18108.827,221458.0,532616.0,7651.328,93570.0,225041.0,588.975,7203.0,17323.0,10457.87,127892.0,307586.0
2015-02-01,18089.863,221228.0,517877.0,5068.773,61988.0,145109.0,580.114,7094.0,16608.0,10033.25,122701.0,287232.0
2015-03-01,19425.038,237551.0,546000.0,5389.6,65910.0,151491.0,664.343,8124.0,18673.0,11360.019,138923.0,319308.0
2015-04-01,18531.778,226631.0,510014.0,4937.777,60386.0,135893.0,677.452,8285.0,18644.0,11075.993,135452.0,304823.0
2015-05-01,19438.226,237716.0,548464.0,5364.305,65602.0,151358.0,699.581,8555.0,19739.0,10159.888,124248.0,286669.0
2015-06-01,19729.889,241285.0,584584.0,4113.642,50308.0,121885.0,635.16,7768.0,18819.0,10859.309,132803.0,321754.0
2015-07-01,19520.65,238728.0,560941.0,4653.596,56911.0,133725.0,640.432,7832.0,18403.0,11502.322,140668.0,330528.0
2015-08-01,15793.505,193145.0,500640.0,6030.14,73745.0,191150.0,575.035,7032.0,18228.0,9140.32,111781.0,289740.0
2015-09-01,16502.27,201812.0,502331.0,6980.478,85367.0,212487.0,570.76,6980.0,17374.0,9774.492,119535.0,297537.0
2015-10-01,14415.266,176286.0,482014.0,8380.351,102484.0,280220.0,471.126,5761.0,15753.0,8589.257,105039.0,287206.0
2015-11-01,7108.202,86929.0,232355.0,5954.208,72816.0,194633.0,369.374,4517.0,12074.0,5500.216,67264.0,179793.0
2015-12-01,17247.514,210927.0,508525.0,6971.761,85261.0,205555.0,609.82,7458.0,17980.0,9619.905,117646.0,283633.0
2016-01-01,18775.834,90638.0,530723.0,7191.085,34714.0,203265.0,652.618,3150.0,18447.0,10673.463,51525.0,301699.0
2016-02-01,16304.578,78709.0,487760.0,6322.212,30520.0,189132.0,614.932,2969.0,18396.0,9720.278,46924.0,290787.0
2016-03-01,16411.939,79226.0,502376.0,7392.574,35687.0,226290.0,624.82,3016.0,19126.0,10249.667,49479.0,313746.0
2016-04-01,15422.126,74447.0,536334.0,5780.163,27902.0,201016.0,544.504,2628.0,18936.0,8275.207,39947.0,287786.0
2016-05-01,22205.094,107193.0,601866.0,3321.474,16034.0,90028.0,730.678,3527.0,19805.0,9984.754,48200.0,270635.0
2016-06-01,19310.935,93223.0,546582.0,3889.884,18778.0,110100.0,677.275,3270.0,19170.0,10324.906,49843.0,292239.0
2016-07-01,18850.537,90997.0,584450.0,5495.695,26529.0,170391.0,626.534,3024.0,19425.0,8941.234,43162.0,277218.0
2016-08-01,17320.752,83614.0,539370.0,6143.226,29656.0,191301.0,564.026,2723.0,17564.0,9289.996,44847.0,289291.0
2016-09-01,15193.377,73345.0,464363.0,8123.297,39215.0,248277.0,551.258,2661.0,16848.0,6298.068,30404.0,192491.0
2016-10-01,15487.808,74767.0,552474.0,6867.291,33152.0,244967.0,563.183,2719.0,20090.0,8680.718,41906.0,309654.0
2016-11-01,14445.689,69735.0,518202.0,7973.077,38489.0,286013.0,534.592,2581.0,19177.0,7792.642,37618.0,279541.0
2016-12-01,10040.353,48469.0,392829.0,9558.309,46142.0,373969.0,379.134,1830.0,14834.0,6112.204,29506.0,239140.0
2017-01-01,22694.242,109555.0,1059520.0,7174.982,34637.0,334976.0,,,,6023.776,29079.0,281230.0
2017-02-01,13930.035,67245.0,451853.0,7937.268,38316.0,257464.0,,,,8841.697,42682.0,286801.0
2017-03-01,13946.674,67325.0,478789.0,5540.248,26745.0,190197.0,,,,8297.078,40053.0,284838.0
2017-04-01,9688.824,46771.0,310173.0,5808.302,28039.0,185944.0,,,,5590.874,26989.0,178983.0
2017-05-01,13159.408,63526.0,467006.0,6503.846,31397.0,230811.0,,,,7811.746,37710.0,277226.0
2017-06-01,17567.074,84803.0,517776.0,6219.114,30022.0,183304.0,,,,9948.812,48027.0,293234.0
2017-07-01,16502.611,79665.0,484176.0,7199.434,34755.0,211227.0,,,,9469.955,45715.0,277842.0
2017-08-01,17416.57,84075.0,526714.0,8669.501,41850.0,262184.0,,,,10098.929,48751.0,305413.0
2017-09-01,16160.257,78010.0,516074.0,9973.867,48147.0,318513.0,,,,8789.876,42431.0,280702.0
2017-10-01,17030.116,82211.0,538597.0,9639.437,46533.0,304858.0,,,,8856.447,42754.0,280095.0
2017-11-01,14690.3,70914.0,464285.0,8562.149,41332.0,270605.0,,,,9600.551,46345.0,303424.0
2017-12-01,16423.739,79286.0,483011.0,10527.928,50824.0,309619.0,,,,9559.333,46148.0,281134.0
2018-01-01,17766.898,85769.0,461966.0,11928.37,57584.0,310156.0,,,,4575.732,22089.0,118976.0
2018-02-01,17237.204,83210.0,444282.0,11454.789,55296.0,295242.0,,,,3940.007,19020.0,101552.0
2018-03-01,19658.016,94897.0,509947.0,11649.408,56237.0,302196.0,,,,4959.576,23942.0,128656.0
2018-04-01,16108.674,77762.0,401184.0,11391.576,54991.0,283705.0,,,,4774.75,23049.0,118914.0
2018-05-01,0.0,0.0,133448.0,0.0,0.0,6290.0,,,,0.0,0.0,56927.0
2018-06-01,17721.328,85546.0,466144.0,4543.84,21934.0,119522.0,,,,3716.832,17942.0,97768.0
2018-07-01,22306.5,107684.0,509387.0,7175.95,34642.0,163869.0,,,,5423.55,26182.0,123851.0
2018-08-01,21979.444,106104.0,491400.0,6102.961,29462.0,136445.0,,,,6749.595,32583.0,150902.0
2018-09-01,17752.714,85701.0,436419.0,7004.99,33817.0,172205.0,,,,4407.296,21276.0,108346.0
2018-10-01,19034.52,91889.0,449378.0,6122.638,29557.0,144547.0,,,,5483.842,26473.0,129466.0
2018-11-01,19091.753,92163.0,465674.0,10201.71,49247.0,248833.0,,,,4427.537,21373.0,107994.0
2018-12-01,21327.518,102958.0,544421.0,9650.063,46585.0,246334.0,,,,4063.419,19616.0,103726.0
2019-01-01,18168.14,109632.0,675819.0,6123.011,36948.0,227764.0,,,,12599.849,76031.0,468689.0
2019-02-01,16958.989,102334.0,561149.0,4844.229,29231.0,160289.0,,,,11848.782,71498.0,392059.0
2019-03-01,16605.714,100202.0,512408.0,4867.387,29371.0,150195.0,,,,11714.899,70690.0,361491.0
2019-04-01,17134.665,106840.0,551957.0,7286.419,45433.0,234716.0,,,,11849.916,73888.0,381720.0
2019-05-01,8303.923,50108.0,316032.0,3344.815,20183.0,127298.0,,,,8282.262,49977.0,315208.0
2019-06-01,17924.457,111720.0,552106.0,3645.248,22720.0,112280.0,,,,9732.295,60659.0,299772.0
2019-07-01,18699.392,112835.0,606626.0,3729.355,22503.0,120984.0,,,,11960.253,72170.0,388002.0
2019-08-01,18352.627,110743.0,586507.0,4700.122,28361.0,150205.0,,,,10687.251,64489.0,341540.0
2019-09-01,18763.364,117000.0,607637.0,5727.553,35714.0,185482.0,,,,8145.083,50789.0,263772.0
2019-10-01,21386.151,129048.0,680047.0,7818.657,47179.0,248621.0,,,,10845.192,65442.0,344861.0
2019-11-01,18926.964,114210.0,633421.0,5980.581,36088.0,200150.0,,,,12766.455,77036.0,427250.0
2019-12-01,16358.357,98710.0,470538.0,6267.141,37817.0,180271.0,,,,12186.502,73536.0,350538.0
2020-01-01,17280.872,110193.0,553403.0,6255.287,39887.0,200319.0,,,,10445.841,66609.0,334518.0
2020-02-01,22945.843,130425.0,685443.0,5728.952,32564.0,171136.0,,,,15079.205,85711.0,450449.0
2020-03-01,19813.415,118797.0,696394.0,5956.159,35712.0,209345.0,,,,14612.426,87613.0,513592.0
2020-04-01,13977.686,96156.0,570425.0,3140.801,21606.0,128175.0,,,,9950.513,68452.0,406077.0
2020-05-01,16498.993,116403.0,688835.0,2818.437,19885.0,117670.0,,,,11517.57,81259.0,480860.0
2020-06-01,13195.064,94066.0,652815.0,3501.181,24960.0,173218.0,,,,9773.755,69676.0,483549.0
2020-07-01,14461.062,109800.0,653474.0,2810.413,21339.0,126998.0,,,,9811.525,74497.0,443368.0
2020-08-01,11390.029,101077.0,633881.0,2728.92,24217.0,151871.0,,,,7561.051,67098.0,420790.0
2020-09-01,20672.276,129847.0,723808.0,4439.466,27885.0,155441.0,,,,12415.258,77983.0,434701.0
2020-10-01,20845.375,130839.0,778182.0,4342.894,27259.0,162125.0,,,,12610.731,79153.0,470773.0
2020-11-01,11402.481,65679.0,447483.0,3381.397,19477.0,132701.0,,,,6537.122,37654.0,256545.0
2020-12-01,16884.084,111031.0,706760.0,5166.689,33977.0,216275.0,,,,11421.227,75107.0,478088.0
2022-01-01,14309.483,85964.0,323593.0,7983.524,47961.0,180538.0,,,,13436.993,80722.0,303862.0
2022-02-01,15839.335,95551.0,514235.0,6113.245,36878.0,198471.0,,,,10829.42,65328.0,351585.0
2022-03-01,18136.907,102387.0,579050.0,5815.455,32829.0,185668.0,,,,12099.638,68305.0,386301.0
2022-04-01,18716.886,117878.0,527104.0,6478.386,40801.0,182444.0,,,,9114.728,57404.0,256688.0
2022-05-01,14746.248,96789.0,549670.0,4655.762,30559.0,173545.0,,,,13406.99,87999.0,499749.0
2022-06-01,15956.148,101057.0,493794.0,5530.595,35028.0,171155.0,,,,11423.257,72348.0,353515.0
2022-07-01,18169.559,116064.0,507180.0,6806.834,43481.0,190004.0,,,,6990.607,44655.0,195134.0
2022-08-01,13950.751,89178.0,487406.0,5097.877,32587.0,178108.0,,,,14000.372,89495.0,489139.0
2022-09-01,19201.564,114189.0,507364.0,3449.439,20513.0,91145.0,,,,10833.997,64428.0,286267.0
2022-10-01,6665.222,47506.0,279035.0,5571.176,39708.0,233233.0,,,,5437.602,38756.0,227641.0
2022-11-01,16661.975,94006.0,466701.0,5307.031,29942.0,148650.0,,,,13646.994,76996.0,382251.0
2022-12-01,11949.815,76549.0,450224.0,7177.365,45977.0,270416.0,,,,9837.82,63020.0,370652.0
2023-01-01,20818.481,93464.0,886487.0,4657.308,20909.0,198316.0,,,,9572.211,42974.0,407601.0
2023-02-01,19730.219,88578.0,822678.0,3785.889,16997.0,157858.0,,,,10903.892,48953.0,454653.0
2023-03-01,24044.524,107947.0,925374.0,3947.02,17720.0,151904.0,,,,10318.456,46324.0,397114.0
2023-04-01,18713.532,84014.0,806182.0,5166.478,23195.0,222573.0,,,,6569.99,29496.0,283036.0
2023-05-01,16311.382,73230.0,759507.0,4190.299,18812.0,195113.0,,,,5508.319,24729.0,256484.0
2023-06-01,19756.054,88694.0,839529.0,3626.775,16282.0,154119.0,,,,4658.171,20913.0,197948.0
2023-07-01,20075.994,90131.0,880805.0,3190.23,14322.0,139967.0,,,,6566.776,29481.0,288108.0
2023-08-01,21612.416,97028.0,762764.0,4444.198,19952.0,156848.0,,,,4077.386,18305.0,143903.0
2023-09-01,23561.118,105777.0,843936.0,3722.997,16714.0,133354.0,,,,5905.885,26514.0,211543.0
2023-10-01,10579.869,47498.0,398976.0,2048.483,9197.0,77250.0,,,,2411.648,10827.0,90945.0
2023-11-01,18989.272,85252.0,757914.0,4791.454,21511.0,191240.0,,,,7435.274,33380.0,296762.0
2023-12-01,25386.502,113972.0,958774.0,5331.217,23934.0,201344.0,,,,8147.281,36577.0,307699.0
