measured_on,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2016-11-01,4141.355,38233.0,38233.0,,,
2016-12-01,4592.455,42398.0,42398.0,,,
2017-01-01,12051.008,111026.0,111026.0,,,
2017-02-01,10170.129,93697.0,93697.0,,,
2017-03-01,10858.284,100037.0,100037.0,,,
2017-04-01,13223.694,121830.0,121830.0,,,
2017-05-01,13557.018,124901.0,124901.0,,,
2017-06-01,10932.611,100722.0,100722.0,,,
2017-07-01,9416.446,86754.0,86754.0,,,
2017-08-01,7705.982,70995.0,70995.0,,,
2017-09-01,5456.953,50275.0,50275.0,,,
2017-10-01,5528.415,50933.0,50933.0,,,
2017-11-01,8434.857,77710.0,77710.0,,,
2017-12-01,5734.603,52833.0,52833.0,,,
2018-01-01,11236.651,102298.0,102298.0,,,
2018-02-01,13473.338,122661.0,122661.0,,,
2018-03-01,11736.711,106851.0,106851.0,,,
2018-04-01,15711.138,143034.0,143034.0,,,
2018-05-01,15567.975,141731.0,141731.0,,,
2018-06-01,10518.365,95759.0,95759.0,,,
2018-07-01,10806.651,98384.0,98384.0,,,
2018-08-01,15962.469,145322.0,145322.0,,,
2018-09-01,15413.365,140323.0,140323.0,,,
2018-10-01,17139.394,156037.0,156037.0,,,
2018-11-01,18682.354,170084.0,170084.0,,,
2018-12-01,21902.589,199401.0,199401.0,,,
2019-01-01,26229.345,233572.0,233572.0,,,
2019-02-01,18463.966,164422.0,164422.0,,,
2019-03-01,20464.505,182236.0,182236.0,,,
2019-04-01,20235.272,180195.0,180195.0,,,
2019-05-01,18290.652,162878.0,162878.0,,,
2019-06-01,16768.457,149323.0,149323.0,,,
2019-07-01,11848.618,105512.0,105512.0,,,
2019-08-01,9654.694,85975.0,85975.0,,,
2019-09-01,7656.312,68179.0,68179.0,,,
2019-10-01,8962.695,79813.0,79813.0,,,
2019-11-01,9219.492,82100.0,82100.0,,,
2019-12-01,16073.992,143139.0,143139.0,,,
2020-01-01,21241.934,186228.0,186228.0,,,
2020-02-01,23697.91,207760.0,207760.0,,,
2020-03-01,27086.164,237464.0,237464.0,,,
2020-04-01,22491.325,197181.0,197181.0,,,
2020-05-01,20670.337,181217.0,181217.0,,,
2020-06-01,13648.139,119653.0,119653.0,,,
2020-07-01,10840.1,95035.0,95035.0,,,
2020-08-01,11597.73,101677.0,101677.0,,,
2020-09-01,9694.293,84990.0,84990.0,,,
2020-10-01,8041.013,70496.0,70496.0,,,
2020-11-01,11215.173,98323.0,98323.0,,,
2020-12-01,14835.882,130066.0,130066.0,,,
2021-01-01,11721.383,103664.0,103664.0,,,
2021-02-01,7849.033,69417.0,69417.0,,,
2021-03-01,17161.458,151776.0,151776.0,,,
2021-04-01,12220.309,108076.0,108076.0,,,
2021-05-01,11945.748,105648.0,105648.0,191.856,1697.0,1697.0
2021-06-01,7879.513,69686.0,69686.0,191.059,1690.0,1690.0
2021-07-01,10997.08,97258.0,97258.0,183.565,1623.0,1623.0
2021-08-01,9732.406,86073.0,86073.0,160.564,1420.0,1420.0
2021-09-01,11886.599,105125.0,105125.0,145.058,1283.0,1283.0
2021-10-01,11428.617,101075.0,101075.0,116.238,1028.0,1028.0
2021-11-01,12081.541,106849.0,106849.0,100.492,889.0,889.0
2021-12-01,8252.313,72983.0,72983.0,90.168,797.0,797.0
2022-01-01,11671.106,39822.0,39822.0,128.166,437.0,437.0
2022-02-01,13749.056,46912.0,46912.0,156.456,534.0,534.0
2022-03-01,18954.61,64673.0,64673.0,209.561,715.0,715.0
2022-04-01,16236.113,55398.0,55398.0,248.005,846.0,846.0
2022-05-01,11966.552,40830.0,40830.0,254.434,868.0,868.0
2022-06-01,8208.356,28007.0,28007.0,263.672,900.0,900.0
2022-07-01,6756.872,23054.0,23054.0,268.245,915.0,915.0
2022-08-01,7811.809,26654.0,26654.0,274.893,938.0,938.0
2022-09-01,8444.333,28812.0,28812.0,229.917,784.0,784.0
2022-10-01,6488.883,22140.0,22140.0,190.468,650.0,650.0
2022-11-01,8306.822,28343.0,28343.0,151.431,517.0,517.0
2022-12-01,14722.488,50233.0,50233.0,114.752,392.0,392.0
2023-01-01,22663.0,77326.0,77326.0,93.0,317.0,317.0
2023-02-01,19253.0,65691.0,65691.0,149.0,508.0,508.0
2023-03-01,13680.0,46676.0,46676.0,214.0,730.0,730.0
2023-04-01,16080.0,54865.0,54865.0,257.0,877.0,877.0
2023-05-01,12611.0,43029.0,43029.0,307.0,1047.0,1047.0
2023-06-01,12558.0,42848.0,42848.0,273.0,931.0,931.0
2023-07-01,8322.0,28395.0,28395.0,292.0,996.0,996.0
2023-08-01,8752.0,29862.0,29862.0,257.0,877.0,877.0
2023-09-01,6144.0,20963.0,20963.0,209.0,713.0,713.0
2023-10-01,5128.0,17497.0,17497.0,190.0,648.0,648.0
2023-11-01,3554.0,12126.0,12126.0,143.0,488.0,488.0
2023-12-01,9972.0,34024.0,34024.0,82.0,280.0,280.0
