measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2021-06-01,0.646,8.0,17.0,6039.735,64820.0,64820.0
2021-07-01,0.582,7.0,17.0,6719.925,72120.0,72120.0
2021-08-01,0.099,0.0,0.0,7311.6,78470.0,78470.0
2021-09-01,1.31,16.0,33.0,4972.602,53367.0,53367.0
2021-10-01,1.661,20.0,44.0,4919.868,52801.0,52801.0
2021-11-01,2.44,29.0,61.0,4957.101,53201.0,53201.0
2021-12-01,6.994,84.0,182.0,4911.816,52714.0,52714.0
2022-01-01,81.814,754.0,754.0,4077.815,44872.0,44872.0
2022-02-01,9.233,83.0,83.0,3747.946,41242.0,41242.0
2022-03-01,0.656,6.0,6.0,4104.841,45170.0,45170.0
2022-04-01,0.408,5.0,6.0,4494.397,49455.0,49455.0
2022-05-01,1.195,11.0,11.0,5270.163,57992.0,57992.0
2022-06-01,0.144,0.0,0.0,5521.89,60762.0,60762.0
2022-07-01,0.195,0.0,0.0,7453.337,82016.0,82016.0
2022-08-01,0.132,0.0,0.0,7424.298,81697.0,81697.0
2022-09-01,0.211,0.0,0.0,5036.828,55424.0,55424.0
2022-10-01,0.497,6.0,6.0,4735.425,52108.0,52108.0
2022-11-01,1.516,17.0,17.0,4378.394,48179.0,48179.0
2022-12-01,50.999,468.0,468.0,4673.666,51428.0,51428.0
2023-01-01,1.919,23.0,44.0,3708.529,41859.0,41859.0
2023-02-01,43.227,520.0,1045.0,3343.095,37734.0,37734.0
2023-03-01,1.505,18.0,39.0,3244.355,36620.0,36620.0
2023-04-01,0.708,9.0,17.0,2866.434,32353.0,32353.0
2023-05-01,1.369,16.0,33.0,3239.965,36570.0,36570.0
2023-06-01,0.214,3.0,6.0,4310.047,48648.0,48648.0
2023-07-01,0.274,3.0,6.0,6270.724,70779.0,70779.0
2023-08-01,0.319,4.0,6.0,4933.351,55683.0,55683.0
2023-09-01,0.608,7.0,17.0,4450.476,50233.0,50233.0
2023-10-01,1.069,13.0,28.0,3490.157,39393.0,39393.0
2023-11-01,0.512,6.0,11.0,4190.707,47301.0,47301.0
2023-12-01,0.276,3.0,6.0,4011.16,45275.0,45275.0
2024-01-01,22.736,259.0,594.0,4465.579,46590.0,46590.0
2024-02-01,1.073,12.0,29.0,4052.536,42280.0,42280.0
2024-03-01,6.777,77.0,176.0,3893.887,40625.0,40625.0
2024-04-01,1.635,19.0,41.0,3348.229,34932.0,34932.0
2024-05-01,0.823,9.0,24.0,3960.619,41321.0,41321.0
2024-06-01,0.666,8.0,18.0,4915.114,51279.0,51279.0
2024-07-01,1.33,15.0,35.0,6280.587,65525.0,65525.0
2024-08-01,0.879,10.0,24.0,5588.849,58308.0,58308.0
2024-09-01,0.824,9.0,24.0,4610.526,48101.0,48101.0
2024-10-01,1.489,17.0,41.0,3921.831,40916.0,40916.0
2024-11-01,2.089,24.0,53.0,4100.977,42785.0,42785.0
2024-12-01,15.679,178.0,412.0,4823.266,50321.0,50321.0
