measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Municipal Solid Waste Generation,Municipal Solid Waste Quantity Consumed For Electricity,Municipal Solid Waste Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2006-06-01,,,,0.0,0.0,0.0,447.43300000000005,6895.0,6895.0,,,,,,
2006-07-01,,,,0.0,0.0,0.0,648.118,9987.0,9987.0,,,,,,
2006-08-01,,,,0.0,0.0,0.0,628.671,9688.0,9688.0,,,,,,
2006-09-01,,,,0.0,0.0,0.0,288.821,4451.0,4451.0,,,,,,
2006-10-01,,,,0.0,0.0,0.0,305.089,4701.0,4701.0,,,,,,
2006-11-01,,,,0.0,0.0,0.0,359.25100000000003,5536.0,5536.0,,,,,,
2006-12-01,,,,0.0,0.0,0.0,398.055,6134.0,6134.0,,,,,,
2007-01-01,,,,,,,806.936,12158.0,12158.0,,,,,,
2007-02-01,,,,,,,950.0980000000001,14314.0,14314.0,,,,,,
2007-03-01,,,,,,,886.701,13362.0,13362.0,,,,,,
2007-04-01,,,,,,,290.02,4368.0,4368.0,,,,,,
2007-05-01,,,,,,,293.67900000000003,4424.0,4424.0,,,,,,
2007-06-01,,,,,,,400.84700000000004,6042.0,6042.0,,,,,,
2007-07-01,,,,,,,403.433,6076.0,6076.0,,,,,,
2007-08-01,,,,,,,477.964,7202.0,7202.0,,,,,,
2007-09-01,,,,,,,335.701,5057.0,5057.0,,,,,,
2007-10-01,,,,,,,422.541,6367.0,6367.0,,,,,,
2007-11-01,,,,,,,78.461,1182.0,1182.0,,,,,,
2007-12-01,,,,,,,823.619,12410.0,12410.0,,,,,,
2008-01-01,,,,,,,89.22800000000001,1757.0,1757.0,,,,,,
2008-02-01,,,,,,,106.534,2089.0,2089.0,,,,,,
2008-03-01,,,,,,,237.705,4662.0,4662.0,,,,,,
2008-04-01,,,,,,,102.571,2010.0,2010.0,,,,,,
2008-05-01,,,,,,,92.325,1813.0,1813.0,,,,,,
2008-06-01,,,,,,,211.607,4150.0,4150.0,,,,,,
2008-07-01,,,,,,,176.204,3457.0,3457.0,,,,,,
2008-08-01,,,,,,,45.091,884.0,884.0,,,,,,
2008-09-01,,,,,,,31.16,614.0,614.0,,,,,,
2008-10-01,,,,,,,35.474000000000004,698.0,698.0,,,,,,
2008-11-01,,,,,,,31.657,619.0,619.0,,,,,,
2008-12-01,,,,,,,247.44400000000002,4854.0,4854.0,,,,,,
2009-01-01,,,,,,,637.423,14038.0,14038.0,,,,,,
2009-02-01,,,,,,,12.641,276.0,276.0,,,,,,
2009-03-01,,,,,,,52.553000000000004,1154.0,1154.0,,,,,,
2009-04-01,,,,,,,46.918,1030.0,1030.0,,,,,,
2009-05-01,,,,,,,12.271,270.0,270.0,,,,,,
2009-06-01,,,,,,,29.155,642.0,642.0,,,,,,
2009-07-01,,,,,,,90.385,1988.0,1988.0,,,,,,
2009-08-01,,,,,,,224.545,4944.0,4944.0,,,,,,
2009-09-01,,,,,,,23.135,507.0,507.0,,,,,,
2009-10-01,,,,,,,13.877,304.0,304.0,,,,,,
2009-11-01,,,,,,,22.149,490.0,490.0,,,,,,
2009-12-01,,,,,,,73.94800000000001,1627.0,1627.0,,,,,,
2010-01-01,,,,,,,42.536,918.0,918.0,,,,,,
2010-02-01,,,,,,,38.985,845.0,845.0,,,,,,
2010-03-01,,,,,,,61.137,1323.0,1323.0,,,,,,
2010-04-01,,,,,,,33.478,726.0,726.0,,,,,,
2010-05-01,,,,,,,149.103,3226.0,3226.0,,,,,,
2010-06-01,,,,,,,132.197,2860.0,2860.0,,,,,,
2010-07-01,,,,,,,448.636,9712.0,9712.0,,,,,,
2010-08-01,,,,,,,299.588,6486.0,6486.0,,,,,,
2010-09-01,,,,,,,236.853,5129.0,5129.0,,,,,,
2010-10-01,,,,,,,10.319,225.0,225.0,,,,,,
2010-11-01,,,,,,,28.810000000000002,625.0,625.0,,,,,,
2010-12-01,,,,,,,96.358,2089.0,2089.0,,,,,,
2011-01-01,,,,,,,549.552,10607.0,10607.0,,,,,,
2011-02-01,,,,,,,104.186,2010.0,2010.0,,,,,,
2011-03-01,,,,,,,60.329,1165.0,1165.0,,,,,,
2011-04-01,,,,,,,24.579,473.0,473.0,,,,,,
2011-05-01,,,,,,,6.769,129.0,129.0,,,,,,
2011-06-01,,,,,,,214.029,4132.0,4132.0,,,,,,
2011-07-01,,,,,,,361.043,6964.0,6964.0,,,,,,
2011-08-01,,,,,,,218.246,4211.0,4211.0,,,,,,
2011-09-01,,,,,,,121.11,2336.0,2336.0,,,,,,
2011-10-01,,,,,,,18.42,355.0,355.0,,,,,,
2011-11-01,,,,,,,70.219,1357.0,1357.0,,,,,,
2011-12-01,,,,,,,43.518,839.0,839.0,,,,,,
2012-01-01,,,,,,,45.466,633.0,633.0,,,,,,
2012-02-01,,,,,,,42.535,594.0,594.0,,,,,,
2012-03-01,,,,,,,97.851,1361.0,1361.0,,,,,,
2012-04-01,,,,,,,44.974,627.0,627.0,,,,,,
2012-05-01,,,,,,,118.7,1652.0,1652.0,,,,,,
2012-06-01,,,,,,,497.497,6922.0,6922.0,,,,,,
2012-07-01,,,,,,,399.384,5555.0,5555.0,,,,,,
2012-08-01,,,,,,,198.061,2755.0,2755.0,,,,,,
2012-09-01,,,,,,,36.663,510.0,510.0,,,,,,
2012-10-01,,,,,,,126.843,1764.0,1764.0,,,,,,
2012-11-01,,,,,,,73.642,1025.0,1025.0,,,,,,
2012-12-01,,,,,,,64.384,896.0,896.0,,,,,,
2013-01-01,,,,,,,953.774,12965.0,12965.0,,,,,,
2013-02-01,,,,,,,681.852,9262.0,9262.0,,,,,,
2013-03-01,,,,,,,29.08,393.0,393.0,,,,,,
2013-04-01,,,,,,,13.88,191.0,191.0,,,,,,
2013-05-01,,,,,,,12.864,174.0,174.0,,,,,,
2013-06-01,,,,,,,53.453,724.0,724.0,,,,,,
2013-07-01,,,,,,,395.127,5369.0,5369.0,,,,,,
2013-08-01,,,,,,,73.113,993.0,993.0,,,,,,
2013-09-01,,,,,,,46.22,628.0,628.0,,,,,,
2013-10-01,,,,,,,6.92,95.0,95.0,,,,,,
2013-11-01,,,,,,,46.538,634.0,634.0,,,,,,
2013-12-01,,,,,,,895.179,12162.0,12162.0,,,,,,
2014-01-01,,,,,,,2322.316,31354.0,31354.0,,,,,,
2014-02-01,,,,,,,694.332,9374.0,9374.0,,,,,,
2014-03-01,,,,,,,778.581,10509.0,10509.0,,,,,,
2014-04-01,,,,,,,7.327,101.0,101.0,,,,,,
2014-05-01,,,,,,,2.288,28.0,28.0,,,,,,
2014-06-01,,,,,,,20.525,275.0,275.0,,,,,,
2014-07-01,,,,,,,32.844,444.0,444.0,,,,,,
2014-08-01,,,,,,,79.882,1079.0,1079.0,,,,,,
2014-09-01,,,,,,,30.978,416.0,416.0,,,,,,
2014-10-01,,,,,,,11.297,152.0,152.0,,,,,,
2014-11-01,,,,,,,37.427,506.0,506.0,,,,,,
2014-12-01,,,,,,,103.203,1394.0,1394.0,,,,,,
2015-01-01,,,,,,,61.584,1064.0,1064.0,,,,,,
2015-02-01,,,,,,,1368.947,23701.0,23701.0,,,,,,
2015-03-01,,,,,,,21.065,366.0,366.0,,,,,,
2015-04-01,,,,,,,28.951,501.0,501.0,,,,,,
2015-05-01,,,,,,,16.679,287.0,287.0,,,,,,
2015-06-01,,,,,,,4.562,79.0,79.0,,,,,,
2015-07-01,,,,,,,82.744,1435.0,1435.0,,,,,,
2015-08-01,,,,,,,28.523,495.0,495.0,,,,,,
2015-09-01,,,,,,,61.236,1058.0,1058.0,,,,,,
2015-10-01,,,,,,,7.338,129.0,129.0,,,,,,
2015-11-01,,,,,,,4.807,84.0,84.0,,,,,,
2015-12-01,,,,,,,9.564,163.0,163.0,,,,,,
2016-01-01,,,,,,,94.241,1780.0,1780.0,,,,,,
2016-02-01,,,,,,,52.888,1000.0,1000.0,,,,,,
2016-03-01,,,,,,,14.719,277.0,277.0,,,,,,
2016-04-01,,,,,,,33.379,627.0,627.0,,,,,,
2016-05-01,,,,,,,187.26,3531.0,3531.0,,,,,,
2016-06-01,,,,,,,34.61,655.0,655.0,,,,,,
2016-07-01,,,,,,,193.902,3661.0,3661.0,,,,,,
2016-08-01,,,,,,,356.997,6735.0,6735.0,,,,,,
2016-09-01,,,,,,,56.879,1074.0,1074.0,,,,,,
2016-10-01,,,,,,,7.925,147.0,147.0,,,,,,
2016-11-01,,,,,,,53.632,1011.0,1011.0,,,,,,
2016-12-01,,,,,,,208.568,3938.0,3938.0,,,,,,
2017-01-01,,,,,,,13.404,310.0,310.0,,,,,,
2017-02-01,,,,,,,24.3,552.0,552.0,,,,,,
2017-03-01,,,,,,,156.497,3561.0,3561.0,,,,,,
2017-04-01,,,,,,,27.553,625.0,625.0,,,,,,
2017-05-01,,,,,,,32.279,733.0,733.0,,,,,,
2017-06-01,,,,,,,28.646,654.0,654.0,,,,,,
2017-07-01,,,,,,,35.602,811.0,811.0,,,,,,
2017-08-01,,,,,,,31.42,716.0,716.0,,,,,,
2017-09-01,,,,,,,36.864,840.0,840.0,,,,,,
2017-10-01,,,,,,,27.952,637.0,637.0,,,,,,
2017-11-01,,,,,,,56.814,1290.0,1290.0,,,,,,
2017-12-01,,,,,,,277.669,6317.0,6317.0,,,,,,
2018-01-01,,,,,,,674.413,13828.0,13828.0,,,,,,
2018-02-01,,,,,,,25.957,532.0,532.0,,,,,,
2018-03-01,,,,,,,28.818,589.0,589.0,,,,,,
2018-04-01,,,,,,,22.092,454.0,454.0,,,,,,
2018-05-01,,,,,,,24.499,504.0,504.0,,,,,,
2018-06-01,,,,,,,21.086,432.0,432.0,,,,,,
2018-07-01,,,,,,,29.058,594.0,594.0,,,,,,
2018-08-01,,,,,,,52.344,1071.0,1071.0,,,,,,
2018-09-01,,,,,,,25.742,527.0,527.0,,,,,,
2018-10-01,,,,,,,23.307,476.0,476.0,,,,,,
2018-11-01,,,,,,,50.12,1026.0,1026.0,,,,,,
2018-12-01,,,,,,,27.564,566.0,566.0,,,,,,
2019-01-01,,,,,,,224.004,3881.0,3881.0,,,,,,
2019-02-01,,,,,,,140.118,2436.0,2436.0,,,,,,
2019-03-01,,,,,,,146.048,2537.0,2537.0,,,,,,
2019-04-01,,,,,,,113.44,1972.0,1972.0,,,,,,
2019-05-01,,,,,,,58.006,1008.0,1008.0,,,,,,
2019-06-01,,,,,,,70.65,1227.0,1227.0,,,,,,
2019-07-01,,,,,,,96.063,1669.0,1669.0,,,,,,
2019-08-01,,,,,,,183.212,3181.0,3181.0,,,,,,
2019-09-01,,,,,,,88.256,1535.0,1535.0,,,,,,
2019-10-01,,,,,,,138.822,2414.0,2414.0,,,,,,
2019-11-01,,,,,,,191.871,3333.0,3333.0,,,,,,
2019-12-01,,,,,,,217.51,3781.0,3781.0,,,,,,
2020-01-01,,,,,,,92.561,1286.0,1286.0,,,,,,
2020-02-01,,,,,,,98.79,1370.0,1370.0,,,,,,
2020-03-01,,,,,,,76.774,1062.0,1062.0,,,,,,
2020-04-01,,,,,,,85.297,1180.0,1180.0,,,,,,
2020-05-01,,,,,,,59.676,828.0,828.0,,,,,,
2020-06-01,,,,,,,57.967,800.0,800.0,,,,,,
2020-07-01,,,,,,,68.867,951.0,951.0,,,,,,
2020-08-01,,,,,,,64.976,900.0,900.0,,,,,,
2020-09-01,,,,,,,73.673,1018.0,1018.0,,,,,,
2020-10-01,,,,,,,115.658,1599.0,1599.0,,,,,,
2020-11-01,,,,,,,116.469,1610.0,1610.0,,,,,,
2020-12-01,,,,,,,652.292,9031.0,9031.0,,,,,,
2021-01-01,,,,,,,0.0,0.0,0.0,,,,,,
2021-02-01,,,,,,,160.493,3190.0,3190.0,,,,,,
2021-03-01,,,,,,,0.0,0.0,0.0,,,,,,
2021-04-01,,,,,,,72.867,1449.0,1449.0,,,,,,
2021-05-01,,,,,,,0.0,0.0,0.0,,,,,,
2021-06-01,,,,,,,118.944,2366.0,2366.0,,,,,,
2021-07-01,,,,,,,178.417,3550.0,3550.0,,,,,,
2021-08-01,,,,,,,437.794,8708.0,8708.0,,,,,,
2021-09-01,,,,,,,139.479,2776.0,2776.0,,,,,,
2021-10-01,,,,,,,30.614,608.0,608.0,,,,,,
2021-11-01,,,,,,,0.264,6.0,6.0,,,,,,
2021-12-01,,,,,,,0.127,0.0,0.0,,,,,,
2022-01-01,,,,,,,238.158,4324.0,4324.0,,,,,,
2022-02-01,,,,,,,53.396,972.0,972.0,,,,,,
2022-03-01,,,,,,,75.697,1375.0,1375.0,,,,,,
2022-04-01,,,,,,,166.827,3026.0,3026.0,,,,,,
2022-05-01,,,,,,,84.198,1530.0,1530.0,,,,,,
2022-06-01,,,,,,,0.163,6.0,6.0,,,,,,
2022-07-01,,,,,,,630.129,11442.0,11442.0,,,,,,
2022-08-01,,,,,,,0.142,0.0,0.0,,,,,,
2022-09-01,,,,,,,0.142,0.0,0.0,,,,,,
2022-10-01,,,,,,,0.218,6.0,6.0,,,,,,
2022-11-01,,,,,,,110.575,2010.0,2010.0,,,,,,
2022-12-01,,,,,,,129.355,2347.0,2347.0,,,,,,
2023-01-01,,,,,,,0.0,0.0,0.0,,,,,,
2023-02-01,,,,,,,0.0,0.0,0.0,,,,,,
2023-03-01,,,,,,,0.0,0.0,0.0,,,,,,
2023-04-01,,,,,,,0.0,0.0,0.0,,,,,,
2023-05-01,,,,,,,0.0,0.0,0.0,,,,,,
2023-06-01,,,,,,,0.0,0.0,0.0,,,,,,
