measured_on,Agricultural By-Products Generation,Agricultural By-Products Quantity Consumed For Electricity,Agricultural By-Products Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2009-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-08-01,549.99,2530.0,73125.0,,,,0.0,0.0,0.0
2009-09-01,767.27,3530.0,73125.0,,,,0.0,0.0,0.0
2009-10-01,2306.66,10611.0,196853.0,,,,0.0,0.0,0.0
2009-11-01,4171.0,19187.0,371070.0,,,,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-01-01,-199.0,18054.0,322750.0,,,,0.0,0.0,0.0
2010-02-01,-408.0,2463.0,15303.0,,,,0.0,0.0,0.0
2010-03-01,1743.0,20160.0,410751.0,,,,0.0,0.0,0.0
2010-04-01,658.0,16416.0,337068.0,,,,0.0,0.0,0.0
2010-05-01,83.0,12320.0,186612.0,,,,0.0,0.0,0.0
2010-06-01,-331.0,1209.0,29332.0,,,,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-10-01,40.0,20316.0,349815.0,,,,0.0,0.0,0.0
2010-11-01,-1616.0,12418.0,440160.0,,,,0.0,0.0,0.0
2010-12-01,72.0,20548.0,395660.0,,,,0.0,0.0,0.0
2011-01-01,4578.4,21061.0,296317.0,,,,0.0,0.0,0.0
2011-02-01,5073.1,23337.0,365048.0,,,,0.0,0.0,0.0
2011-03-01,3901.34,17947.0,238007.0,,,,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-09-01,409.34,1883.0,11644.0,,,,0.0,0.0,0.0
2011-10-01,4247.63,19540.0,519292.0,,,,0.0,0.0,0.0
2011-11-01,5464.98,25140.0,528164.0,,,,0.0,0.0,0.0
2011-12-01,4561.91,20985.0,448426.0,,,,0.0,0.0,0.0
2012-01-01,958.0,26322.0,517575.0,2.3,151.0,151.0,0.0,0.0,0.0
2012-02-01,139.0,5899.0,135452.0,1.579,104.0,105.0,0.0,0.0,0.0
2012-03-01,1600.0,28022.0,551916.0,1.892,122.0,122.0,0.0,0.0,0.0
2012-04-01,198.0,6782.0,152068.0,1.249,81.0,81.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,3.046,198.0,198.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,4.696,308.0,308.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,2.094,138.0,140.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,2.521,166.0,169.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,2.57,169.0,169.0,0.0,0.0,0.0
2012-10-01,859.0,25470.0,524176.0,2.186,144.0,146.0,0.0,0.0,0.0
2012-11-01,1056.0,24047.0,497349.0,1.84,121.0,122.0,0.0,0.0,0.0
2012-12-01,1427.0,29901.0,531529.0,2.027,133.0,134.0,0.0,0.0,0.0
2013-01-01,715.903,24821.0,468685.0,4.241,355.0,355.0,14.097,489.0,9229.0
2013-02-01,672.869,22997.0,420140.0,1.858,157.0,157.0,5.131,175.0,3204.0
2013-03-01,1678.726,30016.0,434595.0,1.946,163.0,163.0,0.274,5.0,71.0
2013-04-01,16.0,460.0,672.0,3.025,256.0,256.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,3.249,274.0,274.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,2.014,169.0,169.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,1.377,117.0,117.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,1.494,122.0,122.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,1.93,163.0,163.0,0.0,0.0,0.0
2013-10-01,51.526,4956.0,129430.0,2.467,204.0,204.0,0.474,46.0,1191.0
2013-11-01,5.894,12980.0,298046.0,2.431,204.0,204.0,0.106,233.0,5346.0
2013-12-01,176.144,15473.0,301616.0,4.968,414.0,414.0,8.856,778.0,15165.0
2014-01-01,41.512,6904.0,154665.0,1.128,151.0,151.0,10.488,1744.0,39075.0
2014-02-01,401.708,21421.0,386799.0,3.116,425.0,425.0,42.292,2255.0,40722.0
2014-03-01,570.565,19273.0,335034.0,2.128,291.0,291.0,27.435,927.0,16110.0
2014-04-01,783.82,24972.0,453096.0,0.753,105.0,105.0,2.18,69.0,1260.0
2014-05-01,256.739,6294.0,88676.0,1.365,186.0,186.0,0.261,6.0,90.0
2014-06-01,0.0,0.0,0.0,1.917,262.0,262.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,0.829,111.0,111.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,0.969,134.0,134.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,917.0,1.99,274.0,274.0,0.0,0.0,0.0
2014-10-01,42.834,3380.0,62209.0,1.154,157.0,157.0,1.166,92.0,1693.0
2014-11-01,127.275,6006.0,42259.0,1.244,169.0,169.0,4.725,223.0,1569.0
2014-12-01,10.667,9407.0,259560.0,1.407,192.0,192.0,0.333,294.0,8114.0
2015-01-01,0.0,1485.0,57589.0,0.152,105.0,105.0,0.0,14.0,561.0
2015-02-01,68.463,13221.0,325066.0,0.157,117.0,117.0,3.537,683.0,16795.0
2015-03-01,0.0,4837.0,134470.0,0.318,233.0,233.0,0.0,741.0,20606.0
2015-04-01,0.936,4969.0,43939.0,0.24,175.0,175.0,0.064,341.0,3018.0
2015-05-01,18.342,10828.0,291473.0,0.521,384.0,384.0,1.658,979.0,26355.0
2015-06-01,317.451,20588.0,504420.0,0.313,227.0,227.0,4.549,295.0,7229.0
2015-07-01,3.0,13587.0,414197.0,0.236,175.0,175.0,0.0,0.0,0.0
2015-08-01,0.0,3507.0,97923.0,0.213,157.0,157.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,2821.0,0.222,163.0,163.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,0.274,204.0,204.0,0.0,0.0,0.0
2015-11-01,0.0,6715.0,231889.0,0.101,76.0,76.0,0.0,1803.0,62281.0
2015-12-01,0.0,14415.0,433048.0,0.253,186.0,186.0,0.0,453.0,13614.0
2016-01-01,405.934,18687.0,316477.0,1.555,191.0,280.0,23.066,1062.0,17983.0
2016-02-01,501.233,28305.0,451514.0,1.684,207.0,303.0,8.767,495.0,7897.0
2016-03-01,662.584,27382.0,423521.0,1.784,220.0,326.0,22.416,926.0,14328.0
2016-04-01,72.544,4788.0,56140.0,2.806,345.0,507.0,7.456,492.0,5770.0
2016-05-01,0.0,0.0,0.0,4.15,511.0,751.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,1.787,220.0,326.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,1.507,185.0,274.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,2.239,276.0,408.0,0.0,0.0,0.0
2016-09-01,0.0,46.0,26243.0,1.924,237.0,350.0,0.0,0.0,0.0
2016-10-01,0.0,14878.0,401737.0,1.427,176.0,256.0,0.0,1291.0,34869.0
2016-11-01,254.737,23814.0,378371.0,1.668,205.0,303.0,17.263,1614.0,25642.0
2016-12-01,178.381,22344.0,397866.0,2.469,304.0,449.0,12.619,1581.0,28146.0
2017-01-01,216.803,20263.0,366142.0,10.0,925.0,1363.0,25.197,2355.0,42553.0
2017-02-01,674.765,26304.0,380205.0,12.0,457.0,670.0,58.235,2270.0,32813.0
2017-03-01,300.799,17053.0,235676.0,11.0,642.0,944.0,9.201,522.0,7209.0
2017-04-01,25.023,4330.0,51198.0,1.0,87.0,134.0,0.977,169.0,2000.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
2017-09-01,0.0,226.0,1792.0,0.0,6.0,6.0,0.0,0.0,0.0
2017-10-01,0.0,8773.0,207130.0,0.0,301.0,449.0,0.0,0.0,0.0
2017-11-01,196.0,24699.0,432572.0,2.0,231.0,344.0,0.0,0.0,0.0
2017-12-01,380.359,25273.0,372512.0,4.0,243.0,355.0,9.641,641.0,9442.0
2018-01-01,630.383,31658.0,434091.0,5.0,254.0,373.0,18.617,935.0,12820.0
2018-02-01,524.337,26210.0,387415.0,8.0,399.0,583.0,0.663,33.0,490.0
2018-03-01,685.0,30957.0,435127.0,8.0,347.0,513.0,0.0,0.0,0.0
2018-04-01,192.485,18290.0,367430.0,6.0,613.0,903.0,16.515,1569.0,31525.0
2018-05-01,94.0,10606.0,145096.0,2.0,208.0,309.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,0.0,0.0,14952.0,0.0,6.0,6.0,0.0,0.0,43033.0
2018-10-01,0.0,7420.0,232862.0,0.0,382.0,559.0,0.0,127.0,3976.0
2018-11-01,52.401,23883.0,443317.0,1.0,428.0,629.0,0.599,273.0,5069.0
2018-12-01,132.49,16173.0,452837.0,2.0,307.0,449.0,6.51,795.0,22249.0
2019-01-01,37.451,14977.0,448126.0,1.0,353.0,518.0,2.549,1019.0,30502.0
2019-02-01,0.0,8998.0,363286.0,0.0,393.0,583.0,0.0,347.0,14013.0
2019-03-01,330.209,5735.0,270172.0,20.0,347.0,513.0,1.791,31.0,1465.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,0.0,17.0,23.0,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0
2019-10-01,57.0,4482.0,156079.0,3.0,226.0,332.0,0.0,0.0,0.0
2019-11-01,244.0,7610.0,310674.0,11.0,341.0,507.0,0.0,0.0,0.0
2020-01-01,888.463,17974.0,511462.0,15.0,312.0,460.0,0.537,11.0,309.0
2020-02-01,574.06,13670.0,364399.0,20.0,480.0,711.0,3.94,94.0,2501.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.0,5372.0,139860.0,0.0,364.0,536.0,0.0,12.0,305.0
2020-11-01,34.0,18396.0,357987.0,36.0,283.0,414.0,0.0,0.0,0.0
2020-12-01,52.489,19787.0,402241.0,1.0,549.0,810.0,1.511,570.0,11582.0
2021-01-01,285.97,21129.0,474446.0,4.0,289.0,431.0,0.03,2.0,49.0
2021-02-01,83.836,12432.0,322966.0,7.0,1024.0,1509.0,0.164,24.0,632.0
2021-03-01,0.0,0.0,679.0,0.0,17.0,29.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,0.0,12.0,17.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,2.0,29.0,47.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,1.0,46.0,64.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,0.0,3699.0,109991.0,0.0,682.0,1008.0,0.0,997.0,29630.0
2021-11-01,0.0,9163.0,169638.0,0.0,289.0,425.0,0.0,49.0,913.0
2021-12-01,33.55,9541.0,205576.0,1.0,295.0,437.0,0.45,128.0,2760.0
2022-01-01,6.97,9794.0,230447.0,0.0,197.0,291.0,0.03,42.0,1000.0
2022-02-01,0.0,7630.0,152719.0,0.0,116.0,175.0,0.0,4.0,72.0
2022-03-01,282.959,17399.0,416507.0,1.0,81.0,117.0,0.041,3.0,60.0
2022-04-01,142.883,7627.0,174412.0,2.0,98.0,763.0,0.117,6.0,143.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,35.0,52.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,4.0,64.0,99.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0
2022-11-01,0.0,6182.0,124481.0,0.0,422.0,623.0,0.0,0.0,0.0
2022-12-01,12.807,12665.0,345555.0,0.0,451.0,670.0,0.193,191.0,5214.0
2023-01-01,35.331,14198.0,420028.0,1.0,463.0,682.0,5.669,2278.0,67396.0
2023-02-01,31.16,6438.0,152474.0,2.0,382.0,559.0,1.84,380.0,9006.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,0.0,12.0,23.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,1.0,12.0,17.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,1715.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.0,12368.0,291102.0,0.0,1336.0,1969.0,0.0,20.0,462.0
2024-01-01,0.0,9030.0,231826.0,0.0,914.0,1346.0,0.0,1622.0,41648.0
2024-02-01,0.0,3706.0,116221.0,0.0,966.0,1421.0,0.0,1071.0,33577.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
