measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2021-02-01,13.649,102.0,102.0,,,,101.62,0.0,0.0,1594.028,20321.0,20321.0,,,,481.953,4262.0,4262.0
2021-03-01,5.757,45.0,45.0,,,,108.341,0.0,0.0,1204.509,15355.0,15355.0,,,,766.716,6781.0,6781.0
2021-04-01,2.863,23.0,23.0,,,,104.421,0.0,0.0,1775.975,22640.0,22640.0,,,,1050.707,9292.0,9292.0
2021-05-01,5.294,40.0,40.0,,,,106.826,0.0,0.0,1844.459,23513.0,23513.0,,,,1102.536,9751.0,9751.0
2021-06-01,8.954,68.0,68.0,,,,103.845,0.0,0.0,2025.629,25823.0,25823.0,,,,931.623,8239.0,8239.0
2021-07-01,6.703,51.0,51.0,,,,111.375,0.0,0.0,2405.719,30668.0,30668.0,,,,967.067,8553.0,8553.0
2021-08-01,4.693,34.0,34.0,,,,107.015,0.0,0.0,2478.546,31596.0,31596.0,,,,883.808,7816.0,7816.0
2021-09-01,4.318,34.0,34.0,,,,95.31,0.0,0.0,2198.248,28023.0,28023.0,,,,867.85,7675.0,7675.0
2021-10-01,6.293,45.0,45.0,,,,100.621,0.0,0.0,2044.327,26061.0,26061.0,,,,718.79,6357.0,6357.0
2021-11-01,3.841,28.0,28.0,,,,98.593,0.0,0.0,1640.32,20910.0,20910.0,,,,679.144,6006.0,6006.0
2021-12-01,2.422,17.0,17.0,,,,108.321,0.0,0.0,2216.0,28249.0,28249.0,,,,466.626,4127.0,4127.0
2022-01-01,12.525,91.0,91.0,,,,-13.201,0.0,0.0,1534.901,19524.0,19524.0,,,,579.372,1977.0,1977.0
2022-02-01,7.002,51.0,51.0,,,,-12.73,0.0,0.0,1427.228,18154.0,18154.0,,,,649.032,2214.0,2214.0
2022-03-01,8.062,62.0,62.0,,,,-13.262,0.0,0.0,1159.498,14748.0,14748.0,,,,798.998,2726.0,2726.0
2022-04-01,3.739,28.0,28.0,,,,-13.018,0.0,0.0,993.609,12638.0,12638.0,,,,1004.96,3429.0,3429.0
2022-05-01,6.554,51.0,51.0,,,,-12.329,0.0,0.0,1551.679,19736.0,19736.0,,,,1064.87,3633.0,3633.0
2022-06-01,11.391,85.0,85.0,,,,-11.933,0.0,0.0,1941.008,24689.0,24689.0,,,,1086.655,3708.0,3708.0
2022-07-01,5.603,40.0,40.0,,,,-13.708,0.0,0.0,2170.395,27606.0,27606.0,,,,960.804,3278.0,3278.0
2022-08-01,5.027,40.0,40.0,,,,-12.546,0.0,0.0,2198.676,27966.0,27966.0,,,,816.038,2784.0,2784.0
2022-09-01,3.04,23.0,23.0,,,,-11.004,0.0,0.0,1811.359,23039.0,23039.0,,,,801.884,2736.0,2736.0
2022-10-01,2.932,23.0,23.0,,,,-10.887,0.0,0.0,1632.122,20759.0,20759.0,,,,739.783,2524.0,2524.0
2022-11-01,7.58,57.0,57.0,,,,-11.709,0.0,0.0,1260.456,16032.0,16032.0,,,,492.152,1679.0,1679.0
2022-12-01,34.545,261.0,261.0,,,,-11.673,0.0,0.0,1133.069,14412.0,14412.0,,,,405.452,1383.0,1383.0
2023-01-01,5.538,40.0,40.0,,,,-17.0,0.0,0.0,1609.987,20732.0,20732.0,,,,732.0,2498.0,2498.0
2023-02-01,3.979,28.0,28.0,,,,-18.0,0.0,0.0,1567.658,20188.0,20188.0,,,,718.0,2450.0,2450.0
2023-03-01,10.37,79.0,79.0,,,,-18.0,0.0,0.0,1711.735,22042.0,22042.0,,,,882.0,3009.0,3009.0
2023-04-01,4.854,40.0,40.0,,,,-13.0,0.0,0.0,1806.186,23259.0,23259.0,,,,888.0,3030.0,3030.0
2023-05-01,6.132,45.0,45.0,,,,-14.0,0.0,0.0,1947.621,25080.0,25080.0,,,,892.0,3044.0,3044.0
2023-06-01,4.863,40.0,40.0,,,,-11.0,0.0,0.0,1824.462,23494.0,23494.0,,,,894.0,3050.0,3050.0
2023-07-01,6.154,45.0,45.0,,,,-15.0,0.0,0.0,2175.484,28015.0,28015.0,,,,953.0,3252.0,3252.0
2023-08-01,4.293,34.0,34.0,,,,-22.0,0.0,0.0,2113.261,27213.0,27213.0,,,,953.0,3252.0,3252.0
2023-09-01,6.898,51.0,51.0,,,,-17.0,0.0,0.0,1727.309,22243.0,22243.0,,,,892.0,3044.0,3044.0
2023-10-01,2.935,23.0,23.0,,,,-18.0,0.0,0.0,1613.51,20778.0,20778.0,,,,891.0,3040.0,3040.0
2023-11-01,7.354,57.0,57.0,,,,-13.0,0.0,0.0,1549.289,19951.0,19951.0,,,,815.0,2781.0,2781.0
2023-12-01,5.63,45.0,45.0,,,,-19.0,0.0,0.0,1686.498,21718.0,21718.0,,,,819.0,2794.0,2794.0
2024-01-01,3.719,28.0,28.0,,,,-24.0,0.0,0.0,1763.921,22466.0,22466.0,,,,873.0,2979.0,2979.0
2024-02-01,2.255,17.0,17.0,,,,-19.0,0.0,0.0,1798.886,22912.0,22912.0,,,,761.0,2597.0,2597.0
2024-03-01,1.261,11.0,11.0,,,,-17.0,0.0,0.0,1460.899,18607.0,18607.0,,,,816.0,2784.0,2784.0
2024-04-01,1.55,11.0,11.0,,,,-19.0,0.0,0.0,1200.577,15291.0,15291.0,,,,956.0,3262.0,3262.0
2024-05-01,2.607,17.0,17.0,,,,-19.0,0.0,0.0,1928.822,24567.0,24567.0,,,,937.0,3197.0,3197.0
2024-06-01,2.273,17.0,17.0,,,,-19.0,0.0,0.0,1896.514,24156.0,24156.0,,,,1004.0,3426.0,3426.0
2024-07-01,1.239,11.0,11.0,,,,-19.0,0.0,0.0,2182.287,27795.0,27795.0,,,,855.0,2917.0,2917.0
2024-08-01,2.64,17.0,17.0,,,,-20.0,0.0,0.0,2514.416,32025.0,32025.0,,,,777.0,2651.0,2651.0
2024-09-01,1.54,11.0,11.0,,,,-14.0,0.0,0.0,2077.365,26459.0,26459.0,,,,816.0,2784.0,2784.0
2024-10-01,2.151,17.0,17.0,,,,-21.0,0.0,0.0,2255.287,28725.0,28725.0,,,,907.0,3095.0,3095.0
2024-11-01,3.041,23.0,23.0,,,,-26.0,0.0,0.0,1559.749,19866.0,19866.0,,,,664.0,2266.0,2266.0
2024-12-01,5.724,40.0,40.0,,,,-12.0,0.0,0.0,1754.277,22344.0,22344.0,,,,651.0,2221.0,2221.0
