measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-12-01,2578.72851,14662.62,174232.35,13792.38158,78423.31,931885.25,122.52707,696.69,8278.57,0.0,0.0,0.0,1248.93651,7101.44,84384.67,3116.08933,17718.05,210539.25
2006-01-01,2295.51411,13052.26,170019.0,14330.37861,81482.35,1061390.4,8.629900000000001,49.07,639.18,,,,1969.51463,11198.64,145873.6,3530.98376,20077.13,261525.0
2006-02-01,2212.13405,12578.17,169020.0,13614.13936,77409.82,1040200.0,101.39982,576.56,7747.54,,,,1234.30588,7018.25,94308.2,2939.5979,16714.52,224602.5
2006-03-01,1883.31334,10708.5,142641.0,14079.22649,80054.3,1066352.0,52.00676,295.71,3938.96,,,,901.92965,5128.36,68311.6,3764.48776,21404.83,285120.0
2006-04-01,1493.64042,8492.82,118989.0,12591.32262,71594.1,1003072.0,91.57137999999999,520.67,7294.92,,,,1956.88499,11126.82,155892.8,3141.92458,17864.94,250297.5
2006-05-01,1657.31343,9423.46,135486.0,12591.61881,71595.78,1029369.6,150.65545,856.62,12316.14,,,,1845.50583,10493.52,150870.8,2684.66648,15264.98,219472.5
2006-06-01,1273.90151,7243.39,118152.0,10858.23998,61739.82,1007081.6,175.91208999999998,1000.23,16315.52,,,,1765.84882,10040.59,163779.2,2088.3976000000002,11874.6,193695.0
2006-07-01,1351.33987,7683.7,106596.0,13473.21701,76608.55,1062790.4,101.06601,574.66,7972.26,,,,1504.85074,8556.56,118705.2,3368.36637,19152.49,265702.5
2006-08-01,1445.07806,8216.7,107298.0,13150.5686,74773.96,976438.4,123.81546,704.01,9193.38,,,,1591.27743,9047.98,118153.4,3670.67444,20871.41,272550.0
2006-09-01,1182.57009,6724.08,89829.0,12444.01438,70756.51,945257.6,121.18141,689.04,9205.04,,,,1602.87358,9113.92,121755.6,3504.60253,19927.13,266212.5
2006-10-01,1726.19589,9815.13,126495.0,13103.97407,74509.03,960254.4,106.15965,603.62,7779.34,,,,1676.49586,9532.53,122853.0,3983.37152,22649.4,291900.0
2006-11-01,1395.4705000000001,7934.63,102033.0,11677.41555,66397.63,853820.8,116.29700000000001,661.26,8503.32,,,,1922.30907,10930.22,140554.0,3448.46688,19607.94,252142.5
2006-12-01,867.5702699999999,4932.99,90315.0,6774.90781,38522.04,705275.2,205.27741,1167.2,21369.6,,,,986.33177,5608.27,102678.2,2348.46273,13353.33,244477.5
2007-01-01,1888.7320000000002,10746.0,151524.0,11972.272,68074.0,960478.0,103.549,588.0,8307.0,,,,1910.421,10862.0,153264.0,3496.3120000000004,19883.0,280493.0
2007-02-01,1923.5420000000001,10935.0,141129.0,11920.163,67782.0,874574.0,116.37400000000001,661.0,8538.0,,,,1905.142,10831.0,139779.0,3652.309,20768.0,267968.0
2007-03-01,1936.662,11016.0,136809.0,13549.241,77045.0,957141.0,127.665,726.0,9018.0,,,,1722.4260000000002,9796.0,121675.0,4434.813,25215.0,313283.0
2007-04-01,2694.659,15309.0,197235.0,12863.474,73136.0,941539.0,93.452,531.0,6840.0,,,,1632.19,9281.0,119468.0,3939.317,22403.0,288338.0
2007-05-01,1919.307,10908.0,150228.0,12286.199,69854.0,961666.0,108.042,615.0,8457.0,,,,1471.185,8364.0,115153.0,3878.11,22050.0,303548.0
2007-06-01,1261.537,7182.0,92880.0,11702.85,66539.0,861616.0,153.851,875.0,11327.0,,,,1360.768,7738.0,100186.0,3815.478,21698.0,280913.0
2007-07-01,1318.103,7506.0,96066.0,12990.14,73864.0,946747.0,182.68800000000002,1039.0,13315.0,,,,1350.981,7682.0,98462.0,4265.251,24255.0,310860.0
2007-08-01,1468.1970000000001,8343.0,107649.0,13004.553,73942.0,953501.0,147.43300000000002,838.0,10810.0,,,,1513.29,8606.0,110955.0,4314.617,24533.0,316350.0
2007-09-01,1775.876,10098.0,135054.0,12543.24,71322.0,953904.0,152.276,866.0,11581.0,,,,1486.384,8451.0,113038.0,3951.913,22470.0,300540.0
2007-10-01,1663.78,9450.0,122094.0,12998.061,73909.0,953843.0,154.471,879.0,11336.0,,,,1701.582,9678.0,124868.0,4314.901,24533.0,316643.0
2007-11-01,1719.915,9774.0,139320.0,11645.628,66214.0,943342.0,127.96600000000001,727.0,10366.0,,,,1870.241,10633.0,151497.0,3799.813,21608.0,307800.0
2007-12-01,1964.663,11178.0,138402.0,14152.455,80472.0,996979.0,112.86800000000001,641.0,7951.0,,,,2226.0640000000003,12660.0,156817.0,4539.669,25815.0,319800.0
2008-01-01,1668.344,9486.0,113319.0,9538.701000000001,54237.0,647898.0,173.446,986.0,11781.0,,,,1302.928,7408.0,88499.0,3422.992,19463.0,232500.0
2008-02-01,1741.996,9905.0,116910.0,12883.747,73257.0,864662.0,224.794,1278.0,15087.0,,,,1472.199,8371.0,98803.0,4383.376,24924.0,294180.0
2008-03-01,1947.949,11076.0,135918.0,14089.621,80113.0,983102.0,164.728,937.0,11494.0,,,,710.59,4040.0,49581.0,4584.06,26065.0,319853.0
2008-04-01,1282.39,7292.0,90423.0,13660.373,77673.0,963211.0,30.109,171.0,2123.0,,,,546.392,3107.0,38527.0,4216.237,23973.0,297293.0
2008-05-01,1321.386,7513.0,107460.0,12106.246,68836.0,984525.0,118.138,672.0,9607.0,,,,1743.9560000000001,9916.0,141825.0,3059.717,17398.0,248828.0
2008-06-01,1406.0430000000001,7995.0,103734.0,12978.092,73793.0,957488.0,173.907,989.0,12830.0,,,,320.93600000000004,1825.0,23678.0,3939.934,22402.0,290678.0
2008-07-01,1211.385,6888.0,86022.0,13913.871,79114.0,988042.0,147.33,838.0,10462.0,,,,165.715,942.0,11768.0,4697.74,26711.0,333593.0
2008-08-01,1822.7240000000002,10364.0,132192.0,13802.712,78482.0,1001034.0,180.612,1027.0,13099.0,,,,528.404,3004.0,38322.0,4044.7070000000003,22998.0,293340.0
2008-09-01,1617.833,9199.0,116586.0,13216.245,75147.0,952403.0,141.97400000000002,807.0,10231.0,,,,263.786,1500.0,19009.0,4143.558,23560.0,298598.0
2008-10-01,2169.675,12337.0,154926.0,13575.648000000001,77191.0,969371.0,168.67000000000002,959.0,12044.0,,,,554.7470000000001,3154.0,39612.0,4426.466,25169.0,316073.0
2008-11-01,1402.2430000000002,7973.0,101898.0,9102.216,51755.0,661438.0,130.121,740.0,9456.0,,,,726.071,4128.0,52762.0,3090.5,17573.0,224580.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,1577.978,8972.0,110349.0,9164.761,52111.0,640898.0,211.976,1205.0,14824.0,,,,1919.4730000000002,10914.0,134230.0,3106.471,17663.0,217238.0
2009-02-01,2038.094,11589.0,136377.0,13141.429,74722.0,879346.0,130.312,741.0,8720.0,,,,1175.067,6681.0,78628.0,4196.992,23864.0,280838.0
2009-03-01,1602.931,9114.0,124146.0,12220.458,69485.0,946467.0,148.71800000000002,846.0,11518.0,,,,701.0980000000001,3986.0,54300.0,5216.923000000001,29663.0,404048.0
2009-04-01,1706.797,9705.0,130680.0,11948.895,67941.0,914861.0,173.82600000000002,988.0,13309.0,,,,952.134,5414.0,72900.0,4465.747,25392.0,341918.0
2009-05-01,1670.5980000000002,9499.0,117477.0,14165.415,80544.0,996117.0,174.4,992.0,12264.0,,,,388.29200000000003,2208.0,27305.0,4319.518,24561.0,303750.0
2009-06-01,1879.4630000000002,10687.0,130599.0,13629.086,77495.0,947050.0,167.65800000000002,953.0,11650.0,,,,300.688,1710.0,20894.0,3905.7810000000004,22208.0,271403.0
2009-07-01,1727.2710000000002,9821.0,121446.0,14399.087,81873.0,1012413.0,155.369,883.0,10924.0,,,,223.18300000000002,1269.0,15692.0,4247.777,24153.0,298665.0
2009-08-01,2922.1870000000004,16616.0,138591.0,11328.192,64412.0,537264.0,232.538,1322.0,11029.0,,,,578.0740000000001,3287.0,27416.0,6296.235000000001,35800.0,298613.0
2009-09-01,2014.558,11455.0,141102.0,13642.699,77572.0,955550.0,145.523,827.0,10193.0,,,,364.965,2075.0,25563.0,3972.0220000000004,22585.0,278205.0
2009-10-01,1787.431,10163.0,131328.0,13449.352,76473.0,988165.0,181.90300000000002,1034.0,13365.0,,,,502.68,2858.0,36933.0,4068.431,23133.0,298920.0
2009-11-01,3136.509,17834.0,143046.0,11287.484,64180.0,514786.0,245.751,1397.0,11208.0,,,,1455.425,8276.0,66377.0,4559.521000000001,25925.0,207945.0
2009-12-01,2226.72,12661.0,156168.0,13553.486,77065.0,950555.0,90.38900000000001,514.0,6339.0,,,,1988.1760000000002,11305.0,139438.0,3889.681,22117.0,272798.0
2010-01-01,1213.8870000000002,6902.0,124443.0,14661.286,83364.0,1503018.0,197.263,1122.0,20223.0,,,,1184.044,6732.0,121384.0,2201.435,12517.0,225683.0
2010-02-01,1021.364,5807.0,112725.0,13240.433,75285.0,1461309.0,173.89600000000002,989.0,19192.0,,,,1319.8020000000001,7504.0,145663.0,2156.145,12260.0,237968.0
2010-03-01,1074.97,6112.0,127710.0,16633.895,94580.0,1976162.0,97.307,553.0,11560.0,,,,480.956,2735.0,57139.0,2364.9590000000003,13447.0,280965.0
2010-04-01,902.9730000000001,5134.0,105273.0,15217.064,86524.0,1774080.0,163.812,931.0,19098.0,,,,330.089,1877.0,38483.0,2621.351,14905.0,305610.0
2010-05-01,742.094,4220.0,84510.0,15575.385,88561.0,1773733.0,165.72,942.0,18872.0,,,,245.919,1398.0,28005.0,2766.0570000000002,15728.0,315000.0
2010-06-01,1050.653,5974.0,115965.0,15835.877,90043.0,1747872.0,146.13,831.0,16129.0,,,,227.49900000000002,1294.0,25110.0,2643.009,15028.0,291720.0
2010-07-01,941.152,5351.0,102924.0,16583.146,94292.0,1813526.0,0.0,0.0,0.0,,,,246.27700000000002,1400.0,26933.0,2919.702,16601.0,319298.0
2010-08-01,786.719,4473.0,90180.0,15754.528,89580.0,1805910.0,42.935,244.0,4922.0,,,,516.216,2935.0,59173.0,2665.84,15158.0,305580.0
2010-09-01,898.6120000000001,5109.0,102600.0,15620.11,88816.0,1783443.0,143.241,814.0,16355.0,,,,360.72900000000004,2051.0,41187.0,2674.618,15208.0,305378.0
2010-10-01,1033.5330000000001,5877.0,116505.0,16027.846000000001,91134.0,1806739.0,113.396,645.0,12783.0,,,,454.089,2582.0,51187.0,2903.992,16512.0,327353.0
2010-11-01,869.1260000000001,4942.0,97443.0,15881.248,90301.0,1780542.0,89.92200000000001,511.0,10082.0,,,,536.851,3053.0,60190.0,2798.0170000000003,15909.0,313703.0
2010-12-01,957.214,5443.0,115020.0,15537.238000000001,88345.0,1866973.0,73.88,420.0,8878.0,,,,925.605,5263.0,111222.0,2745.5,15611.0,329903.0
2011-01-01,1868.293,10623.0,133029.0,13026.285,74067.0,927517.0,171.095,973.0,12183.0,,,,1165.839,6629.0,83012.0,4694.433,26692.0,334260.0
2011-02-01,1153.737,6560.0,82215.0,8174.486,46480.0,582512.0,123.018,699.0,8766.0,,,,776.612,4416.0,55341.0,3139.043,17849.0,223688.0
2011-03-01,785.695,4467.0,86751.0,7793.224,44312.0,860474.0,137.352,781.0,15165.0,,,,471.346,2680.0,52043.0,2371.255,13483.0,261818.0
2011-04-01,1155.599,6571.0,86103.0,12040.207,68460.0,897109.0,184.929,1052.0,13779.0,,,,397.416,2260.0,29611.0,4131.626,23492.0,307845.0
2011-05-01,1589.064,9035.0,110187.0,13251.668,75349.0,918882.0,190.657,1084.0,13220.0,,,,429.095,2440.0,29754.0,4458.52,25351.0,309158.0
2011-06-01,717.888,4082.0,53244.0,11999.517,68229.0,889974.0,225.099,1280.0,16695.0,,,,584.493,3323.0,43350.0,4081.908,23210.0,302745.0
2011-07-01,1666.248,9474.0,109107.0,14350.843,81599.0,939702.0,232.524,1322.0,15226.0,,,,304.884,1734.0,19964.0,4736.591,26932.0,310155.0
2011-08-01,1166.714,6634.0,78435.0,14526.271,82596.0,976562.0,232.112,1320.0,15604.0,,,,249.652,1420.0,16783.0,4828.509,27455.0,324608.0
2011-09-01,1186.929,6749.0,80892.0,13429.345,76359.0,915242.0,253.302,1440.0,17263.0,,,,488.159,2776.0,33269.0,4211.959,23949.0,287055.0
2011-10-01,1440.185,8189.0,95688.0,14829.392,84320.0,985286.0,267.228,1519.0,17755.0,,,,375.594,2136.0,24955.0,4632.988,26343.0,307823.0
2011-11-01,1296.628,7373.0,85347.0,13973.481,79453.0,919766.0,237.695,1352.0,15646.0,,,,505.346,2873.0,33263.0,4725.566,26870.0,311048.0
2011-12-01,2023.373,11505.0,136782.0,14565.258,82818.0,984626.0,956.354,5438.0,64650.0,,,,219.015,1245.0,14806.0,4425.047,25161.0,299138.0
2012-01-01,2250.737,12798.0,150984.0,14759.743,83924.0,990114.0,601.897,3422.0,40376.0,,,,240.303,1366.0,16120.0,4154.727,23624.0,278708.0
2012-02-01,540.637,3074.0,36531.0,8686.64,49392.0,586958.0,658.572,3745.0,44500.0,,,,390.515,2220.0,26387.0,2941.494,16725.0,198758.0
2012-03-01,294.973,1677.0,20331.0,10765.81,61214.0,742034.0,1423.206,8092.0,98095.0,,,,292.886,1665.0,20187.0,4247.986,24154.0,292793.0
2012-04-01,549.214,3123.0,36612.0,13532.069,76943.0,902082.0,1704.936,9694.0,113655.0,,,,337.146,1917.0,22475.0,4329.383,24617.0,288608.0
2012-05-01,198.371,1128.0,14310.0,13063.186,74277.0,942346.0,913.653,5195.0,65909.0,,,,356.078,2025.0,25687.0,4489.759,25529.0,323880.0
2012-06-01,322.222,1832.0,22599.0,13215.167,75141.0,926845.0,1396.085,7938.0,97914.0,,,,183.432,1043.0,12865.0,4280.463,24339.0,300210.0
2012-07-01,382.204,2173.0,25353.0,14702.868,83600.0,975296.0,1553.988,8836.0,103082.0,,,,268.53,1527.0,17813.0,4512.976,25661.0,299363.0
2012-08-01,708.04,4026.0,48303.0,13527.522,76917.0,922858.0,2129.129,12106.0,145251.0,,,,438.412,2493.0,29909.0,3788.437,21541.0,258450.0
2012-09-01,842.915,4793.0,58374.0,13784.151,78377.0,954587.0,1750.75,9955.0,121244.0,,,,161.776,920.0,11203.0,3578.751,20349.0,247838.0
2012-10-01,958.542,5450.0,64800.0,14215.978,80832.0,961038.0,1767.637,10051.0,119497.0,,,,265.049,1507.0,17918.0,4100.651,23316.0,277215.0
2012-11-01,855.586,4865.0,56214.0,13480.099,76648.0,885674.0,1936.053,11008.0,127203.0,,,,371.421,2112.0,24403.0,4500.755,25591.0,295710.0
2012-12-01,1452.827,8261.0,102789.0,13073.174,74334.0,924941.0,1661.936,9450.0,117584.0,,,,264.12,1502.0,18687.0,4059.375,23082.0,287205.0
2013-01-01,767.037,4361.0,70146.0,10436.807,59344.0,954453.0,1215.114,6909.0,111123.0,,,,207.185,1178.0,18947.0,3177.534,18067.0,290588.0
2013-02-01,297.941,1694.0,24111.0,5145.81,29259.0,416427.0,1170.414,6655.0,94716.0,,,,363.762,2068.0,29438.0,1948.552,11079.0,157688.0
2013-03-01,1135.297,6455.0,81405.0,12812.956,72854.0,918736.0,2222.737,12638.0,159378.0,,,,363.594,2067.0,26071.0,3499.925,19901.0,250958.0
2013-04-01,522.81,2973.0,35856.0,13247.329,75324.0,908544.0,2132.467,12125.0,146251.0,,,,247.247,1406.0,16957.0,4147.336,23582.0,284438.0
2013-05-01,1181.772,6720.0,84672.0,12117.222,68898.0,868179.0,1650.235,9383.0,118237.0,,,,234.42,1333.0,16796.0,3966.874,22556.0,284220.0
2013-06-01,1251.687,7117.0,82620.0,14124.094,80309.0,932288.0,997.934,5674.0,65871.0,,,,113.091,643.0,7465.0,4126.158,23461.0,272355.0
2013-07-01,1801.895,10246.0,124794.0,13563.468,77122.0,939366.0,2299.345,13074.0,159246.0,,,,401.862,2285.0,27832.0,2934.826,16687.0,203258.0
2013-08-01,1817.402,10334.0,122148.0,14263.498,81102.0,958653.0,1895.85,10780.0,127420.0,,,,237.169,1349.0,15940.0,3474.918,19758.0,233550.0
2013-09-01,1647.187,9366.0,109026.0,13576.035,77193.0,898587.0,1787.208,10162.0,118294.0,,,,162.051,921.0,10726.0,3664.041,20834.0,242520.0
2013-10-01,1520.336,8645.0,102384.0,14332.669,81495.0,965205.0,1657.377,9424.0,111613.0,,,,112.505,640.0,7576.0,4133.949,23506.0,278393.0
2013-11-01,1202.726,6839.0,82269.0,13043.179,74163.0,892181.0,1909.801,10859.0,130634.0,,,,228.777,1301.0,15649.0,4316.973,24546.0,295290.0
2013-12-01,1994.568,11341.0,135459.0,14004.213,79628.0,951082.0,2454.106,13954.0,166668.0,,,,144.606,822.0,9821.0,3580.376,20358.0,243158.0
2014-01-01,1340.468,7622.0,94716.0,12841.681,73018.0,907379.0,3064.791,17426.0,216555.0,,,,718.284,4084.0,50753.0,3349.153,19043.0,236648.0
2014-02-01,878.145,4993.0,64125.0,6084.421,34596.0,444304.0,1546.222,8792.0,112910.0,,,,477.163,2713.0,34844.0,1847.289,10504.0,134895.0
2014-03-01,1769.659,10062.0,120420.0,13486.516,76684.0,917717.0,1628.687,9261.0,110827.0,,,,284.365,1617.0,19350.0,3832.168,21790.0,260768.0
2014-04-01,1162.944,6612.0,85914.0,11931.147,67840.0,881429.0,1592.232,9053.0,117628.0,,,,195.124,1109.0,14415.0,3253.75,18501.0,240375.0
2014-05-01,1549.042,8808.0,111213.0,12756.459,72533.0,915846.0,1298.684,7384.0,93239.0,,,,106.306,604.0,7632.0,3564.852,20270.0,255938.0
2014-06-01,1443.369,8207.0,100629.0,13246.778,75321.0,923541.0,1089.281,6194.0,75943.0,,,,121.3,690.0,8457.0,3725.788,21185.0,259755.0
2014-07-01,1806.592,10272.0,122364.0,13863.588,78828.0,939008.0,1292.449,7349.0,87540.0,,,,204.494,1163.0,13851.0,3739.261,21261.0,253268.0
2014-08-01,1328.343,7553.0,90423.0,14046.885,79870.0,956200.0,897.477,5103.0,61093.0,,,,108.385,616.0,7378.0,4244.915,24137.0,288960.0
2014-09-01,1787.141,10162.0,118800.0,14155.576,80488.0,940990.0,1169.709,6651.0,77756.0,,,,116.306,661.0,7731.0,3724.226,21176.0,247568.0
2014-10-01,1795.977,10212.0,117234.0,14256.366,81062.0,930597.0,1808.755,10285.0,118068.0,,,,355.136,2019.0,23182.0,3753.913,21345.0,245040.0
2014-11-01,1190.641,6770.0,82269.0,12599.116,71638.0,870554.0,2661.674,15134.0,183912.0,,,,861.226,4897.0,59508.0,3109.351,17680.0,214845.0
2014-12-01,1320.285,7507.0,88992.0,13545.949,77022.0,913046.0,2555.94,14533.0,172280.0,,,,514.646,2926.0,34689.0,3606.704,20508.0,243105.0
2015-01-01,1180.113,6250.0,73872.0,14438.046,76470.0,903784.0,2911.481,15421.0,182251.0,,,,376.968,1997.0,23597.0,4163.392,22051.0,260618.0
2015-02-01,714.889,3786.0,51462.0,6412.626,33964.0,461619.0,2483.931,13156.0,178808.0,,,,811.755,4299.0,58435.0,2607.799,13812.0,187725.0
2015-03-01,396.939,2102.0,28161.0,7640.812,40469.0,542080.0,1984.131,10509.0,140765.0,,,,374.384,1983.0,26561.0,2362.734,12514.0,167625.0
2015-04-01,991.376,5251.0,60048.0,14506.85,76835.0,878685.0,2852.867,15110.0,172799.0,,,,434.52,2301.0,26319.0,3904.387,20679.0,236490.0
2015-05-01,579.419,3069.0,37665.0,11520.678,61019.0,748899.0,2030.843,10756.0,132015.0,,,,308.928,1636.0,20082.0,3956.132,20953.0,257168.0
2015-06-01,977.337,5176.0,57915.0,15780.892,83583.0,935144.0,2016.215,10679.0,119477.0,,,,258.22,1368.0,15302.0,4454.336,23592.0,263955.0
2015-07-01,1519.326,8047.0,63801.0,12635.714,66924.0,530611.0,3111.192,16478.0,130648.0,,,,276.389,1464.0,11606.0,6106.379,32342.0,256425.0
2015-08-01,798.275,4228.0,48492.0,15263.621,80843.0,927203.0,2379.497,12603.0,144545.0,,,,284.76,1508.0,17298.0,4365.847,23123.0,265208.0
2015-09-01,1065.397,5643.0,66312.0,14183.907,75124.0,882829.0,2682.938,14210.0,166990.0,,,,301.326,1596.0,18755.0,3635.432,19255.0,226275.0
2015-10-01,898.799,4760.0,54675.0,15830.488,83845.0,962987.0,3394.723,17980.0,206505.0,,,,176.63,936.0,10745.0,3962.36,20986.0,241035.0
2015-11-01,1262.787,6688.0,77760.0,14496.797,76782.0,892685.0,3518.783,18637.0,216680.0,,,,351.895,1864.0,21669.0,3222.738,17069.0,198450.0
2015-12-01,1578.522,8361.0,98442.0,15102.293,79988.0,941830.0,4001.383,21193.0,249540.0,,,,327.282,1733.0,20410.0,2928.52,15511.0,182633.0
2016-01-01,1057.753,5166.0,71820.0,13760.929,67207.0,934349.0,4371.922,21352.0,296848.0,,,,556.367,2717.0,37777.0,2976.752,14538.0,202118.0
2016-02-01,72.968,356.0,4968.0,12821.049,62617.0,872917.0,3165.412,15460.0,215516.0,,,,1354.564,6616.0,92225.0,3010.81,14705.0,204990.0
2016-03-01,300.042,1465.0,20466.0,9567.951,46729.0,652635.0,2765.597,13507.0,188643.0,,,,1348.701,6587.0,91996.0,2463.182,12030.0,168015.0
2016-04-01,666.143,3253.0,41013.0,14640.551,71503.0,901387.0,3590.68,17537.0,221070.0,,,,1063.714,5195.0,65491.0,2650.856,12947.0,163208.0
2016-05-01,952.223,4651.0,83160.0,9668.685,47221.0,844390.0,2363.649,11544.0,206423.0,,,,359.154,1754.0,31366.0,2214.983,10818.0,193440.0
2016-06-01,1156.954,5650.0,77031.0,13162.27,64284.0,876355.0,2569.122,12547.0,171054.0,,,,361.584,1766.0,24075.0,3113.395,15206.0,207293.0
2016-07-01,1512.002,7385.0,89721.0,15933.321,77817.0,945470.0,3040.012,14847.0,180392.0,,,,300.914,1470.0,17856.0,1433.538,7001.0,85065.0
2016-08-01,1621.05,7917.0,103275.0,14981.511,73169.0,954453.0,3014.447,14722.0,192047.0,,,,327.475,1599.0,20863.0,2909.649,14211.0,185370.0
