measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2019-11-01,60.891,286.0,1253.0,7981.109,37459.0,164232.0
2019-12-01,0.932,4.0,19.0,12210.068,57049.0,248850.0
2020-01-01,7.562,35.0,150.0,12930.438,59939.0,256482.0
2020-02-01,0.577,3.0,11.0,13972.423,64352.0,266346.0
2020-03-01,1.504,7.0,30.0,13139.496,60974.0,262134.0
2020-04-01,46.297,217.0,917.0,4744.703,22259.0,93978.0
2020-05-01,0.513,2.0,10.0,15126.487,70541.0,294894.0
2020-06-01,0.253,1.0,5.0,13794.747,64793.0,272934.0
2020-07-01,0.0,0.0,0.0,15496.0,72317.0,292194.0
2020-08-01,0.107,0.0,2.0,16231.893,76083.0,303840.0
2020-09-01,0.0,0.0,0.0,14002.0,65314.0,267696.0
2020-10-01,4.669,22.0,95.0,12297.331,57432.0,250218.0
2020-11-01,154.888,718.0,3309.0,7266.112,33679.0,155232.0
2020-12-01,15.27,71.0,300.0,13735.73,63533.0,269856.0
2021-01-01,211.632,988.0,4584.0,11102.368,51838.0,240480.0
2021-02-01,84.223,390.0,1701.0,12818.777,59430.0,258894.0
2021-03-01,272.688,1268.0,5709.0,14074.312,65433.0,294660.0
2021-04-01,52.433,244.0,1062.0,10270.567,47822.0,208026.0
2021-05-01,6.386,30.0,128.0,14943.614,69814.0,299520.0
2021-06-01,2.037,10.0,43.0,12911.963,60959.0,272610.0
2021-07-01,0.0,0.0,0.0,13889.0,66056.0,284544.0
2021-08-01,27.171,129.0,545.0,14116.829,66883.0,283158.0
2021-09-01,3.884,18.0,77.0,14400.116,68273.0,285462.0
2021-10-01,11.853,56.0,254.0,12463.147,58852.0,267066.0
2021-11-01,0.091,0.0,2.0,5200.909,24515.0,113796.0
2021-12-01,0.0,0.0,0.0,10674.0,50446.0,212418.0
2022-01-01,0.0,0.0,0.0,4872.0,24357.0,120186.0
2022-02-01,0.0,0.0,0.0,5167.0,25134.0,100818.0
2022-03-01,7.447,35.0,145.0,8330.553,39267.0,162198.0
2022-04-01,10.81,51.0,230.0,5536.19,26323.0,117792.0
2022-05-01,15.881,75.0,355.0,5097.119,23993.0,113940.0
2022-06-01,0.409,2.0,8.0,14433.591,68460.0,282438.0
2022-07-01,0.0,0.0,0.0,14234.0,67118.0,276426.0
2022-08-01,0.053,0.0,1.0,14758.947,70014.0,278514.0
2022-09-01,0.0,0.0,0.0,13649.0,64448.0,261684.0
2022-10-01,0.0,0.0,0.0,12611.0,59365.0,259614.0
2022-11-01,0.0,0.0,0.0,7586.0,35314.0,161676.0
2022-12-01,0.0,0.0,0.0,12561.0,58550.0,269820.0
2023-01-01,0.275,1.0,6.0,12131.725,56565.0,264618.0
2023-02-01,1.491,7.0,33.0,10812.509,50312.0,239364.0
2023-03-01,19.927,92.0,415.0,13038.073,60475.0,271530.0
2023-04-01,38.511,179.0,934.0,8174.489,38052.0,198252.0
2023-05-01,67.254,315.0,1378.0,12907.746,60457.0,264474.0
2023-06-01,8.06,38.0,157.0,13335.94,62061.0,259758.0
2023-07-01,0.1,0.0,2.0,13301.9,63045.0,266526.0
2023-08-01,4.538,21.0,91.0,13750.462,64828.0,275742.0
2023-09-01,21.245,100.0,435.0,12551.755,58919.0,257004.0
2023-10-01,27.114,127.0,545.0,10756.886,50315.0,216216.0
2023-11-01,53.769,252.0,1279.0,7778.231,36406.0,185022.0
2023-12-01,19.796,92.0,424.0,12820.204,59567.0,274590.0
2024-01-01,6.717,31.0,145.0,12765.283,59440.0,275544.0
2024-02-01,6.737,31.0,146.0,11911.263,55623.0,258138.0
2024-03-01,36.032,168.0,771.0,12681.968,59103.0,271368.0
2024-04-01,34.202,160.0,746.0,6942.798,32391.0,151434.0
2024-05-01,10.398,49.0,223.0,11710.602,55106.0,251154.0
2024-06-01,7.646,36.0,157.0,12887.354,61004.0,264636.0
2024-07-01,0.049,0.0,1.0,13700.951,65293.0,277218.0
2024-08-01,2.769,13.0,57.0,13875.231,65425.0,285606.0
2024-09-01,14.936,70.0,314.0,13179.064,61755.0,277056.0
2024-10-01,1228.607,3095.0,3095.0,6802.393,17136.0,17136.0
2024-11-01,0.0,0.0,5641.0,0.0,0.0,79686.0
2024-12-01,0.0,0.0,21468.0,0.0,0.0,25020.0
