measured_on,Bituminous Coal - Combined Cycle Combustion Turbine Part - Coal - Generation,Bituminous Coal - Combined Cycle Combustion Turbine Part - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combined Cycle Combustion Turbine Part - Coal - Total Fuel Consumed,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2004-08-01,,,,,,,128727.0,1447833.0,1447833.0,-15.0,454.0,454.0,946.0,10620.0,10620.0,,,,,,,,,
2004-09-01,,,,,,,64023.0,717532.0,717532.0,-31.0,0.0,0.0,198.0,2401.0,2401.0,,,,,,,,,
2004-10-01,,,,,,,53248.0,496784.0,496784.0,-29.0,0.0,0.0,462.0,4443.0,4443.0,,,,,,,,,
2004-11-01,,,,,,,81895.0,825551.0,825551.0,-31.0,0.0,0.0,477.0,4909.0,4909.0,,,,,,,,,
2004-12-01,,,,,,,162152.0,1705750.0,1705750.0,-15.0,0.0,0.0,862.0,9786.0,9786.0,,,,,,,,,
2005-01-01,,,,,,,135896.0,1386430.5,1386430.5,-15.0,0.0,0.0,1635.0,17729.5,17729.5,,,,,,,,,
2005-02-01,,,,,,,178775.0,1850117.5,1850117.5,-31.0,0.0,0.0,391.0,4312.9,4312.9,,,,,,,,,
2005-03-01,,,,,,,226469.0,2326520.0,2326520.0,-38.0,0.0,0.0,161.0,1711.0,1711.0,,,,,,,,,
2005-04-01,,,,,,,205521.0,2105451.6,2105451.6,-30.0,0.0,0.0,318.0,3374.8,3374.8,,,,,,,,,
2005-05-01,,,,,,,55399.0,615026.4,615026.4,-36.0,472.0,472.0,513.0,5953.1,5953.1,,,,,,,,,
2005-06-01,,,,,,,116590.0,1221512.8,1221512.8,-34.0,0.0,0.0,1547.0,16655.7,16655.7,,,,,,,,,
2005-07-01,,,,,,,205260.0,2210586.0,2210586.0,513.0,13481.5,13481.5,663.0,7534.3,7534.3,,,,,,,,,
2005-08-01,,,,,,,223161.0,2398432.8,2398432.8,-81.0,0.0,0.0,282.0,3109.3,3109.3,,,,,,,,,
2005-09-01,,,,,,,181557.0,1975557.5,1975557.5,-44.0,0.0,0.0,373.0,4253.9,4253.9,,,,,,,,,
2005-10-01,,,,,,,148007.0,1624497.0,1624497.0,-33.0,0.0,0.0,908.0,9841.2,9841.2,,,,,,,,,
2005-11-01,,,,,,,149414.0,1575971.6,1575971.6,-29.0,0.0,0.0,753.0,8195.1,8195.1,,,,,,,,,
2005-12-01,,,,,,,215368.0,2241286.4,2241286.4,-36.0,0.0,0.0,556.0,6289.4,6289.4,,,,,,,,,
2006-01-01,,,,,,,146184.0,1480774.0,1480774.0,-33.0,106.0,106.0,1159.0,12178.0,12178.0,,,,,,,,,
2006-02-01,,,,,,,181774.0,1874405.0,1874405.0,-35.0,71.0,71.0,558.0,5835.0,5835.0,,,,,,,,,
2006-03-01,,,,,,,213143.0,2179093.0,2179093.0,-25.0,0.0,0.0,386.0,3894.0,3894.0,,,,,,,,,
2006-04-01,,,,,,,171091.0,1756920.0,1756920.0,-21.0,0.0,0.0,348.0,3670.0,3670.0,,,,,,,,,
2006-05-01,,,,,,,144206.0,1429375.0,1429375.0,0.0,0.0,0.0,1196.0,12579.0,12579.0,,,,,,,,,
2006-06-01,,,,,,,181288.0,1941279.0,1941279.0,8.0,230.0,230.0,1154.0,12567.0,12567.0,,,,,,,,,
2006-07-01,,,,,,,198829.0,2111637.0,2111637.0,153.0,4938.0,4938.0,704.0,7800.0,7800.0,,,,,,,,,
2006-08-01,,,,,,,230871.0,2463743.0,2463743.0,1200.0,44657.0,44657.0,686.0,7611.0,7611.0,,,,,,,,,
2006-09-01,,,,,,,117082.0,1250424.0,1250424.0,-7.0,0.0,0.0,707.0,8844.0,8844.0,,,,,,,,,
2006-10-01,,,,,,,77845.0,791171.0,791171.0,19.0,602.0,602.0,1066.0,11552.0,11552.0,,,,,,,,,
2006-11-01,,,,,,,129699.0,1462072.0,1462072.0,-13.0,0.0,0.0,1056.0,11859.0,11859.0,,,,,,,,,
2006-12-01,,,,,,,142478.0,1479518.0,1479518.0,-12.0,401.0,401.0,1230.0,13322.0,13322.0,,,,,,,,,
2007-01-01,,,,,,,142469.632,1510834.0,1510834.0,0.0,6.0,6.0,1326.3680000000002,14066.0,14066.0,,,,,,,,,
2007-02-01,,,,,,,213623.555,2155118.0,2155118.0,-10.0,0.0,0.0,499.445,5039.0,5039.0,,,,,,,,,
2007-03-01,,,,,,,211428.204,2151738.0,2151738.0,-10.0,0.0,0.0,394.796,4018.0,4018.0,,,,,,,,,
2007-04-01,,,,,,,211111.205,2202368.0,2202368.0,-7.0,0.0,0.0,679.795,7092.0,7092.0,,,,,,,,,
2007-05-01,,,,,,,154675.586,1590994.0,1590994.0,-20.0,230.0,230.0,790.414,8130.0,8130.0,,,,,,,,,
2007-06-01,,,,,,,196278.97,2084825.0,2084825.0,-28.0,531.0,531.0,491.03,5216.0,5216.0,,,,,,,,,
2007-07-01,,,,,,,220163.049,2354698.0,2354698.0,-44.0,0.0,0.0,351.951,3764.0,3764.0,,,,,,,,,
2007-08-01,,,,,,,229219.414,2342693.0,2342693.0,1248.0,55159.0,55159.0,1128.586,11535.0,11535.0,,,,,,,,,
2007-09-01,,,,,,,199439.965,2166633.0,2166633.0,199.0,9947.0,9947.0,788.0360000000001,8561.0,8561.0,,,,,,,,,
2007-10-01,,,,,,,173432.427,1886993.0,1886993.0,202.0,10360.0,10360.0,1726.574,18786.0,18786.0,,,,,,,,,
2007-11-01,,,,,,,138774.095,1453460.0,1453460.0,0.0,0.0,0.0,661.904,6933.0,6933.0,,,,,,,,,
2007-12-01,,,,,,,206017.379,2139438.0,2139438.0,0.0,0.0,0.0,534.621,5552.0,5552.0,,,,,,,,,
2008-01-01,,,,,,,74366.904,879142.0,879142.0,29.0,1180.0,1180.0,492.096,5817.0,5817.0,,,,,,,,,
2008-02-01,,,,,,,64805.893,750812.0,750812.0,0.0,0.0,0.0,446.107,5168.0,5168.0,,,,,,,,,
2008-03-01,,,,,,,80736.755,940026.0,940026.0,0.0,0.0,0.0,507.245,5906.0,5906.0,,,,,,,,,
2008-04-01,,,,,,,164661.319,1762295.0,1762295.0,0.0,0.0,0.0,555.681,5947.0,5947.0,,,,,,,,,
2008-05-01,,,,,,,161119.01,1760187.0,1760187.0,-2.0,0.0,0.0,1037.99,11340.0,11340.0,,,,,,,,,
2008-06-01,,,,,,,200777.209,2174302.0,2174302.0,34.0,9287.0,9287.0,793.791,8596.0,8596.0,,,,,,,,,
2008-07-01,,,,,,,192804.02,2104939.0,2104939.0,-15.0,0.0,0.0,440.98,4814.0,4814.0,,,,,,,,,
2008-08-01,,,,,,,180708.855,2029800.0,2029800.0,-16.0,0.0,0.0,585.145,6573.0,6573.0,,,,,,,,,
2008-09-01,,,,,,,144983.875,1564385.0,1564385.0,-13.0,24.0,24.0,679.125,7328.0,7328.0,,,,,,,,,
2008-10-01,,,,,,,64107.313,661676.0,661676.0,-15.0,0.0,0.0,739.687,7635.0,7635.0,,,,,,,,,
2008-11-01,,,,,,,85407.287,1026903.0,1026903.0,-16.0,0.0,0.0,120.71300000000001,1451.0,1451.0,,,,,,,,,
2008-12-01,,,,,,,160454.892,1684562.0,1684562.0,-14.0,0.0,0.0,1225.108,12862.0,12862.0,,,,,,,,,
2009-01-01,,,,,,,168858.342,1766479.0,1766479.0,-15.0,0.0,0.0,1010.658,10573.0,10573.0,,,,,,,,,
2009-02-01,,,,,,,135166.513,1451532.0,1451532.0,-15.0,0.0,0.0,661.4870000000001,7104.0,7104.0,,,,,,,,,
2009-03-01,,,,,,,163241.913,1692254.0,1692254.0,15.0,4708.0,4708.0,1079.087,11186.0,11186.0,,,,,,,,,
2009-04-01,,,,,,,170566.642,1778712.0,1778712.0,-15.0,0.0,0.0,721.3580000000001,7523.0,7523.0,,,,,,,,,
2009-05-01,,,,,,,146838.77,1559206.0,1559206.0,-14.0,77.0,77.0,836.23,8880.0,8880.0,,,,,,,,,
2009-06-01,,,,,,,188337.791,2039649.0,2039649.0,-14.0,148.0,148.0,805.2090000000001,8720.0,8720.0,,,,,,,,,
2009-07-01,,,,,,,196353.669,2165580.0,2165580.0,-9.0,513.0,513.0,571.331,6301.0,6301.0,,,,,,,,,
2009-08-01,,,,,,,198317.915,2179670.0,2179670.0,-12.0,295.0,295.0,373.085,4101.0,4101.0,,,,,,,,,
2009-09-01,,,,,,,86711.051,922369.0,922369.0,-14.0,0.0,0.0,714.9490000000001,7605.0,7605.0,,,,,,,,,
2009-10-01,,,,,,,66602.306,770406.0,770406.0,-16.0,0.0,0.0,871.6940000000001,10083.0,10083.0,,,,,,,,,
2009-11-01,,,,,,,116192.609,1263808.0,1263808.0,-14.0,0.0,0.0,1008.3910000000001,10968.0,10968.0,,,,,,,,,
2009-12-01,,,,,,,231422.942,2416558.0,2416558.0,-14.0,0.0,0.0,448.05800000000005,4679.0,4679.0,,,,,,,,,
2010-01-01,,,,,,,252232.154,2651158.0,2651158.0,9.0,2773.0,2773.0,492.846,5180.0,5180.0,,,,,,,,,
2010-02-01,,,,,,,228153.58000000002,2443581.0,2443581.0,-15.0,0.0,0.0,264.42,2832.0,2832.0,,,,,,,,,
2010-03-01,,,,,,,191567.065,2106780.0,2106780.0,-3.0,0.0,0.0,829.9350000000001,9127.0,9127.0,,,,,,,,,
2010-04-01,,,,,,,211979.81,2276338.0,2276338.0,0.0,0.0,0.0,441.19,4738.0,4738.0,,,,,,,,,
2010-05-01,,,,,,,181860.727,1965333.0,1965333.0,-1.0,0.0,0.0,698.273,7546.0,7546.0,,,,,,,,,
2010-06-01,,,,,,,224912.84100000001,2433499.0,2433499.0,325.0,20538.0,20538.0,399.159,4319.0,4319.0,,,,,,,,,
2010-07-01,,,,,,,228358.433,2469029.0,2469029.0,0.0,0.0,0.0,478.567,5174.0,5174.0,,,,,,,,,
2010-08-01,,,,,,,188390.818,2126688.0,2126688.0,0.0,0.0,0.0,881.182,9947.0,9947.0,,,,,,,,,
2010-09-01,,,,,,,153156.746,1725078.0,1725078.0,-9.0,30.0,30.0,1138.2540000000001,12821.0,12821.0,,,,,,,,,
2010-10-01,,,,,,,157349.414,1675169.0,1675169.0,-14.0,0.0,0.0,1069.586,11387.0,11387.0,,,,,,,,,
2010-11-01,,,,,,,133493.266,1389140.0,1389140.0,0.0,53.0,53.0,670.734,6980.0,6980.0,,,,,,,,,
2010-12-01,,,,,,,230647.208,2462963.0,2462963.0,144.0,8378.0,8378.0,602.792,6437.0,6437.0,,,,,,,,,
2011-01-01,,,,,,,207576.89,2146395.0,2146395.0,-16.0,0.0,0.0,797.109,8242.0,8242.0,,,,,,,,,
2011-02-01,,,,,,,135237.94,1463443.0,1463443.0,-16.0,0.0,0.0,495.063,5357.0,5357.0,,,,,,,,,
2011-03-01,,,,,,,176924.48,1845172.0,1845172.0,-32.0,0.0,0.0,968.516,10101.0,10101.0,,,,,,,,,
2011-04-01,,,,,,,72304.95,763322.0,763322.0,-16.0,0.0,0.0,233.05,2460.0,2460.0,,,,,,,,,
2011-05-01,,,,,,,-815.0,24990.0,24990.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2011-06-01,,,,,,,139832.48,1529168.0,1529168.0,15.0,549.0,549.0,1051.518,11499.0,11499.0,,,,,,,,,
2011-07-01,,,,,,,195898.79,2162150.0,2162150.0,0.0,0.0,0.0,962.212,10620.0,10620.0,,,,,,,,,
2011-08-01,,,,,,,166634.21,1856831.0,1856831.0,0.0,0.0,0.0,696.787,7764.0,7764.0,,,,,,,,,
2011-09-01,,,,,,,40008.352,486668.0,486668.0,0.0,0.0,0.0,432.648,5263.0,5263.0,,,,,,,,,
2011-10-01,,,,,,,77074.658,834715.0,834715.0,0.0,0.0,0.0,1275.342,13812.0,13812.0,,,,,,,,,
2011-11-01,,,,,,,114188.22,1209320.0,1209320.0,0.0,0.0,0.0,441.779,4679.0,4679.0,,,,,,,,,
2011-12-01,,,,,,,26709.276,339178.0,339178.0,0.0,0.0,0.0,528.724,6714.0,6714.0,,,,,,,,,
2012-01-01,,,,,,,47856.096,507224.0,507224.0,0.0,0.0,0.0,1295.904,13735.0,13735.0,,,,,,,0.0,0.0,0.0
2012-02-01,,,,,,,28210.267,304021.0,304021.0,0.0,0.0,0.0,694.733,7487.0,7487.0,,,,,,,0.0,0.0,0.0
2012-03-01,,,,,,,128298.7,1340322.0,1340322.0,0.0,0.0,0.0,979.297,10231.0,10231.0,,,,,,,,,
2012-04-01,,,,,,,137012.29,1448195.0,1448195.0,0.0,0.0,0.0,572.706,6053.0,6053.0,,,,,,,,,
2012-05-01,,,,,,,103336.52,1096669.0,1096669.0,0.0,0.0,0.0,526.478,5587.0,5587.0,,,,,,,,,
2012-06-01,,,,,,,69320.803,737058.0,737058.0,0.0,0.0,0.0,866.197,9210.0,9210.0,,,,,,,,,
2012-07-01,,,,,,,155434.88,1706964.0,1706964.0,0.0,0.0,0.0,629.119,6909.0,6909.0,,,,,,,,,
2012-08-01,,,,,,,117120.04,1279488.0,1279488.0,0.0,0.0,0.0,632.958,6915.0,6915.0,,,,,,,0.0,0.0,0.0
2012-09-01,,,,,,,35703.283,387027.0,387027.0,0.0,0.0,0.0,844.717,9157.0,9157.0,,,,,,,0.0,0.0,0.0
2012-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2012-11-01,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
