measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,,,,681727.0,7352173.0,7352173.0,-368.0,180.0,180.0,5771.0,66294.0,66294.0,0.0,0.0,0.0,,,,,,
2004-02-01,,,,417327.0,4520000.0,4520000.0,-315.0,0.0,0.0,730.0,8648.0,8648.0,0.0,0.0,0.0,,,,,,
2004-03-01,,,,451422.0,4849667.0,4849667.0,394.0,6136.0,6136.0,806.0,9553.0,9553.0,30.0,463.0,463.0,,,,,,
2004-04-01,,,,526199.0,5798143.0,5798143.0,-58.0,789.0,789.0,4962.0,59792.0,59792.0,-59.0,817.0,817.0,,,,,,
2004-05-01,,,,650119.0,7101812.0,7101812.0,76.0,1438.0,1438.0,6331.0,74965.0,74965.0,531.0,10255.0,10255.0,,,,,,
2004-06-01,,,,627791.0,6772626.0,6772626.0,5.0,226.0,226.0,5113.0,59792.0,59792.0,58.0,2554.0,2554.0,,,,,,
2004-07-01,,,,716548.0,7693290.0,7693290.0,-25.0,354.0,354.0,7431.0,86484.0,86484.0,-44.0,647.0,647.0,,,,,,
2004-08-01,,,,678505.0,7128087.0,7128087.0,123.0,3814.0,3814.0,4670.0,54613.0,54613.0,6.0,179.0,179.0,,,,,,
2004-09-01,,,,582780.0,6230719.0,6230719.0,177.0,5336.0,5336.0,4796.0,57084.0,57084.0,11.0,344.0,344.0,,,,,,
2004-10-01,,,,434629.0,4770900.0,4770900.0,-151.0,0.0,0.0,5067.0,60285.0,60285.0,0.0,0.0,0.0,,,,,,
2004-11-01,,,,503348.0,5435933.0,5435933.0,-58.0,1641.0,1641.0,8490.0,100265.0,100265.0,0.0,0.0,0.0,,,,,,
2004-12-01,,,,545710.0,5920522.0,5920522.0,-215.0,2395.0,2395.0,11125.0,131979.0,131979.0,0.0,0.0,0.0,,,,,,
2005-01-01,,,,691556.0,7493640.2,7493640.2,-222.0,0.0,0.0,4771.0,56538.4,56538.4,0.0,0.0,0.0,,,,,,
2005-02-01,,,,496749.0,5422255.11,5422255.11,121.0,4440.15,4440.15,3600.0,43366.05,43366.05,23.0,845.84,845.84,,,,,,
2005-03-01,,,,780667.0,8354016.95,8354016.95,-18.0,17.55,17.55,1713.0,19942.65,19942.65,-241.0,233.01,233.01,,,,,,
2005-04-01,,,,652228.0,7126218.2,7126218.2,-33.0,2936.7,2936.7,4255.0,49624.8,49624.8,0.0,0.0,0.0,,,,,,
2005-05-01,,,,585570.0,6320860.0,6320860.0,191.0,4241.25,4241.25,2268.0,26308.8,26308.8,159.0,3574.89,3574.89,,,,,,
2005-06-01,,,,588077.0,6354781.03,6354781.03,110.0,2837.25,2837.25,3843.0,44483.4,44483.4,103.0,2668.23,2668.23,,,,,,
2005-07-01,,,,597305.0,6420198.6,6420198.6,-118.0,77.22,77.22,3481.0,38703.4,38703.4,0.0,0.0,0.0,,,,,,
2005-08-01,,,,671708.0,7156873.08,7156873.08,203.0,3225.42,3225.42,777.0,8618.8,8618.8,492.0,7806.8,7806.8,,,,,,
2005-09-01,,,,618931.0,6607022.55,6607022.55,-123.0,294.0,294.0,1069.0,11901.6,11901.6,0.0,0.0,0.0,,,,,,
2005-10-01,,,,606123.0,6441242.0,6441242.0,547.0,11452.32,11452.32,1357.0,15758.9,15758.9,0.0,0.0,0.0,,,,,,
2005-11-01,,,,725525.0,7794208.44,7794208.44,-254.0,0.0,0.0,2449.0,28437.4,28437.4,0.0,0.0,0.0,,,,,,
2005-12-01,,,,729274.0,7781235.28,7781235.28,-360.0,0.0,0.0,3507.0,41354.0,41354.0,0.0,0.0,0.0,,,,,,
2006-01-01,,,,484849.0,5251012.0,5251012.0,160.0,3920.0,3920.0,4387.0,50854.0,50854.0,129.0,3239.0,3239.0,,,,,,
2006-02-01,,,,615905.0,6628290.0,6628290.0,-289.0,89.0,89.0,3946.0,45008.0,45008.0,0.0,0.0,0.0,,,,,,
2006-03-01,,,,658658.0,7015845.0,7015845.0,-17.0,1265.0,1265.0,2719.0,30688.0,30688.0,-20.0,1510.0,1510.0,,,,,,
2006-04-01,,,,641141.0,6838576.0,6838576.0,-145.0,0.0,0.0,2847.0,32115.0,32115.0,0.0,0.0,0.0,,,,,,
2006-05-01,,,,653998.0,7024919.0,7024919.0,-59.0,1372.0,1372.0,3188.0,37589.0,37589.0,0.0,0.0,0.0,,,,,,
2006-06-01,,,,704142.0,7480268.0,7480268.0,-131.0,131.0,131.0,1349.0,15324.0,15324.0,0.0,0.0,0.0,,,,,,
2006-07-01,,,,645747.0,6920454.0,6920454.0,4.0,77.0,77.0,2386.0,27643.0,27643.0,146.0,2584.0,2584.0,,,,,,
2006-08-01,,,,691797.0,7390287.0,7390287.0,180.0,3130.0,3130.0,1594.0,18270.0,18270.0,1081.0,18737.0,18737.0,,,,,,
2006-09-01,,,,710794.0,7574086.0,7574086.0,393.0,7063.0,7063.0,617.0,7198.0,7198.0,0.0,5.0,5.0,,,,,,
2006-10-01,,,,583845.0,6291354.0,6291354.0,-116.0,1259.0,1259.0,2579.0,29754.0,29754.0,0.0,0.0,0.0,,,,,,
2006-11-01,,,,615318.0,6598455.0,6598455.0,0.0,0.0,0.0,2735.0,31819.0,31819.0,0.0,0.0,0.0,,,,,,
2006-12-01,,,,638032.0,6843781.0,6843781.0,18.0,630.0,630.0,2975.0,35325.0,35325.0,0.0,0.0,0.0,,,,,,
2007-01-01,,,,605257.298,6543331.0,6543331.0,0.0,0.0,0.0,2477.702,26786.0,26786.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-02-01,,,,709588.186,7653767.0,7653767.0,0.0,202.0,202.0,579.8140000000001,6254.0,6254.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-03-01,,,,776076.321,8336594.0,8336594.0,0.0,0.0,0.0,269.68,2897.0,2897.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-04-01,,,,537853.065,5759631.0,5759631.0,0.0,249.0,249.0,2265.935,24265.0,24265.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-05-01,,,,717769.763,7773687.0,7773687.0,0.0,0.0,0.0,1518.236,16443.0,16443.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-06-01,,,,683533.679,7400177.0,7400177.0,0.0,2370.0,2370.0,1548.3220000000001,16763.0,16763.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-07-01,,,,753780.08,8041505.0,8041505.0,0.0,0.0,0.0,1685.92,17986.0,17986.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-08-01,,,,662550.278,7285471.0,7285471.0,31.869,469.0,469.0,1978.721,21758.0,21758.0,1091.131,16067.0,16067.0,,,,0.0,0.0,0.0
2007-09-01,,,,680622.532,7314266.0,7314266.0,0.0,0.0,0.0,1734.469,18639.0,18639.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-10-01,,,,470477.266,5274589.0,5274589.0,0.0,0.0,0.0,1289.735,14459.0,14459.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-11-01,,,,444767.0,4707155.0,4707155.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-12-01,,,,489942.279,5197166.0,5197166.0,0.0,0.0,0.0,487.721,5174.0,5174.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-01-01,,,,467555.747,4924241.0,4924241.0,725.803,25079.0,25079.0,1597.2530000000002,16822.0,16822.0,82.197,2840.0,2840.0,,,,0.0,0.0,0.0
2008-02-01,,,,697651.492,7243661.0,7243661.0,120.976,1378.0,1378.0,2896.5080000000003,30074.0,30074.0,534.024,6083.0,6083.0,,,,0.0,0.0,0.0
2008-03-01,,,,790317.475,8069107.0,8069107.0,0.0,0.0,0.0,1963.525,20048.0,20048.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-04-01,,,,714762.148,7444068.0,7444068.0,0.0,226.0,226.0,1656.852,17256.0,17256.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-05-01,,,,740384.314,7734045.0,7734045.0,0.0,267.0,267.0,3733.686,39002.0,39002.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-06-01,,,,626665.711,6145180.0,6145180.0,244.97,3594.0,3594.0,2562.289,25126.0,25126.0,162.03,2377.0,2377.0,,,,0.0,0.0,0.0
2008-07-01,,,,636056.822,6530490.0,6530490.0,39.57,570.0,570.0,4881.178,50116.0,50116.0,53.43,770.0,770.0,,,,0.0,0.0,0.0
2008-08-01,,,,538170.787,5692181.0,5692181.0,0.0,0.0,0.0,2053.213,21717.0,21717.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-09-01,,,,652404.388,6588933.0,6588933.0,0.0,0.0,0.0,3493.612,35284.0,35284.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-10-01,,,,616561.916,6282215.0,6282215.0,0.0,0.0,0.0,3394.0840000000003,34583.0,34583.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-11-01,,,,697449.707,7119385.0,7119385.0,0.0,0.0,0.0,2847.293,29064.0,29064.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-12-01,,,,445295.889,4706837.0,4706837.0,0.0,0.0,0.0,3597.1110000000003,38022.0,38022.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-01-01,,,,503169.922,5484845.0,5484845.0,180.0,801.0,801.0,4410.078,48072.0,48072.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-02-01,,,,463873.954,5186843.0,5186843.0,0.0,0.0,0.0,2195.0460000000003,24544.0,24544.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-03-01,,,,433119.352,4536636.0,4536636.0,33.103,570.0,570.0,1805.6480000000001,18913.0,18913.0,0.897,15.0,15.0,,,,0.0,0.0,0.0
2009-04-01,,,,46510.139,592211.0,592211.0,0.0,0.0,0.0,210.86100000000002,2685.0,2685.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-05-01,,,,-1732.5,0.0,0.0,228.841,3516.0,3516.0,-1732.5,0.0,0.0,54.159000000000006,832.0,832.0,,,,,,
2009-06-01,,,,98135.634,1109433.0,1109433.0,25.0,446.0,446.0,1836.366,20760.0,20760.0,0.0,0.0,0.0,,,,,,
2009-07-01,,,,396305.582,4375772.0,4375772.0,101.03200000000001,1481.0,1481.0,3226.418,35624.0,35624.0,14.968,219.0,219.0,,,,0.0,0.0,0.0
2009-08-01,,,,299051.493,3724938.0,3724938.0,111.188,1693.0,1693.0,969.5070000000001,12076.0,12076.0,14.812000000000001,226.0,226.0,,,,0.0,0.0,0.0
2009-09-01,,,,57033.396,752335.0,752335.0,22.0,655.0,655.0,80.604,1063.0,1063.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-10-01,,,,55689.466,651164.0,651164.0,0.0,0.0,0.0,192.53400000000002,2251.0,2251.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-11-01,,,,68179.063,783168.0,783168.0,0.0,0.0,0.0,1055.9370000000001,12129.0,12129.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-12-01,,,,498324.68200000003,5142439.0,5142439.0,387.0,5711.0,5711.0,7120.318,73478.0,73478.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-01-01,,,,616341.573,6444949.0,6444949.0,0.0,0.0,0.0,8100.427000000001,84704.0,84704.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-02-01,,,,630284.338,6343648.0,6343648.0,18.0,183.0,183.0,1522.662,15325.0,15325.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-03-01,,,,682711.7000000001,6735671.0,6735671.0,204.0,2885.0,2885.0,2712.3,26760.0,26760.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-04-01,,,,374537.628,3950456.0,3950456.0,0.0,17.0,17.0,1853.372,19549.0,19549.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-05-01,,,,593875.816,6296069.0,6296069.0,3.359,17.0,17.0,3296.184,34945.0,34945.0,755.6410000000001,3914.0,3914.0,,,,0.0,0.0,0.0
2010-06-01,,,,644987.706,6742014.0,6742014.0,0.0,17.0,17.0,3228.2940000000003,33745.0,33745.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-07-01,,,,550301.028,5951467.0,5951467.0,381.899,3879.0,3879.0,2804.972,30336.0,30336.0,0.101,1.0,1.0,,,,0.0,0.0,0.0
2010-08-01,,,,469561.171,5263363.0,5263363.0,0.0,0.0,0.0,1823.8290000000002,20444.0,20444.0,1552.0,19505.0,19505.0,,,,0.0,0.0,0.0
2010-09-01,,,,347351.775,3575635.0,3575635.0,2.527,36.0,36.0,3316.2250000000004,34137.0,34137.0,273.473,3857.0,3857.0,,,,0.0,0.0,0.0
2010-10-01,,,,233604.829,2541113.0,2541113.0,0.0,0.0,0.0,1454.171,15818.0,15818.0,8.0,148.0,148.0,,,,0.0,0.0,0.0
2010-11-01,,,,339586.886,3753122.0,3753122.0,0.0,0.0,0.0,3194.114,35301.0,35301.0,7.0,115.0,115.0,,,,0.0,0.0,0.0
2010-12-01,,,,510712.976,5557087.0,5557087.0,49.143,707.0,707.0,8313.024000000001,90454.0,90454.0,198.857,2860.0,2860.0,,,,0.0,0.0,0.0
2011-01-01,,,,642493.08,6641591.0,6641591.0,197.941,2970.0,2970.0,4199.917,43415.0,43415.0,50.059,751.0,751.0,,,,0.0,0.0,0.0
2011-02-01,,,,484457.68,4925390.0,4925390.0,393.107,4966.0,4966.0,2318.32,23570.0,23570.0,388.893,4913.0,4913.0,,,,0.0,0.0,0.0
2011-03-01,,,,358462.66,3747845.0,3747845.0,0.0,0.0,0.0,3363.337,35165.0,35165.0,338.0,4687.0,4687.0,,,,0.0,0.0,0.0
2011-04-01,,,,281785.01,2961798.0,2961798.0,135.79,1931.0,1931.0,1487.989,15640.0,15640.0,1014.21,14419.0,14419.0,,,,0.0,0.0,0.0
2011-05-01,,,,505194.87,5551010.0,5551010.0,0.0,6.0,6.0,6480.133,71203.0,71203.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-06-01,,,,517311.32,5537300.0,5537300.0,58.316,808.0,808.0,3636.678,38927.0,38927.0,1458.684,20201.0,20201.0,,,,0.0,0.0,0.0
2011-07-01,,,,678199.99,7220804.0,7220804.0,29.346,471.0,471.0,3362.014,35795.0,35795.0,287.654,4613.0,4613.0,,,,0.0,0.0,0.0
2011-08-01,,,,571587.11,6349755.0,6349755.0,1.863,29.0,29.0,2930.891,32559.0,32559.0,278.137,4338.0,4338.0,,,,0.0,0.0,0.0
2011-09-01,,,,220843.21,2196609.0,2196609.0,0.0,0.0,0.0,1869.791,18598.0,18598.0,0.0,40.0,40.0,,,,0.0,0.0,0.0
2011-10-01,,,,168514.43,1884933.0,1884933.0,270.437,3893.0,3893.0,1419.57,15879.0,15879.0,122.563,1764.0,1764.0,,,,0.0,0.0,0.0
2011-11-01,,,,155539.96,1675643.0,1675643.0,159.292,2208.0,2208.0,1352.044,14566.0,14566.0,77.708,1077.0,1077.0,,,,0.0,0.0,0.0
2011-12-01,,,,155295.59,1854338.0,1854338.0,0.0,116.0,116.0,1742.411,20806.0,20806.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-01-01,,,,246414.02,2553427.0,2553427.0,0.0,0.0,0.0,1819.98,18859.0,18859.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-02-01,,,,89711.053,965573.0,965573.0,80.956,1061.0,1061.0,256.947,2766.0,2766.0,1786.044,23417.0,23417.0,,,,0.0,0.0,0.0
2012-03-01,,,,108388.65,1321685.0,1321685.0,1.603,23.0,23.0,1258.347,15344.0,15344.0,561.397,8126.0,8126.0,,,,0.0,0.0,0.0
2012-04-01,,,,253812.48,2717899.0,2717899.0,0.0,0.0,0.0,1663.52,17813.0,17813.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-05-01,,,,274940.4,3110272.0,3110272.0,0.0,0.0,0.0,2025.598,22915.0,22915.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-06-01,,,,402401.18,4124285.0,4124285.0,0.0,0.0,0.0,4325.818,44336.0,44336.0,577.0,7115.0,7115.0,,,,0.0,0.0,0.0
2012-07-01,,,,603075.71,6430138.0,6430138.0,0.0,0.0,0.0,2352.288,25081.0,25081.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-08-01,,,,370097.08,3974816.0,3974816.0,0.0,0.0,0.0,2005.924,21543.0,21543.0,225.0,1618.0,1618.0,,,,0.0,0.0,0.0
2012-09-01,,,,257469.31,3154715.0,3154715.0,0.0,0.0,0.0,1171.694,14357.0,14357.0,43.0,668.0,668.0,,,,0.0,0.0,0.0
2012-10-01,,,,271175.56,3071571.0,3071571.0,0.0,0.0,0.0,1246.443,14118.0,14118.0,36.0,538.0,538.0,,,,0.0,0.0,0.0
2012-11-01,,,,224301.55,2520351.0,2520351.0,736.464,13903.0,13903.0,1028.447,11556.0,11556.0,493.536,9317.0,9317.0,,,,0.0,0.0,0.0
2012-12-01,,,,242722.0,2719562.0,2719562.0,0.0,0.0,0.0,1255.999,14073.0,14073.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-01-01,,,,264089.68,2981646.0,2981646.0,454.855,6134.0,6134.0,1375.321,15528.0,15528.0,77.145,1040.0,1040.0,,,,0.0,0.0,0.0
2013-02-01,,,,184426.18,2052808.0,2052808.0,0.0,0.0,0.0,1058.82,11786.0,11786.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-03-01,,,,262638.04,2835699.0,2835699.0,0.0,0.0,0.0,820.957,8864.0,8864.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-04-01,,,,213239.64,2322734.0,2322734.0,46.301,669.0,669.0,597.356,6507.0,6507.0,334.699,4838.0,4838.0,,,,0.0,0.0,0.0
2013-05-01,,,,238372.97,2562706.0,2562706.0,0.0,0.0,0.0,1063.029,11428.0,11428.0,0.0,5.0,5.0,,,,0.0,0.0,0.0
2013-06-01,,,,288647.14,3155711.0,3155711.0,0.0,0.0,0.0,1009.858,11041.0,11041.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-07-01,,,,292725.69,3247315.0,3247315.0,5.0,226.0,226.0,858.307,9522.0,9522.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-08-01,,,,297373.14,3257917.0,3257917.0,50.366,783.0,783.0,1298.864,14230.0,14230.0,1561.634,24277.0,24277.0,,,,0.0,0.0,0.0
2013-09-01,,,,263831.8,2950701.0,2950701.0,0.0,0.0,0.0,924.204,10336.0,10336.0,70.0,818.0,818.0,,,,0.0,0.0,0.0
2013-10-01,,,,281650.52,2987801.0,2987801.0,0.0,0.0,0.0,1212.479,12862.0,12862.0,351.0,4371.0,4371.0,,,,0.0,0.0,0.0
2013-11-01,,,,314704.12,3334961.0,3334961.0,0.0,0.0,0.0,807.881,8561.0,8561.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-12-01,,,,300864.21,3229887.0,3229887.0,0.0,0.0,0.0,1206.789,12955.0,12955.0,1022.0,14814.0,14814.0,,,,0.0,0.0,0.0
2014-01-01,,,,343921.28,3663868.0,3663868.0,47.896,594.0,594.0,55.724,594.0,594.0,849.104,10524.0,10524.0,,,,0.0,0.0,0.0
2014-02-01,,,,331585.79,3477353.0,3477353.0,0.0,0.0,0.0,2011.214,21092.0,21092.0,128.0,1395.0,1395.0,,,,0.0,0.0,0.0
2014-03-01,,,,304128.65,3252208.0,3252208.0,0.0,0.0,0.0,459.351,4912.0,4912.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-04-01,,,,241838.43,2624028.0,2624028.0,0.0,0.0,0.0,1047.568,11366.0,11366.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-05-01,,,,360808.72,3935443.0,3935443.0,-27.735,0.0,0.0,870.283,9492.0,9492.0,-170.265,0.0,0.0,,,,0.0,0.0,0.0
2014-06-01,,,,301083.97,3566962.0,3566962.0,0.0,0.0,0.0,1966.026,23292.0,23292.0,1647.0,12202.0,12202.0,,,,0.0,0.0,0.0
2014-07-01,,,,212768.0,2445907.0,2445907.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,15265.0,15265.0,,,,0.0,0.0,0.0
2014-08-01,,,,308092.0,3259342.0,3259342.0,0.0,0.0,0.0,0.0,0.0,0.0,1143.0,8354.0,8354.0,,,,0.0,0.0,0.0
2014-09-01,,,,282402.76,2762008.0,2762008.0,392.045,11355.0,11355.0,2843.238,27808.0,27808.0,80.955,2345.0,2345.0,,,,0.0,0.0,0.0
2014-10-01,,,,271283.55,2979648.0,2979648.0,59.403,1513.0,1513.0,903.454,9923.0,9923.0,72.597,1849.0,1849.0,,,,0.0,0.0,0.0
2014-11-01,,,,327008.69,3562775.0,3562775.0,143.844,2691.0,2691.0,1675.312,18253.0,18253.0,289.156,5410.0,5410.0,,,,0.0,0.0,0.0
2014-12-01,,,,290806.74,2803498.0,2803498.0,204.025,2887.0,2887.0,726.261,7001.0,7001.0,596.975,8446.0,8446.0,,,,0.0,0.0,0.0
2015-01-01,,,,255715.17,2643817.0,2643817.0,-15.983,0.0,0.0,1129.829,11681.0,11681.0,-110.017,0.0,0.0,,,,0.0,0.0,0.0
2015-02-01,,,,296003.0,2975148.0,2975148.0,49.993,1143.0,1143.0,0.0,0.0,0.0,2316.007,52933.0,52933.0,,,,0.0,0.0,0.0
2015-03-01,,,,176882.54,1934998.0,1934998.0,17.842,1873.0,1873.0,631.457,6908.0,6908.0,20.158,2117.0,2117.0,,,,0.0,0.0,0.0
2015-04-01,,,,12107.054,253280.0,253280.0,-90.0,336.0,336.0,230.946,4831.0,4831.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-05-01,,,,298171.37,3050420.0,3050420.0,14.386,203.0,203.0,1254.63,12835.0,12835.0,673.614,9505.0,9505.0,,,,0.0,0.0,0.0
2015-06-01,,,,217408.32,2357219.0,2357219.0,41.684,661.0,661.0,1403.68,15219.0,15219.0,865.316,13726.0,13726.0,,,,0.0,0.0,0.0
