measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2014-10-01,25164.0,149604.0,782698.0,0.734,85.0,123.0,0.0,0.0,0.0
2014-11-01,25184.461,149726.0,781572.0,0.495,57.0,83.0,1701.539,10116.0,52805.0
2014-12-01,27025.282,160670.0,872061.0,0.588,68.0,99.0,1012.718,6021.0,32679.0
2015-01-01,26612.396,158215.0,864639.0,56.485,636.0,916.0,22.604,134.0,734.0
2015-02-01,20701.622,123075.0,661793.0,50.447,568.0,818.0,2895.378,17214.0,92560.0
2015-03-01,26501.0,157553.0,845017.0,54.659,616.0,886.0,0.0,0.0,0.0
2015-04-01,9167.725,54504.0,306746.0,51.038,575.0,827.0,10549.275,62717.0,352972.0
2015-05-01,17678.176,105100.0,565675.0,41.413,466.0,672.0,5421.824,32234.0,173490.0
2015-06-01,17096.936,101644.0,560899.0,62.588,705.0,1015.0,5345.064,31777.0,175355.0
2015-07-01,19684.739,117029.0,644258.0,90.912,1024.0,1474.0,3748.261,22284.0,122676.0
2015-08-01,23486.992,139634.0,741506.0,67.77,763.0,1099.0,104.008,618.0,3284.0
2015-09-01,18293.076,108755.0,565001.0,74.076,834.0,1201.0,5664.924,33679.0,174967.0
2015-10-01,21235.614,126249.0,640526.0,60.559,682.0,982.0,2880.386,17124.0,86881.0
2015-11-01,19605.806,116560.0,611606.0,62.133,700.0,1007.0,6805.194,40458.0,212289.0
2015-12-01,19504.083,115955.0,627013.0,75.92,855.0,1231.0,6576.917,39101.0,211433.0
2016-01-01,18873.231,214652.0,611542.0,116.437,1324.0,2799.0,8131.769,92485.0,263490.0
2016-02-01,19548.061,222327.0,606071.0,120.45,1370.0,2894.0,6622.939,75325.0,205339.0
2016-03-01,25354.48,288365.0,783783.0,162.015,1843.0,3893.0,2011.52,22878.0,62182.0
2016-04-01,8085.07,91954.0,330838.0,121.935,1387.0,2930.0,6418.93,73005.0,262660.0
2016-05-01,16140.958,183576.0,693009.0,116.237,1322.0,2793.0,8.042,91.0,345.0
2016-06-01,15819.903,179925.0,675425.0,163.28,1857.0,3924.0,0.097,1.0,4.0
2016-07-01,16272.143,185069.0,711426.0,265.144,3016.0,6371.0,256.857,2921.0,11230.0
2016-08-01,14989.934,170486.0,605455.0,233.701,2658.0,5616.0,3088.066,35122.0,124729.0
2016-09-01,19313.334,219657.0,605872.0,156.426,1779.0,3759.0,4192.666,47685.0,131527.0
2016-10-01,12392.433,140943.0,416944.0,147.234,1675.0,3538.0,8287.567,94257.0,278835.0
2016-11-01,11204.108,127428.0,474859.0,108.984,1240.0,2619.0,4963.892,56456.0,210383.0
2016-12-01,22114.569,251516.0,721193.0,110.157,1253.0,2647.0,3029.431,34455.0,98795.0
2017-01-01,15245.947,173397.0,541654.0,27.717,315.0,426.0,7293.053,82946.0,259106.0
2017-02-01,17783.494,202258.0,588804.0,27.093,308.0,417.0,5117.506,58203.0,169438.0
2017-03-01,19533.431,222160.0,652730.0,33.725,384.0,519.0,5135.569,58409.0,171610.0
2017-04-01,18583.719,211359.0,636727.0,27.083,308.0,416.0,4791.281,54493.0,164162.0
2017-05-01,19753.319,224661.0,651900.0,29.376,334.0,451.0,4814.681,54759.0,158894.0
2017-06-01,18694.241,212616.0,600915.0,39.657,451.0,609.0,4455.759,50677.0,143228.0
2017-07-01,19594.494,222855.0,607064.0,47.396,539.0,729.0,3920.506,44589.0,121463.0
2017-08-01,19101.571,217249.0,584890.0,38.537,438.0,593.0,4491.429,51083.0,137528.0
2017-09-01,17849.124,203004.0,577284.0,29.34,334.0,451.0,4201.876,47789.0,135899.0
2017-10-01,11594.209,131865.0,383987.0,29.015,330.0,446.0,9701.791,110342.0,321312.0
2017-11-01,13421.275,152645.0,419828.0,21.769,248.0,335.0,9491.725,107953.0,296909.0
2017-12-01,19191.555,218272.0,624171.0,35.292,401.0,543.0,5982.445,68040.0,194568.0
2018-01-01,20136.559,229020.0,643730.0,34.226,389.0,463.0,6002.441,68268.0,191887.0
2018-02-01,22410.672,254884.0,781650.0,25.22,287.0,341.0,594.328,6759.0,20729.0
2018-03-01,21684.478,246625.0,658985.0,39.733,452.0,538.0,4110.522,46750.0,124918.0
2018-04-01,20532.785,233526.0,646997.0,21.459,244.0,290.0,3305.215,37591.0,104149.0
2018-05-01,18838.294,214254.0,651554.0,38.561,439.0,522.0,3028.706,34446.0,104753.0
2018-06-01,19875.711,226053.0,630792.0,42.304,481.0,573.0,3009.289,34226.0,95505.0
2018-07-01,15849.585,180263.0,535183.0,52.322,595.0,708.0,4455.415,50673.0,150443.0
2018-08-01,16112.672,183255.0,521235.0,52.673,599.0,712.0,4601.328,52332.0,148850.0
2018-09-01,19083.454,217042.0,612349.0,42.245,480.0,572.0,970.546,11038.0,31143.0
2018-10-01,160.426,1825.0,4757.0,28.042,319.0,380.0,21030.574,239188.0,623538.0
2018-11-01,17633.304,200549.0,598806.0,32.86,374.0,445.0,3483.696,39621.0,118302.0
2018-12-01,21091.282,239878.0,712970.0,24.355,277.0,330.0,4034.718,45888.0,136390.0
2019-01-01,22548.957,256457.0,750303.0,0.0,0.0,0.0,2484.043,28252.0,82655.0
2019-02-01,16716.118,190118.0,550666.0,0.0,0.0,0.0,5779.882,65737.0,190402.0
2019-03-01,13381.565,152193.0,609794.0,0.0,0.0,0.0,3793.435,43144.0,172866.0
2019-04-01,13824.486,157230.0,515720.0,0.0,0.0,0.0,5434.514,61809.0,202733.0
2019-05-01,11272.531,128206.0,478405.0,0.0,0.0,0.0,3763.469,42803.0,159721.0
2019-06-01,16800.425,191077.0,591611.0,0.0,0.0,0.0,4849.575,55156.0,170773.0
2019-07-01,16207.954,184338.0,560895.0,0.0,0.0,0.0,3629.046,41274.0,125587.0
2019-08-01,15776.218,179428.0,567283.0,0.0,0.0,0.0,3168.782,36040.0,113943.0
2019-09-01,15530.757,176636.0,552420.0,0.0,0.0,0.0,3609.243,41049.0,128379.0
2019-10-01,203.895,2319.0,6840.0,0.0,0.0,0.0,20242.105,230220.0,679073.0
2019-11-01,1544.3,17564.0,54012.0,0.0,0.0,0.0,18153.7,206468.0,634922.0
2019-12-01,15849.941,180267.0,543622.0,0.0,0.0,11.0,7187.059,81741.0,246502.0
2020-01-01,16685.165,189766.0,607079.0,0.0,0.0,0.0,5729.835,65167.0,208476.0
2020-02-01,16004.159,182021.0,586336.0,0.0,0.0,0.0,5498.841,62540.0,201458.0
2020-03-01,14859.994,169008.0,515394.0,0.0,0.0,0.0,7310.006,83139.0,253535.0
2020-04-01,16574.932,188512.0,601180.0,0.0,0.0,0.0,4115.068,46802.0,149255.0
2020-05-01,15785.262,179531.0,583799.0,0.0,0.0,0.0,3229.738,36733.0,119448.0
2020-06-01,16567.308,188426.0,575055.0,0.0,0.0,0.0,2669.692,30363.0,92666.0
2020-07-01,16251.43,184833.0,593151.0,0.0,0.0,0.0,3384.57,38494.0,123531.0
2020-08-01,17536.17,199445.0,619428.0,0.0,0.0,0.0,2798.83,31832.0,98863.0
2020-09-01,17366.147,197511.0,613644.0,0.0,0.0,0.0,3195.853,36348.0,112928.0
2020-10-01,1009.381,11480.0,35480.0,0.0,0.0,0.0,19929.619,226666.0,700521.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,22265.0,253227.0,779344.0
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,24761.0,281615.0,727868.0
2021-01-01,9531.514,108405.0,333388.0,0.0,0.0,0.0,16137.486,183537.0,564447.0
2021-02-01,14653.576,166660.0,543294.0,0.0,0.0,0.0,8507.424,96758.0,315420.0
2021-03-01,28.35,322.0,995.0,0.0,0.0,0.0,24197.65,275208.0,849645.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,21584.0,245482.0,770703.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,20976.0,238567.0,787772.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,20149.0,229161.0,755690.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,19472.0,221462.0,754438.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,19836.0,225601.0,759025.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,19115.0,217401.0,745589.0
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,19411.0,220768.0,683927.0
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,20708.0,235519.0,779310.0
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,19512.0,221916.0,785803.0
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,25669.0,291942.0,500130.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,23161.0,263418.0,774230.0
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,24226.0,275530.0,860079.0
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,18602.0,211567.0,745197.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,18108.0,205948.0,753989.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,16707.0,190014.0,708652.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,15955.0,181462.0,705730.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,17214.0,195781.0,715461.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,16334.0,185772.0,710418.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,13924.0,158362.0,703964.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,13171.0,149798.0,721242.0
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,13551.0,154120.0,800283.0
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,13003.0,147887.0,821104.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,11797.0,134171.0,754292.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,15324.0,174285.0,845297.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,17759.0,201979.0,801255.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,20893.0,237623.0,786199.0
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,20515.0,233324.0,762166.0
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,18799.0,213807.0,703308.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,20354.0,231493.0,743710.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,19479.0,221541.0,758144.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,14742.0,167666.0,618378.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,19881.0,226113.0,756583.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,23607.0,268490.0,857282.0
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,20936.0,238112.0,808007.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,20033.0,227842.0,770738.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,20332.0,231243.0,816796.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,19848.0,225738.0,374664.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,18886.0,214797.0,739514.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,18320.0,208359.0,670921.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,19555.0,222406.0,711512.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,18970.0,215752.0,689210.0
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,14003.0,159261.0,615994.0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,13286.0,151106.0,545028.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,15456.0,175786.0,719516.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,19953.0,226932.0,819984.0
