measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2014-10-01,,,,3117.639,29649.0,29649.0
2014-11-01,,,,3167.447,30122.0,30122.0
2014-12-01,,,,4159.765,39559.0,39559.0
2015-01-01,,,,4034.988,37602.0,37602.0
2015-02-01,,,,3446.22,32115.0,32115.0
2015-03-01,,,,3455.111,32198.0,32198.0
2015-04-01,,,,3473.989,32374.0,32374.0
2015-05-01,,,,3282.824,30593.0,30593.0
2015-06-01,,,,3773.986,35170.0,35170.0
2015-07-01,,,,2909.971,27118.0,27118.0
2015-08-01,,,,2783.697,25941.0,25941.0
2015-09-01,,,,2327.441,21689.0,21689.0
2015-10-01,,,,2751.471,25641.0,25641.0
2015-11-01,,,,2535.778,23631.0,23631.0
2015-12-01,,,,3288.524,30646.0,30646.0
2016-01-01,,,,4345.33,40116.0,40116.0
2016-02-01,,,,4149.212,38306.0,38306.0
2016-03-01,,,,4372.109,40363.0,40363.0
2016-04-01,,,,4236.994,39116.0,39116.0
2016-05-01,,,,3416.303,31539.0,31539.0
2016-06-01,,,,2650.483,24469.0,24469.0
2016-07-01,,,,3042.123,28085.0,28085.0
2016-08-01,,,,2576.719,23788.0,23788.0
2016-09-01,,,,2610.491,24100.0,24100.0
2016-10-01,,,,2386.361,22031.0,22031.0
2016-11-01,,,,2508.632,23160.0,23160.0
2016-12-01,,,,2993.243,27634.0,27634.0
2017-01-01,,,,3104.529,28602.0,28602.0
2017-02-01,,,,3090.111,28469.0,28469.0
2017-03-01,,,,3806.858,35073.0,35073.0
2017-04-01,,,,5294.587,48779.0,48779.0
2017-05-01,,,,5539.338,51034.0,51034.0
2017-06-01,,,,4232.169,38991.0,38991.0
2017-07-01,,,,3524.347,32470.0,32470.0
2017-08-01,,,,2216.491,20421.0,20421.0
2017-09-01,,,,1671.722,15402.0,15402.0
2017-10-01,,,,1608.56,14820.0,14820.0
2017-11-01,,,,3808.231,35085.0,35085.0
2017-12-01,,,,2950.057,27179.0,27179.0
2018-01-01,,,,3046.762,27738.0,27738.0
2018-02-01,,,,3260.499,29684.0,29684.0
2018-03-01,,,,3613.164,32894.0,32894.0
2018-04-01,,,,4331.725,39436.0,39436.0
2018-05-01,,,,3535.303,32185.0,32185.0
2018-06-01,,,,1612.947,14684.0,14684.0
2018-07-01,,,,1393.867,12690.0,12690.0
2018-08-01,,,,1921.338,17492.0,17492.0
2018-09-01,,,,1843.222,16781.0,16781.0
2018-10-01,,,,2747.277,25011.0,25011.0
2018-11-01,,,,3780.845,34421.0,34421.0
2018-12-01,,,,4050.051,36872.0,36872.0
2019-01-01,,,,4364.18,38863.0,38863.0
2019-02-01,,,,4053.376,36095.0,36095.0
2019-03-01,,,,4278.168,38097.0,38097.0
2019-04-01,,,,4638.838,41309.0,41309.0
2019-05-01,,,,4928.007,43884.0,43884.0
2019-06-01,,,,3510.921,31265.0,31265.0
2019-07-01,,,,2132.092,18986.0,18986.0
2019-08-01,,,,1199.154,10678.0,10678.0
2019-09-01,,,,1065.65,9490.0,9490.0
2019-10-01,,,,2325.751,20711.0,20711.0
2019-11-01,,,,2836.546,25259.0,25259.0
2019-12-01,,,,3847.317,34260.0,34260.0
2020-01-01,,,,4149.013,36374.0,36374.0
2020-02-01,,,,3536.037,31000.0,31000.0
2020-03-01,,,,4825.38,42304.0,42304.0
2020-04-01,,,,5206.316,45644.0,45644.0
2020-05-01,,,,4691.817,41133.0,41133.0
2020-06-01,,,,1552.932,13615.0,13615.0
2020-07-01,,,,1972.491,17293.0,17293.0
2020-08-01,,,,1066.443,9350.0,9350.0
2020-09-01,,,,607.079,5322.0,5322.0
2020-10-01,,,,2257.898,19795.0,19795.0
2020-11-01,,,,2662.421,23341.0,23341.0
2020-12-01,,,,3591.173,31484.0,31484.0
2021-01-01,,,,3200.708,28307.0,28307.0
2021-02-01,,,,2055.908,18182.0,18182.0
2021-03-01,,,,3166.556,28005.0,28005.0
2021-04-01,,,,3906.664,34551.0,34551.0
2021-05-01,,,,2997.02,26506.0,26506.0
2021-06-01,,,,1328.241,11747.0,11747.0
2021-07-01,,,,2645.505,23397.0,23397.0
2021-08-01,,,,1852.22,16381.0,16381.0
2021-09-01,,,,2132.748,18862.0,18862.0
2021-10-01,,,,2288.868,20243.0,20243.0
2021-11-01,,,,3232.907,28592.0,28592.0
2021-12-01,,,,3172.655,28059.0,28059.0
2022-01-01,,,,3055.809,10426.0,10426.0
2022-02-01,,,,3779.491,12896.0,12896.0
2022-03-01,,,,5543.231,18914.0,18914.0
2022-04-01,,,,6348.986,21663.0,21663.0
2022-05-01,,,,4626.794,15787.0,15787.0
2022-06-01,,,,2181.942,7445.0,7445.0
2022-07-01,,,,1242.008,4238.0,4238.0
2022-08-01,,,,1088.417,3714.0,3714.0
2022-09-01,,,,2033.801,6939.0,6939.0
2022-10-01,,,,2665.532,9095.0,9095.0
2022-11-01,,,,2960.454,10101.0,10101.0
2022-12-01,,,,4284.535,14619.0,14619.0
2023-01-01,0.0,0.0,0.0,4180.0,14262.0,14262.0
2023-02-01,0.0,0.0,0.0,3985.0,13597.0,13597.0
2023-03-01,0.0,0.0,0.0,4733.0,16149.0,16149.0
2023-04-01,-19.0,0.0,0.0,4373.0,14921.0,14921.0
2023-05-01,-134.0,0.0,0.0,4843.0,16524.0,16524.0
2023-06-01,-105.0,0.0,0.0,3352.0,11437.0,11437.0
2023-07-01,-54.0,0.0,0.0,3469.0,11836.0,11836.0
2023-08-01,-107.0,0.0,0.0,3441.0,11741.0,11741.0
2023-09-01,-107.0,0.0,0.0,3405.0,11618.0,11618.0
2023-10-01,-120.0,0.0,0.0,3557.0,12136.0,12136.0
2023-11-01,-112.0,0.0,0.0,2843.0,9700.0,9700.0
2023-12-01,-113.0,0.0,0.0,3995.0,13631.0,13631.0
2024-01-01,-134.0,0.0,0.0,3328.0,11355.0,11355.0
2024-02-01,-139.0,0.0,0.0,3822.0,13041.0,13041.0
2024-03-01,-168.0,0.0,0.0,5238.0,17872.0,17872.0
2024-04-01,-190.0,0.0,0.0,4816.0,16432.0,16432.0
2024-05-01,-210.0,0.0,0.0,4610.0,15729.0,15729.0
2024-06-01,-205.0,0.0,0.0,2719.0,9277.0,9277.0
2024-07-01,-207.0,0.0,0.0,1742.0,5944.0,5944.0
2024-08-01,-182.0,0.0,0.0,2888.0,9854.0,9854.0
2024-09-01,-98.0,0.0,0.0,655.0,2235.0,2235.0
2024-10-01,-124.0,0.0,0.0,1078.0,3678.0,3678.0
2024-11-01,-125.0,0.0,0.0,1023.0,3490.0,3490.0
2024-12-01,-137.0,0.0,0.0,2960.0,10100.0,10100.0
