measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Gases Generation,Other Gases Quantity Consumed For Electricity,Other Gases Total Fuel Consumed
2006-01-01,1927.8026,8919.36,115770.64,9285.3974,42960.73,557617.47
2006-02-01,2017.0008,9332.05,113425.1,9263.129200000001,42857.71,520907.77
2006-03-01,1575.17372,7287.85,83495.98,11405.36628,52769.19,604569.67
2006-04-01,1130.18414,5229.02,73531.62,8099.36586,37473.32,526957.91
2006-05-01,904.28888,4183.87,49662.83,9422.33112,43594.28,517467.02
2006-06-01,980.61736,4537.02,55434.53,8379.88264,38771.19,473716.69
2006-07-01,1032.85461,4778.71,61342.58,7825.18539,36204.77,464747.98
2006-08-01,1100.15371,5090.08,65311.63,7731.69629,35772.23,458999.18
2006-09-01,1252.00159,5792.63,73681.78,7513.88841,34764.5,442201.23
2006-10-01,869.64405,4023.58,66777.02,7063.01595,32678.44,542345.1
2006-11-01,635.20679,2938.91,33531.66,11849.66321,54824.82,625526.82
2006-12-01,934.86738,4325.35,48348.15,12392.93262,57338.36,640920.22
2007-01-01,1929.131,8926.0,109156.0,10095.959,46711.0,571261.0
2007-02-01,3739.8230000000003,17303.0,257972.0,5648.807000000001,26135.0,389653.0
2007-03-01,1415.37,6548.0,84251.0,3999.17,18503.0,238053.0
2007-04-01,2237.6980000000003,10353.0,149617.0,7548.6320000000005,34925.0,504718.0
2007-05-01,844.6170000000001,3908.0,75919.0,5308.093,24559.0,477124.0
2007-06-01,1019.868,4719.0,66454.0,6850.712,31696.0,446392.0
2007-07-01,990.613,4583.0,66633.0,6665.597000000001,30840.0,448359.0
2007-08-01,1315.0040000000001,6084.0,87236.0,6227.716,28814.0,413140.0
2007-09-01,1228.842,5685.0,85834.0,5978.258000000001,27659.0,417577.0
2007-10-01,802.8140000000001,3714.0,56224.0,7887.416,36492.0,552389.0
2007-11-01,854.283,3952.0,50714.0,9990.317000000001,46222.0,593074.0
2007-12-01,3159.143,14617.0,178052.0,9310.207,43075.0,524730.0
2008-01-01,2668.164,12345.0,159793.0,9336.556,43197.0,559156.0
2008-02-01,2578.904,11932.0,151336.0,8777.856,40612.0,515103.0
2008-03-01,1997.698,9243.0,131503.0,8727.592,40380.0,574514.0
2008-04-01,999.518,4624.0,74296.0,6631.472000000001,30682.0,492926.0
2008-05-01,796.15,3684.0,59436.0,6539.96,30258.0,488239.0
2008-06-01,876.1840000000001,4054.0,53742.0,7733.536,35781.0,474350.0
2008-07-01,446.482,2066.0,26602.0,8304.858,38424.0,494813.0
2008-08-01,962.4540000000001,4453.0,60204.0,7343.656,33977.0,459367.0
2008-09-01,538.179,2490.0,37049.0,6789.201,31412.0,467376.0
2008-10-01,272.58500000000004,1261.0,12493.0,15417.165,71331.0,706604.0
2008-11-01,477.678,2210.0,29187.0,9629.722,44554.0,588388.0
2008-12-01,1265.471,5855.0,81852.0,9454.969000000001,43745.0,611557.0
2009-01-01,1922.96,8897.0,123855.0,8902.24,41188.0,573380.0
2009-02-01,902.778,4177.0,60635.0,7951.3820000000005,36789.0,534055.0
2009-03-01,1731.6380000000001,8012.0,88314.0,11267.332,52131.0,574637.0
2009-04-01,4566.669,21129.0,269319.0,4341.811000000001,20088.0,256058.0
2009-05-01,4600.45,21285.0,262343.0,2545.54,11777.0,145161.0
2009-06-01,2754.792,12746.0,166936.0,3177.728,14702.0,192565.0
2009-07-01,2518.967,11654.0,165550.0,3739.473,17301.0,245763.0
2009-08-01,3186.4840000000004,14743.0,209682.0,3025.396,13998.0,199082.0
2009-09-01,1186.433,5489.0,77711.0,4151.477,19208.0,271922.0
2009-10-01,1217.38,5632.0,65026.0,7555.3,34956.0,403564.0
2009-11-01,1804.036,8347.0,122483.0,6404.104,29630.0,434801.0
2009-12-01,2677.375,12387.0,191880.0,5838.255,27012.0,418412.0
2010-01-01,4360.618,20175.0,240490.0,7954.502,36803.0,438694.0
2010-02-01,3323.2400000000002,15376.0,169494.0,8686.33,40189.0,443026.0
2010-03-01,1619.631,7494.0,81549.0,10420.979,48215.0,524700.0
2010-04-01,1030.8110000000001,4769.0,55061.0,8420.869,38961.0,449799.0
2010-05-01,754.3760000000001,3490.0,53044.0,5756.264,26632.0,404750.0
2010-06-01,920.9730000000001,4261.0,49032.0,6987.437,32329.0,372005.0
2010-07-01,1062.267,4915.0,64447.0,6349.503000000001,29377.0,385219.0
2010-08-01,1032.999,4779.0,57617.0,7261.4710000000005,33597.0,405016.0
2010-09-01,164.917,763.0,27396.0,2238.743,10358.0,371902.0
2010-10-01,56.624,262.0,27477.0,924.046,4275.0,448400.0
2010-11-01,280.346,1297.0,41922.0,3374.614,15613.0,504623.0
2010-12-01,1748.757,8091.0,115855.0,8067.643,37327.0,534479.0
2011-01-01,2075.203,9313.0,119864.0,9191.797,41252.0,530918.0
2011-02-01,2202.589,9885.0,123278.0,8304.411,37269.0,464794.0
2011-03-01,2204.319,9893.0,115437.0,9496.681,42620.0,497327.0
2011-04-01,1365.691,6129.0,77551.0,7559.309,33925.0,429259.0
2011-05-01,489.204,2195.0,55915.0,3590.796,16115.0,410423.0
2011-06-01,950.582,4266.0,77869.0,4286.418,19237.0,351131.0
2011-07-01,1492.566,6698.0,75821.0,7795.434,34985.0,396000.0
2011-08-01,1099.489,4934.0,60403.0,6825.511,30632.0,374977.0
2011-09-01,1271.505,5706.0,66356.0,7165.495,32158.0,373946.0
2011-10-01,868.104,3896.0,34556.0,13093.896,58764.0,521219.0
2011-11-01,1374.833,6170.0,61162.0,11893.167,53375.0,529090.0
2011-12-01,3230.082,14496.0,154972.0,10732.918,48168.0,514941.0
2012-01-01,2275.364,10212.0,101230.0,12239.636,54930.0,544536.0
2012-02-01,1523.631,6838.0,68839.0,12337.369,55369.0,557410.0
2012-03-01,1479.47,6640.0,71731.0,10322.53,46326.0,500482.0
2012-04-01,1083.451,4862.0,63104.0,7948.549,35672.0,462949.0
2012-05-01,736.447,3305.0,43089.0,7728.553,34685.0,452190.0
2012-06-01,976.012,4380.0,51699.0,7762.988,34839.0,411200.0
2012-07-01,1197.56,5375.0,54913.0,9887.44,44374.0,453380.0
2012-08-01,1130.468,5073.0,59388.0,7655.532,34357.0,402177.0
2012-09-01,1201.734,5393.0,59839.0,8480.266,38059.0,422268.0
2012-10-01,1489.431,6684.0,72196.0,9805.569,44006.0,475295.0
2012-11-01,1190.546,5343.0,62531.0,9545.454,42839.0,501358.0
2012-12-01,840.552,3772.0,40510.0,12505.448,56123.0,602690.0
2013-01-01,1364.901,6126.0,66252.0,12217.099,54829.0,593016.0
2013-02-01,1183.936,5313.0,58813.0,11345.064,50915.0,563572.0
2013-03-01,1027.588,4612.0,48116.0,14034.412,62985.0,657153.0
2013-04-01,353.768,1588.0,15381.0,14345.232,64380.0,623705.0
2013-05-01,253.912,1140.0,11626.0,13905.088,62405.0,636697.0
2013-06-01,78.799,354.0,3857.0,11448.201,51378.0,560357.0
2013-07-01,105.224,472.0,4234.0,15578.776,69916.0,626807.0
2013-08-01,102.877,462.0,5194.0,12071.123,54174.0,609496.0
2013-09-01,50.582,227.0,2318.0,12764.418,57285.0,585069.0
2013-10-01,61.989,278.0,2891.0,13460.011,60407.0,627712.0
2013-11-01,99.9,448.0,4581.0,14820.1,66511.0,679516.0
2013-12-01,796.176,3573.0,45060.0,11077.824,49716.0,626961.0
2014-01-01,1197.771,5375.0,58743.0,14982.229,67239.0,734788.0
2014-02-01,1160.208,5207.0,67158.0,10860.792,48742.0,628667.0
2014-03-01,595.49,2672.0,31494.0,13838.51,62106.0,731892.0
2014-04-01,438.57,1968.0,22236.0,12747.43,57209.0,646314.0
2014-05-01,888.189,3986.0,48060.0,9453.811,42428.0,511551.0
2014-06-01,130.627,586.0,7439.0,10052.373,45114.0,572500.0
2014-07-01,224.033,1005.0,9358.0,15488.967,69513.0,646976.0
2014-08-01,232.784,1045.0,9295.0,16262.216,72983.0,649320.0
2014-09-01,253.499,1138.0,9389.0,17076.501,76638.0,632504.0
2014-10-01,151.493,680.0,7340.0,14310.507,64224.0,693337.0
2014-11-01,726.007,3258.0,32409.0,16752.993,75186.0,747854.0
2014-12-01,902.212,4049.0,44025.0,15360.788,68938.0,749561.0
2015-01-01,2248.969,10093.0,109665.0,14357.031,64433.0,700083.0
2015-02-01,3137.059,14079.0,173872.0,9210.941,41338.0,510519.0
2015-03-01,1781.815,7997.0,87992.0,12453.185,55889.0,614979.0
2015-04-01,1027.961,4613.0,39746.0,15289.039,68616.0,591144.0
2015-05-01,717.257,3219.0,42310.0,8471.743,38020.0,499740.0
2015-06-01,320.199,1437.0,24773.0,6355.801,28524.0,491722.0
2015-07-01,234.154,1051.0,14688.0,9477.846,42536.0,594519.0
2015-08-01,235.117,1055.0,12984.0,11041.883,49555.0,609779.0
2015-09-01,929.71,4172.0,46139.0,10354.29,46469.0,513854.0
2015-10-01,2969.401,13326.0,120707.0,13253.599,59481.0,538764.0
2015-11-01,2996.984,13450.0,139437.0,9815.016,44049.0,456650.0
2015-12-01,3951.16,17732.0,170733.0,9777.84,43882.0,422508.0
2016-01-01,5946.526,26012.0,281960.0,8074.474,35321.0,382859.0
2016-02-01,5390.232,23579.0,227805.0,9059.768,39631.0,382889.0
2016-03-01,2633.608,11520.0,136503.0,8790.392,38452.0,455616.0
2016-04-01,2585.886,11312.0,129665.0,8366.114,36596.0,419504.0
2016-05-01,3173.071,13880.0,142609.0,8658.929,37877.0,389163.0
2016-06-01,1371.219,5998.0,74055.0,8066.781,35287.0,435660.0
2016-07-01,2917.501,12762.0,94439.0,16441.499,71921.0,532206.0
2016-08-01,3431.807,15012.0,115592.0,14707.193,64335.0,495377.0
2016-09-01,2176.573,9521.0,107851.0,7202.427,31506.0,356888.0
2016-10-01,4482.628,19609.0,181043.0,9899.372,43303.0,399813.0
2016-11-01,5116.083,22380.0,185093.0,12478.917,54587.0,451470.0
2016-12-01,4798.581,20991.0,212579.0,9027.419,39489.0,399919.0
2017-01-01,3497.912,15301.0,157305.0,10734.088,46955.0,482723.0
2017-02-01,1728.996,7563.0,79152.0,11217.004,49067.0,513508.0
2017-03-01,1102.611,4823.0,53865.0,12274.389,53693.0,599630.0
2017-04-01,236.508,1035.0,15374.0,9076.492,39704.0,590002.0
2017-05-01,547.786,2396.0,28799.0,10217.214,44694.0,537150.0
2017-06-01,369.46,1616.0,18039.0,9541.54,41738.0,465879.0
2017-07-01,800.313,3501.0,39745.0,9431.687,41258.0,468390.0
2017-08-01,853.489,3733.0,50605.0,8012.511,35050.0,475076.0
2017-09-01,280.749,1228.0,19364.0,6820.251,29834.0,470411.0
2017-10-01,628.091,2747.0,76566.0,4228.909,18499.0,515516.0
2017-11-01,1613.289,7057.0,74972.0,11807.711,51651.0,548720.0
2017-12-01,1827.652,7995.0,86903.0,12395.348,54222.0,589387.0
2018-01-01,3091.28,13522.0,163685.0,11140.72,48734.0,589907.0
2018-02-01,2426.094,10613.0,116906.0,10519.906,46018.0,506924.0
2018-03-01,2583.861,11303.0,135878.0,10793.139,47213.0,567581.0
2018-04-01,1133.01,4956.0,80568.0,8180.99,35787.0,581745.0
2018-05-01,666.877,2917.0,42304.0,10097.123,44168.0,640523.0
2018-06-01,573.301,2508.0,39767.0,9337.699,40846.0,647707.0
2018-07-01,130.708,572.0,9104.0,10101.292,44187.0,703594.0
2018-08-01,184.49,807.0,15123.0,8681.51,37976.0,711620.0
2018-09-01,530.685,2321.0,50409.0,6570.315,28741.0,624100.0
2018-10-01,299.131,1309.0,37813.0,4557.869,19938.0,576161.0
2018-11-01,1393.442,6095.0,74181.0,12027.558,52613.0,640294.0
2018-12-01,2015.602,8817.0,102501.0,12207.398,53400.0,620794.0
2019-01-01,10228.064,44741.0,568177.0,4413.936,19308.0,245198.0
2019-02-01,9954.992,43547.0,642875.0,2193.008,9593.0,141620.0
2019-03-01,13049.463,57083.0,603909.0,1099.537,4810.0,50885.0
2019-04-01,818.646,3581.0,69229.0,7357.354,32184.0,622180.0
2019-05-01,75.981,332.0,5410.0,9861.019,43136.0,702069.0
2019-06-01,174.797,765.0,8681.0,12445.203,54440.0,618060.0
2019-07-01,2085.837,9124.0,81736.0,12735.163,55708.0,499040.0
2019-08-01,1478.267,6466.0,57382.0,13000.733,56870.0,504653.0
2019-09-01,1096.745,4798.0,62542.0,7709.255,33723.0,439618.0
2019-10-01,1368.943,5988.0,131343.0,4401.057,19252.0,422257.0
2019-11-01,2908.921,12725.0,160373.0,9018.079,39448.0,497180.0
2019-12-01,3245.659,14198.0,157754.0,11085.341,48491.0,538798.0
2020-01-01,2354.186,10298.0,121545.0,10751.814,47032.0,555107.0
2020-02-01,3693.399,16156.0,181880.0,9282.601,40605.0,457118.0
2020-03-01,2634.409,11524.0,125152.0,10627.591,46489.0,504882.0
2020-04-01,3390.42,14831.0,173924.0,8139.58,35605.0,417549.0
2020-05-01,2189.368,9577.0,143652.0,6228.632,27246.0,408682.0
2020-06-01,1392.204,6090.0,136399.0,3263.796,14277.0,319765.0
2020-07-01,1642.93,7187.0,128251.0,4019.07,17581.0,313738.0
2020-08-01,683.197,2989.0,51310.0,4460.803,19513.0,335017.0
2020-09-01,1061.89,4645.0,66611.0,4984.11,21802.0,312645.0
2020-10-01,1700.922,7440.0,92913.0,6468.078,28294.0,353320.0
2020-11-01,2318.553,10142.0,161619.0,4856.447,21244.0,338527.0
2020-12-01,2945.17,12883.0,132580.0,11040.83,48297.0,497016.0
2021-01-01,1813.76,7934.0,84028.0,11292.24,49396.0,523148.0
2021-02-01,2308.489,10098.0,95621.0,10667.511,46664.0,441865.0
2021-03-01,1072.656,4692.0,43544.0,12189.344,53321.0,494819.0
2021-04-01,560.625,2452.0,22488.0,10969.375,47984.0,440017.0
2021-05-01,196.053,858.0,11123.0,8221.947,35966.0,466458.0
2021-06-01,334.147,1462.0,41620.0,4321.853,18905.0,538306.0
2021-07-01,1720.071,7524.0,127757.0,3941.929,17243.0,292784.0
2021-08-01,335.993,1470.0,37156.0,4808.007,21032.0,531694.0
2021-09-01,415.129,1816.0,37083.0,5630.871,24631.0,503004.0
2021-10-01,678.048,2966.0,45043.0,7490.952,32768.0,497628.0
2021-11-01,635.444,2780.0,47499.0,6539.556,28606.0,488825.0
2021-12-01,1373.853,6010.0,49789.0,12612.147,55170.0,457071.0
2022-01-01,0.0,0.0,65496.0,0.0,0.0,453015.0
2022-02-01,1907.464,8344.0,80118.0,11074.536,48444.0,465159.0
2022-03-01,1189.346,5203.0,50663.0,11799.654,51616.0,502633.0
2022-04-01,463.0,2025.0,19480.0,13720.0,60016.0,577233.0
2022-05-01,348.994,1527.0,18249.0,9498.006,41548.0,496655.0
2022-06-01,143.782,629.0,13500.0,4363.218,19086.0,409670.0
2022-07-01,2299.665,10060.0,127757.0,5207.335,22779.0,289291.0
2022-08-01,1062.929,4650.0,37156.0,14432.071,63131.0,504487.0
2022-09-01,1037.954,4540.0,37083.0,13881.046,60721.0,495934.0
2022-10-01,784.429,3431.0,45000.0,8639.571,37793.0,495618.0
2022-11-01,1133.155,4957.0,47499.0,11637.845,50908.0,487828.0
2022-12-01,1321.078,5779.0,49789.0,12102.922,52943.0,456138.0
2023-01-01,2361.757,10331.0,94649.0,11701.243,51185.0,468936.0
2023-02-01,1890.737,8271.0,80351.0,10862.263,47515.0,461615.0
2023-03-01,1170.108,5118.0,55245.0,12592.892,55086.0,594557.0
2023-04-01,284.357,1244.0,15817.0,9595.643,41975.0,533758.0
2023-05-01,0.0,0.0,0.0,6644.0,29063.0,531270.0
2023-06-01,0.0,0.0,0.0,7723.0,33783.0,514011.0
2023-07-01,0.0,0.0,0.0,13868.0,60664.0,573947.0
2023-08-01,0.0,0.0,0.0,13278.0,58083.0,579957.0
2023-09-01,0.0,0.0,0.0,11090.0,48512.0,555229.0
2023-10-01,0.0,0.0,0.0,3202.0,14007.0,565660.0
2023-11-01,0.0,0.0,0.0,2796.0,12231.0,411927.0
2023-12-01,30.451,133.0,52445.0,278.549,1218.0,479748.0
2024-01-01,1254.842,5489.0,94010.0,6801.158,29751.0,509529.0
2024-02-01,2117.131,9261.0,104414.0,9419.869,41206.0,464575.0
2024-03-01,1695.839,7418.0,80212.0,11205.161,49015.0,529995.0
2024-04-01,1493.483,6533.0,70652.0,10580.517,46283.0,500532.0
2024-05-01,0.0,0.0,0.0,11162.0,48827.0,546622.0
2024-06-01,320.579,1402.0,21405.0,8294.421,36283.0,553829.0
2024-07-01,0.0,0.0,0.0,9967.0,43599.0,596965.0
2024-08-01,0.0,0.0,0.0,5871.0,25682.0,544245.0
2024-09-01,0.0,0.0,0.0,8479.0,37090.0,459177.0
2024-10-01,295.167,1291.0,15245.0,10056.833,43992.0,519423.0
2024-11-01,0.0,0.0,0.0,11575.0,50633.0,501676.0
2024-12-01,2408.872,10537.0,155510.0,7943.128,34746.0,512787.0
