measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-06-01,6.213,35.39,78.47,,,,527.432,3905.07,35685.21
2005-07-01,11.766,67.03,148.6,,,,584.134,4324.88,39521.57
2005-08-01,10.421000000000001,59.37,131.6,,,,601.41,4452.8,40690.43
2005-09-01,5.799,33.03,73.25,,,,566.14,4191.66,38304.09
2005-10-01,8.13,46.32,102.66,,,,539.628,3995.37,36510.43
2005-11-01,5.474,31.19,69.14,,,,549.5790000000001,4069.04,37183.63
2005-12-01,14.995,85.42,189.37,,,,593.714,4395.81,40169.69
2006-01-01,48.785,277.92,492.31,,,,613.585,4542.94,23076.69
2006-02-01,61.154,348.39,617.1,,,,557.0360000000001,4124.25,20949.88
2006-03-01,111.349,634.34,1123.6,,,,603.317,4466.91,22690.5
2006-04-01,52.796,300.77,532.73,,,,557.634,4128.68,20972.35
2006-05-01,36.465,207.74,367.95,,,,556.299,4118.79,20922.16
2006-06-01,35.107,200.0,354.26,,,,555.36,4111.84,20886.88
2006-07-01,43.519000000000005,247.93,439.12,,,,596.7660000000001,4418.41,22444.1
2006-08-01,46.309000000000005,263.82,467.28,,,,631.929,4678.75,23766.61
2006-09-01,27.074,154.23,273.19,,,,591.34,4378.24,22240.05
2006-10-01,26.956,153.56,272.03,,,,614.104,4546.78,23096.22
2006-11-01,43.804,249.55,442.04,,,,600.529,4446.27,22585.64
2006-12-01,48.801,278.01,492.42,,,,622.5020000000001,4608.96,23412.06
2007-01-01,13.715,77.0,220.0,,,,599.163,1183.0,1183.0
2007-02-01,23.172,132.0,374.0,,,,568.753,1127.0,1127.0
2007-03-01,10.965,61.0,176.0,,,,593.525,1176.0,1176.0
2007-04-01,5.221,28.0,83.0,,,,467.21200000000005,924.0,924.0
2007-05-01,7.312,44.0,116.0,,,,572.528,1134.0,1134.0
2007-06-01,2.5820000000000003,17.0,44.0,,,,628.052,1239.0,1239.0
2007-07-01,2.3080000000000003,11.0,39.0,,,,627.1220000000001,1239.0,1239.0
2007-08-01,3.35,17.0,55.0,,,,648.282,1281.0,1281.0
2007-09-01,3.3240000000000003,17.0,55.0,,,,616.18,1218.0,1218.0
2007-10-01,3.0210000000000004,17.0,50.0,,,,528.014,1043.0,1043.0
2007-11-01,3.055,17.0,50.0,,,,589.847,1169.0,1169.0
2007-12-01,13.115,77.0,209.0,,,,630.683,1246.0,1246.0
2008-01-01,7.928,44.0,44.0,,,,507.09400000000005,3661.0,3661.0
2008-02-01,4.618,26.0,28.0,,,,438.17600000000004,3164.0,3164.0
2008-03-01,3.951,22.0,22.0,,,,456.139,3290.0,3290.0
2008-04-01,3.302,17.0,17.0,,,,419.699,3031.0,3031.0
2008-05-01,2.721,15.0,17.0,,,,410.52500000000003,2961.0,2961.0
2008-06-01,3.926,22.0,22.0,,,,392.869,2835.0,2835.0
2008-07-01,2.5820000000000003,15.0,17.0,,,,465.728,3360.0,3360.0
2008-08-01,1.389,6.0,6.0,,,,488.814,3528.0,3528.0
2008-09-01,1.7870000000000001,10.0,11.0,,,,415.41200000000003,2996.0,2996.0
2008-10-01,2.1470000000000002,11.0,11.0,,,,364.952,2632.0,2632.0
2008-11-01,2.746,16.0,17.0,,,,445.451,3213.0,3213.0
2008-12-01,6.023000000000001,33.0,33.0,,,,442.841,3199.0,3199.0
2009-01-01,33.279,186.0,319.0,,,,23.232000000000003,167.0,15380.0
2009-02-01,8.168000000000001,46.0,75.0,,,,21.193,152.0,14040.0
2009-03-01,6.636,37.0,64.0,,,,19.813000000000002,142.0,13120.0
2009-04-01,2.934,16.0,29.0,,,,17.578,126.0,11640.0
2009-05-01,1.6680000000000001,9.0,17.0,,,,15.612,112.0,10340.0
2009-06-01,1.078,6.0,12.0,,,,19.473000000000003,140.0,12900.0
2009-07-01,1.494,8.0,12.0,,,,19.649,141.0,13010.0
2009-08-01,4.91,27.0,46.0,,,,22.975,165.0,15220.0
2009-09-01,2.103,12.0,17.0,,,,19.499000000000002,140.0,12910.0
2009-10-01,3.612,20.0,35.0,,,,18.142,130.0,12010.0
2009-11-01,1.094,6.0,12.0,,,,22.901,164.0,15170.0
2009-12-01,2.024,11.0,17.0,,,,22.933,165.0,15190.0
2010-01-01,1.83,10.0,12.0,,,,0.0,0.0,11820.0
2010-02-01,4.074,23.0,41.0,,,,0.0,0.0,11963.0
2010-03-01,1.459,8.0,17.0,,,,0.0,0.0,12773.0
2010-04-01,1.122,6.0,12.0,,,,0.0,0.0,10268.0
2010-05-01,2.363,13.0,23.0,,,,0.0,0.0,11168.0
2010-06-01,2.732,15.0,29.0,,,,0.0,0.0,12285.0
2010-07-01,8.309000000000001,46.0,87.0,,,,0.0,0.0,12825.0
2010-08-01,7.131,40.0,75.0,,,,0.0,0.0,12705.0
2010-09-01,2.681,15.0,29.0,,,,0.0,0.0,10515.0
2010-10-01,2.66,15.0,29.0,,,,0.0,0.0,8415.0
2010-11-01,7.57,42.0,75.0,,,,0.0,0.0,9668.0
2010-12-01,6.069,34.0,64.0,,,,0.0,0.0,11918.0
2011-01-01,20.505,114.0,150.0,,,,0.0,0.0,17748.0
2011-02-01,8.931,50.0,66.0,,,,0.0,0.0,15804.0
2011-03-01,5.767,32.0,42.0,,,,0.0,0.0,15957.0
2011-04-01,4.469,25.0,30.0,,,,0.0,0.0,11016.0
2011-05-01,1.911,11.0,12.0,,,,0.0,0.0,12906.0
2011-06-01,2.714,15.0,18.0,,,,0.0,0.0,16335.0
2011-07-01,7.673,43.0,54.0,,,,0.0,0.0,16416.0
2011-08-01,3.323,19.0,24.0,,,,0.0,0.0,16425.0
2011-09-01,1.644,9.0,12.0,,,,0.0,0.0,14868.0
2011-10-01,5.62,31.0,42.0,,,,0.0,0.0,11304.0
2011-11-01,1.213,6.0,6.0,,,,0.0,0.0,15309.0
2011-12-01,2.23,12.0,18.0,,,,0.0,0.0,15912.0
2012-01-01,14.878,60.0,60.0,,,,0.0,0.0,12420.0
2012-02-01,5.168,24.0,24.0,,,,0.0,0.0,12402.0
2012-03-01,2.343,12.0,12.0,,,,0.0,0.0,12771.0
2012-04-01,3.316,12.0,12.0,,,,0.0,0.0,9297.0
2012-05-01,2.633,12.0,12.0,,,,0.0,0.0,9792.0
2012-06-01,7.194,30.0,30.0,,,,0.0,0.0,13419.0
2012-07-01,9.514,42.0,42.0,,,,0.0,0.0,14571.0
2012-08-01,3.16,12.0,12.0,,,,0.0,0.0,14760.0
2012-09-01,1.141,6.0,6.0,,,,0.0,0.0,14481.0
2012-10-01,3.624,18.0,18.0,,,,0.0,0.0,13599.0
2012-11-01,9.938,42.0,42.0,,,,0.0,0.0,14049.0
2012-12-01,3.091,12.0,12.0,,,,0.0,0.0,15219.0
2013-01-01,45.392,253.0,306.0,,,,,,
2013-02-01,45.541,254.0,318.0,,,,,,
2013-03-01,2.417,13.0,18.0,,,,,,
2013-04-01,13.894,78.0,94.0,,,,,,
2013-05-01,5.388,30.0,35.0,,,,,,
2013-06-01,3.946,22.0,29.0,,,,,,
2013-07-01,18.322,102.0,129.0,,,,,,
2013-08-01,6.485,36.0,47.0,,,,,,
2013-09-01,0.845,5.0,6.0,,,,,,
2013-10-01,3.352,19.0,24.0,,,,,,
2013-11-01,2.611,15.0,18.0,,,,,,
2013-12-01,39.807,222.0,276.0,,,,,,
2014-01-01,67.362,376.0,441.0,,,,,,
2014-02-01,7.824,44.0,53.0,,,,,,
2014-03-01,33.661,188.0,229.0,,,,,,
2014-04-01,0.834,5.0,6.0,,,,,,
2014-05-01,1.34,7.0,12.0,,,,,,
2014-06-01,1.426,8.0,12.0,,,,,,
2014-07-01,0.497,3.0,6.0,,,,,,
2014-08-01,4.997,28.0,35.0,,,,,,
2014-09-01,0.37,0.0,0.0,,,,,,
2014-10-01,0.703,4.0,6.0,,,,,,
2014-11-01,1.364,8.0,12.0,,,,,,
2014-12-01,0.622,3.0,6.0,,,,,,
2015-01-01,6.701,37.0,53.0,,,,,,
2015-02-01,20.021,112.0,135.0,,,,,,
2015-03-01,1.364,8.0,12.0,,,,,,
2015-04-01,0.056,0.0,0.0,,,,,,
2015-05-01,0.149,0.0,0.0,,,,,,
2015-06-01,0.09,0.0,0.0,,,,,,
2015-07-01,0.749,4.0,6.0,,,,,,
2015-08-01,0.37,0.0,0.0,,,,,,
2015-09-01,0.738,4.0,6.0,,,,,,
2015-10-01,0.411,0.0,0.0,,,,,,
2015-11-01,0.111,0.0,0.0,,,,,,
2015-12-01,0.24,0.0,0.0,,,,,,
2016-01-01,12.631,86.0,98.0,,,,,,
2016-02-01,36.238,247.0,305.0,,,,,,
2016-03-01,1.244,8.0,12.0,,,,,,
2016-04-01,0.488,3.0,6.0,,,,,,
2016-05-01,1.404,10.0,12.0,,,,,,
2016-06-01,3.82,26.0,31.0,,,,,,
2016-07-01,2.852,19.0,24.0,,,,,,
2016-08-01,5.693,39.0,49.0,,,,,,
2016-09-01,0.694,5.0,6.0,,,,,,
2016-10-01,1.578,11.0,12.0,,,,,,
2016-11-01,0.769,5.0,6.0,,,,,,
2016-12-01,3.589,24.0,31.0,,,,,,
2017-01-01,3.399,23.0,37.0,,,,,,
2017-02-01,1.841,13.0,18.0,,,,,,
2017-03-01,2.212,15.0,18.0,,,,,,
2017-04-01,1.531,10.0,12.0,,,,,,
2017-05-01,1.569,11.0,12.0,,,,,,
2017-06-01,1.562,11.0,12.0,,,,,,
2017-07-01,1.072,6.0,6.0,,,,,,
2017-08-01,1.049,6.0,6.0,,,,,,
2017-09-01,1.782,12.0,12.0,,,,,,
2017-10-01,1.731,12.0,12.0,,,,,,
2017-11-01,2.911,20.0,24.0,,,,,,
2017-12-01,40.341,275.0,342.0,,,,,,
2018-01-01,66.436,453.0,464.0,,,,0.0,0.0,0.0
2018-02-01,2.557,17.0,18.0,,,,0.0,0.0,0.0
2018-03-01,2.839,18.0,18.0,,,,0.0,0.0,0.0
2018-04-01,2.176,15.0,18.0,,,,0.0,0.0,0.0
2018-05-01,2.413,16.0,18.0,,,,0.0,0.0,0.0
2018-06-01,2.077,12.0,12.0,,,,0.0,0.0,0.0
2018-07-01,2.862,18.0,18.0,,,,0.0,0.0,0.0
2018-08-01,5.156,35.0,37.0,,,,0.0,0.0,0.0
2018-09-01,2.536,17.0,18.0,,,,0.0,0.0,0.0
2018-10-01,2.296,16.0,18.0,,,,0.0,0.0,0.0
2018-11-01,4.937,34.0,37.0,,,,0.0,0.0,0.0
2018-12-01,2.715,18.0,18.0,,,,0.0,0.0,0.0
2019-01-01,4.298,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,2.688,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,2.802,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,2.176,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,1.113,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,1.355,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,1.843,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,3.515,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,1.693,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,2.663,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,3.681,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,4.173,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,8.41,57.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,8.975,61.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,6.975,48.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,7.749,53.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,5.422,37.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,5.266,36.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,6.257,43.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,5.903,40.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,6.693,46.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,10.508,72.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,10.581,72.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,59.261,404.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,3.79,26.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,8.389,57.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,2.116,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,1.088,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,0.941,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,0.921,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,1.39,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,1.657,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,1.06,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,1.838,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,2.226,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,9.584,65.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,70.267,480.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,10.081,69.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,1.361,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.683,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,0.476,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,3.57,24.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,2.197,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.655,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,1.313,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,1.02,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,1.155,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,24.222,165.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,6.537,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,43.698,298.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,5.027,34.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,4.169,28.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,2.872,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,3.258,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,4.144,28.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,2.867,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,4.751,32.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,5.808,40.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,5.906,40.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,7.963,54.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,0.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0
