measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed"
2003-12-01,1.4220000000000002,15.0,15.0,9.165,95.0,95.0,16717.794,174600.0,174600.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,17107.0,240901.0,240901.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,16085.0,219945.0,219945.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,17010.0,241087.0,241087.0
2004-04-01,0.0,0.0,0.0,116.0,1609.0,1609.0,12231.0,169260.0,169260.0
2004-05-01,10.0,133.0,133.0,0.0,0.0,0.0,17284.0,246326.0,246326.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,16866.0,234918.0,234918.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,18255.0,247845.0,247845.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,18262.0,248992.0,248992.0
2004-09-01,0.0,0.0,0.0,11.0,143.0,143.0,17370.0,218162.0,218162.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,18364.0,230993.0,230993.0
2004-11-01,0.0,0.0,0.0,11.0,145.0,145.0,17425.0,221647.0,221647.0
2004-12-01,2.0,29.0,29.0,0.0,0.0,0.0,18640.0,237742.0,237742.0
2005-01-01,4.0,52.92,52.92,69.0,840.32,840.32,10910.0,133002.0,133002.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,16632.0,202976.28,202976.28
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,18368.0,234610.0,234610.0
2005-04-01,0.0,0.0,0.0,13.0,153.15,153.15,17693.0,213844.05,213844.05
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,18564.0,227332.0,227332.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,17745.0,217476.0,217476.0
2005-07-01,0.0,0.0,0.0,59.0,787.04,787.04,17037.0,210868.0,210868.0
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,18377.0,228088.0,228088.0
2005-09-01,0.0,0.0,0.0,24.0,311.35,311.35,14599.0,189924.0,189924.0
2005-10-01,0.0,0.0,0.0,52.0,678.4,678.4,14718.0,191688.0,191688.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,17073.0,223216.0,223216.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,17828.0,221236.35,221236.35
2006-01-01,0.0,0.0,0.0,6.0,78.0,78.0,17445.0,228288.0,228288.0
2006-02-01,2.0,29.0,29.0,17.0,213.0,213.0,16613.0,207256.0,207256.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,18399.0,223939.0,223939.0
2006-04-01,0.0,0.0,0.0,14.0,183.0,183.0,17575.0,227500.0,227500.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,18501.0,222432.0,222432.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,17868.0,222124.0,222124.0
2006-07-01,0.0,0.0,0.0,1.0,15.0,15.0,18396.0,232870.0,232870.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,18469.0,222025.0,222025.0
2006-09-01,0.0,0.0,0.0,16.0,190.0,190.0,17939.0,213145.0,213145.0
2006-10-01,0.0,0.0,0.0,16.0,198.0,198.0,11835.0,143462.0,143462.0
2006-11-01,2.0,29.0,29.0,94.0,1156.0,1156.0,15653.0,191856.0,191856.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,18543.0,231784.0,231784.0
2007-01-01,14.859,188.0,188.0,0.0,0.0,0.0,18549.141,234889.0,234889.0
2007-02-01,0.0,0.0,0.0,27.992,386.0,386.0,16185.008000000002,223092.0,223092.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,17505.0,218576.0,218576.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,17276.0,219610.0,219610.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,18510.0,237684.0,237684.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,17766.0,229534.0,229534.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,18433.0,233984.0,233984.0
2007-08-01,0.0,0.0,0.0,15.991000000000001,215.0,215.0,17805.009,239245.0,239245.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,17739.0,227998.0,227998.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,18417.0,237049.0,237049.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,17673.0,230782.0,230782.0
2007-12-01,2.371,29.0,29.0,0.0,0.0,0.0,18479.629,229150.0,229150.0
2008-01-01,0.0,0.0,0.0,10.779,136.0,136.0,17700.221,224053.0,224053.0
2008-02-01,1.488,18.0,18.0,0.0,0.0,0.0,16714.512000000002,198190.0,198190.0
2008-03-01,2.109,29.0,29.0,87.229,1216.0,1216.0,10729.662,149539.0,149539.0
2008-04-01,0.0,0.0,0.0,3.3920000000000003,45.0,45.0,16815.608,224040.0,224040.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,17858.0,228775.0,228775.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,17862.0,223300.0,223300.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,18473.0,233015.0,233015.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,18473.0,234900.0,234900.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,17460.0,231769.0,231769.0
2008-10-01,0.0,0.0,0.0,30.094,385.0,385.0,15245.905999999999,194967.0,194967.0
2008-11-01,2.245,29.0,29.0,0.738,10.0,10.0,17102.017,224003.0,224003.0
2008-12-01,2.3160000000000003,29.0,29.0,0.0,0.0,0.0,18044.684,229028.0,229028.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,17852.0,198645.0,198645.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,15774.0,181972.0,181972.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,17284.0,201847.0,201847.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,16889.0,194613.0,194613.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,17279.0,197615.0,197615.0
2009-06-01,0.0,0.0,0.0,280.026,3016.0,3016.0,14131.974,152224.0,152224.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,17622.0,205483.0,205483.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,17648.0,212262.0,212262.0
2009-09-01,0.0,0.0,0.0,30.717000000000002,365.0,365.0,15102.283,179693.0,179693.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,17764.0,210230.0,210230.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,16922.0,199671.0,199671.0
2009-12-01,4.553,53.0,53.0,0.0,0.0,0.0,17334.447,201475.0,201475.0
2010-01-01,0.0,0.0,0.0,28.580000000000002,334.0,334.0,15937.42,186336.0,186336.0
2010-02-01,2.432,29.0,29.0,649.095,7848.0,7848.0,10553.473,127595.0,127595.0
2010-03-01,0.0,0.0,0.0,679.664,7848.0,7848.0,16470.336,190176.0,190176.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,16900.0,191263.0,191263.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,15966.0,196573.0,196573.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,15960.0,182585.0,182585.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,14631.0,164232.0,164232.0
2010-08-01,0.0,0.0,0.0,23.804000000000002,276.0,276.0,15000.196,173796.0,173796.0
2010-09-01,0.0,0.0,0.0,81.53800000000001,949.0,949.0,11214.462,130459.0,130459.0
2010-10-01,0.0,0.0,0.0,81.50500000000001,850.0,850.0,10398.495,108426.0,108426.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,15981.0,178203.0,178203.0
2010-12-01,2.748,29.0,29.0,0.0,0.0,0.0,5952.252,63689.0,63689.0
2011-01-01,0.0,0.0,0.0,14.609,178.0,178.0,6725.391,82157.0,82157.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,12915.0,173701.0,173701.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,13293.0,172688.0,172688.0
2011-04-01,0.0,0.0,0.0,19.936,293.0,293.0,8464.064,124189.0,124189.0
2011-05-01,0.0,0.0,0.0,1.208,16.0,16.0,7348.792,94844.0,94844.0
2011-06-01,0.0,0.0,0.0,1.785,24.0,24.0,10561.215,143733.0,143733.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,15435.0,192349.0,192349.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,10794.0,140708.0,140708.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
