measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2016-03-01,6026.098,47476.0,112197.0,708.808,5584.0,13197.0,5826.094,45901.0,108474.0
2016-04-01,5336.597,42882.0,104659.0,455.24,3658.0,8928.0,3801.163,30544.0,74547.0
2016-05-01,7351.401,57707.0,132119.0,401.571,3152.0,7217.0,5373.028,42177.0,96564.0
2016-06-01,6313.937,49723.0,117657.0,399.315,3145.0,7441.0,5914.748,46579.0,110218.0
2016-07-01,7032.073,55206.0,123635.0,679.572,5335.0,11948.0,5146.355,40402.0,90481.0
2016-08-01,7431.192,59123.0,137620.0,653.968,5203.0,12111.0,3644.84,28999.0,67500.0
2016-09-01,7476.641,59139.0,138115.0,892.336,7058.0,16484.0,4002.023,31655.0,73929.0
2016-10-01,6565.72,52109.0,118116.0,711.961,5651.0,12808.0,2056.319,16320.0,36993.0
2016-11-01,6134.067,48077.0,114059.0,1007.614,7897.0,18736.0,5522.319,43282.0,102684.0
2016-12-01,5015.795,39214.0,96657.0,2344.882,18333.0,45187.0,5291.323,41368.0,101966.0
2017-01-01,5699.44,45413.0,114199.0,1088.64,8674.0,21813.0,4865.92,38772.0,97498.0
2017-02-01,5041.107,39736.0,95736.0,956.926,7543.0,18173.0,5407.967,42628.0,102703.0
2017-03-01,5813.87,46237.0,110639.0,1030.841,8198.0,19617.0,5521.289,43910.0,105071.0
2017-04-01,4731.488,37870.0,86642.0,1002.901,8027.0,18365.0,2895.611,23176.0,53024.0
2017-05-01,6153.171,48906.0,117684.0,1034.42,8222.0,19784.0,4808.409,38218.0,91964.0
2017-06-01,7346.422,57925.0,136445.0,696.386,5491.0,12934.0,4259.192,33583.0,79106.0
2017-07-01,6820.371,54002.0,129367.0,885.293,7010.0,16792.0,4810.336,38087.0,91241.0
2017-08-01,6715.041,53659.0,139512.0,746.679,5967.0,15513.0,4845.28,38718.0,100666.0
2017-09-01,7694.232,61440.0,157470.0,751.981,6005.0,15390.0,3356.787,26805.0,68700.0
2017-10-01,6134.882,49071.0,119469.0,1078.889,8630.0,21010.0,1461.229,11688.0,28456.0
2017-11-01,7604.656,60031.0,144262.0,630.147,4974.0,11954.0,3958.197,31246.0,75088.0
2017-12-01,4994.401,39664.0,100634.0,993.874,7893.0,20026.0,6467.725,51365.0,130321.0
2018-01-01,6611.47,52209.0,134639.0,582.192,4597.0,11856.0,5387.338,42542.0,109710.0
2018-02-01,5176.92,41043.0,109617.0,995.033,7889.0,21069.0,4925.047,39046.0,104284.0
2018-03-01,4827.93,38473.0,99558.0,1392.445,11096.0,28714.0,6088.625,48519.0,125555.0
2018-04-01,6019.91,48515.0,127854.0,246.298,1985.0,5231.0,1826.792,14722.0,38798.0
2018-05-01,6606.952,52661.0,131168.0,1503.247,11982.0,29844.0,3508.801,27967.0,69660.0
2018-06-01,5769.452,46478.0,121073.0,1367.203,11014.0,28691.0,4236.345,34127.0,88900.0
2018-07-01,5920.941,47795.0,123721.0,1597.086,12892.0,33372.0,4191.973,33838.0,87594.0
2018-08-01,5514.603,44438.0,108260.0,802.183,6464.0,15748.0,5476.214,44129.0,107506.0
2018-09-01,5729.528,45908.0,119647.0,569.521,4563.0,11893.0,5014.951,40183.0,104724.0
2018-10-01,5571.538,45208.0,117653.0,441.024,3578.0,9313.0,2609.438,21173.0,55103.0
2018-11-01,4659.482,37197.0,96676.0,1067.605,8523.0,22151.0,5377.913,42933.0,111583.0
2018-12-01,3514.614,28459.0,77461.0,1888.99,15296.0,41633.0,5419.396,43882.0,119443.0
2019-01-01,5733.195,46710.0,126992.0,670.553,5463.0,14853.0,4640.252,37805.0,102783.0
2019-02-01,3036.496,27255.0,91884.0,600.431,5389.0,18169.0,2247.073,20169.0,67996.0
2019-03-01,4682.076,38509.0,106592.0,783.891,6447.0,17846.0,4677.033,38467.0,106477.0
2019-04-01,3639.37,30081.0,80066.0,910.55,7526.0,20032.0,5328.08,44038.0,117217.0
2019-05-01,-146.655,5138.0,60587.0,-17.915,628.0,7401.0,-44.43,1557.0,18355.0
2019-06-01,3813.763,35987.0,125452.0,142.729,1347.0,4695.0,1003.508,9469.0,33010.0
2019-07-01,3986.691,34644.0,108161.0,1060.944,9219.0,28784.0,2422.365,21050.0,65720.0
2019-08-01,3925.017,34943.0,112712.0,592.102,5271.0,17003.0,2122.881,18899.0,60961.0
2019-09-01,4209.929,36904.0,108925.0,345.105,3025.0,8929.0,2397.966,21021.0,62043.0
2019-10-01,3077.524,27659.0,89098.0,303.338,2726.0,8782.0,1853.138,16655.0,53651.0
2019-11-01,3640.248,31729.0,105040.0,777.292,6775.0,22429.0,2282.46,19894.0,65861.0
2019-12-01,3092.467,27601.0,87821.0,1122.667,10020.0,31882.0,2044.866,18251.0,58071.0
2020-01-01,3959.351,34786.0,109928.0,826.931,7265.0,22959.0,1691.718,14863.0,46969.0
2020-02-01,2945.665,27072.0,93394.0,555.74,5107.0,17620.0,1530.595,14067.0,48528.0
2020-03-01,1992.635,20625.0,89147.0,630.154,6523.0,28192.0,1029.211,10653.0,46045.0
2020-04-01,2974.387,28166.0,101957.0,519.893,4923.0,17821.0,1153.72,10925.0,39547.0
2020-05-01,3353.399,32432.0,116730.0,477.717,4620.0,16629.0,485.884,4699.0,16913.0
2020-06-01,3657.957,33567.0,111063.0,730.125,6700.0,22168.0,612.918,5624.0,18609.0
2020-07-01,3221.895,29466.0,93409.0,762.454,6973.0,22105.0,1487.651,13606.0,43130.0
2020-08-01,3393.014,33095.0,113423.0,305.638,2981.0,10217.0,344.348,3359.0,11511.0
2020-09-01,2543.19,24675.0,86089.0,578.51,5613.0,19583.0,914.3,8871.0,30950.0
2020-10-01,3056.426,29343.0,116445.0,392.877,3772.0,14968.0,482.697,4634.0,18390.0
2020-11-01,2383.931,24510.0,90673.0,683.029,7022.0,25979.0,1179.04,12122.0,44845.0
2020-12-01,2226.786,21583.0,91814.0,708.511,6867.0,29213.0,1310.703,12704.0,54042.0
2021-01-01,2125.029,21388.0,93146.0,536.267,5397.0,23506.0,1264.704,12729.0,55435.0
2021-02-01,1920.086,20388.0,97850.0,312.749,3321.0,15938.0,879.165,9335.0,44803.0
2021-03-01,2116.67,20755.0,77153.0,529.245,5190.0,19291.0,1899.085,18621.0,69222.0
2021-04-01,2065.82,20058.0,76709.0,630.391,6121.0,23408.0,665.789,6465.0,24722.0
2021-05-01,2522.05,24880.0,98120.0,420.823,4151.0,16372.0,1101.127,10863.0,42839.0
2021-06-01,2688.172,23814.0,72126.0,1031.045,9134.0,27664.0,1938.783,17175.0,52020.0
2021-07-01,3426.611,30181.0,93178.0,751.313,6617.0,20430.0,2295.076,20215.0,62409.0
2021-08-01,2394.121,22933.0,80441.0,326.85,3131.0,10982.0,2015.029,19302.0,67704.0
2021-09-01,2449.259,23062.0,83494.0,507.343,4777.0,17295.0,2114.398,19909.0,72078.0
2021-10-01,977.119,10428.0,42871.0,199.113,2125.0,8736.0,1752.768,18706.0,76902.0
2021-11-01,1946.629,21608.0,105775.0,163.055,1810.0,8860.0,1001.316,11115.0,54409.0
2021-12-01,646.632,12122.0,83903.0,91.874,1722.0,11921.0,428.494,8032.0,55598.0
2022-01-01,1629.197,21711.0,133473.0,42.661,569.0,3495.0,587.142,7824.0,48102.0
2022-02-01,1793.033,20646.0,105957.0,144.161,1660.0,8519.0,909.806,10476.0,53764.0
2022-03-01,1982.593,22102.0,104266.0,100.075,1116.0,5263.0,1033.332,11519.0,54344.0
2022-04-01,3149.876,31638.0,131993.0,69.325,696.0,2905.0,1198.799,12041.0,50235.0
2022-05-01,2592.538,27184.0,110553.0,168.329,1765.0,7178.0,1294.133,13570.0,55185.0
2022-06-01,1445.653,18467.0,102147.0,202.978,2593.0,14342.0,756.369,9662.0,53443.0
2022-07-01,1172.243,15697.0,88835.0,313.795,4202.0,23780.0,669.962,8971.0,50771.0
2022-08-01,2383.745,23565.0,102115.0,1230.677,12166.0,52720.0,465.578,4603.0,19945.0
2022-09-01,2179.958,22238.0,94858.0,654.416,6676.0,28476.0,1097.626,11197.0,47762.0
2022-10-01,1182.752,14585.0,70170.0,89.84,1108.0,5330.0,601.408,7416.0,35680.0
2022-11-01,2015.694,20776.0,91893.0,300.887,3101.0,13717.0,945.419,9744.0,43100.0
2022-12-01,-657.467,1412.0,56711.0,-272.303,585.0,23488.0,-540.23,1160.0,46599.0
2023-01-01,718.115,12826.0,90785.0,110.805,1979.0,14008.0,506.08,9039.0,63979.0
2023-02-01,-535.574,1601.0,52629.0,-140.15,419.0,13772.0,-560.276,1675.0,55056.0
2023-03-01,609.223,12502.0,101138.0,52.195,1071.0,8665.0,404.582,8303.0,67165.0
2023-04-01,2341.349,23148.0,79942.0,354.769,3507.0,12113.0,1455.882,14394.0,49709.0
2023-05-01,2945.5,27395.0,79696.0,256.608,2387.0,6943.0,2019.892,18787.0,54652.0
2023-06-01,3356.36,29462.0,74906.0,160.904,1412.0,3591.0,2438.736,21407.0,54427.0
2023-07-01,3340.543,29353.0,74012.0,185.506,1630.0,4110.0,2311.951,20315.0,51223.0
2023-08-01,3659.999,32449.0,90374.0,775.021,6871.0,19137.0,1769.98,15692.0,43705.0
2023-09-01,3371.307,30764.0,95599.0,1087.256,9921.0,30831.0,61.437,561.0,1742.0
2023-10-01,1814.855,18078.0,59394.0,848.242,8450.0,27760.0,67.903,676.0,2222.0
2023-11-01,2877.234,27697.0,100779.0,371.234,3574.0,13003.0,487.532,4693.0,17076.0
2023-12-01,2903.987,28209.0,96982.0,309.406,3005.0,10333.0,487.607,4736.0,16284.0
2024-01-01,3123.248,29903.0,98966.0,337.522,3232.0,10695.0,544.23,5211.0,17245.0
2024-02-01,2694.575,25751.0,81513.0,492.084,4703.0,14886.0,581.341,5556.0,17586.0
2024-03-01,2814.586,26726.0,83538.0,556.395,5283.0,16514.0,717.019,6809.0,21281.0
2024-04-01,3105.929,28611.0,82573.0,419.737,3866.0,11159.0,636.334,5862.0,16917.0
2024-05-01,1869.832,17066.0,95335.0,38.678,353.0,1972.0,3188.49,29102.0,162567.0
2024-06-01,2128.814,22205.0,75757.0,210.502,2196.0,7491.0,816.684,8519.0,29063.0
2024-07-01,2551.055,25703.0,86212.0,241.637,2435.0,8166.0,822.308,8285.0,27789.0
2024-08-01,4587.993,40107.0,103579.0,373.934,3269.0,8442.0,1280.073,11190.0,28899.0
2024-09-01,3263.78,29634.0,84122.0,488.623,4436.0,12594.0,1120.597,10174.0,28883.0
2024-10-01,3609.844,33435.0,93661.0,309.374,2866.0,8027.0,718.782,6658.0,18649.0
2024-11-01,2188.63,21449.0,70033.0,323.798,3173.0,10361.0,455.572,4465.0,14578.0
2024-12-01,3508.78,32387.0,97616.0,334.467,3087.0,9305.0,803.753,7419.0,22361.0
