measured_on,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-03-01,970.2,9701.03,9701.03,358.70576,4727.27,9575.0,2575.2638699999998,33938.58,68742.0,6718.00637,88534.46,179325.0
2005-04-01,1154.34,11542.25,11542.25,1512.34987,19930.77,35833.0,863.01817,11373.44,20448.0,5259.01697,69306.9,124605.0
2005-05-01,690.03,6899.61,6899.61,219.04344,2886.7,4442.0,2187.96881,28834.55,44370.0,8267.68175,108957.15,167661.0
2005-06-01,1294.92,12947.91,12947.91,5.04882,66.54,106.0,2580.61516,34009.11,54180.0,7713.55302,101654.46,161946.0
2005-07-01,1332.54,13324.07,13324.07,321.43117,4236.04,6340.0,2338.94412,30824.2,46134.0,7829.9417,103188.31,154440.0
2005-08-01,422.73,4226.88,4226.88,1518.40902,20010.63,45719.0,1199.21068,15804.02,36108.0,5173.165300000001,68175.5,155763.0
2005-09-01,352.44,3524.05,3524.05,558.26316,7357.17,11331.0,4448.36856,58623.63,90288.0,6475.67528,85340.86,131436.0
2005-10-01,417.78,4177.38,4177.38,4.0399199999999995,53.24,84.0,2436.07116,32104.21,50652.0,9095.01193,119860.28,189108.0
2005-11-01,628.65,6285.87,6285.87,82.81621,1091.41,1421.0,3471.28738,45746.99,59562.0,8155.79441,107482.62,139941.0
2005-12-01,1136.52,11364.06,11364.06,0.17726999999999998,2.34,4.0,4175.19309,55023.55,94212.0,7950.33664,104774.96,179397.0
2006-01-01,1339.47,13286.0,13286.0,4.420529999999999,58.26,102.0,5146.28046,67821.19,118746.0,6784.86801,89415.61,156555.0
2006-02-01,972.18,9643.0,9643.0,1.16369,15.34,27.0,3800.62328,50087.21,88182.0,6551.20703,86336.27,152001.0
2006-03-01,941.49,9339.0,9339.0,122.62422,1616.03,3049.0,2811.71025,37054.64,69912.0,8060.13953,106222.02,200412.0
2006-04-01,1091.97,10831.0,10831.0,1245.56476,16414.9,26073.0,2845.4082000000003,37498.73,59562.0,4647.75804,61251.32,97290.0
2006-05-01,1260.27,12501.0,12501.0,5.470219999999999,72.09,115.0,3797.28433,50043.2,79830.0,6595.37345,86918.33,138654.0
2006-06-01,1344.42,13335.0,13335.0,1555.41906,20498.37,42765.0,2015.77073,26565.2,55422.0,3957.56221,52155.45,108810.0
2006-07-01,58.41,579.0,579.0,52.60747,693.3,997.0,4370.90477,57602.76,82836.0,6017.82977,79307.05,114048.0
2006-08-01,0.0,0.0,0.0,13.16014,173.43,292.0,2708.73512,35697.56,60102.0,8670.14274,114261.06,192375.0
2006-09-01,0.0,0.0,0.0,1305.77422,17208.38,25586.0,3146.29018,41463.96,61650.0,4617.0086,60846.09,90468.0
2006-10-01,154.44,1532.0,1532.0,1001.97065,13204.65,23835.0,3044.12429,40117.54,72414.0,5479.12106,72207.59,130338.0
2006-11-01,325.71,3231.0,3231.0,5.65958,74.59,130.0,2634.57603,34720.24,60516.0,7920.18439,104377.58,181926.0
2006-12-01,327.69,3250.0,3250.0,166.92648,2199.87,3728.0,2822.52619,37197.17,63036.0,7620.90132,100433.43,170199.0
2007-01-01,211.86,2094.0,2094.0,378.23400000000004,4985.0,13552.0,1769.874,23328.0,63414.0,7935.042,104571.0,284310.0
2007-02-01,169.29,1673.0,1673.0,457.612,6031.0,15702.0,2770.329,36504.0,95058.0,8277.413,109089.0,284022.0
2007-03-01,200.97,1986.0,1986.0,2.0780000000000003,27.0,70.0,3152.952,41544.0,106236.0,8129.456,107136.0,273915.0
2007-04-01,418.77,4139.0,4139.0,174.91400000000002,2305.0,40393.0,203.43800000000002,2682.0,46980.0,9256.338,121986.0,2137572.0
2007-05-01,537.57,5313.0,5313.0,173.40200000000002,2285.0,5777.0,2134.6730000000002,28134.0,71118.0,7445.692,98127.0,248058.0
2007-06-01,1030.59,10186.0,10186.0,243.597,3210.0,6756.0,4342.559,57222.0,120438.0,5673.689,74772.0,157356.0
2007-07-01,326.7,3229.0,3229.0,53.183,701.0,1577.0,2615.694,34470.0,77562.0,8644.417000000001,113922.0,256329.0
2007-08-01,195.03,1928.0,1928.0,4.955,65.0,160.0,1758.874,23184.0,56790.0,9338.199,123066.0,301509.0
2007-09-01,191.07,1889.0,1889.0,102.197,1347.0,2960.0,2111.7490000000003,27828.0,61164.0,7884.569,103905.0,228366.0
2007-10-01,473.22,4677.0,4677.0,1116.853,14719.0,44290.0,1598.645,21060.0,63396.0,5638.152,74304.0,223587.0
2007-11-01,633.6,6263.0,6263.0,24.108,318.0,740.0,3817.4680000000003,50310.0,117180.0,8391.686,110592.0,257589.0
2007-12-01,648.45,6409.0,6409.0,121.367,1599.0,5083.0,3441.731,45360.0,144144.0,5395.54,71109.0,225972.0
2008-01-01,535.59,5278.0,5278.0,670.739,8839.0,28535.0,2675.292,35257.0,113814.0,5745.13,75713.0,244413.0
2008-02-01,344.52,3395.0,3395.0,566.9590000000001,7472.0,45762.0,769.5980000000001,10142.0,62118.0,2500.8030000000003,32957.0,201852.0
2008-03-01,373.23,3678.0,3678.0,227.62,3000.0,14832.0,1008.821,13295.0,65736.0,3189.5820000000003,42034.0,207837.0
2008-04-01,689.04,6790.0,6790.0,926.2510000000001,12207.0,40458.0,1945.498,25639.0,84978.0,3229.9970000000003,42567.0,141084.0
2008-05-01,1286.01,12672.0,12672.0,0.188,2.0,6.0,3108.844,40970.0,99414.0,6282.702,82798.0,200907.0
2008-06-01,1318.68,12994.0,12994.0,2.2800000000000002,30.0,67.0,3757.954,49525.0,110448.0,5728.491,75494.0,168363.0
2008-07-01,1063.26,10477.0,10477.0,26.719,352.0,737.0,2973.097,39182.0,82008.0,6764.515,89147.0,186588.0
2008-08-01,212.85,2097.0,2097.0,0.88,12.0,23.0,3524.203,46444.0,92106.0,7090.0740000000005,93438.0,185301.0
2008-09-01,273.24,2693.0,2693.0,4.376,58.0,98.0,3831.029,50488.0,85788.0,5909.72,77882.0,132336.0
2008-10-01,234.63,2312.0,2312.0,2318.172,30550.0,59097.0,2580.009,34001.0,65772.0,4837.341,63750.0,123318.0
2008-11-01,0.0,0.0,0.0,296.533,3908.0,6560.0,3747.702,49390.0,82908.0,6254.984,82432.0,138375.0
2008-12-01,0.0,0.0,0.0,86.15,1135.0,2522.0,5144.6050000000005,67799.0,150606.0,6658.719,87753.0,194931.0
2009-01-01,0.0,0.0,0.0,370.125,4878.0,12658.0,4725.37,62274.0,161604.0,5969.082,78665.0,204138.0
2009-02-01,0.0,0.0,0.0,260.56600000000003,3434.0,8068.0,2598.56,34246.0,80460.0,7580.295,99898.0,234711.0
2009-03-01,224.73,2193.0,2193.0,0.42,6.0,13.0,2729.775,35975.0,84510.0,7992.515,105331.0,247437.0
2009-04-01,193.05,1884.0,1884.0,1583.498,20868.0,58757.0,2513.2980000000002,33122.0,93258.0,3043.9950000000003,40116.0,112950.0
2009-05-01,1111.77,10851.0,10851.0,0.8470000000000001,11.0,23.0,2903.5950000000003,38266.0,78804.0,7297.786,96175.0,198063.0
2009-06-01,1029.6,10049.0,10049.0,0.5710000000000001,8.0,15.0,2382.2870000000003,31395.0,62604.0,7807.8460000000005,102897.0,205182.0
2009-07-01,395.01,3855.0,3855.0,1.988,26.0,55.0,3124.3410000000003,41175.0,86418.0,7022.121,92542.0,194229.0
2009-08-01,97.02,947.0,947.0,3.58,47.0,99.0,2313.953,30495.0,63990.0,7359.411,96987.0,203517.0
2009-09-01,0.0,0.0,0.0,625.993,8250.0,18095.0,2214.346,29182.0,64008.0,5871.503000000001,77379.0,169722.0
2009-10-01,0.0,0.0,0.0,543.664,7165.0,16014.0,3297.4280000000003,43456.0,97128.0,5366.264,70720.0,158067.0
2009-11-01,412.83,4029.0,4029.0,702.5020000000001,9258.0,22130.0,2167.312,28562.0,68274.0,5846.829000000001,77053.0,184185.0
2009-12-01,738.54,7208.0,7208.0,26.119,344.0,822.0,4128.291,54405.0,129924.0,7527.639,99204.0,236907.0
2010-01-01,825.66,8055.0,8055.0,585.515,16483.0,16483.0,3517.35,99018.0,99018.0,7038.536,198144.0,198144.0
2010-02-01,654.39,6384.0,6384.0,9.215,304.0,304.0,3774.0420000000004,124506.0,124506.0,6435.295,212301.0,212301.0
2010-03-01,467.28000000000003,4559.0,4559.0,846.6610000000001,34785.0,34785.0,2219.94,91206.0,91206.0,5128.599,210708.0,210708.0
2010-04-01,0.0,0.0,0.0,329.572,12279.0,12279.0,2372.626,88398.0,88398.0,5472.836,203904.0,203904.0
2010-05-01,0.0,0.0,0.0,40.59,1294.0,1294.0,2509.154,79992.0,79992.0,7138.723,227583.0,227583.0
2010-06-01,7.92,77.0,77.0,0.28900000000000003,10.0,10.0,2764.19,95652.0,95652.0,6149.986,212814.0,212814.0
2010-07-01,751.41,7331.0,7331.0,2.6710000000000003,91.0,91.0,3045.5550000000003,103770.0,103770.0,6020.847000000001,205146.0,205146.0
2010-08-01,684.09,6674.0,6674.0,1343.21,59264.0,59264.0,1452.771,64098.0,64098.0,3687.0040000000004,162675.0,162675.0
2010-09-01,725.67,7080.0,7080.0,87.01700000000001,3404.0,3404.0,2671.5570000000002,104508.0,104508.0,5069.792,198324.0,198324.0
2010-10-01,1362.24,13290.0,13290.0,80.013,2463.0,2463.0,6970.197,214560.0,214560.0,951.97,29304.0,29304.0
2010-11-01,1029.6,10045.0,10045.0,0.201,8.0,8.0,2921.521,116334.0,116334.0,5864.063,233505.0,233505.0
2010-12-01,640.53,6249.0,6249.0,37.063,1440.0,1440.0,3227.7160000000003,125406.0,125406.0,6687.77,259839.0,259839.0
2011-01-01,690.03,6704.0,6704.0,83.311,3275.0,3275.0,3096.713,121734.0,121734.0,6706.264,263628.0,263628.0
2011-02-01,747.45,7262.0,7262.0,67.456,2314.0,2314.0,3034.461,104094.0,104094.0,4839.764,166023.0,166023.0
2011-03-01,663.3,6445.0,6445.0,973.637,44162.0,44162.0,1567.537,71100.0,71100.0,3119.795,141507.0,141507.0
2011-04-01,430.65,4184.0,4184.0,1434.402,41008.0,41008.0,1948.656,55710.0,55710.0,661.725,18918.0,18918.0
2011-05-01,994.95,9667.0,9667.0,0.113,4.0,4.0,2793.186,98928.0,98928.0,5523.86,195642.0,195642.0
2011-06-01,984.06,9561.0,9561.0,44.126,1318.0,1318.0,3855.0,115146.0,115146.0,5159.384,154107.0,154107.0
2011-07-01,921.69,8955.0,8955.0,0.187,6.0,6.0,2388.861,76770.0,76770.0,4863.138,156285.0,156285.0
2011-08-01,942.48,9157.0,9157.0,1117.213,46140.0,46140.0,1527.633,63090.0,63090.0,2613.757,107946.0,107946.0
2011-09-01,405.9,3944.0,3944.0,1055.378,37944.0,37944.0,2244.431,80694.0,80694.0,4168.445,149868.0,149868.0
2011-10-01,444.51,4319.0,4319.0,49.925,1536.0,1536.0,3407.936,104850.0,104850.0,5292.393,162828.0,162828.0
2011-11-01,415.8,4040.0,4040.0,0.366,11.0,11.0,3956.201,118926.0,118926.0,6069.926,182466.0,182466.0
2011-12-01,241.56,2347.0,2347.0,197.61,6187.0,6187.0,3919.744,122724.0,122724.0,5120.732,160326.0,160326.0
2012-01-01,299.97,2855.0,2855.0,59.514,1679.0,1679.0,3979.362,112266.0,112266.0,6624.295,186885.0,186885.0
2012-02-01,344.52,3278.0,3278.0,906.166,32396.0,32396.0,2189.669,78282.0,78282.0,4970.685,177705.0,177705.0
2012-03-01,371.25,3533.0,3533.0,1187.693,32202.0,32202.0,3220.513,87318.0,87318.0,4832.761,131031.0,131031.0
2012-04-01,286.11,2723.0,2723.0,1637.904,52441.0,52441.0,2368.544,75834.0,75834.0,3045.995,97524.0,97524.0
2012-05-01,964.26,9176.0,9176.0,71.972,2035.0,2035.0,3473.314,98208.0,98208.0,4792.039,135495.0,135495.0
2012-06-01,825.66,7857.0,7857.0,449.08,16756.0,16756.0,2864.129,106866.0,106866.0,3431.938,128052.0,128052.0
2012-07-01,384.12,3655.0,3655.0,48.846,1199.0,1199.0,4224.517,103698.0,103698.0,5062.674,124272.0,124272.0
2012-08-01,198.0,1884.0,1884.0,198.853,6121.0,6121.0,3475.26,106974.0,106974.0,5186.575,159651.0,159651.0
2012-09-01,257.4,2449.0,2449.0,2133.24,80190.0,80190.0,1741.069,65448.0,65448.0,1046.269,39330.0,39330.0
2012-10-01,229.68,2186.0,2186.0,738.138,20677.0,20677.0,3779.613,105876.0,105876.0,5066.043,141912.0,141912.0
2012-11-01,180.18,1715.0,1715.0,0.937,26.0,26.0,4427.015,122832.0,122832.0,6052.763,167940.0,167940.0
2012-12-01,437.58,4164.0,4164.0,20.078,550.0,550.0,4242.849,116226.0,116226.0,6518.361,178560.0,178560.0
2013-01-01,573.21,5469.0,5469.0,240.95,7371.0,7371.0,3698.682,113148.0,113148.0,7037.558,215289.0,215289.0
2013-02-01,471.24,4496.0,4496.0,875.355,31100.0,31100.0,3319.483,117936.0,117936.0,3751.644,133290.0,133290.0
2013-03-01,575.19,5488.0,5488.0,71.187,1914.0,1914.0,3743.007,100638.0,100638.0,5625.556,151254.0,151254.0
2013-04-01,1206.81,11514.0,11514.0,488.709,15571.0,15571.0,5230.833,166662.0,166662.0,3563.678,113544.0,113544.0
2013-05-01,1237.5,11807.0,11807.0,31.799,764.0,764.0,4887.676,117432.0,117432.0,4736.341,113796.0,113796.0
2013-06-01,1285.02,12260.0,12260.0,0.0,0.0,0.0,3482.651,91674.0,91674.0,5245.516,138078.0,138078.0
2013-07-01,459.36,4383.0,4383.0,2.815,73.0,73.0,4945.631,128268.0,128268.0,4089.897,106074.0,106074.0
2013-08-01,320.76,3060.0,3060.0,2383.682,65822.0,65822.0,2385.782,65880.0,65880.0,1577.159,43551.0,43551.0
2013-09-01,295.02,2815.0,2815.0,0.0,0.0,0.0,3608.412,73170.0,73170.0,4749.079,96300.0,96300.0
2013-10-01,379.17,3618.0,3618.0,917.263,21209.0,21209.0,2323.757,53730.0,53730.0,4263.724,98586.0,98586.0
2013-11-01,675.18,6442.0,6442.0,1318.183,41506.0,41506.0,1253.649,39474.0,39474.0,1998.236,62919.0,62919.0
2013-12-01,815.76,7783.0,7783.0,585.996,21001.0,21001.0,2149.665,77040.0,77040.0,5252.115,188226.0,188226.0
2014-01-01,851.4,8097.0,8097.0,1720.27,22671.0,38354.0,4013.307,52890.0,89478.0,5725.683,75457.0,127656.0
2014-02-01,699.93,6656.0,6656.0,1521.72,20054.0,56057.0,2850.161,37561.0,104994.0,3978.888,52436.0,146574.0
2014-03-01,723.69,6882.0,6882.0,58.042,765.0,1670.0,4473.058,58949.0,128700.0,6094.619,80319.0,175356.0
2014-04-01,876.15,8332.0,8332.0,110.863,1461.0,3014.0,3931.473,51812.0,106884.0,5467.515,72055.0,148644.0
2014-05-01,1074.15,10215.0,10215.0,1185.326,15621.0,36550.0,3120.116,41119.0,96210.0,2605.837,34341.0,80352.0
2014-06-01,1148.4,10921.0,10921.0,81.408,1073.0,2001.0,3983.011,52491.0,97902.0,4885.577,64385.0,120087.0
2014-07-01,478.17,4547.0,4547.0,22.699,299.0,609.0,3604.765,47506.0,96714.0,5684.566,74915.0,152514.0
2014-08-01,302.94,2881.0,2881.0,2380.322,31370.0,73996.0,2348.54,30951.0,73008.0,3248.351,42809.0,100980.0
2014-09-01,298.98,2843.0,2843.0,0.18,2.0,5.0,2708.326,35692.0,75438.0,6749.489,88949.0,188001.0
2014-10-01,293.04,2787.0,2787.0,1663.503,21923.0,54318.0,2257.388,29749.0,73710.0,5001.257,65910.0,163305.0
2014-11-01,294.03,2796.0,2796.0,1983.024,26134.0,55161.0,2136.709,28159.0,59436.0,5282.564,69617.0,146943.0
2014-12-01,246.51,2344.0,2344.0,1319.129,17384.0,41606.0,2594.378,34190.0,81828.0,6583.532,86762.0,207648.0
2015-01-01,64.35,600.0,600.0,597.445,7874.0,17531.0,2830.358,37300.0,83052.0,7771.215,102414.0,228033.0
2015-02-01,0.0,0.0,0.0,552.363,7279.0,16176.0,2121.764,27962.0,62136.0,7653.899,100868.0,224145.0
2015-03-01,0.0,0.0,0.0,1961.139,25845.0,68834.0,1472.863,19410.0,51696.0,4106.273,54115.0,144126.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,3470.242,45733.0,79686.0,6838.579,90123.0,157032.0
2015-05-01,244.53,2279.0,2279.0,875.275,11535.0,26862.0,2001.775,26381.0,61434.0,5395.935,71111.0,165600.0
2015-06-01,311.85,2906.0,2906.0,325.294,4287.0,9417.0,2401.928,31654.0,69534.0,6384.105,84134.0,184815.0
2015-07-01,265.32,2473.0,2473.0,0.0,0.0,0.0,2621.28,34545.0,68022.0,6635.051,87441.0,172179.0
2015-08-01,321.75,2998.0,2998.0,0.0,0.0,0.0,3444.599,45395.0,81928.0,6359.104,83805.0,151248.0
2015-09-01,275.22,2565.0,2565.0,818.172,10782.0,23696.0,1568.049,20665.0,45414.0,6209.424,81832.0,179838.0
2015-10-01,297.0,2768.0,2768.0,835.305,11008.0,23344.0,2614.336,34454.0,73062.0,6223.461,82017.0,173925.0
2015-11-01,285.12,2657.0,2657.0,26.064,343.0,652.0,2954.547,38937.0,73908.0,7451.128,98196.0,186390.0
2015-12-01,280.17,2611.0,2611.0,116.568,1536.0,3776.0,3817.487,50309.0,123660.0,7226.552,95236.0,234090.0
2016-01-01,294.03,2714.0,2714.0,973.181,4491.0,28072.0,3105.084,14328.0,89568.0,7336.821,33855.0,211635.0
2016-02-01,258.39,2385.0,2385.0,378.321,1746.0,12814.0,2213.95,10216.0,74988.0,8145.804,37588.0,275904.0
2016-03-01,268.29,2477.0,2477.0,1640.571,7570.0,56263.0,1729.418,7980.0,59310.0,5940.119,27410.0,203715.0
2016-04-01,150.48,1389.0,1389.0,321.402,1483.0,9113.0,1946.399,8981.0,55188.0,5780.473,26673.0,163899.0
2016-05-01,0.0,0.0,0.0,471.932,2178.0,14104.0,2563.372,11828.0,76608.0,6349.708,29300.0,189765.0
2016-06-01,0.99,9.0,9.0,29.64,137.0,857.0,1981.535,9144.0,57294.0,7524.604,34721.0,217566.0
2016-07-01,736.56,6800.0,6800.0,31.243,144.0,850.0,1811.498,8359.0,49284.0,7597.968,35060.0,206712.0
2016-08-01,873.18,8061.0,8061.0,30.848,142.0,813.0,1905.413,8792.0,50217.0,7519.813,34699.0,198184.0
2016-09-01,877.14,8098.0,8098.0,33.592,155.0,845.0,2177.498,10048.0,54774.0,7261.309,33506.0,182655.0
2016-10-01,928.62,8573.0,8573.0,41.514,192.0,955.0,1708.113,7882.0,39294.0,4588.353,21172.0,105552.0
2016-11-01,935.55,8637.0,8637.0,57.997,268.0,1549.0,3152.747,14548.0,84204.0,7494.681,34583.0,200169.0
2016-12-01,732.6,6763.0,6763.0,1860.953,8587.0,60082.0,2344.388,10818.0,75690.0,5702.074,26311.0,184095.0
2017-01-01,636.498,5864.0,5864.0,0.0,0.0,0.0,3035.291,14006.0,81684.0,8240.551,38025.0,221765.0
2017-02-01,586.354,5402.0,5402.0,0.0,0.0,0.0,3348.824,15453.0,89072.0,7157.819,33029.0,190383.0
2017-03-01,600.091,5529.0,5529.0,0.0,0.0,0.0,3720.292,17167.0,104105.0,7447.997,34368.0,208418.0
2017-04-01,661.906,6098.0,6098.0,0.0,0.0,0.0,3240.018,14951.0,93462.0,7444.28,34351.0,214739.0
2017-05-01,1239.086,11416.0,11416.0,0.0,0.0,0.0,2366.482,10920.0,66066.0,5340.886,24645.0,149103.0
2017-06-01,713.587,6574.0,6574.0,0.0,0.0,0.0,2901.442,13388.0,73024.0,6992.529,32266.0,175988.0
2017-07-01,841.635,7754.0,7754.0,0.0,0.0,0.0,2718.822,12546.0,65637.0,4060.897,18738.0,98037.0
2017-08-01,613.443,5652.0,5652.0,0.0,0.0,0.0,3731.505,17219.0,77534.0,5805.234,26787.0,120622.0
2017-09-01,467.287,4305.0,4305.0,0.0,0.0,0.0,2435.472,11238.0,57054.0,5447.631,25137.0,127618.0
2017-10-01,678.621,6252.0,6252.0,0.0,0.0,0.0,3018.436,13928.0,73163.0,7633.212,35222.0,185020.0
2017-11-01,582.464,5366.0,5366.0,0.0,0.0,0.0,2610.35,12045.0,75998.0,7961.592,36738.0,231795.0
2017-12-01,645.528,5947.0,5947.0,0.0,0.0,0.0,2970.775,13708.0,71893.0,8576.833,39577.0,207561.0
2018-01-01,574.423,5230.0,5230.0,0.0,0.0,0.0,3286.261,14562.0,83065.0,8324.739,36888.0,210419.0
2018-02-01,518.126,4717.0,4717.0,0.0,0.0,0.0,3496.89,15500.0,85333.0,7053.11,31262.0,172114.0
2018-03-01,590.963,5380.0,5380.0,0.0,0.0,0.0,3252.822,14414.0,84564.0,4491.178,19901.0,116757.0
2018-04-01,705.446,6422.0,6422.0,0.0,0.0,0.0,5162.164,22874.0,132904.0,5013.836,22217.0,129085.0
2018-05-01,598.879,5452.0,5452.0,0.0,0.0,0.0,2731.696,12105.0,65435.0,3807.304,16871.0,91199.0
2018-06-01,641.352,5839.0,5839.0,0.0,0.0,0.0,2340.416,10371.0,50246.0,6820.584,30223.0,146429.0
2018-07-01,1058.228,9634.0,9634.0,0.0,0.0,0.0,1938.918,8592.0,55156.0,6216.082,27545.0,176828.0
2018-08-01,497.805,4532.0,4532.0,0.0,0.0,0.0,2849.724,12628.0,69269.0,6124.276,27138.0,148865.0
2018-09-01,595.512,5422.0,5422.0,0.0,0.0,0.0,2093.554,9277.0,56764.0,6611.446,29296.0,179261.0
2018-10-01,1021.189,9297.0,9297.0,0.0,0.0,0.0,2600.555,11523.0,70362.0,6767.445,29988.0,183103.0
2018-11-01,997.737,9083.0,9083.0,0.0,0.0,0.0,2105.894,9332.0,49231.0,7285.106,32282.0,170309.0
2018-12-01,931.34,8479.0,8479.0,0.0,0.0,0.0,2654.69,11763.0,59684.0,6725.31,29801.0,151202.0
2019-01-01,858.695,7647.0,7647.0,8.416,37.0,170.0,208.911,926.0,4220.0,197.673,876.0,3993.0
2019-02-01,499.072,4444.0,4444.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,865.388,7706.0,7706.0,5.0,22.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,869.083,7739.0,7739.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,1007.794,8974.0,8974.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
