measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2012-07-01,108.525,1094.0,1094.0,,,,,,
2012-08-01,10.516,108.0,108.0,,,,,,
2012-09-01,7.355,74.0,74.0,,,,,,
2012-10-01,23.206,234.0,234.0,,,,,,
2012-11-01,9.643,97.0,97.0,,,,,,
2012-12-01,5.68,57.0,57.0,,,,,,
2013-01-01,11.105,120.0,120.0,,,,,,
2013-02-01,1.117,11.0,11.0,,,,,,
2013-03-01,2.97,29.0,29.0,,,,,,
2013-04-01,3.2,34.0,34.0,,,,,,
2013-05-01,11.115,114.0,114.0,,,,,,
2013-06-01,8.441,86.0,86.0,,,,,,
2013-07-01,9.689,97.0,97.0,,,,,,
2013-08-01,3.017,29.0,29.0,,,,,,
2013-09-01,24.196,245.0,245.0,,,,,,
2013-10-01,14.925,154.0,154.0,,,,,,
2013-11-01,11.218,114.0,114.0,,,,,,
2013-12-01,30.327,314.0,314.0,,,,,,
2014-01-01,69.245,678.0,678.0,,,,,,
2014-02-01,38.925,388.0,388.0,,,,,,
2014-03-01,74.327,741.0,741.0,,,,,,
2014-04-01,10.514,103.0,103.0,,,,,,
2014-05-01,10.072,103.0,103.0,,,,,,
2014-06-01,11.898,120.0,120.0,,,,,,
2014-07-01,9.494,97.0,97.0,,,,,,
2014-08-01,4.752,46.0,46.0,,,,,,
2014-09-01,2.918,29.0,29.0,,,,,,
2014-10-01,8.052,80.0,80.0,,,,,,
2014-11-01,5.528,57.0,57.0,,,,,,
2014-12-01,10.055,103.0,103.0,,,,,,
2015-01-01,9.443,103.0,103.0,,,,,,
2015-02-01,31.545,314.0,314.0,,,,,,
2015-03-01,48.573,479.0,479.0,,,,,,
2015-04-01,6.614,63.0,63.0,,,,,,
2015-05-01,30.298,296.0,296.0,,,,,,
2015-06-01,12.646,125.0,125.0,,,,,,
2015-07-01,13.293,131.0,131.0,,,,,,
2015-08-01,15.275,148.0,148.0,,,,,,
2015-09-01,22.631,222.0,222.0,,,,,,
2015-10-01,11.22,108.0,108.0,,,,,,
2015-11-01,14.724,148.0,148.0,,,,,,
2015-12-01,14.038,137.0,137.0,,,,,,
2016-01-01,18.122,257.0,257.0,,,,,,
2016-02-01,14.874,217.0,217.0,,,,,,
2016-03-01,6.588,97.0,97.0,,,,,,
2016-04-01,11.968,177.0,177.0,,,,,,
2016-05-01,14.263,211.0,211.0,,,,,,
2016-06-01,31.012,456.0,456.0,,,,,,
2016-07-01,46.99,690.0,690.0,,,,,,
2016-08-01,25.057,365.0,365.0,,,,,,
2016-09-01,8.953,131.0,131.0,,,,,,
2016-10-01,41.503,610.0,610.0,,,,,,
2016-11-01,13.308,194.0,194.0,,,,,,
2016-12-01,39.362,576.0,576.0,,,,,,
2017-01-01,8.994,217.0,217.0,,,,,,
2017-02-01,3.348,80.0,80.0,,,,,,
2017-03-01,1.174,29.0,29.0,,,,,,
2017-04-01,8.306,200.0,200.0,,,,,,
2017-05-01,5.827,137.0,137.0,,,,,,
2017-06-01,22.221,530.0,530.0,,,,,,
2017-07-01,15.11,359.0,359.0,,,,,,
2017-08-01,7.675,182.0,182.0,,,,,,
2017-09-01,6.542,154.0,154.0,,,,,,
2017-10-01,14.418,342.0,342.0,,,,,,
2017-11-01,6.976,165.0,165.0,,,,,,
2017-12-01,3.409,80.0,80.0,,,,,,
2018-01-01,8.585,78.0,78.0,,,,,,
2018-02-01,5.525,56.0,56.0,,,,,,
2018-03-01,6.114,62.0,62.0,,,,,,
2018-04-01,8.172,84.0,84.0,,,,,,
2018-05-01,21.546,218.0,218.0,,,,,,
2018-06-01,33.007,336.0,336.0,,,,,,
2018-07-01,7.188,73.0,73.0,,,,,,
2018-08-01,19.296,196.0,196.0,,,,,,
2018-09-01,15.535,157.0,157.0,,,,,,
2018-10-01,21.892,224.0,224.0,,,,,,
2018-11-01,9.282,95.0,95.0,,,,,,
2018-12-01,4.858,50.0,50.0,,,,,,
2019-01-01,5.088,28.0,28.0,,,,,,
2019-02-01,16.237,78.0,78.0,,,,,,
2019-03-01,3.829,17.0,17.0,,,,,,
2019-04-01,12.485,62.0,62.0,,,,,,
2019-05-01,21.121,101.0,101.0,,,,,,
2019-06-01,9.853,45.0,45.0,,,,,,
2019-07-01,5.68,28.0,28.0,,,,,,
2019-08-01,6.982,34.0,34.0,,,,,,
2019-09-01,13.104,62.0,62.0,,,,,,
2019-10-01,22.752,112.0,112.0,,,,,,
2019-11-01,16.376,78.0,78.0,,,,,,
2019-12-01,10.493,50.0,50.0,,,,,,
2020-01-01,14.169,123.0,123.0,,,,,,
2020-02-01,18.621,174.0,174.0,,,,,,
2020-03-01,1.675,17.0,17.0,,,,,,
2020-04-01,7.695,73.0,73.0,,,,,,
2020-05-01,48.969,454.0,454.0,,,,,,
2020-06-01,32.443,302.0,302.0,,,,,,
2020-07-01,13.562,129.0,129.0,,,,,,
2020-08-01,57.248,532.0,532.0,,,,,,
2020-09-01,14.122,134.0,134.0,,,,,,
2020-10-01,17.384,162.0,162.0,,,,,,
2020-11-01,9.928,95.0,95.0,,,,,,
2020-12-01,35.184,330.0,330.0,,,,,,
2021-01-01,36.876,342.0,342.0,,,,,,
2021-02-01,32.103,308.0,308.0,,,,,,
2021-03-01,10.614,101.0,101.0,,,,,,
2021-04-01,75.104,717.0,717.0,,,,,,
2021-05-01,16.77,162.0,162.0,,,,,,
2021-06-01,70.923,678.0,678.0,,,,,,
2021-07-01,22.225,213.0,213.0,,,,,,
2021-08-01,20.254,196.0,196.0,,,,,,
2021-09-01,17.918,174.0,174.0,,,,,,
2021-10-01,39.815,381.0,381.0,,,,,,
2021-11-01,33.834,325.0,325.0,,,,,,
2021-12-01,50.564,482.0,482.0,,,,,,
2022-01-01,7.296,67.0,67.0,,,,,,
2022-02-01,11.656,112.0,112.0,,,,,,
2022-03-01,10.567,101.0,101.0,,,,,,
2022-04-01,5.735,56.0,56.0,,,,,,
2022-05-01,9.173,90.0,90.0,,,,,,
2022-06-01,18.923,185.0,185.0,,,,,,
2022-07-01,7.228,73.0,73.0,,,,,,
2022-08-01,20.202,196.0,196.0,,,,,,
2022-09-01,30.335,297.0,297.0,,,,,,
2022-10-01,26.157,258.0,258.0,,,,,,
2022-11-01,16.722,162.0,162.0,,,,,,
2022-12-01,17.006,168.0,168.0,,,,,,
2023-01-01,20.487,196.0,196.0,,,,,,
2023-02-01,14.26,134.0,134.0,,,,,,
2023-03-01,14.265,134.0,134.0,,,,,,
2023-04-01,16.571,157.0,157.0,,,,,,
2023-05-01,10.427,101.0,101.0,,,,,,
2023-06-01,26.402,252.0,252.0,,,,,,
2023-07-01,15.611,146.0,146.0,,,,,,
2023-08-01,24.266,230.0,230.0,,,,,,
2023-09-01,10.73,101.0,101.0,,,,,,
2023-10-01,11.261,106.0,106.0,,,,,,
2023-11-01,22.391,213.0,213.0,,,,,,
2023-12-01,7.329,67.0,67.0,,,,,,
2024-01-01,18.355,179.0,179.0,,,,,,
2024-02-01,7.846,73.0,73.0,,,,,,
2024-03-01,8.648,78.0,78.0,,,,,,
2024-04-01,14.78,134.0,134.0,,,,,,
2024-05-01,20.053,185.0,185.0,,,,,,
2024-06-01,7.048,67.0,67.0,,,,,,
2024-07-01,18.85,174.0,174.0,,,,,,
2024-08-01,22.399,207.0,207.0,,,,,,
2024-09-01,12.903,118.0,118.0,,,,,,
2024-10-01,6.289,56.0,56.0,,,,,,
2024-11-01,15.2,140.0,140.0,,,,,,
2024-12-01,16.629,151.0,151.0,,,,,,
