measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2005-05-01,-140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,660.0,13261.95,13261.95,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,3528.0,60822.45,60822.45,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,3429.0,58827.6,58827.6,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,-108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,2027.0,30162.6,30162.6,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,-95.0,1544.4,1544.4,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,-147.0,0.0,0.0,0.0,0.0,0.0,,,
2006-02-01,-165.0,0.0,0.0,0.0,0.0,0.0,,,
2006-03-01,-187.0,0.0,0.0,0.0,0.0,0.0,,,
2006-04-01,-146.0,0.0,0.0,0.0,0.0,0.0,,,
2006-05-01,132.0,4517.0,4517.0,0.0,0.0,0.0,,,
2006-06-01,163.0,4937.0,4937.0,0.0,0.0,0.0,,,
2006-07-01,1944.0,35560.0,35560.0,0.0,0.0,0.0,,,
2006-08-01,4068.0,68840.0,68840.0,0.0,0.0,0.0,,,
2006-09-01,-104.0,0.0,0.0,0.0,0.0,0.0,,,
2006-10-01,-118.0,0.0,0.0,0.0,0.0,0.0,,,
2006-11-01,-120.0,0.0,0.0,0.0,0.0,0.0,,,
2006-12-01,-37.0,2444.0,2444.0,0.0,0.0,0.0,,,
2007-01-01,-165.0,88.0,88.0,0.0,0.0,0.0,,,
2007-02-01,-90.0,0.0,0.0,-90.0,0.0,0.0,,,
2007-03-01,884.0,15924.0,15924.0,0.0,0.0,0.0,,,
2007-04-01,4165.0,60551.0,60551.0,0.0,0.0,0.0,,,
2007-05-01,-126.0,247.0,247.0,0.0,0.0,0.0,,,
2007-06-01,3747.0,63978.0,63978.0,0.0,0.0,0.0,,,
2007-07-01,1478.0,26489.0,26489.0,0.0,0.0,0.0,,,
2007-08-01,1868.0,33417.0,33417.0,0.0,0.0,0.0,,,
2007-09-01,498.0,11534.0,11534.0,0.0,0.0,0.0,,,
2007-10-01,496.0,10507.0,10507.0,0.0,0.0,0.0,,,
2007-11-01,2440.0,37585.0,37585.0,0.0,0.0,0.0,,,
2007-12-01,1825.0,30568.0,30568.0,0.0,0.0,0.0,,,
2008-01-01,1444.188,30805.0,30805.0,0.0,0.0,0.0,,,
2008-02-01,909.3950000000001,19396.0,19396.0,0.0,0.0,0.0,,,
2008-03-01,724.445,15449.0,15449.0,0.0,0.0,0.0,,,
2008-04-01,363.21700000000004,7745.0,7745.0,0.0,0.0,0.0,,,
2008-05-01,543.154,11586.0,11586.0,0.0,0.0,0.0,,,
2008-06-01,775.782,16545.0,16545.0,0.0,0.0,0.0,,,
2008-07-01,95.74900000000001,2044.0,2044.0,0.0,0.0,0.0,,,
2008-08-01,107.941,2303.0,2303.0,0.0,0.0,0.0,,,
2008-09-01,238.75,5095.0,5095.0,0.0,0.0,0.0,,,
2008-10-01,218.018,4647.0,4647.0,0.0,0.0,0.0,,,
2008-11-01,269.558,5749.0,5749.0,0.0,0.0,0.0,,,
2008-12-01,667.803,14242.0,14242.0,0.0,0.0,0.0,,,
2009-01-01,-64.669,15603.0,15603.0,,,,,,
2009-02-01,-25.006,6037.0,6037.0,,,,,,
2009-03-01,-19.203,4635.0,4635.0,,,,,,
2009-04-01,-6.463,1561.0,1561.0,,,,,,
2009-05-01,-15.779,3805.0,3805.0,,,,,,
2009-06-01,-1.368,330.0,330.0,,,,,,
2009-07-01,-1.3030000000000002,312.0,312.0,,,,,,
2009-08-01,-7.775,1879.0,1879.0,,,,,,
2009-09-01,-1.8010000000000002,436.0,436.0,,,,,,
2009-10-01,-0.751,183.0,183.0,,,,,,
2009-11-01,-1.046,253.0,253.0,,,,,,
2009-12-01,-1.836,442.0,442.0,,,,,,
2010-01-01,283.874,8306.0,8306.0,,,,,,
2010-02-01,429.617,12571.0,12571.0,,,,,,
2010-03-01,48.858000000000004,1429.0,1429.0,,,,,,
2010-04-01,10.483,304.0,304.0,,,,,,
2010-05-01,47.07,1378.0,1378.0,,,,,,
2010-06-01,109.867,3214.0,3214.0,,,,,,
2010-07-01,335.038,9804.0,9804.0,,,,,,
2010-08-01,144.571,4230.0,4230.0,,,,,,
2010-09-01,24.725,723.0,723.0,,,,,,
2010-10-01,169.997,4971.0,4971.0,,,,,,
2010-11-01,775.832,22696.0,22696.0,,,,,,
2010-12-01,359.06800000000004,10504.0,10504.0,,,,,,
2011-01-01,2549.322,47211.0,47211.0,,,,,,
2011-02-01,186.429,3451.0,3451.0,,,,,,
2011-03-01,87.378,1618.0,1618.0,,,,,,
2011-04-01,163.62,3029.0,3029.0,,,,,,
2011-05-01,417.559,7734.0,7734.0,,,,,,
2011-06-01,769.831,14253.0,14253.0,,,,,,
2011-07-01,1507.912,27923.0,27923.0,,,,,,
2011-08-01,1400.74,25941.0,25941.0,,,,,,
2011-09-01,305.693,5659.0,5659.0,,,,,,
2011-10-01,55.027,1017.0,1017.0,,,,,,
2011-11-01,178.543,3306.0,3306.0,,,,,,
2011-12-01,101.946,1890.0,1890.0,,,,,,
2012-01-01,-205.0,0.0,0.0,,,,,,
2012-02-01,-209.0,0.0,0.0,,,,,,
2012-03-01,-180.0,0.0,0.0,,,,,,
2012-04-01,-123.0,0.0,0.0,,,,,,
2012-05-01,-123.0,0.0,0.0,,,,,,
2012-06-01,-125.0,0.0,0.0,,,,,,
2012-07-01,403.0,9728.0,9728.0,,,,,,
2012-08-01,673.0,12406.0,12406.0,,,,,,
2012-09-01,-91.0,0.0,0.0,,,,,,
2012-10-01,-120.0,0.0,0.0,,,,,,
2012-11-01,0.0,0.0,0.0,,,,,,
2012-12-01,0.0,0.0,0.0,,,,,,
2013-01-01,0.0,0.0,0.0,,,,,,
2013-02-01,0.0,0.0,0.0,,,,,,
2013-03-01,0.0,0.0,0.0,,,,,,
2013-04-01,0.0,0.0,0.0,,,,,,
2013-05-01,0.0,0.0,0.0,,,,,,
2013-06-01,0.0,0.0,0.0,,,,,,
2013-07-01,0.0,0.0,0.0,,,,,,
2013-08-01,3.0,1743.0,1743.0,,,,,,
2013-09-01,562.0,9838.0,9838.0,,,,,,
2013-10-01,116.0,3047.0,3047.0,,,,,,
2013-11-01,140.0,3843.0,3843.0,,,,,,
2013-12-01,-127.0,0.0,0.0,,,,,,
2014-01-01,-134.0,0.0,0.0,,,,,,
2014-02-01,-120.0,0.0,0.0,,,,,,
2014-03-01,-84.0,0.0,0.0,,,,,,
2014-04-01,0.0,0.0,0.0,,,,,,
2014-05-01,0.0,0.0,0.0,,,,,,
2014-06-01,-22.0,0.0,0.0,,,,,,
2014-07-01,136.0,4408.0,4408.0,,,,,,
2014-08-01,264.0,6729.0,6729.0,,,,,,
2014-09-01,66.0,2759.0,2759.0,,,,,,
2014-10-01,-20.0,1085.0,1085.0,,,,,,
2014-11-01,-108.0,0.0,0.0,,,,,,
2014-12-01,1197.0,19518.0,19518.0,,,,,,
