measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2004-07-01,485142.0,4624271.0,4624271.0,429.0,4089.0,4089.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-08-01,489042.0,4598950.0,4598950.0,4.0,40.0,40.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-09-01,475494.0,4547937.0,4547937.0,142.0,1363.0,1363.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-10-01,457250.0,4351048.0,4351048.0,57.0,543.0,543.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-11-01,413776.0,4110702.0,4110702.0,1601.0,15904.0,15904.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-12-01,494730.0,4715550.0,4715550.0,42.0,404.0,404.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-01-01,323967.0,3236880.7,3236880.7,1931.0,19288.5,19288.5,0.0,0.0,0.0,88377.0,883008.0,883008.0,,,,,,
2005-02-01,294901.0,2789531.12,2789531.12,1856.0,17556.0,17556.0,0.0,0.0,0.0,82441.0,779828.0,779828.0,,,,,,
2005-03-01,394682.0,3793418.58,3793418.58,34.0,329.18,329.18,0.0,0.0,0.0,104139.0,1000916.0,1000916.0,,,,,,
2005-04-01,374488.0,3446221.95,3446221.95,0.0,0.0,0.0,0.0,0.0,0.0,104396.0,960708.0,960708.0,,,,,,
2005-05-01,121658.0,1218037.08,1218037.08,2438.0,24410.93,24410.93,0.0,0.0,0.0,32111.0,321496.0,321496.0,,,,,,
2005-06-01,316673.0,3074559.04,3074559.04,2285.0,22181.78,22181.78,0.0,0.0,0.0,83458.0,810292.0,810292.0,,,,,,
2005-07-01,379913.0,3610865.76,3610865.76,100.0,952.88,952.88,0.0,0.0,0.0,100432.0,954548.0,954548.0,,,,,,
2005-08-01,378412.0,3610508.0,3610508.0,171.0,1634.33,1634.33,0.0,0.0,0.0,100068.0,954772.0,954772.0,,,,,,
2005-09-01,357761.0,3394851.68,3394851.68,657.0,6237.0,6237.0,0.0,0.0,0.0,95005.0,901516.0,901516.0,,,,,,
2005-10-01,386822.0,3766949.44,3766949.44,444.0,4319.7,4319.7,0.0,0.0,0.0,102722.0,1000328.0,1000328.0,,,,,,
2005-11-01,372045.0,3827712.24,3827712.24,427.0,4389.0,4389.0,0.0,0.0,0.0,101927.0,1048656.0,1048656.0,,,,,,
2005-12-01,405701.0,3801558.21,3801558.21,29.0,271.43,271.43,0.0,0.0,0.0,89399.0,837704.0,837704.0,,,,,,
2006-01-01,402052.0,3786034.0,3786034.0,70.0,658.0,658.0,0.0,0.0,0.0,90303.0,850360.0,850360.0,,,,,,
2006-02-01,394879.0,3752569.0,3752569.0,43.0,410.0,410.0,0.0,0.0,0.0,23318.0,221592.0,221592.0,,,,,,
2006-03-01,472652.0,4541766.0,4541766.0,142.0,1363.0,1363.0,0.0,0.0,0.0,23815.0,228844.0,228844.0,,,,,,
2006-04-01,415855.0,4033584.0,4033584.0,422.0,4089.0,4089.0,0.0,0.0,0.0,29826.0,289296.0,289296.0,,,,,,
2006-05-01,397039.0,3808568.0,3808568.0,1940.0,18613.0,18613.0,0.0,0.0,0.0,8465.0,81200.0,81200.0,,,,,,
2006-06-01,465166.0,4120737.0,4120737.0,93.0,820.0,820.0,0.0,0.0,0.0,14609.0,129416.0,129416.0,,,,,,
2006-07-01,496073.0,4816371.0,4816371.0,84.0,820.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-08-01,423752.0,4036667.0,4036667.0,1038.0,9887.0,9887.0,0.0,0.0,0.0,41606.0,396340.0,396340.0,,,,,,
2006-09-01,405135.0,4040930.0,4040930.0,1142.0,11388.0,11388.0,0.0,0.0,0.0,6659.0,66416.0,66416.0,,,,,,
2006-10-01,466171.0,4299602.0,4299602.0,222.0,2044.0,2044.0,0.0,0.0,0.0,25756.0,237552.0,237552.0,,,,,,
2006-11-01,357337.0,3098867.0,3098867.0,388.0,3361.0,3361.0,0.0,0.0,0.0,23550.0,204232.0,204232.0,,,,,,
2006-12-01,389095.0,3764639.0,3764639.0,1030.0,9962.0,9962.0,0.0,0.0,0.0,18460.0,178612.0,178612.0,,,,,,
2007-01-01,453610.314,4326399.0,4326399.0,42.99,410.0,410.0,0.0,0.0,0.0,37371.697,356440.0,356440.0,,,,,,
2007-02-01,438794.999,4197648.0,4197648.0,361.00100000000003,3453.0,3453.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-03-01,474679.001,4581115.0,4581115.0,466.142,4499.0,4499.0,0.0,0.0,0.0,11169.857,107800.0,107800.0,,,,,,
2007-04-01,456510.678,4351403.0,4351403.0,43.016000000000005,410.0,410.0,0.0,0.0,0.0,13336.306,127120.0,127120.0,,,,,,
2007-05-01,474129.155,4523317.0,4523317.0,27.845,266.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-06-01,444471.628,4580521.0,4580521.0,611.3720000000001,6301.0,6301.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-07-01,475949.566,4304719.0,4304719.0,527.41,4770.0,4770.0,0.0,0.0,0.0,2715.0240000000003,24556.0,24556.0,,,,,,
2007-08-01,448696.021,4456140.0,4456140.0,386.112,3835.0,3835.0,0.0,0.0,0.0,20682.867,205408.0,205408.0,,,,,,
2007-09-01,440212.753,4296076.0,4296076.0,265.107,2587.0,2587.0,0.0,0.0,0.0,28780.14,280868.0,280868.0,,,,,,
2007-10-01,486280.552,4721314.0,4721314.0,269.44800000000004,2616.0,2616.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-11-01,472324.0,4576639.0,4576639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-12-01,423009.394,3895280.0,3895280.0,1497.606,13791.0,13791.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-01-01,447634.146,4294498.0,4294498.0,509.85400000000004,4891.0,4891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-02-01,450313.479,4306258.0,4306258.0,142.52100000000002,1363.0,1363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-03-01,440428.622,4215960.0,4215960.0,142.37800000000001,1363.0,1363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-04-01,238614.639,2256671.0,2256671.0,2593.3610000000003,24526.0,24526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-05-01,435126.809,4508962.0,4508962.0,394.57,4089.0,4089.0,0.0,0.0,0.0,0.0,0.0,0.0,5895.621,61093.0,61093.0,,,
2008-06-01,420433.711,3965407.0,3965407.0,260.226,2454.0,2454.0,0.0,0.0,0.0,0.0,0.0,0.0,29900.063000000002,282009.0,282009.0,,,
2008-07-01,396688.876,3693626.0,3693626.0,234.44500000000002,2183.0,2183.0,0.0,0.0,0.0,0.0,0.0,0.0,75530.679,703277.0,703277.0,,,
2008-08-01,400009.367,3676229.0,3676229.0,351.262,3228.0,3228.0,0.0,0.0,0.0,0.0,0.0,0.0,66249.371,608855.0,608855.0,,,
2008-09-01,391576.781,3660191.0,3660191.0,116.769,1091.0,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,71972.45,672749.0,672749.0,,,
2008-10-01,398304.515,3725823.0,3725823.0,160.51600000000002,1502.0,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,68228.969,638228.0,638228.0,,,
2008-11-01,365516.158,3219439.0,3219439.0,696.966,6139.0,6139.0,0.0,0.0,0.0,0.0,0.0,0.0,78665.876,692883.0,692883.0,,,
2008-12-01,376934.512,3536475.0,3536475.0,140.34,1317.0,1317.0,0.0,0.0,0.0,0.0,0.0,0.0,42691.148,400537.0,400537.0,,,
2009-01-01,306356.032,2863129.0,2863129.0,2569.96,24018.0,24018.0,,,,0.0,0.0,0.0,67490.008,630745.0,630745.0,,,
2009-02-01,350450.679,3269897.0,3269897.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,79533.321,742090.0,742090.0,,,
2009-03-01,354531.429,3357638.0,3357638.0,575.6320000000001,5452.0,5452.0,,,,0.0,0.0,0.0,57256.939,542260.0,542260.0,,,
2009-04-01,255369.395,2479991.0,2479991.0,1288.04,12509.0,12509.0,,,,0.0,0.0,0.0,56227.565,546048.0,546048.0,,,
2009-05-01,275980.67,2844126.0,2844126.0,1001.9580000000001,10326.0,10326.0,,,,0.0,0.0,0.0,66189.372,682116.0,682116.0,,,
2009-06-01,304359.097,2942237.0,2942237.0,1716.3120000000001,16592.0,16592.0,,,,0.0,0.0,0.0,27143.591,262397.0,262397.0,,,
2009-07-01,223212.253,2046917.0,2046917.0,1360.265,12474.0,12474.0,,,,44255.188,405832.0,405832.0,65145.294,597400.0,597400.0,,,
2009-08-01,269091.167,2649278.0,2649278.0,2062.986,20311.0,20311.0,,,,40967.847,403340.0,403340.0,0.0,0.0,0.0,,,
2009-09-01,280710.857,2835829.0,2835829.0,1630.921,16476.0,16476.0,,,,40208.222,406196.0,406196.0,0.0,0.0,0.0,,,
2009-10-01,23235.0,154927.0,154927.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-12-01,163982.13,1643526.0,1643526.0,4505.87,45161.0,45161.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-01-01,446853.622,4483994.0,4483994.0,879.378,8824.0,8824.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-02-01,346659.638,3379483.0,3379483.0,644.5160000000001,6283.0,6283.0,,,,43257.846,421708.0,421708.0,0.0,0.0,0.0,,,
2010-03-01,311368.652,3014588.0,3014588.0,1418.439,13733.0,13733.0,,,,47579.909,460656.0,460656.0,0.0,0.0,0.0,,,
2010-04-01,334347.978,3277714.0,3277714.0,630.323,6179.0,6179.0,,,,70030.699,686532.0,686532.0,0.0,0.0,0.0,,,
2010-05-01,345769.219,3356754.0,3356754.0,463.40000000000003,4499.0,4499.0,,,,61782.381,599788.0,599788.0,0.0,0.0,0.0,,,
2010-06-01,376398.136,3622766.0,3622766.0,460.208,4429.0,4429.0,,,,56236.656,541268.0,541268.0,0.0,0.0,0.0,,,
2010-07-01,359374.25,3478177.0,3478177.0,155.139,1502.0,1502.0,,,,118255.611,1144528.0,1144528.0,0.0,0.0,0.0,,,
2010-08-01,442835.222,4228223.0,4228223.0,313.909,2997.0,2997.0,,,,8741.869,83468.0,83468.0,0.0,0.0,0.0,,,
2010-09-01,398565.889,3992218.0,3992218.0,660.7280000000001,6618.0,6618.0,,,,11676.383,116956.0,116956.0,0.0,0.0,0.0,,,
2010-10-01,309054.876,3066450.0,3066450.0,1777.546,17637.0,17637.0,,,,28005.578,277872.0,277872.0,0.0,0.0,0.0,,,
2010-11-01,24761.916,250465.0,250465.0,568.0840000000001,5746.0,5746.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-12-01,355569.711,3719790.0,3719790.0,950.034,9939.0,9939.0,,,,51787.255,541772.0,541772.0,0.0,0.0,0.0,,,
2011-01-01,352737.99,3474583.0,3474583.0,735.775,7248.0,7248.0,,,,30668.238,302092.0,302092.0,0.0,0.0,0.0,,,
2011-02-01,356487.87,3516528.0,3516528.0,683.209,6739.0,6739.0,,,,23587.925,232680.0,232680.0,0.0,0.0,0.0,,,
2011-03-01,234421.85,2388870.0,2388870.0,868.76,8853.0,8853.0,,,,131555.39,1340612.0,1340612.0,0.0,0.0,0.0,,,
2011-04-01,364815.67,3498761.0,3498761.0,706.333,6774.0,6774.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-05-01,325665.62,3205788.0,3205788.0,791.409,7790.0,7790.0,,,,5375.972,52920.0,52920.0,0.0,0.0,0.0,,,
2011-06-01,305044.96,3106012.0,3106012.0,592.692,6035.0,6035.0,,,,4658.35,47432.0,47432.0,0.0,0.0,0.0,,,
2011-07-01,344761.64,3707100.0,3707100.0,510.223,5486.0,5486.0,,,,26191.137,281624.0,281624.0,0.0,0.0,0.0,,,
2011-08-01,303936.21,3138444.0,3138444.0,557.031,5752.0,5752.0,,,,11792.762,121772.0,121772.0,0.0,0.0,0.0,,,
2011-09-01,332926.95,3282551.0,3282551.0,974.051,9604.0,9604.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-10-01,290051.08,3017058.0,3017058.0,798.921,8310.0,8310.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-11-01,116904.04,1212806.0,1212806.0,593.957,6162.0,6162.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-12-01,108691.39,1316302.0,1316302.0,1481.607,17943.0,17943.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-01-01,221128.8,2413248.0,2413248.0,856.197,9344.0,9344.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-02-01,140118.38,1648644.0,1648644.0,260.624,3067.0,3067.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-03-01,8326.548,32356.0,32356.0,380.452,1478.0,1478.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-06-01,18881.672,214615.0,214615.0,995.328,11313.0,11313.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-07-01,326441.17,3290670.0,3290670.0,1330.828,13415.0,13415.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-08-01,317956.88,3153563.0,3153563.0,797.117,7906.0,7906.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-09-01,131803.89,1366027.0,1366027.0,634.108,6572.0,6572.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-10-01,232671.1,2358998.0,2358998.0,1140.901,11567.0,11567.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-11-01,359634.72,3541026.0,3541026.0,588.282,5792.0,5792.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-12-01,281643.53,2901405.0,2901405.0,943.469,9719.0,9719.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-01-01,280089.02,2879905.0,2879905.0,591.985,6087.0,6087.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-02-01,271301.9,2772640.0,2772640.0,830.105,8483.0,8483.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-03-01,345094.26,3424570.0,3424570.0,459.738,4562.0,4562.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-04-01,75096.924,828806.0,828806.0,1070.076,11810.0,11810.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-05-01,239382.69,2501340.0,2501340.0,538.308,5625.0,5625.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-06-01,67635.365,717801.0,717801.0,913.635,9696.0,9696.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-07-01,266990.89,2740570.0,2740570.0,585.115,6006.0,6006.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-08-01,98176.69,1009341.0,1009341.0,1222.31,12566.0,12566.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-09-01,89791.56,906828.0,906828.0,636.44,6428.0,6428.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-10-01,34321.104,345101.0,345101.0,740.896,7450.0,7450.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-11-01,7961.547,102089.0,102089.0,186.453,2391.0,2391.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-12-01,288383.43,3013249.0,3013249.0,1694.57,17706.0,17706.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-01,391253.96,4037688.0,4037688.0,329.045,3396.0,3396.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-02-01,333824.54,3392592.0,3392592.0,632.461,6428.0,6428.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-03-01,434020.61,4234709.0,4234709.0,569.395,5556.0,5556.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-04-01,261410.89,2674354.0,2674354.0,1025.115,10487.0,10487.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-06-01,109189.67,1106848.0,1106848.0,1445.327,14651.0,14651.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-07-01,90688.848,957871.0,957871.0,1241.152,13109.0,13109.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-08-01,0.0,0.0,0.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-09-01,19432.754,228714.0,228714.0,776.246,9136.0,9136.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-11-01,70886.663,711241.0,711241.0,1118.337,11221.0,11221.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-12-01,68009.744,796628.0,796628.0,759.256,8894.0,8894.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-01-01,114818.58,1273736.0,1273736.0,1427.421,15835.0,15835.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-02-01,323624.45,3227540.0,3227540.0,941.548,9390.0,9390.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-03-01,88633.033,979910.0,979910.0,1050.967,11619.0,11619.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-05-01,0.0,0.0,0.0,0.0,410.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-06-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2015-07-01,40404.21,394213.0,394213.0,1286.79,12555.0,12555.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-08-01,24436.793,273118.0,273118.0,501.207,5602.0,5602.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-09-01,17197.136,168041.0,168041.0,560.864,5480.0,5480.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-01-01,0.0,0.0,0.0,0.0,13052.0,13052.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016-02-01,32752.378,380843.0,380843.0,1315.622,15298.0,15298.0,,,,0.0,0.0,0.0,,,,,,
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-04-01,0.0,0.0,0.0,0.0,878.0,878.0,,,,0.0,0.0,0.0,,,,,,
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-06-01,43396.496,529775.0,529775.0,693.504,8466.0,8466.0,,,,0.0,0.0,0.0,,,,,,
2016-07-01,206310.84,2182766.0,2182766.0,1639.163,17342.0,17342.0,,,,0.0,0.0,0.0,,,,,,
2016-08-01,238151.51,2490696.0,2490696.0,1867.49,19531.0,19531.0,,,,0.0,0.0,0.0,,,,,,
2016-09-01,46838.099,484814.0,484814.0,499.901,5174.0,5174.0,,,,0.0,0.0,0.0,,,,,,
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-11-01,0.0,0.0,0.0,0.0,849.0,849.0,,,,0.0,0.0,0.0,,,,,,
2016-12-01,52405.715,600549.0,600549.0,1761.285,20184.0,20184.0,,,,0.0,0.0,0.0,,,,,,
2017-01-01,90155.683,916486.0,916486.0,1746.317,17752.0,17752.0,,,,0.0,0.0,0.0,,,,,,
2017-02-01,30476.494,300389.0,300389.0,228.506,2252.0,2252.0,,,,0.0,0.0,0.0,,,,,,
2017-03-01,8412.109,127250.0,127250.0,684.891,10360.0,10360.0,,,,0.0,0.0,0.0,,,,,,
2017-04-01,0.0,0.0,0.0,0.0,1091.0,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-06-01,14546.111,162518.0,162518.0,516.889,5775.0,5775.0,,,,0.0,0.0,0.0,,,,,,
2017-07-01,28125.932,302034.0,302034.0,613.068,6584.0,6584.0,,,,0.0,0.0,0.0,,,,,,
