measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-08-01,,,,59.0,2260.0,2260.0,,,,0.0,0.0,0.0,275.0,3285.0,3285.0,84783.0,1014735.0,1014735.0
2006-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,252.0,2978.0,2978.0,61534.0,728041.0,728041.0
2006-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,378.0,3891.0,3891.0,63292.0,652239.0,652239.0
2006-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,611.0,7344.0,7344.0,58982.0,709108.0,709108.0
2006-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,396.0,4823.0,4823.0,50776.0,618323.0,618323.0
2007-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,539.183,6338.0,6338.0,59082.817,694538.0,694538.0
2007-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,395.522,4780.0,4780.0,82891.478,1001710.0,1001710.0
2007-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,520.195,6399.0,6399.0,73001.805,898075.0,898075.0
2007-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,144.00300000000001,1599.0,1599.0,24030.997,266898.0,266898.0
2007-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,841.5830000000001,11210.0,11210.0,19322.417,257373.0,257373.0
2007-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,247.19,2968.0,2968.0,76393.81,917320.0,917320.0
2007-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,120.82100000000001,1487.0,1487.0,82336.179,1013455.0,1013455.0
2007-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,232.715,2766.0,2766.0,93019.285,1105701.0,1105701.0
2007-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,405.16400000000004,4895.0,4895.0,62691.836,757486.0,757486.0
2007-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,323.403,3872.0,3872.0,76643.597,917612.0,917612.0
2007-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,437.683,5128.0,5128.0,64332.317,753666.0,753666.0
2007-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,363.03200000000004,4399.0,4399.0,76305.968,924607.0,924607.0
2008-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,332.209,4024.0,4024.0,84464.791,1023232.0,1023232.0
2008-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,493.281,5828.0,5828.0,76770.719,907034.0,907034.0
2008-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,83.558,980.0,980.0,104907.442,1230269.0,1230269.0
2008-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,41.007000000000005,482.0,482.0,90112.993,1058998.0,1058998.0
2008-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,453.944,5733.0,5733.0,52948.056,668741.0,668741.0
2008-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,146.716,1841.0,1841.0,74471.284,934682.0,934682.0
2008-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,478.84900000000005,5827.0,5827.0,75129.151,914191.0,914191.0
2008-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,131.726,1623.0,1623.0,85824.274,1057242.0,1057242.0
2008-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,7.998,96.0,96.0,78745.00200000001,944933.0,944933.0
2008-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,251.99900000000002,2978.0,2978.0,78526.001,928075.0,928075.0
2008-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,445.86600000000004,5683.0,5683.0,68112.134,868221.0,868221.0
2008-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,287.72700000000003,3331.0,3331.0,61137.273,707845.0,707845.0
2009-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,192.608,2245.0,2245.0,72729.392,847869.0,847869.0
2009-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,348.769,3913.0,3913.0,70513.231,791220.0,791220.0
2009-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,463.182,5284.0,5284.0,43586.818,497261.0,497261.0
2009-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,358.36600000000004,4094.0,4094.0,64050.634,731798.0,731798.0
2009-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,634.2420000000001,7544.0,7544.0,57533.758,684319.0,684319.0
2009-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,187.672,2282.0,2282.0,54823.328,666510.0,666510.0
2009-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,598.894,7393.0,7393.0,46261.106,571095.0,571095.0
2009-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,230.757,2803.0,2803.0,58500.243,710636.0,710636.0
2009-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,447.85200000000003,5589.0,5589.0,35766.148,446381.0,446381.0
2009-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,59.796,780.0,780.0,23896.204,311625.0,311625.0
2009-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,736.899,9679.0,9679.0,32665.101,429039.0,429039.0
2009-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,432.32800000000003,5083.0,5083.0,81783.672,961467.0,961467.0
2010-01-01,,,,,,,,,,0.0,0.0,0.0,381.857,4412.0,4412.0,88124.143,1018099.0,1018099.0
2010-02-01,,,,,,,,,,0.0,0.0,0.0,240.52100000000002,2801.0,2801.0,80400.479,936422.0,936422.0
2010-03-01,,,,,,,,,,0.0,0.0,0.0,85.714,1019.0,1019.0,59284.286,704779.0,704779.0
2010-04-01,,,,,,,,,,0.0,0.0,0.0,43.53,537.0,537.0,44261.47,545803.0,545803.0
2010-05-01,,,,,,,,,,0.0,0.0,0.0,423.57,5116.0,5116.0,55475.43,669996.0,669996.0
2010-06-01,,,,,,,,,,0.0,0.0,0.0,53.904,645.0,645.0,75545.096,903643.0,903643.0
2010-07-01,,,,,,,,,,0.0,0.0,0.0,298.615,3556.0,3556.0,77239.385,919833.0,919833.0
2010-08-01,,,,,,,,,,0.0,0.0,0.0,197.82600000000002,2303.0,2303.0,78643.174,915445.0,915445.0
2010-09-01,,,,,,,,,,0.0,0.0,0.0,407.63,5085.0,5085.0,29047.37,362375.0,362375.0
2010-10-01,,,,,,,,,,0.0,0.0,0.0,525.994,6701.0,6701.0,16545.006,210780.0,210780.0
2010-11-01,,,,,,,,,,0.0,0.0,0.0,426.26500000000004,5474.0,5474.0,27918.735,358539.0,358539.0
2010-12-01,,,,,,,,,,0.0,0.0,0.0,402.76,4897.0,4897.0,51484.24,625980.0,625980.0
2011-01-01,,,,,,,,,,0.0,0.0,0.0,337.332,4244.0,4244.0,36667.668,461353.0,461353.0
2011-02-01,,,,,,,,,,0.0,0.0,0.0,287.449,3515.0,3515.0,61021.551,746221.0,746221.0
2011-03-01,,,,,,,,,,0.0,0.0,0.0,350.683,4065.0,4065.0,57405.317,665427.0,665427.0
2011-04-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
